"","es_en_GOOGLE","VerCoop"
"545","Promulgated on 3/13/1904. Official Gazette: April 5, 1904.",0
"546","RTL, German television network and Antonia Rados, Austrian journalist",0
"547","He said that the Ivorian armed forces received regular training in international humanitarian law, and that the protection of the civilian population was part of the doctrine of the national army.",1
"548","11. Directs the Committee to cooperate with the other sanctions committees of the Security Council, in particular the one established pursuant to resolution 1988 (2011); Inclusion on the List",1
"549","Reaffirming the statement of its Presidency approved at the Council session held at the level of Heads of State and Government on January 31, 1992 (S/23500), including the need for all Member States to fulfill their obligations in relation with arms control and disarmament and prevent the proliferation in all its aspects of all weapons of mass destruction,",1
"550","The ability of the Palestinian Authority to create reliable institutions and a security infrastructure capable and willing to fight terrorism and other threats is a fundamental element of the creation of a Palestinian state and a legitimate expectation on the part of Israel.",0
"551","5. Decides that Member States shall, in accordance with international human rights law, international refugee law and international humanitarian law, prevent and suppress the recruitment, organization, transportation or equipping of persons travel to a State other than their States of residence or nationality to commit, plan, prepare or participate in terrorist acts, or to provide or receive training for terrorist purposes, and the financing of their travels and activities;",1
"552","11. Encourages in this regard the Government of Burundi, in collaboration with all international partners, to develop a disarmament, demobilization and reintegration strategy and lay the foundations for the sustainable socio-economic reintegration of demobilized soldiers, ex-combatants, refugees return, displaced persons and other vulnerable groups affected by the conflict, in particular women and children, in accordance with the provisions of Security Council resolutions 1325 (2000), 1612 (2005), 1674 (2006) and 1820 ( 2008);",1
"553","One third of all the items mentioned above had been used in that complex.",0
"554","1. Commends the continued efforts of the African Union, in particular President Olusegun Obasanjo of Nigeria, President of the African Union, and President Thabo Mbeki of the Republic of South Africa, Mediator of the African Union, the Economic Community of States of West Africa (ECOWAS) and the leaders of the region to promote peace and stability in C̫te d&#39;Ivoire, and reiterates its full support;",1
"555","The Security Council recognizes the need to pay more systematic attention in its own work to the implementation of commitments on women, peace and security in order to enhance the involvement of women in the prevention and resolution of conflicts. conflict and peacebuilding, as well as to continue to integrate an appropriate gender perspective into the mandates of relevant United Nations peacekeeping missions and other relevant thematic areas of peace and security .",1
"556","However, the Prosecutor&#39;s Office believes that we should not wait for the conclusion of the judicial proceedings in Court for the victims of the crimes prosecuted to receive assistance.",1
"557","25. Again invites the Secretary-General to continue to provide relevant information and analysis on the protection of civilians when he considers that such information or analysis may contribute to the resolution of the issues before him, and requests him to continue to include in the reports submit to the Council on matters before it, where appropriate, comments relating to the protection of civilians in armed conflict, and encourages it to continue to consult and take concrete measures to strengthen the capacity of the United Nations in this regard;",1
"558","S/RES/1318 (2000), para. VI Underlines the importance of all Member States, especially States that manufacture or trade weapons, to limit arms transfers that could provoke armed conflicts or prolong them or aggravate existing tensions or conflicts...",1
"559","They therefore pointed out to the Commission that the police had been one of the targets of the attacks on the villages, but they mainly blamed the Janjaweed for these actions.",0
"560","The maintenance period normally begins when the contractor receives the work and begins to exploit or use it.",0
"561","Organizational chart of links relating to the Chong Chon Gang",0
"562","Nubul and Zahra have been under siege since April 2013.",0
"563","The Security Council welcomes General Assembly resolution 64/289, which established the United Nations Entity for Gender Equality and the Empowerment of Women (UNWomen), which will become fully operational in January from 2011.",1
"564","Calling on States to work together, with a sense of urgency, to prevent and suppress acts of terrorism, including by enhancing their cooperation and fully complying with relevant international conventions against terrorism,",1
"565","With these new teams there are now seven provincial reconstruction teams installed in the provinces.",0
"566","Done at Kampala on May 15, 2000.",0
"567","b) Encourage States to adopt practical measures and national strategies to suppress recruitment by terrorist groups, with due respect for international human rights obligations;",1
"568","There can be nothing more urgent in Sierra Leone than the maintenance of the peace, security and stability of the country.",1
"569","I am pleased to note that the Council recognized the importance of increasing coordination and information sharing among actors involved in monitoring the arms embargo.",1
"570","The civil registry is fully integrated into municipal structures while the Department of Public Services continued to provide regulatory guidance, technical support and oversight of functions.",0
"571","The Commission interviewed people in Khartoum who were being held incommunicado by security forces in inhumane conditions in &quot;ghost houses.&quot;",1
"572","Courses taught; formulation and implementation of uniform operating procedures; advocacy activities focusing on national strategies to address gender-based violence. H.1 Enhance and fully implement codes of conduct and disciplinary procedures for all categories of United Nations officials, related personnel and partners to prevent and respond to sexual exploitation, improve monitoring and investigation mechanisms and effective resolution of alleged cases of misconduct.",0
"573","S/RES/2088 (2013), para. 14",0
"574","III. ACTIVITIES OF THE UNITED NATIONS OBSERVER MISSION IN GEORGIA",0
"575","True establishment of the rule of law in the Democratic Republic of the Congo requires the formation of an effective and democratic army, judicial system and police force.",0
"576","Maintaining an ongoing dialogue with troop- and police-contributing countries on increasing the proportion of women in national contingents, including by organizing meetings to discuss best practices to advance gender balance and incorporate a gender perspective into the work of uniformed personnel in peacekeeping operations.",1
"577","Many of the murders did not occur on the street, but in the homes of potential protesters and even innocent civilians targeted by security forces.",0
"578","At around 12:30, Mr. Malik and Colonel Reis, Chief Military Training Advisor, who had also heard the radio communication, spoke separately with the Special Representative of the Secretary-General to request permission to intervene, which they granted. granted.",1
"579","No State has adequate measures to safeguard non-profit organizations from being used for terrorist financing.",0
"580","In this context, the Security Council welcomes the decision taken by the African Union Summit in Sirte on 3 July to increase the strength of AMISOM to reach the prescribed troop level, and calls on African Union member states to provide the necessary military and police personnel.",1
"581","Welcoming the results of the Consultative Peace Jirga held on 6 June 2010, in which 1,600 Afghan delegates representing a broad cross-section of all ethnic and religious groups, government officials, religious scholars, tribal leaders, the civil society in Afghanistan and Afghan refugees living in Iran and Pakistan, held talks on ways to end insecurity and developed a plan to achieve lasting peace in the country,",1
"582","The Council encourages international and regional cooperation to determine the origin and transfer of small arms and light weapons to prevent their diversion, including to Al-Qaida and other terrorist groups.",1
"583","All interested parties should be encouraged to make use of this option to raise awareness of the resolution and promote its effective and universal implementation in the context of planned or special events, with the aim of strengthening the implementation of the resolution.",1
"584","That said, a number of interventions highlighted the potential role of the Council in this area, which could go beyond establishing international reparations programs to authorizing the use of assets frozen under sanctions regimes to provide reparations. , as well as possible support from national reparations programs.",1
"585","17. 1, 1, 3-trinitroacetidine (TNAZ) (CAS 97645-24-4).",0
"586","A notable recent case was Mali, where the Council did not respond to the Secretary-General&#39;s request to create a group of experts to investigate the identity and activities of those involved in transnational and organized crime in Mali and the subregion, and study its impact on general stability, with the possibility of imposing selective sanctions.",0
"587","The signatories also committed to conducting a transparent and honest electoral campaign and to creating a parliamentary commission on corruption in the following legislature.",1
"588","Which will be held on Friday, January 14, 2011 at 10:00 a.m.",0
"589","The UNODC Maritime Crime Program continues to support States in the region that are prosecuting piracy crimes, namely Kenya, Mauritius, Seychelles and the United Republic of Tanzania.",1
"590","The situation between Eritrea and Ethiopia (see documents S/1998/44/Add.25; S/1999/25/Add.3, 5 and 7; S/2000/40/Add.18, 19, 30, 32, 36, 45 and 46; S/2001/15/Add.6, 11, 16, 20, 37 and 46; /40/Add.10; see also documents S/2001/15/Add.37; S/2002/30/Add.10 and 32;",0
"591","Also reaffirming the need to combat terrorism in all its forms and manifestations by all means, in accordance with the Charter of the United Nations, and further emphasizing that States must ensure that any measures taken to combat terrorism comply to their obligations under international law, and that they must take such measures in accordance with that law, in particular international human rights law, refugee law and humanitarian law,",1
"592","1) If the offender has destroyed, damaged, transferred, rendered useless or used (in particular exhausted or consumed) any property that could be confiscated under paragraphs 1 and 2 of article 70 or when the offender has otherwise prevented confiscation of these assets, the court may order the confiscation of funds up to the amount corresponding to their value; The value of the property that could be subject to confiscation may be calculated by the court.",0
"593","The Security Council resumed its consideration of the item at its 4846th meeting, held on 21 October 2003, in accordance with the understanding reached in its prior consultations.",0
"594","The Security Council, by its resolution 1575 (2004) of 22 November 2004, requested Member States, through or in cooperation with the European Union, to report to it on the activity of the military mission of the European Union in Bosnia and Herzegovina (EUFOR), through appropriate channels and at least every three months.",1
"595","It was expected that resolution 1521 (2003) and resolution 1532 (2004), which called for the freezing of assets, would be made available to the national process to compensate victims, as compensation was not included in the mandate of the Court.",1
"596","The Committee would also welcome proposals in cooperation with experts from other subsidiary bodies of the Security Council related to counter-terrorism on how to simplify the reporting regime, as outlined in the Summit Outcome Document World Cup 2005 (see General Assembly resolution 60/1).",1
"597","1. &quot;Banking operations&quot; and &quot;financial operations&quot;, as defined in the Banking Entities Law and the Non-banking Financial Institutions Law;",0
"598","The Security Council reiterates its call on all parties to armed conflicts, including non-State parties, to fully comply with the provisions of the Charter of the United Nations and the norms and principles of international law, in particular and to the extent applicable international humanitarian, human rights and refugee law, and to fully implement relevant decisions of the Security Council.",1
"599","Biological risk management and Security Council resolution 1540 (2004)",0
"600","The Panel was appointed to examine claims submitted to the Commission on behalf of insurers and export credit agencies (the &quot;E/F&quot; claims), in accordance with relevant Security Council resolutions and decisions. of the Governing Body, in particular the Rules Concerning the Procedure for Handling Grievances (the &quot;Rules&quot;) (S/AC.26/1992/10).",0
"601","Members also looked forward to the list of violators of the arms embargo, which the Monitoring Group was to present in its final report.",1
"602","Most of the roads are dirt or sand, unpaved, and become impassable during that season, leaving large portions of territory isolated for a long time.",0
"603","Finally, I call on the Security Council to stand in solidarity with Nigeria in this critical period and to provide it with whatever support is necessary to prevent further destabilization and violence, particularly in the hard-hit northeastern States.",1
"604","Similar discipline problems can also arise in the post-conflict phase.",0
"605","Both approaches will be essential to confront the problem of terrorism.",1
"606","The measures taken so far by the Government to address the crisis have been both completely insufficient and ineffective, contributing to the climate of almost total impunity for human rights violations in Darfur.",0
"607","First, GPIC calculated a &quot;planned&quot; level of methanol production of 26,774 Mt, applying an average daily production of 1,217 Mt of methanol multiplied by 22 days of carbon dioxide starvation.",0
"608","Support for the creation of associations and networks of journalists and defense of the safety of media professionals and independent media run by women&#39;s associations; capacity building in journalism schools.",1
"609","Under the Civil Code, cultural and other institutions can be established in the form of associations.",0
"610","The parties to the peace process have not yet made arrangements for release or offered reintegration programs under which children of these forces would have been able to benefit from recovery and reintegration measures.",1
"611",":: Another member reiterated his call for holding an international conference to make the Middle East a zone free of weapons of mass destruction.",1
"612","The Bill has been referred to a Special Committee which has been mandated to seek public opinion on its content.",0
"613","a) The full and correct name of the person;",0
"614","8. Underlines the importance of humanitarian personnel having safe and unimpeded access to civilians in armed conflicts, calls on all interested parties, in particular neighboring States, to cooperate fully with the Assistance Coordinator Organization of the United Nations and United Nations agencies in order to facilitate such access, invites States and the Secretary-General to bring to its attention information related to the deliberate denial of such access in violation of international law, when such denial may constitute a threat to international peace and security and, in this regard, expresses its readiness to examine such information and, where necessary, take appropriate measures;",1
"615","(a) Call upon parties to armed conflicts to fulfill their obligations under international humanitarian law to take all necessary measures to protect civilians and facilitate the rapid and unimpeded transit of items, equipment and relief personnel;",1
"616","The Group then presents three specific case studies, namely: air power; vehicles for military use and mercenaries and mechanics so that the Committee may examine them and reach a timely conclusion as to whether or not they violate the embargo.",1
"617","The Team continued to promote and encourage exchanges with experts appointed to assist the Counter-Terrorism Committee and the new Counter-Terrorism Committee Executive Directorate, and participated in three Committee meetings where presentations were made on areas relevant to the work of the Team. .",1
"618","Israel has legitimate security concerns, but these can only be fully addressed effectively through a negotiated settlement.",0
"619","Telephone records show that four calls were made to Syrian intelligence officer Jamea Jamea, at 11:42 a.m., 6:14 p.m., 8:23 p.m. and 8:26 p.m. According to a witness, Abdel-Al visited Jamea Jamea&#39;s office at 7:30 p.m., on the afternoon of the explosion, and during the visit they discussed Mr. Abu Adass.",1
"620","Trials related to crimes punishable by more than five years in prison are presided over by a group of magistrates.",1
"621","On March 24, the Council of Ministers approved the national media policy, which outlines the Government&#39;s position on media development.",1
"622","The Security Council recognizes the intention expressed by the representatives of both organizations to cooperate on a broad agenda of mutual interests, formulate joint responses that they consider appropriate, when appropriate, in situations of humanitarian crisis, promote human rights, freedom expression, food security, environmental protection and the fight against terrorism and illicit trafficking in drugs and weapons, while reiterating the need to ensure that all United Nations activities aimed at restoring peace and security also respect and promote the rule of law.",1
"623","As requested by the Security Council in its resolution 1787 (2007), the Executive Director, within 60 days of the adoption of that resolution, and in consultation with the Committee, will recommend changes to the plan organization of the Executive Directorate mentioned in paragraph 4 of Council resolution 1535 (2004).",1
"624","Prime Minister Latortue asked the Provisional Electoral Council to study this calendar, with the support of MINUSTAH, keeping in mind that the constitutional requirement that the inauguration of the President take place on February 7, 2006, must be met, and to make the changes opportune.",1
"625","In recent situations, such as C̫te d&#39;Ivoire and Libya, the Council has welcomed the commissions of inquiry established by the Human Rights Council, which have demonstrated how closely linked concrete actions are to strengthen peace and security and the protection of human rights.",1
"626","The effective functioning of the Tribunal is an essential requirement to end the climate of impunity that continues to prevail in Darfur.",0
"627","The forces that make up the Multinational Force will remain committed to acting in accordance with their obligations under international law, including the law of armed conflict.",1
"628","The Security Council reiterates its strong support for the adoption by the General Assembly of the United Nations global counter-terrorism strategy (resolution 60/288) of 8 September 2006 and the institutionalization of the Task Force on the Implementation of Counter-Terrorism, in accordance with General Assembly resolution 64/235, to ensure the overall coordination and coherence of the activities of the United Nations system against terrorism, as well as full participation, within the framework of its mandates, of the relevant subsidiary bodies of the Security Council in the work of the Task Force and its working groups, and welcomes the adoption of resolution 64/297 by the General Assembly.",1
"629","v) Maintain dialogue and exchange information with designated contact centers or focal points on issues relating to their contribution to the implementation of resolution 1540 (2004);",1
"630","4. Calls upon States to act vigorously and decisively to disrupt the flows of funds and other financial assets and economic resources to individuals and entities associated with the Al-Qaida organization, Osama bin Laden or the Taliban, taking into account, where applicable, international codes and standards to combat the financing of terrorism, including those aimed at preventing improper use of non-profit organizations and unofficial or alternative remittance systems;",1
"631","77. This section will briefly study the different groups actively participating in the armed conflict in Darfur.",1
"632","Some States are taking the initiative in this area.",0
"633","The system, which is based on outdated technology, will be modernized.",0
"634","Members also expressed their determination to continue collaborating with the Government to consolidate the progress made and ensure a stable environment for democratic governance, economic growth and humanitarian assistance. Asia",1
"635","A bi-weekly passenger service has been launched between Cyprus and Beirut.",0
"636","In the joint statement, the Government committed to taking measures to end impunity, investigate allegations of violations and ensure that all individuals and groups accused of human rights violations are promptly prosecuted.",1
"637","He therefore urged the Council to move from an &quot;as needed&quot; approach to a &quot;more active&quot; approach, to increase the interest of non-members in its work.",1
"638",":: There was a need to achieve greater coherence in the establishment and mandates of fact-finding mechanisms;",1
"639","It is recommended that the United Nations become more committed to addressing the root causes of conflict, for example by supporting natural resource management initiatives and conflict prevention and resolution mechanisms.",1
"640","Fortunately, the options before the people of Iraq are neither black and white nor zero-sum. There is a middle range of compromise that can accommodate the essential concerns of all participants in the political process.",0
"641","b) Receive from persons included in the List requests for exemption from the measures indicated in paragraph 1 b) of this resolution and transmit them to the Committee to determine, in each case, whether entry or transit is justified, entrusts the Committee to consider such requests in consultation with the States of transit and destination and any other applicable States, further decides that the Committee will only accept exemptions from the measures indicated in paragraph 1 (b) of this resolution upon agreement of the States of transit and destination, and also instructs you, through the focal point, to notify those people of your decision;",1
"642","A sense of ownership of what the Committee does will be key to the success of its efforts.",0
"643","The Security Council reaffirms the principle of non-refoulement of refugees, as set out in the relevant instruments of international law, notes with satisfaction that countries neighboring the [affected State] have recently taken measures to support the voluntary repatriation of Afghan refugees in conditions of security and dignity and urges these host States to continue providing international protection to Afghan refugees in need.",1
"644","Which will be held on Wednesday, August 24, 2005, at 10:00 a.m.",0
"645","Which will be held on Friday, September 19, 2014, at 2:00 p.m.",0
"646","It was agreed that Somalia, the region and the international community needed to pay more attention to capacity-building activities in the fight against piracy, with a view to maximizing the progress that naval forces had made.",1
"647","In rural areas, the corresponding percentages were 15.4% in 1998 and 23.8% in 1999, well below WHO quality standards.",0
"648","Training of peacekeepers Requests the Secretary-General to ensure that, prior to deployment and in theater, military and police-contributing countries are provided with technical support, including guidance and training for military and police personnel. on protection of civilians in situations of imminent danger and appropriate responses, including on human rights, sexual violence and gender issues.",1
"649","Today&#39;s debate is about an urgent matter.",0
"650","Strongly condemns the recruitment and use of child soldiers by parties to armed conflicts in contravention of international obligations applicable to them and all other violations and abuses committed against children in situations of armed conflict.",1
"651","4.13 Cook Islanders are citizens of New Zealand.",0
"652","The Council recalls that States have the obligation to respect and ensure compliance with international humanitarian law, including the four Geneva Conventions, and emphasizes that they have the responsibility to end impunity and to prosecute perpetrators. responsible for genocide, crimes against humanity and serious violations of international humanitarian law.",1
"653","The purpose of the visit was to: review the progress made in the implementation of the action plan signed on 4 October 2012 by the Government and the United Nations Task Force on Monitoring and Reporting; analyze the conclusions on children and armed conflict in the Democratic Republic of the Congo that were adopted on September 19, 2014; interact with relevant ministries and other government officials, child protection bodies, NGOs and children who had been associated with armed groups, thereby obtaining direct knowledge of the situation of children affected by armed conflict in the Democratic Republic of the Congo (FARDC), with special attention to the compliance efforts of the Armed Forces of the Democratic Republic of the Congo and outstanding issues, specifically in relation to non-State actors listed in the annual report of the Secretary-General; and assess the challenges and opportunities for the reintegration of children associated with armed forces and groups in the Democratic Republic of the Congo.",1
"654","The Monitoring Team is also responsible for a Task Force project to produce documentaries that expose the true nature of terrorism as seen from the perspective of its perpetrators and victims.",1
"655","Table 2 shows the combined income from cocoa and oil exports.",0
"656","Taking note of the proposal submitted to the Secretary-General by Morocco on 11 April 2007 and welcoming Morocco&#39;s serious and credible efforts to advance the process towards a solution; also taking note of the proposal presented to the Secretary General by the Polisario Front on April 10, 2007,",1
"657","1. Real estate 85 - 106 29",0
"658","The loss is valued using a combination of methods, including calculations based on historical and replacement costs.",0
"659","The Security Council reiterates that there is no military solution to the conflict in Afghanistan and that only a negotiated political settlement aimed at the establishment of a broad-based, multi-ethnic and fully representative government, acceptable to all Afghans, can lead to peace and the reconciliation.",1
"660","(a) Develop more integrated approaches and more effective mechanisms to ensure robust cooperation and information sharing between relevant counter-terrorism agencies, both nationally and internationally;",1
"661","The main aspects of the statements made by the Permanent Representatives, as well as the exchange of views among the members of the Working Group, are reflected in the summary contained in the relevant conclusions (S/AC.51/2014/3).",1
"662","Local government reform programs should not wait for final status negotiations to begin.",0
"663","The team subsequently inspected all the factory premises.",0
"664","The Russian Federation has also adopted regulations to protect the rights of victims of terrorism and promoted measures regarding the conditions of detention of persons suspected of having committed a terrorist act.",0
"665","They noted that Ethiopia&#39;s refusal to allow the demarcation to be completed, as well as continued and increasing restrictions on the work of UNMEE, raised serious doubts about the long-term viability of the Mission.",0
"666",":: Sections a), b) and c) of paragraph 3:",0
"667","The Counter-Terrorism Committee Executive Directorate has organized workshops on border control management in different regions and plans to continue doing so in the future. a) Implement more active prevention, inspection and detection procedures, based on risk assessments, information exchange and analysis and international cooperation at official border crossings as well as along borders open or permeable;",0
"668","In a plenary session of the nine judges of the Trial Chambers and the five judges of the Appeals Chamber, the issue of compensation for the victims of the tragic events in Rwanda was discussed in detail.",1
"669","578. A clear drawback of the creation of a special court for crimes committed in Darfur is the financial consequences that it entails.",0
"670","The Democratic and Popular Union of C̫te d&#39;Ivoire demands that these facts be clarified and justice be done.",1
"671","In July 2007, the Government introduced a bill relating to the establishment of a Truth and Reconciliation Commission and consultations are currently being held on this matter with various stakeholders.",1
"672","Much has been said about the financing of terrorism through drugs, among other places in international conventions and in Security Council resolutions.",1
"673","1. The Convention on the Physical Protection of Nuclear Material, 1979",0
"674","They also noted that the dissemination of greater information about the harmful effects of piracy had led to positive changes in former piracy hotspots.",1
"675","Member States will be asked to limit their interventions to five minutes.",1
"676","In Beni, local authorities and civil society have called for MONUSCO forces to participate more actively in military operations against the ADF, including by conducting unilateral operations.",1
"677","Furthermore, in principle, the establishment of a hierarchical relationship between the Office of the Ombudsman and the Secretariat on substantive matters represents a direct and significant interference with the independence of the Office, in theory and in practice.",1
"678","Apart from the periodic meetings of the Council of Arab Interior Ministers, there is no regular and institutionalized exchange of operational information in the subregion.",1
"679","Conversations between people planning to attend the demonstration and security forces were reported, in some cases face to face.",0
"680","Eritrea has been organizing, training and sending to Ethiopia all types of gangsters and terrorist elements to create confusion in our country and cause political instability.",0
"681","The inflation rate was only 1.5% in the first quarter of 2007.",0
"682","&quot;The Security Council reaffirms its concern about the alarming situation in the Sahel region and its commitment to address the complex security and political challenges in this region, which are interrelated with humanitarian and development issues, as well as the adverse effects of change climatic and ecological.",1
"683","S/RES/2062 (2012), para. 13",0
"684","Currently, these changes are most noticeable in entities operating in North Africa, the Sahel and the Levant.",0
"685","- In November 2014, 11 people were kidnapped in areas controlled by the regime and 4 in areas controlled by extremist groups.",0
"686","Emphasizing the central role of the United Nations in the global fight against terrorism and welcoming the adoption by the General Assembly of the United Nations Global Counter-Terrorism Strategy (resolution 60/288 of 8 September 2006 ), the institutionalization of the Counter-Terrorism Implementation Task Force, in accordance with General Assembly resolution 64/235 of 24 December 2009, which will further strengthen the efforts of the Task Force to ensure coordination and the overall coherence of the activities of the United Nations counter-terrorism system, including on the ground, and the call for greater participation of Member States in the work of the Task Force (resolution 64/297),",0
"687","d) Facilitate capacity building on international cooperation with partners in the subregion. a) Engage more actively with relevant organizations in the subregion (Eastern and Southern Africa Anti-Money Laundering Group, SADC and Southern African Police Chiefs Regional Cooperation Organization) to focus on activities aimed at overcoming deficiencies and improving the implementation of the resolution;",1
"688","He explained that the transition process took time and stressed the need to adopt shared political measures against armed opposition groups that endangered a peaceful process.",1
"689","The Security Council emphasizes the importance of a coordinated international response to the causes of conflict, recognizes the need to develop effective long-term strategies and emphasizes the need for all United Nations bodies and agencies to adopt preventive and take measures in their respective spheres of competence to assist Member States and regional and subregional organizations to eradicate poverty, strengthen development cooperation and assistance and promote respect for human rights and fundamental freedoms.",1
"690","First, he urged the Security Council to give human rights greater recognition and prominence in its resolutions and presidential statements.",1
"691","An example of this assumption would be if the clause stipulated the advance payment before the agreed maturity.",0
"692","(Summit Resolution 493/21, approved on March 30, 2009)",0
"693","There are still possibilities of stopping the bloodshed in Yugoslavia.",0
"694","b. Iridium silicide (IrSi) &quot;focal plane arrays.&quot;",0
"695","Uganda values peace and believes that the current instability in the Great Lakes region is a disincentive to development.",1
"696","In this regard, the Council encourages countries affected by the LRA that have not already done so to establish standard operating procedures for receiving LRA minors and entrusting them to civilian child protection entities.",1
"697","Acting for these purposes under Chapter VII of the Charter of the United Nations,",0
"698","The Security Council supports the six-party talks and calls for their prompt resumption with a view to peacefully achieving the verifiable denuclearization of the Korean Peninsula and maintaining peace and stability on the Korean Peninsula and in northeast Asia.",1
"699",":: Restrictions or regulations, if applicable, on the movement of precious objects, such as gold, diamonds, etc.",0
"700","At the 7109th meeting of the Security Council, held on 12 February 2014, in connection with its consideration of the item entitled &quot;Protection of civilians in armed conflict&quot;, the Presidency made the following statement on behalf of the Council:",1
"701","The adoption of a presidential statement calling for, among other things, the reaffirmation of international solidarity in the fight against terrorism and urging Member States to do more in the fight against terrorism.",1
"702","Calls upon all stakeholders to ensure that all peace processes and agreements and all post-conflict recovery and reconstruction planning... include concrete measures for the protection of civilians, including restoration of the rule of law.",1
"703","Security of United Nations personnel",0
"704","However, after 2011, how can anyone honestly say that civil society does not belong in the Middle East and North Africa and -- I would add -- everywhere?",0
"705","On 25 May, the Chairman of the Committee established pursuant to resolution 1267 (1999) concerning Al-Qaida and the Taliban, Ambassador Heraldo Mu̱oz (Chile), presented to the Council his first oral report covering a 120-day period on the work of the Committee and the team responsible for providing analytical support and monitoring the implementation of sanctions, as provided for in paragraph 12 of resolution 1526 (2004).",1
"706","III. Activities of my Personal Envoy",0
"707","Which will be held on Thursday, June 8, 2000, at 11:30 p.m.",0
"708","Letter dated 26 July 2005 addressed to the President of the Security Council from the Chairman of the Security Council Committee established pursuant to resolution 1533 (2004) concerning the Democratic Republic of the Congo (S/2005/436)",0
"709","Reaffirming the need to combat by all means, in accordance with the Charter of the United Nations and international law, including applicable standards of human rights law, refugee law and humanitarian law, threats to peace and international security constituting terrorist acts, and emphasizing in this regard the important role played by the United Nations in directing and coordinating this work,",1
"710","The Rule of Law Division initially focused on creating the Ombudsman institution and strengthening the judicial system.",0
"711","There is little presence and influence of opposition militant forces in the region, although they use transport routes and shelters in Farah province.",0
"712","Son of: Samba Naualna and In-Uasne Nanfafe",0
"713","The Georgian leadership is firmly committed to achieving a peaceful solution to the conflict on its territory, which is non-exclusive and ethnically inclusive and which safeguards human rights and freedoms.",1
"714","According to a witness, Internal Security Forces personnel were ordered to monitor Mr. Hariri in late January and early February 2005.",0
"715","The Security Council looks forward to the mission&#39;s conclusions and recommendations.",1
"716","The results of the review, including the main issues identified, were included in the complaints database.",0
"717","Less than half of the 140 States that submitted reports under resolution 1455 (2003) mentioned what measures they had taken to restrict or regulate the circulation of precious commodities, and those that did generally referred only to controls under resolution 1455 (2003). customs and tax legislation.",0
"718","The United Nations Interregional Crime and Justice Research Institute, at the request of Working Group 2 of the Contact Group on Piracy off the Coast of Somalia and with the support of the Government of Italy, organized two meetings of the group informal expert work in 2013 to draft a set of guidelines, standards and best practices regarding the use of private armed protection personnel on board merchant ships, for use by private sector companies and interested governments .",1
"719","To prevent a new wave of violence, both sides and the international community must act promptly.",0
"720","With this in mind, Italian legislation establishes the following provisions. The Consolidated Banking Law (Legislative Decree 385 of September 1, 1993):",0
"721","Urging [the affected State] to, in coordination with the international community, carry out a comprehensive reform of the police, judicial and prison systems and to protect and promote human rights and fundamental freedoms and end impunity.",1
"722","About a third of the documented cases were children under 15 years of age.",0
"723","Many interlocutors affirmed that neighboring countries had a destabilizing role.",0
"724","A senior government official at the provincial level described how the Government, in an initial campaign to recruit fighters, had also used Arab outlaws and, as indicated in other reports, people convicted of criminal offences.",0
"725","The increased number of MINUSTAH military and police personnel will be added to the strength of the Haitian National Police and 3,600 local electoral security assistants (see S/2005/313, para. 10).",0
"726","During the meeting, the parties had a broad exchange of views on the implementation of Security Council resolutions and the exercise of the principle of self-determination.",1
"727","Insisting that the coordinated and comprehensive return of refugees and displaced persons from across the region remains essential for lasting peace,",1
"728","c) Encourage States to adopt measures to prevent informal networks for sending workers&#39; remittances from being misused for the purposes of terrorist financing.",1
"729","43. The situation in Guinea-Bissau (November 6, 1998; March 26, 2008).",0
"730","The Netherlands held the first Presidency of the Code in 2002-2003.",0
"731","The Security Council reaffirms that terrorism in all its forms and manifestations constitutes one of the most serious threats to peace and security and that all acts of terrorism are criminal and unjustifiable, regardless of their motivation, when they were committed and who the perpetrators are.",1
"732","b) Prepare the annual budget of the Fund;",0
"733","At the same time, the Council recognizes that the Special Representative of the Secretary-General, with the assistance of civilian advisors, could play a key coordinating role in the provision of humanitarian assistance, the restoration of law and order and the functioning of public institutions, as well as as in reconstruction, rehabilitation and peacebuilding, leading to long-term sustainable development.",1
"734","Greater knowledge among refugee women of their rights and legal options and greater support available to them.",1
"735","The Security Council reminds States that they must ensure that the measures they take to combat terrorism comply with all their obligations under international law, in particular international human rights law, the law of refugees and humanitarian law.",1
"736","Among those detained were students, lawyers and merchants.",0
"737","At international meetings, the Team has had the opportunity to review States&#39; awareness of the sanctions regime without preparation.",1
"738","15. Declares its readiness to consider the desirability and feasibility of establishing interim security zones and corridors to protect civilians and channel assistance in situations where the civilian population is threatened with genocide, crimes against humanity and crimes against humanity. of war;",1
"739","Decides that the mandate of [the mission] will be as follows: ... v) Assist the transitional authorities [of the affected country] in formulating and implementing disarmament, demobilization and reintegration (DDR) programs for ex-combatants and dismantlement of militias and self-defense groups, in accordance with the objectives of reconciliation and taking into account the specific needs of demobilized children;",0
"740","Given the vulnerability of the subregion, more measures are needed to criminalize recruitment.",1
"741","15. Takes note of the measures taken by MONUC to address cases of sexual exploitation and abuse, as well as the zero tolerance policy, requests the Secretary-General to continue to fully investigate allegations of acts of sexual exploitation and violence committed by the civilian and military personnel of MONUC, and to take the relevant measures set out in its bulletin on special measures for protection against sexual exploitation and abuse (ST/SGB/2003/13);",0
"742","Furthermore, the Council could explicitly require Member States to prevent listed individuals and entities from having access to, creating or maintaining military or terrorist training centers within their borders, which would entail an expansion of the scope of application of the arms embargo, which would thus cover all aspects of training and recruitment activities.",1
