"","es_en_DEEP","VerCoop"
"710","c) Encourage the implementation of procedures to verify that asylum seekers and refugees have not committed terrorist acts.",1
"711","1. Commends the continued efforts of the African Union, in particular President Olusegun Obasanjo of Nigeria, President of the African Union, and President Thabo Mbeki of the Republic of South Africa, Mediator of the African Union, the Economic Community of States of West Africa (ECOWAS) and the leaders of the region to promote peace and stability in CÃ´te d'Ivoire, and reiterates its full support;",1
"712","In order for potential applicants to clearly understand this process and know what actions will be taken, and to ensure uniform application, practices and procedures have been developed and information on them has been disseminated to more concretely explain the process.",1
"713","The parties informed their respective constituents, including Malian refugees residing in Mauritania and Niger, about the content of the document.",1
"714","All States have adopted measures to regulate the production, sale and transfer of weapons and explosives, although only four have fully implemented such measures.",0
"715","S/RES/1820 (2008), para. 3",0
"716","Bilateral relations between Djibouti and Eritrea had been fairly good until June 2008.",0
"717","The seminar provided an important opportunity to discuss ways to facilitate the implementation of the resolution, particularly with respect to universal reporting and fuller implementation.",1
"718","The argument that the prohibition of torture in customary international law has such a legal character was made by the International Criminal Tribunal for the former Yugoslavia in FurundÅ¾ija (at paragraph 144 and paragraphs 153 to 157) and the House of Lords in Pinochet, as well as the United Nations Special Rapporteur on the question of torture.",0
"719","Aware of the importance of the subregion as a transit zone, most States have adopted regulations relating to asylum, traveler movements and the prevention and elimination of cross-border movements of terrorists.",0
"720","The Security Council welcomes, in this regard, the inaugural meeting of the joint United Nations-African Union task force on peace and security held on 25 September 2010 and encourages the task force to focus on strategic and specific issues of the countries of the continent that interest both organizations.",1
"721","Calls upon all parties to the armed conflict [in the affected country], including members of [a particular armed group], to issue clear orders against sexual violence, and further calls upon them to make and fulfill specific commitments on timely investigation of alleged abuses to hold perpetrators accountable, in accordance with resolution 1960 (2010), and to facilitate immediate access of victims of sexual violence to available services;",1
"722","The report was submitted to the Security Council Committee established pursuant to resolution 1267 (1999) concerning Al-Qaida and the Taliban and associated persons and entities on 22 February 2011, in accordance with resolution 1904 (2009). Security Council and is currently being considered by the Committee.",1
"723","The Security Council emphasizes the importance of the role of, and cooperation with, regional and subregional organizations and agreements, in accordance with Chapter VIII of the Charter of the United Nations, with regard to prevention and conflict resolution, peacekeeping and peacebuilding, including the maintenance of constitutional order, the promotion of human rights, democracy, the rule of law and the fight against impunity.",1
"724","Extended in the city of Coronado at 2:00 p.m. on July 6, 2005.",0
"725","For example, the difficulty of policing borders in the Sahel and Sahara region has allowed the Al-Qaida Organization in the Islamic Maghreb* and its associates to move freely, raise funds through smuggling, purchase weapons and explosives, and train to new recruits in conditions of relative safety.",0
"726","Reiterating the obligation of Member States to prevent and repress the financing of any act of terrorism, as well as to classify as a crime the intentional provision or collection, by any means, directly or indirectly, of funds by their nationals or in their territory with the intention that such funds be used, or with knowledge that such funds will be used, to perpetrate acts of terrorism,",1
"727","e) The Committee will attach great importance to coordination with experts from other subsidiary bodies of the Security Council competent in combating terrorism in preparing visits and streamlining reporting;",1
"728","The Security Council notes with interest the important proposal of the Secretary-General to establish a peacebuilding commission and shares the objective of enhancing the capacity of the United Nations to coordinate with donors and troop-contributing countries and to carry out carry out peacebuilding activities, in particular since the beginning of peacekeeping operations through stabilization, reconstruction and development.",0
"729","c) Support the efforts of the Government of [the affected country] to ensure the protection of civilians from violations of international humanitarian law and human rights, including all forms of sexual and gender-based violence, promote and protect human rights and fight against impunity, including by implementing the Government's ""zero tolerance policy"" with respect to violations of discipline and human rights and humanitarian law committed by members of the security forces, particularly those recently integrated.",1
"730","Noting with concern that terrorism continues to constitute a serious threat to international peace and security, the enjoyment of human rights and the social and economic development of all Member States, as well as undermining global stability and prosperity, and that this threat has taken on a more diffuse character, with an increase in terrorist acts in various regions of the world, including those motivated by intolerance or extremism, expressing its determination to combat this threat and highlighting the need for the fight against terrorism to continue being a priority on the international agenda,",1
"731","On 9 April 2013, the Committee met with representatives of the Department of Political Affairs, the Department of Peacekeeping Operations, the Monitoring Team, the Executive Directorate of the Committee established pursuant to resolution 1373 (2001) to the fight against terrorism and the Task Force on the Implementation of the Fight against Terrorism.",1
"732","Laws granting special investigative powers to law enforcement agencies have also been enacted in Colombia, Chile, Paraguay and Peru.",1
"733","It urged the Supreme Leader to prevent and suppress crimes against humanity and ensure that perpetrators are pursued and brought to justice.",0
"734","The mission evaluated the preparation for the elections from the institutional, technical, security, legal and political points of view; identified areas in which support was required; and called for greater participation of women and youth, more institutional transparency, and mechanisms to prevent political and electoral conflicts.",1
"735","The Council urges the [affected State] to continue to provide asylum to all refugees regardless of their origin.",1
"736","The liquidation of ONUB has been carried out smoothly, and as of April 30, most of its assets have been transferred to the United Nations Integrated Office in Burundi (BINUB).",0
"737","The Committee also agreed to address letters to the Permanent Representative of Somalia and the African Union Commissioner for Peace and Security to recommend an independent investigation into the alleged sale of arms and ammunition on the Somali arms market by officials of the Transitional Federal Government. and the Ugandan contingent of the African Unity Mission in Somalia (AMISOM), respectively.",1
"738","Mr. Monteiro left his position last month.",0
"739","- Advise the Government..., as appropriate, on the reform of the security sector and the organization of the future national army, including the establishment of an effective vetting mechanism, in accordance with international standards;",1
"740","The Russian Federation considers it essential to continue strengthening the legal bases of the fight against terrorism in international law, above all by giving universal character to existing conventions on the subject through the accession of all Member States of the United Nations.",1
"741","In the resolution, the Council affirmed that the authorizations were applicable only to the situation in Somalia and would not affect the rights, obligations and responsibilities of Member States under international law in respect of any other situation, including rights or obligations under the United Nations Convention on the Law of the Sea, including the general principle of exclusive jurisdiction of the flag State over its vessels on the high seas, stressed in particular that the resolution would not be considered as a precedent of customary international law, and noted that such authorizations had been granted only following receipt of the letter dated 8 October 2014 containing the request from the President of the Federal Republic of Somalia.",1
"742","...urges the [national] authorities to take all necessary measures to protect human rights, end impunity and initiate investigations to identify the perpetrators of such acts and bring them to justice, and to act to protect witnesses in order to ensure procedural guarantees; urges them to take steps to mitigate the climate of fear resulting from restrictions on freedom of expression and freedom of assembly;",1
"743","Responses received pursuant to paragraph 20 of resolution 1596 (2005) State",0
"744","The Security Council urges the Government of the Democratic Republic of the Congo and the Government of Rwanda to respond without further delay to the efforts made by MONUC within the framework of its current mandate to establish, as soon as possible, a joint verification mechanism intended to guarantee their common security, in particular to verify cross-border movements.",1
"745","In that decision, although members of the Allied Coalition Forces were expressly excluded from the jurisdiction of the United Nations Compensation Commission, compensation was allowed in respect of prisoner of war claims brought by Coalition forces. Allied for loss or injury resulting from ill-treatment inflicted in violation of international humanitarian law.",0
"746","S/2002/964, of August 27, 2002",0
"747","The pirates took the ship close to the Somali coast and anchored it at a point from which the land could be seen.",0
"748","The FN provides fighters daily to guard the area adjacent to the diamond mines.",0
"749","He indicated that the partnership aimed to develop a strategy to mainstream child protection into the activities of the African Union and institutionalize policies and procedures on child protection in accordance with regional and international standards.",1
"750","Welcomes the commitment to combat the scourge of international terrorism, expressed by States, inter alia, in the debates of the plenary sessions of the General Assembly held from 1 to 5 October 2001, calls upon all States to accede as soon as possible to the relevant international conventions and protocols relating to terrorism, and encourages Member States to move in this direction,",1
"751","The forces that make up the Multinational Force will remain committed to acting in accordance with their obligations under international law, including the law of armed conflict.",1
"752","(a) Reiterates its call upon parties to armed conflict listed in the annexes to the Secretary-General's report on children and armed conflict, if they have not already done so, to prepare and implement, without further delay, action plans to end the recruitment and use of children in contravention of applicable international law;",1
"753","h) During the dialogue phase, the Ombudsman will take due account of the views of the nominating States, as well as those of other Member States that have submitted relevant information, in particular, the Member States most affected by the events or associations that gave rise to instead of the original designation.",1
"754","The Committee will endeavor to ensure a full exchange of national reports, visit reports and other relevant information between the respective committees and expert groups, including with respect to visits to States and other official travel.",1
"755","In some cases, the Panel, based on its analysis of the Claimants' allegations and the documentation submitted, has reclassified all or parts of a claim.",0
"756","UNDOF sometimes had to resort to secondary roads, which cannot be used at night.",0
"757","The Government of Nepal has made some progress in meeting its obligations under the Comprehensive Peace Agreement regarding the rehabilitation of children formerly associated with armed forces and armed groups.",0
"758","It is clearly essential that States ensure that their control regimes, both for military and civilian explosives, are as strict as possible.",1
"759","The Government acknowledged that the attack had taken place and stated that it would compensate the victims.",1
"760","The Committee considers that this will reduce the risk of third parties, in particular non-banking financial institutions, non-financial companies and professionals, inadvertently acting in contravention of the requirements relating to the freezing of assets.",1
"761","Therefore, United Nations bodies engaged in the fight against terrorism should address these fissures more seriously and with greater dedication.",0
"762","The mission will recall that the Council is ready to support the transitional authorities in their fight against impunity in the Democratic Republic of the Congo.",1
"763","Throughout its mandate period, the Monitoring Group kept the Security Council Committee established pursuant to resolution 751 (1992) informed of its activities by submitting biweekly reports through the United Nations Secretariat and by submitting information to midterm at United Nations Headquarters in New York in July 2005.",1
"764","34. The situation in Côte d'Ivoire (December 20, 2002; December 8, 2009).",0
"765","32. The situation in Côte d'Ivoire (December 20, 2002; January 26, 2012).",0
"766","4. Calls upon States to act vigorously and decisively to disrupt the flows of funds and other financial assets and economic resources to individuals and entities associated with the Al-Qaida organization, Osama bin Laden or the Taliban, taking into account, where applicable, international codes and standards to combat the financing of terrorism, including those aimed at preventing improper use of non-profit organizations and unofficial or alternative remittance systems;",1
"767","The national community reintegration and rehabilitation program, which must absorb a total of 6,000 ex-combatants, has facilitated the work of registration and identification of Forces Nouvelles personnel.",0
"768","They expressed the hope of hosting East Timor in the United Nations.",1
"769","The Special Representative said the hostilities left no hope that the warring parties would reach an agreement during IGAD-led peace talks on 6 November.",1
"770","On disarmament, UNOCI will continue to support the rapid cantonment of forces, in accordance with Supplementary Agreement No. 3.",0
"771","The Authority expresses its gratitude to the African Union and the United Nations for the multifaceted assistance they have provided to the efforts undertaken in the region to reach a peaceful solution.",1
"772","3. The Convention on the Physical Protection of Nuclear Materials;",0
"773","General Directorate of Foreign Trade, Department of Commerce, for the articles mentioned in row 6 above",0
"774","At my request, Prime Minister Seniora and President Abbas met in Paris on 18 October to discuss issues related to the presence of Palestinian refugees in Lebanon.",1
"775",":: Strengthening, where appropriate, cooperation with other subsidiary bodies of the Council, especially the Security Council Committees established pursuant to resolutions 1267 (1999) and 1540 (2004) and their experts, in particular on exchange of information, visits and technical assistance.",1
"776","Congolese and foreign armed groups, as well as some FARDC elements, continued to attack civilians, including in acts of sexual violence.",0
"777","We note with concern that the security area remains problematic.",0
"778","Officially, responsibility begins at 16 years of age.",0
"779","In the private consultations that followed, Council members stressed the importance of resuming Israeli-Palestinian negotiations and condemned unilateral actions, in particular the construction of settlements in the occupied territories, that undermined the Quartet's efforts to find a solution. negotiable of the conflict.",1
"780","They were also provided with a Turkish translation of the resolution and its annexes.",0
"781","The Chairman of the Committee and the Chairmen of the Security Council Committee established pursuant to resolution 1373 (2001) concerning counter-terrorism and the Security Council Committee established pursuant to resolution 1540 (2004) made two joint statements to the Council in 2013.",1
"782","This attack, which occurs on the day of the ceremony in which the bodies of nine Nigerian MINUSMA soldiers are honored in the presence of the Under-Secretary-General for Peacekeeping Operations of the United Nations (UN), Mr. HervÃ© Ladsous, it is a provocative act committed by terrorists to instill fear and create confusion in the ranks of MINUSMA.",0
"783","5. The situation in Timor-Leste (December 15, 1975; February 23, 2012).",0
"784","The main aspects of the statements made by the Permanent Representatives, as well as the exchange of views among the members of the Working Group, are reflected in the summary contained in the relevant conclusions (S/AC.51/2014/3).",1
"785","(b) Receive from listed individuals requests for exemption from the measures set out in paragraph 1 (b) of this resolution and transmit them to the Committee for its determination, on a case-by-case basis, whether entry or transit is warranted, directs the Committee to consider such requests in consultation with States of transit and destination and any other relevant States, further decides that the Committee shall accept exemptions from the measures set out in paragraph 1 (b) of this resolution only upon agreement of States of transit and destination, and further directs the Committee, through the Focal Point, to notify such individuals of its decision;",1
"786","c) Water and electricity and overtime (5,357,643 riyals)",0
"787","However, after many years of war, and also as a result of strong international pressure, the government and the main rebel movement in the south, the Sudan People's Liberation Movement and Army, began peace talks in 2002.",0
"788","The Council stresses the need for the new Government, when formed, to engage with the international community and use the transition period constructively with a view to reconciliation, stability and reconstruction.",1
"789","Most people in the region rightly reject a return to the status quo ante, since a truce based on such a limited outcome cannot be expected to last.",0
"790","i) For the receipt by that person or another of a payment or the acquisition of goods outside the Republic; or",0
"791","20. Encourages Member States to promptly exchange information with other Member States, in particular with States of origin, destination and transit, when they discover any travel of persons included on the Al-Qaida Sanctions List;",1
"792","Reiterating the need for all States and non-State parties to conflicts to fully comply with their obligations under applicable international law, including the prohibition of all forms of sexual violence,",1
"793","Regarding the human rights situation in the Democratic Republic of the Congo, he stressed the importance of justice, respect and accountability, as well as good governance and respect for human rights, in addressing the root causes of conflicts and said that the Democratic Republic of the Congo had made some progress on these issues in recent years.",1
"794","Compliance with these bans has also benefited from the public notoriety of those subject to them, which makes them more recognizable and reduces the likelihood of them traveling under a false identity.",0
"795","Peacekeeping Operations Briefing: Post-Conflict Peacebuilding",0
"796","The leaders welcomed the statement of the President of the Security Council of 14 July 2005 and expressed support for the initiative of my Special Representative. However, they also used the occasion to express their concern that President Yusuf and Prime Minister Gedi might seek an armed confrontation with them.",1
"797","The Monitoring Team plans to continue working with the Branch, which should automatically be the partner of choice for most United Nations counter-terrorism capacity development activities, in order to avoid duplication of efforts. E. International and regional organizations",1
"798","The Janjaweed, to whom most of the victims in the current conflict refer, are Arab militias that attack the victims' villages, mounted on horses or camels, to kill, loot, burn and rape.",0
"799","The Security Council reiterates its request to the Secretary-General to include in his reports on specific situations in certain countries more extensive and detailed information regarding the protection of civilians in armed conflict.",1
"800","Transparency is one of the essential principles that govern the work and activities of the Committee, helping to build confidence, promote greater cooperation, and enable States, relevant international, regional and subregional organizations, civil society and the sector private sector have a better understanding of issues relating to resolution 1540 (2004), which facilitates its implementation by States. Transparency and disclosure through the media are closely interrelated.",1
"801","I have the honor to transmit herewith the report of the Security Council Committee established pursuant to resolution 2048 (2012) concerning Guinea-Bissau, which gives an account of the activities carried out by the Committee between 1 January and December 31, 2014.",1
"802","The Council calls upon Member States to enhance their cooperation at the international and regional levels, on the basis of common and shared responsibility, and their cooperation with UNODC and the International Narcotics Control Board, in order to address illicit production, demand and drug trafficking, and determine recently emerging trends in drug trafficking.",1
"803","The former Prime Minister stated that during the meeting he took the opportunity to speak with the Minister of the Interior about the need for a group of civilians to support the Police Reserve Unit (URP) of the PNTL, but that at no time was it discussed. to supply weapons or uniforms to said group.",1
"804","The purpose of the meeting was to initiate a dialogue with the private sector, to better understand the difficulties that the financial community was experiencing in implementing the sanctions regime, to find ways to simplify compliance and make it more economical and effective, and to develop ideas for its improvement.",1
"805","Emphasizing that defeating terrorism is only possible with a sustained and comprehensive approach involving the active participation and collaboration of all States and international and regional organizations to curb, weaken, isolate and neutralize the terrorist threat,",0
"806","Any deprivation of liberty must be carried out in accordance with the provisions of article 9: it must not be arbitrary; It must be based on the causes established by law and imposed in accordance with the procedure established therein; the detained person must be informed of the reasons for his arrest; the detention must be subject to judicial control; and redress must be provided in case of illegal detention.",1
"807","Ambassador Zahir Tanin, Permanent Representative of Afghanistan to the United Nations, highlighted the emerging international consensus regarding the transition strategy and called for increased international support to the Afghan security forces.",1
"808","""3. Calls upon all States to:",0
"809","c) Order the person receiving the detainee to take the detainee to the foreign State and, upon the detainee's return to Tonga, to return the detainee to the place of confinement in Tonga specified in the order;",0
"810","These standards may relate to a) outreach and guidance to the private sector; b) oversight of charities; c) enforcement measures to ensure that charities comply with requirements relating to combating money laundering and terrorist financing; and d) international engagement. E. Non-financial businesses and professions",1
"811","Authorities stressed that there were no Ivorian refugees or camps in Ghana.",1
"812","Reuters, news agency; Mariam Karouny, journalist, January 19, 2012",0
"813","Likewise, it recommends that further investigation be carried out to find out the possible involvement of Leandro Issac in the crimes committed.",1
"814","Bin Laden needs to offer a counterweight to Zarqawi's actions and demonstrate that he can continue to operate in all parts of the world by mounting spectacular attacks in other places, in order to resume the strategic project he had adopted before losing his base in Afghanistan in 2001.",0
"815","The Special Representative of the Secretary-General and Head of UNMISS stated that before the conflict broke out in December 2013, significant progress had been made in child protection, and significant success had been achieved with the South Sudan action plan. South.",0
"816","All participants made reference to the commemoration, on August 19, of World Humanitarian Assistance Day.",0
"817","16. Expresses its deep solidarity with victims of terrorism and their families, and encourages the Executive Directorate of the Counter-Terrorism Committee to take into account the important role that networks of victims and survivors can play in the fight against terrorism, in close cooperation with the Counter-Terrorism Implementation Task Force and its relevant working groups;",1
"818","The Committee reiterates that States must ensure that the measures they take to combat terrorism comply with all their obligations under international law, and that they must take them in accordance with international law, in particular international standards. of human rights, refugee law and humanitarian law.",1
"819","It will also continue to verify and promote the implementation of resolution 1373 (2001) by Member States and take practical measures to enhance the capacity of States to combat terrorism, including measures to facilitate the provision of technical assistance.",1
"820","Much of the information about the 24 names mentioned on the checklist has since changed.",0
"821","The Team has also initiated an exchange of views with the other expert groups on the possibility of adopting new criteria regarding the reporting requirements imposed on States by the three committees, and on how to establish more efficient systems to share information.",1
"822","- On November 27, 2014, Syrian regime forces killed Salah Iyash (Abu Mohammad), an ambulance driver, in Zebdin, eastern Ghouta, while he was on his way to assist the wounded.",0
"823","The Council stressed that defence and security sector reform, combating impunity and combating illicit drug trafficking remained priority areas for peacebuilding in Guinea-Bissau and urged the country's armed forces to respect civilian authority and oversight.",1
"824","In paragraph 3 of that resolution, the Council requested me, in consultation with the Committee established pursuant to resolution 751 (1992) concerning Somalia, to re-establish, within 30 days of the date of adoption the resolution and for a period of six months, the Monitoring Group referred to in paragraph 3 of resolution 1558 (2004), with the mandate established in paragraph 3 (a) to (i) of resolution 1630 ( 2005).",1
"825","3. Calls upon all States to continue international efforts aimed at promoting dialogue and improving understanding among civilizations, in an attempt to prevent indiscriminate attacks against different religions and cultures, and to take all necessary measures. necessary and appropriate and in accordance with their obligations under international law to combat incitement to commit acts of terrorism based on extremism and intolerance and to prevent the subversion of educational, cultural and religious institutions by terrorists and those who support them;",1
"826","At international meetings, the Team has had the opportunity to review States' awareness of the sanctions regime without preparation.",1
"827","However, the Prosecutor's Office believes that we should not wait for the conclusion of the judicial proceedings in Court for the victims of the crimes prosecuted to receive assistance.",1
"828","An important element is the fact that in a number of villages attacked and burned by militiamen and government forces, the aggressors refrained from exterminating the entire population that had not fled, but proceeded to selectively kill groups of young men.",0
"829","Looking ahead, I urge the parties to the peace process -- the Government of Mali and the armed groups represented -- to use this pause in negotiations to demonstrate political leadership and forge the compromises necessary to reach an agreement in Algiers .",1
"830","Although the physical protection of civilians against violence remains important, greater attention should be paid to protection through the development of political and civil processes, the deployment of reconciliation efforts at the community level and the establishment of a protection climate in close coordination with the United Nations country team and other actors working towards the same end.",1
"831","When there is evidence that contradicts the declared value, the four phases described above are followed in relation to that element.",0
"832","Of the cases reviewed so far, 29% have been substantiated, bringing the total number of names registered in the civil registry to well over 930,000.",0
"833","Emphasizes the importance of ensuring access by relevant organizations, as appropriate, to all prisons and places of detention in [affected country], and calls for full respect for relevant international law, including humanitarian law and the right to human rights ...",1
"834","The Committee's website is an indispensable transparency tool to enhance public awareness on issues relevant to resolution 1540 (2004).",1
"835","5. The Muslim Pious Works Recognition Act, 1890 6. The Charitable and Religious Trusts Act, 1920",0
"836","The competent authorities have requested that the deadline of 31 October 2005 for submitting the official request for modification by the Government of Iraq be extended to 31 December 2005 in order to take full account of communication problems between the competent authorities and suppliers regarding the extension of shipping deadlines and validity periods of letters of credit.",1
"837","Finally, it must be established under what circumstances force can be used in a peacekeeping operation, ranging from self-defense to peace enforcement through robust peacekeeping, and how this fits into the implementation. of its own mandate to protect civilians.",1
"838","""At its 4597th meeting, held in closed session on 8 August 2002, the Security Council considered the item entitled 'The situation relating to the Democratic Republic of the Congo'.",0
"839","Thus, where no State objects or submits a delisting request or where the information submitted is insufficient or contradictory, the matter could be referred to the Office of the Ombudsman.",1
"840","In some cases where the Committee considered that the information available was not sufficient to make a decision on the appropriateness of maintaining an entry on the List, it requested the Team to seek further information. This was especially true in cases where a person was believed to have died but their death certificate or equivalent official documentation was lacking.",1
"841","The Security Council reiterates that there is no military solution to the conflict in Afghanistan and that only a negotiated political settlement aimed at the establishment of a broad-based, multi-ethnic and fully representative government, acceptable to all Afghans, can lead to peace and the reconciliation.",1
"842","The system, which is based on outdated technology, will be modernized.",0
"843","Mr. Beyani also called on the Council not to lose sight of the important role that displaced women could play in negotiating peace, ensuring their human rights and achieving development in post-conflict situations.",1
"844","I stand ready to work closely with the Security Council, collectively, and with key stakeholders, individually, to end this dangerous crisis, conclude the peace process quickly and restore vital humanitarian activities in Eritrea.",1
"845","""The Security Council reaffirms its concern about the alarming situation in the Sahel region and its commitment to addressing the complex security and political challenges in this region, which are interrelated with humanitarian and development issues, as well as the adverse effects of change climatic and ecological.",1
"846","For the period under review, total income was $996,000 and total expenses were $1,241,000, meaning that income was less than expenses by $245,000.",0
"847","c) Further calls upon all parties listed in the annexes to the Secretary-General's report on children and armed conflict to address all other violations and abuses against children and to take concrete measures and commitments in this regard;",1
"848","The mission will discuss with the Ugandan authorities how to find a solution to the conflict, including the implementation of the amnesty law for members of the Lord's Resistance Army who have not committed the most serious violations of human rights and humanitarian law. international, in the context of recent attempts at negotiation and the procedures established by the International Criminal Court to prosecute those responsible for serious violations of human rights and international humanitarian law.",1
"849","January 9, 2006 Timor-Leste-FALINTIL and the Defense Forces of Timor-Leste (F-FDTL) present a written petition to Brigadier General Taur Matan Ruak and President GusmÃ£o.",1
"850","The three States visited by the Committee have played an active role in creating specialized police agencies and units in the fight against terrorism, as well as in ensuring that they are provided with the training and tools necessary to carry out their tasks in various related areas of the fight against terrorism.",1
"851","b) Contribute to improving the security conditions under which humanitarian assistance is provided, and assist the voluntary return of refugees and internally displaced persons;",0
"852","In the deliberations on the role of the President, several participants recognized that two ""traps"" had to be avoided: first, trying to achieve national objectives to direct the work of the Council towards specific interests; and secondly, assuming a type of leadership that is too isolated and formulaic.",1
"853","Calling on States to ensure, in accordance with international law, in particular international human rights law and international refugee law, that refugee status is not misused by those who commit, organize or facilitate acts of terrorism, particularly by foreign terrorist fighters,",1
"854","Following this exchange of views, the Team has discussed this issue with the Committee and has contacted other States with similar programs to expand its investigation.",1
"855","The Government of Iraq fulfills its obligations under United Nations Security Council resolutions and pursues a policy of peaceful coexistence with its neighbors conducive to the security and stability of the region. The Government of Iraq hopes that the United Nations Security Council will recognize that there have been significant positive developments in the country; that the situation in Iraq is fundamentally different from that which prevailed when the United Nations Security Council adopted resolution 661 (1990), and that the time has come for Iraq to regain its legal status and international standing prior to the adoption of that resolution by the Security Council and the imposition of consequent sanctions under Chapter VII of the Charter of the United Nations.",1
"856","The dividing lines between underdevelopment, instability, fragility, crisis, conflict and war are increasingly blurred; Therefore conflict prevention, conflict resolution and peacebuilding require multidimensional responses.",1
"857","c) Repair and replacement of traffic signs: US$1,490,539.",0
"858","40. Welcomes the regular reporting by the Government of Afghanistan on the content of the List and the effects of targeted sanctions in terms of countering threats to the peace, stability and security of Afghanistan and supporting the Afghan-led reconciliation initiative;",1
"859","Accordingly, the Committee will transmit these recommendations to the Counter-Terrorism Committee established pursuant to resolution 1373 (2001).",1
"860","Council members held a general exchange of views on various issues, including the situation in the West Bank and Gaza Strip, including the urgent need to rebuild and reform the infrastructure of the Palestinian Authority with strong support from donors, the situation on both sides of the Blue Line, and the various diplomatic efforts underway, including preparations to convene an international conference on the Middle East.",1
"861","The case began on 5 November 2003 and is scheduled to conclude at the end of 2007.",0
"862","This means that its mandate consists of verifying facts related to possible transgressions of international human rights standards and international humanitarian law committed in Darfur.",1
"863","ii) The Convention on the Physical Protection of Nuclear Material, 1980;",0
"864","Requests the Secretary-General to continue to assist the Government of [the affected country] in developing transitional security institutions, including the [national] police force and the national security force, and to continue supporting the Government of [the affected country affected] in the development of a national security strategy that contemplates respect for the rule of law and the protection of human rights and includes plans for disarmament, demobilization and reintegration, justice and penitentiary institutions, as well as the legal and regulatory framework necessary for the functioning of its security forces, including governance, vetting and oversight mechanisms.",1
"865","Use of the reserve from January 1 to December 31, 2008",0
"866","The Council underlines the need for any military action against the LRA to be carried out in accordance with applicable international law, in particular international humanitarian law, international human rights law and international refugee law, and to be reduced to minimize the risk of harm to the civilian population in those areas.",1
"867","Recalls the conclusions endorsed by the Security Council Working Group on Children and Armed Conflict in [the affected country], ... calls upon all parties to put an end to serious violations and abuses against children in [the affected country], urges the Government... to develop and implement a concrete and time-bound action plan to stop the recruitment and use of children, requests the Secretary-General to continue dialogue with the Government... in this regard, and reiterates its request to the Secretary-General to strengthen the child protection component of [the mission] and continue to monitor and report on the situation of children in [the affected country];",1
"868","Substantial progress was made in the current work program to raise awareness among parliamentarians, through events organized in Geneva with the Inter-Parliamentary Union and in St. Petersburg, Russian Federation, with parliamentarians from the CIS countries.",1
"869","The question is how to fulfill our mandate and ensure that the United Nations does not have to return within the next decade.",0
"870","The American company Devon Energy Corporation also operates in the Lion and Panthere fields, which produce almost 20,000 barrels per day in the CI-11 lot.",0
"871","The guidelines were therefore referred to the ILO for review and possible action.",1
"872","That system has been considerably weakened over the last decade. The existence of restrictive laws that grant broad powers to the Executive has weakened, in particular, the judicial system.",0
"873","Eritrea's envoy in Mogadishu is Elias Haite Talaze.",0
"874","Council members welcomed the efforts made by the Government to combat the Lord's Resistance Army, as well as the regional cooperation initiative of the African Union to eliminate the Lord's Resistance Army and appoint a special envoy of the African Union to coordinate the initiative.",1
"875","I am deeply grateful to my Acting Special Representative for Mali, Mr. David Gressly, and my Deputy Special Representative, Mr. Arnauld AkodjÃ©nou, as well as all United Nations civilian and uniformed personnel in Mali, for their continued hard work. that they perform under very difficult conditions to restore lasting peace and stability in the country.",1
"876","The Security Council calls upon Sudan and Chad to respect and fully implement their mutual commitments, in particular those made in the Doha Agreement of 3 May 2009 and the Dakar Agreement of 13 March 2008, to engage in constructive talks with the Dakar contact group and welcome the good offices of Libya and Qatar to normalize their relations, cooperate to put an end to the cross-border activities of armed groups and strengthen measures to suppress illicit arms trafficking in the region, including by establishing effective joint border surveillance.",1
"877","77. This section will briefly study the different groups actively participating in the armed conflict in Darfur.",1
"878","All publicly owned companies are subject to external audits and their accounts are published.",0
"879","This year, in order to guide the pledges of new donors, UNMIK prepared ""Kosovo: Reconstruction 2000"", a reconstruction and public investment program to guide donors towards the priorities of the Joint Interim Administrative Structure.",0
"880","The Peace and Security Council's first open session on children affected by armed conflict and its proposal to appoint an African Union Special Envoy for Children in Africa also met with approval.",1
"881","[R]eiterates its call to parties to armed conflicts [indicated in the relevant report of the Secretary-General] who have not yet done so to prepare and implement, without further delay, concrete and time-bound plans of action for implementation end the recruitment and use of children in contravention of applicable international law, and to address all violations and abuses against children in close cooperation with [the Special Representative of the Secretary-General for Children and Armed Conflict], as well as as well as with UNICEF and United Nations country task forces responsible for monitoring and reporting.",0
"882","Thematic Session of the Security Council on the fight",1
"883","Employment of members of minority communities in the public sector is 55% of the minimum stipulated level.",0
"884","Over the past year, numerous international leaders -- including heads of state, representatives of the United Nations and a majority of Security Council members -- have spoken out clearly against the dispatch of such flotillas to Gaza, and have stressed the need for humanitarian supplies to be sent to the area only through established channels.",1
"885","Nothing was reported on this subject. Where is the credibility that he had in the past? I hope that time does not erode it.",0
"886","To this end, one of the instruments at the disposal of Member States is the United Nations Register of Conventional Arms. This Registry includes data provided by States on international arms transfers and also information on military stocks, national production acquisitions and relevant policies.",0
"887","n) Coordinate and cooperate with the national focal point for counter-terrorism or a similar coordinating body in the country visited, as appropriate;",0
