"","en_ar_DEEP","VerCoop"
"641","سيتقاعد السيد مريم من الخدمة في الأمم المتحدة بعد حياة مهنية طويلة ومتميزة.",0
"642","وتعرب البوسنة والهرسك عن قلقها إزاء الجمود السياسي الحالي في تشكيل حكومة جديدة وتحديد عملية إصلاح دستوري واضحة.",0
"643","138 - ناصر فهد محمد العجمي",0
"644","71 - وفي جهود التعقب التي تبذلها، ينبغي دعوة الدول الأعضاء إلى أن تستخدم، حسب الاقتضاء، نظام الإنتربول العالمي للاتصالات الشرطية ""I-24/7"" ونظام الإنتربول الإلكتروني لتعقب الأسلحة.",1
"645","2. تنفيذ القرار 1624 (2005)",0
"646","واستجابة لذلك، أنشأت وزارة العدل التابعة لبعثة الأمم المتحدة للإدارة المؤقتة في كوسوفو فريق عمل مشترك مع ركيزة بناء المؤسسات لدراسة التقرير وتطوير سبل تنفيذ توصياته.",1
"647",":: لائحة المجلس (المفوضية الأوروبية) رقم 2368/2002 المؤرخة 20 كانون الأول/ديسمبر 2002",0
"648","في الفقرة 3 (د) من القرار 1587 (2005)، طلب مجلس الأمن إلى فريق الرصد أن يواصل تحسين وتحديث المعلومات المتعلقة بمشروع قائمة الأفراد والكيانات الذين ينتهكون التدابير التي تنفذها الدول الأعضاء وفقا للقرار 733 (1992). )، داخل الصومال وخارجه، ومؤيديهم النشطين، لغرض التدابير المستقبلية التي يمكن أن يتخذها المجلس، وتقديم هذه المعلومات إلى اللجنة المنشأة عملا بالقرار 751 (1992) عندما ومتى تراه مناسبا.",1
"649","وإذ يتصرف بموجب الفصل السابع من ميثاق الأمم المتحدة،",0
"650","وستبدأ البعثة المتكاملة في تنقيح مفهوم مهمتها في أوائل عام 2015، وهو ما سيوجه عملية استعراض مفاهيم العناصر العسكرية وعناصر الشرطة والدعم التكميلية التي توضح بالتفصيل وتدعم تنفيذ مفهوم البعثة.",1
"651","ضمان استمرار الحوار مع البلدان المساهمة بقوات وأفراد شرطة بشأن زيادة مساهمة المرأة في الوحدات الوطنية، بما في ذلك من خلال اجتماعات منظمة لمراجعة أفضل الممارسات لتعزيز التوازن بين الجنسين ودمج منظور النوع الاجتماعي في عمل الأفراد النظاميين في عمليات حفظ السلام.",1
"652","ومن المتوقع إطلاق مجموعة من السياسات والمبادئ التوجيهية والإجراءات المتعلقة بنزع السلاح والتسريح وإعادة الإدماج المعروفة باسم المعايير المتكاملة لنزع السلاح والتسريح وإعادة الإدماج، ومركز موارد نزع السلاح والتسريح وإعادة الإدماج التابع للأمم المتحدة على شبكة الإنترنت، في أوائل عام 2006.",0
"653","ويعتقد الفريق أن إحدى نقاط القوة الكبيرة للجنة هي أنها تعمل بتوافق الآراء وأن اللجوء إلى إجراءات التصويت في مجلس الأمن على مستوى اللجنة من شأنه أن يقوض ممارسة عمل هامة.",1
"654","26. رسالة مؤرخة 19 أكتوبر 1999 موجهة إلى الأمين العام (S/1999/1074)",0
"655","وتخضع كفاية التغطية التأمينية للمراجعة من قبل البنك المركزي.",0
"656","حرر في أبيدجان في 2 نيسان/أبريل 2003",0
"657","وفي يوليو/تموز 2005، كان 93 بالمائة من المعتقلين رهن الاحتجاز السابق للمحاكمة، وقد يكون الرقم الآن أعلى من ذلك.",0
"658","""ويشجع مجلس الأمن الدول الأعضاء على مواصلة التعاون فيما بينها في مكافحة القرصنة والسطو المسلح في البحر قبالة سواحل الصومال، ويؤكد على المسؤولية الأساسية التي تقع على عاتق السلطات الصومالية في مكافحة القرصنة والسطو المسلح في البحر قبالة سواحل الصومال، ويطلب من السلطات الصومالية، بمساعدة من الأمين العام والكيانات ذات الصلة في الأمم المتحدة، إقرار مجموعة كاملة من قوانين مكافحة القرصنة دون مزيد من التأخير، وإعلان منطقة اقتصادية خالصة وفقا لاتفاقية الأمم المتحدة لقانون البحار.",1
"659","وفي الختام، وفي سياق السلام العالمي والشرق الأوسط، أود أن أؤكد على أنه في حين أننا نتفهم كافة أنواع الاحتياجات التي تنشأ فيما يتصل بالأمن، فمن الأفضل لهذه المنطقة والعالم أجمع أن يتم وقف الوضع في إيران من التحول نحو الصراع، لأن هذا النوع من الصراع قد يكون له تأثير مؤسف للغاية على العالم وقد يكون القشة الأخيرة التي تكسر ظهر البعير فيما يتصل بالسلام العالمي.",0
"660","واحتج العقيد رايس ونائبه لدى العميد رواك، الذي قدم اعتذاره عن إطلاق النار.",0
"661","72 - لقد قيل الكثير عن تمويل الإرهاب عن طريق المخدرات، بما في ذلك في الاتفاقيات الدولية وقرارات مجلس الأمن.",1
"662","41 - وقدمت الأمم المتحدة أيضا التدريب لرابطة الإعلام النسائية لتمكينها من خلق الوعي العام بشأن حقوق الإنسان وفيروس نقص المناعة البشرية/الإيدز.",0
"663","وقد أدت النزاعات العرقية والحدودية التي لم يتم حلها إلى صراعات تقوض الجهود الرامية إلى تطوير استجابة إقليمية متماسكة لمكافحة الإرهاب.",0
"664","1 - طلب مجلس الأمن إلى الأمين العام، في بيانه الرئاسي المؤرخ 4 أيلول/سبتمبر (PRST/2008/33)، أن يحدد الدول التي يمكن أن تساهم بالموارد المالية والأفراد والمعدات والخدمات المطلوبة لقوة متعددة الجنسيات في الصومال وأن يتصل بها.",1
"665","ومع ذلك، لم تجد اللجنة أي دليل على أن هذه الجرائم كانت واسعة النطاق أو منهجية بما يكفي لتشكل جريمة ضد الإنسانية.",0
"666","وحث المجلس السودان وجنوب السودان على التنفيذ الكامل لالتزاماتهما بموجب اتفاقي 29 حزيران/يونيه 2011، المتعلق بإنشاء منطقة حدودية آمنة منزوعة السلاح، و30 تموز/يوليه 2011، المتعلق بإنشاء آلية مشتركة للتحقق من الحدود ورصدها، وحث هاتين الحكومتين على التعاون الكامل مع بعضهما البعض وتقديم الدعم الكامل لقوة الأمم المتحدة الأمنية المؤقتة في أبيي، وتمكينها من تنفيذ ولايتها.",1
"667","وفي تموز/يوليه 2010، أصدرت أنغولا تشريعا ينص على تدابير وقائية وتقييدية لمكافحة غسل الأموال وتمويل الإرهاب. في 15 نيسان/أبريل 2010، قدمت أنغولا طلبها للانضمام إلى مجموعة شرق وجنوب أفريقيا لمكافحة غسل الأموال.",0
"668","وقوائم المعدات هذه واسعة النطاق، ولكن يمكن تلخيصها على النحو التالي:",0
"669","27 - وفي مناسبات عديدة، سلط أعضاء اللجنة الضوء على المهام التكميلية للجنة، واللجنة المنشأة عملا بالقرار 1373 (2001) بشأن مكافحة الإرهاب، واللجنة المنشأة عملا بالقرار 1540 (2004) في مكافحة الإرهاب الدولي، وضرورة تنسيق الأنشطة وتبادل المعلومات فيما بينها.",1
"670","وليس المقصود من التعديل المقترح أن يشكل محاكمة غيابية. بل إنها تهدف إلى توفير ضمانات كافية للمحاكمة العادلة للمتهمين، بما في ذلك تعيين المحامين من قبل غرفة الدرجة الأولى خلال هذه الإجراءات.",0
"671","المقرر عقدها يوم الأربعاء 20 تموز/يوليه 2011، الساعة 10 صباحا",0
"672","ومع ذلك، فإن المسؤولية عن اتخاذ المزيد من الإجراءات تقع أيضًا على عاتق الدول الأعضاء، من خلال طرح الأسماء، أو الإشارة إلى المشاكل، أو مناقشة إدخال المزيد من التحسينات على الإجراءات.",1
"673","4. إحسان نجمي، مدير مشروع البناء، نطنز",0
"674","49 - وتشجع اللجنة مديريتها التنفيذية على مواصلة استكشاف أفضل النُهج والوسائل الممكنة لتنسيق أنشطة الأمم المتحدة، مع كيانات الأمم المتحدة الأخرى، ولا سيما فيما يتعلق بمواءمة منهجيات العمل وبرمجة مشاريع مكافحة الإرهاب.",1
"675","المقرر عقدها كجلسة خاصة يوم الأحد 19 كانون الأول/ديسمبر 2010، الساعة 5.30 مساءً",0
"676","وينظر الفريق في كل مشروع على حدة، على النحو التالي:",0
"677","وبالانتقال إلى دور مجلس الأمن في التعويضات، فقد لوحظ أنه تم تشجيع المجلس في عدد من المناسبات على اعتماد تدابير فيما يتعلق بهذا الجانب من المساءلة. على سبيل المثال، بالإضافة إلى التوصية بإحالة الوضع إلى المحكمة الجنائية الدولية، أوصت لجنة التحقيق الدولية بشأن دارفور أيضاً بأن يقوم المجلس بإنشاء لجنة تعويضات دولية - وهو الاقتراح الذي لم يحظ باهتمام كبير ولم يتابعه المجلس.",1
"678","وإنني أشجع مكتب الأمم المتحدة لغرب أفريقيا، ومكتب الأمم المتحدة الإقليمي في وسط أفريقيا، والجماعة الاقتصادية لدول غرب أفريقيا، والجماعة الاقتصادية لدول وسط أفريقيا، ولجنة حوض بحيرة تشاد على مواصلة تعزيز التعاون للتصدي للتهديدات الأمنية عبر الحدود.",1
"679","وفي هذا الصدد، ستكون هناك حاجة إلى المرونة أثناء التنفيذ لضمان تعديل الإطار على النحو المطلوب استجابة للتطورات والتغيرات الجديدة في السياق.",1
"680","وهذه هي المرة الأولى التي تتجاوز فيها الميزانية مليار يورو.",0
"681","وكان هذا ممكنا إلى حد كبير بفضل قيادة رئيس الوزراء غوسماو، فضلا عن تعاون جميع الأحزاب السياسية الممثلة في البرلمان، بما في ذلك المعارضة، التي أبدت استعدادها للمضي قدما بشأن قضية وطنية ذات أولوية.",0
"682","ويدعو مجلس الأمن أيضا اللجان الثلاث إلى مواصلة التعاون مع الفريق العامل المنشأ عملا بالقرار 1566 (2004).",1
"683","28 - وشددت عدة دول في المنطقة الأفريقية على تصميمها على ضمان اتخاذ التدابير الرامية إلى حماية الجمهور من الأعمال الإرهابية في إطار القانون وبما يتفق مع التزاماتها بموجب القانون الدولي.",1
"684","ورحب الممثل الخاص بالجهود التي تبذلها حكومة جمهورية الكونغو الديمقراطية لحماية الأطفال، ولا سيما التوقيع في 4 تشرين الأول/أكتوبر 2012 على خطة العمل لإنهاء ومنع تجنيد واستخدام الأطفال والعنف الجنسي وغيره من الانتهاكات الجسيمة ضد الأطفال. على أيدي القوات المسلحة وقوات الأمن الوطنية، ومشاركة الحكومة في حملة ""أطفال، لا جنود""، وتعيين مستشار رئاسي في 14 تموز/يوليه 2014 معني بالعنف الجنسي وتجنيد الأطفال.",1
"685","صادق المغرب على هذه الاتفاقية بموجب الظهير الشريف رقم 4-93-38 الصادر في 2008",0
"686","لكن ""رقم 1"" كُتب بقلم حبر، وليس بالطلاء.",0
"687","وحتى الآن، لا يزال نظام واجهة برمجة التطبيقات هذا مستخدمًا على نطاق واسع في أنتيغوا وبربودا.",0
"688","ويدعو المجلس مقاتلي جيش الرب للمقاومة المتبقين إلى ترك صفوف الجماعة والمشاركة في عملية نزع السلاح والتسريح والإعادة إلى الوطن وإعادة التوطين وإعادة الإدماج.",1
"689","16 - وفي محاولة لاحتواء فيروس إيبولا، أغلقت بعض بلدان غرب أفريقيا حدودها وأوقفت الرحلات الجوية التجارية إلى الدول الثلاث الأكثر تضررا، وهي غينيا وليبيريا وسيراليون. وفرضت كوت ديفوار قيودا على الطيران من وإلى الدول الثلاث في 10 آب/أغسطس، أعقبها إغلاق الحدود البرية في 22 آب/أغسطس.",0
"690","32 - ولم يطلب المجلس حتى الآن أن يقدم الأمين العام تقريرا إلى المجلس عن جهوده، كما دعي في بيانيه الرئاسيين في عامي 2009 و 2010، لتعميم مراعاة مسألة الاتجار بالمخدرات كعامل في منع نشوب الصراعات. الاستراتيجيات، وتحليل الصراعات، وتقييم البعثات المتكاملة وتخطيطها، ودعم بناء السلام.",1
"691","""ويدعو مجلس الأمن الطرفين إلى الامتناع عن استخدام القوة وتسوية خلافاتهما بالوسائل السلمية، وتطبيع علاقاتهما، وتعزيز الاستقرار بينهما، وإرساء الأساس للسلام المستدام في المنطقة.",1
"692","609) تستند توصية اللجنة بإحالة مجلس الأمن إلى المحكمة الجنائية الدولية إلى الافتراض الصحيح بأن المحاكم السودانية غير راغبة وغير قادرة على محاكمة الجرائم الدولية العديدة التي ارتكبت في دارفور منذ عام 2003.",1
"693","ز- مدة مهمة المتابعة",0
"694","6 - يقرر، من أجل مساعدة اللجنة في الاضطلاع بولايتها، أن ينشئ لمدة 18 شهرا فريقا للدعم التحليلي ورصد الجزاءات يكون مقره في نيويورك (يشار إليه فيما بعد باسم ""فريق الرصد"") تحت التوجيه للجنة المسؤوليات المنصوص عليها في مرفق هذا القرار؛",0
"695","وكما أشار متكلم ثالث، فإنه بدون التعاون الملتزم بين الأعضاء الدائمين والمنتخبين، سيجد المجلس نفسه باستمرار في طريق مسدود نظرا لأن اتخاذ القرارات يتطلب تسعة أصوات.",1
"696","وقد اتخذت أربع دول تدابير محددة لقمع تجنيد الإرهابيين.",1
"697","ويلاحظ مجلس الأمن مع التقدير الخطوات الأولية التي اتخذتها حكومة رواندا بسرعة لمعالجة هذه الحالة، ويشجع حكومة رواندا على مواصلة التعاون مع الأمم المتحدة والمنظمات الدولية ذات الصلة لضمان تسريح هؤلاء المقاتلين بشكل دائم والتعامل معهم. وفقاً للقانون الدولي ذي الصلة، مع إيلاء اهتمام خاص للأطفال والنساء بينهم.",1
"698","5 - يهيب بجميع الدول أن تواصل اتخاذ خطوات عاجلة لإنفاذ وتعزيز التدابير المفروضة بموجب القوانين أو اللوائح المحلية على مواطنيها وغيرهم من الأفراد أو الكيانات العاملين في أراضيها وتعزيزها، من خلال سن تشريعات أو تدابير إدارية، حيثما يكون ذلك مناسبا، لمنع معاقبة انتهاكات التدابير المشار إليها في الفقرة 1 من هذا القرار، وإبلاغ اللجنة باعتماد هذه التدابير، ويدعو الدول إلى إبلاغ اللجنة بنتائج جميع التحقيقات أو إجراءات الإنفاذ ذات الصلة، ما لم يكن ذلك من شأنه الإضرار إجراءات التحقيق أو التنفيذ؛",1
"699","وترى اللجنة أيضاً أن القيود المفروضة على السكان المشردين داخلياً في المخيمات، ولا سيما النساء، عن طريق ترويعهم عن طريق أعمال الاغتصاب أو القتل أو التهديد باستخدام العنف ضد حياتهم أو شخصهم من جانب الجنجويد، تصل إلى حد الحرمان الشديد من الحرية البدنية، وهو انتهاك للقانون الدولي الإنساني. قواعد القانون الدولي.",0
"700","بالنيابة عن لجنة مجلس الأمن المنشأة عملاً بالقرار 1540 (2004)، ووفقاً للفقرة 8 من قرار مجلس الأمن 1810 (2008)، أقدم إليكم طيه تقريراً عن نظر اللجنة في استعراض شامل لحالة تنفيذ القرار 1540 (2004) (انظر المرفق).",1
"701","إن الحركات، إذ تعترف بالدور الموثوق والبناء الذي لعبته الجزائر في الجهود المبذولة لتعزيز وإيجاد مخرج نهائي للأزمة، نقلت إلى الجزائر ثقتها الكاملة في جهودها المتواصلة لتحقيق هذه الغاية وفي مشاركتها المتزايدة في البحث عن حل نهائي للأزمة. التسوية النهائية للصراع التي طال انتظارها.",1
"702","وإذ يدين استمرار التدفق غير المشروع للأسلحة داخل جمهورية الكونغو الديمقراطية وإليها، ويعلن تصميمه على مواصلة الرصد الوثيق لتنفيذ حظر توريد الأسلحة وغيره من التدابير المنصوص عليها في قراره 1807 (2008)،",0
"703","وأشارت إحدى الدول إلى أنها أنشأت مركزاً دولياً للحوار بين الأديان، ونظمت واستضافت العديد من الأحداث ذات الصلة.",0
"704","13. وتتكون المجموعة الأخيرة من المجندين الجدد الذين أصبحوا أو في طريقهم إلى التطرف بسبب الأحداث العالمية أو من قبل المتطرفين في مجتمعاتهم الذين تم إغراءهم بالفعل برسالة تنظيم القاعدة، أو حتى من خلال المواقع الإرهابية وغرف الدردشة على شبكة الإنترنت. إنترنت.",0
"705","وكان ابتكاره هو نقل الهدف من الدول الإسلامية إلى الغرب، وخاصة الولايات المتحدة الأمريكية؛ ومن خلال وصف إرهابه بأنه صراع بين الإسلام وأعدائه، تمكن من جمع عدة مجموعات متنوعة ومتنافسة في كثير من الأحيان تحت راية واحدة.",0
"706","وشددت دولة أخرى على أهمية اتباع نهج مجتمعي، مشيرة إلى أن الأسر والمجتمعات المحلية والمؤسسات المحلية المستنيرة هي الدفاعات الأكثر فعالية ضد الأيديولوجيات المتطرفة العنيفة.",1
"707","(أ) الحالة العامة في ليبريا؛",0
"708","ويشكل سوء التغذية المزمن في مخيمات اللاجئين مشكلة صحية كبيرة، وتعتزم المفوضية وبرنامج الأغذية العالمي اتخاذ تدابير تصحيحية، بما في ذلك التغذية التكميلية للفئات الضعيفة.",1
"709","أ) الخدمات المالية أو مقدمو الخدمات المالية المساعدة،",0
"710","وجرى تبادل قصير للآراء، أعرب خلاله أحد أعضاء المجلس عن آرائه بشأن قوة الأمم المتحدة لمراقبة فض الاشتباك، وطرح أحد البلدان المساهمة بقوات بعض الأسئلة على إدارة عمليات حفظ السلام.",1
"711","أن تؤخذ في الاعتبار نتائج الرصد والتقييم النهائية الواردة من المسح الساحلي الملوث بالنفط في المملكة العربية السعودية عندما ترصد اللجنة استخدام التعويضات لأنشطة الإصلاح البيئي، بما في ذلك التعويض الخاص بمطالبة اللجنة رقم 5000451.",1
"712","(س) نكوسازانا دلاميني زوما، رئيسة مفوضية الاتحاد الأفريقي.",0
"713","106 - وقد استشار الفريق فريق الرصد المعني بالصومال، الذي ذكر في تقريره المؤرخ 9 آذار/مارس 2005 (S/2005/153) أن حظر الأسلحة قد تم انتهاكه من خلال توفير الأسلحة والمتفجرات والأعتدة ذات الصلة والتدريب العسكري إلى الصومال. -الاتحاد الإسلامي، كيان مدرج في القائمة الموحدة.",1
"714","وبدأ جنود آخرون بضرب النساء الأربع الأخريات، بما في ذلك الشاهدة.",0
"715","وقد ينطبق أيضًا حكم المادة 95، الفقرة 1 (هـ) من القانون الجنائي.",0
"716","71- تعتمد معظم الدول على قوانين الإجراءات الجنائية لتنظيم عمل وكالات إنفاذ القانون لديها.",0
"717","76 - وتواصلت الجهود لتجنيد أفراد من طوائف الأقليات في فيلق حماية كوسوفو.",0
"718","وفي مناقشة دور الرئيس، أقر العديد من المشاركين بوجود ""فخين"" يجب تجنبهما: أولاً، متابعة جدول أعمال وطني لتوجيه المجلس نحو مصالح محددة؛ وثانيًا، افتراض أسلوب قيادة منطوي على الشكليات بشكل مفرط.",1
"719","في جلسة مجلس الأمن 6492، المعقودة في 28 شباط/فبراير 2011، فيما يتصل بنظر المجلس في البند المعنون ""التهديدات التي يتعرض لها السلام والأمن الدوليان نتيجة للأعمال الإرهابية""، أدلى رئيس مجلس الأمن بالبيان التالي باسم المجلس:",1
"720","40 - تم اعتماد القرار الذي يأذن بإنشاء بعثة الأمم المتحدة لتقديم الدعم في تيمور الشرقية بالإجماع باعتباره القرار 1410 (2002) في 17 أيار/مايو.",1
"721","وحيثما كان ذلك مناسبا، فإن وجود صلة أقوى بين إصلاح قطاع الأمن ورفع حظر الأسلحة قد يوفر حافزا فعالا لنجاح هذا الإصلاح. وهذا مهم أيضًا من وجهة نظر منع تكرار الصراع في الحالات الهشة بعد انتهاء الصراع.",1
"722","وباختصار، فإن المهام التي حددها فريق المراقبين الاقتصاديين (ECOMOG) لنفسه تشمل ما يلي:",0
"723","والآن بعد أن أصبحت الوساطة والأنشطة ذات الصلة بارزة جدًا في تجارة الأسلحة الدولية، فمن الأهمية بمكان أن تقوم الدول بسن قوانين وأنظمة فعالة تحكم هذا النطاق الواسع من سمسرة الأسلحة في الوقت الحاضر.",1
"724","28 - وفي 28 تشرين الأول/أكتوبر، اجتمعت اللجنة بمارتن شينين، المقرر الخاص المعني بتعزيز وحماية حقوق الإنسان والحريات الأساسية في سياق مكافحة الإرهاب. وأطلع السيد شاينين ​​اللجنة على مقترحاته لتحسين نظام الجزاءات، وأعقب ذلك تبادل بناء للآراء بشأن المسائل المتعلقة بعدالة ووضوح إجراءات اللجنة، ولا سيما فيما يتعلق بالإدراج والشطب من القائمة.",1
"725","وتشاور المشاركون في البعثة المشتركة مع جميع أصحاب المصلحة في بوركينا فاسو لوضع ترتيبات لتسليم السلطة من الجيش إلى عملية انتقالية توافقية بقيادة مدنية تؤدي إلى انتخابات وعودة سريعة للنظام الدستوري.",1
"726",":: في حي تل الهوى، مدينة غزة يومي 15 و 16 كانون الثاني/يناير 2009",0
"727","- أقنعة الغاز للبالغين والمعالين (6,522,200 ريال سعودي)؛",0
"728","واستمرت عملية التسجيل من 23 أبريل/نيسان إلى 29 مايو/أيار، وخلال هذه الفترة تمت إضافة 400 ألف اسم إلى السجل الحالي، ليصل إجمالي عدد الناخبين المسجلين إلى 1.5 مليون ناخب.",0
"729","كانت الشاحنات الصغيرة مزودة بمدافع رشاشة من طراز DShK (مدافع رشاشة مثبتة على حامل ثلاثي الأرجل عيار 12.7 ملم) في الجزء الخلفي، وكان لدى إحداها نظام إطلاق صواريخ Hound الذي كان يستخدم لإطلاق الصواريخ على القرية وعبرها.",0
"730","تحرك الفريق المكون من عشرة مفتشين من فندق القناة في الساعة 45/9 صباحا متجها إلى موقع المثنى التابع لشركة طارق العامة (إحدى شركات هيئة التصنيع العسكري) الواقعة على مسافة 50 كم شمال بغداد.",0
"731","""ويؤكد مجلس الأمن من جديد قلقه إزاء الحالة المثيرة للقلق في منطقة الساحل والتزامه بالتصدي للتحديات الأمنية والسياسية المعقدة في هذه المنطقة والمرتبطة بالقضايا الإنسانية والإنمائية، فضلا عن الآثار الضارة للتغيرات المناخية والبيئية.",1
"732","وفي معرض دعوتها إلى إجراء تحليل أعمق للأهداف المشتركة بين أوساط حقوق الإنسان والتنمية والأمن، وكذلك منظومة الأمم المتحدة والدول الأعضاء، شددت المفوضة السامية على أن انتهاكات حقوق الإنسان غالباً ما تكون سبباً جذرياً للنزاعات المسلحة، كما كان الحال من قبل. كما حدث في الصومال والبوسنة والهرسك.",1
"733","19 - يطلب إلى فريق الخبراء أن يواصل تنسيق أنشطته، حسب الاقتضاء، مع عمليات العملية المختلطة للأمم المتحدة والاتحاد الأفريقي في دارفور ومع الجهود الدولية الرامية إلى تعزيز العملية السياسية في دارفور، وإجراء تقييم في مراحلها المؤقتة. والتقارير النهائية عن التقدم المحرز نحو الحد من انتهاكات جميع الأطراف للتدابير المفروضة بموجب الفقرتين 7 و 8 من القرار 1556 (2005)، والفقرة 7 من القرار 1591 (2005)، والفقرة 10 من القرار 1945 (2010)، والتقدم المحرز نحو إزالة العوائق أمام العملية السياسية والتهديدات التي يتعرض لها الاستقرار في دارفور والمنطقة؛ انتهاكات القانون الإنساني الدولي أو انتهاكات أو تجاوزات حقوق الإنسان، بما في ذلك الهجمات على السكان المدنيين، والعنف الجنسي والجنساني، والانتهاكات والاعتداءات الجسيمة ضد الأطفال، وغيرها من انتهاكات القرارات المذكورة أعلاه، وتزويد اللجنة مع معلومات عن الأفراد والكيانات الذين يستوفون معايير الإدراج في الفقرة 3 (ج) من القرار 1591؛",0
"734","ج. كاليمانزيرا وزير الداخلية بالنيابة",0
"735","واتفقنا أيضا على أنه ينبغي للأطراف أن تعيد إقامة حوار حقيقي تشتد الحاجة إليه، وأن تمضي قدما، دون تأخير، نحو تفكيك الميليشيات، ونزع سلاح المقاتلين وتسريحهم وإعادة إدماجهم، وتنظيم انتخابات حرة ونزيهة وذات مصداقية.",1
"736","شركة نفط الجنوب – 100.000.000 دولار",0
"737","أولاً، حثت مجلس الأمن على إعطاء حقوق الإنسان مزيداً من الاعتراف والأهمية في قراراته وبياناته الرئاسية.",1
"738","2. الوضع في كوت ديفوار.",0
"739","ويعتبر المجلس أن تعزيز أنشطة سيادة القانون أمر بالغ الأهمية في استراتيجيات بناء السلام في مجتمعات ما بعد الصراع، ويؤكد دور لجنة بناء السلام في هذا الصدد.",1
"740","(ب) تشجيع الدول على اتخاذ التدابير المناسبة لحماية قطاعها غير الربحي من إساءة استخدام تمويل الإرهاب؛",1
"741","اغتنمنا هذه الفرصة للنظر في الوضع السياسي والأمني ​​في منطقة الساحل والصحراء، فضلا عن الجهود الرامية إلى التغلب على التحديات المطروحة وتعزيز السلام والأمن والاستقرار الدائمين.",0
"742","وتلقت اللجنة معلومات موثوقة مفادها أن عناصر من الاستخبارات العسكرية أو الأمنية قد نقلوا عدة أفراد.",1
"743","يحث الهيئات الإقليمية ودون الإقليمية المناسبة على وجه الخصوص على النظر في وضع وتنفيذ السياسات والأنشطة والدعوة لصالح النساء والفتيات المتأثرات بالعنف الجنسي في النزاعات المسلحة.",1
"744","بيان موجز للأمين العام بشأن المسائل المعروضة على مجلس الأمن والمرحلة التي بلغها النظر فيها",0
"745","40 - لقد تحقق الكثير خلال السنوات الخمس عشرة التي انقضت منذ إنشاء عملية حفظ السلام في جمهورية الكونغو الديمقراطية في 30 تشرين الثاني/نوفمبر 1999. ويعترف المحاورون الكونغوليون أنفسهم بما يلي: انسحاب القوات المسلحة الأجنبية، وإعادة توحيد البلاد، وإنشاء جمهورية الكونغو الديمقراطية. حكومة انتقالية وانتخابات وطنية.",0
"746","30. أعادت القوات المسلحة السودانية نشر جميع قواتها من جنوب السودان، في حين ظلت نسبة إعادة انتشار الجيش الشعبي لتحرير السودان الخاضعة للمراقبة والتحقق منها عند 34.8 في المائة من القوام المعلن البالغ 59.168 فردًا.",0
"747","ويشكل العنف وعمليات النزوح تحديًا مباشرًا لمصداقية عملية التصويت.",0
"748","وقد حدد النظام الإجرائي القضايا التي سيتم النظر فيها أثناء الإجراءات الشفوية على النحو التالي:",0
"749","1.16 الهند بصدد إصدار وثائق هوية جديدة.",0
"750","وينظم الفصل 17 من قانون الهجرة (الطبعة المنقحة لعام 2002) الهجرة إلى بروني دار السلام.",0
"751","وقد دعمت تجارة الفحم عبر الحدود حركة الشباب، مما عزز غاراتها في كينيا.",0
"752","واتفق أعضاء هذا الوفد مع رئيس الوزراء على ""البدء بتنظيم التواجد الفلسطيني المسلح في المخيمات لضمان الأمن"".",1
"753","ولا تزال ولايتي الوحدة والبحيرات تحت حكم الحكام المؤقتين.",0
"754","وازدادت صفوف الملتمسين والمتعاطفين معهم بشكل ملحوظ، منذ اليوم الثاني للاحتجاج فصاعدا، مع وصول أطراف ثالثة، وخاصة أعضاء المجموعة المعروفة باسم كوليماو 2000.",1
"755",":: تقديم تقرير إلى اللجنة بعد كل اجتماع، وسيرأس كل فريق عامل أحد أعضاء اللجنة، يدعمه موظفو مكتب شؤون نزع السلاح، وخبراء اللجنة المنشأة عملا بالقرار 1540 (2004) وأمانتها ، عند الضرورة.",1
"756","""ويحث مجلس الأمن الدول والمنظمات الدولية، فضلا عن القطاع الخاص، على تبادل الأدلة والمعلومات والاستخبارات، حسب الاقتضاء، لأغراض إنفاذ قانون مكافحة القرصنة، بما في ذلك ضمان الملاحقة القضائية الفعالة للقراصنة المشتبه فيهم وسجن المدانين منهم. ويشجع المبادرات الحالية والمستقبلية في هذا الصدد.",1
"757","ويشيد مجلس الأمن في هذا الصدد بالدعم الذي تقدمه البلدان المجاورة للاجئين من جمهورية الكونغو الديمقراطية.",1
"758","5 - الحالة في تيمور - ليشتي (15 كانون الأول/ديسمبر 1975؛ 22 تشرين الثاني/نوفمبر 2011).",0
"759",":: قضايا السياسات والتخطيط وفجوة التأهب فيما يتعلق بحماية المدنيين؛ التهديدات والتحديات المتعلقة بتنفيذ الولاية على أرض الواقع؛ كيف يمكن دمج تجارب وتحديات البلدان المساهمة بقوات عسكرية وقوات شرطة في تنفيذ حماية المدنيين بشكل أفضل في وضع الاستراتيجيات والتوجيهات المستقبلية؛ كيفية ضمان تدريب جميع قوات حفظ السلام باستخدام نفس المعايير المتعلقة بحماية المدنيين",1
"760","وتعطل نظام التوزيع العام للأغذية والأدوية.",0
"761","وقدمت الدول الأعضاء أثناء الاستعراض معلومات من شأنها أن تؤدي إلى ما مجموعه 465 تعديلاً مقترحاً على القائمة (وتغييرات على 217 ملخصاً سردياً لأسباب الإدراج).",1
"762","""ويتطلع مجلس الأمن إلى تقرير الفريق الرفيع المستوى المعني بالاتساق على نطاق منظومة الأمم المتحدة في مجالات التنمية والمساعدة الإنسانية والبيئة، ويأمل أن يؤدي هذا الفريق دورا في ضمان اتباع نهج منسق للأمم المتحدة تجاه المرأة والمساواة بين الجنسين. السلام والأمن.",1
