"","en_ar_TRANSFORMERS","MatConf"
"261","وكما ذُكر في موضع آخر من هذا التقرير، لم يقدم سوى عدد قليل جدا من الضحايا شكاوى رسمية بشأن الجرائم المرتكبة ضدهم أو ضد أسرهم بسبب انعدام الثقة في نظام العدالة.",1
"262","تاريخ الميلاد: 6 حزيران/يونيه 1966",0
"263","32 - والفكرة الكامنة وراء الشكل الجديد هي جعل التحقق من القائمة، يدويا أو إلكترونيا، بأكبر قدر ممكن من الوضوح والكفاءة، عن طريق الحد من احتمال وجود تطابقات محتملة تتطلب مزيدا من البحث المفصل لتحديد ما إذا كانت الجزاءات تنطبق.",0
"264","ولم تصادف أي مشاكل حتى الآن.",0
"265","وقد أدى ذلك إلى زيادة إمكانية استخدام عمليات حظر الأسلحة كجزء من استراتيجية فعالة لبناء السلام بعد انتهاء الصراع.",1
"266","ووفقاً لهذه المصادر، فإن اغتصاب فرادى الضحايا كثيراً ما يكون متعدداً، ويقوم به أكثر من رجل واحد، ويصاحبه أشكال أخرى من العنف الشديد، بما في ذلك الضرب والجلد.",1
"267","واستجابة لذلك، أنشأت إدارة العدل التابعة لبعثة الأمم المتحدة للإدارة المؤقتة في كوسوفو فريقا عاملا مشتركا مع ركيزة بناء المؤسسات لدراسة التقرير وتحديد سبل تنفيذ توصياته.",0
"268","فخامة السيد عبد اللهي يوسف أحمد، رئيس جمهورية الصومال",0
"269","والواقع أن العديد من القوانين السارية في السودان تخالف اليوم المعايير الأساسية لحقوق الإنسان.",1
"270","ووفقاً لشهادته، كان في مكتبه عندما أُخطر بالانفجار.",1
"271","25 - أسلم تركي كوسيمان العجمي",0
"272","وتتوفر أموال ضخمة لتنظيم القاعدة في العراق، وتمكنت جماعات أخرى من جمع الأموال عن طريق الجريمة أو الهبات.",1
"273","وفي حوالي الساعة 00/17 من نفس اليوم، شاهد شهود من أنكا ما بين 300 و 400 من الجنجويد سيرا على الأقدام، و 100 آخر من الجنجويد على الإبل والحصان، متوجهين نحو أنكا من اتجاه باري.",1
"274","ويجري الآن تزويد الأطفال في تلك المناطق بالخدمات الصحية والتعليمية التي يتمتع بها الأطفال في أنحاء أخرى من البلد.",0
"275","ولم يحرز أي تقدم فيما يتعلق بوضع خطة عمل لوقف تجنيد واستخدام الجنود الأطفال عملا بقرارات مجلس الأمن 1539 (2004) و 1612 (2005) و 1925 (2010).",1
"276","”ويحيط مجلس الأمن علما بقرار مؤتمر قمة الاتحاد الأفريقي في سرت، الذي يدعو المجلس إلى فرض جزاءات على من يقدمون الدعم للجماعات المسلحة التي تعمل على تقويض السلام والمصالحة في الصومال والاستقرار الإقليمي، بما في ذلك إريتريا.",1
"277","وبما أن بعض القبائل لا تملك أراضي تقليدية مخصصة لها، ومع الصراع على نمو الموارد الطبيعية، كانت هناك محاولة منهجية لطرد القبائل التي ينظر إليها على أنها ""غير منقذ"" من أراضيها.",1
"278","ويمكن تحسين فعالية تجميد الأصول عن طريق تحسين الربط بين أولئك الذين يفهمون القضايا الراهنة (مثل وكالات إنفاذ القانون والاستخبارات) ووحدات الاستخبارات المالية.",1
"279","فعلى سبيل المثال، وضعت أوزبكستان قواعد للرقابة الداخلية وفرضت عقوبات على الكيانات التي لا تقدم تقارير، ووضعت تركمانستان وأوزبكستان إجراءات صارمة لتحديد هوية العملاء وحفظ السجلات.",1
"280","وفيما يتعلق بالمعدات الطبية، كشفت عمليات المراقبة التي قامت بها الوحدة عن استمرار النقص في حاضنات الرضع، وآلات غسل الكلى، ومعدات الأشعة فوق الصوتية والآشعة السينية، وآلات رسم القلب الكهربائي، ومعدات المختبرات العامة، وأجهزة رصد المرضى.",0
"281","وسيحتاج المجتمع الدولي إلى قوة لدفع عملية تحديد المركز إلى الأمام.",0
"282","ويبدو أن التغيير الحقيقي يأتي من الاحتجاج الشعبي أكثر منه من أعمال العنف الخفية.",1
"283","وعند الاقتضاء، تُخصم مبالغ عن الوفورات في التكاليف التي يحققها عدم إنجاز الأداء.",0
"284","وتؤدي المعلومات الخاطئة إلى تفاقم التمييز والوصم القائمين على الهوية، وتتسبب في العنف بين المجتمعات المحلية وداخلها.",1
"285","(أ) إذا تسبب بالفعل الذي ارتكبه في ضرر بدني جسيم،",1
"286","ترخيص من وزارة الصناعات الخفيفة والتجارة",0
"287","كما وقعت مواجهات بين الجماعات المسلحة التابعة لحكومة مالي والجماعات المسلحة الممثلة في محادثات الجزائر، على الرغم من التزامات الأطراف المختلفة بوقف إطلاق النار، وفي 9 تشرين الأول/أكتوبر، قامت القوات الفرنسية والنيجيرية باعتراض وتدمير قافلة تحمل أسلحة وقذائف هاون وأسلحة مضادة للطائرات تتحرك عبر شمال النيجر باتجاه مالي، وأفادت التقارير بأن الأسلحة تسلم إلى أنصار الدين، وفي 12 تشرين الأول/أكتوبر، اعتقلت قوات الأمن الموريتانية أربعة أشخاص يشتبه في أنهم يقيمون اتصالات مع الجهاديين ويجندون في الدولة الإسلامية في العراق والشام في مدينة زويرات للمناجم في شمال البلاد.",1
"288","الانخفاض في النشاط التجاري (الكويت والعراق): كسب الكسب الفائت",0
"289","وأفاد أيضا بأن قوة الأمم المتحدة لمراقبة فض الاشتباك لا تزال تراقب الاشتباكات العنيفة بين القوات المسلحة السورية وأفراد المعارضة المسلحين، فضلا عن الغارات الجوية التي تشنها القوات المسلحة السورية داخل المنطقة الفاصلة والمنطقة المحدودة السلاح.",1
"290","ولذلك فقد نظرت بعناية في مسألة تقديم اقتراح خطي.",0
"291","وبالإضافة إلى ذلك، فإن أعضاء حركات التمرد ينتمون أساسا إلى جماعات محلية للدفاع عن القرى من قبائل معينة، شكلت استجابة لزيادات هجمات قبائل أخرى.",1
"292","وسيصبح موسى داديس كامارا في نهاية المطاف رئيسا للجمهورية في 23 كانون الأول/ديسمبر.",0
"293","وكجزء من استراتيجية انتقالية تهدف إلى إنشاء مؤسسة مستقلة للشرطة، يجري التحضير لنقل المسؤوليات من مدرسة دائرة شرطة كوسوفو وشرطة بعثة الأمم المتحدة للإدارة المؤقتة في كوسوفو إلى دائرة شرطة كوسوفو.",0
"294","وكانت هناك حوالي طائرتين إلى ثلاث طائرات بيضاء وخضراء، وهبطت هذه الطائرات هبوطا شديدا، وكانت طائرة بيضاء واحدة تهاجم.",1
"295","30 - قطاع الماشية هو العمود الفقري لسبل معيشة الشعب الصومالي، وهو مصدر إيرادات للإدارات المحلية والمركزية.",0
"296","125 - ووفقا لما ذكره أحد الشهود، أُمر أفراد قوات الأمن الإسلامية بإبقاء السيد الحريري تحت المراقبة في نهاية كانون الثاني/يناير وبداية شباط/فبراير 2005.",1
"297","وبالإضافة إلى التحديات الإنسانية، تثير الحالة شواغل أمنية.",0
"298","وخلال المسيرة، أبلغ الجيش الملكي المغربي قائد القوة بأن قواته تلقت تعليمات لرصد الحالة.",1
"299","واستعرضت لجنة التحقيق الدولية العديد من التقارير، الواردة من مصادر عامة وسرية على السواء، فيما يتعلق بالنزاع في دارفور.",0
"300","(د) تكفل اللجنة امتثال أي تدابير تتخذها الدول الأعضاء لمكافحة الإرهاب لجميع التزاماتها بموجب القانون الدولي، ولا سيما القانون الدولي لحقوق الإنسان وقانون اللاجئين والقانون الإنساني الدولي؛",0
"301","وأوصت اللجنة الوطنية بإنشاء لجان تحقيق قضائية معنية بالادعاءات التالية: حالات الإعدام خارج نطاق القضاء؛ وقيام المجموعات العربية بالاستيلاء على قريتين من قبيلة الفور في منطقة كاس؛ وحوادث قتل وحرق بعض الجرحى في مستشفيات قرى بورام ومليت وكيليب.",1
"302","غير أن سبب إنشائها يمكن أن يوصف بأنه ""تتبع سريع"" وليس على وجه السرعة، لا سيما في ضوء حقيقة أنه، وفقاً للتقارير، لا يجوز أن تستغرق جلسة الاستماع إلى تهمة يعاقب عليها بالإعدام أكثر من ساعة واحدة.",1
"303","- اتفاقية الحماية المادية للمواد النووية التي تم التصديق عليها بموجب المرسوم الرئاسي رقم 49/1986؛",0
"304","وكان من المأمول أن يتاح القرار 1521 (2003) والقرار 1532 (2004)، اللذان يدعوان إلى تجميد الأصول، لعملية وطنية لتعويض الضحايا، لأن ولاية المحكمة لا تشمل تعويض الضحايا.",0
"305","ويواجه مجلس السلام والأمن مسؤوليات رئيسية عندما يبدأ عمله.",0
"306","٢٩٥ - وبالإضافة إلى ذلك، وبالنظر إلى الطابع التمييزي لأسباب سياسية المتمثل في القتل المنهجي والواسع النطاق للمدنيين، فإن هذه الأعمال قد تصل إلى حد جريمة الاضطهاد بوصفها جريمة ضد الإنسانية.",1
"307","وفي كل حادث من هذه الحوادث، أُجبرت النساء على التعري تحت تهديد السلاح، واغتصبتهن الجنجويد ثم تركن عاريات على الطريق.",1
"308","وحرصاً على حمايته، أخذته بعثة الأمم المتحدة لتحقيق الاستقرار في هايتي إلى أحد مراكز الشرطة، حيث اعتقله أحد قضاة التحقيق واتهمه بالمشاركة في اختطاف السيد روش وقتله، وفي 31 آب/أغسطس نُقل إلى مرفق السجن الوطني، حيث لا يزال السيد نبتون ووزير الداخلية السابق جوسيلريمي بريفيرت مسجونين، مع قيام بعثة الأمم المتحدة لتحقيق الاستقرار في هايتي برصد احتجازهم وضمان الأمن.",1
"309","وينبغي أن يكون الممثل الدائم لجمهورية الكونغو الديمقراطية على علم بالإجراء الذي اتخذته أوغندا بإعلان ستة قادة غير مرغوب فيهم من قادة الحركة الثورية الكونغولية على النحو الوارد في وثيقة مجلس الأمن S/2005/603.",0
"310","ومن بين الجنجويد الذين حددت اللجنة أنهم جناة، يُشتبه في قيامهم جميعاً بهجمات عشوائية على المدنيين، وهي جريمة حرب.",1
"311","والواقع أن مسألة الصحراء الغربية أدرجت لأول مرة في عام 1963 في قائمة الأمم المتحدة للأقاليم غير المتمتعة بالحكم الذاتي التي ينطبق عليها إعلان الجمعية العامة التاريخي بشأن إنهاء منح الاستقلال للبلدان والشعوب المستعمرة.",0
"312","وقد زعزعت حركة باكاتا كاتانغا استقرار أجزاء كبيرة من المقاطعة منذ عام 2012، عندما بدأ كيونوغو موتانغا غيديون، بعد هروبه من السجن، في إجبار السكان المحليين، بمن فيهم الأطفال، على الانضمام إلى صفوفه أو الفرار.",1
"313","وفي هذا الصدد، رأت أن من المهم الانتهاء من نشر القوة الإضافية التابعة للبعثة.",0
"314","120 - ولا تزال هناك بعض الأنشطة في شارع ميناء الحصن في بيروت قبل الانفجار الذي يتعين مواصلة التحقيق فيه، وهو ما يمكن أن يوضح تفاصيل مرحلة التخطيط ومن ثم يؤدي إلى الجناة.",1
"315","ومع ذلك، لا يزال يشار إلى هذه القوات العسكرية الروسية على أنها قوات لحفظ السلام أو ”خوذات زرقاء“، وعلى أنها الحل الشامل للصراع في المنطقة في إطار عملية سلام تقودها الأمم المتحدة.",0
"316","وترى البعثة المتكاملة أن المعاملة التي يتلقاها المحتجزون أثناء الاعتقال والاستجواب قد تبلغ حد التعذيب أو غيره من ضروب المعاملة أو العقوبة القاسية أو اللاإنسانية أو المهينة.",1
"317","وذكر شاهد آخر أن في اليوم التالي لاغتيال فيصل الراشد أصر على أن القضية قد حُلَّت وأن الجاني هو السيد أبو عدس، كمفجر انتحاري وأن جثة السيد أبو عدس لا تزال في مسرح الجريمة.",1
"318",""" ويحذر مجلس الأمن رسميا الدول المجاورة لجمهورية الكونغو الديمقراطية من عواقب دعم الجماعات المتمردة المسلحة.",0
"319","83 - وقاد العقيد ريس ضباط الشرطة الوطنية لتيمور - ليشتي سيرا على الأقدام من مقرهم باتجاه تقاطع وزارة العدل، وكان يحمل علم الأمم المتحدة.",1
"320","ومن بين الأشخاص المرتبطين بتنظيم القاعدة المدرجين في القائمة الموحدة في نهاية كانون الثاني/يناير 2006، والبالغ عددهم 203 أشخاص، ألقي القبض على ما لا يقل عن 111 شخصا (55 في المائة) لارتكابهم جريمة جنائية أو إدانتهم بها أو اتهامهم بارتكابها، معظمهم بجرائم خطيرة و/أو عنيفة تتراوح من القتل إلى المشاركة في أعمال إرهابية مثل تفجيرات السفارات في شرق أفريقيا في عام 1998، وهجمات 11 أيلول/سبتمبر 2001 في الولايات المتحدة، وتفجيرات عام 2002 في بالي.",1
"321","الحالة في تيمور الشرقية (انظر S/11593/Add.50 و 51؛ و S/11593/Add.15 و 16؛ و S/1999/25/Add.17 و 22 و 25 و 30 و 33-36 و 42 و 50؛ و S/2000/40/Add.4 و 11 و 16 و 20)",0
"322","ويتضمن مشروع القانون أيضاً أي تدابير خاصة للأطفال الضحايا أو الشهود أو المتهمين.",0
"323","47 - وبالإضافة إلى الزيادة الكبيرة في تدفقات الأسلحة إلى الصومال، يقوم الجانبان أيضا على نحو نشط جدا بتوزيع الأسلحة والذخائر على ميليشياتهما، وتزويد أفراد الميليشيات بمعدات قتال فردية، والحصول على المواد الغذائية والأدوية والوقود وغيرها من الضروريات اللازمة للمشاركة في قتال مستمر وتخزينها، وتنظيم أنفسهم في هياكل عسكرية، وزيادة تجنيد وتدريب الميليشيات، ووضع استراتيجيات وخطط لهزيمة الجانب الآخر عسكريا.",1
"324","وسيواصل العديد من الدول أيضا التصدي لمسائل مثل التطرف والتطرف العنيف وتنقل الإرهابيين عبر الحدود.",1
"325","سادسا - المنهجية الموصى بها لفريق الخبراء...",0
"326","' 2` تحمل النفقات المتكبدة فيما يتعلق بالممتلكات غير المستهلكة على ميزانية الفترة التي تم فيها اقتناؤها ولا تجري رسملتها.",0
"327","31- وتعتبر الدولة أن انتشار المسيحية يشكل تهديداً خطيراً بوجه خاص لأنه يتحدى إيديولوجياً طائفة الشخصية الرسمية ويوفر منبراً للتنظيم الاجتماعي والسياسي والتفاعل خارج نطاق الدولة.",1
"328","ولا تزال ترد تقارير من مختلف منظمات حقوق الإنسان عن الانتهاكات الخطيرة لحقوق الإنسان وخروقات القانون الإنساني الدولي، بما في ذلك حالات الاحتجاز التعسفي والقتل والاتجار بالأطفال والاغتصاب في جميع أنحاء البلد في المناطق الخاضعة لسيطرة القوات الجديدة والحكومة على السواء.",1
"329","وتتمثل ولاية الفريق، على النحو المبين في الفقرة 29 من القرار 1929 (2010)، فيما يلي:",0
"330","""أسلحة الدمار الشامل وعدم الانتشار كأفضل ممارسة من ممارسات الأعمال التجارية""، تليها ممارسة",1
"331","45- ينبغي لحكومة نيبال أن تكفل اتخاذ تدابير حماية كافية للأطفال الضحايا والشهود والأطفال المتهمين بارتكاب جرائم في سياق النزاع، وأن تضمن كذلك مشاركة الأطفال في أي أنشطة للعدالة الانتقالية لضمان الاستماع إلى تجاربهم في النزاع.",0
"332","وأكدت اللجنة أيضا أنه في أعقاب الهجوم على الطويلة في شباط/فبراير 2004، اختطف الجنجويد مجموعة من حوالي 30 طالبة واحتجزتهن في مخيم حيث تعرضن للاغتصاب المتكرر.",1
"333","30 - وقد أعادت القوات المسلحة السودانية نشر جميع قواتها من جنوب السودان، في حين أن إعادة نشر الجيش الشعبي لتحرير السودان التي جرى رصدها والتحقق منها لا تزال تبلغ 34.8 في المائة من القوام المعلن البالغ 168 59 فردا.",1
"334","ويشجع مجلس الأمن الأمم المتحدة، والاتحاد الأفريقي، والمؤتمر الدولي المعني بمنطقة البحيرات الكبرى، والجماعة الإنمائية للجنوب الأفريقي، وغيرها من المنظمات الدولية والإقليمية ذات الصلة، على مواصلة العمل معا من أجل تنفيذ إطار السلام والأمن والتعاون، بمشاركة ودعم مستمرين من المجتمع الدولي.",0
"335","360 - ويتضح من المعلومات التي جمعتها اللجنة وتحققت منها أن الاغتصاب أو غيره من أشكال العنف الجنسي التي ارتكبها الجنجويد والجنود الحكوميون في دارفور كان واسع الانتشار ومنهجيا، وبالتالي يمكن أن يشكل جريمة ضد الإنسانية.",1
"336",":: بتاريخ 30 تشرين الثاني/نوفمبر 2014، استهدف الطيران الحربي النظامي سوق الطايمة في الحسكة، مما أدى إلى إصابة شخصين بجروح وتدمير 7 محلات.",1
"337","وبناء على طلب الرئيس، أنشأت بعثة الأمم المتحدة للتصدي العاجل لفيروس إيبولا مكتبا صغيرا في باماكو، بدأ تشغيله في 26 تشرين الثاني/نوفمبر، بقيادة مدير معني بأزمة الإيبولا لدعم الحكومة في احتواء تفشي الإيبولا وتعزيز تأهبها، وفي 13 كانون الأول/ديسمبر، أُطلق سراح آخر مريض معروف بفيروس إيبولا من المستشفى.",0
"338","ثم دُمرت المباني المتبقية بالحرق.",1
"339","والواقع أن الهجمات غالباً ما توجه عمداً ضد المدنيين والأهداف المدنية.",1
"340","يمكن استخدامها في النظم المحددة في البند 1-ألف أو 19-ألف-1.",0
"341","وفي صباح يوم 24 أيار/مايو، هاجمت مجموعة من الأشخاص المسلحين من موقع أعلى ثمانية جنود من القوات المسلحة التيمورية كانوا يقومون بدورية مراقبة في التلال وقامت باحتواءهم.",1
"342","وكان للمؤتمرين الصحفيين، ولا سيما المؤتمر الأول، بالإضافة إلى مقابلة المشتبه فيه الأول، واعتقال كبار مسؤولي الأمن السابقين بناء على اقتراح اللجنة، أثر حفاز.",1
"343","وهذه هي حالة جمال سليمان محمد شايب في قرية حلوف فيما يتعلق بقتل 24 فردا، بعضهم من النساء والأطفال، ونهب الممتلكات، وحرق القرية.",1
"344","وفي كل حالة، يجري تقييد الحقوق الأساسية - في الملكية والتنقل - وهناك احتمال جيد بأن ذلك يعزى إلى الاستمرار غير اللائق لتدابير الجزاءات التي يفرضها المجلس.",1
"345","وعلى وجه الخصوص، وجدت اللجنة أن القوات الحكومية والميليشيات شنت هجمات عشوائية شملت قتل المدنيين والتعذيب والاختفاء القسري وتدمير القرى والاغتصاب وغيره من أشكال العنف الجنسي والنهب والتشريد القسري في جميع أنحاء دارفور.",1
"346","8 - واجتمعت بالرئيس ساكاشفيلي في 26 أيلول/سبتمبر على هامش أعمال الجمعية العامة في نيويورك.",0
"347",":: شن هجمات ضد السكان المدنيين أو ضد أفراد مدنيين لا يشاركون مباشرة في الأعمال الحربية؛",1
"348","وكل هذه الأعمال التحريضية على الكراهية والحرب تخلق توترا داخل المجتمع الإيفواري.",1
"349","ومع ذلك، من المهم الإشارة إلى أن الحكومة الإيفوارية تظل مسؤولة عن سلامة وأمن مواطنيها إلى جانب تدابير بناء الثقة تلك، ففي 6 أيلول/سبتمبر، هاجمت مجموعة من الوطنيين الشباب وزير الإدارة الإقليمية عيسى دياكيت في أبيدجان في 6 أيلول/سبتمبر.",1
"350","64 - وحتى آب/أغسطس 2010، كانت العملية المختلطة قد حددت 78 موقعا محتملا لحفر المياه في مواقع أفرقةها وحولها.",0
"351","وكانت الطائرة المستخدمة أساسا في هذه الرحلات قد سجلت في البداية EK-76705، ثم أعيد تسجيل الطائرة ST-ATH، مع الرقم التسلسلي 0063472158.",0
"352","وفي 9 تشرين الثاني/نوفمبر 2014، ألقت طائرات الهليكوبتر التابعة للنظام عدة براميل متفجرة على مدينة الدايل، مما أسفر عن مقتل 6 أشخاص، من بينهم طفلان، بالإضافة إلى إلحاق أضرار بالمباني السكنية.",1
"353","ولم تتخذ الحكومة الإجراءات الإدارية والتشريعية اللازمة لمكافحة الفساد ومنعه في المؤسسات المؤقتة.",1
"354","وعليه، يجب على المجتمع الدولي أن يتخذ التدابير اللازمة لمنع إسرائيل من الاستمرار في سياستها الهدامة المؤسفة التي بدأتها في غزة، وأن يؤكد رفضه لكل هذه الممارسات الإسرائيلية التي تشكل انتهاكا للقانون الدولي والقانون الإنساني الدولي.",0
"355","وخلال الهجوم الذي شنه الجنجويد على قرية منغراسا، في غرب دارفور، في تشرين الثاني/نوفمبر 2003، اختطفت 20 فتاة واقتيدت إلى مخيم عمار.",1
"356","ويُحدد البعض الآخر لإمكانية اشتراكه في التخطيط لارتكاب جرائم دولية و/أو الأمر بارتكابها، أو للمساعدة في ارتكاب هذه الجرائم والتحريض عليها.",1
"357","23 - ولم يتم إعادة نشر موظفي العدالة والإصلاحيات بسرعة مع تجديد الهياكل الأساسية بسبب استمرار الشواغل بشأن أمنهم في مناطق شمال مالي الخاضعة لسيطرة الجماعات المسلحة، فضلا عن المعدات المفقودة.",1
"358","236 - ولم يُحسب العدد الدقيق للقرى التي أُحرقت ودُمرت، ولكن عدة مصادر قدرت مدى الدمار من خلال الروايات اللفظية وعمليات التفتيش الموقعي وغيرها من الأدلة.",1
"359","وقامت حكومة مالي على الفور بوضع العيادة تحت الحجر الصحي، وساعدت وحدات الشرطة المشكلة التابعة للبعثة السلطات المالية في توفير الأمن حول العيادة.",0
"360","2 - المجموعة الثانية: تحركت المجموعة المكونة من سبعة مفتشين من فندق القناة في الساعة 00/09 ووصلت إلى مصنع الدورة لتنقية المياه التابع لدائرة المياه.",0
"361","43 - يكرر تأكيد ضرورة تعزيز التعاون الجاري بين اللجنة ولجنة مكافحة الإرهاب واللجنة المنشأة عملا بالقرار 1540 (2004)، وكذلك بين أفرقة الخبراء التابعة لكل منها، بوسائل منها، حسب الاقتضاء، تعزيز تبادل المعلومات والتنسيق بشأن الزيارات إلى البلدان كل في إطار ولايته، وتيسير المساعدة التقنية ورصدها، والعلاقات مع المنظمات والوكالات الدولية والإقليمية، والمسائل الأخرى ذات الصلة باللجان الثلاث جميعها، ويعرب عن اعتزامه تقديم التوجيه إلى اللجان بشأن المجالات ذات الاهتمام المشترك من أجل تنسيق جهودها على نحو أفضل وتيسير هذا التعاون، ويطلب إلى الأمين العام أن يتخذ الترتيبات اللازمة لكي يكون مقر الأفرقة في أقرب وقت ممكن؛",0
"362","يشير إلى حظر التشريد القسري للمدنيين في حالات النزاع المسلح في ظروف تنتهك التزامات الأطراف بموجب القانون الإنساني الدولي.",1
"363","وتشمل الاحتمالات المختلفة تفجيرا انتحاريا، وانفجارا لاسلكيا باستخدام ترددات مختلفة عن ترددات أجهزة التشويش أو باستخدام ترددات أجهزة التشويش، وانفجارا لاسلكيا باستخدام أجهزة التشويش نفسها، وانفجارا لاسلكيا باستخدام هاتف ساتلي من ثيرايا، وهي شركة الهاتف الوحيدة العاملة في الأراضي اللبنانية بوصلات ساتلية، وانفجارا سلكيا باستخدام كابل TNT أو انفجارا سلكيا باستخدام نوع آخر من الكابلات المركبة مثل خط الهاتف كسلك ربط.",1
"364","وإذ يشدد على أن إحدى العقبات الرئيسية التي تحول دون تحقيق سلام دائم في كيفو الشمالية وكيفو الجنوبية تتمثل في وجود جماعات مسلحة غير مشروعة في الأراضي الكونغولية وأنشطتها، بما فيها القوات الديمقراطية الديمقراطية لتحرير رواندا، على النحو الذي أقره في قراره 1804 (2008)، الذي يمثل أحد الأسباب الرئيسية للصراع في المنطقة،",1
"365","' 5` إعداد جميع المحفوظات والمخزونات المطبوعة لنقلها إلى آلية (آليتي) تصريف الأعمال المتبقية:",0
"366","ولا تزال محاكمة الجنرال سانوغو في مرحلة ما قبل المحاكمة؛ ولا يزال التحقيق جارياً في مقتل 16 واعظاً في معسكر للقوات المسلحة المالية في ديابالي في أيلول/سبتمبر 2012؛ ولا يزال التحقيق جارياً في تنفيذ حكم الإعدام بإجراءات موجزة بحق ثلاثة من الطوارق في دجيبوك (منطقة غاو) في شباط/فبراير 2014، ولا يزال أربعة من جنود القوات المسلحة المالية رهن الاحتجاز.",1
"367","ويطالب إسرائيل، السلطة القائمة بالاحتلال، بالتقيد بجميع قواعد القانون الدولي وأحكام اتفاقيات جنيف والقانون الإنساني الدولي، بالإضافة إلى قرارات مجلس الأمن والجمعية العامة ذات الصلة.",0
"368","347 - وأكدت النتائج التي توصلت إليها اللجنة أن الاغتصاب والعنف الجنسي لا يزالان يرتكبان ضد النساء والفتيات أثناء الفرار وفي مناطق التشرد.",1
"369","قرار مجلس الأمن 1906 (2009)، الفقرة 41 من المنطوق",0
"370","7 - يعرب عن تصميمه القوي على النظر، عملا بالقرار 2161 (2014)، في إدراج الأفراد والجماعات والمؤسسات والكيانات المرتبطين بتنظيم القاعدة الذين يقومون بتمويل أعمالهم أو أنشطتهم أو تسليحهم أو التخطيط لهم أو تجنيدهم أو دعمهم على أي نحو آخر، بوسائل منها تكنولوجيات المعلومات والاتصالات، مثل الإنترنت ووسائط التواصل الاجتماعي أو أي وسيلة أخرى، في القائمة؛",1
"371","في 23 تشرين الثاني/نوفمبر 2014، أطلقت الطائرات الحربية النظامية قذيفتين على مسجد الحرويل في حي الرادي في دير الزور، مما ألحق أضرارا بالمسجد والمنازل المجاورة له.",1
"372","كما يشدد على حظر ووقف مواقع الإنترنت التي تحتوي على مواد متطرفة، وعلى تنظيم المشاكل في هذا المجال.",1
"373","وفي إطار مشروع VIND، نُقل 030 8 عنصراً من عناصر الوقود ذات اليورانيوم المنخفض والعالي التخصيب إلى الاتحاد الروسي بوصفه دولة المنشأ.",0
"374","44 - خلال الفترة المشمولة بالتقرير، ظلت الحالة الأمنية في شمال شرق جمهورية أفريقيا الوسطى تعاني من النزاع العرقي، واللصوصية، والإجرام عبر الحدود، ولا تزال هذه هي التهديدات الرئيسية للأمن والاستقرار في منطقتي فاكاغا وكوتو العليا.",1
"375","1- الإعلان العالمي لحقوق الإنسان (1948)؛",0
"376","الأمين العام السابق لنادي الحقوق السنغالي.",0
"377","ولاحظ فريق الرصد أن المعارضة اشترت خلال هذه الفترة عددا من الأسلحة المضادة للطائرات والذخائر من سوق بكارا للأسلحة.",1
"378","10 - يكرر تأكيد أهمية قيام جميع الدول بتحديد إجراءات ملائمة، وإن اقتضى الأمر استحداثها، لتنفيذ جميع جوانب التدابير المبينة في الفقرة 1 أعلاه تنفيذا كاملا، ويحث بقوة جميع الدول الأعضاء على تنفيذ المعايير الدولية الشاملة الواردة في التوصيات الأربعين المنقحة الصادرة عن فرقة العمل المعنية بالإجراءات المالية بشأن مكافحة غسل الأموال وتمويل الإرهاب وانتشاره، ولا سيما التوصية 6 المتعلقة بالجزاءات المالية المحددة الأهداف المتصلة بالإرهاب وتمويل الإرهاب؛",0
"379","وأخيرا، ذهب البعض إلى أن إنشاء هيئة استعراض خارج مجلس الأمن، حتى لو عينتها اللجنة أو مجلس الأمن نفسه، من شأنه أن يقوض سلطة المجلس، حتى ولو اقتصرت ولاية هيئة الاستعراض على جزاءات محددة الهدف.",0
"380","ومع ذلك، أصبح من الواضح بشكل متزايد اتخاذ موقف أكثر إيجابية إزاء بعثة الأمم المتحدة للإدارة المؤقتة في كوسوفو.",0
"381","يقرر أن تنطبق التدابير المشار إليها في الفقرة [ذات الصلة] أعلاه [حظر السفر وتجميد الأصول] على الأفراد والكيانات التالية، حسب الاقتضاء، حسبما تحدده اللجنة:... (هـ) الأفراد أو الكيانات الذين يعملون في [البلد المتضرر] ويرتكبون انتهاكات خطيرة تشمل استهداف... النساء في حالات النزاع المسلح، بما في ذلك القتل والتشويه والعنف الجنسي والاختطاف والتشريد القسري؛",1
"382","وفيما يتعلق بمواصلة التعاون، اقترح زيادة نفوذ شبكة الإنتربول، مثلاً من خلال الآليات الإقليمية لتبادل المعلومات مع موظفي إنفاذ القانون، فضلاً عن تعزيز التوجيه بشأن التنفيذ.",0
"383","27 - ولا تزال القوات المسلحة لجمهورية الكونغو الديمقراطية تفتقر إلى التجهيز والدعم، وتعتقد البعثة أنه سيلزم تعزيز الوجود العسكري للمساعدة على تأمين الانتخابات في عدة مناطق رئيسية من كاتانغا.",1
"384","وتؤدي التطورات الأخيرة في المنطقة إلى تعزيز الشواغل التي أعرب عنها محاوروها للبعثة باستمرار.",0
"385","وتناول أيضاً اندلاع أعمال عنف خطيرة في لبنان بين القوات المسلحة اللبنانية ومسلحي فتح الإسلام حول مخيمات اللاجئين الفلسطينيين.",1
