"","en_es_DEEPL","VerCoop"
"445","Pide a los Estados que aún no lo hayan hecho que consideren la posibilidad de ratificar los principales instrumentos del derecho internacional humanitario, de los derechos humanos y de los refugiados, y que adopten las medidas legislativas, judiciales y administrativas adecuadas para aplicar estos instrumentos a nivel nacional, recurriendo, en su caso, a la asistencia técnica de las organizaciones internacionales pertinentes, incluido el Comité Internacional de la Cruz Roja y los órganos de las Naciones Unidas.",1
"446","A este respecto, el Consejo elogia los esfuerzos realizados hasta la fecha por la República Centroafricana (RCA), la República Democrática del Congo (RDC), la República de Sudán del Sur y Uganda para poner fin a la amenaza que supone el LRA, e insta a estos países, así como a otros países de la región, a que redoblen sus esfuerzos.",1
"447","(a) se adhiera urgentemente a todos los convenios y protocolos internacionales pertinentes relativos al terrorismo, en particular al convenio internacional de 1999 para la represión de la financiación del terrorismo, y apoye todas las iniciativas internacionales emprendidas con este fin, y utilice plenamente las fuentes de asistencia y orientación de que se dispone en la actualidad;",1
"448","Dichas políticas deben abordar los cuatro pilares de la agenda sobre la mujer, la paz y la seguridad (participación, prevención de conflictos, protección, y ayuda y recuperación), garantizando que las mujeres refugiadas y desplazadas internas estén incluidas en todos los esfuerzos de protección, prevención, participación, y ayuda y recuperación.",1
"449","49. La ONUCI siguió llevando a cabo actividades de sensibilización sobre cuestiones de género para el personal militar, la policía de las Naciones Unidas y el personal civil, incluso mediante la difusión semanal de mensajes de sensibilización sobre diversas cuestiones relacionadas con el género.",0
"450","12. Expresa su apoyo a la inclusión, cuando proceda, en los acuerdos de paz y en los mandatos de las misiones de mantenimiento de la paz de las Naciones Unidas, de medidas específicas y adecuadas para el desarme, la desmovilización y la reintegración de los excombatientes, prestando especial atención a la desmovilización y reintegración de los niños soldados, así como de disposiciones claras y detalladas para la destrucción de los excedentes de armas y municiones y, a este respecto, recuerda la declaración de su Presidente de 8 de julio de 1999;",1
"451",":: Destacar la importancia de la agenda sobre la mujer, la paz y la seguridad a la hora de abordar la discriminación, las violaciones de los derechos humanos y los obstáculos a la protección y la justicia a los que se enfrentan las mujeres y niñas refugiadas, desplazadas internas y apátridas en todas las fases del ciclo de desplazamiento.",1
"452","El Consejo de Seguridad adoptó la resolución 1894 (2009) sobre la protección de los civiles en los conflictos armados, en la que pedía que se diera prioridad a las actividades de protección de civiles encomendadas en las decisiones sobre la asignación de recursos y capacidad y solicitaba la elaboración de un concepto operativo, la planificación para toda la misión y la formación sobre la protección de civiles.",1
"453","Un asesor militar del Departamento de Operaciones de Mantenimiento de la Paz respondió a las preguntas formuladas por los miembros del Consejo.",1
"454","Tengo entendido que el Consejo está dispuesto a proceder a la votación del proyecto de resolución que tiene ante sí.",0
"455","El Presidente Abbas y el Primer Ministro Seniora hablaron además del establecimiento de un diálogo palestino-libanés sobre el bienestar social y económico, la seguridad y la representación de los refugiados palestinos en Líbano.",1
"456","El Consejo adoptó por unanimidad la resolución 2185 (2014), su primera resolución dedicada a cuestiones policiales. La resolución incluía una serie de medidas prácticas para aumentar la eficacia de la labor de las Naciones Unidas en materia policial.",1
"457","15. Reconoce el importante papel de los buenos oficios del Secretario General en África, y alienta al Secretario General a que siga recurriendo a la mediación con la mayor frecuencia posible para ayudar a resolver pacíficamente los conflictos, trabajando en coordinación y en estrecha colaboración con la Unión Africana y otras organizaciones subregionales a este respecto, según proceda;",1
"458",":: Evaluación de los avances en el proceso de consolidación de la paz antes de considerar las decisiones sobre la reducción y/o la transición de una forma de participación de las Naciones Unidas a otra, que podría incluir: (a) nivel de apoyo y compromiso de la comunidad internacional; (b) formas de mejorar la capacidad de los equipos de las Naciones Unidas en los países para que puedan seguir apoyando los esfuerzos de consolidación de la paz a largo plazo en los países incluidos en el programa; y (c) oportunidades y riesgos específicos de cada país para la consolidación de la paz.",0
"459","Subraya que está plenamente dispuesta a imponer medidas selectivas contra las personas ... que se determine que son, entre otras cosas: ...",0
"460","""El Consejo de Seguridad ha examinado la cuestión de la protección de los civiles en los conflictos armados.",1
"461","Para ahorrar más, algunas secciones se trasladaron a contenedores de oficina.",0
"462","En la práctica, ambas Comisiones llegaron a conclusiones sobre los derechos de propiedad inmobiliaria a efectos de restitución en lugar de conceder indemnizaciones, en consonancia con la voluntad política de privilegiar el retorno de las personas desplazadas como consecuencia de la discriminación étnica y las hostilidades a sus lugares de origen frente a otras soluciones duraderas.",0
"463","13. Aunque se sabe que la mayoría de los Estados de la subregión han creado unidades de represión antiterrorista, sólo tres Estados han establecido estructuras institucionales adecuadas y la coordinación interinstitucional necesaria para tratar las cuestiones de lucha contra el terrorismo.",0
"464","Dado que, a la mayoría de los efectos, las Naciones Unidas necesitan transmitir un mensaje común en materia de lucha contra el terrorismo, es conveniente que el Equipo Especial asuma el liderazgo a este respecto, aunque la Dirección Ejecutiva también deberá mantener su perfil público independiente y garantizar la transparencia en cuanto a sus propios procedimientos, según proceda.",1
"465","Le agradecería que tuviera a bien señalar la presente carta a la atención de los miembros del Consejo de Seguridad.",0
"466","No obstante, teniendo en cuenta la importancia de estas personas para UNITA, el Mecanismo seguirá ocupándose del asunto.",0
"467","16. Expresa su profunda solidaridad con las víctimas del terrorismo y sus familias, y anima a la Dirección Ejecutiva del Comité contra el Terrorismo a que tenga en cuenta el importante papel que las víctimas y las redes de supervivientes pueden desempeñar en la lucha contra el terrorismo, en estrecha cooperación con el Equipo Especial y sus Grupos de Trabajo pertinentes;",1
"468","Sugirieron la creación de más redes o la vinculación de las ya existentes y subrayaron la importancia de las reuniones cara a cara y los intercambios entre homólogos. Los participantes recomendaron considerar el ""proceso de Wiesbaden"" a este respecto.",1
"469","(v) Mantener el diálogo y el intercambio de información con los puntos de contacto o coordinadores designados sobre cuestiones relacionadas con su contribución a la aplicación de la resolución 1540 (2004);",1
"470","Si los residentes intentan salir de la asediada Ghouta oriental, los francotiradores del régimen sirio los atacan directamente, lo que provoca cada mes la muerte de decenas de civiles.",0
"471","A pesar de la decisión adoptada en 2006 por el Diálogo Nacional, y confirmada en reuniones posteriores del mismo, no se avanzó en el desmantelamiento de las bases militares del FPLP-CG y Fatah al-Intifada, con sede en Damasco, en el país.",1
"472","21. En numerosas ocasiones, los miembros del Comité han destacado la complementariedad de las funciones de los tres Comités en la lucha contra el terrorismo internacional y la necesidad de un intercambio constante de información entre ellos.",1
"473","(a) Las personas y entidades enumeradas en el anexo I (párrafo 11);",0
"474","Un total de 13 estudiantes se graduaron en 2012, con lo que el número total de graduados desde 1992 asciende a 84.",0
"475","Durante el periodo cubierto por el informe, se finalizó una descripción general preliminar de la evaluación de riesgos para Kosovo y se inició el proceso de evaluación de riesgos en todas las regiones.",0
"476","Los programas de reforma de la administración local no deben esperar a las negociaciones sobre el estatuto definitivo.",0
"477","Decide que el mandato de [la Misión] será el siguiente ... v) Prestar asistencia a las ... autoridades de [el país afectado] en la elaboración y ejecución de programas de desarme, desmovilización y reintegración (DDR) de excombatientes y de desmantelamiento de milicias y grupos de autodefensa, en consonancia con los objetivos de reconciliación y teniendo en cuenta las necesidades específicas de los niños desmovilizados;",0
"478","Dos años de conflicto habían agudizado las diferencias políticas y profundizado las ya graves condiciones sociales y económicas de la gran mayoría de la población.",0
"479","El Consejo insta al [Estado afectado] a que siga proporcionando asilo a todos los refugiados, independientemente de su origen.",1
"480","66. En un incidente, en Abobo, PK 18, seis jóvenes que vivían en el mismo barrio fueron sacados por la fuerza de su casa a las 23.00 horas del 25 de marzo por policías y miembros enmascarados de unidades especiales o de las denominadas fuerzas paralelas.",0
"481","165. Once Estados son parte en el Convenio sobre la financiación del terrorismo, y seis de ellos han tipificado adecuadamente como delito la financiación del terrorismo.",1
"482","Decreto nº 340/84 (21 de agosto de 1984)",0
"483","Hace un llamamiento a todas las partes implicadas para que garanticen que todos los procesos de paz, acuerdos de paz y planes de recuperación y reconstrucción post-conflicto ... incluyan medidas específicas para la protección de los civiles, incluido el restablecimiento del Estado de Derecho.",1
"484","Se celebrará el jueves 6 de febrero de 2003, a las 10.00 horas.",0
"485","51. La situación en Malí (4 de abril de 2012; 8 de octubre de 2014).",0
"486","Sin embargo, a pesar de la creciente atención y de los recientes avances positivos en este ámbito, siguen existiendo numerosos problemas sobre el terreno en lo que respecta a la aplicación, en particular problemas relacionados con la continua falta de claridad en torno al concepto y la operacionalización de la protección de civiles, los mecanismos de coordinación interna y externa, la alerta temprana y la respuesta rápida, el apoyo a las fuerzas de seguridad del gobierno anfitrión, las capacidades de las tropas y la dotación de recursos.",0
"487","La inflación en el primer trimestre de 2007 fue de sólo el 1,5%.",0
"488","Pero no nos engañemos: es un reto para todo Kosovo, y no sólo para una minoría.",0
"489","47. Insta encarecidamente a los Estados miembros a que faciliten toda la información pertinente al Defensor del Pueblo, incluida cualquier información confidencial pertinente, cuando proceda, alienta a los Estados miembros a que faciliten la información pertinente de manera oportuna, acoge con satisfacción los acuerdos nacionales celebrados por los Estados miembros con la Oficina del Defensor del Pueblo para facilitar el intercambio de información confidencial, alienta a los Estados miembros a que sigan cooperando a este respecto, incluso mediante la celebración de acuerdos con la Oficina del Defensor del Pueblo para el intercambio de dicha información, y confirma que el Defensor del Pueblo debe respetar las restricciones de confidencialidad que impongan a dicha información los Estados miembros que la faciliten;",1
"490","Algunos Estados miembros también expresaron su preocupación por las tensiones en el complejo Haram al-Sharif/Monte del Templo, en Jerusalén, en las semanas anteriores, y pidieron a las partes que evitaran dar pasos unilaterales que socavaran las perspectivas de paz.",1
"491","Como mínimo, deben incluir una articulación por parte de los altos mandos de una misión de su concepción de la protección de civiles y de las funciones y responsabilidades detalladas dentro de la misión a la hora de llevar a cabo dichas actividades, haciendo frente tanto a las amenazas cotidianas y persistentes de bajo nivel como a las crisis potenciales.",0
"492","228. Antes de proceder a la presentación de los resultados de la investigación de la Comisión, así como a la valoración jurídica de estos hechos, merece la pena proporcionar algunos datos sobre el desplazamiento y la destrucción, con el fin de ofrecer una imagen clara de la magnitud y escala de la situación.",0
"493","En la declaración, el Presidente Abbas también expresó su pleno apoyo a las medidas adoptadas en las últimas semanas por el Gobierno del Líbano para prohibir el porte de armas fuera de los campos de refugiados palestinos, detener los traslados ilegales de armas y personas y afirmar su monopolio sobre el uso de la fuerza y ejercer su control sobre todo su territorio.",1
"494","Destacando que el diálogo entre el Comité establecido en virtud de la resolución 1267 (1999) (""el Comité"") y los Estados miembros es vital para la plena aplicación de las medidas,",1
"495","Por ello, a finales de septiembre, el Mecanismo Conjunto de Aplicación acordó medidas para armonizar la aplicación del plan de acción con los elementos existentes del acuerdo de alto el fuego de Yamena del 8 de abril de 2004, a fin de reducir las posibilidades de que se repitan tales consecuencias.",1
"496","A celebrar el miércoles 19 de febrero de 2014, a las 10.00 horas.",0
"497","Análisis y valoración 249 - 258 52",0
"498","Su disciplina y comportamiento han sido de alto nivel, lo que les honra a ellos mismos y a las Naciones Unidas.",0
"499","En la resolución 1820 (2008), el Consejo alienta al Secretario General a que, en consulta con las mujeres y las organizaciones dirigidas por mujeres, elabore mecanismos eficaces para proteger a las mujeres y las niñas en los campamentos de refugiados y desplazados internos y sus alrededores, en particular contra la violencia sexual y otras formas de violencia de género.",1
"500","Las distintas posibilidades incluyen un terrorista suicida, una explosión inalámbrica que utilice frecuencias distintas de las de los dispositivos de interferencia o que utilice las frecuencias de los dispositivos de interferencia, una explosión inalámbrica que utilice los propios dispositivos de interferencia, una explosión inalámbrica que utilice un teléfono por satélite de Thuraya, la única compañía telefónica que trabaja en territorio libanés con enlaces por satélite, una explosión con cable que utilice un cable TNT o una explosión con cable que utilice otro tipo de cable instalado, como una línea telefónica, como cable de conexión.",0
"501","A petición del Presidente, la Misión de las Naciones Unidas para la Respuesta de Emergencia al Ébola (UNMEER) estableció una pequeña oficina en Bamako, que entró en funcionamiento el 26 de noviembre, bajo la dirección de un gestor de crisis del ébola para apoyar al Gobierno en la contención del brote de ébola y reforzar su preparación. El 13 de diciembre, el último paciente de ébola conocido fue dado de alta del hospital.",1
"502",":: Algunos miembros subrayaron la necesidad de que la comunidad internacional se esfuerce colectivamente por promover una mayor armonía y diálogo cultural y religioso, señalando que el terrorismo no tiene credo, cultura ni religión.",1
"503","El Comité también siguió alentando al Equipo de Vigilancia a que siguiera reforzando su papel en el fortalecimiento de la capacidad de los Estados Miembros para aplicar plenamente el régimen de sanciones del Consejo de Seguridad contra Al-Qaida y personas y entidades asociadas. A este respecto, el Comité alentó la cooperación entre el Equipo de Vigilancia y la Dirección Ejecutiva del Comité establecido en virtud de la resolución 1373 (2001) relativa a la lucha contra el terrorismo, que actúa como integrador del sistema para las iniciativas de fomento de la capacidad en el marco de las sanciones del Consejo.",1
"504","1. Supresión de personas fallecidas de la Lista",0
"505","645. La Comisión ha decidido no hacer públicos los nombres de estas personas. Esta decisión se basa en tres motivos principales: a) la importancia de los principios del debido proceso y el respeto de los derechos de los sospechosos; b) el hecho de que la Comisión no ha sido investida de poderes de investigación o enjuiciamiento; y c) la necesidad vital de garantizar la protección de los testigos frente a posibles acosos o intimidaciones.",1
"506","Tomando nota de la propuesta marroquí presentada el 11 de abril de 2007 al Secretario General y acogiendo con satisfacción los esfuerzos serios y creíbles de Marruecos para hacer avanzar el proceso hacia una resolución; tomando nota asimismo de la propuesta del Frente Polisario presentada el 10 de abril de 2007 al Secretario General,",1
"507","En cambio, el Grupo ha optado por limitarse a tres cuestiones específicas, que se tratan a continuación.",0
"508","El Equipo recomienda además que, tan pronto como el Equipo o el Comité reciban un informe sobre la muerte de una persona incluida en la Lista, hagan todo lo posible por esclarecer los hechos, en colaboración con los Estados pertinentes, y transmitan sus conclusiones al Comité lo antes posible.",1
"509","Expresando su preocupación por todas las violaciones y abusos de los derechos humanos, el Consejo hace un llamamiento a las autoridades libias para que investiguen y lleven ante la justicia a los autores de todos esos actos, incluidos los cometidos contra niños.",1
"510","Aunque un alto funcionario de las Instituciones Provisionales de Kosovo y Metohija intentó recientemente explicar ese fracaso citando las elevadas tasas de desempleo, los hechos apuntan en otra dirección.",0
"511","""El Consejo de Seguridad hace extensivo su agradecimiento a los países participantes en la Misión de Estabilización de las Naciones Unidas en Haití (MINUSTAH), y espera que los países que se han comprometido a aportar tropas y policía civil hagan todo lo posible por acelerar el pronto despliegue de su personal.",1
"512","""El Consejo subraya la importancia de la implicación nacional, del diálogo constructivo y de la asociación entre las autoridades nacionales y la comunidad internacional para ayudar a abordar las necesidades prioritarias de consolidación de la paz y las causas subyacentes de la inestabilidad recurrente.",0
"513","37. Como parte del esfuerzo de la División por contratar a expertos bien cualificados para formar parte de los grupos, equipos y grupos de vigilancia de las sanciones, y como se hace todos los años, en diciembre se envió a todos los Estados Miembros una nota verbal en la que se solicitaba la presentación de candidatos cualificados para formar parte de la lista de expertos de la División.",1
"514","Falsificación y alteración de moneda y emisión de moneda falsa o alterada,",0
"515","10. Encarga a la Dirección Ejecutiva del Comité contra el Terrorismo que facilite la información contenida en los estudios y evaluaciones nacionales de la lucha contra el terrorismo, cuando así lo acuerden los Estados miembros interesados, y encarga asimismo a la Dirección Ejecutiva del Comité contra el Terrorismo que facilite información sobre las capacidades regionales de lucha contra el terrorismo, cuando así lo apruebe el Comité contra el Terrorismo, según proceda;",1
"516","12. Manual de los cursos de mortero RDF de 60 milímetros y 82 milímetros.",0
"517","Otro Estado destacó la importancia de un enfoque basado en la comunidad, señalando que las familias bien informadas, las comunidades locales y las instituciones locales son las defensas más eficaces contra las ideologías extremistas violentas.",1
"518","""El Consejo de Seguridad exhorta a todas las partes en un conflicto armado a que cumplan las obligaciones que les impone el derecho internacional humanitario de respetar y proteger al personal médico y de abstenerse de atacarlo, siempre que no tomen medidas que afecten negativamente a su condición de civil, y a las instalaciones, así como de utilizar la infraestructura médica en los combates.",1
"519","En dicha resolución, el Consejo pidió al Secretario General que estableciera, en el seno de la Secretaría (Subdivisión de Órganos Subsidiarios del Consejo de Seguridad), un centro de coordinación administrativa para recibir las peticiones de las personas y entidades incluidas en la lista.",1
"520","Reafirmando su Resolución 1373 (2001), de 28 de septiembre de 2001, y reiterando su apoyo a los esfuerzos internacionales para erradicar el terrorismo, de conformidad con la Carta de las Naciones Unidas,",1
"521","Hemos mantenido numerosos contactos con ellos a diversos niveles para instarles a que tomen medidas firmes y rápidas para desarmar y detener a estos terroristas y entregarlos a la MONUC para que sean procesados por crímenes contra la humanidad cometidos a lo largo de los años.",1
"522","El Consejo ha insistido también en la urgente necesidad de que todas las partes respeten el alto el fuego y tomen medidas inmediatas para poner fin a la violencia, y ha pedido al gobierno de Sudán que respete sus compromisos de garantizar la neutralización y el desarme de las milicias Janjaweed.",1
"523","32. Hasta la fecha, el Consejo no ha pedido al Secretario General que le informe de sus esfuerzos, como se le invitó a hacer en las declaraciones de la Presidencia de 2009 y 2010, para incorporar la cuestión del narcotráfico como factor en las estrategias de prevención de conflictos, el análisis de conflictos, la evaluación y planificación integradas de las misiones y el apoyo a la consolidación de la paz.",1
"524","""El Consejo de Seguridad renueva su llamamiento al Gobierno de la República Centroafricana para que reanude los esfuerzos de reforma de las instituciones del sector de la seguridad, que es un elemento crucial del proceso de consolidación de la paz en la República Centroafricana, y para que haga frente a la impunidad generalizada, promueva el Estado de derecho y aumente el respeto de los derechos humanos.",1
"525","Se ha presentado una propuesta para modificar el artículo 135 del Código Penal en relación con las circunstancias agravantes, añadiendo los siguientes puntos:",0
"526","158. El Equipo ha seguido promoviendo la labor del Comité mediante presentaciones en la Facultad de Derecho de la Universidad de Columbia y mediante conversaciones con instituciones académicas del ámbito de la lucha contra el terrorismo, como el Proyecto de Evaluación de la Lucha contra el Terrorismo de la Cuarta Libertad, el Instituto Watson de la Universidad de Brown y otras instituciones terciarias.",1
"527","No se han cobrado oficialmente.",0
"528","El 3 de julio se lanzaron octavillas sobre las ciudades de Han Pijesak, Visegrad y Vlasenica.",0
"529","En otras palabras, ahora ha surgido en el derecho internacional el derecho de las víctimas de graves abusos contra los derechos humanos (en particular, crímenes de guerra, crímenes contra la humanidad y genocidio) a la reparación (incluida la indemnización) de los daños resultantes de esos abusos.",0
"530","Aunque aún no ha comenzado el periodo oficial de campaña, los partidos de la oposición y la sociedad civil expresaron su preocupación por la perturbación de sus actividades políticas por parte de las autoridades nacionales, especialmente la policía.",0
"531","El Consejo afirma la necesidad de llevar ante la justicia, de manera adecuada, a las personas que inciten o causen violencia contra civiles en situaciones de conflicto armado o que violen de otro modo el Derecho internacional humanitario y de los derechos humanos.",1
"532","(iv) Elaborar y actualizar periódicamente, y por lo menos una vez al mes, un calendario de actos de divulgación o actividades similares, que abarque períodos de por lo menos seis meses en el futuro, y que incluya información sobre otras actividades de los Estados pertinentes, las organizaciones internacionales, regionales y subregionales, el Comité contra el Terrorismo, el Comité establecido en virtud de la resolución 1267 (1999) y otros órganos de las Naciones Unidas;",1
"533","En sus respuestas, los miembros del Consejo expresaron su reconocimiento del carácter selectivo de las sanciones del Consejo y de su amplia aplicación a una serie de amenazas a la paz y la seguridad internacionales, que implican, entre otras cosas, la asistencia a los Estados para recuperar la estabilidad, la protección de las poblaciones civiles en conflicto y la lucha contra el terrorismo y la proliferación de armas de destrucción masiva.",1
"534","Suprimir el párrafo 6: ""Decreto Presidencial nº 117 de 13 de febrero de 1998"".",0
"535","Además de analizar la Lista, el Equipo examina la aplicación de las tres medidas sancionadoras: la congelación de activos, la prohibición de viajar y el embargo de armas.",0
"536","49. Hay decenas de négociants incluso en las pequeñas ciudades mineras fuera de las grandes urbes, y según el Centre d'évaluation, d'expertise et de certification (CEEC), en Mbuji-Mayi hay cientos de ellos.",0
"537","7. Exhorta a todos los Estados a que actúen estrictamente de conformidad con las disposiciones de la presente resolución, no obstante la existencia de cualesquiera derechos u obligaciones conferidos o impuestos por cualquier acuerdo internacional o cualquier contrato celebrado o cualquier licencia o permiso concedido antes de la fecha de entrada en vigor de las medidas impuestas por el párrafo 4 supra;",1
"538","(a) Alentar a los Estados a que refuercen la capacidad de sus regímenes de lucha contra el blanqueo de capitales y la financiación del terrorismo, prestando especial atención a la regulación de los sistemas alternativos de envío de remesas y las organizaciones benéficas;",1
"539","Muchos de los presuntos crímenes documentados en Darfur han sido generalizados y sistemáticos. Cumplen todos los umbrales establecidos en el Estatuto.",0
"540","Shoreline Maintenance Works &amp; Contracting Company Ahmed Abdullah Alqattan &amp; Partner solicita una indemnización por las cuentas por cobrar relativas a un contrato celebrado el 1 de febrero de 1990 con el Ministerio de Transportes y Comunicaciones del Gobierno de Iraq.",0
"541","19. Funcionamiento y mantenimiento de instalaciones críticas (110.700 SAR);",0
"542","Mi Gobierno agradece las numerosas expresiones de condena e indignación que ha generado esta atrocidad. Apreciamos especialmente la rápida reacción del Consejo de Seguridad ante este espantoso crimen.",0
"543","Las medidas relativas al control de fronteras, la seguridad interior y la aplicación de la ley se aplican plenamente en la mayoría de los Estados, aunque algunos de ellos no han facilitado información suficiente para permitir una evaluación en determinadas subcategorías. 139. Las recomendaciones prioritarias son: (a) Alentar la adopción de medidas para mejorar la capacidad de congelar sin demora los fondos y activos vinculados al terrorismo en la mayoría de los Estados, y proteger su sector no lucrativo de los abusos de la financiación del terrorismo;",1
"544","Se celebrará el viernes 17 de diciembre de 1999, a las 10.45 horas.",0
"545","Se cree que hay unos 640.000 desplazados internos en Kivu Norte, más de 350.000 en Kivu Sur, 305.000 en Katanga y 300.000 en Equateur.",0
"546","23. El 17 de octubre, el jefe del Estado Mayor de la Defensa nigeriano anunció que se había alcanzado un cese de las hostilidades con Boko Haram, tras unas conversaciones facilitadas por el gobierno de Chad en Yamena. El 19 de octubre, el gobierno de Chad declaró que se estaba negociando un acuerdo de alto el fuego y la liberación de las escolares secuestradas en Chibok. El 4 de noviembre, el gobierno federal de Nigeria anunció que no se había alcanzado ningún acuerdo, aunque continuarían las conversaciones.",1
"547","Además, los participantes acordaron intensificar la presión para desarmar a las milicias que operan en el este de la República Democrática del Congo y negociar tratados bilaterales de extradición en relación con los líderes de las milicias remanentes.",1
"548","En este sentido, considera importante que se complete el despliegue de la fuerza adicional de la UNMISS.",0
"549","(bb) Cualquier otra responsabilidad identificada por el Comité.",0
"550","Insta además al Secretario General a que trate de ampliar el papel y la contribución de las mujeres en las operaciones de las Naciones Unidas sobre el terreno, y especialmente entre los observadores militares, la policía civil y el personal humanitario y de derechos humanos.",1
"551","Pido a la comunidad internacional, y en particular a los Estados vecinos y a los miembros del Grupo de Amigos, que presten apoyo a este esfuerzo.",0
"552","Durante 2012 y 2013, Estados Unidos también se dirigió formalmente a numerosos países de África, Asia y América animándoles a suscribir el Código de Conducta de La Haya contra la Proliferación de Misiles Balísticos.",0
"553","El Presidente ha informado al Consejo de los debates del Comité en su reunión celebrada el 3 de septiembre, que se centraron en el informe de mitad de período del Grupo de Expertos establecido en virtud de la resolución 1874 (2009), publicado el 1 de agosto, y en la actualización por el Grupo de Expertos de su informe sobre incidentes, también publicado el 1 de agosto, relativo a los lanzamientos de misiles balísticos por la República Popular Democrática de Corea en junio y julio de 2014.",1
"554","Por consiguiente, instamos a los miembros del Consejo y del Grupo de Amigos a que consideren favorablemente estas recomendaciones del Secretario General.",0
"555","El 19 de agosto de 2014 (Día Mundial de la Asistencia Humanitaria), el Reino Unido de Gran Bretaña e Irlanda del Norte, en su calidad de Presidente del Consejo de Seguridad, celebrará una sesión pública del Consejo, en formato de sesión informativa, sobre la protección de los trabajadores humanitarios, en el marco del punto del orden del día relativo a la protección de los civiles en los conflictos armados.",1
"556","""Informe del Secretario General sobre la situación en la región del Sahel (S/2013/354)"".",0
"557","Dada su actual situación política, Kosovo sigue estando muy lejos de las inversiones extranjeras directas y carece de los requisitos para beneficiarse de los programas y ayudas del Fondo Monetario Internacional y el Banco Mundial, que tendrían un impacto directo en el desarrollo de una economía estable y eficiente.",0
"558","Además, cuatro Estados han introducido legislación que tipifica como delito la provisión de refugio seguro a terroristas y a quienes les apoyan por parte de individuos u organizaciones.",0
"559","En dos de ellos no pudieron establecerse los motivos, mientras que el tercero se consideró de naturaleza delictiva.",0
"560","El General Zhao sustituirá al General Kurt Mosgaard (Dinamarca), que dejará el cargo el 27 de agosto de 2007.",0
"561","82. A medida que se acerca la fecha límite del Acuerdo General de Paz para los referendos, la expectación y la ansiedad de la opinión pública aumentan a un ritmo acelerado.",0
"562","De hecho, ya es hora de que la comunidad internacional tome medidas eficaces para proteger y hacer cumplir los derechos más básicos del pueblo palestino y contribuya a poner fin al círculo vicioso de violencia provocado por la persistente y continuada ocupación ilegal de los territorios palestinos por parte de Israel.",0
"563","El tráfico transfronterizo de minerales y diamantes lleva muchos años en el centro de la dinámica de los conflictos regionalizados, tanto en África Occidental como en la región de los Grandes Lagos.",0
"564","Aún no se ha fijado fecha para el juicio.",0
"565","proporcione apoyo material, logístico u organizativo o cualquier tipo de recursos; o",0
"566","158. Aproximadamente la mitad de los Estados aplican controles aduaneros sobre el tráfico ilegal de armas pequeñas y ligeras, municiones y explosivos, pero es necesario reforzar los controles aduaneros y la formación de los funcionarios.",1
"567","En 2009 se celebró otro seminario internacional sobre el fortalecimiento de la cooperación antiterrorista y el diálogo entre los organismos gubernamentales, los medios de comunicación y la sociedad civil.",1
"568","En cuanto a las dimensiones militares de la reforma del sector de la seguridad, el Gobierno ha dejado claro que desea depender en gran medida de la ayuda bilateral para reforzar las capacidades del ejército.",0
"569","(h) Presentar al Consejo, a través del Comité, un informe intermedio en un plazo de 90 días a partir de su creación;",1
"570","Artículo 26: Indulto o conmutación de penas",0
"571","11. Del 29 de abril al 2 de mayo, el MNLA celebró su congreso en Kidal.",0
"572","El 18 de julio de 2011, el Consejo celebró una reunión a puerta cerrada con los países que aportan contingentes y fuerzas de policía a la Operación Híbrida de la Unión Africana y las Naciones Unidas en Darfur (UNAMID).",0
"573","Por lo tanto, no ofrecen necesariamente un resumen de todos los motivos de inclusión en la lista examinados por el Comité.",0
"574","Condenar la incidencia de los secuestros y la toma de rehenes con el objetivo de recaudar fondos u obtener concesiones políticas, y expresar la necesidad de que se aborde esta cuestión,",0
"575","Los participantes en la misión conjunta consultaron a todas las partes interesadas de Burkina Faso para poner en marcha las disposiciones necesarias para el traspaso del poder de los militares a una transición consensuada y dirigida por civiles que conduzca a la celebración de elecciones y al rápido restablecimiento del orden constitucional.",1
"576","La Operación también colaborará con el Facilitador para alentar a las partes a que acuerden un mecanismo eficaz para el control de las armas almacenadas, de conformidad con la función de supervisión encomendada a la ONUCI y a la fuerza Licorne en virtud del Acuerdo de Uagadugú.",1
"577","169. Las pruebas de que dispone la Comisión demuestran que el Primer Ministro Alkatiri tenía conocimiento de las denuncias de transferencia de armas a civiles al menos el 21 de mayo.",0
"578","Tras este intercambio, el Equipo ha debatido la cuestión con el Comité y se ha puesto en contacto con otros Estados con programas similares para ampliar su investigación.",1
"579","También ha informado al Consejo sobre la situación humanitaria en las zonas controladas por los grupos armados, que sigue siendo precaria, especialmente en la región de Luhansk.",0
"580","3. Conforme a lo solicitado por el Consejo de Seguridad en su resolución 1787 (2007), el Director Ejecutivo, en un plazo de 60 días a partir de la aprobación de dicha resolución y en consulta con el Comité, recomendará cambios en el plan de organización de la Dirección Ejecutiva a que se hace referencia en el párrafo 4 de la resolución 1535 (2004) del Consejo.",1
"581","(e) Presentar al Comité, para su examen y aprobación cuando sea necesario, un programa de trabajo completo en el que el Equipo de Vigilancia deberá detallar las actividades previstas para cumplir sus responsabilidades, incluidos los viajes propuestos, sobre la base de una estrecha coordinación con la Dirección Ejecutiva del Comité contra el Terrorismo y el grupo de expertos del Comité 1540 para evitar duplicaciones y reforzar las sinergias;",1
"582","(vi) Aumento de la prima de seguro sobre el petróleo crudo",0
