"","en_es_DEEPL","MatCoop"
"397","2. Gastos de los servicios públicos 468 93",0
"398","62. Un Estado señaló que la mejor manera de lograr este objetivo era inculcar el sentido del deber cívico y el reconocimiento de que el público debe comunicar sus preocupaciones a las autoridades encargadas de hacer cumplir la ley.",1
"399","La ventaja que aporta el Equipo es la capacidad de trabajar en colaboración con gobiernos de todo el mundo, así como de recurrir a especialistas externos, con el fin de elaborar una evaluación integrada de la amenaza que representan Al Qaeda y sus asociados y promover un régimen de sanciones selectivo, eficaz y justo.",1
"400","El demandante también ha presentado una relación detallada de las medidas adoptadas para documentar su reclamación.",0
"401","65. El Gobierno de Egipto confirmó el despliegue para julio de una unidad de policía constituida, que tendrá su base en Bukavu (Kivu del Sur), en cumplimiento de los requisitos adicionales expuestos en la resolución 1843 (2008) del Consejo de Seguridad.",1
"402","El comportamiento de Etiopía fue notablemente diferente.",0
"403","Los pagos efectuados por la UNCC se transferían del Banco Central al Banco Nacional de Jordania (en la cuenta del Ministerio de Trabajo).",0
"404","8. En estrecha cooperación con los Comités establecidos en virtud de las resoluciones 1267 (1999) y 1540 (2004) y de conformidad con su mandato, el Comité prestará especial atención a los Estados que se retrasen en presentarle la información pertinente y debatirá la mejor manera de abordar la cuestión.",1
"405","Entre enero y finales de agosto, más de 2.000 niños pasaron por centros de tránsito de Kivu Norte, incluido Beni, y unos 800 por centros de Kivu Sur.",0
"406","Además, aunque la situación general de seguridad se ha mantenido tranquila y pacífica desde que Timor Oriental asumió oficialmente la plena responsabilidad de la seguridad el 20 de mayo, el contrabando, el comercio ilegal y el cruce de fronteras deben percibirse como motivo de preocupación, al igual que las tensiones relacionadas con las manifestaciones de Dili del pasado julio.",0
"407","El Consejo podría desempeñar un papel importante a la hora de garantizar el establecimiento de programas de reparación para atender las necesidades de las víctimas.",1
"408","También vale la pena hacer las siguientes observaciones:",0
"409","2. Método de verificación y valoración 155 - 157 31",0
"410","La situación en Somalia (17 de marzo de 1992; 26 de mayo de 2009)",0
"411","También existe un Tratado bilateral de Asistencia Legal Mutua (MLAT) con los Estados Unidos de América.",0
"412","Lo que distingue a esta categoría de crímenes de la de crímenes de guerra es que no se trata de infracciones aisladas o esporádicas, sino de violaciones que (a) pueden producirse tanto en tiempo de paz como en tiempo de conflicto armado, y (b) forman parte de una práctica generalizada o sistemática de atrocidades (o ataques) cometidas contra la población civil.",0
"413","Dos Estados no han cumplido el plazo de la OACI para introducir documentos de viaje legibles por máquina.",1
"414","Los esfuerzos antiterroristas no deben implicar un doble rasero ni medidas unilaterales de uso de la fuerza, que podrían dañar la cohesión de la coalición contra el terrorismo y desestabilizar la situación regional y mundial.",1
"415","12. En cuanto a los controles fronterizos y de exportación, la Ley de Comercio Estratégico de 2010 de Malasia entró en vigor el 1 de enero de 2011, y Finlandia adoptó una nueva ley de control de las exportaciones.",1
"416","43. El Comité se congratula de que su Dirección Ejecutiva haya dirigido los trabajos emprendidos en el marco del Equipo Especial sobre la Ejecución de la Lucha contra el Terrorismo para elaborar un compendio de instrumentos, normas y buenas prácticas internacionales y regionales para el control de las fronteras en relación con la lucha contra el terrorismo, así como los trabajos para desarrollar un marco para la gestión coordinada de los riesgos para la seguridad de las fronteras.",1
"417","65. La hoja de ruta para la salida de la MONUSCO debería ir acompañada de una intensificación de los esfuerzos de la comunidad internacional para mejorar la cooperación regional con el fin de minimizar cualquier amenaza y riesgo externos para el proceso de consolidación de la paz en la República Democrática del Congo. VIII. Observaciones",1
"418","De conformidad con el entendimiento alcanzado en las consultas previas del Consejo, el Presidente, con el consentimiento del Consejo y con arreglo al artículo 39 de su reglamento provisional, cursó una invitación al Sr. Kieran Prendergast, Secretario General Adjunto de Asuntos Políticos.",0
"419","Se calcula que hay aproximadamente 1,2 millones de solicitantes potenciales para la primera fase del registro civil y electoral.",0
"420","5. Además, se afirma respetuosamente que existen otros métodos más rápidos y sencillos que garantizarán que las víctimas de actos criminales en Ruanda reciban una indemnización justa.",1
"421","En nombre del Comité del Consejo de Seguridad establecido en virtud de la resolución 1373 (2001) relativa a la lucha contra el terrorismo, tengo el honor de presentar al Consejo de Seguridad el informe del Comité para su examen exhaustivo de la labor del Comité y de su Dirección Ejecutiva de 2011 a 2013 (véase el anexo).",1
"422","Se produjo una refriega que obligó a llamar a la policía y a lanzar gases lacrimógenos.",0
"423","Reclamación del Gobierno Nº 48, Reclamación de la UNCC Nº 5000177",0
"424","Hay indicios de que elementos del LRA están utilizando territorio de la República Centroafricana para reabastecerse.",0
"425","9. Pide al Secretario General que asigne al Grupo de Supervisión establecido en virtud del apartado a) del párrafo 4 de la resolución 1363 (2001), cuyo mandato expira el 19 de enero de 2002, la tarea de supervisar, durante un período de 12 meses, la aplicación de las medidas mencionadas en el párrafo 2 de la presente resolución;",1
"426","El marco jurídico y la metodología de verificación y valoración aplicados a la evaluación de las reclamaciones en este tramo son los mismos que los utilizados en los anteriores tramos ""E4"".",0
"427","Desde que comenzó la campaña a finales de 2013, UNICEF ha suministrado 34 millones de dosis de vacuna oral contra la poliomielitis para contener el brote en la República Árabe Siria.",0
"428","(a) Garantizar la protección de los civiles, incluido el personal humanitario, bajo amenaza inminente de violencia física;",1
"429","Los actos de algunos grupos árabes provocaron el desplazamiento forzoso de esos grupos no árabes.",0
"430","Afirma que esta documentación fue transportada desde el emplazamiento del proyecto en Al-Kazak hasta Bagdad, una distancia de unos 400 kilómetros.",0
"431","5. Se ha creado un Comité Nacional de Lucha contra la Droga.",0
"432","43. La situación en Myanmar (15 de septiembre de 2006; 13 de julio de 2009).",0
"433","Las disputas étnicas y fronterizas no resueltas han dado lugar a conflictos que socavan los esfuerzos por desarrollar una respuesta antiterrorista regional cohesionada.",0
"434","El Consejo ha hecho asimismo un llamamiento a Croacia y a la República Federativa de Yugoslavia para que cooperen plenamente con la Misión y garanticen la seguridad y la libertad de movimientos plena y sin restricciones de los observadores.",1
"435","También se ha realizado un ajuste para tener en cuenta el valor residual de los equipos utilizados en el programa de recuperación de petróleo a 31 de diciembre de 1992.",0
"436","Cuadro 9. Lista de entidades receptoras 91919191",0
"437","Se celebrará el martes 22 de mayo de 2007, a las 10.00 horas.",0
"438","Exceso (déficit) neto de los ingresos sobre los gastos",0
"439","Avances en la eliminación de las armas químicas sirias por parte de los Estados Parte que acogen actividades de destrucción",1
"440","14. Decide que los Estados miembros, a fin de impedir que Al-Qaida y otras personas, grupos, empresas y entidades asociados con ella obtengan, manipulen, almacenen, utilicen o traten de acceder a todo tipo de explosivos, ya sean militares, civiles o improvisados, así como a materias primas y componentes que puedan utilizarse para fabricar artefactos explosivos improvisados o armas no convencionales, incluidos (aunque no exclusivamente) componentes químicos, cordón detonante o venenos, adoptarán las medidas adecuadas para promover el ejercicio de la vigilancia por parte de sus nacionales, las personas sujetas a su jurisdicción y las empresas constituidas en su territorio o sujetas a su jurisdicción que participen en la producción, venta, suministro, compra, transferencia y almacenamiento de dichos materiales, incluso mediante la publicación de buenas prácticas, y alienta además a los Estados miembros a que compartan información, establezcan asociaciones y desarrollen estrategias y capacidades nacionales para contrarrestar los artefactos explosivos improvisados;",1
"441","29. Sólo dos Estados han tipificado como delito la financiación del terrorismo, pero otros dos han introducido algunas disposiciones legales para abordar la cuestión.",1
"442","El acceso por vía aérea también es limitado.",0
"443","(e) Permitir la creación de periódicos y otros medios de comunicación independientes; permitir a los ciudadanos el libre acceso a Internet, las redes sociales, las comunicaciones internacionales, las emisiones y publicaciones extranjeras, incluida la cultura popular de otros países; y abolir la participación obligatoria en organizaciones de masas y las sesiones de adoctrinamiento;",1
"444","Por eso en mi declaración me he centrado más en las oportunidades que en los retos.",0
"445","Periódico turco Vakit -- 4 de enero de 2012",0
"446","5. Declara que los actos, métodos y prácticas terroristas son contrarios a los propósitos y principios de las Naciones Unidas y que financiar, planificar e incitar a sabiendas a la comisión de actos terroristas también es contrario a los propósitos y principios de las Naciones Unidas;",1
"447","Durante el conflicto actual, soldados del gobierno habían masacrado a personas en Monoko-Zohi, y había informes recientes de fosas comunes en Man y Danané atribuibles a las fuerzas gubernamentales.",0
"448","24. Las tropas sirias fueron invitadas a entrar en Líbano por el presidente libanés Suleiman Franjieh en mayo de 1976, en las primeras fases de la guerra civil de este país.",1
"449","200. La perspectiva gubernamental más coherente sobre el conflicto fue presentada por un comité creado por el ministro del Interior en su calidad de representante del presidente en Darfur.",0
"450","Para la región del Sahel, la ONUDD elaboró dos guías prácticas para ayudar a los funcionarios de justicia penal a hacer frente a las actividades terroristas.",1
"451","Adjunto encontrará el texto del artículo en cuestión.",0
"452","Dicha cooperación condujo al desarrollo y la aplicación de soluciones prácticas en materia de coordinación naval y operativa y de cuestiones jurídicas y judiciales, medidas de autoprotección para la industria naval, diplomacia pública y desarticulación de empresas piratas ilícitas en tierra.",1
"453","7. Señala que dichos medios de financiación o apoyo incluyen, entre otros, la utilización del producto del delito, incluidos el cultivo, la producción y el tráfico ilícitos de estupefacientes y sus precursores;",0
"454","21. También ha habido informes persistentes de que helicópteros marfileños estaban estacionados en Guinea y que uno de los helicópteros destruidos en noviembre de 2004 por las fuerzas francesas había sido prestado por Guinea.",1
"455","Condenando en particular la violencia sexual perpetrada por [milicias y grupos armados, así como por elementos de las fuerzas armadas y policiales nacionales] y otros servicios de seguridad e inteligencia, subrayando la urgente necesidad de que [el Estado afectado], en cooperación con [la misión de mantenimiento de la paz] y otros actores pertinentes, ponga fin a dicha violencia y haga comparecer ante la justicia a los autores, así como a los altos mandos a sus órdenes, y pidiendo a los Estados miembros que presten asistencia a este respecto y continúen proporcionando ayuda médica, humanitaria y de otro tipo a las víctimas.",0
"456","303. Se ha informado de muchos incidentes en los que, al parecer, las fuerzas gubernamentales rodearon aldeas y montaron guardia mientras los Janjaweed quemaban, saqueaban y cometían otras atrocidades contra la población.",0
"457","19. Pide al Grupo de Expertos que siga coordinando sus actividades, según proceda, con las operaciones de la Operación Híbrida de las Naciones Unidas y la Unión Africana en Darfur (UNAMID) y con los esfuerzos internacionales para promover un proceso político en Darfur, y que evalúe en sus informes provisional y final los progresos realizados para reducir las violaciones por todas las partes de las medidas impuestas en los párrafos 7 y 8 de la resolución 1556 (2005), el párrafo 7 de la resolución 1591 (2005) y el párrafo 10 de la resolución 1945 (2010), los progresos realizados para eliminar los obstáculos al proceso político, las amenazas a la estabilidad en Darfur y en la región; las violaciones del derecho internacional humanitario o las violaciones o abusos de los derechos humanos, incluidos los ataques contra la población civil, la violencia sexual y de género y las violaciones y abusos graves contra los niños, y otras violaciones de las resoluciones mencionadas, y que proporcione al Comité información sobre las personas y entidades que cumplen los criterios de inclusión en la lista del apartado c) del párrafo 3 de la resolución 1591;",1
"458","Una vez más, condenamos la matanza de civiles, tanto del lado palestino como del israelí.",0
"459","Reconociendo el importante papel que desempeñan los acuerdos regionales y subregionales en la prevención y respuesta a situaciones que puedan conducir al genocidio, crímenes de guerra y crímenes contra la humanidad, especialmente teniendo en cuenta el artículo 4(h) del Acta Constitutiva de la Unión Africana,",1
"460","49. El Comité alienta a su Dirección Ejecutiva a que siga estudiando, con otras entidades de las Naciones Unidas, los mejores enfoques y medios posibles para coordinar las actividades de las Naciones Unidas, en particular con respecto a la armonización de las metodologías de trabajo y la programación de los proyectos de lucha contra el terrorismo.",0
"461","En octubre de 2003, el Gobierno chino también promulgó y puso en vigor la Ley de la República Popular China sobre Prevención de la Contaminación por Radiación.",0
"462","Esto se debe a la probabilidad de que no hubiera mercado para el componente individual, sino sólo para la planta en su conjunto.",0
"463","El consorcio creará y mantendrá un repositorio en línea para recopilar y poner a disposición de investigadores, analistas y responsables políticos las aportaciones inéditas de los participantes en el Grupo de Contacto que reflejen sus opiniones sobre los esfuerzos internacionales emprendidos desde 2008 para combatir la piratería frente a las costas de Somalia.",1
"464","S/RES/1828 (2008), pp.12",0
"465","El déficit pone en grave peligro la capacidad de funcionamiento de la FDA, especialmente fuera de Monrovia.",0
"466","14. Observa la evolución del nexo entre el terrorismo y las tecnologías de la información y las comunicaciones, en particular Internet, y el uso de dichas tecnologías para cometer actos terroristas, y para facilitar dichos actos mediante su uso para incitar, reclutar, financiar o planificar actos terroristas, y encarga a la Dirección Ejecutiva del Comité contra el Terrorismo que siga ocupándose de esta cuestión, en consulta con los Estados miembros, las organizaciones internacionales, regionales y subregionales, el sector privado y la sociedad civil, y que asesore al Comité contra el Terrorismo sobre nuevos planteamientos;",1
"467","Afirmó que la cooperación entre el gobierno y la sociedad civil es una parte esencial de los esfuerzos para evitar que las personas se conviertan en terroristas y señaló que está intensificando sus esfuerzos para identificar e investigar la incitación al odio en Internet.",1
"468","Se adoptaron declaraciones presidenciales sobre los niños y los conflictos armados (S/PRST/2002/12), Timor Oriental (S/PRST/2002/13), las elecciones en Sierra Leona (S/PRST/2002/14), la admisión de nuevos miembros (S/PRST/2002/15), Kosovo (S/PRST/2002/16), la República Democrática del Congo (S/PRST/2002/17) y la FNUOS (S/PRST/2002/18).",1
"469","Además, no hay indicios de que se vaya a disponer fácilmente de financiación extrapresupuestaria.",0
"470","En mayo de 2000, Turabi lideró una escisión del Congreso Nacional en el poder, estableciendo de hecho un nuevo partido llamado Congreso Popular.",1
"471","Profesión: Estudiante (tercer curso de secundaria).",0
"472","61. Como se pide en el actual programa de trabajo de la Comisión, el esfuerzo para avanzar hacia la presentación universal de informes continuó bilateralmente, con las misiones en Nueva York de los Estados que aún no han presentado informes al Comité, y en el marco de oportunidades regionales y otros eventos.",1
"473","La Dirección Ejecutiva ayudará al Comité a iniciar un debate sobre el estudio de las necesidades de asistencia técnica de los Estados para aplicar la resolución 1624 (2005) y facilitar la prestación de dicha asistencia, según proceda.",1
"474","Aunque ningún aldeano denunció ningún caso de violación al equipo de investigación de la UNAMID, las fuerzas armadas sudanesas y personal de la inteligencia militar estuvieron de hecho presentes en la aldea durante la investigación de la UNAMID.",1
"475","El Subsecretario General también proporcionó información actualizada sobre los vehículos, artículos y equipos incautados por los grupos armados de la oposición en los recientes incidentes con la Fuerza.",1
"476","La situación en Costa de Marfil (véanse S/2002/30/Add.50; y S/2003/40/Add.5, 17, 19, 29, 31, 45, 47 y 48; véanse también S/2003/40/Add.11 y 44)",0
"477","El Comité, al mantener, actualizar y mejorar su lista consolidada de personas y entidades asociadas con Al Qaeda y los talibanes, y al supervisar eficazmente la aplicación por parte de los Estados miembros de las sanciones dirigidas contra las personas y entidades incluidas en la lista, desempeña un papel crucial en los esfuerzos de las Naciones Unidas contra el terrorismo.",1
"478","Además, uno es sospechoso de haber participado en la detención ilegal de civiles y dos son sospechosos de asesinato de civiles, que son crímenes de lesa humanidad.",0
"479","22. El equipo de investigación de la Comisión estaba dirigido por un investigador jefe e incluía cuatro investigadores, dos investigadoras especializadas en violencia de género, cuatro expertos forenses y dos analistas militares.",1
"480","59. El Grupo de Expertos viajó ampliamente por Côte d'Ivoire, la subregión y otros lugares en sus esfuerzos por evaluar el cumplimiento del embargo y determinar qué medidas adicionales podrían adoptarse para mejorar su eficacia.",1
"481","78. La UNODC y la Organización para la Seguridad y la Cooperación en Europa (OSCE) organizaron conjuntamente un taller regional de expertos sobre la aplicación de los instrumentos jurídicos universales contra el terrorismo como forma de mejorar la cooperación antiterrorista en la cuenca mediterránea, celebrado en Málaga (España) en septiembre de 2013.",1
"482","La misión no recibió información precisa sobre el número de personas detenidas por las fuerzas de seguridad.",0
"483","Como mínimo, debería atenuar su sufrimiento obligando al Estado sudanés a reparar su daño.",1
"484",":: Un miembro reiteró su llamamiento a una conferencia internacional para hacer de Oriente Medio una zona libre de armas de destrucción masiva.",0
"485","""El Consejo observa con preocupación los retos en el ámbito del desarrollo social y económico, ya que se ha producido un marcado deterioro del nivel de vida de la gran mayoría de los haitianos.",0
"486","120. En octubre de 2002, el Presidente de la República pidió que se pusiera fin a la destrucción de chabolas.",0
"487","Al iniciarse el proceso de recogida de armas, llegaron otros seis vehículos de las Naciones Unidas en los que viajaban funcionarios de la UNPOL, entre ellos el Sr. Malik.",1
"488","El 20 de julio, el Consejo se reunió en debate abierto (4174ª sesión) para estudiar su papel en la prevención de conflictos armados.",1
"489","Sin embargo, nos preocupan los recientes acontecimientos, en los que han aumentado las tensiones entre los miembros de las comunidades locales y las fuerzas de la ISAF.",0
"490","Mi Representante Especial participó en ambos debates. El 16 de agosto, el Secretario de Estado para la Juventud y el Deporte inauguró el Parlamento de la Juventud (véase S/2010/85, párr. 105), integrado por 130 jóvenes (incluidas 66 niñas) de entre 12 y 17 años de edad, que recibirán formación durante dos años sobre aptitudes de liderazgo y representación, y tendrán la oportunidad de participar en el diálogo sobre cuestiones políticas que afectan a los jóvenes.",0
"491","Por ejemplo, en 2009, Bután creó una unidad de fuerzas especiales de élite en su departamento de policía para hacer frente al terrorismo.",1
"492","Sin embargo, la propia naturaleza de la mayoría de los crímenes internacionales implica, por regla general, que son cometidos por funcionarios del Estado o con su complicidad; por lo tanto, a menudo es mejor dejar su enjuiciamiento a otros mecanismos.",0
"493","La nota conceptual esboza el camino a seguir para la evaluación conjunta de las necesidades somalíes e incluye una participación sustancial de somalíes en el ejercicio, tanto en calidad de homólogos gubernamentales y zonales como de expertos internacionales de la diáspora somalí.",1
"494","No debe permitirse que los terroristas y sus cómplices aprovechen las lagunas de la legislación vigente y eludan así la responsabilidad de sus actos.",0
"495","Actuando en virtud del Capítulo VII de la Carta de las Naciones Unidas,",0
"496","Actuando en virtud del Capítulo VII de la Carta de las Naciones Unidas,",0
"497","19. Según un análisis de las declaraciones de los dirigentes de Al Qaeda, sus objetivos inmediatos son aterrorizar a Occidente para que se desvincule de Oriente Próximo y de otros Estados musulmanes y persuadir a los musulmanes de que su mundo está siendo atacado.",0
"498","Esta última ha comentado que cuanta más información contengan las notificaciones especiales, especialmente huellas dactilares, fotografías y números de pasaporte en las versiones restringidas a las que sólo pueden acceder los organismos encargados de la aplicación de la ley de sus países miembros, más útiles serán y menos probabilidades habrá de que se produzcan incidentes como el mencionado. INTERPOL también se ha ofrecido a orientar a sus miembros sobre el alcance del régimen de sanciones. Además, ha sugerido que debería existir un servicio de información permanente en las Naciones Unidas para atender las preguntas y garantizar que se facilite oportunamente la información adicional pertinente sobre las personas incluidas en la lista cuando los Estados miembros la pongan a disposición.",0
"499","Si se producen durante el período pertinente, dichas pérdidas entran claramente en el ámbito de aplicación del apartado 21(c).",0
"500","119. Se han invertido importantes recursos en todo el mundo en iniciativas destinadas a mejorar el diálogo y el entendimiento entre civilizaciones y a contrarrestar la incitación motivada por el extremismo y la intolerancia.",1
"501","(b) Contribuir a la mejora de las condiciones de seguridad en las que se presta la ayuda humanitaria y ayudar al retorno voluntario de los refugiados y desplazados internos;",1
"502","- 78.536 personas expulsadas de sus hogares han sido registradas oficialmente en Serbia y Montenegro;",0
"503","""Unos medios adecuados y flexibles para las actividades de apoyo a la paz de transición y de gestión de crisis, como la protección de los civiles, incluido el personal humanitario y de las Naciones Unidas, el desarme, la desmovilización y la reintegración de los excombatientes, el fin de la impunidad, la creación de instituciones públicas y la justicia de transición, así como la promoción y protección de los derechos humanos y la integración de una perspectiva de género, son esenciales para garantizar una paz duradera después de un conflicto"".",1
"504","A continuación, el equipo inspeccionó las instalaciones de la empresa y después se dirigió a la empresa estatal Hattin, que pertenece al MIC.",0
"505","En última instancia, la reunión se consideró una acción concreta que contribuiría a un diálogo más fluido y eficaz entre el Consejo de Seguridad y la sociedad civil.",0
"506","""a) Establecer los hechos y circunstancias pertinentes a los incidentes de los días 28 y 29 de abril, 23, 24 y 25 de mayo y los acontecimientos o cuestiones conexos que contribuyeron a la crisis, incluidas las cuestiones relacionadas con el funcionamiento del sector de la seguridad;",1
"507","10. La OTAN ha proporcionado fuerzas adicionales para garantizar un entorno seguro para las elecciones a la Asamblea Nacional y a los consejos provinciales previstas para el 18 de septiembre (véase el párrafo 15).",1
"508","Siete han establecido una jurisdicción adecuada para los delitos pertinentes en su legislación, cinco han tomado algunas medidas al respecto y no hay información suficiente con respecto a nueve Estados.",1
"509","Contratación de un especialista en protección. Elaboración y distribución de un folleto sobre la Convención sobre los Derechos del Niño. G.2. Establecer y aplicar estrategias y programas de prevención y respuesta a la violencia de género en los conflictos armados. (presidido por la OCHA y la OMS)",1
"510","El Equipo informa sobre los progresos realizados por la comunidad internacional en la restricción de los movimientos de terroristas y de quienes les apoyan, incluida la reciente iniciativa conjunta de Interpol y el Consejo de Seguridad, que dio lugar a una notificación internacional, completa con identidad, descripción, fotografías y huellas dactilares, para las personas incluidas en la Lista Consolidada.",1
"511","22. No hubo informes de asesinatos deliberados de niños por parte de fuerzas armadas o grupos armados.",1
"512","Tema 13. los equipos podrán exportarse como parte de una aeronave tripulada o de un satélite o en cantidades apropiadas para piezas de recambio de aeronaves tripuladas.",0
"513","Se celebrará el miércoles 9 de junio de 2010, a las 11.15 horas.",0
"514","El Sr. Malik quería enviar oficiales de UNPOL con el coronel Reis para reunirse con el general de brigada Ruak. El coronel Reis se negó, por considerar que la presencia de más policías con camisas azules agravaría la situación.",0
"515","42. Conforme a lo dispuesto en la resolución 2083 (2012), el Equipo de Vigilancia presentó informes al Comité en julio y diciembre de 2013, en los que formuló recomendaciones sobre la forma de mejorar el régimen de sanciones y reforzar sus efectos, con una evaluación de la amenaza de Al-Qaida y sus afiliados y actualizaciones sobre las actividades del Equipo.",1
"516","El 25 de mayo, el Presidente del Comité establecido en virtud de la resolución 1267 (1999) relativa a Al-Qaida y los talibanes, Embajador Heraldo Muñoz de Chile, presentó al Consejo el primer informe oral de 120 días, según lo dispuesto en el párrafo 12 de la resolución 1526 (2004), sobre la labor del Comité y de su Equipo de Apoyo Analítico y Vigilancia de las Sanciones.",0
"517","Tengo el honor de transmitir adjunto el undécimo informe del Equipo encargado de prestar apoyo analítico y vigilar la aplicación de las sanciones establecido en virtud de la resolución 1526 (2004) del Consejo de Seguridad y prorrogado por la resolución 1904 (2009).",1
"518","Se certificó que estaban libres de ébola y fueron trasladados a los centros médicos adecuados una vez finalizado el periodo de cuarentena el 6 de diciembre.",0
"519","Los enfoques de la rehabilitación difieren de un Estado a otro, pero cada vez se presta más atención al intercambio de experiencias y al desarrollo de buenas prácticas en este ámbito.",1
"520","La reserva también apoyaría a las unidades de policía constituidas desplegadas en la zona.",1
"521","20. La emisora rusa en español, 1 de enero.",0
"522","Para ello es necesario utilizar planteamientos flexibles y específicos para cada lugar, que incorporen un amplio conjunto de técnicas de rehabilitación capaces de abordar la amplia gama de hábitats, los distintos niveles de contaminación y las diferentes condiciones ecológicas presentes.",0
"523","Sin embargo, para garantizar la continuación de este amplio programa de acción contra las minas, se ha solicitado financiación adicional a los donantes para 2008.",1
"524","Son accesibles a través del sitio web de INTERPOL y pueden imprimirse y distribuirse, junto con otra información policial, a los puestos fronterizos que no disponen de conexión a Internet.",1
"525","68. Celebro los avances logrados en la retirada de minas y restos explosivos de guerra en el Sáhara Occidental.",1
"526","Además, la MINUSTAH está evaluando actualmente la necesidad de aviones de observación especializados para llevar a cabo operaciones de vigilancia y patrulla en las zonas fronterizas terrestres y costeras, generalmente inaccesibles. B. Seguridad electoral",1
"527","96. La Comisión observó que la Ley de las Fuerzas de Seguridad Nacional, modificada en 2001, otorga a las fuerzas de seguridad amplios poderes, incluida la facultad de detener sin cargos ni acceso a un juez durante un máximo de nueve meses.",0
"528",":: Utilizar el Fondo Fiduciario para actividades mundiales y regionales de desarme para avanzar con proyectos y actividades de forma inmediata.",1
"529","Las existencias en los locales de la KNPC 329 - 338 82",0
"530","""El Consejo de Seguridad apoya las conversaciones a seis bandas y pide su pronta reanudación con vistas a lograr la desnuclearización verificable de la península coreana de forma pacífica y a mantener la paz y la estabilidad en la península coreana y en el noreste de Asia.",0
"531","11. El 26 de marzo, la Alta Comisión Electoral Independiente hizo públicos los resultados preliminares de las elecciones, según los cuales el bloque Al-Iraqiya, encabezado por el ex primer ministro Iyad Allawi, iba en cabeza con 91 escaños. La coalición Estado de Derecho del primer ministro Maliki ocupaba el segundo lugar, con 89 escaños, seguida de la Alianza Nacional Iraquí, con 71 escaños.",0
"532",":: Haza tiene 1.700 familias y 7.310 habitantes totales",0
"533","En Mogadiscio se han realizado esfuerzos para prevenir los brotes de cólera, como la cloración del agua y la estrecha colaboración con el sector sanitario.",1
"534","Si mantiene su compromiso de interactuar y compartir información con el resto de los miembros como parte de sus responsabilidades básicas, el Consejo podría esperar mejorar las actitudes profundamente arraigadas hacia él entre los miembros en general.",1
"535","(d) Con la aportación del grupo de trabajo del Comité sobre asistencia y su grupo de trabajo sobre cooperación con organizaciones internacionales, incluidos los Comités del Consejo de Seguridad establecidos en virtud de las resoluciones 1267 (1999) y 1373 (2001), cuando proceda, seguir organizando actividades de divulgación en los planos internacional, regional y subregional y participando en ellas; estar preparados para hacer hincapié en los programas de asistencia y participar en ellos, promover el intercambio de experiencias, lecciones aprendidas y prácticas eficaces y estar dispuestos a facilitar los ofrecimientos o las solicitudes de asistencia;",1
"536","La policía devolvió el fuego antes de regresar, a toda velocidad, al cuartel general de la PNTL.",0
"537","""El Consejo de Seguridad insta al Gobierno de la RDC a que siga plenamente comprometido con el establecimiento de un ejército nacional profesional, responsable y sostenible, incluida una Fuerza de Reacción Rápida, de conformidad con su compromiso de profundizar en la RSS.",0
"538","Además, un equipo de evaluación y coordinación de desastres de las Naciones Unidas se desplegó a principios de diciembre durante un periodo de tres semanas para apoyar al Gobierno en la creación de un centro de operaciones contra el ébola y establecer mecanismos que facilitaran la coordinación entre el Gobierno y los socios.",1
"539","Sujeto a la disponibilidad de fondos Proporcionar al personal herramientas operativas prácticas para integrar sistemáticamente las cuestiones de género en la labor de reforma del sector de la seguridad; aplicar las recomendaciones derivadas del Foro africano sobre género y gobernanza de 2005 para alcanzar el objetivo de la Unión Africana de que el 30% de los miembros de las asambleas nacionales sean mujeres.",1
"540",":: Proporcionar, previa solicitud, información a los Estados miembros y a las organizaciones internacionales para ayudarles a hacer ofertas más eficaces o, en su caso, solicitudes de asistencia, respectivamente, para el cumplimiento de las obligaciones en virtud de las resoluciones 1540 (2004), 1673 (2006) y 1810 (2008), utilizando la matriz como herramienta de referencia para facilitar la asistencia técnica.",1
"541","Mientras tanto, se están movilizando recursos con el apoyo de la ONUCI, UNICEF y el Programa Mundial de Alimentos para rehabilitar y reintegrar a 511 niños soldados, entre ellos 204 niñas, que han sido liberados y entregados a UNICEF por los dirigentes de las Forces nouvelles.",1
"542","La Dirección facilitará la impartición de la formación solicitada a los funcionarios de aduanas, la policía de fronteras y las unidades de inteligencia financiera en el primer trimestre de 2014.",1
"543","(véase S/2001/Add.20; véase también S/2000/40/Add.50; y S/2001/15/Add.4, 7, 10, 13, 26, 38, 45 y 51).",0
"544","Establecimiento de normas para el enjuiciamiento y castigo de los delitos de género; enjuiciamiento de las personas acusadas de genocidio; desarrollo de la jurisprudencia; mejora de la capacidad nacional para el enjuiciamiento de los autores de genocidio.",1
"545","El próximo pago está previsto para el 26 de enero de 2012.",0
"546","A este respecto, la Dirección Ejecutiva aplicará las orientaciones políticas del Comité a través de su octavo programa de trabajo (véase el apéndice).",0
"547","Por el Secretario General de la Liga de Estados Árabes",0
"548","49. La ONUCI siguió llevando a cabo actividades de sensibilización sobre cuestiones de género para el personal militar, la policía de las Naciones Unidas y el personal civil, incluso mediante la difusión semanal de mensajes de sensibilización sobre diversas cuestiones relacionadas con el género.",1
"549","""El 30 de octubre de 2006, el Consejo de Seguridad escuchó al Sr. Elie Doté, Primer Ministro de la República Centroafricana, así como al General Lamine Cissé, Representante Especial del Secretario General.",1
"550","Establecimiento y asistencia de medios de comunicación e información locales e internacionales, en apoyo de las operaciones de paz.",1
"551","Se celebrará el jueves 9 de junio de 2011, a las 10.00 horas.",0
"552","1. Sobre la situación en el norte de Malí",0
