"","ar_en_GOOGLE","VerCoop"
"434","14. The Executive Directorate will strengthen its engagement with international, regional and subregional organizations around the world in order to assist them in developing and/or implementing appropriate plans of action in the context of counter-terrorism and engage them more directly in meeting the capacity-building needs of States identified by the Committee through implementation assessments. Initial and country visits.",1
"435","The dead were buried in eight mass graves in the village market area.",0
"436","In that context, we believe it is important for the Security Council to pay the utmost attention to the threats posed by fundamentalist and extremist religious organizations such as Hizb ut-Tahrir and we urge the Council to impose severe sanctions on terrorist organizations.",0
"437","Given the very prominent place that brokerage and related activities have come to occupy in the international arms trade, it has become extremely important for countries to enact effective laws and regulations to regulate this wide range of arms brokering activities today.",1
"438","41- The team considers each project individually, as follows:",0
"439","In December 2003, the Janjaweed and government forces attacked the village of Nouri, near the town of Morni, Western Darfur.",0
"440","44. The level of ratification of international instruments has remained constant since 2009, although it has varied considerably.",0
"441","The rest of the judges will arrive in the near future when the new trials begin.",0
"442","Shanghai Media Group Chinese Channel Editor Zau Qi - December 19, 2011",0
"443","She is a lawyer before the Supreme Court of Pakistan and has been a human rights advocate for many years, working in particular on behalf of the rights of women, minorities and children.",0
"444","Many of the killings did not occur in the streets, but rather inside the homes of those who were going to participate in the demonstration or even innocent civilians who were targeted by security forces.",0
"445","The authorities agreed that people of Albanian descent were victims of social and institutional discrimination and recognized that confidence-building measures, such as the integration of ethnic Albanians into the local police force and increasing representation in political institutions, would go a long way towards alleviating tensions and bringing stability to the region. Over a longer period.",1
"446","95 - In light of the continuing pattern of human rights violations in CÃ´te d&#39;Ivoire over the past years, the international community may also wish to consider the need to establish an independent human rights mechanism for the United Nations Commission on Human Rights (a special country rapporteur or independent expert), which could Its mandate is to submit reports, also to the General Assembly, on the progress achieved in the effective implementation of international human rights norms and their translation into practices at the national level, as well as on ending the phenomenon of impunity and ensuring the rule of law in CÃ´te d&#39;Ivoire.",1
"447","The Group will hold its seventeenth plenary session in Dubai, United Arab Emirates, in the last week of October 2014, coinciding with the Fourth United Arab Emirates Counter-Piracy Conference.",1
"448","11 - The two parties stressed the importance of carrying out this new phase with the support of regional and international partners, and they call on these partners to support and support these efforts made in pursuit of the goals set by the international community, which aim to preserve Maliâs territorial integrity and sovereignty and consolidate its national unity.",1
"449","The Committee welcomes the activities undertaken by the Executive Directorate in this area, and encourages the Directorate to further develop them, under the guidance of the Committee, by deepening its analytical framework, including through the participation of the Executive Directorate in the Working Group on the Protection of Human Rights in the Counter-Terrorism Context of the Task Force Concerned with implementation in the field of combating terrorism.",1
"450","(b) Continue to follow the latest developments in technology in order to be able to prevent the misuse of new methods of paying money and to detect attempts to exploit those methods to finance terrorism; Enacting appropriate laws and regulations and strengthening international cooperation in the field of investigation and prosecution in cases of suspected exploitation of new payment methods for financing terrorism;",0
"451","The budget I proposed for that mission for the full twelve-month period from 1 July 2005 to 30 June 2006, including election support requirements and additional civilian police personnel authorized by the Council in its resolution 1621 (2005), is being prepared and will be provided That budget will be submitted to the General Assembly soon for its review and action.",1
"452","The Security Council adopted Resolution 1894 (2009) on the protection of civilians in armed conflict, in which it called for priority to be given to mandated civilian protection activities in decisions on the allocation of resources and capabilities, and requested the development of a concept of operations and the undertaking of comprehensive mission planning and training in the field of civilian protection.",1
"453","20. Sub-condition 43-3 states:",0
"454","Moreover, in principle, the establishment of administrative subordination between the Office of the Ombudsman and the Secretariat on substantive matters represents a direct and significant incursion into the independence of the Office, both in concept and in practice.",1
"455","32. The Mission continued its work to raise awareness among staff on the United Nations Statutes and Rules on the Prevention of Sexual Exploitation and Abuse.",1
"456","In May, all aspects of police education were consolidated under an independent programme, and an agreement was concluded on the establishment of a large-scale training system for Bosnia and Herzegovina.",1
"457","âThe Security Council reaffirms its concern about the alarming situation in the Sahel region and its commitment to addressing the complex security and political challenges that exist in this region, interconnected with humanitarian and development issues, as well as the harmful effects of climate and environmental change.",1
"458","While one speaker acknowledged that the Council&#39;s work had changed dramatically over the past fifteen years, he noted that the trend was toward greater openness.",1
"459","While these cases are linked to brutal attacks by Boko Haram, there are also disturbing allegations of human rights violations by security forces.",0
"460","Based on the findings reached by the committee and the Lebanese investigations to date, and based on the material and documentary evidence collected, and the evidence that has been pursued so far, there is a convergence of evidence indicating Lebanese and Syrian involvement, both, in this terrorist act.",0
"461","Hasyildiz Latik Sinayi and Ticaret AS",0
"462","The Security Council Committee established pursuant to resolution 1267 (1999) concerning Al-Qaida, the Taliban and associated individuals and entities is currently considering the present report on the results of the review of names included in the Consolidated List, which is mentioned in paragraph 25 of resolution 1822 (2008).",1
"463","Calling upon the international community, especially the countries of the region and Iraqâs neighbors, to support the Iraqi people in their endeavors to achieve peace, stability, security, democracy and prosperity, and welcoming the expanded conferences of Iraqâs neighbors held in Sharm El-Sheikh, Istanbul and Kuwait, and their role in supporting the efforts made by the Government of Iraq to achieve security and stability in Iraq, and its positive outcomes for peace and security at the regional and global levels, and also welcoming the approval by the Expanded Conference of Iraqâs Neighbors, held in Kuwait on 22 April 2008, on the terms of reference of the support mechanism, and noting that the successful implementation of this resolution will contribute to achieving stability in regional level,",1
"464","Rasiskaya Gazeta newspaper journalist Vladimir Snigriv - dated February 23, 2012",0
"465","139. The Group also began discussions with other expert groups to examine the possibility of new approaches to the submission of reports requested by States to the three Committees, and ways to establish more efficient systems for exchanging information.",1
"466","Capacity-building and longer-term stabilization activities should be transferred to the country team as much as possible in areas where it has a comparative advantage.",1
"467","(c) Transmit all information provided to the Committee to the Ombudsman regarding the decision, pursuant to paragraph 14 above.",0
"468","Taking note of the work undertaken by the Global Counter-Terrorism Forum, in particular its issuance of several framework documents and good practices in areas including countering violent extremism, criminal justice, kidnapping for ransom, support to victims of terrorism, and community-oriented policing, as a complement to the work undertaken In those areas, the United Nations counter-terrorism entities, and encouraging the Executive Directorate to continue its interaction with the Global Forum in the context of its work with Member States to promote the full implementation of resolutions 1373 (2001) and 1624 (2005),",1
"469",":: Highlighting the importance of the Women, Peace and Security Program in addressing discrimination, human rights violations and obstacles that prevent protection for refugees, internally displaced persons and stateless women and girls, and justice for them at all stages of the displacement cycle",1
"470","âThe Security Council strongly supports efforts to promote national dialogue, reconciliation and broad political participation to ensure unity, peace, security and stability in Iraq.",1
"471","âThe Security Council reiterates its strong support for the adoption by the General Assembly of the United Nations Global Counter-Terrorism Strategy (A/RES/60/288) on 8 September 2006 and the institutionalization of the Counter-Terrorism Implementation Task Force, in accordance with General Assembly resolution 64 /235, in order to ensure overall coordination and coherence in the efforts of the United Nations system in the field of counter-terrorism, and the full participation of the relevant subsidiary bodies of the Security Council, within their mandates, in the work of the Task Force and its working groups, and welcomes the adoption by the General Assembly of resolution 64/297 .",1
"472",":: Reporting to the Committee after each meeting. Each working group will be chaired by a member of the Committee and will be supported, as necessary, by the staff of the Office for Disarmament Affairs, the expert staff of the Committee established pursuant to resolution 1540 (2004) and the secretariat of the Committee.",1
"473","They suggested establishing more networks or linking existing networks together and stressed the importance of face-to-face meetings and peer-to-peer dialogue. Participants recommended that the âWiesbaden Processâ be taken into account in this regard.",1
"474","The ruling is expected to be issued in the first half of 2008.",0
"475","Scheduled for Thursday, 7 July 2005, at 12.50 p.m",0
"476","Thematic meeting held by the Security Council on combating terrorism",1
"477","65 - The Directorate, in partnership with the Global Center for Counter-Terrorism Cooperation and with the support of the Governments of the Netherlands and Germany, held a subregional workshop for member states in East Africa that dealt with the effective monitoring of alternative remittances to prevent their exploitation for terrorist financing, in Addis Ababa in December 2013. The aim of the workshop was to raise awareness of the danger of informal money transfers that could be used to finance terrorist activities; Encouraging dialogue between regulatory agencies, law enforcement officials and money transmitters; Promoting the inclusion of financial services and identifying best practices.",1
"478","B. 16785-195, Tehran, Iran",0
"479","In addition, the second in a series of documentaries produced internally by the outreach program entitled “Crimes before the International Criminal Tribunal for the former Yugoslavia: Prijedor” premiered in April 2013.",0
"480","26. In addition to reports on its visits, the Group submitted approximately 15 papers in response to requests from the Committee, which addressed issues such as Member States&#39; reporting strategy; and listed individuals who are believed to be deceased; Exemptions from travel bans; Cooperation with Interpol; exemptions for humanitarian reasons; potential non-compliances; The views of the private financial sector on the sanctions regime; And the checklist; Working with international and regional organizations; using the Internet for terrorist purposes; A table of member statesâ experiences in implementing sanctions.",1
"481","13. The Committee discussed the following key areas for potential progress: further strengthening of assistance delivery procedures; Identify and analyze assistance needs; Continue to strengthen dialogue on assistance with relevant international, regional and subregional organizations and, as appropriate, non-governmental organizations; Strengthening the capacity of the Committee and its experts to facilitate assistance; Increasing awareness of aid issues.",1
"482","We called on our people to join the Popular Defense Forces. They responded by joining and began receiving their instructions from the government as part of the military state apparatus.â",0
"483","Determined to henceforth facilitate an effective response to the global non-proliferation threats,",1
"484","In June, he traveled to Colombia for similar purposes, accompanied by Gaspar Jiménez Escobedo.",0
"485","6-Tetranitropenzotriazolbenzotriazole (TACOT) (commodity identification code: CA 25243-36-1);",0
"486","The members of this delegation agreed with Prime Minister Siniora to &quot;begin organizing the armed Palestinian presence in the camps to ensure security.&quot;",1
"487","2 - Implementation of Resolution 1624 (2005)",0
"488","These leaders welcomed the statement of the President of the Security Council of 14 July 2005 and expressed their support for the initiative of my Special Representative, but they also took the opportunity to express their concern that President Yusuf and Prime Minister Gedi might resort to armed confrontation with them.",1
"489","Joseph Asuka Nihal de Silva until 31 December 2010",0
"490","On 16 December, the Chairman of the Security Council Committee established pursuant to resolution 1591 (2005) concerning the Sudan and Permanent Representative of Colombia, Nestor Osorio, submitted a report to the Council on the 90 days of the Committeeâs work.",0
"491","The President informed the Council that, during the Committee&#39;s consultations, the Monitoring Team had briefed on its findings with regard to the recovery of Somali assets abroad, and had discussed the issue of the international naval force&#39;s ban on coal and weapons on the high seas and within Somalia&#39;s territorial waters.",1
"492","10. Given the inability of any country in the subregion to implement these recommendations alone, the United Nations Peacebuilding Support Office in the Central African Republic will facilitate cooperation between these countries, at their request and in partnership with subregional and regional organizations, with the aim of Putting a final end to insecurity in the border areas resulting from the actions of armed groups and bandits.",1
"493","The session concluded on 17 September 2010.",0
"494","Instruments of ratification were deposited on 19 August 2004",0
"495","The Council also stressed the urgent need for all parties to respect the ceasefire and take immediate measures to end the violence, and called on the Government of Sudan to respect its obligations and ensure the neutralization and disarmament of the Janjaweed militias.",1
"496","17-1,1,3-Trinitroazetidine (TNAZ) (MSC: CA 97645-24-4);",0
"497","In a region that is complex and vital for the maintenance of international peace and security, the authorities face great difficulties and constraints when responding to the demands and aspirations of a people eager for reform.",0
"498","Council members unanimously expressed concern about the current state of the peace process and expressed their hope that the Group of Friends of the Secretary-General at its next meeting would be able to move this situation forward. Other issues",1
"499","Article 9 of the Law “Granting Licensing” of 17 April 1995",0
"500","Similar programs are being planned for the coming months.",0
"501","Reaffirming also the imperative to combat terrorism in all its forms and manifestations and by all means, in accordance with the Charter of the United Nations, and stressing also that States must ensure that all measures they take to combat terrorism comply with all their obligations under international law, and adopt those measures in accordance with international law, in particular International human rights law, refugee law, humanitarian law,",1
"502","Calling on parties to armed conflict to take the necessary measures to refrain from and prevent sexual violence and to protect all persons from exposure to all its forms, including doing the following:",1
"503","13. The members of the Committee decided that in order to ârecommend measures to ensure accountability for crimes and serious human rights violations allegedly committed during the above-mentioned period, taking into account that the Government of Timor-Leste considers the domestic judicial system, in which a group of international judges, prosecutors and lawyers participate Defence, which should be the main framework of accountability for these alleged crimes and violations&quot;, they must conduct a preliminary assessment of the existing domestic judicial system in Timor-Leste.",1
"504","42. With regard to the international law argument, the Monitoring Group considers that one of the reasons for establishing a review team or other review mechanism is merely to anticipate the law in this area, in order to establish it rather than leaving the matter to national and regional courts or the practices of Member States.",1
"505","13 - The Government pledged itself in the joint statement to take measures to end impunity, investigate reported violations and ensure that all individuals and groups accused of committing human rights abuses are brought to justice without delay.",1
"506","Scheduled for Wednesday, October 31, 2007, at 1.35 p.m",0
"507","Although the fighting has stopped, tensions remain high and further clashes cannot be ruled out.",0
"508","42. The objectives of the updated action plan in the five thematic areas are as follows:",0
"509","Scheduled for Monday, 22 December 2003, at 5 p.m",0
"510","2 - Reiterates that the authorities in Bosnia and Herzegovina bear the primary responsibility for achieving further success in the implementation of the peace process, and that the international community and major donorsâ continued willingness to bear the political, military and economic burden of implementation and reconstruction efforts will be determined by the compliance and active participation of all authorities in Bosnia and Herzegovina. In implementing the Peace Agreement and rebuilding civil society, in particular in full cooperation with the International Criminal Tribunal for the Former Yugoslavia in strengthening joint institutions and facilitating the returns of refugees and displaced persons;",1
"511","3. The Executive Director will, as requested by the Security Council in its resolution 1787 (2007), within 60 days of the adoption of that resolution and in consultation with the Committee, recommend changes to the organizational plan of the Executive Directorate referred to in paragraph 4 of Security Council resolution 1535 (2004).",1
"512","At the same time, we must acknowledge that Timor-Leste still faces serious challenges with regard to economic development and improving the livelihoods of the population.",0
"513","A meeting held in Damascus between Mr. Hariri and President Assad on 26 August 2004 appeared to bring the conflict to its peak.",0
"514","(a) Develop a more integrated approach and more effective mechanisms to ensure strong cooperation and intelligence-sharing between relevant counter-terrorism agencies at the national and international levels;",1
"515","44 - A partial solution could be to impose time restrictions for submitting reasons. This would be in line with the ombudsman mechanism in general, all stages of which are governed by strict deadlines.",1
"516","At the 5303rd meeting of the Security Council, on 10 November 2005, in connection with the Councilâs consideration of the item entitled âThreats to international peace and security resulting from terrorist actsâ, the President of the Security Council made the following statement on behalf of the Council:",1
"517","These meetings will include periodic briefings from the working groups responsible for tracking progress on monitoring and implementation at the national level; and assistance; Cooperation with international organizations, including the Security Council Committee established pursuant to resolution 1267 (1999) and the Security Council Committee established pursuant to resolution 1373 (2001); Transparency and media awareness.",1
"518","17 - I believe that the task of revealing the fate of missing Kuwaitis and third-country nationals is an urgent task and should not be subject to political factors and considerations.",1
"519","7 - Requests the Secretary-General to appoint, in accordance with the rules and procedures of the United Nations, once this decision has been taken and after consultation with the Committee, not more than eight persons, including the coordinator of the Monitoring Group, who meet one or more qualifications in the following areas of expertise related to regulatory activities: Al-Qaeda and/or the Taliban including: counter-terrorism legislation and other relevant legislation; Terrorist financing and international financial transactions including banking expertise, alternative money transfer systems, charitable donations and the use of parcel couriers; strengthening borders, including port security, arms embargoes and export controls; drug trafficking;",1
"520","21 January 1992(37)",0
"521","36. Encourages all Member States, in particular States proposing listing and States of residence or nationality, to provide the Committee with additional information on the identity of listed groups, institutions, entities and individuals and other information with supporting documentation, including updated data on the operational status of the entities and groups and institutions whose names are included in the list, and about the movements, imprisonment or death of individuals whose names are included in the list and other important facts, whenever such information is available;",1
"522","Work also continued on preparing a temporary legal framework that would define the scope of significant autonomy and lay the necessary basis for holding central elections.",0
"523","(c) Performing missions and services of a civilian nature, as stipulated in Article 33;",0
"524","5 - Declares that the acts, methods and practices of international terrorism are incompatible with the purposes and principles of the United Nations and that the financing, planning and knowing incitement of terrorist acts are also incompatible with the purposes and principles of the United Nations;",0
"525","Therefore, the ruling is expected in June 2012.",0
"526","25 - Calls on all States to exercise responsibility in managing the use of highly enriched uranium for civilian purposes, and to reduce its use to the minimum technically and economically possible, including by working to convert nuclear research reactors and radioisotope production operations towards the use of fuel types and targets. of low-enriched uranium;",1
"527","The three countries noted their efforts to strengthen various counter-terrorism laws to bring them into line with United Nations resolutions, but the lack of necessary capacity hampers effective implementation.",1
"528","The team then inspected the company&#39;s facilities and then headed to the Hattin General Company, affiliated with the Military Industrialization Authority.",0
"529","Prosecutions and convictions have increased as a result of these types of reports, but there is no data to provide figures in this regard.",0
"530","Calls upon parties to armed conflicts to make and implement specific commitments to combat sexual violence with specific time frames, including, inter alia, issuing clear orders through the chain of command prohibiting sexual violence and enshrining the prohibition of sexual violence in codes of conduct and military field operations manuals or their equivalents. Make and implement specific commitments to investigate alleged attacks in a timely manner and to hold perpetrators accountable;",1
"531","At the same time, the Council recognizes the key role that the Special Representative of the Secretary-General and the civilian advisers who assist him can play in coordinating humanitarian assistance, re-establishing public order and the functioning of public institutions, as well as reform, reconstruction and peace-building to achieve long-term sustainable development. .",1
"532","âThe Security Council reiterates the need to increase ongoing cooperation among the committees entrusted with counter-terrorism mandates established pursuant to resolutions 1267 (1999), 1989 (2011), 1988 (2011), 1373 (2001) and 1540 (2004) and their respective expert groups.",1
"533","In this regard, the Security Council encourages countries affected by the activities of the Lord&#39;s Resistance Army that have not yet established standard operating procedures to receive children from that army and hand them over to civilian child protection agencies to do so.",1
"534","8. The Committee will commence its activities on a date determined by the Secretary-General, which will be formally communicated to the Government of Pakistan.",1
"535","I recognize Pakistan&#39;s determination and endeavors to search for the truth and bring to justice all the financiers, perpetrators, organizers, sponsors and conspirators of this terrorist act, so that they can be held accountable for their action.",1
"536","40 - Welcomes the periodic briefings provided by the Government of Afghanistan on the content of the List, as well as on the impact of targeted sanctions in deterring threats to peace, stability and security in Afghanistan, as well as on support for the Afghan-led reconciliation process;",1
"537",":: A private farm, entered after obtaining the consent of its owner.",0
"538","In the case of the 22 jeeps, the procedures were quickly dropped.",0
"539","6 - All hand luggage must be thoroughly examined.",0
"540","The Security Council recognizes that, in its area of competence, the Peacebuilding Commission represents a forum for the coordination of post-conflict activities between the United Nations system and regional and subregional organizations, in accordance with its resolution 1645 (2005) and General Assembly resolution 60/180.",1
"541","The Security Council and the stage it has reached in considering these issues",0
"542","Requests the Secretary-General to continue to provide assistance to the Government of the [country concerned] in establishing transitional security institutions, including the [national] police and national security forces, and to continue to support the Government of the [country concerned] in developing a national security strategy that embodies respect for the rule of law and the protection of human rights It includes plans for disarmament, demobilization and reintegration, and capacity-building in the areas of justice and prisons, as well as the legal and policy framework that governs the work of its security forces, including management, screening and oversight mechanisms.",1
"543","United Kingdom of Great Britain and Northern Ireland (Ambassador Mark Lyall Grant), Co-Head of Mission",0
"544","The situation in the Central African Republic",0
"545","77. As part of UNODCâs efforts to strengthen regional cooperation, the Office, in conjunction with the Global Counter-Terrorism Forum, organized a conference on regional cooperation in criminal matters in the Maghreb and Sahel regions, in Casablanca, Morocco, from 16 to 18 April. April 2013.",0
"546","On behalf of the Security Council Committee established pursuant to resolution 751 (1992) concerning Somalia, and in accordance with paragraph 3 (i) of Security Council resolution 1587 (2005), I have the honor to transmit, attached to the present letter, the report of the Monitoring Group on Somalia (see enclosure).",1
"547","2- The situation in the Middle East",0
"548","The team of ten inspectors moved from the Canal Hotel at 0945 hours and arrived at the Muthanna site of the Tariq General Company of the Military Industrialization Corporation, located 50 km north of Baghdad.",0
"549","Scheduled for Wednesday, 28 November 2007, at 10.20 p.m",0
"550","However, the United States has ignored all of the above suggestions.",0
"551","6. Also requests the Committee established pursuant to resolution 1267 (1999) to report to the Security Council on the implementation of this resolution, at regular intervals;",1
"552","Acting in accordance with Chapter VII of the Charter of the United Nations,",0
"553","30 - In its resolution 1963 (2010), the Security Council encouraged the Executive Directorate to work with Member States to develop comprehensive and integrated national strategies to combat terrorism and mechanisms for their implementation.",1
"554","4 - On the basis of the provisional verbatim record of the 4688th meeting of the Security Council, held on 20 January 2003 (S/PV.4688), members of the Council submitted comments, suggestions and proposals in the following areas: international instruments; international cooperation; The role of international, regional and subregional organizations; providing assistance; and the Security Council Committee established pursuant to resolution 1373 (2001) (hereinafter referred to as the Counter-Terrorism Committee).",1
"555","Officials from organizations and States from other regions have confirmed to the Group that their regulations do not currently affect the ability of Member States to deny entry to listed persons, even if they are already within the region.",0
"556","The four MINURSO aircraft located in Goma were transferred to Kigali and Gisenyi.",0
"557","Article 33 clearly indicates that a member of the security services may, under the umbrella of the law, torture a suspect and even kill him if his actions are carried out in the course of performing his duties.",0
"558","Requests the Secretary-General to ensure that (his Special Representatives in neighboring States) coordinate the activities of (their missions), exchange military information available to them, in particular information relating to the movement of armed elements and cross-border trafficking in arms, and pool their logistical and administrative resources, provided that this does not prejudice the ability of either of them to To perform its mandate, in order to ensure maximum efficiency and cost-effectiveness.",1
"559","6 - The National Congress Party won 42 seats in North Darfur, 43 seats in South Darfur, and 41 seats in West Darfur, out of the total number of seats in the legislative councils in the three states of Darfur, each of which has 48 seats.",0
"560","In some cases, national measures taken to respond to the virus have been accompanied by excessive use of force or the imposition of medical quarantine on communities by means that fall short of standards of human dignity.",0
"561","Marks are usually placed on metal pieces by the cold method, that is, by pressing, while other pieces are placed by engraving.",0
"562","37. The Committee encourages its Executive Directorate to remain focused on the implementation of resolution 1624 (2005), including by giving due attention to relevant issues, such as the role of new information and communications technologies, and promoting dialogue, including at the national level, in order to promote tolerance, diversity and inclusion, Establishing strategic partnerships between governments and non-governmental actors, defining roles for victims of terrorism, and preventing the sabotage of institutions by terrorists and their supporters.",1
"563","45. Following the arrival and deployment of forces loyal to President Yusuf just south of Johor in early September, there were reports that the Minister of Trade, Musi Sudi Yalahu, sent a number of âarmed modified vehiclesâ to reinforce his forces in the country south of Johor.",0
"564","th CONSTRUCCION SA (United Construction Administration) 365-406 95",0
"565","Interior Minister Lobato arrived at the police headquarters wearing a bulletproof vest and in a state of extreme agitation, shouting, âKill them all.â",0
"566","The letter included an indication that the Committee was considering the recommendations contained in the report with a view to improving the measures taken related to sanctions and improving their implementation.",1
"567","This hampered the investigation, because it became impossible to trace the origin of the explosives, which could therefore lead to the identification of the perpetrators.",0
"568","Scheduled for Wednesday, 31 January 2001, at 3:30 p.m",0
"569","The Security Council condemns all violations of international law committed against civilians in situations of armed conflict, including violations of international humanitarian law, international human rights law, and international refugee law.",0
"570","The Committee is also considering the possibility of collective reporting at the regional level and has requested the Monitoring Team to further study this option.",1
"571","âThe Security Council requests the Special Representative of the Secretary-General for Burundi, in close cooperation with the Special Representative of the Secretary-General for the Democratic Republic of the Congo, to verify the facts and report thereon to the Council as soon as possible.",1
"572","But we are concerned about reports of increasing tension between the ruling parties and the opposition parties.",0
"573","Urges the signatories of the [Peace Agreement] to seek a durable solution for the voluntary return, resettlement and reintegration of displaced persons and to ensure their security, including by addressing land tenure issues, with the support of the United Nations system, and to fulfill in this regard their commitments in accordance with theâ¦Political Agreement and their obligations under the law International.",1
"574","These measures, when implemented, would greatly contribute to enhancing Somalia&#39;s ability to conduct anti-piracy operations off its coast.",1
"575","Scheduled for Friday, September 16, 2011, at 3.55 p.m",0
"576","Many international leaders, including heads of state, representatives of the United Nations, and the majority of members of the Security Council, have denounced those flotillas that headed to Gaza during the past year, and stressed the need to limit the transfer of humanitarian supplies to the region through existing channels.",1
"577","S/RES/1738 (2006), operative paragraph 4",0
"578","37. As part of the Divisionâs efforts to recruit well-qualified experts to serve in sanctions monitoring groups and teams, as is the case every year, a note verbale was sent to all Member States in December requesting them to nominate qualified candidates for inclusion in the Divisionâs roster of experts .",1
"579","This property includes office furniture and equipment, inventories, vehicles and machinery.",0
"580","23 - The situation in Guinea-Bissau (6 November 1998; 3 November 2011).",0
"581","Through its care and support projects, UNHCR has provided supplementary food rations such as fresh food, meat, tea and yeast.",0
"582","The European Union also expressed its support for the statement issued by my Special Representative on 8 September, in which he stressed that resorting to a military solution to the problems facing the transitional federal institutions is not at all on the table.",1
"583","295- The main loading and transportation facilities of the National Iranian Tanker Company (NITC) were located on Kharg Island.",0
"584","73. Changes are needed to the reasoning mechanism, both for delisting and for remaining on the list, to ensure timely implementation and substantive content that properly reflects the analysis and conclusions of the independent reviewer.",1
"585","129. Beyond the direct scope of sanctions measures, delegations expressed a particular interest in sharing their experiences on returning terrorists to society.",1
"586","At the request of the Transitional Government, on 25 August, my Special Representative, on behalf of the International Committee to Support the Transition, transmitted a concept paper to President Kabila on the establishment of a fourth joint committee to address issues of good governance and economic management.",1
"587","Moreover, they did not punish those under their authority who committed serious crimes.",0
"588","38. Encourages all Member States, in particular States proposing listing and States of residence or nationality, to provide the Committee with additional information on the identity of listed groups, institutions, entities and individuals and other information with supporting documentation, including updated data on the operational status of the entities and groups and institutions whose names are on the list, and about the movements, imprisonment, or death of individuals on the list, and other important facts, whenever such information is available;",1
"589","Supporting the Democratic Republic of the Congo in its decision to seek to enhance revenue transparency in extractive industries,",1
"590","Within one week of the Committee&#39;s adoption of a policy directive in a particular area, the Executive Directorate should develop a plan to implement the directive and submit it to the Committee for approval.",1
"591","As members of the Security Council know better than anyone, the Arab-Israeli conflict is one of the most enduring diplomatic challenges the world has faced since the mid-twentieth century. At the heart of the Israeli-Palestinian conflict is a conflict between competing and contradictory historical narratives, aspirations and collective identities.",0
"592","37. In July 2007, the Government introduced a draft law to establish a truth and reconciliation commission, which is currently being consulted with a number of interested parties.",1
"593","Following this exchange, the team discussed the issue with the Committee and approached other countries with similar programs in order to expand the scope of its research.",1
"594",":: Encouraging States to strengthen dialogue and cooperation, including with civil society, academia and industry, to confront the threat posed by illicit trafficking in nuclear, chemical or biological weapons, their means of delivery and related materials",1
"595","None of the persons listed are Costa Rican citizens or residents of the country.",0
"596","In this regard, the transitional government must pledge to work in close cooperation with its international partners to establish a mechanism that ensures sound, transparent and accountable public financial management and effectively addresses corruption.",0
"597","Message to the Government of Sri Lanka:",0
"598","The Russian Federation believes it is necessary to give priority to further strengthening the international legal basis for combating terrorism, especially by giving a universal character to the applicable counter-terrorism conventions, with all member states of the United Nations joining them.",1
"599","The Analytical Support and Sanctions Monitoring Team established pursuant to Security Council resolution 1526 (2004) concerning Al-Qaida, the Taliban and associated individuals and entities, whose mandate was extended by Security Council resolutions 1617 (2005) and 1735 (2006), has the honor to transmit to you its seventh report in accordance with For Resolution 1735 (2006).",1
"600","Building on the November 2010 workshop for Central Asia between the Executive Directorate and the OSCE on resolution 1624 (2005) and combating incitement to terrorist acts motivated by extremism and intolerance, through similar initiatives in other regional regions;",1
"601","Many countries are also investing in social programs to better understand and prevent radicalization and potential recruitment into terrorist ranks, and almost all have engaged, to some extent, in the counter-terrorism dialogue.",1
"602","4. Following the adoption of resolution 1595 (2005), extensive consultations took place on the establishment, staff and logistical support of the Independent International Commission of Inquiry. On 26 May 2005, a small advance team headed by Detlev Mehlis arrived in Beirut.",1
"603","In addition, on 25 June, the Council of Elders presented to the transitional government a roadmap outlining priorities for the success of the continuation of the transitional process: public security, justice, elections, political administration, and economic measures.",1
"604","Thus, an idea that had been circulating in thought for a long time, namely the idea of establishing the Hema state, was strengthened.",0
"605","San Marino is based on an open and highly diversified economy.",0
"606","(c) Further calls on all parties named in the annexes to the report of the Secretary-General on children and armed conflict to address all other violations and attacks committed against children, and to make commitments and take specific measures in this regard;",1
"607","Requests the Secretary-General to ensure: (a) continued monitoring and reporting on the situation of children, within the framework of the reports referred to in paragraph 12 above; (b) Continue dialogue with parties to the conflict with a view to preparing time-bound plans of action to end the recruitment and use of child soldiers and other violations against children under international humanitarian law and international human rights law;",1
"608","It is up to the people and leaders of the region to resist the demagogues&#39; calls, reach compromises and build coalitions, continue to trust their regimes even when they lose in elections, and protect the principles and institutions that will ultimately protect them.",0
"609","âThe Security Council calls on the countries of the region to continue to assist each other, to the greatest extent possible, in preventing, investigating, prosecuting and punishing drug trafficking and related transnational organized crimes, and to bring to justice, in accordance with international law, all Whoever finances, plans, supports or commits these acts.",1
"610","Emphasizing the importance of the Arusha Peace Agreement for resolving the conflict in Rwanda by peaceful means and the need for all parties to recommit to its full implementation,",1
"611","The Council requests [the affected State] to immediately apply appropriate measures to the issue of property rights and to cease all forms of discrimination against [minority populations] when providing social benefits and reconstruction assistance.",1
"612","The Council affirmed in the resolution that the permissions stipulated in this resolution apply only in relation to the situation in Somalia, and do not affect the rights, obligations or responsibilities of Member States under international law, including any rights or obligations stipulated in the United Nations Convention on the Law of the Sea, including The general principle of the exclusive jurisdiction of the flag State over its ships on the high seas in any other case, stressing in particular that this decision does not constitute the creation of customary international law, and further noting that such permissions were granted only at the request of the President of the Federal Republic of Somalia contained in Letter dated 8 October 2014.",1
