"","es_en_GOOGLE","MatCoop"
"274","Having examined the memorandum of the Secretary-General,",0
"275","Implementation of the policy on gender equality and empowerment of women and girls.",1
"276","Approximately 80% of maritime container cargo destined for the United States originates or transits through ports with Container Security Initiative agents and is verified before being loaded aboard vessels.",0
"277","c) Strengthen judicial oversight programs for police activities and promote continued dialogue with relevant international and regional mechanisms to ensure compliance with international human rights obligations in the context of the fight against terrorism.",1
"278","The program will not apply to people considered international criminals or terrorists, such as members of Al-Qaida.",0
"279","Finally, participants in the group highlighted the need to be open to the establishment of innovative mechanisms and to work to create comprehensive and mutually reinforcing systems to create links between the International Criminal Court, possible future hybrid courts and the national bodies, as well as between criminal trials and reparation programs.",0
"280","Mr Wlue was on trial for corruption and misappropriation of public funds during his tenure in office and was out on bail at the time.",0
"281","Authorities periodically patrol port waters to prevent unauthorized boarding.",0
"282","Recent events in several States in the subregion have been accompanied by changes in security structures.",1
"283","The counter-terrorism measures that the international community has taken at the national and regional levels in accordance with relevant United Nations initiatives will lay the foundation for a global system to counter emerging problems and dangers under the auspices of the United Nations.",1
"284","Furthermore, the record-keeping requirement set out in article 12 could assist the Committee and the Monitoring Team in determining who supplies the weapons used by Al-Qaida and its associated entities.",1
"285","The Commission has sent and will continue to send to the Lebanese authorities any information related to a criminal case that falls outside the scope of the Commission&#39;s investigation.",1
"286","Many of them have delved into the causes of violence and violations, implementing transitional justice mechanisms that address the rights to truth, justice, restitution and reparation and guarantees of non-repetition, and therefore have contributed to the formulation of more sustainable peacebuilding and reconciliation measures, and collaborated with the political solution of conflicts.",1
"287","9. Convention on Laundering, Investigation, Seizure and Confiscation of Proceeds of Crime, 1990.",0
"288","In close cooperation with the committees established pursuant to resolutions 1267 (1999) and 1540 (2004) and in accordance with its mandate, the Committee will pay special attention to States that are overdue in submitting relevant information and will consider the best way to solve that problem.",1
"289","Detection of the illegal transportation of money and bearer negotiable instruments across borders and coordination between customs, financial intelligence units and law enforcement officials are non-existent or insufficient.",1
"290","b) Stay up to date on the latest developments in techniques to prevent misuse of funds and detect cases of terrorist financing using new payment methods; formulate appropriate laws and regulations and intensify international cooperation to investigate and prosecute suspected misuse of new payment methods to finance terrorist activities;",1
"291","The remaining 83% used public or private means of transportation.",0
"292","The Russian Federation has also adopted regulations to protect the rights of victims of terrorism and promoted measures regarding the conditions of detention of persons suspected of having committed a terrorist act.",1
"293","Its findings have serious implications for the accountability of Government officials and the Council will need to carefully consider its recommendations in determining what steps will be taken to definitively end abuse and impunity in Darfur.",1
"294","...noting the importance of ongoing assessments of tactics and procedures and subsequent investigations and reviews in cooperation with the Government...in cases where there have been civilian casualties and when the Government... . deems such joint investigations appropriate, as well as continued cooperation with national security forces... towards greater institutionalization of the protection of civilians, especially women and girls,",1
"295","b) Call upon parties to armed conflicts to fulfill their obligations under international humanitarian law to respect and protect humanitarian personnel and items used in relief operations;",1
"296","Activities to prevent cholera outbreaks in Mogadishu have continued, including water chlorination and close collaboration with the health sector.",1
"297","Cooperation with Malian forces and Operation Barkhane",1
"298","With the exception of San Pedro and Abidjan, the ports and coastline lacked the infrastructure necessary to import significant quantities of weapons and military equipment.",1
"299","Restriction on the freedom of movement of precious goods",0
"300","60. The situation in Libya (February 22, 2011; December 2, 2011).",0
"301","Although the Commission received information from a source that someone close to and trusted by Mr. Hariri had tampered with the jamming devices before the explosion, the Commission has not been able to corroborate this information.",1
"302","Which will be held on Wednesday, November 28, 2007, at 10:20 a.m.",0
"303","On average, the monthly income of the Compensation Fund during the current year has been approximately $351.2 million, and the average quarterly compensation payments remained above $1 billion.",1
"304","All these events have had a negative impact on the progress and results achieved in the area of peace, security, reconciliation and stability in general.",0
"305","Despite recent improvements in the security situation and the success of large-scale joint security operations, more needs to be done to maintain pressure on illegal armed groups.",1
"306","He further indicates that one of the Organizations partially reimbursed him the sum of 275,620 French francs.",0
"307","This will help facilitate arrangements regarding the arrest, prosecution and post-conviction period of high-risk offenders in accordance with international human rights standards.",0
"308","Integrated planning to guide United Nations collaboration and operations in support of mandate delivery before and after the referendum period was finalized in July, with both UNMIS and the United Nations country team establishing the structures to coordinate defined priorities.",1
"309","It is estimated that about 30,000 ships pass through these sea lanes annually.",0
"310","The Committee also welcomes the efforts of the Executive Directorate to continue to cooperate closely with the experts of the Security Council Committees established pursuant to resolution 1540 (2004) and resolutions 1267 (1999) and 1989 (2011), in particular through the regular exchange of information and reports on missions and the preparation of joint documents and statements by the Chairpersons of the Committees to the Council.",1
"311","It is important that special attention is also paid to specialized training activities for investigators, prosecutors and judges in areas such as combating the use of the Internet for terrorist purposes; support and assistance to victims of acts of terrorism; the fight against terrorism with chemical, biological, radiological and nuclear weapons; the fight against transport-related terrorist crimes and the fight against the financing of terrorism.",1
"312","This mission corresponds to the National Anti-Drug Secretariat (SENAD), under Law 108/91.",0
"313","In the opinion of the Secretary General, the aforementioned credentials are in order.",0
"314","a) The head of the branch in the Office for Disarmament Affairs conducts a substantive review of the project to verify its coherence;",1
"315","I am aware of Pakistan&#39;s determination and efforts to unravel the truth and bring to justice those who financed or participated in this terrorist act as perpetrators, organizers, sponsors and conspirators and hold them accountable.",0
"316","Decides that [the Mission] will have the following mandate in [the affected country], in consultation with the United Nations country team...: Security and protection of civilians c) Liaise with the Government [of the country affected] and the Office of the United Nations High Commissioner for Refugees (UNHCR) to support efforts to relocate refugee camps located near the border, and to provide UNHCR with the necessary logistical support to do so, where appropriate. possible and reimbursable; ... e) Support the initiatives of the national and local authorities of the [affected country] aimed at resolving local tensions and promoting reconciliation efforts at the local level, in order to improve conditions for the return of internally displaced persons.",1
"317","Sensitive list of dual-use products and technologies",0
"318","Consequently, the organization of the archives has consisted of storing folders of similar documents in boxes grouped into collections.",0
"319","Mr. Bralo, accused of committing war crimes by the International Tribunal for the Former Yugoslavia, surrendered on November 10 and was transferred to The Hague on November 11, 2004.",1
"320","Of the members of the Janjaweed militias identified as perpetrators by the Commission, all are suspected of carrying out indiscriminate attacks against the civilian population, which constitutes a war crime.",0
"321","These measures are detailed later.",0
"322","The Council requests the Secretary-General to continue to provide and implement guidance on how to address sexual violence in pre-deployment training and initial orientation of military and police personnel, and to assist missions in developing procedures for specific situations to address sexual violence in the field and to ensure that technical support is provided to troop- and police-contributing countries to include guidelines for military and police personnel on how to address sexual violence. sexual violence in pre-deployment training and initial orientation.",0
"323","The terms of office of the two ad litem judges serving in the Popović et al. case, Judge Kimberly Prost (Canada) and Judge Ole Bjørn Støle (Norway), will expire on 31 December 2009.",0
"324","The mandate of the Expert Group is described in section A above.",0
"325","The Commission is of course of the view that all persons, even those accused of serious crimes, should be presumed innocent until proven guilty in a fair trial.",1
"326","In its tenth report, the Team recommended that in order to increase the accuracy of the List and the impact of listing on it, in future contact with the State of residence in the context of the review, the Committee request all available information on the whereabouts of the persons or entities, their circumstances and activities, as well as a report on any other measures taken to prevent them from supporting terrorist activities (S/2009/502, para. 24).",0
"327","In this regard, the Executive Directorate organized in Rabat in July 2012, in cooperation with the International Center for Counter-Terrorism, and with the support of the Netherlands, its second seminar on the implementation of resolution 1624 (2005). .",1
"328","3. The Convention on the Physical Protection of Nuclear Materials;",0
"329","577. The mixed courts created in other conflicts have followed two similar, although different, models.",1
"330","There are new border security systems, such as enhanced inspection of goods and the introduction in most States of machine-readable travel documents, as requested by the International Civil Aviation Organization (ICAO), which have substantially complicated the transnational activities of terrorists.",1
"331","OF THE ALTERNATE REPRESENTATIVES OF SWEDEN IN THE COUNCIL",0
"332","In May 2000, Turabi led a break with the National Congress party, which was the ruling party, and established a new party called the People&#39;s Congress.",1
"333","The report, which deals with the results of the review described in paragraph 25 of resolution 1822 (2008), is being considered by the Security Council Committee established pursuant to resolution 1267 (1999) concerning Al-Qaida and the Taliban and associated individuals and entities.",0
"334","E. Payments made or assistance provided to third parties",0
"335","The Security Council reaffirms its full support for the efforts of the United Nations, in particular the activities of the United Nations Special Mission to Afghanistan (UNSMA) and those of the Special Envoy of the Secretary-General for Afghanistan, in order to facilitate the political process to achieve the goals of national reconciliation and a lasting political settlement with the participation of all parties to the conflict and all sectors of Afghan society, and reiterates its position that the United Nations must continue to play a role central and impartial in international efforts to achieve a peaceful solution to the Afghan conflict.",1
"336","Estate organizations and non-monetary assets. In view of their complexity, the Committee decides to continue examining these issues in 2008 (paras. 82-88).",0
"337","Since August 2005, the United Nations Security and Rule of Law Program has been providing technical and financial support to a law enforcement seminar and training course for the Somalia Police Force in Kampala.",1
"338","Adjusted to account for seasonality and insufficient testing.",0
"339","Police and security services should be allowed to use special techniques, with due respect for human rights, during investigations related to terrorism, as well as when collecting evidence.",1
"340","This special meeting sought to take the first step to raise regional awareness of the Al-Qaida sanctions regime and encourage greater collaboration between the Committee and the countries of the Sahel and the Maghreb.",1
"341","&quot;The situation in the Central African Republic",0
"342","The Commission verified the existence of two mass graves in the village; one was said to contain the bodies of two men and in the other seven others had been buried; all the victims had died during the attack.",0
"343","Although unpredictable, these changes are proof of an ancient rule of politics: the inability to introduce reforms causes revolutions.",0
"344","The adoption by consensus of General Assembly resolution 57/145 (&quot;Response to global threats and challenges&quot;) of 16 December 2002, promoted by the Russian Federation, demonstrates that the international community recognizes the need to take a global approach to the issue.",1
"345","To this end, the Office of Information and Administration will use the secure online document tracking and distribution system recently added to the Committee&#39;s website to distribute CEO materials to Committee members and the Secretariat.",1
"346","43. Rajeh Zeyab Bedah Nahar Al-Mutayri",0
"347","II. EVENTS OCCURRED DURING THE PERIOD UNDER REVIEW",0
"348","7. The situation in Liberia (January 22, 1991; December 19, 2008).",0
"349","According to the International Court of Justice, the provisions of Article 3 common to the Geneva Conventions constitute a minimum criterion applicable to all types of armed conflicts and reflect what the Court in 1949 [in the Corfu Channel case] called &quot;elementary considerations of humanity&quot;.",1
"350","6. Recalls the obligations referred to in paragraph 2 e) of resolution 1373 (2001) and recalls them in particular with respect to terrorist attacks against personnel, members of peacekeeping operations and facilities of the United Nations;",0
"351","Although local cells are known to be involved in small-time criminal operations, such as credit card fraud or drug trafficking, and the United Nations Office on Drugs and Crime has reported that groups operating in both While both sides of the Afghanistan-Pakistan border, the Islamic Republic of Iran and Uzbekistan collect transit taxes from those transporting drugs for the benefit of the Taliban, there is still little convincing evidence of large-scale involvement by terrorist groups. in drug trafficking or other organized crimes.",0
"352","From the information obtained by the Commission, it appears that the looting perpetrated mainly by the Janjaweed in the context of attacks against different localities was carried out on a wide scale and with the consent of the Government of the Sudan, which maintained a policy of impunity and he directly supported the Janjaweed.",0
"353","Signed in Luanda on February 14, 2003",0
"354","5. The Muslim Pious Works Recognition Act, 1890 6. The Charitable and Religious Trusts Act, 1920",0
"355","Delays in the issuance of visas and in customs procedures for imports",0
"356","Reaffirming the need to combat by all means, in accordance with the Charter of the United Nations and international law, the threats that terrorist acts constitute to international peace and security,",0
"357","Stresses that it is fully prepared to impose specific sanctions against persons ... who have been determined, among other things, to: ...",0
"358","The conditions of the regime were modified by resolutions 1333 (2000) and 1390 (2002), to impose three targeted measures (asset freeze, travel ban and arms embargo) against individuals and entities associated with the Taliban and Al -Qaida.",0
"359","In May there will be another opportunity for 400 members to register and registration would be discontinued for the rest of the year.",0
"360","To suspect certain people as perpetrators, it is necessary to determine the international crimes for which they could be held responsible.",0
"361","a) Request the Secretary-General to ensure that, and host countries include, key provisions of the Convention on the Safety of United Nations and Associated Personnel, including those relating to the prevention of attacks against members of United Nations operations, the classification of such attacks as crimes punishable by law and the prosecution or extradition of those responsible, in future and, if necessary, existing status-of-forces or military agreements. status of missions, as well as in agreements concluded between the United Nations and those countries, taking into account the importance of the timely conclusion of such agreements;",1
"362","iv) Prepare and periodically update, at least monthly, a calendar of outreach or other similar activities, covering future periods of at least six months and including information on other activities of the States concerned, as well as of relevant international, regional and subregional organizations, the Counter-Terrorism Committee, the Committee established pursuant to resolution 1267 (1999) and other United Nations bodies;",0
"363","The KPC alleges that a ship, the Sea Music II, was at the docks of the Shuaiba refinery on August 2, 1990 and was partially loaded with a cargo of sulfur.",0
"364","In accordance with the understanding reached in previous Council consultations, the President, with the concurrence of the Council, addressed an invitation under rule 39 of the Council&#39;s provisional rules of procedure to Mr. Kieran Prendergast, Under-Secretary-General for Political Affairs .",0
"365","In the following decade, the counter-terrorism bodies tasked by the Council with the implementation of resolution 1373 (2001) routinely considered possible links between terrorism and organized crime to be an issue within their scope of competence.",1
"366","Consequently, over the past decade, the Government of Yemen has adopted a clear policy to restore stability in Somalia, end the civil war in that country and support the central Government.",1
"367","However, little progress was made in harmonizing and increasing support from international partners for FARDC reform initiatives that are the responsibility of the Government.",0
"368","Since October 2013, it has thwarted two pirate attacks and transferred five piracy suspects to Seychelles for trial.",0
"369","Member States have noted that sites that promote terrorism in one country are invariably located in another.",0
"370","The Department of Civil Security and Emergency Preparedness was officially established in November under UNMIK regulation No. 2000/61.",1
"371","Acting under Chapter VII of the Charter of the United Nations,",0
"372","Mainly due to the conflicting operating procedures of the different entities, there are still obstacles to joint programming.",0
"373","Asylum procedures are protected from misuse by terrorists in seven States, and are partially protected in one.",1
"374","Training of peacekeeping personnel Requests the Secretary-General to ensure that United Nations personnel involved in peacemaking, peacekeeping and peacebuilding activities have appropriate training in international law humanitarian and human rights and refugee law, including child and gender provisions, negotiation and communication skills, cultural awareness and coordination between civilian and military personnel, and urges States to relevant international and regional organizations to ensure that appropriate training activities are included in their programs for personnel involved in similar activities.",1
"375","In general, the petitioners wore the F-FDTL uniform and were unarmed.",0
"376","UNIOGBIS and the United Nations country team are supporting the Government in organizing the round table.",0
"377","I remain convinced that such a process would not be advisable at this stage.",0
"378","As an expression of the international community&#39;s determination to limit Al-Qaida activity, the 1267 regime has played a prominent role in focusing attention on the need to prevent terrorist groups from receiving financial resources and limiting travel. of its members.",0
"379","The number of checklists received is now 58, leaving 134 States yet to report two years after the deadline of March 10, 2006.",0
"380","In addition to reports on its visits, the Team submitted some 15 working papers in response to requests from the Committee. The documents covered topics such as the reporting strategy of Member States; people on lists believed to have died; exemptions to the travel ban; cooperation with INTERPOL; exemptions on humanitarian grounds; possible cases of non-compliance; the views of the private financial sector on the sanctions regime; the checklist; collaboration with international and regional organizations; the use of the Internet for terrorist purposes; and a table of the experiences of Member States in the application of sanctions.",0
"381","Taking note of the proposal submitted to the Secretary-General by Morocco on 11 April 2007 and welcoming Morocco&#39;s serious and credible efforts to advance the process towards a solution; also taking note of the proposal presented to the Secretary General by the Polisario Front on April 10, 2007,",0
"382","Some members noted the importance of coordination -- between Council sanctions committees, expert groups and Member States, as well as between United Nations entities, field missions and force commanders -- to ensure the effective application of Council sanctions.",0
"383","During my visit to Lebanon in January, I pointed out to my Lebanese interlocutors, both publicly and privately, the serious dangers posed to the country&#39;s stability and internal peace by the continued presence of these militias.",1
"384","Areas of evaluation All the States visited have passed laws that grant judicial, fiscal and police authorities the necessary powers to fight terrorism.",1
"385","True establishment of the rule of law in the Democratic Republic of the Congo requires the formation of an effective and democratic army, judicial system and police force.",0
"386","The project will be implemented by the United Nations Office for Project Services (UNOPS) and implemented by the municipalities of the Pristina and Gnjilane regions.",1
"387","Periodic training activities are carried out according to an annual plan. On August 11, first aid training activities were carried out in Mitrovica by French firefighters from the multinational brigade (north-east). On 30 August, the Multinational Brigade (East) organized a seminar in Tradoc for commanders of the collection areas. The objective was to present the officer training program in detail to ensure that commanders understood their responsibilities and supported the program. Conclusion The overall situation in Kosovo remains relatively calm, with simmering tensions set to persist for the foreseeable future.",1
"388","b) Encourage States to provide relevant officials with the necessary training to implement the legal framework against terrorism, for example, in aspects such as investigation, prosecution, sentencing and extradition.",1
"389","Tunisia and the Libyan Arab Jamahiriya expanded, in 2009 and 2010 respectively, their customer due diligence, record-keeping and suspicious transaction reporting obligations to businesses and professions other than the financial sector, thereby expanding the scope of its obligations in the field of combating money laundering and the financing of terrorism.",1
"390","This applies to Austria, Belgium, Canada, France, Germany, Japan, Liechtenstein, the Netherlands, Norway, Portugal, Saudi Arabia, Sweden, Switzerland, Tunisia, Turkey, the United Kingdom, the United States and Yemen ;",0
"391","A framework to address the threat posed by foreign terrorist fighters",1
"392","With the exception of one State, which has provided very little relevant information, all East Asian States are members of various regional organizations and mechanisms for international cooperation in combating terrorism and have sought to strengthen these relations.",1
"393","Only in one State have measures been put in place and are fully implemented to prevent the misuse of asylum procedures.",1
"394","However, border detection and prevention are often ineffective because risk indicators and detection criteria are not applied; there is no information sharing or cooperation between customs officials, law enforcement and immigration departments, and financial intelligence units; and there are no specialized human resources or materials.",0
"395","Only two States have criminalized the financing of terrorism, and two others have adopted some legal provisions on the matter.",1
"396","States that participated in the review subsequently had three months to provide any identifying or other information related to the listing, such as updates on the operational status of listed entities or transfer, imprisonment or death. of the people included in the List, as well as the new charges brought against them in relation to terrorist acts.",1
"397","The conflict appeared to reach a climax at a meeting in Damascus between Mr. Hariri and President Al-Assad on August 26, 2004.",0
"398","The Security Council recalls the commitment of the Government of Chad, indicated in the letter dated 7 September 2010 sent to the President of the Security Council (S/2010/470), to assume full responsibility for the security and protection of the civilian population in eastern Chad, including refugees, internally displaced persons, returnees and host communities, paying special attention to women and children and humanitarian and United Nations personnel and assets, in accordance with its obligations under international humanitarian law, human rights law and refugee law.",1
"399","Furthermore, the Moro River floodplain is particularly prone to major flooding during the rainy season, making systematic, mechanized open-pit mining impossible.",0
"400","The conduct of joint or parallel operations by MONUC and FARDC, including presence-building, cordon and search missions and day and night patrols, has resulted in an improvement in the security situation in South Kivu. From 6 to 9 September, two FARDC battalions, some 1,000 soldiers in total, participated in one of these operations in the Kahuzi Beiga park area, an area where the FDLR is concentrated.",1
"401","Other background documents also needed to be collected and analyzed to determine the factors that had contributed to the crisis. The Commission would then verify the veracity of the information in these documents and reports, and establish other facts by interviewing witnesses, officials and other persons in positions of authority, as well as persons detained by the police or imprisoned, and by visiting the places where Crimes or other incidents were reported to have occurred.",1
"402","Safe, voluntary and dignified return and reintegration Calls upon all stakeholders to ensure that all peace processes and agreements and all post-conflict recovery and reconstruction planning take into account the needs of women and children and include concrete measures for the protection of civilians, including... iii) the creation of conditions conducive to the voluntary, safe, dignified and sustainable return of refugees and internally displaced persons.",1
"403","There are several stabilization instruments and plans (the Stabilization and Reconstruction Plan for Areas Emerging from Armed Conflict, the International Strategy to Support Security and Stabilization, and islands of stability), but a common approach seems to be lacking in the system itself. of the United Nations.",1
"404","Work of the Prosecutor&#39;s Office",0
"405","Reaffirming its resolutions 1265 (1999) and 1296 (2000) on the protection of civilians in armed conflict, its various resolutions on children and armed conflict and on women, peace and security, as well as its resolution 1631 ( 2005) on cooperation between the United Nations and international organizations in the maintenance of international peace and security, and further reaffirming its determination to ensure respect for and follow-up to these resolutions,",1
"406","European Convention for the Suppression of Terrorism; It was signed on February 13, 1992, ratified on April 15, 1992, and entered into force in the Federal Republic of Czechoslovakia on July 15, 1992.",1
"407","Each of these was considered with reference to the issue of notification.",0
"408","The mission witnessed an escalating spiral of violence, in the midst of which peacekeepers came under direct attack by extremists.",0
"409","On December 27, 2007, supporters of Sergeant Ibrahim Coulibaly, also known as IB, a former member of the Forces Nouvelles, were accused of attacking members of the Forces Nouvelles in BouakÃ©. Several deaths occurred as a result of the attack, and several people were arrested.",0
"410","One of these cases will be decided in June, while two cases are expected to be concluded later this year, another two next year and the remaining five in 2012.",0
"411","The Commission understands that the forced displacement of the civilian population was systematic and widespread, which is why it constitutes a crime against humanity.",0
"412","In their responses, Council members expressed their recognition of the selective nature of the sanctions imposed by the Council, and their application to a wide range of threats to international peace and security, involving, inter alia, the provision of assistance to States to restore stability, the protection of the civilian population in conflicts and the fight against terrorism and the proliferation of weapons of mass destruction.",0
"413","The same is true when Eastern Europe is simply mentioned.",0
"414","b) Recommendations on measures that could be taken to improve the response to the threat posed by these foreign terrorist fighters;",0
"415","At international meetings, the Team has had the opportunity to review States&#39; awareness of the sanctions regime without preparation.",0
"416","Although the Comprehensive Peace Agreement and the Agreement on Supervision of the Management of Arms and Armies contained provisions for the dissolution of the militia linked to the Maoist army, neither of them proposed detailed plans in this regard.",1
"417","Another area where the Directorate believes it has room to work in the future is improving the integration of human rights approaches into counter-terrorism programmes.",1
"418","Most States have legislation on money laundering, and four of them incorporate the financing of terrorism as a predicate crime.",1
"419","Furthermore, article 75 (3) provides that the Court, before making a reparation decision, will take into account the observations made by the convicted person, the victims, other persons or States that have an interest, or those made on their behalf.",1
"420","In this way, it introduces the concept of working towards measurable results regarding the relationship between small arms and development.",1
"421","September 8, 2003, Moqur district, Ghazni province, Afghanistan",0
"422","4. Other losses: US$14,359,998 a) Loss of student records: US$14,359,998.",0
"423","The situation has serious implications for the Directorate of Forestry Development&#39;s forecast of revenue from the timber sector and the Government of Liberia&#39;s poverty reduction strategy, which contains a forecast for the 2008/09 financial year of $24 million. of income derived from the sector and a total of 107 million dollars for the period between 2007 and 2011.",0
"424","The Mission&#39;s policy group on sexual exploitation and abuse is completing the development of a UNOCI code of conduct in this regard and participates in the country network addressing these issues.",1
"425","A new IMF program is expected to be implemented in the next quarter.",0
"426","In the case of the 22 jeeps, normal procedures were simply ignored.",0
"427","4. On March 21, 1997, the Group issued its first set of orders regarding the claims.",0
"428","The Security Council recalls the obligations of all States to ensure respect for international humanitarian law, including the four Geneva Conventions, and reiterates the responsibility of States to fulfill their obligations to end impunity and prosecute those responsible for war crimes, genocide, crimes against humanity and other serious violations of international humanitarian law.",1
"429","Civil defense vehicles, firefighters and the Red Cross quickly headed to the scene and began to put out the fire, gather the bodies and take the injured to the hospital.",1
"430","The Security Council strongly condemns the continued use of Afghan territory, especially areas controlled by the Taliban, to harbor and train terrorists and plan terrorist acts, and reaffirms its conviction that the suppression of international terrorism is essential for the maintenance of international peace and security. Insists that the Taliban stop providing shelter and training to international terrorists and their organizations, adopt effective measures so that the territory under their control does not host terrorist installations and camps, nor serve to prepare or organize terrorist acts against other States or their citizens, and cooperate in efforts to bring to justice those accused of terrorist acts.",0
"431","III. Activities of my Special Envoy",0
"432","34. Mr. Abed-Diam described what happened as follows:",0
"433","119. Prior to February 2012, the Forest Development Directorate did not have a consolidated list of the total number of private use permits issued by the Government, the location of concessions, the duration of contracts and the land areas allocated.",0
"434","Between 1993 and 1998, the sale of smuggled diamonds is estimated to have earned UNITA partner groups approximately $2 billion to $4 billion.",0
"435","The Team believes that, depending on the circumstances, there are different measures that may be effective in preventing the abuse of the assets of a suspected (but unlisted) entity, including: removing suspected wrongdoers or those listed consolidated list of control or influence posts; prohibit the transfer, sale or alienation of their rights and prohibit entities from making any transfer of assets to those persons, whether in their capacity as owners or directors.",1
"436","The logistical support that may need to be provided for the electoral process will have important consequences, particularly in non-conflict areas where MONUSCO has reduced its presence.",1
"437",":: United Republic of Tanzania (October 2007)",0
"438","The President (spoke in French): I now put the draft resolution contained in document S/2004/240 to the vote.",0
"439","2. Calls upon the Government of Syria to visibly fulfill all of its commitments, as agreed to do in the Preliminary Understanding and as provided for in resolution 2042 (2012), to: a) stop troop movements towards the centers of population, b) stop using heavy weapons in those places, and c) complete the withdrawal of military concentrations in and around population centers, as well as their contingents and heavy weapons from population centers to their barracks or military sites. temporary deployment, in order to facilitate a sustained cessation of violence;",0
"440","In its preliminary report, the Commission established the similarities and differences in the mandates, noting in particular that, although it had determined the existence of some violations that led it to conclude that international crimes had been committed in Libya, it was up to the Criminal Court International evaluate individual criminal responsibility.",0
"441","A. Establishment of the integrated command center",1
"442","We note that the enduring challenges facing the police in Timor-Leste should not be underestimated.",0
"443","The third project aims to rehabilitate the Gaalkacyo South police station, which is used as an anti-piracy investigation center in Galmudug.",1
"444","However, Pacific Islands Forum States made considerable progress in implementing a range of counter-terrorism measures in accordance with resolution 1373 (2001).",1
"445","Il Giornale, newspaper; Fausto Biloslavo, journalist, December 28, 2011",0
"446","The total number of new and old displaced people is estimated at 1.3 million.",0
"447","To be held on Wednesday, November 30, 2005, at 10:45 a.m.",0
"448","UNOCI has made greater efforts to raise awareness among the Ivorian population of the Mandate of the Mission&#39;s objectives and to counter the effects of the current campaign to discredit the Mission.",1
"449","9. In its resolution 22/13, the Human Rights Council urged the Government of the Democratic People&#39;s Republic of Korea to cooperate fully with the Special Rapporteur and the commission of inquiry and to allow members of the commission unrestricted access restrictions on the country and provide them with all the information they needed to fulfill their mandate.",0
"450","Which will be held on Wednesday, March 7, 2007, at 11:50 a.m.",0
"451","UNDOF personnel left Jordan and arrived safely at Camp Ziouani on the Alpha side on 11 March.",0
"452","The conclusions of the Australian investigation highlighted that: a) the group was going on a pilgrimage to Jeddah; b) no common organic or inorganic residue from explosives or post-explosion was detected in any of the samples taken; c) none of the people interviewed by the Australian authorities in the framework of this investigation participated in any way in Hariri&#39;s assassination or were aware of any information regarding it. V. The Commission&#39;s investigation",1
"453","a) The removal of mines in support of the demarcation and",0
"454","UNDP and UNIPSIL also contributed to the preparation of police training modules on a number of issues, including electoral law and standards of professionalism applicable in the performance of their duties.",1
"455","They appear to be related to transportation insurance for stored materials.",0
"456","2. Urges all States to cooperate, inter alia, to strengthen the security of their international borders, in particular by combating the use of fraudulent travel documents and, to the extent possible, implementing more effective terrorist detection procedures and transport security, with a view to preventing persons guilty of the acts referred to in paragraph 1 (a) from entering its territory;",0
"457","Mr. Å imonoviÄ considered it imperative that the whereabouts of the missing persons be clarified and that those responsible be held accountable for their actions.",1
"458","7. Requests the Executive Representative of the Secretary-General to facilitate and promote dialogue between national and international stakeholders, particularly in the context of the upcoming elections, and to continue supporting their efforts to maintain peace and stability;",0
"459","Particular attention should be paid to the large number of elections scheduled until 2013 in the region, which, while a positive development, could also exacerbate tensions and intensify violence and instability.",0
"460","In 2014, in response to resolutions 2083 (2012) and 2161 (2014), and to further promote the implementation by national authorities of the Security Council sanctions regimes, the Division standardized the format of all lists of Council sanctions and established the Consolidated Security Council Sanctions List, which contains the names that appear on all sanctions lists of the Council&#39;s sanctions committees.",1
"461",":: The Hon. Mr. Ould Sidi Mohamed, Minister of National Reconciliation of the Republic of Mali",0
"462",":: Expressing the desire to join forces and promote inter-communal harmony of all components of the Azawad society;",1
"463","No financial audit has been carried out.",0
"464","I have requested that BINUCA continue its activities to support the Government in its efforts to obtain bilateral assistance to build the capacity of its national forces.",1
"465","In compliance with rule 15 of the provisional rules of procedure of the Security Council, the Secretary-General announces that he has received from the Permanent Representative of Lithuania to the United Nations a letter dated 7 July 2014 indicating that Ms. Nida Jakubone, has been appointed deputy representative and that Ms. Rosita Soryte has been appointed alternate representative of Lithuania on the Security Council.",0
"466","During the period of operation of the United Nations Transitional Administration in East Timor (UNTAET) there were great changes.",1
"467","Through the Community Policing initiative, UNMIK has strengthened its ties with local communities.",1
"468","President of the Executive Council of the Community of Sahel-Saharan States",0
"469","Southern region: 197 sorties were carried out, at speeds of 720 to 780 kilometers per hour and at an altitude of 9,000 to 13,000 meters, namely:",0
"470","In my capacity as representative of the President-in-Office of the African Union, I have the honor to transmit to you the attached communiquÃ© regarding CÃ´te d&#39;Ivoire, issued by the Peace and Security Council of the African Union, at its fortieth meeting, held at the of Heads of State and Government, in Addis Ababa, on October 6, 2005.",1
"471",":: Provision of modern, highly sensitive and portable detection instruments.",0
"472","In paragraph 6) of paragraph 2 of article 12 of the Law on public organizations.",0
"473","The United Nations Alliance of Civilizations launched several programs in Africa to prevent radicalization. One of them focuses on communities in Nigeria and is aimed at youth, women and community leaders with a view to facilitating dialogue and collaboration between members of different groups.",1
"474","The national community reintegration and rehabilitation program, which must absorb a total of 6,000 ex-combatants, has facilitated the work of registration and identification of Forces Nouvelles personnel.",1
"475","This work began with the establishment by the Council of the special courts for the former Yugoslavia, in 1993, and for Rwanda, a year later.",1
"476","In Central America and the Caribbean, programs on integration and prevention of terrorism and incitement are implemented within the framework of the San JosÃ© Dialogue process.",1
