"","en_es_TRANSFORMERS","MatCoop"
"581","Se ha de crear un sistema en virtud del cual las víctimas de explotación y abuso sexuales se remitan caso por caso a una organización no gubernamental que preste el apoyo necesario.",1
"582","Todos los Estados han adoptado algunas medidas para regular la producción, venta y transferencia de armas y explosivos.",1
"583","b) Pérdida en los emplazamientos del proyecto 235 - 238",0
"584","Otros, que desean detener el proceso, han demostrado que se están reorganizando.",0
"585","31. Durante el retiro presidencial mencionado en el párrafo 2 supra, el Presidente determinó que la reestructuración general del sector público, especialmente de la administración pública, era una de sus principales prioridades.",0
"586","Aparte de las reuniones periódicas del Consejo de Ministros Árabes del Interior, no hay intercambio regular e institucionalizado de información operacional a nivel subregional.",0
"587","En cuanto a la reunificación de las dos fuerzas, los Jefes de Estado Mayor de las fuerzas de defensa y seguridad y las Forces nouvelles informaron a la misión de evaluación de que habían elaborado una propuesta de un ejército unificado de transición, integrado por unidades mixtas encargadas de garantizar la seguridad del proceso electoral.",1
"588","Actualmente hay 33 mandatos temáticos y 8 mandatos por países.",0
"589","Pedimos a todos los grupos armados signatarios del Acuerdo de Uagadugú que se desvinculen de los grupos terroristas.",0
"590","Los enfrentamientos se reanudaron con menos intensidad a la mañana siguiente.",0
"591","Se han esforzado por aislar a los civiles del conflicto y los objetivos del MPCI son restablecer la dignidad del pueblo de Côte d'Ivoire.",1
"592","El Consejo de Seguridad alienta a la UNAMI a que prosiga su labor, en coordinación con el Gobierno del Iraq, para ayudar a crear condiciones propicias para el regreso voluntario, seguro, digno y sostenible de los refugiados y desplazados internos iraquíes, y acoge con beneplácito que todos los interesados sigan prestando atención a esta cuestión.",0
"593","c) Cooperar, en particular mediante arreglos y acuerdos bilaterales y multilaterales, para prevenir y reprimir los ataques terroristas y adoptar medidas contra los autores de esos actos;",1
"594","14. Decide que los Estados Miembros, a fin de impedir que Al-Qaida y otras personas, grupos, empresas y entidades asociados con ella obtengan, manipulen, almacenen, utilicen o traten de tener acceso a todo tipo de explosivos, ya sean explosivos militares, civiles o improvisados, así como a materias primas y componentes que puedan utilizarse para fabricar artefactos explosivos improvisados o armas no convencionales, incluidos (aunque no exclusivamente) los componentes químicos, las cuerdas detonantes o los venenos, adopten medidas apropiadas para promover el ejercicio de la vigilancia por sus nacionales, las personas sujetas a su jurisdicción y las empresas constituidas en su territorio o sujetas a su jurisdicción que participen en la producción, venta, suministro, compra, transferencia y almacenamiento de esos materiales, incluso mediante la emisión de buenas prácticas, y alienta además a los Estados Miembros a que compartan información, establezcan asociaciones y desarrollen estrategias y capacidades nacionales para contrarrestar los artefactos explosivos improvisados;",1
"595","Depósitos a la vista y a plazo y cuenta mancomunada al final del período",0
"596","Los Estados han avanzado mucho en el establecimiento de regímenes de lucha contra el blanqueo de dinero y la financiación del terrorismo, pero se requiere una mayor cooperación regional a nivel operacional.",1
"597","ORIGINAL: INGLÉS ASAMBLEA GENERAL CONSEJO DE SEGURIDAD",0
"598","19 de noviembre de 1999 RESOLUCIÓN 1275 (1999)",0
"599","Los Estados deberían adoptar un enfoque amplio para denegar refugio, ya que se necesitan varias medidas interrelacionadas para garantizar la eficacia, entre ellas medidas legislativas, de aplicación de la ley, de control fronterizo, de refugiados y de asilo.",1
"600","El Consejo subraya la importancia de la implicación nacional, el diálogo constructivo y la asociación entre las autoridades nacionales y la comunidad internacional para ayudar a atender las necesidades prioritarias de consolidación de la paz y las causas subyacentes de la inestabilidad recurrente.",1
"601","Esta discriminación tradicional en el sistema songbun se complicó recientemente por el aumento de la comercialización en la República Popular Democrática de Corea y por la influencia del dinero, incluida la moneda extranjera, en la capacidad de las personas para tener un mayor acceso a sus derechos económicos, sociales y culturales.",0
"602","Los protocolos se transmitieron diariamente al general Azar y al jefe del ejército, el general Michel Suleyman.",0
"603","El Ministro del Interior dijo al Comandante da Cruz que diera 10 de los fusiles, 6.000 cartuchos y 10 revistas a Rai Los en Liquiça.",1
"604","Sin embargo, cabe suponer razonablemente que el nivel medio de empleo disminuye entre 5.000 y 8.000.",0
"605","b) Al efectuar los pagos previstos en el apartado a), el Secretario Ejecutivo efectuará los pagos a plazos.",0
"606","Decreto No 365/69 (31 de julio de 1969)",0
"607","El personal de la ONUCI expresó periódicamente su frustración por no contar con una buena información de inteligencia para hacer el seguimiento y por la falta de los conocimientos técnicos necesarios para cumplir su mandato.",0
"608","Otro Estado destacó la importancia de un enfoque basado en la comunidad, señalando que las familias bien informadas, las comunidades locales y las instituciones locales eran las defensas más eficaces contra las ideologías extremistas violentas.",0
"609","La apertura de los campamentos que se prevé abrir en Makeni y Magburaka está a la espera de la autorización del FRU y las Fuerzas Armadas de la República Centroafricana.",0
"610","5. Somalia no ha tenido un gobierno central en funcionamiento desde la caída del régimen de Siad Barre en 1991.",0
"611","Sírvanse informar al Comité contra el Terrorismo si se ha promulgado el nuevo Código Penal y, en particular, las disposiciones que tipifican como delito el reclutamiento de personas para cometer actos terroristas.",1
"612","La terminal de frutas está al lado sólo de la terminal militar en una parte aislada del puerto marítimo, que es la razón por la que se descarga equipo de tipo militar allí.",0
"613","Disminución de los negocios o de los usos del tráfico",0
"614","Para ayudar a lograr la viabilidad financiera y la sostenibilidad de la policía local, la Misión de Policía de la Unión Europea ha avanzado en el desarrollo de la capacidad local en relación con las escalas de sueldos, la planificación presupuestaria de las dependencias orgánicas, la revisión de los gastos de conservación de los locales, la racionalización del uso del equipo de policía, el control de los inventarios y las nóminas de sueldos, y la ejecución y gestión del presupuesto general.",1
"615","La situación en Côte d'Ivoire (20 de diciembre de 2002; 30 de julio de 2009)",0
"616","Sr. Rishchynski (Canadá) (habla en francés): Para comenzar, quisiera dar las gracias al Sr. Ján Kubiš por su exposición informativa de esta mañana, así como al Embajador del Afganistán, Sr. Zahir Tanin, por su declaración.",0
"617","Debido en parte a la vasta extensión del Sáhara Occidental, no ha sido posible obtener un panorama completo del número de accidentes relacionados con las minas y los restos explosivos de guerra en el Territorio.",1
"618","Sin embargo, sólo 20 Estados han adoptado medidas prácticas y una estrategia nacional para reprimir el reclutamiento por grupos terroristas.",1
"619","El Consejo de Seguridad exhorta a los Estados Miembros a que cooperen con rapidez para resolver todas las cuestiones pendientes con miras a aprobar el proyecto de convenio general sobre el terrorismo internacional.",1
"620","Esos instrumentos, junto con la política de descentralización, aclaran las funciones y responsabilidades de los consejos locales, los funcionarios de distrito, los parlamentarios y las autoridades tradicionales en las esferas de la adopción de decisiones con respecto al desarrollo; las elecciones y el mantenimiento del orden público; y la recaudación y asignación de ingresos locales.",1
"621","En el mismo mes, el Canadá se sumó a todos los demás ratificantes del Tratado de prohibición completa de los ensayos nucleares en apoyo de la Declaración Final de la quinta Conferencia en virtud del artículo XIV para facilitar la entrada en vigor del Tratado, que se celebró en Viena.",0
"622","62. Un Estado señaló que la mejor manera de lograr este objetivo era inculcar un sentido del deber cívico y el reconocimiento de que el público debía informar de sus preocupaciones a las autoridades encargadas de hacer cumplir la ley.",1
"623","A fines de agosto, el ACNUR había documentado un déficit de 18.000 viviendas.",0
"624","14. Invita al Secretario General a que señale a su atención las situaciones en que los refugiados y los desplazados internos sean vulnerables a la amenaza del hostigamiento o en que sus campamentos sean vulnerables a la infiltración de elementos armados y en que esas situaciones puedan constituir una amenaza para la paz y la seguridad internacionales, expresa, a este respecto, su disposición a examinar esas situaciones y, cuando sea necesario, a adoptar medidas apropiadas para ayudar a crear un entorno seguro para los civiles amenazados por conflictos, incluso prestando apoyo a los Estados interesados a este respecto, y recuerda, a este respecto, su resolución 1208 (1998), de 19 de noviembre de 1998;",0
"625","La lucha contra la impunidad es también de gran importancia para la prevención de la violencia sexual.",0
"626","Para el año escolar 2006/07, el Ministerio de Educación estimó que se matricularían 1.660.000 alumnos.",0
"627","El Consejo de Seguridad reitera que los Estados están obligados a impedir el suministro, la venta o la transferencia, directos o indirectos, al EIIL, el FAN y todas las demás personas, grupos, empresas y entidades asociados con Al-Qaida desde sus territorios o por sus nacionales fuera de sus territorios, o utilizando buques o aeronaves de su pabellón, de armas y material conexo de todo tipo, incluidas armas y municiones, vehículos y equipo militares, equipo paramilitar y piezas de repuesto para los mencionados, y asesoramiento técnico, asistencia o adiestramiento en relación con actividades militares, así como sus llamamientos a los Estados para que encuentren formas de intensificar y acelerar el intercambio de información operacional sobre el tráfico de armas, y de mejorar la coordinación de las actividades en los planos nacional, subregional, regional e internacional.",1
"628","La Comunicación especial elaborada por la INTERPOL y el Comité establecido en virtud de la resolución 1267 (1999) en respuesta a la resolución 1617 (2005) del Consejo de Seguridad es una base sólida para estudiar la posibilidad de seguir cooperando en la práctica entre las dos organizaciones en relación con otros embargos de armas.",1
"629","Juntos, avanzaremos hacia el día en que las fuerzas iraquíes asuman la plena responsabilidad del mantenimiento de la seguridad y la estabilidad en el Iraq.",1
"630","Cuando se dispone de esa corroboración y la víctima identifica al autor o los autores, los casos se recomiendan para su enjuiciamiento y se envían a la oficina del fiscal de distrito.",1
"631","El programa exige que los excombatientes regresen abiertamente, entreguen sus armas y acepten respetar la legitimidad del Gobierno, el estado de derecho y un mecanismo de supervisión basado en la comunidad, junto con otras medidas que dependan de la persona de que se trate.",1
"632","2. Decide también que todos los Estados, de conformidad con sus procedimientos nacionales, adopten y hagan cumplir leyes apropiadas y eficaces que prohíban a todo agente no estatal fabricar, adquirir, poseer, desarrollar, transportar, transferir o emplear armas nucleares, químicas o biológicas y sus sistemas vectores, en particular con fines terroristas, así como los intentos de realizar cualquiera de las actividades mencionadas, participar en ellas como cómplices, prestarles asistencia o financiarlas;",0
"633","Las Fuerzas Armadas Libanesas informaron a las Naciones Unidas de que el deterioro de la situación de seguridad en la República Árabe Siria les había llevado a adoptar más medidas para el control de la frontera a fin de impedir la entrada y salida del Líbano de armas y personal militar.",1
"634","No hacer nada con un grupo tan malvado bajo el pretexto poco aconsejable de que no representa una amenaza para el Gobierno es abdicar de la responsabilidad cardinal de cualquier Estado, es decir, garantizar la seguridad de sus ciudadanos.",0
"635","La policía debe estar, y debe parecer estar, entrenada en un entorno políticamente neutral.",0
"636","La Ley uniforme sobre la financiación del terrorismo de la UEMOA y la lucha contra el terrorismo prevé la congelación administrativa de los activos terroristas.",1
"637","IV. LAS RECLAMACIONES 25 - 76 7",0
"638","Las aldeas de Karpas son un caso especial. Me referiré a ellas en la sección del territorio.",0
"639","La víctima quedó embarazada como resultado de esta violación y más tarde dio a luz a un niño.",0
"640","- Contribuir, según proceda, al desarrollo por las autoridades de Côte d'Ivoire de la capacidad de la policía y la gendarmería, en particular mediante la capacitación en control de multitudes, y restablecer su presencia en todo [el país afectado].",1
"641","Entre las zonas de reciente acceso se encuentran Jebel Marra oriental, Thur y Umm Dukhum. La campaña de vacunación contra la poliomielitis del 26 al 28 de marzo también llegó a muchas zonas que anteriormente habían sido inaccesibles.",0
"642","La Oficina Conjunta de Derechos Humanos de las Naciones Unidas siguió prestando apoyo para el establecimiento y funcionamiento de clínicas jurídicas que se ocupan de cuestiones de violencia sexual; nueve de las clínicas, administradas por organizaciones no gubernamentales locales, han comenzado a funcionar desde enero. El 21 de marzo, la Oficina Conjunta de Derechos Humanos de las Naciones Unidas y la policía de la MONUSCO, en colaboración con la Misión de Policía de la Unión Europea, iniciaron dos meses de capacitación de instructores en técnicas de investigación de delitos de violencia sexual en Bas-Congo para 50 agentes de policía judicial.",1
"643","El día de la explosión se interrogó a 10 personas y durante los dos meses siguientes se entrevistó a unas 40 personas.",1
"644","Reafirma que poner fin a la impunidad es esencial para que una sociedad en conflicto o que se recupera de un conflicto pueda hacer frente a los abusos cometidos en el pasado contra civiles afectados por un conflicto armado e impedir que en el futuro se cometan tales abusos",0
"645","Los militares dispararon morteros contra civiles desarmados.",0
"646","a) Promover la adopción de marcos jurídicos nacionales amplios e integrados contra el terrorismo, de conformidad con el estado de derecho y las obligaciones en materia de derechos humanos, y aumentar la capacidad nacional para investigar, enjuiciar y juzgar los actos de terrorismo, incluso solicitando asistencia para el fomento de la capacidad cuando sea necesario;",1
"647","Algunas de sus recomendaciones a las autoridades sudanesas pueden y deben aplicarse inmediatamente, entre otras cosas, para que el Comité Internacional de la Cruz Roja y los observadores de derechos humanos de las Naciones Unidas tengan acceso pleno y sin trabas a todas las personas detenidas en relación con la situación en Darfur.",1
"648","145. Sin embargo, el Grupo de Supervisión recibió una respuesta sustantiva del Gobierno del Yemen (anexo XVI), de fecha 30 de septiembre de 2006.",0
"649","El Consejo de Seguridad subraya la necesidad de que los Estados Miembros en situaciones posteriores a conflictos, en consulta con, entre otras cosas, la sociedad civil, incluidas las organizaciones de mujeres, aborden las necesidades y prioridades específicas de las mujeres y las niñas en sus estrategias nacionales para mejorar sus condiciones socioeconómicas, su participación en actividades generadoras de ingresos y su acceso a la educación y a los servicios básicos.",1
"650","La Unión Europea condena esa violencia de los maoístas, que ha causado considerables sufrimientos y penurias al pueblo nepalés.",0
"651","El 5 de noviembre, el Consejo celebró consultas sobre la República Árabe Siria y la Asesora Especial del Secretario General, Sigrid Kaag, informó por videoconferencia desde Beirut sobre la aplicación de la resolución 2118 (2013) y la eliminación del programa de armas químicas de la República Árabe Siria.",1
"652","Colaborar con las organizaciones de mujeres y los gobiernos nacionales para apoyar los procesos de reforma constitucional, electoral y legislativa posteriores a los conflictos; fomentar la capacidad institucional de los mecanismos nacionales para la mujer en las zonas que salen de conflictos.",1
"653","El 5 de mayo de 2005, los mismos camiones, que transportaban armas y alimentos, regresaron a Somalia a través de la ciudad fronteriza de Yeed, región de Bakool, y el 7 de mayo de 2005 llegaron a Hudur, la capital de la región de Bakool, y almacenaron temporalmente las armas en la comisaría de policía de Hudur.",1
"654","En el informe se señala que un número considerable de niños fueron reclutados por el Partido Comunista de Nepal-Maoísta (PCN-M) antes de la firma del acuerdo de cesación del fuego y trasladados a los acantonamientos.",0
"655","En algunos casos, el orden de uso de la palabra se establece mediante la utilización de una hoja de inscripción;",0
"656","1) El orden de uso de la palabra para las sesiones del Consejo de Seguridad como práctica general se establece mediante sorteo.",0
"657","o El 15 de noviembre de 2014, helicópteros del régimen arrojaron una bomba de barril sobre la mezquita Omar ibn al-Khattab en Alepo, causando graves daños a la mezquita.",0
"658","La exclusión de otras formas de abuso sexual del ámbito de la investigación dejó sin abordar un gran número de denuncias.",1
"659","25. En el período de la UNTAET también se crearon muchas instituciones estatales modernas, como el Parlamento Nacional, el Consejo de Ministros, las estructuras de gobierno local, el servicio de policía y la fuerza de defensa.",1
"660","Algunos partidos del sur, aparte del SPLM, también se han unido al Gobierno de Unidad Nacional.",0
"661","b. Calificados para funcionar en el rango de temperatura de menos de -45oC a más de +55oC; y",0
"662","El Consejo de Seguridad observa que el sufrimiento humano en gran escala es una consecuencia y a veces un factor que contribuye a la inestabilidad y a nuevos conflictos, ya sea debido al desplazamiento, los ataques violentos u otras atrocidades.",1
"663","Los importes totales corregidos por país y serie son los siguientes:",0
"664","47. El Gobierno hizo varios esfuerzos para prevenir y combatir las enfermedades.",1
"665","El papel de la industria y el sector privado es fundamental para aplicar marcos normativos basados en la resolución 1540 (2004), y sólo mediante la cooperación del sector privado con la industria podrá abordarse eficazmente el riesgo de proliferación de armas de destrucción en masa entre los agentes no estatales.",1
"666","Nos tomó tres días encontrar a mi padre porque había sido enterrado.",0
"667","El primer lote de 2.000 milicianos se registró en Guiglo en junio de 2006 y 981 de ellos fueron posteriormente desarmados y recibieron una prestación en concepto de red de seguridad en efectivo.",1
"668","102. La Comisión determinó que, ante la rebelión en Darfur iniciada por dos movimientos rebeldes a principios de 2003, el Gobierno pidió a varias tribus árabes que prestaran asistencia en la lucha.",0
"669","396. Sin embargo, gracias a sus propias investigaciones, la Comisión pudo reunir información más sustancial sobre las desapariciones forzadas.",1
"670","III. La cuestión de la lucha contra el terrorismo",0
"671","83. Los combatientes del MPCI facilitaron a la misión información sobre la existencia de otras fosas comunes en las zonas de combate, a saber, cinco fosas comunes, tres de ellas en Man y dos en Danané, a 72 kilómetros de Man.",0
"672","h) Participar activamente en todas las actividades pertinentes en el marco de la Estrategia global de las Naciones Unidas contra el terrorismo, incluido el Equipo Especial sobre la Ejecución de la Lucha contra el Terrorismo, establecido para asegurar la coordinación y coherencia generales de las actividades de lucha contra el terrorismo del sistema de las Naciones Unidas, en particular por conducto de sus grupos de trabajo pertinentes;",1
"673","La unanimidad no siempre prevalece, por supuesto, pero siempre hay un esfuerzo serio para dar cabida a las opiniones de los 15 miembros y encontrar un terreno común.",0
"674","El Consejo de Seguridad subraya que sigue siendo necesario adoptar medidas para prevenir y reprimir la financiación del terrorismo y las organizaciones terroristas, reitera las obligaciones de los Estados Miembros a este respecto, incluida la aplicación efectiva de esas medidas, y reconoce la importante labor de las entidades de las Naciones Unidas y otras organizaciones multilaterales, en particular el Grupo de Acción Financiera.",1
"675","Estos bienes y tecnologías se enumeran en el anexo I del Reglamento;",0
"676","Preocupados por la ausencia hasta ahora de movimientos armados clave en las negociaciones, han instado a que se mantenga la colaboración con el Gobierno y los movimientos no signatarios para aumentar la inclusividad del proceso de paz.",1
"677","El Subsecretario General de Asuntos Políticos informó del aumento de los ataques del Ejército de Resistencia del Señor en 2011 y destacó las graves consecuencias para los civiles y la situación humanitaria.",0
"678","Integración de las perspectivas de género en el diseño y la aplicación de las evaluaciones ambientales posteriores a los conflictos.",1
"679","7. Pide al Representante Ejecutivo del Secretario General que facilite y promueva el diálogo entre los interesados nacionales e internacionales, en particular en el contexto de las próximas elecciones, y que, al mismo tiempo, siga apoyando sus esfuerzos por mantener la paz y la estabilidad;",0
"680","Durante el período sobre el que se informa, se concluyó un examen preliminar de la evaluación de riesgos para Kosovo y se inició el proceso de evaluación de riesgos en todas las regiones.",1
"681","Si el delincuente ha destruido, dañado, transferido, dejado inservible o utilizado, en particular gastado o gastado, cualesquiera bienes que pudieran ser objeto de decomiso en virtud de los párrafos 1 y 2 del artículo 70, o si el delincuente ha impedido de otra manera el decomiso de esos bienes, el tribunal podrá ordenar el decomiso de fondos hasta la cantidad correspondiente al valor de esos bienes; el valor de los bienes que podrían ser objeto de decomiso podrá ser estimado por el tribunal.",0
"682","Ubicación: P.O. Box 16595365, Teherán, Irán",0
"683","20. Ministerio de Energía y Recursos Minerales.",0
"684","en qué áreas opera la caridad a nivel nacional y/o internacional; y",0
"685","Ubicación: 18 Mehrshad Street, Sadaghat Street, Frente a Park Mellat, Vali-e-Asr Ave., Teherán, Irán; 265, Junto a Mehrshad, Sedaghat St., Frente a Mellat Park, Vali Asr Ave., Teherán 1A001, Irán",0
"686","4. Insta a la Dirección Ejecutiva del Comité contra el Terrorismo a que siga fortaleciendo su función de facilitación de asistencia técnica para la aplicación de la resolución 1373 (2001) con el fin de aumentar la capacidad de los Estados Miembros en la lucha contra el terrorismo atendiendo a sus necesidades de lucha contra el terrorismo;",1
"687","Además, tanto su misión de determinación de los hechos como su tarea de identificar a los autores se habrían beneficiado de la asistencia de un gran número de investigadores, abogados, analistas militares y expertos forenses.",1
"688","En la 5059a sesión del Consejo de Seguridad, celebrada el 19 de octubre de 2004, en relación con el examen por el Consejo del tema titulado ""Amenaza a la paz y la seguridad internacionales causadas por actos terroristas"", el Presidente del Consejo de Seguridad formuló la siguiente declaración en nombre del Consejo:",0
"689","Teniendo presente la responsabilidad primordial que le incumbe en virtud de la Carta de las Naciones Unidas de mantener la paz y la seguridad internacionales, y subrayando la importancia de adoptar medidas encaminadas a la prevención y solución de conflictos,",1
"690","La decisión de la UE de iniciar negociaciones para un acuerdo de estabilización y asociación representa un hito a este respecto.",0
"691","18. La situación en los territorios árabes ocupados.",0
"692","Para hacer frente a las causas del fracaso económico se necesitan proyectos permanentes basados en sólidos principios comerciales y económicos, en particular habida cuenta de la ubicación estratégica distintiva de la región en el continente africano y del hecho de que cuenta con enormes recursos naturales.",0
"693","Además, el Comité determinó que la lista de artículos, materiales, equipo, bienes y tecnología relacionados con los programas de misiles balísticos que figuraba en el anexo del informe anterior del Comité (S/2014/253) sustituye a la lista anterior (véase S/2012/947) y estará sujeta a las medidas impuestas por el Consejo de Seguridad en los apartados a), b) y c) del párrafo 8 de la resolución 1718 (2006).",0
"694","2. Carta de fecha 22 de noviembre de 2006 dirigida al Presidente del Consejo de Seguridad por el Secretario General (S/2006/920)",0
"695","En los últimos años se han establecido mecanismos regionales de cooperación en materia de aplicación de la ley, incluida la alerta temprana y la cooperación en materia de inteligencia, que han mejorado sustancialmente el nivel de cooperación regional.",1
"696","En última instancia, se consideró que la reunión era una medida concreta que contribuiría a un diálogo más fluido y eficaz entre el Consejo de Seguridad y la sociedad civil.",0
"697","9. Pide al Secretario General que asigne al Grupo de Supervisión establecido en virtud del apartado a) del párrafo 4 de la resolución 1363 (2001), cuyo mandato expira el 19 de enero de 2002, la tarea de supervisar, por un período de 12 meses, la aplicación de las medidas a que se hace referencia en el párrafo 2 de la presente resolución;",1
"698","Además, cuatro Estados han promulgado leyes que tipifican como delito la provisión de refugio a los terroristas y a quienes los apoyan por personas u organizaciones.",1
"699","Las excavaciones se producirán en el segundo semestre de 2013.",0
"700","En situaciones de conflicto armado, con arreglo al derecho internacional humanitario, la responsabilidad primordial de proteger y satisfacer las necesidades de los civiles recae en la parte bajo cuyo control se encuentran.",1
"701","163. Se ha presentado a la Comisión un informe coherente y completo sobre las conclusiones y los resultados de la investigación del lugar del crimen.",1
"702","El DAE y los demás documentos mencionados están sellados por el sello del inspector.",0
"703","También capacitó al personal del Banco Central en la lucha contra el blanqueo de dinero y la lucha contra la financiación del terrorismo.",1
"704","140. El 14 de diciembre de 2004 se iniciaron en Nyamena, con la mediación del Chad, conversaciones entre el Gobierno del Sudán y una delegación del Movimiento Nacional de Democracia y Democracia, y el 17 de diciembre las partes firmaron dos protocolos, uno sobre el acceso humanitario y otro sobre cuestiones de seguridad en la zona de guerra.",1
"705","6. Decide, a fin de ayudar al Comité en el cumplimiento de su mandato, establecer por un período de 18 meses un Equipo de Apoyo Analítico y Vigilancia de las Sanciones con sede en Nueva York (en adelante ""el Equipo de Vigilancia"") bajo la dirección del Comité y con las responsabilidades enumeradas en el anexo de la presente resolución;",1
"706","Por supuesto, el primer recurso a la remisión del Consejo de Seguridad en virtud del Estatuto de Roma (resolución 1593 (2005)), que dio lugar a la emisión de órdenes de detención contra dos sospechosos, se debió a la recomendación de que la Comisión Internacional de Investigación sobre Darfur remitiera al Consejo de Seguridad.",1
"707","Los conflictos tienen causas profundas complejas que entrañan múltiples factores, entre ellos las diferencias políticas, la distribución desigual de los recursos económicos y los enfrentamientos tribales, la posibilidad de que el conflicto se repita y su propagación, y el logro de la paz seguirá requiriendo los esfuerzos incansables de todas las partes.",0
"708","Por último, la amplia diversidad institucional, cultural, étnica y espiritual de varias de las sociedades que actualmente experimentan ese cambio histórico y profundo puede dar lugar a tensiones y preocupaciones concretas en materia de seguridad.",0
"709","Todavía no se han proporcionado servicios de aduanas generales.",0
"710","Decisión No 1481 del Consejo de Ministros de la República de Belarús, de 24 de octubre de 2002, sobre el programa estatal de plaguicidas para 2003-2006 y años subsiguientes.",0
"711","Los informes indican que la intensidad de los ataques y las atrocidades cometidas en cualquier aldea han extendido tanto el temor que las poblaciones de las aldeas circundantes que escaparon de esos ataques también huyeron a zonas de relativa seguridad.",0
"712","Trevi s.p.a (Trevi Coliseum s.p.a)",0
"713","El 5 de diciembre de 2011, el Consejo de Seguridad aprobó la resolución 2023 (2011), por la que se ampliaban las medidas restrictivas relativas a Eritrea en las esferas de los ""impuestos sobre la diaspora"", el sector minero eritreo y los servicios financieros.",1
"714","Australia, Dinamarca, los Estados Unidos, Francia, Noruega, Nueva Zelandia, los Países Bajos y el Reino Unido tienen departamentos, dependencias o territorios de ultramar, cada uno de los cuales tiene un grado diferente de autonomía y capacidad para determinar su propio marco legislativo de lucha contra el terrorismo.",1
"715","A pesar de esta decisión, la destrucción continúa.",0
"716","Indemnización por pérdida o agotamiento de los recursos naturales",0
"717","a) Inspeccionó todas las instalaciones del emplazamiento y tomó muestras de agua del mismo;",0
"718","100. Se ha establecido un programa de votantes con necesidades especiales para que las categorías especiales de votantes, incluidas las que se encuentran en el país de origen por temor, los hospitalizados, los discapacitados mentales, los ancianos y los reclusos, puedan inscribirse y votar simultáneamente.",1
"719","Lo que suceda con estos combatientes dependerá de lo que experimenten durante su estancia en la República Árabe Siria, pero los conflictos pasados en los que participaron voluntarios extranjeros con afiliados a Al-Qaida han demostrado tener un efecto duradero en el panorama de la amenaza local e internacional.",0
"720","Sin embargo, observamos que sin un sector resiliente de la justicia y la seguridad, la creciente paz y estabilidad en el país podrían verse amenazadas.",0
"721","El equipo, integrado por nueve inspectores, salió del Hotel Canal de Bagdad a las 14.30 horas y llegó al Instituto Tecnológico de Bagdad, en el distrito de Za'faraniyah.",0
"722","El Consejo de Seguridad invita a todos los Estados, a la Organización Marítima Internacional, a la Organización Internacional del Trabajo y a otras organizaciones y organismos internacionales pertinentes a que adopten o recomienden, según proceda, medidas para prevenir los secuestros, medidas para proteger el interés y el bienestar de los marinos que son víctimas de piratas, tanto durante su cautiverio mediante la prestación de asistencia médica y humanitaria de otra índole, como después de su puesta en libertad, incluida su atención posterior al incidente y su reintegración en la sociedad, y a este respecto toma nota de las propuestas de un programa de apoyo a los rehenes elaboradas por las Naciones Unidas - UNPOS y la UNODC.",1
"723","Párrafos adicionales (párrafos 2, 6 y 7)",0
"724","La defensa civil, los bomberos y los vehículos de la Cruz Roja se apresuraron hacia la zona y tomaron medidas para apagar el fuego, recoger los cadáveres y llevar a los heridos al hospital.",1
"725","Acogiendo con beneplácito los progresos realizados por los Gobiernos del Iraq y Kuwait en la solución de las cuestiones pendientes entre ambos países, y alentando su mayor cooperación, el Consejo de Seguridad exhorta al Iraq a que cumpla rápidamente las obligaciones que le incumben en virtud de las resoluciones pertinentes del Consejo de Seguridad en virtud del Capítulo VII relativas a la situación entre el Iraq y Kuwait,",1
"726","o El 7 de noviembre de 2014, las fuerzas del régimen bombardearon cerca de la mezquita Tayba al-Qadim en Damasco Rural, hiriendo a 14 civiles que salían de la mezquita después de las oraciones del viernes.",0
"727","b) Fortalecer la facilitación de la asistencia técnica destinada a aumentar la capacidad de los Estados Miembros en la lucha contra el terrorismo y velar por que su prestación se ajuste a las necesidades de los países;",1
"728","14. La situación en Sierra Leona (27 de noviembre de 1995; 26 de marzo de 2014).",0
"729","El 11 de noviembre, por 14 votos a favor y 1 abstención, el Consejo aprobó la resolución 2183 (2014), en la que prorrogó el mandato de la fuerza multinacional de estabilización en Bosnia y Herzegovina (EUFOR Althea) por otros 12 meses.",1
"730","Más de 720.000 pasajeros han utilizado las líneas de autobuses entre entidades patrocinadas por el ACNUR desde principios de 1998.",0
"731","Los vehículos fueron entregados a Rai Los junto con 31 uniformes de la PNTL de la URP el 23 de mayo. El 24 de mayo, Rai Los y sus hombres, vestidos con esos uniformes de la URP, participaron en el ataque contra los soldados de las F-FDTL que patrullaban.",0
"732","n) Coordinar y cooperar con el coordinador nacional de la lucha contra el terrorismo u otro órgano de coordinación similar en el país de visita, cuando proceda;",1
"733","La reunión fue en gran medida una sesión de preguntas y respuestas, la troika que respondió a las intervenciones de los miembros del Grupo de Trabajo.",0
"734","El criterio para medir el éxito de un tribunal híbrido debe ser su legado para las personas más afectadas por los crímenes, en este caso en Sierra Leona.",1
"735","El control fronterizo requiere el establecimiento de medidas y prácticas para el control adecuado de los viajeros, los refugiados y los solicitantes de asilo, el control e inspección efectivos de la carga y el equipaje de los viajeros, y la detección y prevención del contrabando de armas pequeñas y armas ligeras, así como del efectivo y los instrumentos negociables al portador.",1
