"","en_ar_TRANSFORMERS","VerConf"
"366","بيد أن عدم التدخل بنشاط لاستعادة الاستقرار في ذلك البلد يهدد بالفعل فعالية المجتمع الدولي بالإضافة إلى تقدير مبالغ هائلة من الموارد.",1
"367","ويعتقد الفريق أن الحظر يمكن أن يكون له أثر أكبر على هذا التهديد وغيره من التهديدات ذات الأولوية العالية، مثل استخدام منظومات الدفاع الجوي المحمولة، إذا ما تم ربطه بشكل أوثق بنظم أخرى لمكافحة الانتشار وتحديد الأسلحة.",1
"368","هاء - مواءمة الموارد مع الأولويات",0
"369","ونحث جميع الأطراف على التصرف بضبط النفس وتجنب الأعمال الاستفزازية أو التصريحات الاستفزازية التي قد تؤدي إلى مزيد من العنف.",1
"370","إن الانزلاق ذهابا وإيابا عبر هذه الحدود هو عدد مهاجرين من المقاتلين الشباب - المحاربين الإقليميين - الذين ينظرون إلى الحرب على أنها أساسا فرصة اقتصادية.",0
"371","أصدر مصرف تنزانيا تعميما إداريا رقم 8 بشأن مكافحة غسل الأموال في 30 حزيران/يونيه 2000.",0
"372","أعيش في الطابق الثالث مع عائلتي",0
"373",":: تولي اللجنة أهمية كبيرة للتنسيق مع الخبراء من الهيئات الفرعية الأخرى التابعة لمجلس الأمن والمعنية بمكافحة الإرهاب في التحضير للزيارات وتبسيط عملية الإبلاغ.",0
"374","وفي 20 آذار/مارس 2008، بلغ مجموع المبالغ المستحقة للمرافق الطبية 648 88 دولارا.",0
"375","ويمكننا أن نواصل بذكر الفقر الواسع الانتشار، والمشاكل في إدارة الموارد الطبيعية، وآلاف اللاجئين والمشردين داخليا، وآلاف أخرى من المقاتلين السابقين الذين ينتظرون إعادة الإدماج، والقطاعات الأمنية الضعيفة وغير المعدلة، والانتهاكات الجسيمة لحقوق الإنسان، والعديد من التهديدات الأخرى التي يمكن أن تؤجج صراعا جديدا.",1
"376",")ج( التكاليف الآجلة",0
"377","وإذ تؤكد من جديد إدانتها القاطعة لجميع أعمال الإرهاب وأساليبه وممارساته بوصفها أعمالا إجرامية لا يمكن تبريرها، بصرف النظر عن دوافعها، بجميع أشكالها ومظاهرها، أينما ارتكبت وأيا كان مرتكبوها،",1
"378","ويعتزم المجلس أن يواصل بقوة مكافحة الإفلات من العقاب بالوسائل المناسبة، ويوجه الانتباه إلى المجموعة الكاملة من آليات العدالة والمصالحة التي يتعين النظر فيها، بما في ذلك المحاكم الجنائية الوطنية والدولية و ”المختلطة“ ولجان تقصي الحقائق والمصالحة.",0
"379","ويمكن أن يكون إصدار المجلس مؤخرا لمرسوم ديني يدين المخدرات والأنشطة الأخرى ذات الصلة مفيدا في الثني عن زراعة خشخاش الأفيون.",1
"380","واستؤنفت المواجهات بكثافة أقل في صباح اليوم التالي.",0
"381","(أ) الرزيقات ضد الفور (العرب - الأفارقة)؛",0
"382","وبموجب القرار 1425 (2002)، أنشأ المجلس فريق الخبراء المعني بالصومال، الذي خلفه فريق الرصد المنشأ بموجب القرار 1519 (2003).",0
"383",":: التعاون الوثيق مع الهيئات الفرعية الأخرى ذات الصلة التابعة للمجلس، ولا سيما لجنتا مجلس الأمن المنشأتان عملا بالقرارين 1267 (1999) و 1540 (2004)، ومع خبرائها، بما في ذلك بشأن تبادل المعلومات والزيارات والمساعدة التقنية، حسب الاقتضاء.",0
"384","ويرى وفدي أنه من أجل منع اندلاع العنف وعدم الاستقرار من جديد في شمال كوسوفو، يظل من الضروري أن تقترن عملية المصالحة بسياسات تهدف إلى ضمان الاستقرار الاجتماعي - الاقتصادي للطوائف بطريقة غير تمييزية.",1
"385","وفي بعض الحالات، مُنع المشردون من الوصول إلى ماشيتهم ومحاصيلهم القريبة بسبب التهديد بشن هجمات خارج المخيمات من قبل الجنجويد.",1
"386","وعلى الرغم من كل ما ذكر أعلاه، ما زلنا نعتقد أنه لا يوجد حل عسكري - بل على العكس من ذلك، نحن واثقون من أنه يأتي بنتائج عكسية.",1
"387","وكان ابتكاره هو نقل الهدف من البلدان الإسلامية إلى الغرب، ولا سيما الولايات المتحدة الأمريكية؛ وبوصف إرهابه بأنه صراع بين الإسلام وأعدائه، تمكن من الجمع بين عدة مجموعات متنوعة ومتنافسة في كثير من الأحيان تحت راية واحدة.",1
"388","ولا توجد لدى معظم الدول تشريعات محلية للاجئين، ولم تصدق على اتفاقية اللاجئين لعام 1951 سوى ثلاث دول.",0
"389",":: ثانياً، اعتماد نظام روما الأساسي لم يغير ذلك تغييراً جذرياً ولكنه عززه",0
"390","وأحث حماس على الاستجابة لتلك المناشدات.",1
"391","144 - وفي حين تدرك اللجنة أن رئيس قوات الدفاع يواجه نزهة جماعية للأفراد وضرورة الحفاظ على انضباط القوة، فإنها تلاحظ وجود تباينات كبيرة بين الإجراء الذي اتخذه والإجراءات التي يقتضيها القانون، وأعلن رئيس قوات الدفاع في 16 آذار/مارس أن الملتمسين سيعتبرون مدنيين اعتبارا من 1 آذار/مارس، وأن المشورة القانونية قد طلبتها قوات الدفاع من المستشار القانوني لمجلس الوزراء المعين دوليا، ولم يكن هناك مستشار قانوني داخل القوات المسلحة أو الوزارة.",1
"392","وإذ يساورهم القلق إزاء غياب حركات مسلحة رئيسية حتى الآن عن المفاوضات، فقد حثوا على مواصلة العمل مع الحكومة والحركات غير الموقعة من أجل زيادة شمولية عملية السلام.",0
"393","في 10 تشرين الثاني/نوفمبر، استمع المجلس في مشاورات مغلقة إلى إحاطة قدمها نائب الممثل الدائم للكسمبرغ لدى الأمم المتحدة، أوليفييه مايس، باسم رئيس لجنة مجلس الأمن المنشأة عملا بالقرار 1718 (2006) بشأن جمهورية كوريا الشعبية الديمقراطية، عن أعمال اللجنة في الفترة من 5 آب/أغسطس إلى 9 تشرين الثاني/نوفمبر، وقُدمت الإحاطة وفقا للفقرة 12 (ز) من القرار 1718 (2006).",0
"394","ومع ذلك، فإنها لا تُحتفظ بها إلا طالما كانت المنطقة قيد الدخول.",0
"395","وأبلغ الممثل الخاص كوبلر المجلس بعدة هجمات شنها تحالف القوى الديمقراطية في الفترة بين 5 و 18 تشرين الأول/أكتوبر، وتسببت في مقتل أكثر من 40 مدنيا ومئات من المشردين داخليا بالقرب من بلدة بيني، في الجزء الشرقي من جمهورية الكونغو الديمقراطية.",0
"396","عودة السيد بن بوتو إلى باكستان",0
"397","وفي ذلك الوقت، عاد مئات الآلاف من ألبان كوسوفو إلى كوسوفو وبدأوا في إعادة بناء حياتهم، وفر معظم صرب كوسوفو من ديارهم، وكوسوفو مجتمع ينعم بمعاناة ودمار واسعين لجميع الطوائف، واقتصاده خرب.",0
"398","ويجادل المشترون بأن السعر المرجعي ليس تنافسياً ومن شأنه أن يضر بهم لأنه لا يعكس الأسعار الدولية.",0
"399","وكان هناك اتفاق على أنه ينبغي تعزيز بعثة منظمة الأمم المتحدة في جمهورية الكونغو الديمقراطية من أجل بلوغ القوام الذي كُلفت به في أقرب وقت ممكن لتمكينها من الاضطلاع بالمهام الموكلة إليها على نحو فعال.",0
"400","وفي إيتوري، تم فصل 004 2 أطفال، بمن فيهم 193 فتاة؛ وفي شمال كيفو، تم فصل 439 4 طفلا، منهم 13 فتاة؛ وفي كيفو الجنوبية، تم فصل 470 طفلا، بمن فيهم 53 فتاة.",0
"401","إن رفض أذربيجان الدخول في مفاوضات مباشرة مع الممثلين المنتخبين لناغورني كاراباخ هو أحد العوائق الرئيسية أمام حل الصراع الذي أشار إليه ممثل أذربيجان.",1
"402","بلغاريا (قانون التصديق 18 لعام 1984)",0
"403","(أ) الامتناع عن تقديم أي شكل من أشكال الدعم، الصريح أو الضمني، إلى الكيانات أو الأشخاص الضالعين في الأعمال الإرهابية، بما في ذلك عن طريق وضع حد لتجنيد أعضاء الجماعات الإرهابية ومنع تزويد الإرهابيين بالسلاح؛",1
"404","68 - وحتى 16 تشرين الثاني/نوفمبر، طرد 902 8 بورونديا من جمهورية تنزانيا المتحدة في عام 2007.",0
"405","الحالة في قبرص (16 تموز/يوليه 1974؛ 13 حزيران/يونيه 2008)",0
"406","(ص) تجميع التدابير وتقييمها ورصدها وتقديم تقارير بشأنها وتقديم توصيات بشأنها، بما في ذلك تنفيذ التدبير الوارد في الفقرة 1 (أ) من هذا القرار فيما يتعلق بمنع إساءة استعمال الإنترنت لأغراض إجرامية من جانب تنظيم القاعدة وغيره من الأفراد والجماعات والمؤسسات والكيانات المرتبطة به من أفراد وجماعات وكيانات؛ وإجراء دراسات إفرادية، حسب الاقتضاء؛ والتعمق في بحث أي مسائل أخرى ذات صلة حسب توجيهات اللجنة؛",0
"407","وفي الوقت نفسه، توسعت حركة المقاومة السرية في جميع أنحاء البلد وأعيدت حركة شعبية، وفي 30 آب/أغسطس 1999، صوت 78 في المائة من السكان التيموريين لصالح التحرر من الإدارة الإندونيسية في المشاورة الشعبية التي ترعاها الأمم المتحدة.",0
"408","ونحن نتصدى لتلك التحديات بطريقة ديمقراطية وفعالة.",0
"409","ولم يطرأ حتى الآن أي تحسن على الإصلاح الإداري على الصعيد الوطني.",1
"410","وعُزز موقع فريق بير لحلو بمراقبين عسكريين إضافيين من موقع فريق تيفاريتي وظل على اتصال وثيق بجبهة البوليساريو.",0
"411","(أ) لأي مواطن مالطي أو مقيم بصفة دائمة في مالطة؛",0
"412","وتطالب مصر مرة أخرى بالوقف الفوري للهجمات الإسرائيلية على غزة.",1
"413","وعوضاً عن ذلك، وصفت الحالة التي كان الفريق المعني بالمطالبات من الفئة ""هاء-2"" يعالجها على النحو التالي:",0
"414","وقد عدلت عمليات السلام التابعة للأمم المتحدة موقفها وفقا لذلك، وأظهرت اتجاها متزايدا نحو ”الانزلاق إلى الأسفل والهبوط“، مما يحد من قدرة الأفراد النظاميين والموظفين المدنيين على السواء على التعامل مع السكان المحليين، وكسب القلوب والعقول، والوساطة في المنازعات المحلية، وجمع المعلومات - والعمل الحاسم لتنفيذ اتفاقات السلام والجهود الرامية إلى حل الصراع.",1
"415","وقد جرّمت عدة دول التجنيد بغرض ارتكاب أعمال إرهابية.",1
"416","ولدى تقييم ذلك التقدم، من المهم أن ندرك بالضبط إلى أي مدى وصلت تيمور - ليشتي في السنوات القليلة القصيرة منذ استقلالها، ولكن من المهم بنفس القدر الاعتراف بالتحديات الكبيرة التي ما زال يتعين مواجهتها.",0
"417","وأخيرا، ينبغي أن نحذر من أنه ليس من مصلحة السلم والأمن الدوليين أن يستخدم المجتمع الدولي، بما في ذلك مجلس الأمن، محنة الشعوب العربية في السعي إلى تحقيق المصالح الذاتية وتنفيذ تغيير النظام.",1
"418","وتدعو منظمة التعاون الإسلامي إلى إنهاء الاحتلال العسكري الإسرائيلي للأرض الفلسطينية، بما فيها القدس الشرقية، والأعمال غير القانونية التي تقوم بها السلطة القائمة بالاحتلال والتي أودت بحياة الآلاف من المدنيين، وألحقت دمارا شاملا وفاقمت المعاناة الاجتماعية والاقتصادية والإنسانية للشعب الفلسطيني في انتهاك للقانون الدولي، بما في ذلك القانون الإنساني وقانون حقوق الإنسان.",1
"419","وهنا أيضا، تلقينا ردودا يبدو أنها تبرر شواغلنا.",0
"420","27- عانت القوات المسلحة التيمورية من رد فعل عام واسع النطاق، لا سيما من منظمات المحاربين القدماء التي نشأت في عام 2001.",1
"421","وإذ يعرب عن القلق إزاء استمرار التهديدات التي يشكلها النقل غير المشروع للأسلحة الصغيرة والأسلحة الخفيفة وتكديسها وإساءة استعمالها على نحو يزعزع الاستقرار إلى سلامة وأمن حفظة السلام التابعين للأمم المتحدة وفعاليتها في تنفيذ ولايات حفظ السلام...",1
"422","40 - وخلال الشهر ونصف الشهر الماضيين، بذلت السلطات الهايتية بعض المحاولات الأولية لمعالجة مسائل إقامة العدل والاحتجاز.",1
"423","65 - وتشكل محاكمة الأفراد المشتبه في ارتكابهم أعمال القرصنة ومعاقبة القراصنة المدانين وفقا لقرارات مجلس الأمن ذات الصلة رادعا أساسيا للقراصنة المحتملين، مما يدل على أنهم لا يستطيعون الإفلات من العقاب.",1
"424","وفي عام 1974، ظهرت مجموعة أصغر سناً وأفضل تعليماً، بلغت تدريجياً أعلى المناصب في جميع مجالات المنظمة.",0
"425","ويؤكد مجلس الأمن من جديد مبدأ عدم الإعادة القسرية للاجئين، على النحو المنصوص عليه في صكوك القانون الدولي ذات الصلة، ويرحب بالجهود التي بذلتها مؤخرا البلدان المجاورة [الدولة المتضررة] لدعم العودة الطوعية للاجئين بأمان وكرامة، ويحث تلك الدول المضيفة على مواصلة توفير الحماية الدولية لـ [هؤلاء] اللاجئين المحتاجين إليها، ويشجع المجتمع الدولي على تقديم المساعدة اللازمة في هذا الصدد.",0
"426","32 - ويبين المدعي العام في الفقرة 67 من رأيه خمسة أسباب لعدم تطبيق استعراض البحث في هذا السياق: (أ) الطابع الوقائي لتدابير الجزاءات المفروضة على تنظيم القاعدة؛ (ب) السياق الدولي للعمل المطعون فيه؛ (ج) ضرورة الموازنة بين متطلبات مكافحة الإرهاب ومتطلبات حماية الحقوق الأساسية؛ (د) الطابع السياسي للتقييمات التي أجرتها اللجنة المنشأة عملا بالقرار 1267؛ (هـ) التحسينات التي أدخلت على إجراءات الرفع من القائمة داخل اللجنة المنشأة عملا بالقرار 1267 في السنوات الأخيرة، ولا سيما منذ صدور قرار قاضي الصادر عن محكمة العدل في عام 2008.",1
"427","يقرر أن تقوم جميع الدول الأعضاء دون إبطاء بتجميد جميع الأموال والأصول المالية والموارد الاقتصادية الأخرى الموجودة في أراضيها، والتي يملكها أو يتحكم فيها، بصورة مباشرة أو غير مباشرة، الأفراد أو الكيانات المدرجة أسماؤهم في [مرفق القرار الذي يفرض الجزاءات] أو [تحددهم لجنة الجزاءات والتي تشارك أو تتآمر في الأمر بارتكاب انتهاكات جسيمة لحقوق الإنسان ضد أشخاص في [الدولة المتضررة] أو السيطرة عليها أو توجيهها بأي شكل آخر، بما في ذلك عن طريق الاشتراك أو التواطؤ في التخطيط أو القيادة أو الأمر أو القيام بهجمات، انتهاكا للقانون الدولي، بما في ذلك القصف الجوي، على السكان المدنيين والمرافق المدنية؛ أو من جانب أفراد أو كيانات يعملون باسمهم أو من جانب أفراد وكيانات يعملون لحسابهم أو باسمهم أو بتوجيه منهم أو بتوجيه منهم، ويقرر كذلك أن تكفل جميع الدول الأعضاء منع إتاحة أي أموال أو أصول مالية أو موارد اقتصادية من جانب رعاياها أو أي أفراد أو كيانات داخل أراضيها، للأفراد أو الكيانات الواردة أسماؤهم في [مرفق القرار الذي يفرض الجزاءات] أو الأفراد الذين تحدد اللجنة أسماءهم، أو لفائدتهم.",0
"428","ويعرّض هذا النقص قدرة هيئة تنمية الحراجة على العمل، لا سيما خارج مونروفيا، للخطر الشديد.",0
"429","ولا يزال وفدي يشعر بالقلق إزاء استمرار تدهور الحالة الأمنية في العراق.",1
"430","ولم تضع دولة واحدة استراتيجية لمكافحة الإرهاب ولا الهياكل التنظيمية اللازمة.",1
"431","ومنذ ذلك الحين تضاعف عددهم إلى 16، بالإضافة إلى مستشارها الخاص، ويجري تعيين المزيد من المراقبين ومتطوعي الأمم المتحدة.",0
"432","وباختصار، فإن الاغتصاب هو أي اعتداء بدني ذي طابع جنسي يرتكب دون موافقة الضحية، أي بالقوة أو الإكراه، مثل ما ينجم عن الخوف من العنف أو الإكراه أو الاحتجاز أو استغلال بيئة قسرية.",0
"433","428 - وطلبت اللجنة مرارا إلى الحكومة أن تقدم معلومات عن الإجراءات القضائية المتخذة لتقديم مرتكبي الجرائم المزعومة المرتكبة في دارفور إلى العدالة.",1
"434","ولم يتمكن التقييم من دراسة أثر عملية إعادة هيكلة القوات المسلحة لجمهورية الكونغو الديمقراطية، التي لا تزال مستمرة.",0
"435","ويشدد على دور الهيئة العليا لوسائط الإعلام، واللجنة الدولية للشخصيات البارزة، واللجنة الدولية لدعم المرحلة الانتقالية، في التشجيع على سير العملية الانتخابية بسلاسة وعلى تهيئة مناخ سياسي هادئ، ويؤكد من جديد دعمه لها.",0
"436","وفي مشاورات أجراها المجلس بكامل هيئته، أعرب أعضاء المجلس عن قلقهم إزاء استمرار تدهور الحالة الإنسانية وأدانوا انتهاكات القانون الإنساني الدولي من جانب جميع أطراف النزاع السوري.",1
"437","ووقعت عمليات اختطاف في 29 مقاطعة من المقاطعات الـ 32، ولا سيما في أنتيوكيا وبوغوتا وكالداس وكازاناري وكونديناماركا وفالي ديل كاوكا وفيشادا.",0
"438","وتُلتمس هذه الأسلحة لأنها مدمجة وتوفر للإرهابيين القدرة على الهجوم بأمان من بعيد وتسبب أضرارا حقيقية.",0
"439","وسيتعين على اللجنة، بدورها، أن تواصل تعزيز الشعور على نطاق أوسع بملكية نظام الجزاءات وأن تكفل تقديم دعم حقيقي للجهود الوطنية التي تبذلها الدول التي تسعى إلى التصدي للتهديد الذي يشكله تنظيم القاعدة وحركة الطالبان.",1
"440","2 - الحالة في الشرق الأوسط",0
"441","وأُعدم معظم الذين أُخذوا.",0
"442","35 - وتواصلت خلال الفترة المشمولة بالتقرير الحوادث الأمنية المتصلة بالقيود المفروضة على حركة البعثة في جنوب السودان.",0
"443","ومع ذلك، لا يزال الأطفال مرتبطين بالجيش الماوي ولم يحرز أي تقدم في تأمين الإفراج الرسمي عنهم؛ ولا يزال الأطفال يقتلون ويجرحون في المظاهرات السياسية وبالأجهزة المتفجرة التي تركت وراءها خلال الصراع.",0
"444","لقد أدانت الهجوم الإرهابي على السفارة الهندية في كابول.",1
"445","وأُعلن عن خلو كلا البلدين من انتقال فيروس إيبولا في 17 و20 تشرين الأول/أكتوبر على التوالي.",0
"446","وقُدم التقرير إلى لجنة مجلس الأمن المنشأة عملا بالقرار 1267 (1999) بشأن تنظيم القاعدة وحركة الطالبان وما يرتبط بهما من أفراد وكيانات في 22 شباط/فبراير 2011 وفقا لقرار مجلس الأمن 1904 (2009)، وتنظر فيه اللجنة حاليا.",0
"447","ومع ذلك، لا تزال هناك إمكانية لانهيار كامل للقانون والنظام، بالإضافة إلى انهيار الاقتصاد الهش وتفكك مؤسسات الحكم الذاتي الفلسطيني.",1
"448","ويجب على الولايات المتحدة أن تتخلى عن الاستخفاف والإهمال المتعمدين اللذين كانت تمارسهما منذ ما يقرب من سبع سنوات وأدىا إلى تدهور الحالة في المنطقة.",1
"449","ويجب رفع الحصار فورا حتى يتسنى للسكان المدنيين في غزة الحصول على المياه والعمل والتجارة والعلاج الطبي والتعليم - أساسا، على احتياجاتهم الأساسية.",1
"450","ويساورنا القلق أيضا إزاء تزايد حالات الإصابة بالكوليرا، على الرغم من أن معدل الوفيات يتناقص ببطء على ما يبدو.",1
"451","وأُعلن عن عمل اللجنة بعد أربعة أشهر من وقوع الجريمة الفعلية، مما يعني أن مرتكبي الجريمة وشركائهم لديهم متسع من الوقت لتدمير الأدلة و/أو التواطأ فيما بينهم، وأن القدرة على استدعاء الشهود المحتملين قد تقلصت، وأنه لا يمكن إلغاء الإغفالات السابقة وفقدان الأدلة وتدميرها عمدا أو عن غير قصد.",0
"452","واتفق المشاركون على أن وجود تنظيم القاعدة في شبه الجزيرة العربية في اليمن يشكل تحديا رئيسيا أمام الانتقال السلمي، وشددوا على ضرورة تقديم دعم دولي محدد الأهداف إلى اليمن لمكافحة الإرهاب.",1
"453","وعلاوة على ذلك، فإن الأثر السلبي واضح أيضا خارج حدودها وليس فقط في القارة الأفريقية.",0
"454","""يؤيد مجلس الأمن المضي قدما، بما في ذلك من جانب كيانات الأمم المتحدة ذات الصلة، بمجموعة المؤشرات الواردة في تقرير الأمين العام (S/2010/498) لاستخدامها كإطار أولي لتتبع تنفيذ قراره 1325 في حالات النزاع المسلح وما بعد انتهاء النزاع وغيرها من الحالات ذات الصلة بتنفيذ القرار 1325، حسب الاقتضاء، ومع مراعاة خصوصية كل بلد.",0
"455","ونلاحظ أن منظمات المجتمع المدني قد أعربت عن قلقها الشديد في هذا الصدد.",1
"456","مكان وتاريخ الميلاد: السوسة، 1990",0
"457","وتدين فرنسا بشدة تلك الهجمات وتدعو جميع الأطراف إلى ممارسة أقصى درجات ضبط النفس.",1
"458","(ج) يدمر المنشآت العامة أو نظم النقل أو الاتصالات السلكية واللاسلكية، بما في ذلك نظم المعلومات، أو المنصات الثابتة في الجرف القاري، أو منشآت الإمداد بالكهرباء، أو منشآت الإمداد بالمياه، أو المرافق الطبية أو أي مرافق هامة أخرى، أو الأماكن العامة أو الممتلكات، أو يتسبب في إلحاق أضرار جسيمة بها، بهدف تعريض الأرواح البشرية للخطر، أو سلامة منشأة أو نظام أو مكان، أو تعريض الممتلكات لخطر إلحاق أضرار جسيمة،",0
"459","55 - المسألة الهندية الباكستانية (6 كانون الثاني/يناير 1948؛ 5 تشرين الثاني/نوفمبر 1965).",0
"460","27- ذكرت اللجنة المعنية بالحقوق الاقتصادية والاجتماعية والثقافية في عدة مناسبات أن عمليات الإخلاء القسري تتعارض ظاهرياً مع متطلبات العهد الخاص بالحقوق الاقتصادية والاجتماعية والثقافية.",1
"461","(أ) تقييم تطور المخاطر والتهديدات؛",1
"462","(أ) دليل الإقامة الدائمة الأسترالية؛",0
"463","وفي إندونيسيا، يبدو أن الجماعة الإسلامية قد ابتعدت عن الأجهزة المتفجرة المرتجلة الكبيرة المحمولة على مركبات، والمؤلفة من متفجرات تجارية أو مرتجلة (كلور البوتاسيوم، ومسحوق الكبريت والألومنيوم بالاقتران مع محفز مثل TNT) على النحو المستخدم في تفجير بالي الأول في تشرين الأول/أكتوبر 2002، نحو نهج أكثر استهدافا يحمل فيه الأفراد قنابل أصغر حجما إلى المنطقة المستهدفة، كما لوحظ في هجمات بالي الثانية في تشرين الأول/أكتوبر 2005.",0
"464","واعتمدت قوة الاتحاد الأوروبي موقفاً ""بعيداً عن الأنظار ولكن ليس على الأفق""، وهي مستعدة للتدخل إذا تدهورت الحالة، ووضعت خطط طوارئ لنشر القوات الاحتياطية، إذا لزم الأمر.",0
"465","وبالتالي، فإنني أحثكم على العمل من أجل تطبيق الفصل السابع من ميثاق الأمم المتحدة وفقا لاتفاق الجزائر الذي باركه توقيعكم منذ أن ظلت إثيوبيا ولا تزال تحافظ على موقفها المتعنت منذ ما يقرب من عامين.",0
"466","وأشاروا على وجه الخصوص إلى أن القانون المعدل للجنة الانتخابية المستقلة لا ينص على تمثيل القوات الجديدة في أجهزتها المحلية، كما أنه لم يثبت أسبقية اللجنة الانتخابية المستقلة على المعهد الوطني للإحصاء في العملية الانتخابية.",1
"467","169 - وتثبت الأدلة المعروضة على اللجنة أن رئيس الوزراء الكتيري كان على علم بادعاءات نقل أسلحة إلى المدنيين بحلول 21 أيار/مايو على الأقل.",1
"468","قرار مجلس الأمن 1820 (2008)، الفقرة 8 من الديباجة 8",0
"469","وأوصت اللجنة الوطنية بإنشاء لجان تحقيق قضائية معنية بالادعاءات التالية: حالات الإعدام خارج نطاق القضاء؛ وقيام المجموعات العربية بالاستيلاء على قريتين من قبيلة الفور في منطقة كاس؛ وحوادث قتل وحرق بعض الجرحى في مستشفيات قرى بورام ومليت وكيليب.",0
"470","(د) تنفيذ حظر السفر (الفرع الرابع من التوجيهات)",0
"471","ويعرب المجلس أيضا عن قلقه إزاء استمرار ورود تقارير عن هجمات جيش الرب للمقاومة في جمهورية أفريقيا الوسطى، حتى غرب بانغاسو، وكذلك في جمهورية الكونغو الديمقراطية.",0
"472","وقد بدأت خدمة نقل الركاب مرتين في الأسبوع من قبرص إلى بيروت.",0
"473","وإذ يقرر أن الحالة في المنطقة لا تزال تشكل تهديدا للسلام والأمن الدوليين،",1
"474","وحتى تاريخ نهاية هذا التقرير، كان قد تم تدمير ما مجموعه 37 في المائة من النفايات السائلة من الـ DF، التي سلمتها MV Cape Ray في 30 و 31 آب/أغسطس 2014.",0
"475","وقد تكبدت لجنة الأمم المتحدة للرصد والتحقق والتفتيش حوالي 11 مليون دولار من النفقات الإدارية في عام 2006، وحدث انخفاض قدره 20.7 مليون دولار مقارنة بمبلغ 31.7 مليون دولار في عام 2005.",0
"476","20- وفي إندونيسيا، جرت محاكمة العديد من المشاركين في هجمات سابقة بنجاح، وفي السنوات الأخيرة، كُسِر التنفيذ المشترك على يد جماعات مثل فريق المساعدة التقنية المشترك وفريق المجاهدين الإندونيسيين تيمور (غير المدرجين في القائمة)، بقيادة عضو سابق في التنفيذ المشترك وفريق المساعدة المشترك.",0
"477","والواقع أن أذربيجان نفسها تنتهك تلك القرارات، التي تحث الأطراف المعنية على مواصلة المفاوضات في إطار مجموعة مينسك التابعة لمنظمة الأمن والتعاون في أوروبا، وكذلك من خلال الاتصالات المختلفة فيما بينها.",1
"478","وتدل إضافة هذه الأسماء كذلك على استمرار قلق اللجنة إزاء الخطر الذي تشكله حركة طالبان على السلم والأمن الدوليين.",1
"479","ومما لا شك فيه أن جميع هذه التدابير قد أسهمت في زيادة الوعي، وتطوير فهم مشترك، والتصدي لخطر التحريض والتهديد به.",0
"480","كما بيّنت الكيفية التي يمكن بها تصور الخطر بطريقة مختلفة، حتى من جانب الجيران.",1
"481","ولما كان منع الإرهابيين من تنفيذ هجماتهم أمرا حيويا، فمن الواضح أن الإرهاب لا يمكن أن تهزمه التدابير الأمنية وحدها، وأن العديد من أعضاء المجتمع الدولي يتطلعون إلى مجلس الأمن لاتخاذ تدابير تحد من الوسائل التي ينشر بها تنظيم القاعدة رسالته، فضلا عن تعزيز البرامج التي تهدف إلى تقويضه.",1
"482","ويساورني القلق بوجه خاص إزاء عدم الاستقرار الذي يمكن أن ينشأ إذا استمرت الأوضاع السياسية والاجتماعية - الاقتصادية في التدهور.",1
"483","23 - ظلت الحالة الأمنية في معظم أنحاء البلد هشة ولكنها ظلت مستقرة عموما، ولم يبلغ عن سوى عدد قليل من الحوادث.",0
"484","وهناك زخم على نطاق الحكومة لمعالجة بعض أكثر القضايا الاجتماعية - الاقتصادية رسوخا في البلد: البطالة، والهياكل الأساسية المتداعية، والفساد، والفقر، وتكاليف الحكم غير المتناسب.",0
"485","1 - يعرب عن تصميمه على اتخاذ الخطوات المناسبة لمواصلة تطوير التعاون بين الأمم المتحدة والمنظمات الإقليمية ودون الإقليمية في مجال صون السلام والأمن الدوليين، بما يتسق مع الفصل الثامن من ميثاق الأمم المتحدة، ويدعو المنظمات الإقليمية ودون الإقليمية القادرة على منع نشوب الصراعات أو حفظ السلام إلى وضع تلك القدرات في إطار نظام الأمم المتحدة للترتيبات الاحتياطية؛",0
"486","إن الخطر الذي يشكله الإرهابيون والمجرمون والمتورطون في تجارة المخدرات غير المشروعة على أمن أفغانستان واستقرارها خطر حقيقي ويلزم التصدي له باستمرار.",1
"487","ويعوق الأداء الحالي لدائرة الشرطة، والشرطة الوطنية، وقوة الدفاع، والقوات المسلحة التيمورية، على وجه الخصوص، افتقار واضح للشرعية الناشئة عن طريقة إنشائها.",0
"488","وإذ يقرر أن الحالة في الصومال لا تزال تشكل تهديدا للسلام والأمن الدوليين في المنطقة،",1
"489","وفي 5 تشرين الثاني/نوفمبر 2014، استهدفت قوات النظام مدرسة الهزمة الابتدائية في ريف دمشق، مما أدى إلى إصابة طفل بجروح.",0
"490","وأشجع السلطات الكونغولية على محاسبة جميع المسؤولين عن عمليات الاغتصاب والنهب الجماعية في واليكالي في تموز/يوليه وآب/أغسطس 2010.",1
"491","' 1` الإفراط في الاستثمارات في رؤوس الأموال الآجلة؛",0
"492","المقرر عقدها يوم الخميس، 7 تموز/يوليه 2005، الساعة 50/12",0
"493","19 - يدين بأشد العبارات جميع أشكال العنف الجنسي وغيره من أشكال العنف المرتكبة ضد المدنيين في الصراعات المسلحة، ولا سيما النساء والأطفال، ويتعهد بأن يكفل قيام جميع عمليات دعم السلام باستخدام جميع التدابير الممكنة لمنع هذا العنف والتصدي لأثره أينما وقع؛",1
