"","en_ar_TRANSFORMERS","VerCoop"
"139","والقسط المعطى لتوافق الآراء يغرس بالضرورة المواقف التعاونية.",0
"140","تاريخ الميلاد: 27 كانون الثاني/يناير 1959",0
"141",":: دعوة مجلس الأمن إلى أن ينشئ، وفقا للاتحاد الأفريقي، قوة دولية لتحييد الجماعات المسلحة ودعم المصالحة الوطنية وبناء مؤسسات ديمقراطية ومستقرة في ليبيا",1
"142","ويمثل قرار الاتحاد الأوروبي ببدء مفاوضات مع صربيا والجبل الأسود للتوصل إلى اتفاق لتحقيق الاستقرار والانتساب معلما في هذا الصدد.",1
"143","وزير الداخلية بالنيابة",0
"144","وإذ يعرب عن تصميمه على تيسير تنفيذ الالتزامات المتعلقة بمكافحة الإرهاب وفقا لقرارات مجلس الأمن المتخذة في هذا الصدد،",1
"145","11 - يوعز إلى اللجنة أن تتعاون مع لجان مجلس الأمن الأخرى ذات الصلة المعنية ولجنة الجزاءات التابعة لمجلس الأمن، ولا سيما اللجنة المنشأة عملا بالقرار 1988 (2011)؛",1
"146","وفي هذا الصدد، سيقوم فريق متعدد التخصصات تابع للأمم المتحدة قريبا بزيارة أوغندا وجمهورية أفريقيا الوسطى وجمهورية الكونغو الديمقراطية والسودان لتقييم خطر جيش الرب للمقاومة وتقديم توصيات لتعزيز وتحسين تنسيق جهود الأمم المتحدة للمساعدة في التصدي لمشكلة جيش الرب للمقاومة في المنطقة دون الإقليمية.",1
"147","ونقلت العملية المختلطة 000 25 نسخة من الوثيقة، طبعها الطرفان، من الخرطوم إلى نيالا والفاشر والجنينة وزالنجي والدعين لتوزيعها في جميع أنحاء الولايات الثلاث.",0
"148","”ويكرر مجلس الأمن تأكيد إدانته الشديدة بنفس القدر لجميع انتهاكات القانون الدولي الساري التي تنطوي على تجنيد الأطفال واستخدامهم من جانب أطراف النزاع المسلح، فضلا عن إعادة تجنيدهم وقتلهم وتشويههم، واغتصابهم وغير ذلك من أشكال العنف الجنسي، واختطافهم، وشن هجمات على المدارس أو المستشفيات، ومنع وصول المساعدة الإنسانية من جانب أطراف النزاع المسلح.",0
"149","50 - والموقع الشبكي للجنة أداة لا غنى عنها من أدوات الشفافية لإذكاء الوعي العام بالمسائل ذات الصلة بالقرار 1540 (2004).",1
"150","”ويقر مجلس الأمن بالعمل الهام الذي تقوم به كيانات الأمم المتحدة وغيرها من المنظمات المتعددة الأطراف في دعم الجهود الرامية إلى منع وقمع تمويل الإرهاب والمنظمات الإرهابية، ولا سيما فرقة العمل للإجراءات المالية، وفريق مكافحة غسل الأموال لشرق أفريقيا والجنوب الأفريقي، وفريق العمل الحكومي الدولي لمكافحة غسل الأموال في غرب أفريقيا، وفرقة العمل المعنية بالإجراءات المالية في الشرق الأوسط وشمال أفريقيا لتعزيز القدرات والتعاون.",1
"151","(ج) تكون للجنة سلطة تحديد مكان وطرائق إجراء المقابلات مع المسؤولين السوريين والأفراد السوريين الذين ترى اللجنة أن لهم صلة بالتحقيق؛",1
"152","4 - وطوال فترة ولايته، أبقى فريق الرصد لجنة مجلس الأمن المنشأة عملا بالقرار 751 (1992) على علم بأنشطتها عن طريق تقديم تقارير مرحلية كل أسبوعين عن طريق الأمانة العامة للأمم المتحدة وتقديم إحاطة منتصف المدة في مقر الأمم المتحدة بنيويورك في تموز/يوليه 2005.",1
"153","ويجب أن يصبح احترام حقوق الآخر - بما في ذلك المعارضين السياسيين - الاختبار الرئيسي لجميع الذين يطمحون إلى قيادة البلد نحو الاستقرار والوحدة والازدهار.",1
"154","ولا تزال أوغندا تشعر بالقلق إزاء الحالة الإنسانية في دارفور.",0
"155","وينبغي للمجتمع الدولي - بما في ذلك من خلال رعاية الأمم المتحدة - أن يستخدم النفوذ الدبلوماسي وأن يوفر المساعدة التقنية في مجالات من قبيل الإصلاحات السياسية والأمنية وإصلاحات قطاع العدالة، وصياغة دساتير وأطر قانونية جديدة، والمؤسسات الانتخابية، وإجراء الانتخابات، في جملة أمور.",0
"156","وهذا نتيجة ثانوية للمساومة السياسية التي جرت في مؤتمر المصالحة الوطنية في الصومال والتي استندت إلى حد كبير إلى سلطة قادة الميليشيات ورابطات عشائرهم.",1
"157","وقامت أربع دول بتجريم تجنيد الإرهابيين تجريما كافيا، في حين قامت بقية الدول بذلك جزئيا، أو لم تفعل ذلك على الإطلاق.",1
"158","ووقعت أيضا هجمات في عامي 2001 و 2002، ولكن حجم الهجمات وشدتها واتساقها ازداد بشكل ملحوظ في أوائل عام 2003.",0
"159","وكما يتبين من هذا الإدراج الجزئي، فإن الاتجاه نحو زيادة لجوء المجتمع الدولي إلى لجان التحقيق وبعثات تقصي الحقائق في سياق جهود المساءلة اتجاه واضح.",1
"160","”ويرحب مجلس الأمن ترحيبا حارا بقرار الأمين العام جعل عمل الأمم المتحدة من أجل تعزيز سيادة القانون والعدالة الانتقالية في مجتمعات الصراع ومجتمعات ما بعد الصراع أولوية لما تبقى من فترة ولايته.",1
"161","صادرات النفط، أسعار فوب",0
"162",""" يشير مجلس الأمن إلى قراراته وبيانات رئيسه بشأن بناء السلام بعد انتهاء النزاع، ولا سيما S/PRST/2009/23 و S/PRST/2010/20 و S/PRST/2011/2 و S/PRST/2011/4، ويؤكد من جديد الأهمية الحاسمة لبناء السلام بوصفه أساسا للسلام والتنمية المستدامين في أعقاب النزاع.",1
"163","ولدى بعثات غيانا في الخارج حاليا ترتيب ورقي يستند إلى تقديم القائمة واسترشاد المكاتب القنصلية بالقائمة الموحدة.",0
"164","35 - تقترح المديرية التنفيذية إدخال ثلاثة تعديلات طفيفة على ممارساتها التنظيمية والتنفيذية لتعكس على نحو أفضل أولوياتها المتغيرة وأنشطتها الجديدة المقترحة.",1
"165","5 - وخلال المشاورات غير الرسمية المعقودة في 5 أيار/مايو، اجتمعت اللجنة مع فريق الخبراء المنشأ حديثا.",1
"166","3 - تهيب بجميع الدول أن تواصل بذل الجهود على الصعيد الدولي من أجل تعزيز الحوار وتوسيع نطاق التفاهم بين الحضارات، في محاولة منها لمنع الاستهداف العشوائي لمختلف الأديان والثقافات، وأن تتخذ جميع التدابير، حسب الاقتضاء وحسب الاقتضاء ووفقا لالتزاماتها بموجب القانون الدولي، للتصدي للتحريض على ارتكاب الأعمال الإرهابية بدافع التطرف والتعصب ولمنع الإرهابيين وأنصارهم من تخريب المؤسسات التعليمية والثقافية والدينية؛",1
"167","وينص اتفاق كانون الأول/ديسمبر أيضا على الإفراج المبكر عن أسرى الحرب وسائر الأشخاص المحتجزين نتيجة للنزاع المسلح وإعادتهم إلى أوطانهم.",0
"168","25 - وإدراكا من الفريق للحاجة الخاصة إلى تنسيق عمله مع المديرية التنفيذية للجنة مكافحة الإرهاب وغيرها من الهيئات ذات الصلة في المجالات التي قد تشعر فيها الدول بثقل كاهلها من جراء طلبات الحصول على معلومات من مجلس الأمن، وضع استراتيجية مشتركة مع المديرية التنفيذية والخبراء الذين يدعمون اللجنة المنشأة عملا بالقرار 1540 (2004) لمعالجة المشاكل التي تواجهها الدول التي لم تقدم بعد التقارير المطلوبة من اللجان الثلاث.",1
"169","ويرحب مجلس الأمن باختتام عملية التسجيل السلمي لاستفتاء جنوب السودان في السودان، ويشجع الطرفين على مواصلة هذا الزخم من أجل إجراء استفتاءات سلمية وذات مصداقية في 9 كانون الثاني/يناير 2011 تعكس إرادة الشعب.",1
"170","المملكة العربية السعودية 533-706 90",0
"171","41 - عدم الانتشار (29 آذار/مارس 2006؛ 12 حزيران/يونيه 2012).",0
"172","(أ) المدفوعات أو الإعانات المقدمة للغير",0
"173",""" ويؤيد مجلس الأمن بقوة الجهود الرامية إلى تعزيز الحوار الوطني والمصالحة والمشاركة السياسية الواسعة النطاق لضمان الوحدة والسلام والأمن والاستقرار في العراق.",1
"174","”ويؤكد مجلس الأمن من جديد أن الإرهاب بجميع أشكاله ومظاهره يشكل أحد أخطر التهديدات للسلام والأمن، وأن أي أعمال إرهابية هي أعمال إجرامية لا يمكن تبريرها، بصرف النظر عن دوافعها ووقت ارتكابها وأيا كان مرتكبوها.",1
"175","وقد صُمِّم الدليل ليكون مصدرا للمعلومات عن أفضل الممارسات والقوانين النموذجية وبرامج المساعدة المتاحة ذات الصلة بمكافحة الإرهاب.",1
"176","كفالة استمرار الحوار مع البلدان المساهمة بقوات وبأفراد شرطة بشأن زيادة مساهمة المرأة في الوحدات الوطنية، بوسائل منها تنظيم اجتماعات لاستعراض أفضل الممارسات لتعزيز التوازن بين الجنسين وتعميم مراعاة المنظور الجنساني في عمل الأفراد النظاميين في عمليات حفظ السلام.",1
"177","حاء - وزارة التعليم 286-331 64",0
"178","ألف - جعل مكتب أمين المظالم مكتبا دائما",0
"179","وأهيب بالجهات المانحة أن تساهم بسخاء في أنشطة إزالة الألغام التي تضطلع بها منظمة العمل من أجل إزالة الألغام الأرضية، وهي أنشطة أساسية لتوفير بيئة آمنة للسكان المحليين ولأفراد الأمم المتحدة العسكريين والمدنيين في الصحراء الغربية.",1
"180","139 - التوصيات ذات الأولوية هي: (أ) تشجيع اتخاذ خطوات لتحسين القدرة على القيام دون تأخير بتجميد الأموال والأصول المرتبطة بالإرهاب في معظم الدول، وحماية قطاعها غير الربحي من إساءة استعمال تمويل الإرهاب؛",1
"181","وردت الشرطة على النيران قبل أن تعود بسرعة إلى مقر الشرطة الوطنية.",0
"182","في جلسة مجلس الأمن 5059، المعقودة في 19 تشرين الأول/أكتوبر 2004، أدلى رئيس مجلس الأمن باسم المجلس بالبيان التالي فيما يتصل بنظر المجلس في البند المعنون ""تهديد السلم والأمن الدوليين الناجمين عن الأعمال الإرهابية"":",1
"183","وقد رفعت مؤسسة الحرمين (الولايات المتحدة الأمريكية) (QE.A.117.04) دعوى جديدة ضد الحكومة في محكمة المقاطعة الاتحادية في أوريغون، بالإضافة إلى دعوى سابقة لم يبت فيها بعد في الولايات المتحدة. وتزعم مؤسسة الحرمين أن قرار الولايات المتحدة بفرض جزاءات عليها كان تعسفياً وغير مدعوماً بأدلة مادية، كما انتهك حقوقها في الإجراءات القانونية الواجبة (بفشلها في شرح الأساس الوقائعي لعمل الحكومة وبالاعتماد على أدلة سرية لم تقدم إلى المنظمة)، وحقها في مكافحة التفتيش والمصادرة غير المعقولين (استناداً إلى تجميد أصولها)، وحقوقها في حرية التعبير وتكوين الجمعيات وحرية ممارسة شعائرها الدينية. كما تزعم مؤسسة الحرمين أن رفض الحكومة السماح لها باستخدام الأصول المجمدة لدفع أتعاب محاميها ينتهك حقوقها في الإجراءات القانونية الواجبة.",0
"184","29 - وأُحرز تقدم ملحوظ في الإطار التشريعي والسياساتي الشامل لقطاع الأمن، ولا سيما مع إصدار رئيس الجمهورية في 21 نيسان/أبريل قوانين الأمن الوطني والدفاع الوطني والأمن الداخلي.",1
"185","وهذا يعني أنها مكلفة بإثبات الحقائق المتعلقة بالانتهاكات المحتملة للقانون الدولي لحقوق الإنسان والقانون الإنساني الدولي المرتكبة في دارفور.",1
"186","- القرار رقم 10/2006/QD-BNN المؤرخ 10 شباط/فبراير 2006 الذي ينظم إجراءات تسجيل إنتاج العقاقير البيطرية واستيرادها وتداولها والمواد اللازمة لإنتاج العقاقير البيطرية والمنتجات البيولوجية والكائنات المجهرية والمواد الكيميائية المستخدمة في الطب البيطري؛",0
"187","وقد وقع السودان على البروتوكول الاختياري لاتفاقية حقوق الطفل المتعلق بإشراك الأطفال في النزاعات المسلحة، ولكنه لم يصدق عليه بعد.",1
"188","وأكد المجلس أن إصلاح قطاعي الدفاع والأمن، ومكافحة الإفلات من العقاب، ومكافحة الاتجار غير المشروع بالمخدرات، لا تزال قطاعات ذات أولوية لتوطيد السلام في غينيا - بيساو، وحث القوات المسلحة لغينيا - بيساو على احترام سيادة المدنيين ومراقبتهم.",1
"189","وأعلنت إيران أن مستوى إثراء منتج سادس فلوريد اليورانيوم يبلغ 19.89 في المائة.",0
"190","وفي البيان، أعرب الرئيس عباس أيضا عن تأييده الكامل للتدابير التي اتخذتها حكومة لبنان في الأسابيع الأخيرة لحظر حمل الأسلحة خارج مخيمات اللاجئين الفلسطينيين، ووقف عمليات النقل غير المشروعة للأسلحة والأشخاص، وتأكيد احتكارها لاستخدام القوة وممارسة سيطرتها على جميع أراضيها.",1
"191","2 - الحالة بين إريتريا وإثيوبيا",0
"192","15 - ظلت الحالة الأمنية في إيتوري متوترة طوال الفترة المشمولة بالتقرير، حيث واصلت بقايا الميليشيات ارتكاب انتهاكات لحقوق الإنسان ضد السكان المحليين في المناطق التي لا توجد فيها بعثة منظمة الأمم المتحدة في جمهورية الكونغو الديمقراطية أو القوات المسلحة لجمهورية الكونغو الديمقراطية.",0
"193","وإذ ترحب بدور الاتحاد الأفريقي في الجهود الرامية إلى تسوية الصراعات في القارة الأفريقية، وإذ تعرب عن تأييدها لمبادرات السلام التي يضطلع بها الاتحاد الأفريقي، ومن خلال المنظمات دون الإقليمية،",1
"194","تاريخ الميلاد: 20 كانون الثاني/يناير 1955",0
"195","وكما يدرك أعضاء مجلس الأمن، تدهورت الحالة فيما يتعلق ببعثة الأمم المتحدة في إثيوبيا وإريتريا تدهورا خطيرا.",0
"196","”ويؤكد مجلس الأمن من جديد قلقه إزاء الحالة المثيرة للجزع في منطقة الساحل والتزامه بالتصدي للتحديات الأمنية والسياسية المعقدة في هذه المنطقة التي ترتبط بالقضايا الإنسانية والإنمائية، فضلا عن الآثار السلبية للمناخ والتغيرات الإيكولوجية.",1
"197","' 5` من أجل مساعدة الحكومة في تنفيذ برنامجها وتوطيد وتعزيز آليات المتابعة القائمة، يُنشأ فريق عامل دولي على المستوى الوزاري يجتمع مرة كل شهر في كوت ديفوار لتقييم ورصد ومتابعة عملية السلام، بما في ذلك خريطة الطريق المتفق عليها في بريتوريا وأي اتفاقات لاحقة أخرى، وذلك بتحديد درجة تعاون الأطراف وغيرها من الجهات الفاعلة المعنية، واحترامها للالتزامات المتعهد بها، وعند الاقتضاء، أي موقف من شأنه أن يعوق النجاح في اختتام عملية السلام والمصالحة في كوت ديفوار، وتقديم التوصيات المناسبة إلى مجلس السلام والأمن التابع للاتحاد الأفريقي وإلى مجلس الأمن التابع للأمم المتحدة.",0
"198","65 - وفي أواخر عام 2007، بدأت الإدارة الإقليمية في جوهر (شبيلي الوسطى) عملية تسريح على نطاق صغير.",0
"199","ويشجع مجلس الأمن، في هذا الصدد، جميع دول المنطقة على التوقيع على مدونة قواعد السلوك وتنفيذها في أقرب وقت ممكن، ويدعوها إلى اتخاذ مزيد من التدابير الفعالة على الصعيد الوطني لمكافحة القرصنة والسطو المسلح في البحر في خليج غينيا.",1
"200","2 - يشير في هذا الصدد إلى أن الصحفيين والعاملين في وسائط الإعلام والأفراد المرتبطين بها العاملين في بعثات مهنية خطرة في مناطق النزاع المسلح يعتبرون مدنيين ويجب احترامهم وحمايتهم بصفتهم هذه، شريطة ألا يقوموا بأي عمل يضر بمركزهم كمدنيين، وذلك دون المساس بحق مراسلي الحرب المعتمدين لدى القوات المسلحة في مركز أسرى الحرب المنصوص عليه في المادة 4 - ألف - 4 من اتفاقية جنيف الثالثة؛",0
"201",":: استكشاف الكيفية التي يمكن بها إدراج أهداف بناء السلام والاحتياجات المحددة للبلدان الخارجة من النزاع في إطار ما بعد عام 2015.",1
"202","النظر في إحالة حالات تنطوي على إبادة جماعية أو جرائم ضد الإنسانية أو جرائم حرب إلى المحكمة الجنائية الدولية.",0
"203","”ويذكِّر مجلس الأمن الدول بأنه يجب عليها أن تكفل امتثال أي تدابير تتخذها لمكافحة الإرهاب لجميع التزاماتها بموجب القانون الدولي، ولا سيما القانون الدولي لحقوق الإنسان والقانون الدولي للاجئين والقانون الإنساني الدولي.",1
"204","3 - يعرب عن قلقه الشديد إزاء تجنيد الأطفال واستخدامهم من جانب القوات [المضادة للحكومة] في [البلد المتضرر]، فضلا عن قتل الأطفال وتشويههم نتيجة للنزاع، ويكرر إدانته الشديدة لتجنيد الأطفال الجنود واستخدامهم في انتهاك للقانون الدولي الساري وجميع الانتهاكات والاعتداءات الأخرى المرتكبة ضد الأطفال في حالات الصراع المسلح، ولا سيما الهجمات على المدارس، واستخدام الأطفال في الهجمات الانتحارية، ويدعو إلى تقديم المسؤولين عنها إلى العدالة.",0
"205","لقد تحرك اتحاد المحاكم الإسلامية لملء الفراغ الذي تركه التحالف",0
"206","21 - وبالنظر إلى الشواغل المذكورة أعلاه واستمرار وجود الميليشيات وأنشطتها في لبنان، فإن تحسين إدارة ومراقبة الحدود البرية للبنان أمر بالغ الأهمية لمنع التدفق غير المشروع للأسلحة إلى الجماعات المسلحة.",0
"207","- تنظم المواد من 533 إلى 540 شروط التسليم.",0
"208","إن القيادة الجورجية ملتزمة التزاما راسخا بالتوصل إلى تسوية سلمية للصراع الدائر على أراضيها، تزن بين الشمول والتكامل العرقيين، وتصون حقوق الإنسان وحرياته.",1
"209","وإذا حاول السكان مغادرة الغوطة الشرقية المحاصرة، فإن قناصة النظام السوري يستهدفونهم مباشرة، مما يؤدي كل شهر إلى عشرات القتلى من المدنيين.",0
"210","وعلى وجه الخصوص، ينبغي إيلاء الاعتبار لتوسيع نطاق الإعلان عن الوظائف عن طريق استهداف الرابطات المهنية وتعديل المتطلبات اللغوية للوظائف.",1
"211","(ذ) التشاور مع ممثلي المنظمات الدولية المعنيين، بما في ذلك الاتحاد الدولي للنقل الجوي، ومنظمة الطيران المدني الدولي، ومنظمة الجمارك العالمية، من أجل إذكاء الوعي بحظر السفر وحظر توريد الأسلحة وتعزيز الامتثال لهما؛",1
"212","”ويؤكد مجلس الأمن من جديد ضرورة مكافحة الإرهاب بجميع أشكاله، وأنه لا يمكن لأي عمل إرهابي أن يعكس مسار السلام والديمقراطية وإعادة الإعمار في العراق، الذي يدعمه شعبه وحكومته والمجتمع الدولي.",1
"213","ويرحب مجلس الأمن، في هذا الصدد، بالاجتماع الافتتاحي لفرقة العمل المشتركة بين الأمم المتحدة والاتحاد الأفريقي المعنية بالسلام والأمن، المعقود في 25 أيلول/سبتمبر 2010، ويشجع فرقة العمل على التركيز على المسائل الاستراتيجية والخاصة ببلدان محددة في القارة التي تهم المنظمتين.",1
"214","(س) التعاون الوثيق مع هيئات الأمم المتحدة المعنية بمكافحة الإرهاب في تقديم معلومات عن التدابير التي اتخذتها الدول الأعضاء بشأن الاختطاف وأخذ الرهائن من أجل فدية من جانب تنظيم القاعدة وغيره من الأفراد والجماعات والمؤسسات والكيانات المرتبطة به، وعن الاتجاهات والتطورات ذات الصلة في هذا المجال؛",0
"215","ومن شأن نقطة الاستعلام هذه أن تكمل مكاتب المساعدة الوطنية التي سبق للفريق أن أوصى الدول الأعضاء بإنشائها (S/2007/132، الفقرات 61-64، و S/2007/677، الفقرة 138).",0
"216","وفي هذا السياق، أشير أيضا إلى أن الرئيس عباس أشار إلى طلب السلطة الفلسطينية إنشاء بعثة دبلوماسية فلسطينية في بيروت، من شأنها أن تسهم في إضفاء الطابع الرسمي على العلاقات بين الشعبين اللبناني والفلسطيني.",0
"217","إنشاء آليات للمساءلة القضائية وغير القضائية في البلدان الخارجة من صراعات، بما في ذلك، حسب الاقتضاء، فيما يتعلق بالجرائم المرتكبة ضد المرأة؛ ودعم إنشاء فريق من القضاة أو المفوضين في المحاكم أو لجان التحقيق يكون متوازناً جنسانياً.",0
"218","وبغية تيسير النظر على النحو الواجب، حسب الاقتضاء، في المسائل المتصلة بحماية المدنيين في مداولاته بشأن إنشاء عمليات حفظ السلام أو تغييرها أو إغلاقها، اقترح أعضاء المجلس صياغة مذكرة تتضمن قائمة بالمسائل ذات الصلة في هذا الصدد بالتعاون الوثيق مع المجلس.",1
"219","530- ولإجراء أي مناقشة لمرتكبي الجرائم تكون مفهومة، لا بد من وجود أداتين قانونيتين: فئات الجرائم التي قد يكونون مسؤولين عنها، وتعداد مختلف طرائق المشاركة في الجرائم الدولية التي يشتبه في أن مختلف الأشخاص يتحملون المسؤولية عنها.",1
"220","70 - وفي إطار الفريق العامل المعني بمعالجة تمويل الإرهاب التابع لفرقة العمل المعنية بالتنفيذ في مجال مكافحة الإرهاب ومبادرتها العالمية لحماية المنظمات غير الربحية من إساءة استعمال الإرهاب، نظمت المديرية حلقة عمل إقليمية للدول الأعضاء في شرق أفريقيا، عقدت في آذار/مارس 2012 في نيروبي، وناقشت حلقة العمل الممارسات الوطنية وحددت أوجه القصور في الرقابة على قطاع المنظمات غير الربحية فيما يتعلق بمخاطر محددة من مخاطر تمويل الإرهاب.",1
"221","وفي يوم الأحد الماضي، وبمناسبة الذكرى السنوية الحادية والعشرين لحماس، تحدى زعيم حماس هنية استمرار الرئيس عباس في منصبه ريثما يتم حل الانقسام الداخلي.",0
"222","وكما تعلمون، شهدت في 12 كانون الأول/ديسمبر 2000 توقيع الاتفاق بين حكومة دولة إريتريا وحكومة جمهورية إثيوبيا الديمقراطية الاتحادية، الذي جرى في الجزائر العاصمة في احتفال رسمي استضافه الرئيس عبد العزيز بوتفليقة.",0
"223","(ج) التشجيع على اعتماد ضوابط محلية أقوى على الأسلحة والمتفجرات.",1
"224","55 - وبالنظر إلى المسائل الحساسة التي يلزم معالجتها، كما هو مبين في برنامج عمل الحكومة، يجب أن تبدأ الأعمال التحضيرية لتلك الانتخابات في وقت مبكر.",0
"225","وتشير التقديرات إلى أن 000 1 شخص لا يزالون في مدينة حمص القديمة.",0
"226","يشرفني أن أحيل طيه المذكرة المفاهيمية المتعلقة بالإحاطة الإعلامية بشأن مكافحة الإرهاب، التي ستعقد في مجلس الأمن في 27 أيلول/سبتمبر 2010 (انظر المرفق).",1
"227","56 - يشجع الدول الأعضاء على أن تشير، عند فك تجميد أصول فرد متوفى أو كيان أُبلغ أو تأكد أنه لم يعد له وجود نتيجة لرفع اسمه من القائمة، إلى الالتزامات المنصوص عليها في القرار 1373 (2001)، وبخاصة منع استخدام الأصول غير المجمدة لأغراض إرهابية؛",1
"228","وبالنظر إلى عودة الجماعات الإرهابية، رأى أنه ينبغي أن تتوفر للبعثة المتكاملة جميع المعدات اللازمة للاضطلاع بولايتها وحماية سكان المنطقة الشمالية.",1
"229","مباحثات مع الحكومة ومع عملية كيمبرلي",0
"230","8 - وستولي اللجنة، بالتعاون الوثيق مع اللجنتين المنشأتين عملا بالقرارين 1267 (1999) و 1540 (2004)، ووفقا لولايتها، اهتماما خاصا للدول المتأخرة في تقديم المعلومات ذات الصلة إليها، وستناقش أفضل السبل لمعالجة هذه المسألة.",0
"231","وأدخل المستشفى في جنوب ميتروفيتشا.",0
"232","42 - وفيما يتعلق بحجة القانون الدولي، يرى الفريق أن أحد أسباب إنشاء فريق أو آلية استعراض أخرى هو مجرد السبق على القانون في هذا المجال، أو إنشاءه، بدلا من السماح للمحاكم الوطنية والإقليمية أو ممارسات الدول الأعضاء بالقيام بذلك.",1
"233","32 - يشجع الدول الأعضاء على أن تشير، عند فك تجميد أصول فرد متوفى أو كيان أُبلغ أو تأكد أنه لم يعد له وجود نتيجة لرفع اسمه من القائمة، إلى الالتزامات المنصوص عليها في القرار 1373 (2001)، وبخاصة منع استخدام الأصول غير المجمدة لأغراض إرهابية؛",1
"234","2 - الحالة في الشرق الأوسط (18 تموز/يوليه 1960؛ 16 كانون الأول/ديسمبر 2009).",0
"235","٢٠٥ - وتوصي اللجنة بالنظر في توسيع نطاق مجموعة المرشحين لهذه المناصب من أجل زيادة القدرة على توظيف أكثر الأشخاص تأهيلا إلى أقصى حد.",1
"236","رئيس المجلس التنفيذي لتجمع دول الساحل والصحراء",0
"237","وربما كانت العمليات الكبرى أقل مما كان يوده قادة القاعدة، ولكن اعتقال أو وفاة الإرهابيين المشتبه فيهم المرتبطين بتنظيم القاعدة في أكثر من 40 بلدا في جميع أنحاء العالم منذ أن قدم الفريق تقريره الأخير في تشرين الثاني/نوفمبر 2006 (S/2007/132)، يشير إلى حجم كبير من التخطيط الإرهابي.",0
"238","المقرر عقدها يوم الخميس، ٣٠ تموز/يوليه ١٩٩٨، الساعة ٣٥/١٣",0
"239",")ح( المصروفات التقديرية.",0
"240","96 - حققت المنطقة دون الإقليمية مستوى معقولا من التصديق على الصكوك الدولية لمكافحة الإرهاب.",0
"241","80 - أوصى الفريق في تقريره العاشر بأن تطلب اللجنة، من أجل زيادة دقة القائمة وأثر الإدراج في القائمة، عند الاتصال بدولة الإقامة في سياق الاستعراض، جميع المعلومات عن مكان وجود الطرف وظروفه ونشاطه، مشفوعة بملاحظة عن أي تدابير إضافية متخذة لمنع دعمه للإرهاب (S/2009/502، الفقرة 24).",1
"242","وسيكون الاهتمام بمبدأ عدم التمييز على أساس الأصل القومي أمراً هاماً في هذا الإسقاط لرؤية وطنية.",0
"243","واجتمعت البعثة المشتركة مع أصحاب المصلحة الوطنيين والدوليين، بمن فيهم ممثلو المجتمع المدني والزعماء التقليديون والدينيون وأحزاب المعارضة والجيش.",1
"244","وكرروا دعوتهم جميع الأطراف الأفغانية إلى العمل معا من أجل السلام وإقامة حكومة عريضة القاعدة ومتعددة الأعراق وممثلة تمثيلا كاملا.",1
"245","وإذ يهيب بالمجتمع الدولي، ولا سيما بلدان المنطقة وجيران العراق، أن يدعم الشعب العراقي في سعيه إلى تحقيق السلام والاستقرار والأمن والديمقراطية والازدهار، وإذ يرحب بالمؤتمرات الموسعة للجوار المعقودة في شرم الشيخ، اسطنبول، الكويت، وبدورها في دعم الجهود التي تبذلها حكومة العراق لتحقيق الأمن والاستقرار في العراق، والنتائج الإيجابية التي تحققها في مجال السلام والأمن على الصعيدين الإقليمي والدولي، وإذ يرحب أيضا بموافقة مؤتمر الجوار الموسع المعقود في الكويت في 22 نيسان/أبريل 2008 على اختصاصات آلية الدعم، وإذ يلاحظ أن تنفيذ هذا القرار بنجاح سيسهم في تحقيق الاستقرار الإقليمي،",1
"246","عندها فقط يمكن لهذا الملف أن يكون مغلقاً",0
"247","وينبغي أيضاً إلغاء الحصانات التي تُمنح حالياً لموظفين عموميين آخرين، مثل أفراد الشرطة، فيما يتعلق بانتهاكات حقوق الإنسان.",0
"248","وفي المشاورات المغلقة التي تلت ذلك، شدد أعضاء المجلس على أهمية بذل مزيد من الجهود الرامية إلى النهوض بإصلاح قطاع الأمن وإنشاء مؤسسات وطنية ديمقراطية وفعالة.",1
"249","وستستفيد هذه التوصيات من الدروس المستفادة من العمليات السابقة في هايتي، بما في ذلك الحاجة إلى اتباع نهج متوازن لتعزيز الشرطة والمؤسسات القضائية والإصلاحية بالتوازي.",1
"250","باسم لجنة مجلس الأمن المنشأة عملا بالقرار 1540 (2004)، ووفقا للفقرة 8 من قرار مجلس الأمن 1810 (2008)، أقدم طيه تقريرا عن نظر اللجنة في استعراض شامل لحالة تنفيذ القرار 1540 (2004) (انظر المرفق).",1
"251","المقرر عقدها يوم الاثنين 24 تشرين الثاني/نوفمبر 2014، الساعة 15:00",0
"252","وأجرى أيضا مناقشات مع محققين من المحكمة الخاصة لسيراليون وواصل الاجتماع مع فريق الخبراء المنشأ عملا بالقرار 1533 (2004) بشأن تدفق الأسلحة إلى جمهورية الكونغو الديمقراطية.",1
"253","ولا توجد نظم بديلة لتحويل العملات.",0
"254","(أ) وضع نهج أكثر تكاملا وآليات أكثر فعالية لضمان التعاون وتبادل المعلومات الاستخبارية على نحو قوي فيما بين وكالات مكافحة الإرهاب ذات الصلة، على الصعيدين الوطني والدولي؛",1
"255","ومنذ بدء نفاذ برنامج العمل المشترك، لم تقم إيران بتشغيل التسلسلين التعاقبيين 1 و 6 في تشكيلة مترابطة.",0
"256","ويشمل ذلك الحاجة إلى إتاحة المزيد من القدرات القضائية لتفادي تراكم القضايا بشكل متزايد داخل نظام العدالة.",0
