"","en_ar_DEEP","MatConf"
"769","إن القدرة على تجميد الأموال والأصول المرتبطة بالإرهاب غير كافية ومحدودة في أغلب الدول.",0
"770","""ويدين مجلس الأمن انتهاكات القانون الدولي لحقوق الإنسان والقانون الإنساني الدولي التي ارتكبها أفراد القوات المسلحة لجمهورية الكونغو الديمقراطية، بما في ذلك عمليات الاغتصاب الجماعي التي ارتكبت في مينوفا في 24 تشرين الثاني/نوفمبر 2012، ويهيب بحكومة جمهورية الكونغو الديمقراطية أن تقوم على وجه السرعة بإلقاء القبض على الأشخاص وتقديمهم إلى العدالة وتقديمهم إلى العدالة. ومحاسبة المسؤولين عن مثل هذه الانتهاكات، بغض النظر عن رتبهم العسكرية.",1
"771","المادة 11: تشكيل الغرف",0
"772","344. وصفت إحدى الشاهدات رعب الحبس في المنطقة التي حددها الخاطفون للنساء والأطفال في كيلك على النحو التالي:",1
"773","الرئاسة الرئيس: النائب لوك أبولينير دوندون كوناماباي",0
"774","215 - أصدرت جميع الدول تشريعات تنظم إنتاج وبيع ونقل الأسلحة والمتفجرات.",0
"775","وإذ يتصرف بموجب الفصل السابع من ميثاق الأمم المتحدة،",0
"776","وتعرض عمال الإغاثة الإنسانية للمضايقة والاعتداء بشكل متكرر أثناء حوادث اللصوصية.",1
"777","552 - يتضح من عرض الانتهاكات المبينة في الجزء الأول من هذا التقرير أن الانتهاكات الخطيرة لحقوق الإنسان والقانون الإنساني قد ارتكبت على نطاق واسع من قبل القوات الحكومية أو الميليشيات الخاضعة لسيطرة الحكومة.",1
"778","54 - وتشير الأدلة المتناقلة إلى أن الأموال المتأتية من دفع الفدية والاتجار بالمخدرات يتم نقلها عبر الحدود عن طريق حاملي الأموال النقدية.",1
"779","يعرب عن قلقه العميق إزاء تزايد الصراعات المحلية وزيادة الإجرام والعنف وتأثيرهما على المدنيين، ولا سيما إزاء الزيادة الحادة في الاشتباكات بين القبائل، ويدعو جميع الأطراف إلى وضع حد لهذه الاشتباكات بشكل عاجل والسعي إلى المصالحة والحوار. ..",1
"780","وكانت معدلات سوء التغذية في عام 2002 هي نصف ما كانت عليه في عام 1996.",0
"781","ويقال إن سكان هذه الأحياء تعرضوا للاعتداء والضرب على أيدي قوات الأمن.",1
"782","لا يمكن للبنك فتح حساب أو التعامل مع مثل هذا العميل الذي يصر على عدم الكشف عن هويته أو الذي يعطي اسمًا مزيفًا.",0
"783","34 - وخصص للرؤية المشتركة لأسرة الأمم المتحدة من أجل سيراليون ما يقرب من 10 ملايين دولار من صندوق ""توحيد الأداء"".",0
"784","وفي حالات قليلة للغاية، أفيد أيضًا بأن المتمردين ارتكبوا أعمال نهب خلال هجوم على إحدى القرى، ولا سيما في غرب دارفور.",1
"785","ويعتمد معنى البند إلى حد كبير على التفسير الذي سيعطى للعبارتين الواردتين في الفقرة: الأولى هي عبارة ""دون المساس"" والثانية ""التي سيتم تناولها من خلال الآليات العادية"".",0
"786","ورغم أن الحكومة أحرزت بعض التقدم وفق خطة العمل، ألا وهي نشر قوات الشرطة، إلا أنها لم تنفذ التزامها بالبقاء خارج المناطق الخاضعة لسيطرة الحركات المسلحة.",1
"787","o في 8 تشرين الثاني/نوفمبر 2014، استهدفت طائرات النظام الحربية المناطق المحيطة بمستشفى الشهيد وسيم حسيمو في إدلب، مما أدى إلى إلحاق أضرار بالمستشفى.",1
"788","وكانت أختي البالغة من العمر 8 سنوات معي أيضًا في ذلك اليوم وتعرضت أيضًا للاغتصاب ولكن لم تتعرض للضرب.",1
"789","ورغم أنه قد يكون من غير العملي أن يُسمح لجميع الوحدات بتنفيذ عمليات هجومية محددة الأهداف لتحييد الجماعات المسلحة، إلا أنه يلزم اتخاذ تدابير عاجلة لضمان مساهمة أكثر نشاطًا من جانب الألوية الإطارية في الأنشطة في سياق تحييد الجماعات المسلحة وحماية المدنيين. المدنيين.",1
"790","""ويقر مجلس الأمن بأن الإرهاب لن يُهزم بالقوة العسكرية وتدابير إنفاذ القانون والعمليات الاستخباراتية وحدها، ويشدد على ضرورة معالجة الظروف المؤدية إلى انتشار الإرهاب، بما في ذلك، على سبيل المثال لا الحصر، الحاجة إلى تعزيز الجهود الرامية إلى الوقاية الناجحة والحل السلمي للصراعات الطويلة الأمد، والحاجة إلى تعزيز سيادة القانون وحماية حقوق الإنسان والحريات الأساسية والحكم الرشيد والتسامح والشمول لتوفير بديل قابل للتطبيق لأولئك الذين قد يكونون عرضة للتجنيد الإرهابي والتطرف المؤدي إلى العنف.",0
"791","""ويقر مجلس الأمن بأهمية دور المساعي الحميدة التي يبذلها الأمين العام، ويشجع الأمين العام على مواصلة استخدام الوساطة كلما أمكن ذلك للمساعدة في حل النزاعات سلميا، والعمل بالتنسيق وبشكل وثيق مع المنظمات الإقليمية ودون الإقليمية ذات الصلة في هذا الصدد، حسب الاقتضاء.",0
"792","ووردت أنباء عن وقوع المزيد من حالات اغتصاب النساء خلال الهجمات التي وقعت حول مسكي وديسة وأم بارو في شمال دارفور؛ وأزوني، وكورنوي، ونيرتتي، ومكجر في غرب دارفور.",1
"793","وكما هو معروف فإن القرار اتخذ عام 1996 على خلفية المواجهة الحادة بين طرفي الصراع الجورجي الأبخازي والتي استمرت بعد الحرب الدموية في الفترة 1992-1993.",1
"794","ثالثا. تنفيذ اتفاق 20 يونيو 2011",0
"795","على سبيل المثال، بعد أشهر من الهجمات المستمرة على القرى في المنطقة، تجمع العديد من الأشخاص في دليج بعد فرارهم من قراهم.",1
"796","ووفقا للتقارير، لا يزال يتم انتهاك حظر الأسلحة الذي تفرضه الأمم المتحدة، كما زاد تدفق الأسلحة إلى البلاد.",1
"797","ويشار إلى الضمانات باسم ""سندات الأداء"" في إخطارات الخصم. ولم تقدم شركة IMP inženiring أي تفسير لطبيعة هذه المطالبة وكيفية ارتباط الضمانات بمشروع قصر السجود.",0
"798","ومن المثير للاهتمام ملاحظة أن بعض هذه الجماعات المسلحة ربما تحصل على أسلحتها من داخل جمهورية الكونغو الديمقراطية نفسها، كما أشار الأمين العام في تقريره التاسع عشر عن بعثة منظمة الأمم المتحدة في جمهورية الكونغو الديمقراطية (S/2005/603) إلى مجلس الأمن مجلس.",1
"799","ويغطي التقرير التطورات منذ تقريري السابق عن بعثة الأمم المتحدة في جمهورية أفريقيا الوسطى وتشاد، المؤرخ 30 تموز/يوليه 2010 (S/2010/409)، بشأن الوضع الأمني ​​والإنساني في شرق تشاد وشمال شرق جمهورية أفريقيا الوسطى؛ التقدم المحرز نحو إنجاز المهام والمعايير المنصوص عليها في الفقرتين 2 و 3 من قرار مجلس الأمن 1923 (2010)؛ وتنفيذ ولاية بعثة الأمم المتحدة في جمهورية أفريقيا الوسطى وتشاد، بما في ذلك الاستعدادات لانسحابها.",0
"800","وكانت الانتهاكات من قبيل الهجمات المتعمدة على المدنيين، والهجمات العشوائية على المدنيين والأهداف المدنية، أو الهجمات على القرى التي تختبئ أو تؤوي المتمردين، والتي تسببت في ضرر غير متناسب للمدنيين، أو عمليات الإعدام الجماعية، فضلا عن التهجير القسري للمدنيين من منازلهم، واسعة النطاق ومنهجية وتصل إلى حد الجرائم ضد الإنسانية.",1
"801","26 - وبالإضافة إلى تقاريره عن رحلاته، قدم الفريق نحو 15 ورقة استجابة لطلبات اللجنة. وقد غطت هذه القضايا مثل استراتيجيات تقديم التقارير الخاصة بالدول الأعضاء؛ الأفراد المدرجون في القائمة الذين يُعتقد أنهم ماتوا؛ الاستثناءات من حظر السفر؛ التعاون مع الإنتربول؛ الإعفاءات الإنسانية؛ الحالات المحتملة لعدم الامتثال؛ آراء القطاع المالي الخاص تجاه نظام العقوبات؛ القائمة المرجعية؛ العمل مع المنظمات الدولية والإقليمية؛ استخدام الإنترنت لأغراض إرهابية؛ وجدول تجارب الدول الأعضاء في تنفيذ العقوبات.",0
"802","ومع ذلك، على أرض الواقع، فإن الوضع معقد ومثير للقلق، وخاصة بالنسبة لمجتمعات الأقليات.",1
"803","ومن شأن محاكمة الأشخاص الذين يُزعم أنهم مسؤولون عن ارتكاب أخطر الجرائم في دارفور أمام المحكمة الجنائية الدولية أن يسهم في استعادة السلام في المنطقة.",1
"804","وكما يظهر من ضميمة هذه الرسالة، كانت قوات النظام وحشية بشكل خاص في مدينة الرقة، حيث استغلت غطاء الضربات الجوية التي قادتها الولايات المتحدة على داعش لذبح المدنيين الأبرياء على نطاق غير مسبوق.",1
"805","توجد قوانين لتنظيم المنظمات الخيرية والمنظمات غير الربحية، ولكن لم تقم جميع الدول بمراجعة أطرها القانونية لمنع إساءة استخدام القطاع غير الربحي لغرض تمويل الإرهاب.",1
"806","2. بناء الثقة وتعزيز الاستقرار داخل الدولة المضيفة من خلال تعزيز الحقيقة والمصالحة من خلال:",0
"807","يشمل تورطهم في الإرهاب مجموعة واسعة من الأنشطة: الهجمات بالقنابل بما في ذلك التفجيرات الانتحارية، واحتجاز الرهائن المؤدي إلى الوفاة، وصنع القنابل، وعمليات الاستخبارات الإرهابية، وتدريب الإرهابيين، وتزوير الوثائق، وتوفير مجموعة من الدعم المالي والمادي. بما في ذلك تمويل ومراقبة موقع على شبكة الإنترنت يستخدم لنشر البيانات والصور المتعلقة بتنظيم القاعدة.",1
"808","ومن أجل تسمية أشخاص معينين كمرتكبين مشتبه بهم، من الضروري تحديد الجرائم الدولية التي قد يتحملون المسؤولية عنها.",1
"809","6 - وفي الفقرة 19 من تقريري المؤرخ 30 آب/أغسطس 2004 (A/2004/703)، أشرت إلى أن ""عملية نزع سلاح أفراد قوات الدفاع الشعبي قد بدأت. وقد شهدت بعثة التحقق المشتركة الثانية مراسم تسريح نحو 300 جندي في غرب دارفور.""",1
"810","إطار عمل لمواجهة تهديد المقاتلين الإرهابيين الأجانب",0
"811","كما تم اختطاف واغتصاب النساء في ثلاثة معسكرات للجنجويد في أعقاب الهجمات على كورما، شمال دارفور، في مارس/آذار 2003.",1
"812","المنطقة العقارية تشاجلافيتشي/كاغلفيتسا (كما هو موضح في الخريطة III أ)",0
"813","رابعا. الآلية المشتركة للتحقق من الحدود ومراقبتها",0
"814","ودمرت مضخات المياه والآبار، وتحطمت أدوات تجهيز الأغذية، وأحرقت الأشجار والمحاصيل وقطعت، سواء في القرى أو في الأودية، التي تشكل مصدراً رئيسياً للمياه لسكان الريف.",1
"815","أثناء الهجوم، وكذلك الحبس القسري اللاحق للسكان، تعرض العديد من الأشخاص للتعذيب الشديد من أجل انتزاع معلومات عن المتمردين، كعقاب أو لإرهاب الناس.",1
"816","إنشاء تحويلات مرورية (6,333,339 ريال سعودي)",0
"817","أعطي الكلمة الآن للسيد باسكو.",0
"818","كل هذه الظروف تثير المظالم أو تخلق الظروف الملائمة لاستغلال الأفراد من مختلف الخلفيات والأديان والمعتقدات الذين عقدوا العزم على التحريض على الأعمال الإرهابية.",1
"819","ويعرب المجلس عن بالغ القلق إزاء الحالات التي تستمر فيها القوات والجماعات المسلحة في ارتكاب انتهاكات وتجاوزات ضد الأطفال المعرضين للنزاعات المسلحة وحالات ما بعد النزاع والمتأثرين بها، في تجاهل صارخ للقانون الدولي الواجب التطبيق وقرارات المجلس بشأن هذه المسألة.",1
"820","وتم تسجيل نتائج المراجعة، بما في ذلك القضايا الهامة التي تم تحديدها، في قاعدة بيانات المطالبات.",0
"821","الأجهزة المتفجرة المرتجلة والمتفجرات محلية الصنع، على سبيل المثال. نترات الأمونيوم ونترات اليوريا. سيارات مفخخة.",1
"822","""ويشدد مجلس الأمن على المسؤولية الرئيسية التي تتحملها حكومة جمهورية الكونغو الديمقراطية عن تعزيز سلطة الدولة والحكم في شرق جمهورية الكونغو الديمقراطية، بما في ذلك من خلال الإصلاح الفعال لقطاع الأمن للسماح بإصلاح الجيش والشرطة، ووضع حد للإفلات من العقاب على انتهاكات حقوق الإنسان وانتهاكات القانون الدولي. والقانون الإنساني الدولي، ويحث حكومة جمهورية الكونغو الديمقراطية على معالجة قضايا الاستغلال غير القانوني للموارد الطبيعية وتهريبها.",0
"823","هذه القوات مسلحة بشكل خفيف، ولديها قدرة ضعيفة على التحرك على الأرض، ولا تمتلك قدرات جوية، وتتلقى الحد الأدنى من الدعم اللوجستي والمالي.",1
"824","وبالإضافة إلى ذلك، أظهرت الهجمات التي شنتها حركة الشباب والجماعات التابعة لها في أوغندا وكينيا مدى وصولها وقدرتها على التجنيد في المجتمعات الصومالية في تلك البلدان.",1
"825","33 - وأنشأ العديد من الأحزاب السياسية في منطقة تيراي أجنحة شبابية تشارك في السياسة العنيفة في الشوارع، كما قامت بعض الجماعات المسلحة التي تستخدم العنف السياسي بتجنيد الأطفال.",1
"826","وإذ يؤكد المساهمة المستمرة في استقرار كوت ديفوار، ولا سيما في سياق الانتخابات الرئاسية المقررة، من خلال التدابير المفروضة بموجب القرارين 1572 (2004) و 1643 (2005)، ويؤكد أن هذه التدابير تهدف إلى دعم عملية السلام في كوت ديفوار ديفوار,",0
"827","العديد من الجرائم المزعومة الموثقة في دارفور كانت واسعة النطاق ومنهجية. وهي تستوفي جميع العتبات المنصوص عليها في النظام الأساسي.",1
"828","مشغلو البريد فيما يتعلق بتقديم الخدمات البريدية،",0
"829","وتعليماتها لأتباعها هي الهجوم حيثما استطاعوا، ومتى استطاعوا.",1
"830","44. جعفر محمد الحسن يخدم في القوات المسلحة السودانية ومقره الخرطوم.",0
"831","3. قام أحد القادة الرئيسيين في حزب الاتحاد المسؤول بشكل عام عن معسكرات التدريب بشراء بنادق هجومية من طراز AK-47 ورشاشات من طراز PKM وقاذفات صواريخ من طراز RPG-7 وقنابل يدوية من طراز F1 وقنابل يدوية وقذائف هاون في سوق أسلحة إرتوغتي بين الساعة 7 و 7 مساءً. في 21 تشرين الثاني/نوفمبر 2004 - قام نفس الشخص بشراء مدفعين رشاشين من طراز PKM، و10 رشاشات متوسطة الحجم من طراز SG-43، و120 مسدسًا من طراز TT-33 Tokarev، و60 خزنة بنادق هجومية من طراز AK-47 في 27 تشرين الثاني/نوفمبر 2004، بالإضافة إلى 16 رشاشًا من طراز PKM وذخائر. لمنصات إطلاق الصواريخ من طراز RPG-7 في 15 كانون الثاني/يناير 2005 (S/2005/153، المرفق الثاني).",1
"832","وبعد تعرضهن للاغتصاب، لم تتم إعادة ملابس بعض النساء إليهن، وأُجبرن على البقاء عاريات.",1
"833","ويشدد على أهمية بناء قدرات الشرطة الوطنية الفعالة والمهنية في هايتي.",1
"834","العقارات - 3,034,379 دولار أمريكي",0
"835","64 - بعد مرور ما يقرب من 15 شهرا على سن الجمعية الوطنية التشريع التمكيني، لم يحرز الطرفان أي تقدم في إنشاء اللجنة الوطنية لحقوق الإنسان.",0
"836","إن استمرار عدم الاستقرار في منطقة الساحل له آثار تتجاوز بكثير البلدان الأكثر تأثراً بشكل مباشر.",0
"837","وأدت تصرفات بعض المجموعات العربية إلى التهجير القسري لتلك المجموعات غير العربية.",1
"838","إن احتمال شن القاعدة لهجمات دولية لا يزال قائما، ولكن في الوقت الحالي فإن تأثير أنشطة القاعدة في شبه الجزيرة العربية محسوس بشكل رئيسي في اليمن.",1
"839","ولئن كانت القرصنة على طول سواحل الصومال لا تزال تشكل تحديا خطيرا، فإننا نناشد المجتمع الدولي ألا ينسى أن حل تلك المشكلة يجب أن يأتي من البر، وليس من البحر. إن الحل الشامل للصراع الصومالي يجب أن يعالج جميع الأسباب الجذرية للقرصنة والتحديات الأخرى، بما في ذلك استغلال الموارد البحرية وإلقاء النفايات السامة.",0
"840","السفير أغشين مهدييف (أذربيجان) رئيساً مشاركاً للبعثة",0
"841","20 - وظل الوضع في وادي كودوري دون تغيير. وفي 22 أيلول/سبتمبر، قامت بعثة مراقبي الأمم المتحدة في جورجيا وقوة حفظ السلام التابعة لرابطة الدول المستقلة بدورية مشتركة في منطقة وادي كودوري السفلى الخاضعة للسيطرة الأبخازية وأبلغتا عن أن الوضع هناك هادئ.",0
"842","وفي هذا الصدد، نظمت المديرية، بالتعاون مع المركز الدولي لمكافحة الإرهاب، وبدعم من هولندا، ورشة العمل الثانية حول تنفيذ القرار 1624 (2005) في يوليو 2012 بالرباط.",0
"843","وخلال النزاع الحالي، قام جنود الحكومة بذبح الناس في مونوكو - زوهي، ووردت تقارير حديثة عن وجود مقابر جماعية في مان وداناني تعزى إلى القوات الحكومية.",1
"844","وقد تم تجميع تلك الخسائر التي لا تندرج ضمن هذا التصنيف، وتم النظر فيها في قسم فرعي نهائي.",0
"845","في الفئات ""د"" و""هاء"" و""و""",0
"846","(10) 1.2.14: فيروسات هانتا؛ 1.2.53: فيروس مرض الجلد العقدي.",0
"847","* عقب صدور الجزء الثاني من قائمة الناخبين المؤقتة بتاريخ 17 يناير 2000.",0
"848","وفي سياق احتمال فرض جزاءات على جرائم الاغتصاب وغيره من أعمال العنف الجنسي، دعا المجلس بعثات الأمم المتحدة وهيئاتها ذات الصلة إلى تبادل جميع المعلومات ذات الصلة مع لجان الجزاءات ذات الصلة التابعة لمجلس الأمن.",1
"849","o في 5 تشرين الثاني/نوفمبر 2014، نفذت طائرات النظام الحربية 5 غارات جوية استهدفت كنصفرة في إدلب.",1
"850","وقد بلور التقرير الأخير للأمين العام (S/2012/376)، مثل التقريرين السابقين (S/2009/277 وS/2010/579)، النقاش حول خمسة تحديات أساسية حددها: تعزيز امتثال أطراف النزاع مع القانون الدولي؛ وتعزيز امتثال الجماعات المسلحة من غير الدول؛ وتعزيز الحماية التي توفرها بعثات الأمم المتحدة لحفظ السلام وغيرها من البعثات ذات الصلة؛ وتحسين وصول المساعدات الإنسانية؛ وتعزيز المساءلة عن الانتهاكات.",0
"851","المنطقة السكنية ميتروفيتشي/ميتروفيتشا (كما هو موضح في الخريطتين الثالثة باء وجيم)(1).",0
"852","""ويدرك مجلس الأمن أن الإرهاب لن يُهزم بالقوة العسكرية وتدابير إنفاذ القانون والعمليات الاستخباراتية وحدها، ويشدد على ضرورة معالجة الظروف المؤدية إلى انتشار الإرهاب، على النحو المبين في الركيزة الأولى من خطة الأمم المتحدة لمكافحة الإرهاب على الصعيد العالمي. - استراتيجية الإرهاب (A/RES/60/288)، ويؤكد من جديد الحاجة إلى معالجة العوامل التي تدفع إلى التجنيد والتطرف الذي يؤدي إلى الإرهاب، ويدرك علاوة على ذلك أن هناك حاجة إلى نهج شامل لهزيمة الإرهاب يشمل العمل الوطني والإقليمي ودون الإقليمي والمتعدد الأطراف.",1
"853","ويتولى أحد أقسام الدائرة الابتدائية الثانية معالجة المسائل التمهيدية للمحاكمة في قضية غاسبارد كانياروغيكا.",0
"854","وبحسب العديد من الروايات والشهادات فإن هذا الدعم للقوات الموازية يأتي من داخل القصر الرئاسي.",0
"855","المملكة المتحدة لبريطانيا العظمى وأيرلندا الشمالية",0
"856","وأشار الفني إلى أن القرص الصلب الخارجي الموجود في المكتب كان متصلا فقط بنظام بطاقة الهوية الذي توفره شركة دي بيرز، ولم يتم استخدامه لعمل نسخة احتياطية للنظام بأكمله.",0
"857","وإذ يلاحظ عمل المنتدى العالمي لمكافحة الإرهاب، ولا سيما نشره للعديد من الوثائق الإطارية والممارسات الجيدة، بما في ذلك في مجالات مكافحة التطرف العنيف، والعدالة الجنائية، والاختطاف للحصول على فدية، وتقديم الدعم لضحايا الإرهاب، ودعم المجتمع - أعمال الشرطة الموجهة، لاستكمال عمل كيانات الأمم المتحدة ذات الصلة بمكافحة الإرهاب في هذه المجالات، وتشجيع المديرية التنفيذية للجنة مكافحة الإرهاب على مواصلة تفاعلها مع المنتدى العالمي لمكافحة الإرهاب، في عملها مع الدول الأعضاء لتعزيز التنفيذ الكامل للقرارين 1373 (2001) و 1624 (2005). ,",0
"858","29 - وكجزء من الجهود التي تبذلها الشعبة لتوظيف خبراء مؤهلين تأهيلا جيدا للعمل في أفرقة وأفرقة وأفرقة رصد الجزاءات، وكما يحدث سنويا، أُرسلت مذكرة شفوية إلى جميع الدول الأعضاء في كانون الأول/ديسمبر لطلب تسمية مرشحين مؤهلين لمهمة رصد الجزاءات. عضوية قائمة خبراء الشعبة.",0
"859","o في 30 تشرين الثاني/نوفمبر 2014، أطلقت طائرات النظام الحربية صاروخا على مدينة أندان، فقتلت 11 شخصا، من بينهم طفل واحد. درعا",1
"860","ب) إذا ارتكب هذا الفعل أثناء حالة الطوارئ الوطنية أو حالة الحرب.",1
"861","27 فبراير و15 أبريل 2003",0
"862","600. وفي ضوء هذه اللائحة القانونية الدولية، يجب النظر إلى التزام السودان بدفع تعويضات عن جميع الجرائم التي ارتكبها في دارفور وكلاؤه ومسؤولوه أو أجهزته الفعلية.",1
"863","وبناء على الفصل السابع من ميثاق الأمم المتحدة،",0
"864","ودعمت الأمم المتحدة أيضا الاتحاد الأفريقي في جهوده الرامية إلى تأمين تمويل إضافي لفرقة العمل الإقليمية.",0
"865","لقد ثبت أن مكافحة الجرائم الخطيرة، بما في ذلك الجريمة المنظمة والفساد، أمر صعب بالنسبة لدائرة شرطة كوسوفو ونظام العدالة.",1
"866","وكان السيد إسحاق مسلحاً بسلاح Steyr وكان حاضراً ما لا يقل عن ثلاثة رجال مسلحين بأسلحة مختلفة من طراز Steyr وFN-FNC.",1
"867","ثم قام أربعة جنود بممارسة الجنس معها مهبليًا، واحدًا تلو الآخر.",1
"868","وكما أشار الفريق من قبل، فإن الإدخالات غير الكافية لا تخدم أي غرض مفيد: فلا يمكن تطبيق العقوبات بشكل صحيح ضدهم، ويعاني أفراد الجمهور غير المقصودين الذين يحملون أسماء مماثلة من عواقب حقيقية، ويضيع القطاع الخاص والمسؤولون على الحدود وفي أماكن أخرى وقتًا وجهدًا ثمينًا في محاولة لتحديد التطابقات التي لا يمكن تأكيدها أبدًا، ويفقد نظام العقوبات ككل الدعم.",1
"869","استيراد وتصدير الأسلحة: رصد وكشف التهريب",1
"870","وأعرب أعضاء المجلس مرة أخرى عن غضبهم العميق إزاء جميع العراقيين، وكذلك مواطني الدول الأخرى، الذين تعرضوا للقتل أو الاختطاف أو الاغتصاب أو التعذيب على يد تنظيم داعش، فضلا عن تجنيده واستخدام الأطفال.",1
"871","كما وقعت 51 اتفاقية مع وحدات الاستخبارات المالية في الدول الأجنبية لتبادل المعلومات حول المعاملات المرتبطة بتمويل الإرهاب.",0
"872","قرار مجلس الأمن 1870 (2009)، مرجع سابق. 15",0
"873","وزعمت اللجنة أن بعض الجنود و13 مدنياً قتلوا في برام على يد المتمردين داخل المستشفى.",1
"874","وكلما زاد عدد الضحايا، أو كلما كانت هجماتهم أكثر دراماتيكية، كلما زادت احتمالية التغطية الإعلامية.",1
"875","ويتأثر ما لا يقل عن 90 بلدا بالعبوات الناسفة المرتجلة، ويتبادل تنظيم القاعدة والجماعات التابعة له المعلومات والمشورة بشأن أفضل السبل لتصنيعها واستخدامها.",1
"876","ويطالب الجماعات المسلحة المتمردة بوقف العنف فورا ويدعو جميع الأطراف إلى إعادة الانخراط في الحوار في إطار اتفاق سرت المؤرخ 25 تشرين الأول/أكتوبر 2007.",1
"877","(ي) الاحتجاز غير المشروع والمعاملة التعسفية في السجون الإريترية والمعاملة اللاإنسانية وسوء مستويات الغذاء والإقامة في معسكرات الاحتجاز؛",1
"878","وأشار أيضاً إلى أن آلية التحقق ألغت العديد من المهام بسبب المقاومة التي أبدتها قوات جنوب السودان.",1
"879","""ويهيب مجلس الأمن بالأمين العام أن يضاعف جهوده لضمان تعزيز قدرات آلية الرصد والإبلاغ بهدف تنفيذ القرار 1882 (2009) بما يتيح القيام على وجه السرعة بالدعوة والاستجابة الفعالة لجميع الانتهاكات والتجاوزات المرتكبة ضد الأطفال، وذلك، في جملة أمور، عن طريق ضمان أن تساعد جميع وكالات الأمم المتحدة ذات الصلة بنشاط في جمع معلومات دقيقة وموضوعية وموثوقة ويمكن التحقق منها عن أعمال الاغتصاب وغيره من أشكال العنف الجنسي المرتكبة ضد الأطفال، وكذلك عن طريق ضمان التآزر وتجنب التداخل بين كيانات الأمم المتحدة ذات الصلة، على مستوى المقر والمستوى القطري على النحو المطلوب في القرارين 1882 (2009) و 1888 (2009).",0
"880","3. يدعو جميع الدول إلى:",0
"881","وإذ يؤكد أن القانون الدولي يحظر الهجمات الموجهة عن علم وقصد ضد الأفراد المشاركين في مهمة المساعدة الإنسانية أو حفظ السلام التي يتم تنفيذها وفقاً لميثاق الأمم المتحدة والتي تشكل في حالات النزاعات المسلحة جرائم حرب، وإذ يذكّر بضرورة قيام الدول بإنهاء الإفلات من العقاب على مثل هذه الأعمال الإجرامية.",1
"882","ندوة غسل الأموال، نظمتها دائرة الجمارك الأمريكية (وزارة الخزانة الأمريكية)",0
"883","وهذا سيسمح بإنتاج بنزين عالي الجودة وخالي من الرصاص.",0
"884","وبما أن حزب الله يحتفظ بعلاقات وثيقة مع عدد من الدول الإقليمية، ولا سيما مع جمهورية إيران الإسلامية كما اعترف بذلك علانية الأمين العام للميليشيا نفسه، فإنني أدعو هذه الدول إلى تشجيع تحويل الجماعة المسلحة إلى جماعة سياسية بحتة. هذا الطرف ونزع سلاحه، بما يتفق مع متطلبات اتفاق الطائف والقرار 1559 (2004)، بما يخدم السلام والاستقرار الإقليميين.",0
"885","ويبقى أن نرى ما إذا كان بإمكانها الارتباط بالمتطرفين في نيجيريا في تحالف فعال.",1
"886","وشهد شهر سبتمبر خروقات من الجانبين، وهجمات وهجمات مضادة، وأعمال انتقامية وانتقامية.",1
"887","وقد عمل فريق الرصد بشكل وثيق مع المديرية، تحت قيادة مديرها التنفيذي، مايك سميث، ويتطلع إلى مواصلة تلك العلاقة مع خليفته الذي أعلن عنه مؤخرا، جان بول لابورد.",0
"888","66 - وفي إحدى الحوادث التي وقعت في أبوبو، PK 18، تم اقتياد ستة شبان يعيشون في نفس الأحياء بالقوة من منزلهم في الساعة 11 مساء. في 25 مارس/آذار، على أيدي الشرطة وأفراد ملثمين من الوحدات الخاصة أو ما يسمى بالقوات الموازية.",1
"889","5. السيد راجيفا بوشان سينها (الهند)",0
"890","(أ) وصول طائرات الهليكوبتر إلى موقع الركيزة والعلامات المرتبطة بها؛",0
"891","وهذا الاستخدام للمتفجرات محلية الصنع يدل على قدرة الإرهابيين المرتبطين بتنظيم القاعدة على التكيف في البلدان التي تنفذ حظر الأسلحة بشكل فعال.",1
"892","وفي جلسة عامة لقضاة الموضوع التسعة وخمسة قضاة الاستئناف، نوقشت مسألة تعويض ضحايا الأحداث المأساوية في رواندا باستفاضة.",0
"893","ويرى المنسق، ويشاطره محاوروه، أن هذا الأمر يمكن أن يصبح محور آلية وظيفية فعالة تضع معايير واضحة لتحقيق التقدم في البحث عن الأشخاص المفقودين، المشار إليه في تقريري الشامل (S/2009/190، الفقرة 16).",0
"894","ولم يتم تقييم أي تغيير كبير في الوضع الأمني ​​العام، على الرغم من أنه من المتوقع حدوث ارتفاع بطيء ومطرد في الحوادث المرتبطة بالجريمة.",1
"895","وفي البرازيل، توجد بالفعل ثقافة مؤسسية موحدة للعمليات المشتركة.",0
"896","واتخذت قوة الاتحاد الأوروبي موقفا ""بعيدا عن الأنظار ولكن ليس في الأفق""، حيث كانت مستعدة للتدخل إذا تدهور الوضع، وتم وضع خطط طوارئ لنشر قوات الاحتياط، إذا لزم الأمر.",1
"897","ومن المأمول أن يتمكن الجانبان من التوصل إلى تأكيد رفيع المستوى لالتزاماتهما بعدم استئناف الأعمال العدائية والعودة الآمنة والكريمة للنازحين داخلياً واللاجئين.",0
"898","أصدقاء كوت ديفوار الأعزاء،",0
"899","""ويلاحظ مجلس الأمن أن هناك عددا من العوائق يقوض الجهود الرامية إلى تأمين وصول الوكالات الإنسانية ووكالات الأمم المتحدة إلى الأشخاص المحتاجين، بما في ذلك الهجمات على العاملين في المجال الإنساني، ومنع السلطات من الوصول، وعدم التعامل بشكل منظم مع الجهات الفاعلة من غير الدول.",1
