"","en_ar_DEEPL","VerCoop"
"691","وبعبارة أخرى، فإن السكان الناجين من الهجمات على القرى لا يتم قتلهم بشكل مباشر في محاولة للقضاء على الجماعة، بل يتم إجبارهم على ترك منازلهم والعيش معًا في مناطق تختارها الحكومة.",0
"692","نظرًا لضعف المنطقة دون الإقليمية، هناك حاجة إلى اتخاذ المزيد من الخطوات لتجريم التجنيد.",1
"693","12. يعرب عن تأييده لتضمين اتفاقات السلام وولايات بعثات الأمم المتحدة لحفظ السلام، حسب الاقتضاء، تدابير محددة وملائمة لنزع سلاح المقاتلين السابقين وتسريحهم وإعادة إدماجهم، مع إيلاء اهتمام خاص لتسريح الجنود الأطفال وإعادة إدماجهم، فضلا عن وضع ترتيبات واضحة ومفصلة لتدمير فائض الأسلحة والذخائر، ويشير في هذا الصدد إلى بيان رئيسه المؤرخ 8 تموز/يوليه 1999؛",1
"694","فعلى سبيل المثال، استخدمت بعثة الأمم المتحدة لتقصي الحقائق بشأن النزاع في غزة على نحو فريد من نوعه جلسات استماع علنية كجزء من منهجية التحقيق لضمان عملية شاملة، وإعطاء صوت للضحايا حيث لم يتم الاستماع إليهم، ودعم حقوقهم في معرفة الحقيقة والعدالة.",0
"695","(أ) مراجعة القوانين الجنائية من أجل ضمان تجريم الجرائم في كل فئة من الفئات المحددة على النحو الصحيح، وسن أحكام تشريعية لمكافحة الإرهاب، حسب الاقتضاء؛",1
"696","ويشدد المجلس على ضرورة أن تتم جميع الأعمال العسكرية ضد جيش الرب للمقاومة بما يتوافق مع القانون الدولي الساري، بما في ذلك القانون الإنساني الدولي وقانون حقوق الإنسان وقانون اللاجئين، وأن تقلل إلى أدنى حد من خطر إلحاق الضرر بالمدنيين في تلك المناطق.",1
"697","وتشمل المشاريع الجارية إنشاء مخرج للطوارئ من المكتب، وبناء مركز أمني جديد وإنشاء نقطة تفتيش على الطريق الرئيسي المؤدي إلى المكتب من أجل إضافة طبقة إضافية لمراقبة الدخول يقوم بتشغيلها أفراد البعثة أو المتعاقدون.",0
"698","(ج) تشجيع الدول على اتخاذ إجراءات لمنع إساءة استخدام الشبكات غير الرسمية لتحويلات العمال لأغراض تمويل الإرهاب.",1
"699","وفي هذا الصدد، يشجع مجلس الأمن على مواصلة تعميم مراعاة حماية الطفل في أنشطة الدعوة والسياسات والبرامج وتخطيط البعثات التي تضطلع بها هذه المنظمات والترتيبات، وكذلك تدريب الموظفين وإدماج موظفي حماية الطفل في عملياتها لحفظ السلام وعملياتها الميدانية وإنشاء آليات لحماية الطفل داخل أماناتها، بما في ذلك من خلال تعيين جهات تنسيق لحماية الطفل.",1
"700","8. تبدأ اللجنة أنشطتها في تاريخ يحدده اﻷمين العام ويبلغه رسميا إلى حكومة باكستان.",1
"701","27 شباط/فبراير و15 نيسان/أبريل 2003",0
"702","14. وفي 28 تموز/يوليه، أصدر رئيس الوزراء أمرا باستبدال محافظ البصرة محمد الوائلي، وهو عضو بارز في حزب الفضيلة، بمحافظ البصرة.",0
"703","ورحب القادة ببيان رئيس مجلس الأمن المؤرخ 14 تموز/يوليه 2005 وأعربوا عن تأييدهم لمبادرة ممثلي الخاص. غير أنهم انتهزوا هذه المناسبة أيضا للإعراب عن قلقهم من احتمال لجوء الرئيس يوسف ورئيس الوزراء جيدي إلى مواجهة مسلحة معهم.",1
"704","""ويحيط مجلس الأمن علما بالدور الهام الذي يمكن أن يضطلع به المجتمع المدني، بما في ذلك المنظمات النسائية، في منع نشوب النزاعات المسلحة وتسويتها، وبناء السلام وحالات ما بعد انتهاء النزاع، ويشجع المجتمع الدولي والمنظمات الإقليمية والدول الأعضاء المعنية على تعزيز انخراطها النشط ومشاركتها الفعالة في مجموعة متنوعة من الأدوار، حسب الاقتضاء، بهدف تنفيذ القرار 1325 (2000).",1
"705","o في 16 تشرين الثاني/نوفمبر 2014، أطلقت قوات النظام قذائف هاون على مسجد مديرا في ريف دمشق، مما أدى إلى إصابة 4 مدنيين وإلحاق أضرار جسيمة بالمسجد.",0
"706","في عدد محدود من الحالات، ربما يكون دفع البدلات قد شجع القادة على إعادة تجنيد الأطفال الذين سبق لهم أن أطلقوا سراحهم.",0
"707","9. يطلب إلى لجنة مكافحة الإرهاب أن تقدم، بالإضافة إلى التقرير المطلوب في الفقرة 8، تقريرا شفويا، عن طريق رئيسها، كل 180 يوما على الأقل إلى المجلس عن مجمل أعمال لجنة مكافحة الإرهاب والمديرية التنفيذية للجنة مكافحة الإرهاب، وحسب الاقتضاء، بالاقتران مع تقارير رئيسي اللجنة المنشأة عملا بالقرار 1267 (1999) واللجنة المنشأة عملا بالقرار 1540 (2004)، ويشجع على تقديم إحاطات غير رسمية لجميع الدول الأعضاء المهتمة بالأمر؛",1
"708","المقرر عقدها يوم الأربعاء، 30 نيسان/أبريل 2008، الساعة 25/10 مساءً",0
"709","وأكد على ضرورة تعزيز الحوار داخل المؤسسات الاتحادية الانتقالية وشجع محاوريه على استخدام نفوذهم لتحقيق هذه الغاية.",1
"710","وتشجع المجتمعات على المراقبة الذاتية ومواجهة الآراء الاستقطابية دون تدخل الحكومة كوسيلة أكثر استدامة لمنع التطرف داخل المجتمعات.",1
"711","1. يقرر أن تتخذ جميع الدول التدابير التالية فيما يتعلق بالأفراد والكيانات الذين أدرجت أسماؤهم قبل هذا التاريخ بوصفهم حركة الطالبان، وغيرهم من الأفراد والجماعات والمؤسسات والكيانات المرتبطين بها، على النحو المحدد في الفرع ألف (""الأفراد المرتبطون بحركة الطالبان"") والفرع باء (""الكيانات والجماعات والمؤسسات والكيانات الأخرى المرتبطة بحركة الطالبان"") من القائمة الموحدة للجنة المنشأة عملا بالقرار 1267 (1999) والقرار 1333 (2000) اعتبارا من تاريخ اتخاذ هذا القرار, وكذلك الأفراد والجماعات والمشاريع والكيانات الأخرى المرتبطة بحركة طالبان التي تشكل تهديدا للسلام والاستقرار والأمن في أفغانستان على النحو الذي حددته اللجنة المنشأة عملا بالفقرة 30 (المشار إليها فيما يلي بـ ""القائمة""):",0
"712","أراد الجيش الإسرائيلي الاستيلاء على المنزل.",0
"713","جميع الدول باستثناء دولة واحدة لديها تشريعات لتنظيم المنظمات غير الربحية، ولكن دولة واحدة فقط هي التي أدخلت أحكاماً قانونية لمنع تمويل الإرهاب من خلال المنظمات غير الربحية وتنفذها بشكل فعال.",0
"714","وقد حاولوا جاهدين عزل المدنيين عن الصراع. وتمثلت أهداف الحركة الوطنية لكوت ديفوار في استعادة كرامة شعب كوت ديفوار.",0
"715","وفي حالة تعريض الجمهور للخطر (المادة 179 من القانون الجنائي)، يعتبر الإعداد لمثل هذه الأعمال جريمة أيضاً (مثل الحصول على مكونات وصنع جهاز متفجر لغرض الهجوم بموجب الفقرة 1 من المادة 2 من الاتفاقية)، حتى لو لم يحاول الجاني بعد ارتكاب الفعل فعلياً.",0
"716","الفقرة الفرعية 3 (د) و (ه)",0
"717","22 آب/أغسطس 1994، قدمت شركة النفط الوطنية الإيرانية مطالبتها التي تلتمس فيها تعويضاً عن الخسائر التي تزعم أن مجموعة شركاتها تكبدتها، والتي يرد تحديدها ومناقشتها أدناه في الفقرات 181-192.",0
"718","يضاف المرسومان الرئاسيان رقم 06-117 و 06-118 المؤرخان 11 نيسان/أبريل 2005.",0
"719","وإذ تشير إلى الحق في حرية التعبير الوارد في المادة 19 من الإعلان العالمي لحقوق الإنسان الذي اعتمدته الجمعية العامة في عام 1948 (""الإعلان العالمي"")، وإذ تشير أيضاً إلى الحق في حرية التعبير الوارد في المادة 19 من العهد الدولي الخاص بالحقوق المدنية والسياسية الذي اعتمدته الجمعية العامة في عام 1966 (""العهد الدولي"") وأن أية قيود عليه لا تكون إلا تلك التي ينص عليها القانون وتكون ضرورية للأسباب المبينة في الفقرة 3 من المادة 19 من العهد الدولي,",1
"720","وإذ يرحب بدور الاتحاد الأفريقي في الجهود المبذولة لتسوية النزاعات في القارة الأفريقية، وإذ يعرب عن دعمه لمبادرات السلام التي يقوم بها الاتحاد الأفريقي، ومن خلال المنظمات دون الإقليمية,",1
"721","46. وبناء على طلب مني، التقى رئيس الوزراء السنيورة والرئيس عباس في 18 تشرين الأول/أكتوبر في باريس لمناقشة المسائل المتعلقة بوجود اللاجئين الفلسطينيين في لبنان.",1
"722","ويحظر اﻷمر أيضا بيع أو توريد ما يلي من جانب شخص من الوﻻيات المتحدة أو من الوﻻيات المتحدة أو باستخدام سفن أو طائرات مسجلة في الوﻻيات المتحدة: (1) أي معدات تستخدم في التعدين؛ أو (2) المركبات الآلية أو المراكب المائية وقطع غيارها؛ أو (3) خدمات التعدين أو خدمات النقل البري أو المائي، بغض النظر عن منشأها، إلى إقليم أنغولا إلا من خلال نقطة دخول محددة.",0
"723","152 دينار كويتي للفرد الواحد X 837 عامل × 7 أشهر/ 17 شهرًا = 52,387 دينار كويتي.",0
"724","ويعرب المجلس عن بالغ قلقه إزاء الحالات التي تتمادى فيها القوات والجماعات المسلحة في ارتكاب انتهاكات وتجاوزات ضد الأطفال المعرضين للنزاع المسلح وحالات ما بعد انتهاء النزاع والمتضررين منه في تجاهل صريح للقانون الدولي الساري وقرارات المجلس في هذا الشأن.",0
"725","التحديات الأمنية المنبثقة من منطقة الساحل والصحراء ليست جديدة.",0
"726","انخفضت استثمارات القطاع العام بأكثر من 50% في عام 2005.",0
"727","101. ومنذ تشرين الثاني/نوفمبر 2004، سعت حكومة كوت ديفوار إلى إصلاح وصيانة وإعادة بناء القوات الجوية لكوت ديفوار كبيان سياسي بأن القوة الجوية توفر للحكومة ميزة عسكرية لا تملكها القوات الجديدة.",0
"728","56. يشجع الدول الأعضاء، عند رفع التجميد عن أصول فرد متوفى أو كيان أُبلغ أو تأكد أنه لم يعد له وجود نتيجة لرفع اسمه من القائمة، على أن تتذكر الالتزامات المنصوص عليها في القرار 1373 (2001)، وأن تمنع على وجه الخصوص استخدام الأصول التي رُفع عنها التجميد لأغراض إرهابية؛",1
"729","يجب أن يكون تدخل المحكمة حافزاً لاتخاذ إجراءات وطنية ودولية حاسمة استجابة للتحديات التي تواجه العدالة في حالات النزاع.",0
"730","152. وعموما، تشير التقديرات إلى أن آلية أو فرع تصريف الأعمال المتبقية، في هذا المثال التوضيحي، سيكون لدى آلية تصريف الأعمال المتبقية ملاك موظفين يبلغ مجموعه حوالي 38 موظفا. ويبلغ التقدير التقريبي لتكلفة هذا الحد الأدنى من الموظفين 5 ملايين دولار سنويا.",0
"731","كما أن شركة ديفون إنيرجي كوربوريشن الأمريكية هي أيضًا مشغل لحقلي ليون وبانثير، اللذين ينتجان ما يقرب من 20 ألف برميل يوميًا في القطاع CI-11.",0
"732","""ويؤكد مجلس الأمن أنه لن يتم التسامح مع أي محاولة لعرقلة عملية السلام والعملية الانتقالية في جمهورية الكونغو الديمقراطية، بما في ذلك من خلال دعم الجماعات المسلحة.",0
"733","2. الحالة في كوت ديفوار.",0
"734","ويتطلع المجلس إلى اجتماع متابعة التنفيذ الذي سيعقد في بورت أو برنس في الفترة من 22 إلى 23 سبتمبر/أيلول، مع مراعاة الأولويات التي حددها إطار التعاون المؤقت لحكومة هايتي.",1
"735","30. شجع مجلس الأمن في قراره 1963 (2010) المديرية التنفيذية على العمل مع الدول الأعضاء على وضع استراتيجيات وطنية شاملة ومتكاملة لمكافحة الإرهاب.",1
"736","▪ شن هجوم قد يُتوقع أن يتسبب في خسائر عرضية في الأرواح أو إصابات في صفوف المدنيين أو أضرار في الأعيان المدنية أو مزيج من هذه الخسائر والأضرار التي قد تكون مفرطة بالنسبة للميزة العسكرية الملموسة والمباشرة المتوقعة;",0
"737","وبالتالي يجب على المجتمع الدولي أن يتخذ الإجراءات اللازمة لمنع إسرائيل من التمادي في سياستها التدميرية المؤسفة التي بدأتها في غزة، ويجب أن يؤكد المجتمع الدولي رفضه لكل هذه الممارسات الإسرائيلية التي تعد انتهاكاً للقانون الدولي والقانون الدولي الإنساني.",0
"738","كندا - المطالبة الموحدة (المطالبة رقم 5000098 لدى لجنة الأمم المتحدة للتعويضات)",0
"739","كما تطلع الأعضاء إلى قائمة منتهكي العقوبات التي كان من المتوقع أن يقدمها فريق الرصد في تقريره النهائي.",1
"740","أخبروا الناس أنهم من الإنتراهامويس.",0
"741","النظر، حسب الاقتضاء، في فائدة إنشاء قوائم وشبكات للخبراء داخل منظومة الأمم المتحدة وخارجها والعمل معها، حسب الاقتضاء",0
"742","18. ستعمل المديرية التنفيذية على نحو وثيق مع بائع برمجيات نظام إدارة السجلات والمعلومات (TRIM) لتحديث البرنامج الهيكلي لتقييمات التنفيذ الأولية، بغية تجسيد آراء اللجنة وتوصيات خبراء المديرية ومقترحات الدول الأعضاء بشأن إعادة تنظيم تقييم التنفيذ الأولي من أجل تخزين معلومات أكثر تفصيلا واكتمالا عن حالة تنفيذ القرار 1373 (2001).",0
"743","الحالة في الصومال (17 مارس/آذار 1992؛ 11 مايو/أيار 2011)",0
"744","وإذ يسلم بالمساهمة المهمة لعمليات حظر توريد الأسلحة التي يفرضها المجلس في مكافحة النقل غير المشروع للأسلحة الصغيرة والأسلحة الخفيفة، والتخفيف من حدة النزاعات، وتهيئة الظروف المواتية للحل السلمي للحالات التي تهدد السلام والأمن الدوليين أو تخل بهما، وإذ يسلم أيضا بالمساهمة التي تقدمها عمليات حظر توريد الأسلحة التي يفرضها المجلس في دعم منع نشوب النزاعات، وبناء السلام بعد انتهاء النزاع، ونزع السلاح والتسريح وإعادة الإدماج، وإصلاح قطاع الأمن،",1
"745","دعوة الدول إلى العمل معا على وجه السرعة لمنع وقمع أعمال الإرهاب النووي بما في ذلك من خلال زيادة التعاون والتنفيذ الكامل للاتفاقيات الدولية ذات الصلة، ومن خلال اتخاذ التدابير المناسبة لتعزيز الإطار القانوني القائم بهدف ضمان المساءلة الفعالة لمرتكبي جرائم الإرهاب النووي,",1
"746","ودعا أعضاء المجلس جميع الدول في المنطقة إلى بذل كل الجهود الممكنة لتحسين الوضع، ولا سيما من خلال اتخاذ إجراءات لمنع الأفراد المسلحين والجماعات المسلحة من استخدام أراضيها للتحضير لشن هجمات على البلدان المجاورة وارتكابها.",1
"747","وتضع هذه التحديات مجتمعةً ضغوطاً سياسية على الحكومات ولها تأثير مباشر وخطير على السلام والأمن والاستقرار في البلدان المعنية.",0
"748","أتشرف بأن أحيل إليكم طيه رسالة مؤرخة 28 تشرين الأول/أكتوبر 2005 موجهة إليكم من فخامة السيد أسياس أفورقي، رئيس دولة إريتريا، بشأن عملية السلام في النزاع الحدودي بين إريتريا وإثيوبيا.",1
"749","""ويرحب مجلس الأمن في هذا الصدد بالإجراءات التي اتخذتها حتى الآن الجهات الموقعة على إطار السلام والأمن والتعاون والجهات الضامنة لإطار السلام والأمن والتعاون، بما في ذلك عقد الاجتماع الأول '11+4` للآلية الإقليمية للإشراف على إطار السلام والأمن والتعاون في أديس أبابا في 26 أيار/مايو 2013 والاجتماعين الأولين للجنة الدعم التقني في نيروبي في 24 حزيران/يونيه و 22 تموز/يوليه 2013، اللذين هدفا إلى إحراز تقدم في وضع معايير لتقييم تنفيذ إطار السلام والأمن والتعاون من جانب جميع الجهات الموقعة.",1
"750","تكرار الطلب بأن تواصل مفوضية الأمم المتحدة لشؤون اللاجئين نظرها في تسجيل اللاجئين في مخيمات اللاجئين في تندوف,",1
"751","وعلى الرغم من إعلان الرئيس السابق كومباوري عبر الإذاعة، في وقت لاحق من ذلك اليوم، سحب مشروع القانون وإعلان حالة الطوارئ، اشتدت الاحتجاجات العنيفة في واغادوغو وامتدت إلى خارج العاصمة.",0
"752","(ح) مواصلة زيادة الجهود الرامية إلى زيادة الوعي بين البرلمانيين وغيرهم من صانعي القرار الرفيعي المستوى;",1
"753","وتصميماً منها على تيسير الاستجابة الفعالة من الآن فصاعداً للتهديدات العالمية في مجال عدم الانتشار,",1
"754","ووافقت اللجنة أيضا على توجيه رسالتين إلى الممثل الدائم للصومال وإلى مفوض السلام والأمن في الاتحاد الأفريقي توصي فيهما بإجراء تحقيق مستقل في ما ورد عن بيع أسلحة وذخائر في سوق السلاح الصومالية من قبل مسؤولين في الحكومة الاتحادية الانتقالية وأفراد من الوحدة الأوغندية في بعثة الاتحاد الأفريقي في الصومال، على التوالي.",1
"755","لم يتم تحديد هوية أي طالب تأشيرة يظهر اسمه في القائمة.",0
"756","يعتبر سوء التغذية المزمن في مخيمات اللاجئين مشكلة صحية رئيسية، وتعتزم المفوضية وبرنامج الأغذية العالمي اتخاذ تدابير تصحيحية، بما في ذلك التغذية التكميلية للفئات الضعيفة.",1
"757","الودائع النقدية والودائع لأجل وصندوق النقدية المشترك في نهاية الفترة",0
"758","24. وستنظر اللجنة في المعلومات المقدمة من المديرية التنفيذية فيما يتعلق باستمرارها في إيلاء اهتمام وثيق للقرار 1624 (2005) في حوارها مع الدول الأعضاء؛ وعملها مع الدول الأعضاء على وضع استراتيجيات تشمل مكافحة التحريض على الأعمال الإرهابية بدافع التطرف العنيف والتعصب، وفقا لالتزاماتها بموجب القانون الدولي، وتيسيرها للمساعدة التقنية لتنفيذ القرار 1624 (2005).",1
"759","وعلى الرغم من أن الرئيس تصرف في إطار صلاحياته الدستورية، إلا أنني ناقشت معه المخاوف من أن يؤدي العفو الصادر في 25 كانون الأول/ديسمبر 2009 إلى تفاقم التصورات المتعلقة بالإفلات من العقاب.",0
"760","لم تتلق البعثة معلومات دقيقة عن عدد الأشخاص الذين اعتقلتهم قوات الأمن.",0
"761","يرجى تقديم أمثلة على أي حالات ذات صلة.",0
"762","لا تزال شبكة حقاني (TE.H.12.12) متورطة بشكل مباشر في الهجمات الإرهابية في أفغانستان.",0
"763","يشير تقرير بعثة التقييم إلى القلق المتزايد بشأن الآثار الإنسانية والاقتصادية للأزمة على منطقة الساحل.",0
"764","""ويدرك مجلس الأمن الحاجة إلى إيلاء مزيد من الاهتمام المنهجي لتنفيذ الالتزامات المتعلقة بالمرأة والسلام والأمن في عمله لضمان تعزيز مشاركة المرأة في منع نشوب النزاعات وتسويتها وبناء السلام ومواصلة إدماج المنظورات الجنسانية المناسبة في ولايات بعثات الأمم المتحدة لحفظ السلام ذات الصلة وكذلك في المجالات المواضيعية الأخرى ذات الصلة بالسلام والأمن.",1
"765","هناك حاجة إلى موارد كافية وفي الوقت المناسب للحفاظ على العمليات التي من المفترض أن تكون طويلة ومعقدة.",0
"766","أودعت أيسلندا صك تصديقها أو انضمامها، حسب الاقتضاء، إلى الاتفاقيات الدولية التالية:",0
"767","وتعد الحكومتان شريكتين أساسيتين للجنة في جهودها الرامية إلى جعل النظام أكثر فعالية وأكثر تركيزاً في مواجهة التهديد، وقدمتا العديد من الاقتراحات المفيدة فضلاً عن تزويد الفريق بمعلومات مفصلة عن التطورات الأخيرة.",0
"768","(ط) 000 1 بندقية من طراز AK-47 (نسخة مختصرة);",0
"769","يشرفني أن أبلغكم بأنني تلقيت من حكومة باكستان طلباً بتشكيل لجنة دولية فيما يتعلق باغتيال رئيسة وزراء باكستان السابقة، المحترمة بينظير بوتو، في 27 كانون الأول/ديسمبر 2007.",1
"770","ويشدد المجلس على الحاجة إلى تعزيز التنسيق وتبادل المعلومات عبر الحدود بين هذه البعثات، وكذلك بين جميع الجهات الفاعلة الأخرى في المنطقة، من أجل تحسين استباق تحركات جيش الرب للمقاومة والتهديدات الوشيكة بشن هجمات.",1
"771","يتم تبادل المعلومات المتعلقة بعمليات إزالة الألغام في المغرب بشكل مستمر مع مركز تنسيق الأعمال المتعلقة بالألغام.",1
"772","""ويشدد مجلس الأمن على أن الملاذات الآمنة التي يتم توفيرها للإرهابيين لا تزال تشكل مصدر قلق كبير، ويشير إلى أنه يجب على جميع الدول الأعضاء أن تتعاون تعاونا كاملا في مكافحة الإرهاب من أجل العثور على أي شخص يدعم أو يسهل أو يشارك أو يحاول المشاركة في تمويل أعمال إرهابية أو التخطيط أو الإعداد لها أو ارتكابها أو توفير ملاذ آمن لها أو توفيرها أو يحاول المشاركة في ذلك وتقديمه إلى العدالة، استنادا إلى مبدأ التسليم أو المحاكمة.",1
"773","ومن المثير للدهشة أيضًا أنه لم يتم إلقاء القبض على أي عنصر ينتمي إلى ما يسمى بالقوات الموازية ومحاكمته على هذه الجرائم.",0
"774","واعتبرت الدول الأعضاء في مداخلاتها أن الإرهاب هو أحد أشد الأخطار التي تهدد السلم والأمن الدوليين وأن هزيمته تتطلب جهداً منسقاً مستمراً.",1
"775","ويدعو مجلس الأمن الجماعة الاقتصادية لدول غرب أفريقيا والدول الأعضاء فيها وكذلك شركاءها الدوليين إلى تقديم المزيد من الدعم للجماعة الاقتصادية لدول غرب أفريقيا في هذا الصدد ومواصلة تنسيق المزيد من الجهود الدولية لدعم السلام والاستقرار وسيادة القانون ومكافحة الإفلات من العقاب في غينيا - بيساو.",0
"776","12. ونظراً لانعدام الثقة العميق الذي ساد بين اللبنانيين تجاه سلطاتهم الأمنية والقضائية، فقد أصبحت اللجنة مصدر أمل وتوقع كبيرين للتغيير، كما أصبحت ""واجهة"" بين الشعب اللبناني وسلطاته.",1
"777","في 19 آب/أغسطس 2014 (اليوم العالمي للعمل الإنساني)، ستعقد المملكة المتحدة لبريطانيا العظمى وأيرلندا الشمالية، بصفتها رئيس مجلس الأمن، جلسة مفتوحة للمجلس، في شكل إحاطة، بشأن حماية العاملين في المجال الإنساني، في إطار بند جدول الأعمال المتعلق بحماية المدنيين في النزاعات المسلحة.",1
"778","2. يقرر أن تكون ولاية بعثة الأمم المتحدة لتقديم المساعدة إلى الصومال على النحو التالي:",0
"779","ولدى مناقشة دور الرئيس، أقر العديد من المشاركين بـ""فخين"" يجب تجنبهما: أولاً، اتباع أجندة وطنية لتوجيه المجلس نحو مصالح محددة؛ وثانياً، اتباع أسلوب قيادة مفرط في الانطوائية والشكلانية.",1
"780","الفقرتان الفرعيتان 3 (ب) و (ج)",0
"781","ويبدو أن المشاركة مع مجموعة العمل المالي وضوابط مكافحة الفساد والتعاون الدولي في التحقيقات المالية والتصديق على الاتفاقيات الدولية المتعلقة بمكافحة الإرهاب كلها أمور من شأنها تحسين البيئة التنظيمية العامة في الدول.",0
"782","وشدد الفريق على أن المهمة الفورية تتمثل في الترويج لوثيقة الدوحة لضمان قبولها من قبل سكان دارفور وإقناع المجموعات المسلحة المتبقية بالتوقيع على الوثيقة.",1
"783","87. وقد أدت هذه السيطرة المرقعة على البيئة البحرية الصومالية إلى خلق أو تعزيز ثلاثة مصادر دخل هامة للإدارات المحلية: (أ) تصدير كميات كبيرة من الفحم من الصومال، من بين سلع أخرى، و (ب) وصول سفن الصيد الأجنبية دون قيود إلى الموارد البحرية ومصائد الأسماك الصومالية و (ج) انتشار القرصنة على نطاق واسع. الفحم",0
"784","وفي الفترة الممتدة من 16 تشرين الأول/أكتوبر 2012 إلى 26 نيسان/أبريل 2013، استخدم مكتب المدعي العام 101 ساعة من أصل 200 ساعة مخصصة له.",0
"785","""ويشير مجلس الأمن إلى قراره 1645 (2005) ويسلم بالدور الهام الذي تضطلع به لجنة بناء السلام في تعزيز ودعم اتباع نهج متكامل ومتسق لبناء السلام، بما في ذلك تعزيز اتساق ومواءمة سياسات الشركاء حول الاستراتيجيات والأولويات الوطنية لبناء السلام. ويكرر المجلس تأكيد دعمه لعمل اللجنة ويعرب عن استعداده المستمر للاستفادة من دورها الاستشاري والدعوة وتعبئة الموارد، بما في ذلك من خلال إسداء المشورة المحددة الأهداف بشأن الالتزام الدولي والوطني بأهداف بناء السلام الطويلة الأجل في البلدان المدرجة في جدول أعمال اللجنة. ويشدد المجلس كذلك على دور لجنة بناء السلام في دعم الانتقال السلس للبعثات التي صدر بها تكليف في البلدان المدرجة في جدول أعمالها، ولا سيما من خلال تعبئة الدعم الدولي المستمر للاحتياجات الوطنية الحاسمة من القدرات.",1
"786","وفي الفترة من 14 إلى 18 تشرين الأول/أكتوبر، شارك مكتب الأمم المتحدة لغرب أفريقيا ومكتب الأمم المتحدة الإقليمي في وسط أفريقيا في حلقة عمل نظمها مكتب الأمم المتحدة لغرب أفريقيا في حوض بحيرة تشاد في ياوندي لوضع استراتيجية إقليمية لمكافحة الإرهاب، وكذلك لإجراء مناقشات حول فرقة العمل المشتركة متعددة الجنسيات.",0
"787","وقد تم تجميع جميع جوانب تعليم الشرطة في إطار برنامج منفصل في أيار/مايو 2004، وتم التوصل الآن إلى اتفاق بشأن إنشاء نظام تدريب على مستوى البوسنة والهرسك.",1
"788","66. وترتبط الغالبية العظمى من حالات الاختطاف والاختفاء القسري بالحرب الكورية والحركة المنظمة للكوريين الإثنيين من اليابان التي بدأت في عام 1959.",0
"789","واقترحوا المزيد من الربط الشبكي أو الربط بين الشبكات القائمة، وشددوا على أهمية الاجتماعات المباشرة وتبادل الأقران. وأوصى المشاركون بالنظر في ""عملية فيسبادن"" في هذا الصدد.",1
"790","13. يشجع حكومة بوروندي على مواصلة جهودها الرامية إلى توسيع نطاق احترام حقوق الإنسان وحمايتها، بما في ذلك من خلال إنشاء لجنة وطنية مستقلة لحقوق الإنسان، مع مراعاة مبادئ باريس المبينة في قرار الجمعية العامة 48/134، ويشجعها كذلك على وضع حد للإفلات من العقاب واتخاذ التدابير اللازمة لضمان تمتع مواطنيها الكامل بحقوقهم المدنية والسياسية والاجتماعية والاقتصادية والثقافية دون خوف أو ترهيب، على النحو المنصوص عليه في دستور بوروندي والمنصوص عليه في الصكوك الدولية لحقوق الإنسان، بما فيها تلك التي صدقت عليها بوروندي;",1
"791","262.7 كجم من سادس فلوريد اليورانيوم (177.3 كجم من اليورانيوم)",0
"792","رد الرئيس البشير دبلوماسيًا على القرار الكيني وهدد بفرض عقوبات اقتصادية وتجارية.",0
"793","ويطلب المجلس إلى الأمين العام أن يواصل تقديم التوجيهات المتعلقة بالتصدي للعنف الجنسي ونشرها في التدريب السابق للنشر والتدريب التمهيدي للأفراد العسكريين وأفراد الشرطة، ومساعدة البعثات في وضع إجراءات خاصة بكل حالة على حدة للتصدي للعنف الجنسي على الصعيد الميداني وكفالة تقديم الدعم التقني إلى البلدان المساهمة بقوات عسكرية وأفراد شرطة من أجل إدراج توجيهات للأفراد العسكريين وأفراد الشرطة بشأن التصدي للعنف الجنسي في التدريب السابق للنشر والتدريب التمهيدي.",1
"794","""ويضع مجلس الأمن في اعتباره الحاجة إلى مواصلة الاستطلاع مع المنظمات والترتيبات الدولية والإقليمية ودون الإقليمية لتبادل الخبرات والدروس المستفادة في المجالات التي يغطيها القرار 1540 (2004)، ومدى توافر البرامج التي يمكن أن تيسر تنفيذ القرار والمجالات التي يمكن أن تقدم فيها المساعدة، بما في ذلك من خلال تعيين جهة اتصال أو منسق لتنفيذ القرار 1540 (2004).",1
"795","وقد صدرت جميع الردود كوثائق للجنة، كما هو مبين أدناه:",0
"796","""ويطلب مجلس الأمن إلى الممثل الخاص للأمين العام لبوروندي أن يقوم، في اتصال وثيق مع الممثل الخاص للأمين العام لجمهورية الكونغو الديمقراطية، بتقصي الحقائق وتقديم تقرير عنها إلى المجلس في أسرع وقت ممكن.",1
"797","فهم يرون صرب كوسوفو كأدوات في يد بلغراد، وبالتالي فهم يعتبرون صرب كوسوفو جزءًا من التهديد المتبقي لمستقبلهم.",0
"798","كما كان تجديد السجون ومراكز الاحتجاز في كوسوفو، التي كانت في حالة سيئة للغاية، أولوية قصوى بالنسبة لإدارة العدل التابعة لبعثة الأمم المتحدة للإدارة المؤقتة في كوسوفو.",0
"799","تاريخ الميلاد: 27 يناير 1959",0
"800","96. ولاحظت اللجنة أن قانون قوات الأمن الوطني، بصيغته المعدلة في عام 2001، يمنح قوات الأمن سلطات واسعة النطاق، بما في ذلك سلطة الاحتجاز دون توجيه تهمة أو المثول أمام قاض لمدة تصل إلى تسعة أشهر.",0
