"","en_ar_GOOGLE","MatCoop"
"852","وقد حددت أقسام الخدمات العامة الحيز المكتبي المناسب لموظفي آلية تصريف الأعمال المتبقية، وهي تقدم خدمات السفر والتأشيرات والبريد والنقل.",0
"853","وفي الوقت الحالي، لا يستهدف نظام العقوبات قدرات القيادة والسيطرة والاتصالات والمعلومات الخاصة بالمجموعات المدرجة في القائمة.",0
"854","يجب أن يتم أي حرمان من الحرية وفقاً لأحكام المادة 9: ويجب ألا يكون تعسفياً؛ ويجب أن يستند إلى أسس وإجراءات يحددها القانون؛ ويجب تقديم معلومات عن أسباب الاحتجاز؛ ويجب أن تكون مراقبة المحكمة للاحتجاز متاحة، فضلاً عن التعويض في حالة الانتهاك.",0
"855","وفي وقت لاحق من عام 2006، اعتمدت الجمعية العامة بالإجماع استراتيجية الأمم المتحدة العالمية لمكافحة الإرهاب، وكان لها أهمية كبيرة في إعادة تأكيد الالتزام الجماعي للمجتمع الدولي بمكافحة التهديد المشترك المتمثل في الإرهاب.",1
"856","76 - وتواصلت الجهود لتجنيد أفراد من طوائف الأقليات في فيلق حماية كوسوفو.",1
"857","ويقوم الفريق بالفعل بإجراء اتصالات مع المكاتب الإقليمية لمكتب شؤون نزع السلاح لتحسين تبادل المعلومات (لا سيما بشأن إدارة مخزونات الذخائر، التي ثبت أنها تمثل مشكلة في الحالة الليبية).",1
"858","15 - وفي 8 أيلول/سبتمبر، بلغ القوام الإجمالي لقوة عملية الأمم المتحدة في كوت ديفوار 430 6 فردا، مقابل القوام المأذون به البالغ 090 7 فردا، بما في ذلك 200 مراقب عسكري.",1
"859","إدراكا للأهمية والإلحاح الذي تمثله مسألة شاملة مثل مكافحة الإرهاب، ومن أجل تزويد لجنة مكافحة الإرهاب بمعلومات إضافية ذات صلة، قدمت حكومة الجمهورية التشيكية، كمرفق منفصل لتقريرها الخامس، القانون رقم 11. القانون رقم 61/1996 الخاص ببعض التدابير لمكافحة إضفاء الشرعية على عائدات الجريمة وتعديل وتكميل الأفعال المرتبطة بها.",0
"860","(ص) جمع وتقييم ورصد والإبلاغ عن تنفيذ التدابير وتقديم توصيات بشأنها، بما في ذلك تنفيذ التدبير الوارد في الفقرة 1 (أ) من هذا القرار فيما يتعلق بمنع إساءة استخدام الإنترنت لأغراض إجرامية من جانب تنظيم القاعدة وغيرهم من الأفراد والمجموعات والمؤسسات والكيانات المرتبطة بها؛ لمتابعة دراسات الحالة، حسب الاقتضاء؛ والتعمق في استكشاف أي قضايا أخرى ذات صلة وفقًا لتوجيهات اللجنة؛",1
"861","وتم تكبد جميع التكاليف في كانون الثاني/يناير وشباط/فبراير 1991.",0
"862","3. وزارة الداخلية",0
"863","(ج) التدابير التي تكفل حماية واحترام حقوق الإنسان للنساء والفتيات، ولا سيما فيما يتعلق بالدستور والنظام الانتخابي والشرطة والسلطة القضائية.",1
"864","إن ظروف المخيم سيئة، مع عدم تكافؤ فرص الحصول على المياه والمراحيض الصالحة للاستخدام، كما تصل معدلات سوء التغذية الحاد العالمي إلى 12.5 في المائة.",0
"865","وإذ ندرك ضرورة قيام القادة المدنيين والعسكريين، بما يتفق مع مبدأ مسؤولية القيادة، بإظهار الالتزام والإرادة السياسية لمنع العنف الجنسي ومكافحة الإفلات من العقاب وإنفاذ المساءلة، وأن التقاعس عن العمل يمكن أن يبعث برسالة مفادها أن حالات العنف الجنسي في الصراعات يتم التسامح.",1
"866","50 - ولذلك قررت اللجنة أن تحتفظ في القائمة، إلى حين توافر الوثائق اللازمة، بأسماء 45 فردا وردت وفاتهم في القائمة بالفعل أو أبلغت دولة عضو واحدة على الأقل عن وفاتهم إلى اللجنة.",1
"867","للحصول على قائمة مفصلة بمنشورات BaFin ذات الصلة، راجع. السؤال 11.",0
"868","وقد نفذت هذه الدول الثلاث برنامج العمل المتعلق بالأسلحة الصغيرة، ولكن اثنين آخرين لم يقدما تقارير عن برنامج العمل، ولا يبدو أنهما قد وضعا برنامج إنفاذ وطني لمكافحة تهريب الأسلحة.",1
"869","كما سيقوم NRBT ووزارة المالية فيما يتعلق بجوانب التمويل بتقديم الدعم لهذه المجموعة.",0
"870","6 - استنادا إلى الاستعراض الشامل لجميع الأسماء المدرجة في القائمة في عام 2010، عملا بالفقرة 25 من القرار 1822 (2008)، قامت اللجنة منذ ذلك الحين بتنفيذ العديد من الآليات لضمان أن القائمة تعكس على أفضل وجه التهديد الذي يشكله تنظيم القاعدة ولضمان ذلك. تتم مراجعة كل إدخال بشكل دوري لتحديد ما إذا كان الإدراج المستمر مناسبًا.",1
"871","وقد أذنت اللجنة للمفوضية السامية لحقوق الإنسان، بصفتها الأمانة المتبقية للجنة، بإتاحة الوصول إلى المواد الموجودة الموجودة في قاعدة البيانات للسلطات المختصة التي تجري تحقيقات موثوقة لأغراض ضمان المساءلة عن الجرائم وغيرها من الانتهاكات المرتكبة، وكشف الحقيقة بشأن الجرائم والانتهاكات الأخرى المرتكبة. الانتهاكات المرتكبة أو تنفيذ الجزاءات المستهدفة التي فرضتها الأمم المتحدة ضد أفراد أو مؤسسات معينة.",1
"872","وشدد الأمين العام المساعد، لدى تقديمه للتقرير، على خطر تدهور الوضع الأمني، على الرغم من الهدوء السائد في المنطقة، ولا سيما نتيجة لإدراج السلطات السودانية أبيي كمنطقة انتخابية للانتخابات الرئاسية. لعام 2015.",0
"873","94 - وجميع الدول، باستثناء دولة واحدة، التي لا تتوفر معلومات عنها، قامت بوضع استراتيجيات وهياكل مؤسسية لمكافحة الإرهاب، ويوجد تنسيق كامل أو جزئي بين وكالات إنفاذ القانون التي تتعامل مع قضايا مكافحة الإرهاب.",1
"874","تحديد مرتكبي الجرائم الدولية المحتملة",0
"875","57 - وبالإضافة إلى ذلك، قامت منظمة الطيران المدني الدولي والمنظمة البحرية الدولية، فضلا عن رابطات الصناعة غير الحكومية مثل الاتحاد الدولي للنقل الجوي، بوضع معايير لسلوك أعضائها ونقل الركاب وتحديثها بانتظام. البضائع الخطرة، بما في ذلك شحنات الذخيرة والمتفجرات.",1
"876","ويتخذ التمييز بين الجنسين أيضًا شكل استهداف النساء لدفع رشاوى أو غرامات.",0
"877","أودعت فرنسا صك تصديقها لدى الأمين العام في 26 آب/أغسطس 2003.",0
"878","وسيتم استخدام الأموال المتبقية لدعم تدابير التخفيف الإضافية، بما في ذلك التدريب قبل النشر وإنشاء أنظمة المراقبة والإنذار، بما في ذلك فرق الكلاب البوليسية، في معسكرات البعثة المتكاملة.",1
"879","39 - وفي إطار المنتدى العالمي لمكافحة الإرهاب، شارك فريق الرصد في حلقة العمل بشأن الممارسات الجيدة الاستباقية لمكافحة الإرهاب في قطاع العدالة الجنائية، التي عقدت في أبوجا، وفي اجتماع الفريق العامل المعني بمنطقة الساحل الذي عقد في وهران، الجزائر. في يونيو 2013، بهدف تعزيز نظام العقوبات وتقييم التهديد في المنطقة.",1
"880","6 - ورأت اللجنة أيضا أنه في الحالات التي يتم فيها التأكد من وفاة فرد ما، وحيث يثبت أن الفرد لم يكن يمتلك أي أصول أو أنه لا يوجد أي مستفيد من الأصول مدرج في القائمة، ينبغي للجنة أن تشرع في: شطب ذلك الشخص من القائمة (الفقرة 19).",1
"881","وكان هذا ممكنا إلى حد كبير بفضل قيادة رئيس الوزراء غوسماو، فضلا عن تعاون جميع الأحزاب السياسية الممثلة في البرلمان، بما في ذلك المعارضة، التي أبدت استعدادها للمضي قدما بشأن قضية وطنية ذات أولوية.",1
"882","377- يحظر التعذيب والمعاملة القاسية بموجب المادة 3 المشتركة بين اتفاقيات جنيف.",1
"883","الفقرة 159-160؛ الفقرات 28-31، 161-163.",0
"884","سابعا. بناء القدرات ودعم المحاكمات المتعلقة بالقرصنة في المنطقة",1
"885","ما يعادله بالدولار الأمريكي: 455,090,972 ريالاً إيرانيًا/1,375 330,975 دولارًا أمريكيًا",0
"886","الموقع: بجانب شركة تصنيع بطاريات نيرو، طريق الشهيد باباي السريع، ساحة نوبونياد، طهران، إيران؛ شارع باسداران، ص.ب 16765، طهران 1835، إيران؛ طريق بابائي السريع - بجوار نيرو إم إف جي، طهران، إيران",0
"887","إن وجهة نظر جمهورية تيمور - ليشتي الديمقراطية بشأن هذه المسألة معروفة جيدا وهي مسألة معروفة للعامة.",0
"888","أما الكشف عن الحركة غير القانونية للنقد والأدوات القابلة للتداول لحاملها عبر الحدود، والتنسيق بين الجمارك ووحدات الاستخبارات المالية وموظفي إنفاذ القانون في هذا الصدد، فهو إما غير موجود أو غير كاف.",1
"889","كما عززت الدول تنفيذ التدابير المطلوبة لمكافحة الإرهاب على المستوى المؤسسي.",1
"890","المركبات المسروقة -61,525 -202,000 342-344",0
"891","ولا تأخذ هذه الأرقام في الاعتبار التورط المحتمل للجماعات أو الأفراد المدرجين في القائمة في الهجمات التي أعلنت الجماعات غير المدرجة في القائمة مسؤوليتها عنها، على سبيل المثال حركة طالبان في باكستان أو حركة الشباب في الصومال.",0
"892","وستقوم المديرية بتيسير تقديم التدريب المطلوب لموظفي الجمارك وشرطة الحدود ووحدات الاستخبارات المالية في الربع الأول من عام 2014.",1
"893","وواصلت اللجنة النظر في ثلاثة طلبات للحصول على إعفاءات: الأول يتعلق باقتراح مقدم من وكالة متخصصة تابعة للأمم المتحدة لتقديم المساعدة التقنية إلى جمهورية إيران الإسلامية؛ والثاني للطلب الذي تلقته إحدى الدول من مركز الإجراءات المتعلقة بالألغام في الجمهورية الإسلامية الإيرانية والذي تم فيه اقتراح التعاون مع تلك الدولة في مجال الإجراءات المتعلقة بالألغام؛ والثالث لطلب تلقته إحدى الدول من جمهورية إيران الإسلامية للتدريب الفني للقوات المسلحة الإيرانية.",1
"894","&quot;ويرحب مجلس الأمن بأن التدابير الفعالة لمكافحة القرصنة من خلال زيادة المبادرات الوطنية والثنائية والمتعددة الأطراف فضلا عن آليات التعاون الإقليمية قد أدت إلى انخفاض كبير في عدد الهجمات الناجحة المرتبطة بالقرصنة في مناطق مختلفة، ويسلم بالحاجة إلى لمواصلة الجهود الرامية إلى اتخاذ تدابير مكافحة القرصنة هذه لأن هذه المكاسب يمكن عكسها طالما أن الظروف على الشاطئ مواتية لنشاط القراصنة في البحر.",1
"895","ومن نمط الضرر يتضح أنه كان انفجاراً واحداً لعبوة من مواد شديدة الانفجار.",1
"896","21 - ودعم الفريق العامل 3، برئاسة جمهورية كوريا، الجهود التي تبذلها الدول والصناعة البحرية والمجموعات العمالية لحماية السفن من القرصنة قبالة سواحل الصومال.",1
"897","260 - ويتطلب منع تنقل الإرهابيين عبر الحدود أيضا استخدام التكنولوجيا والمعدات، مثل أجهزة القراءة والماسحات الضوئية، عند نقاط التفتيش الحدودية لالتقاط بيانات المسافرين في الوقت الحقيقي والتحقق من تلك البيانات مقابل قواعد البيانات الوطنية والدولية الخاصة بالإنذار والجنائية.",1
"898","إجراءات الإغاثة والخدمات الاجتماعية التي تراعي الفوارق بين الجنسين ومعايير الأهلية. هـ.1. تطوير وتنفيذ وتقييم السياسات والاستراتيجيات المتعلقة بتعميم مراعاة المنظور الجنساني في جميع برامج إعادة الإعمار والتأهيل في مرحلة ما بعد الصراع.",1
"899","وتم إلقاء القبض على ثلاثة على الأقل من أعضاء طالبان الـ 142 المدرجين في القائمة، على الرغم من أن التهم المحددة الموجهة إليهم لا تزال غير واضحة.",1
"900","11. ومن تحقيق ذي مسارين، نشأ تحقيق لبناني وآخر للأمم المتحدة، وهو تحقيق تكميلي وموحد تجريه اللجنة والسلطات اللبنانية بالترادف.",1
"901","o بتاريخ 16 تشرين الثاني/نوفمبر 2014، أعدم تنظيم داعش 17 شخصاً في سوق الطبقة بالرقة بعد اتهامهم بالتجسس والعمل مع قوات النظام.",0
"902","وفي هذا الصدد، أحالت اللجنة، في رسالة مؤرخة 1 آب/أغسطس 2008 موجهة إلى رئيس مجلس الأمن، توصياتها إلى مجلس الأمن فيما يتعلق بفرض تدابير محددة الهدف ضد الأفراد والكيانات الذين حددتهم اللجنة.",1
"903","وتؤكد أن هذه الوثائق نُقلت من موقع المشروع في الكازاك إلى بغداد، على مسافة حوالي 400 كيلومتر.",0
"904","ومن خلال نهج واسع النطاق يشمل &quot;المجتمع بأكمله&quot;، تشكل الجهود الرامية إلى مكافحة التطرف العنيف أهمية بالغة لوقف التجنيد وتلبية احتياجات المقاتلين الإرهابيين الأجانب العائدين (لضمان عدم تحولهم إلى التطرف والعنف في وطنهم أو في بلدان ثالثة).",1
"905","46 - وعلى أرض الواقع، فإن الوضع معقد ومثير للقلق - وخاصة بالنسبة لطوائف الأقليات.",0
"906","8 - وبالتعاون الوثيق مع اللجنتين المنشأتين عملا بالقرارين 1267 (1999) و 1540 (2004) ووفقا لولايتها، ستولي اللجنة اهتماما خاصا للدول التي تتأخر في تقديم المعلومات ذات الصلة إليها، وتناقش أفضل السبل لذلك. لمعالجة هذه المسألة.",1
"907","&quot;ويشدد مجلس الأمن على أهمية التزام كل من إثيوبيا وإريتريا بإرساء الأساس للسلام المستدام في المنطقة، وإدراكا منه لمسؤوليات الأمم المتحدة بموجب اتفاقي الجزائر، يظل مصمما على تشجيع ومساعدة البلدين على تحقيق ذلك هذا الهدف.",1
"908","وكخطوة أولى، طلبت من السيد فان فالسوم إقامة اتصالات مع الطرفين والدول المجاورة للتأكد من وجهات نظرهما بشأن كيفية المضي قدما.",1
"909","ومن ثم، فإن فترة الـ 180 يوما الجديدة بموجب القرار 1153 (1998)، المعروفة عموما بالمرحلة الرابعة، بدأت في الساعة 00.01 بالتوقيت الشرقي القياسي من يوم 30 أيار/مايو 1998.",0
"910","16 - أنشئ موقع مستقل على شبكة الإنترنت لمكتب أمين المظالم (http://www.un.org/en/sc/ombudsperson/). ويقدم الموقع الإلكتروني معلومات أساسية عن عمليات المكتب، بما في ذلك وصف لإجراءات النظر في طلبات الرفع من القائمة وتوجيهات عامة بشأن محتوى الطلبات المقدمة إلى أمين المظالم.",1
"911","75 - دولة واحدة فقط من الدول الثماني في هذه المنطقة دون الإقليمية لديها تشريعات كافية تغطي جميع الجرائم الإرهابية ذات الصلة. وقد أصدرت أربع دول تشريعات لا تغطي سوى بعض الجرائم الإرهابية.",1
"912","ولكن الخطر الجسيم يظل قائماً، وهو أن البلاد سوف تواجه، نتيجة لهذا القرار ـ الذي ينتهك وثائق مؤتمري بون وبرلين ـ موقفاً متفجراً محفوفاً بمقاومة مسلحة جديدة وتفتت داخلي لهياكل السلطة.",0
"913","إنشاء وحدة الشؤون الجنسانية والتنمية في المقر الرئيسي وشبكة لمراكز تنسيق الشؤون الجنسانية على المستويين القطري والإقليمي.",1
"914","وأكد كتالوج المنتجات أن البضائع تم تصنيعها حسب الطلب وفقًا للمواصفات المقدمة من شركة SORG، وانحرفت عن المواصفات القياسية لشركة De Dietrich في العديد من النواحي.",0
"915","38 - يوعز إلى اللجنة بتحديد الحالات المحتملة لعدم الامتثال للتدابير المنصوص عليها في الفقرة 1 أعلاه وتحديد مسار العمل المناسب في كل حالة، ويطلب إلى الرئيس، في تقارير دورية تقدم إلى المجلس عملاً بالفقرة 46 أدناه، وتقديم تقارير مرحلية عن عمل اللجنة بشأن هذه المسألة؛",1
"916","افتتحت الجلسة الساعة 1.20 بعد الظهر",0
"917","أنشأت طاجيكستان إدارة المراقبة المالية (وحدة الاستخبارات المالية التابعة لها) في تشرين الأول/أكتوبر 2009 وأعدت مشروع قانون جديد لمكافحة غسل الأموال وتمويل الإرهاب في تشرين الثاني/نوفمبر 2010.",1
"918","المرأة ومنع نشوب الصراعات وحلها يدعو جميع الأطراف المعنية إلى ضمان معالجة مسألة حماية النساء والأطفال في تنفيذ [الاتفاق السياسي] وكذلك في مراحل إعادة الإعمار والانتعاش بعد انتهاء الصراع، بما في ذلك الرصد المستمر والإبلاغ عن حالة النساء والأطفال.",1
"919","· المرسومان الوزاريان 91/2000 (31.3.2000) و133/2000 (2.6.2000)",0
"920","وفقا للائحة المجلس (المفوضية الأوروبية) رقم 1334/2000، يعتبر النقل غير الملموس بمثابة تصدير.",0
"921","وحدة الاستخبارات المالية: منشأة وعاملة",0
"922","ويظل رئيس الوزراء نجيب ميقاتي وأعضاء حكومته في مناصبهم بصفة تصريف أعمال.",0
"923","14 - يطلب من فريق الخبراء أن يواصل التحقيق في تمويل ودور الجماعات المسلحة والعسكرية والسياسية في الهجمات ضد أفراد العملية المختلطة في دارفور، ويلاحظ أن الأفراد والكيانات الذين يخططون لهذه الهجمات أو يرعونها أو يشاركون فيها يشكلون تهديدا للسلام. الاستقرار في دارفور وبالتالي قد يستوفي معايير التصنيف المنصوص عليها في الفقرة 3 (ج) من القرار 1591 (2005)؛",1
"924","ولضمان أن يكون لدى مقدمي الالتماسات المحتملين فهم واضح للعملية وأنهم على دراية بالخطوات التي يتعين اتخاذها ولضمان الاتساق في التنفيذ، تم تطوير الممارسات والإجراءات ونشر المعلومات المتعلقة بها لزيادة تجسيد العملية.",0
"925","وبناء على طلب المجلس في قراريه 2170 (2014) و 2178 (2014)، تلقى المجلس أيضا إحاطات من رؤساء لجنة مجلس الأمن المنشأة عملا بالقرارين 1267 (1999) و 1989 (2011) بشأن تنظيم القاعدة وما يرتبط به من أفراد وكيانات ولجنة مجلس الأمن المنشأة عملا بالقرار 1373 (2001) بشأن مكافحة الإرهاب.",1
"926","لا توجد أنظمة بديلة لتحويل العملات.",0
"927","إن قرار طرد العاملين في المجال الإنساني وإسكات الآخرين عن طريق التهديد بالطرد، أو محاولات تقييد حرية حركة العملية المختلطة للاتحاد الأفريقي والأمم المتحدة في دارفور (يوناميد) هي جزء من هذه السياسة الرامية إلى الحد من قدرة المراقبة الدولية. مجتمع.",0
"928","سيتم دمج بعض الوكالات، وسيتم حل بعضها الآخر.",0
"929","وتمكنت اللجنة من تقديم رواية مفصلة ودقيقة لأحداث نيسان/أبريل وأيار/مايو التي أسفرت عن خسائر كبيرة في الأرواح والإصابات وأضرار واسعة النطاق في الممتلكات.",1
"930",":: تعزيز التعاون في تقديم الإرهابيين إلى العدالة، بما في ذلك التعاون في منع الإرهابيين والجرائم والتحقيق معهم ومحاكمتهم",1
"931","1. شيشيلي IT-03-67-Ar15bis",0
"932","الأحكام التكميلية الصادرة عن الجمارك السويدية (TFS 2000:29).",0
"933","وسيمكن التقدم المحرز في هذا المجال مراكز الأمن العام في جمهورية صربسكا وإدارة الشرطة في وزارة الداخلية في اتحاد البوسنة والهرسك من العمل باستخدام منهجية مالية محسنة في العام المقبل.",1
"934","4 - وفي كوت ديفوار، أجرى الفريق اتصالات وثيقة مع الفروع السياسية والشرطية والعسكرية لعملية الأمم المتحدة في كوت ديفوار.",1
"935","وإذ نرحب بإشراك المرأة في بعثات حفظ السلام في المهام المدنية والعسكرية ومهام الشرطة، والاعتراف بأن النساء والأطفال المتأثرين بالنزاعات المسلحة قد يشعرون بأمان أكبر عند العمل مع النساء والإبلاغ عن الانتهاكات في بعثات حفظ السلام، وأن وجود حفظة السلام من النساء قد يشجع للمرأة المحلية للمشاركة في القوات المسلحة وقوات الأمن الوطنية، مما يساعد على بناء قطاع أمني يسهل الوصول إليه ويستجيب للجميع، وخاصة النساء.",1
"936","وفي تقييم ذلك التقدم، من المهم أن ندرك المدى الذي قطعته تيمور - ليشتي في السنوات القليلة الماضية منذ استقلالها، ولكن من المهم بنفس القدر أن نعترف بالتحديات الكبيرة التي لا يزال يتعين علينا مواجهتها.",0
"937","وعند الموافقة على عملية للأمم المتحدة، ينبغي للمجلس أن يأخذ في الاعتبار الدور الأساسي الذي تؤديه الشرطة العسكرية والمدنية في المساعدة على تحقيق الاستقرار في حالات الأزمات والحفاظ على الأمن.",1
"938","وخلال هذه الفترة، ستواصل اللجنة تحقيقاتها في الجريمة ومساعدة السلطات اللبنانية على مواصلة التحقيق.",1
"939","ثانيا. التطورات خلال الفترة المشمولة بالتقرير",0
"940","(7) القرار رقم 91/97 الصادر عن البنك المركزي الكوبي؛",0
"941","وإذ يحيط علما بطلب حكومة أفغانستان أن يدعم مجلس الأمن المصالحة الوطنية، بما في ذلك عن طريق إزالة الأسماء من قوائم جزاءات الأمم المتحدة لأولئك الذين يتصالحون، وبالتالي، توقفوا عن المشاركة في أو دعم الأنشطة التي تهدد السلام والاستقرار والأمن. أمن أفغانستان،",1
"942","&quot;ويشدد مجلس الأمن على أهمية استكشاف القدرات المحتملة والحالية للمنظمات الإقليمية ودون الإقليمية في ميدان السلام والأمن، والتي تغطي، في جملة أمور، نطاق منع نشوب الصراعات، وبناء الثقة، وحل الصراعات، وصنع السلام، وحفظ السلام، بناء السلام بعد انتهاء الصراع، ويرحب بالحوار الإقليمي وتعزيز المعايير المشتركة وكذلك النهج الإقليمية المشتركة لتسوية النزاعات وغيرها من القضايا المتعلقة بالسلام والأمن.",1
"943","وفي هذا الصدد، أرفق طيه البيان الصادر عن تلك الجلسة (انظر المرفق).",0
"944","وفي أماكن أخرى، حدثت وفيات في ظروف عنيفة، ولم تكن السلطات قادرة أو راغبة في إصدار وثيقة رسمية لتأكيد الوفاة.",0
"945","وفي مناطق الأزمات وفي حالات ما بعد الصراع، يجب أن تركز الحلول المتعلقة بالتداول المفرط للأسلحة الصغيرة - بصرف النظر عن تدابير التخفيض والمراقبة الأساسية - على سبل العيش البديلة والمستدامة مع مراعاة العوامل المتعلقة بنوع الجنس والعمر.",1
"946","وإذ يشير إلى القرار 1373 (2001) المؤرخ 28 أيلول/سبتمبر 2001، الذي أنشأ لجنة مكافحة الإرهاب، وإذ يشير أيضا إلى قراراته الأخرى المتعلقة بالتهديدات التي يتعرض لها السلام والأمن الدوليان نتيجة للأعمال الإرهابية،",1
"947","وبالإضافة إلى الأمل المتجدد لشعب الجمهورية، أتاحت هذه التغييرات لبعثة الأمم المتحدة للإدارة المؤقتة في كوسوفو فرصة جديدة لتحسين مشاوراتها مع السلطات الاتحادية، والدخول في حوار بناء بشأن القضايا ذات الاهتمام المشترك.",0
"948",":: استعراض واقتراح كيفية تحديث نظام تقديم التقارير مع مراعاة توصية نتائج مؤتمر القمة العالمي لعام 2005 (انظر قرار الجمعية العامة A/60/1) بشأن توحيد متطلبات تقديم التقارير بالتعاون مع الهيئات الفرعية الأخرى التابعة لمجلس الأمن والمتعلقة بمكافحة الإرهاب مجلس.",1
"949","(أ) قام الجيش الماوي بتجنيد أعداد كبيرة من الأطفال قبيل التوقيع على اتفاق السلام الشامل.",0
"950","ووفقا لدولة أخرى، فإن أي استجابة شاملة تقودها الدولة لمكافحة التطرف يجب أن تعتبر المجتمعات المحلية نفسها جزءا لا يتجزأ من إطار الأمن الوطني.",1
"951","وترد العناصر الرئيسية لبيانه، وكذلك تبادل الآراء بين أعضاء الفريق العامل، في الموجز الوارد في الاستنتاجات ذات الصلة (S/AC.51/2013/3).",0
"952","وفي كثير من الحالات، تفتقر الدول إلى الموارد اللازمة أو لا تكون نشطة بما فيه الكفاية في مجال الدوريات والتفتيش والعمليات المشتركة مع الدول المجاورة، وكذلك في تنفيذ أعمال الشرطة المجتمعية على المستويات المحلية. إن إدخال مثل هذه التدابير على طول الحدود المفتوحة وتطبيق أشكال مبتكرة للتعاون والمساعدة في معالجة هذه المخاوف من شأنه أن يساعد في زيادة فعالية الضوابط الحدودية.",1
"953","وإذ يقرّ أيضاً بالتوصية المتزامنة للجنة بأن هناك حاجة إلى مساعدة دولية مستمرة لمساعدة السلطات اللبنانية على الوصول مباشرة إلى جذور هذا العمل الإرهابي، وبضرورة بذل جهد متواصل من جانب المجتمع الدولي لإنشاء منصة للمساعدة والتعاون معاً. السلطات اللبنانية في مجال الأمن والعدالة أمر ضروري،",1
"954","إن اعتماد قرار الجمعية العامة 57/145 (&quot;التصدي للتهديدات والتحديات العالمية&quot;) المؤرخ 16 كانون الأول/ديسمبر 2002، بتوافق الآراء، بمبادرة من الاتحاد الروسي، يؤكد من جديد اعتراف المجتمع الدولي بالحاجة إلى اعتماد نهج شامل تجاه هذه المسألة.",1
"955","وكان هناك اتفاق على ضرورة تعزيز بعثة منظمة الأمم المتحدة في جمهورية الكونغو الديمقراطية حتى تصل إلى القوام الموكل إليها في أقرب وقت ممكن، حتى تتمكن من الاضطلاع بالمهام المنوطة بها بفعالية.",0
"956","ويتعين على الدول أن تتأكد من أن تشريعاتها وتوجيهاتها تتسم بالمرونة والقوة الكافية لتغطية التهديدات الجديدة والحفاظ على وظيفتها الوقائية.",1
"957","وفي الفترة من 14 إلى 18 تشرين الأول/أكتوبر، شارك مكتب الأمم المتحدة لغرب أفريقيا ومكتب الأمم المتحدة الإقليمي في وسط أفريقيا في حلقة عمل نظمها حوض بحيرة تشاد في ياوندي لوضع استراتيجية إقليمية لمكافحة الإرهاب، فضلا عن إجراء مناقشات بشأن فرقة العمل المشتركة المتعددة الجنسيات.",1
"958","وفي صباح يوم 24 أيار/مايو، تعرض ثمانية جنود من القوات المسلحة التيمورية، كانوا يقومون بدورية مراقبة في التلال، لهجوم وتمت محاصرتهم من قبل مجموعة من الأشخاص المسلحين من موقع أعلى.",0
"959","وبمجرد اعتماد الخطة المنقحة من قبل اللجنة، سيكون النشاط ذو الأولوية للمديرية هو بدء الهيكل الجديد للمجموعات والوحدات وبدء العمل على وضع معايير ومواءمة الأحكام عبر النطاق الكامل لعمل المديرية.",1
"960","وتتوقع الدائرة الابتدائية أن تصدر حكمها في أيار/مايو 2010.",0
"961","ويأمر المفوضية بدراسة تمويل أنشطة الجماعة الاقتصادية لدول غرب أفريقيا بهدف ضمان توفير الموارد الكافية للمؤسسات.",0
"962","يشترك في رئاستها السفير جيرار أرو (فرنسا) والسفير كودجو مينان (توغو).",0
"963","2. محمد عبد الله عيسى، من سكان أطمة بريف إدلب",0
"964","18 - ورغم أن هذه هي المرة الأولى التي شرعت فيها منظومة الأمم المتحدة في بذل جهد تخطيطي بهذا القدر من الاتساع والتعقيد، ويغطي تقريبا جميع مجالات العمل الرئيسية في مجال المرأة والسلام والأمن، فإن خطة العمل على نطاق المنظومة توفر حلا شاملا. ثروة من المعلومات عن الأنشطة التي تضطلع بها منظومة الأمم المتحدة لصالح المرأة في مناطق الصراع وما بعد الصراع.",1
"965","المقرر عقدها يوم الخميس، 23 شباط/فبراير 2006، الساعة 15/10 صباحا",0
"966","(ب) معالجة أوجه القصور في تجريم تمويل الإرهاب وتجميد أصول الإرهابيين، وتعزيز رصد القطاع غير الربحي ونظم التحويلات البديلة؛",1
"967","61 - وكما يدعو برنامج العمل الحالي للجنة، فقد تواصلت الجهود الرامية إلى المضي قدما نحو تقديم التقارير الشاملة على المستوى الثنائي، مع بعثات الدول التي لم تقدم بعد تقاريرها إلى اللجنة في نيويورك، وفي إطار الفرص الإقليمية المتاحة. وغيرها من الأحداث.",1
"968","202 - تتمثل إحدى القضايا الرئيسية المتعلقة بتيسير التحقيق المناسب والملاحقة القضائية للسلوك الإجرامي في ضمان استعداد الأشخاص الذين لديهم معلومات ذات صلة للتقدم إلى السلطات، والإدلاء بشهادتهم في المحكمة حيثما كان ذلك مناسبا.",1
"969","233. توصي اللجنة بأن يتمكن المدّعون العامون من الوصول إلى أفراد الشرطة والتحقيق المتفانين، وعدد كافٍ من الموظفين الإداريين والترجمة والبحث، فضلاً عن الدعم اللوجستي اللازم.",1
"970","تقرير الأمين العام عن بعثة الأمم المتحدة المتكاملة في تيمور - ليشتي (S/2012/43).",0
