"","en_ar_DEEPL","MatCoop"
"615","تستند استنتاجاتنا حول حدوث انفجار فوق الأرض أو تحتها إلى الفحوصات التالية:",1
"616","2. الوضع في الشرق الأوسط.",0
"617","""ويذكّر مجلس الأمن بالتزامات جميع الدول بضمان احترام القانون الإنساني الدولي، بما في ذلك اتفاقيات جنيف الأربع، ويؤكد مرة أخرى مسؤولية الدول عن الامتثال لالتزاماتها بإنهاء الإفلات من العقاب ومحاكمة المسؤولين عن جرائم الحرب والإبادة الجماعية والجرائم ضد الإنسانية أو غيرها من الانتهاكات الجسيمة للقانون الإنساني الدولي.",1
"618","يبدو أن الحكومات تعتبر التهديد الإرهابي منخفضاً، وبالتالي تكرس موارد إنفاذ القانون في المقام الأول للتحقيق في الجرائم العادية.",0
"619","95. أتيحت لفريق الخبراء إمكانية الاطلاع على سجلات من مطارات الفاشر ونيالا والجنينة في دارفور ومطار الخرطوم الدولي لنطاقات تواريخ مختلفة ضمن ولاية الفريق.",0
"620","""وفي 30 تشرين الأول/أكتوبر 2006، استمع مجلس الأمن إلى السيد إيلي دوتيه، رئيس وزراء جمهورية أفريقيا الوسطى، وكذلك إلى الجنرال لامين سيسيه، الممثل الخاص للأمين العام.",1
"621","وسينصب التركيز في الأجل المتوسط على السيطرة على مناطق التعدين والقضاء على تهديد جماعات إيتوري المسلحة وتقييد وجود القوات الديمقراطية لتحرير رواندا في مناطق مختارة في ضوء عملية نزع السلاح والتسريح والإعادة إلى الوطن وإعادة الإدماج وإعادة التأهيل.",0
"622","يضع معايير لتحميل الخراطيش للأغراض التجارية.",0
"623","زيادة التكاليف: تكاليف إعادة التوجيه (رحلات طيران آسمان الجوية)",0
"624","أما نجاحه الرئيسي الآخر فيتمثل في بقائه على قيد الحياة، لكن صفوفه آخذة في التناقص، ومع مرور الوقت، سيتم القبض على معظم قادته الرئيسيين أو قتلهم.",0
"625","الحالة بين إريتريا وإثيوبيا (انظر S/1998/44/Add.25؛ و S/1999/25/Add.3 و 5 و 7؛ و S/2000/40/Add.18 و 19 و 30 و 32 و 36 و 45 و 46؛ و S/2001/15/Add.6 و 11 و 16 و 20 و 37 و 46؛ و S/2002/30/Add.2 و 9 و 10 و 19 و 32 و 35؛ و S/2003/40/Add.10؛ وانظر أيضا S/2001/15/Add.37؛ و S/2002/30/Add.10 و 32؛ و S/2003/40/Add.10)",0
"626","ومن شأن هذا الخيار أن يتمتع بميزة تسخير استعداد الدول الأعضاء لتخصيص أصول بحرية قوية للتصدي للتهديدات الناشئة على الأرض.",1
"627",":: قيام المؤسسة المالية بتحديد العمليات المحدودة والمشبوهة، بما في ذلك العمليات المحتملة، وكذلك مصادر الأموال التي يستخدمها العميل في هذه العمليات.",0
"628","(أ) الموقف الموحد للمجلس 2005/411/CFSP المؤرخ 2 حزيران/يونيه 2005;",0
"629","49. يؤكد أنه لا ينبغي ترك أي مسألة معلقة أمام اللجنة لفترة تزيد على ستة أشهر، ما لم تقرر اللجنة على أساس كل حالة على حدة أن هناك ظروفا استثنائية تتطلب وقتا إضافيا للنظر فيها، وفقا للمبادئ التوجيهية للجنة;",0
"630","وعلاوة على ذلك، تم تحديد هذه المجالات كأولويات للعديد من كيانات الأمم المتحدة في خطة العمل للفترة 2005-2007.",0
"631","وكان من رأي بعثة تقصي الحقائق أنه بما أن مصداقية السلطات اللبنانية التي تجري التحقيق كانت موضع شكّ، ينبغي إجراء تحقيق دولي مستقل لإثبات الحقيقة.",1
"632","27. وقد أعربت في مناسبات عدة عن قناعتي الراسخة بأن نزع سلاح حزب الله والميليشيات الأخرى يمكن أن يتحقق على أفضل وجه من خلال عملية سياسية يقودها اللبنانيون وتحقق الهدف النهائي المتمثل في عدم وجود أسلحة أو قوات مسلحة في لبنان غير أسلحة الدولة اللبنانية.",1
"633","ثالثا - تنفيذ الفقرة 9 من القرار 1846 (2008). تنفيذ الفقرة 9 من القرار 1846 (2008)",0
"634","(ج) صيانة المطارات ومدارج الطائرات التي تستخدمها البعثة في فرشانا وقوز بيضا وباهاي وعريبا وغيريدا وبيراو;",0
"635","3. يقرر إبقاء المسألة قيد نظره.",0
"636","54. هناك عدة محطات طريق قيد الإنشاء.",0
"637","وأكون ممتنا لو تفضلتم بإطلاع أعضاء مجلس الأمن على هذه الرسالة.",0
"638","وقد تم قطع بعض الأشواط في استيفاء شروط القبول في نظام عملية كيمبرلي لإصدار شهادات عملية كيمبرلي.",0
"639","16. يكرر التأكيد على أنه يجب على اللجنة أن تتخذ قرارا سلبيا بشأن الإخطارات المقدمة عملا بالفقرة 1 (أ) من القرار 1452 (2002)، وذلك لمنع الإفراج عن الأموال والأصول المالية أو الموارد الاقتصادية الأخرى التي قررت الدولة (الدول) المبلغة أنها ضرورية لتغطية النفقات الأساسية;",0
"640","وقد أصبحت جميع المقاطعات ومدينة بوينس آيرس المتمتعة بالحكم الذاتي أطرافًا في القانون رقم 24.059.",0
"641","وكحد أدنى، ينبغي أن تشمل على الأقل توضيحاً من القيادة العليا للبعثة لفهمها لحماية المدنيين والأدوار والمسؤوليات التفصيلية داخل البعثة في القيام بهذه الأنشطة، والتعامل مع التهديدات اليومية والمستمرة منخفضة المستوى والأزمات المحتملة.",1
"642","وخلال الأشهر الثلاثة الماضية، قامت وحدة التحقيق الخاصة المشتركة التابعة لبعثة الأمم المتحدة لتحقيق الاستقرار في هايتي بالتحقيق في أربع حالات على الأقل من حالات الإعدام بإجراءات موجزة مزعومة.",1
"643","البروتوكول الثاني المكمل للاتفاقية الأوروبية للمساعدة المتبادلة في المسائل الجنائية;",0
"644","ولا يقتصر الأمر على اقتراب موعد الانتخابات بشكل واضح، بل إن الوضع على طول حدود ليبيريا مع كوت ديفوار يتطلب مراقبة دقيقة تحسباً لأي تداعيات أمنية محتملة.",0
"645","100. وتم وضع برنامج للناخبين من ذوي الاحتياجات الخاصة لتمكين فئات خاصة من الناخبين، بما في ذلك المقيمون في منازلهم بسبب الخوف، والمقيمون في المستشفيات، والمعوقون عقلياً، والمسنون ونزلاء السجون، من التسجيل والتصويت في آن واحد.",1
"646","43. عدم الانتشار (29 آذار/مارس 2006؛ 7 أيلول/سبتمبر 2011).",0
"647","كما أنه سيضع أساسًا لآلية فعالة لمراقبة الأسلحة النارية، والتي يمكن أن تساعد السلطات على إدارة حيازة الأسلحة.",1
"648","وقد هرعت سيارات الدفاع المدني وفرق الإطفاء والصليب الأحمر إلى المنطقة وتحركت لإخماد الحريق وجمع الجثث ونقل الجرحى إلى المستشفى.",1
"649","7. من أجل تحقيق قدر أكبر من الاتساق ومطابقة الأحكام على جميع الوثائق المعدة للجنة، سيتم إنشاء آليات مشتركة بين المجموعات للتركيز على مختلف المجالات الفنية التي تناولها القراران 1373 (2001) و 1624 (2005)، وستُنشأ وحدة لمراقبة الجودة لاستعراض جميع الوثائق قبل إصدارها.",1
"650","وفي هذه الحالة، يُشتبه في ارتكابهم هجمات عشوائية على المدنيين، وهي جريمة حرب.",0
"651","ويمكن أن تؤدي الموارد القابلة للنهب، على وجه الخصوص، والتي يمكن الوصول إليها مباشرة من قبل كوادر المقاتلين (وليس من خلال سلسلة القيادة)، إلى إطالة أمد الصراع من خلال خلق مشاكل انضباطية تجعل من الصعب على القادة فرض تسوية على الأتباع.",0
"652","55. ولتحسين دعمها اللوجستي للوحدات والشرطة المنتشرة في أصعب البيئات في مالي، قامت البعثة بتعيين موظفي دعم مدنيين لتيسير التخطيط اللوجستي والإبلاغ لبعض الوحدات العسكرية المنتشرة في كيدال وتيساليت.",1
"653","في الوقت نفسه، وعلى الرغم من الوعود التي تحملها عملية التحول الديمقراطي، لا ينبغي أن ننسى أنها مرحلة بالغة المسؤولية في تاريخ الشرق الأوسط تتطلب أعلى درجات اليقظة والعمل الدؤوب من أجل استبعاد الحسابات الخاطئة وعدم القدرة على التنبؤ بمستقبل المنطقة.",0
"654","11. وقد اقتُرح نهج مماثل على مجلس وزراء الجماعة الاقتصادية لدول غرب أفريقيا من خلال تقرير قُدم في اجتماعه المعقود في 22 كانون الأول/ديسمبر 2006 في واغادوغو.",0
"655","72. وفي غضون ذلك، أُحرز تقدم كبير في تدريب الشرطة الوطنية الكونغولية التي ستوفر الأمن للانتخابات.",1
"656",":: :: تعزيز التعاون في تقديم الإرهابيين إلى العدالة، بما في ذلك التعاون في منع الإرهابيين والجرائم والتحقيق فيها وملاحقتهم قضائيا",1
"657","وبالمثل، تحتاج الجماعات المدرجة في القائمة إلى أن تكون قادرة على استخدام القوة لدعم أهدافها، وفي المناطق التي تنشط فيها هذه الجماعات بشكل أكبر، يبدو أنه لا يوجد نقص في الأسلحة والمتفجرات.",0
"658","(ج) الفترة المالية للجنة هي فترة سنتين وتتألف من سنتين تقويميتين متتاليتين;",0
"659","توجد تدابير لمنع إساءة استخدام إجراءات اللجوء بشكل جزئي في خمس دول فقط.",1
"660","وقدرت منظمة ""محيطات ما بعد القرصنة""، وهي منظمة غير حكومية، أنه تم إنفاق 3.2 مليار دولار في عام 2013 للتصدي للقرصنة، حيث أنفق المجتمع الدولي حوالي 139 مليون دولار لكل هجوم.",1
"661","وسيساعد اللجنة أيضا في تقييمها لاحتياجاتها من المساعدة التقنية الرامية إلى استكشاف سبل تيسير تقديم المساعدة التقنية للدول الأعضاء المعنية على نحو أكثر فعالية.",1
"662","كما التزموا أيضًا بالتحقق من أن جميع المجندين فوق سن 18 عامًا.",0
"663","بناء وصيانة كلية الفنون الموسيقية والمسرحية؛ و",0
"664","2. بناء الثقة وتعزيز الاستقرار داخل الدولة المضيفة عن طريق تعزيز الحقيقة والمصالحة من خلال:",1
"665","173. وكان من دواعي سرور الفريق أن يلاحظ أن عددا من البلدان قد علقت أو منعت تصدير السلع والخدمات العسكرية إلى كوت ديفوار.",0
"666","ولم يذكر سوى أقل من نصف الدول الـ 140 التي قدمت تقارير بموجب القرار 1455 (2003) الخطوات التي اتخذتها لتقييد أو تنظيم حركة السلع الثمينة، أما الدول التي فعلت ذلك فقد أشارت عموما إلى الضوابط التي تفرضها تشريعات الجمارك والضرائب فقط.",1
"667","وينبغي أن يؤخذ في الاعتبار أنه في الوقت الذي يتيح فيه توفير حماية أفضل للمدنيين، فإن قدرات مثل تحسين الاستخبارات وقدرات الرد السريع وعوامل التمكين الحاسمة غالباً ما تكون لها آثار كبيرة على الموارد والدعم الميداني أو قد تتطلب مجموعة أكبر من البلدان المساهمة بقوات عسكرية وقوات شرطة.",1
"668","32. تم تحديد عدة أنواع من المفسدين ووضع استراتيجيات للتعامل معهم.",0
"669",":: تكفل اللجنة امتثال أي تدابير تتخذها الدول لمكافحة الإرهاب لجميع التزاماتها بموجب القانون الدولي، ولا سيما قانون حقوق الإنسان وقانون اللاجئين والقانون الإنساني.",1
"670","وحيثما أمكن، تعمل الحكومات مع أقاليمها لتشجيعها على صياغة القوانين المحلية المناسبة لمكافحة الإرهاب، ولكن هناك حاجة إلى إدخال تحسينات على هذه الأطر في العديد من الحالات.",1
"671","396. غير أن اللجنة تمكنت من خلال تحقيقاتها الخاصة من جمع المزيد من المعلومات الجوهرية عن حالات الاختفاء القسري.",1
"672","وفيما يتعلق بنزع سلاح المقاتلين السابقين وتسريحهم وإعادة إدماجهم، اتفقت الأطراف على أن يجتمع رؤساء أركان القوات المسلحة الوطنية الإيفوارية والقوات الجديدة في 7 تموز/يوليه لوضع الصيغة النهائية لجدول زمني لنزع السلاح والتسريح وإعادة الإدماج من المقرر أن يبدأ بحلول نهاية تموز/يوليه.",1
"673","شركة يونايتد تكنولوجيز كوربوريشن - برات آند ويتني، المحركات الحكومية والدفع الفضائي",0
"674","ويسرني أن أشير إلى أن المجلس أقر بأهمية زيادة التنسيق وتبادل المعلومات بين الجهات الفاعلة المشاركة في رصد حظر الأسلحة.",0
"675","الغرفة والطعام والغسيل والهاتف من 1 آب/أغسطس إلى 21 تشرين الثاني/نوفمبر 1990",0
"676","وعلاوة على ذلك، ترى شيلي أن الفقرة 2 من منطوق مشروع القرار تتضمن إدانة للهجمات الانتحارية ضد المدنيين فقط.",0
"677","توفير التدريب التوعوي بشأن حقوق الإنسان وحقوق المرأة والطفل لجميع الموظفين الآخرين.",1
"678","(ب) الشمولية، من أجل إشراك جميع أصحاب المصلحة;",0
"679","التكليف بإنشاء آليات مناسبة ومكيفة محلياً للحقيقة والمصالحة (مثل المساعدة التقنية والتمويل وإعادة إدماج المدنيين داخل المجتمعات المحلية).",1
"680","19. واصلت أمينة المظالم والموظفون في مكتبها التفاعل مع ممثلي فرقة العمل المعنية بالتنفيذ في مجال مكافحة الإرهاب والمديرية التنفيذية للجنة مجلس الأمن المنشأة عملا بالقرار 1373 (2001) بشأن مكافحة الإرهاب، وكذلك مع فرع منع الإرهاب التابع لمكتب الأمم المتحدة المعني بالمخدرات والجريمة ومفوضية الأمم المتحدة لحقوق الإنسان.",1
"681","إن مسؤوليتهما أهم من مسؤوليته المباشرة، ولكنها أقل من مسؤوليات أخرى أكثر شمولاً من مسؤوليته المباشرة.",0
"682","78. توجد لدى سبع دول هياكل مؤسسية لتنفيذ استراتيجيات مكافحة الإرهاب.",1
"683","- فيما يتعلق بالنقطتين الأوليين: تم إحراز تقدم كبير في كلا المجالين منذ تقديم التقرير الرابع للجمهورية التشيكية. فقد أُقر تعديل قانون مكافحة غسل الأموال في 8 نيسان/أبريل 2004 ودخل حيز النفاذ في 1 أيلول/سبتمبر 2004. وينص هذا التعديل على واجب الإبلاغ عن المعاملات المشبوهة المرتبطة ليس فقط بغسل الأموال، بل أيضا بتمويل الإرهاب. ويحدد التعديل بشكل أوضح الأشخاص الطبيعيين والكيانات الاعتبارية التي تدخل في نطاق القانون.",1
"684","""ويعلق مجلس اﻷمن أهمية كبيرة على دور منظمة الوحدة اﻷفريقية ويرحب بقرارها إنشاء الفريق الدولي للشخصيات البارزة للتحقيق في اﻹبادة الجماعية في رواندا واﻷحداث المحيطة بها (S/1998/461).",1
"685","""ويعرب مجلس الأمن عن قلقه من أن الطائرات أو وسائل النقل الأخرى المنطلقة من الأراضي التي يسيطر عليها تنظيم الدولة الإسلامية في العراق والشام وجبهة النصرة يمكن أن تُستخدم لنقل الذهب أو غيره من المواد الثمينة والموارد الاقتصادية لبيعها في الأسواق الدولية، أو لنقل الأسلحة والعتاد لاستخدامها من قبل تنظيم الدولة الإسلامية في العراق والشام وجبهة النصرة، ويلاحظ أن الأفراد أو الكيانات الضالعين في مثل هذه الأنشطة قد يكونون مؤهلين للإدراج في القائمة التي وضعتها اللجنة المنشأة عملا بالقرار 1267/1989; يعرب عن قلقه إزاء التقارير التي تفيد بأن قطعاً ذات أهمية أثرية وتاريخية وثقافية ودينية تُنقل بصورة غير مشروعة من الأراضي التي يسيطر عليها تنظيم الدولة الإسلامية في العراق والشام وجبهة النصرة والتي قد تدر دخلاً على تلك الجماعات، ويدعو الدول الأعضاء إلى اتخاذ التدابير المناسبة لمنع هذه التجارة غير المشروعة; وفي هذا الصدد، يذكّر جميع الدول بأنه يتعين عليها أن تكفل عدم إتاحة أي أموال أو أصول مالية أو موارد اقتصادية، بشكل مباشر أو غير مباشر، لصالح تنظيم الدولة الإسلامية في العراق والشام وجبهة النصرة وسائر الأفراد والجماعات والمؤسسات والكيانات المرتبطة بتنظيم القاعدة، ويتطلع إلى أن تنظر اللجنة المعنية بتنظيم القاعدة بشكل مستفيض في التوصيات ذات الصلة المتعلقة بالتدابير الجديدة الرامية إلى تعطيل هذه الأنشطة الواردة في التقرير المتعلق بتقرير فريق الدعم التحليلي ورصد الجزاءات المفروضة على تنظيم القاعدة عملا بالقرار 2170، بهدف مواصلة تعطيل أنشطة تلك الجماعات.",0
"686","كان المشروع بطول 130 كيلومتراً.",0
"687","كما ينص اتفاق 12 ديسمبر على الإفراج المبكر عن أسرى الحرب وجميع الأشخاص الآخرين المحتجزين نتيجة للنزاع المسلح وإعادتهم إلى أوطانهم.",1
"688","S/RES/1756 (2007)، الفقرة 3 من المنطوق",0
"689","9. يﻻحظ تأييد أطراف اتفاق السﻻم ﻻستمرار قوة تثبيت اﻻستقرار المتعددة الجنسيات، الوارد في اﻹعﻻن الصادر عن اﻻجتماع الوزاري لمؤتمر تنفيذ السﻻم المعقود في مدريد في ١٦ كانون اﻷول/ ديسمبر ١٩٩٨ )S/1999/139، المرفق(؛",0
"690","ومع ذلك، فقد ظهرت اختلافات واضحة بين الملاحظات التي تم إجراؤها في نقاط التسجيل في مواقع المخيمات وغير المخيمات.",0
"691","8. الحالة في الصومال (17 آذار/مارس 1992؛ 15 أيار/مايو 2012).",0
"692","تقرير الأمين العام عن بعثة الأمم المتحدة المتكاملة في تيمور - ليشتي (S/2012/43).",0
"693","1. يثني على الجهود المتواصلة التي يبذلها الاتحاد الأفريقي، ولا سيما الرئيس أولوسيغون أوباسانجو، رئيس نيجيريا، رئيس الاتحاد الأفريقي، والرئيس ثابو مبيكي، رئيس جمهورية جنوب أفريقيا، وسيط الاتحاد الأفريقي، والجماعة الاقتصادية لدول غرب أفريقيا، وقادة المنطقة لتعزيز السلام والاستقرار في كوت ديفوار، ويكرر تأكيد دعمه الكامل لهم؛",0
"694","وبغض النظر عن الدافع، فلو كانت نية المهاجمين القضاء على المجموعة لما أبقوا على أحد الإخوة.",0
"695","14. يلاحظ تطور العلاقة بين الإرهاب وتكنولوجيات المعلومات والاتصالات، ولا سيما الإنترنت، واستخدام هذه التكنولوجيات لارتكاب أعمال إرهابية، وتيسير هذه الأعمال من خلال استخدامها للتحريض على الأعمال الإرهابية أو التجنيد لها أو تمويلها أو التخطيط لها، ويوجه المديرية التنفيذية إلى مواصلة معالجة هذه المسألة، بالتشاور مع الدول الأعضاء والمنظمات الدولية والإقليمية ودون الإقليمية والقطاع الخاص والمجتمع المدني، وإلى إسداء المشورة إلى لجنة مكافحة الإرهاب بشأن النُهج الأخرى;",1
"696","ومع ذلك، وبالنظر إلى أهمية هؤلاء الأشخاص بالنسبة ليونيتا، ستبقي الآلية المسألة قيد نظرها.",0
"697","وتشارك في البعثة جميع الدول الأعضاء في الاتحاد الأوروبي الـ 25 الأعضاء في الاتحاد الأوروبي باستثناء دولة واحدة (420 ضابط شرطة) إلى جانب تسع دول مساهمة من خارج الاتحاد الأوروبي (52 ضابط شرطة).",1
"698","4. وقد هيأ تبادل الزيارات الرفيع المستوى بين العراق والكويت الذي جرى مؤخرا مناخا إيجابيا لاتصالات المنسق مع ممثلي العراق والكويت وكذلك مع الأعضاء الآخرين في اللجنة الثلاثية ولجنتها الفرعية الفنية التي لا تزال الهيئة الرئيسية لمعالجة مسألة الأشخاص مجهولي المصير من حرب الخليج 1990-1991.",1
"699","86. كشفت نتائج التحقيق الأسترالي ما يلي: (أ) أن المجموعة كانت مسافرة إلى جدة في إطار رحلة حج دينية؛ (ب) لم يتم الكشف عن أي متفجرات عضوية أو غير عضوية شائعة أو بقايا ما بعد الانفجار في أي من العينات المأخوذة؛ (ج) لم يكن لأي شخص قابلته السلطات الأسترالية فيما يتعلق بهذا التحقيق أي ضلوع في اغتيال الحريري أو أي معرفة بأي ضلوع في اغتيال الحريري. خامسا - تحقيق اللجنة",1
"700","8 سبتمبر 2003، منطقة موقور، ولاية غزني، أفغانستان",0
"701","وقد قامت بعثة شرطة الاتحاد الأوروبي بإضفاء اللامركزية على مهام الاتصال الخاصة بها، وذلك لتحسين التنسيق على المستوى المحلي، في حين أن الأعمال التحضيرية التي سبقت وصول قوة الاتحاد الأوروبي قد سهلت عملية الانتقال.",1
"702","إذ يتصرف بموجب الفصل السابع من ميثاق الأمم المتحدة,",0
"703","كما واصل الفريق الاضطلاع بدور نشط في وضع تدابير لمكافحة تمويل الإرهاب من خلال مشاركته في الاجتماعات العامة لفرقة العمل المعنية بالإجراءات المالية واجتماعات الهيئات الإقليمية على غرار فرقة العمل المعنية بالإجراءات المالية.",1
"704","حجة شركة تكنوبرومكسبورت هي أن المعدات والمواد المعنية تم شحنها ""C&F"".",0
"705","وقد استحدثت جميع الدول تقريبا نظما للإنذار المبكر وترتيبات لتبادل المعلومات. ولدى جميع الدول تقريبا أيضا ترتيبات للمساعدة القانونية المتبادلة في المسائل الجنائية وتسليم المجرمين.",1
"706","ومع ذلك، لم تعتمد سوى 20 دولة فقط تدابير عملية واستراتيجية وطنية لقمع التجنيد من قبل الجماعات الإرهابية.",1
"707","(ج) توفير الدعم لخارطة الطريق للمرحلة الانتقالية.",0
"708","4. وبلغ متوسط الإيرادات الشهرية المستحقة لصندوق التعويضات للسنة حتى الآن حوالي 351.2 مليون دولار، مع استمرار تجاوز متوسط المدفوعات الفصلية من التعويضات الممنوحة ما يزيد على بليون دولار.",1
"709","احترام حق اللاجئين والنازحين في العودة الطوعية بأمان وكرامة إلى ديارهم.",1
"710","""ويلاحظ مجلس الأمن ولايتي بعثة منظمة الأمم المتحدة لتحقيق الاستقرار في جمهورية الكونغو الديمقراطية وبعثة الأمم المتحدة في جنوب السودان للمساعدة في حماية المدنيين في المناطق المتضررة من جيش الرب للمقاومة ودعم نزع سلاح مقاتلي جيش الرب للمقاومة وتسريحهم وإعادة إدماجهم في بلدانهم.",1
"711","وعلاوة على ذلك، فإن تفاعلات الفريق مع الدول الأعضاء واللجنة ستتغير بشكل كبير إذا أصبح الفريق حكما في قرارات الإدراج والشطب من القائمة.",1
"712","لا تزال المحاكمة في قضية مقتل الناشط الحقوقي فلوريبيرت شيبية باهيزير وسائقه فيديل بازانا في 2 يونيو/حزيران 2010، جارية.",1
"713","""ويشدد مجلس الأمن على استمرار الحاجة إلى اتخاذ تدابير لمنع وقمع تمويل الإرهاب والمنظمات الإرهابية، ويكرر تأكيد التزامات الدول الأعضاء في هذا الصدد، بما في ذلك التنفيذ الفعال لهذه التدابير، وينوه بالعمل الهام الذي تقوم به كيانات الأمم المتحدة وغيرها من المنظمات المتعددة الأطراف، ولا سيما فرقة العمل المعنية بالإجراءات المالية.",1
"714","27. يقرر أن يبقي هذه المسألة قيد نظره.",0
"715","وإنني ممتن للغاية لممثلي الخاص بالنيابة، ديفيد غريسلي، ونائب ممثلي الخاص، أرنولد أكودجينو، وكذلك لجميع موظفي الأمم المتحدة المدنيين والنظاميين في مالي، على عملهم الشاق المتواصل في ظروف صعبة للغاية لاستعادة السلام والاستقرار الدائمين في البلاد.",0
"716","ومن بين أنظمة عقوبات مجلس الأمن الـ 12، هناك 5 أنظمة عقوبات لمجلس الأمن تتضمن معايير الإدراج المتعلقة بانتهاكات القانون الدولي لحقوق الإنسان والقانون الدولي الإنساني، وتتضمن على وجه الخصوص انتهاكات حقوق الأطفال والنساء في حالات النزاع.",1
"717","تعمل ثلاثة مكاتب إقليمية في نيالا والجنينة والفاشر في نيالا والجنينة والفاشر، ومن المتوقع افتتاح مكتب رابع في زالنجي في أوائل يونيو.",0
"718","عام في 6 تموز/يوليه 2010، بلغ قوام بعثة بعثة الاتحاد الأوروبي المعنية بسيادة القانون في كوسوفو 746 2 موظفاً (633 1 موظفاً دولياً و 100 1 موظف محلي).",0
"719","464. قدمت اللجنة توصيات في مجالات الأمن، والمساعدات الإنسانية، وتعزيز البنية الاجتماعية، والخدمات والتنمية، وفتح مراكز الشرطة مع توفير اللوجستيات الكافية للاستجابة السريعة للأزمات ومصادرة الأسلحة التي تقع في الأيدي الخطأ.",0
"720","وفيما يتعلق ببوروندي، دعت البعثة الجماعات المسلحة إلى وقف جميع الأعمال العدائية وبدء مفاوضات لوقف إطلاق النار دون مزيد من التأخير.",0
"721","(ج) منع توريد وبيع ونقل الأسلحة وما يتصل بها من أعتدة بجميع أنواعها، بما في ذلك الأسلحة والذخائر، والمركبات والمعدات العسكرية، والمعدات شبه العسكرية، وقطع الغيار اللازمة لما سبق ذكره، والمشورة الفنية أو المساعدة أو التدريب المتصل بالأنشطة العسكرية، إلى هؤلاء الأفراد والجماعات والمؤسسات والكيانات من أراضيها أو من جانب رعاياها خارج أراضيها، أو باستخدام السفن أو الطائرات التي ترفع أعلامها، بشكل مباشر أو غير مباشر، أو باستخدام قطع الغيار اللازمة لما سبق ذكره، أو تقديم المشورة الفنية أو المساعدة أو التدريب المتصل بالأنشطة العسكرية;",1
"722","يشرفني أن أحيل إليكم طيه رسالة مؤرخة 11 كانون الأول/ديسمبر 2008 موجهة إليكم من بوريس تاديتش، رئيس جمهورية صربيا، مؤرخة 11 كانون الأول/ديسمبر 2008.",0
"723","(أ) وصف ولاية الفريق ومنهجيته;",0
"724","(1 يورو يساوي 1.95 ليفا بلغاري)",0
"725","النظر، حسب الاقتضاء، في فائدة إنشاء قوائم وشبكات للخبراء داخل منظومة الأمم المتحدة وخارجها والعمل معها، حسب الاقتضاء",1
"726","ومنذ يناير/كانون الثاني، تم تسريح 444 من مقاتلي القوات الديمقراطية لتحرير رواندا، من بينهم 259 رواندياً و185 كونغولياً.",1
"727","الحركة العربية لأزواد، وتنسيقية الحركات والقوات الوطنية للمقاومة وائتلاف الشعب من أجل أزواد، الموقعين على الاتفاق التمهيدي للانتخابات الرئاسية ومحادثات السلام الشاملة في مالي التي اختتمت في 18 حزيران/يونيه 2013 في واغادوغو:",0
"728","وبالنسبة للمؤسسات المصرفية، فإن هذا الالتزام منصوص عليه أيضًا في لائحة البنك الوطني التشيكي رقم 1 الصادرة في 8 سبتمبر 2003.",1
"729","الفقرات 45-49، 53-55؛ الفقرات 45-48؛ الفقرة 57.",0
"730","40. وقد أبلغتني الحكومة اللبنانية أنها اتخذت تدابير هامة من أجل تقييد تدفق الأسلحة والأشخاص وحرية حركة الأسلحة والعناصر المسلحة من وإلى مخيمات اللاجئين الفلسطينيين في لبنان في الأسابيع الأخيرة، ولا سيما منذ نهاية أيلول/سبتمبر 2005.",1
"731","(أ) بناء قدرات أنظمة مكافحة غسل الأموال ومكافحة تمويل الإرهاب لديها، مع التركيز بشكل خاص على وحدات الاستخبارات المالية، وتجميد أموال الإرهابيين وأصولهم، وتنظيم المنظمات الخيرية؛",1
"732","وعلاوة على ذلك، فإن مشاركة عنصر مدني قوي أمر أساسي لتقديم المساعدة الإنسانية وإعادة إرساء النظام العام والمؤسسات العامة العاملة وإعادة الإعمار وإعادة التأهيل وبناء السلام من أجل تحقيق التنمية المستدامة على المدى الطويل.",1
"733","وتنظر حاليا لجنة مجلس الأمن المنشأة عملا بالقرار 1267 (1999) بشأن تنظيم القاعدة وحركة الطالبان وما يرتبط بهما من أفراد وكيانات في التقرير المتعلق بنتائج استعراض الأسماء المدرجة في القائمة الموحدة الوارد وصفها في الفقرة 25 من القرار 1822 (2008).",0
"734","وقد تم التوصل إلى هذه القيمة عن طريق تعديل المخزون النهائي في 30 حزيران/يونيه 1990 بإضافة مبلغ 528 ديناراً كويتياً إلى المخزون وإزالته منه خلال شهر تموز/يوليه 1990.",0
"735","على سبيل المثال، في عام 2009، أنشأت بوتان وحدة قوات خاصة من النخبة في إدارة الشرطة للتصدي للإرهاب.",1
"736","""ويرحب مجلس الأمن بحقيقة أن التدابير الفعالة لمكافحة القرصنة من خلال زيادة المبادرات الوطنية والثنائية والمتعددة الأطراف، وكذلك آليات التعاون الإقليمية، قد أدت إلى انخفاض كبير في عدد الهجمات الناجحة المتصلة بالقرصنة في مختلف المناطق، ويقر بضرورة مواصلة الجهود المبذولة في إطار تدابير مكافحة القرصنة هذه، إذ إن هذه المكاسب لا يمكن عكس مسارها ما دامت الظروف على الشاطئ مواتية لنشاط القراصنة في البحر.",1
"737",":: :: توفير منظور شامل للجهود الأمنية والإنمائية على المستوى القطري وضمان استهداف الجهود الأمنية والإنمائية على المستوى القطري لمعالجة الأسباب الجذرية للصراع",1
