"","en_ar_DEEPL","VerConf"
"345","14. الحالة في سيراليون (27 تشرين الثاني/نوفمبر 1995؛ 9 تشرين الأول/أكتوبر 2012).",0
"346","1930-2200/19 عشاء في ضيافة سفير تركيا",0
"347","تحديد أن الوضع في أفغانستان يشكل تهديدًا للسلم والأمن الدوليين في المنطقة,",1
"348","قامت أربع دول بتجريم تمويل الإرهاب بشكل كافٍ، بينما لم تقم ثلاث دول بذلك على الإطلاق.",1
"349","وعلى الرغم من عدم ظهور أي حالة فعلية منذ صدور التقرير الأخير للفريق، فإن هناك قلقا مستمرا من أن الجماعات والأفراد المدرجين في القائمة لا يزالون يطمحون إلى شن مثل هذا الهجوم، إلى جانب عدد من التقارير التي تفيد بأن الإمدادات غير المشروعة من المواد الإشعاعية لا تزال موجودة، بما في ذلك في المناطق التي ينشط فيها تنظيم القاعدة وحركة طالبان.",1
"350","5. وقد حقق المجتمع الدولي نجاحا كبيرا في جهوده الرامية إلى مكافحة القرصنة الصومالية نتيجة للتعاون الوثيق بين الدول والأقاليم والمنظمات والصناعة البحرية والقطاع الخاص ومراكز الفكر والمجتمع المدني وفيما بينها.",0
"351","1. يدين بأشد العبارات جميع أعمال الإرهاب بصرف النظر عن دوافعها وأيا كان مرتكبها وأيا كان مرتكبها، باعتبارها من أخطر التهديدات للسلم والأمن؛",1
"352","وتدل إضافة هذه الأسماء على استمرار قلق اللجنة إزاء التهديد الذي تشكله حركة طالبان على السلم والأمن الدوليين.",1
"353","وتشارك الوحدة في فرق عمل مشتركة بين وكالات متعددة أنشئت للتحقيق في جرائم غسل الأموال والجرائم الأصلية، بما في ذلك تمويل الإرهاب.",0
"354","السيد موساييف (أذربيجان): بادئ ذي بدء، أود أن أعتذر عن طلب الكلمة مرة أخرى. لقد اعتقدنا أنه سيكون من غير المناسب ومن غير المجدي أن نمر على التعليقات التي أدلى بها ممثل أرمينيا ومحاولته تضليل مجلس الأمن في صمت.",1
"355","وفي حين أن التهديد الذي يشكله تنظيم القاعدة كمنظمة إرهابية عالمية قد تراجع، إلا أن التهديد الذي يشكله المنتسبون إليه وأفكاره المعدية لا يزال قائماً.",1
"356","المرافعة الختامية في 14 شباط/فبراير 2008",0
"357","وتفتقر الغالبية العظمى من مراكز شرطة الحدود البرية إلى الأدوات والمعدات اللازمة لأداء مهامها، ولا تتعاون الوكالات الوطنية لمراقبة الحدود بشكل كافٍ فيما بينها أو مع نظيراتها في الدول المجاورة.",1
"358","يُرجى من الدول الأعضاء التكرم بقصر مداخلاتها على 5 دقائق.",0
"359","""ويكرر مجلس الأمن إدانته الشديدة لجميع انتهاكات القانون الدولي الساري المرتكبة ضد النساء والفتيات، بما في ذلك العنف الجنسي والعنف القائم على نوع الجنس والقتل والتشويه، في حالات النزاع المسلح وحالات ما بعد النزاع، ويحث جميع الأطراف على الوقف التام لهذه الأعمال على الفور.",1
"360","وتزود هذه الاجتماعات اللجنة بمعلومات قيّمة عن تنفيذ نظام الجزاءات، وكذلك عن التهديد الذي يشكله تنظيم القاعدة والمرتبطون به، وتوفر منتدى لمسؤولي الاستخبارات والأمن من مختلف البلدان للتفاعل مع بعضهم البعض ومع الفريق وتبادل المعلومات.",1
"361","لا يمكن إعادة نقل المواد الكيميائية المدرجة في الجدول 1، حتى لو كانت موجودة في مخاليط، إلى دولة طرف ثالث.",0
"362","2. يقرر أن تواصل المديرية التنفيذية للجنة مكافحة الإرهاب العمل كبعثة سياسية خاصة في إطار التوجيه السياسي للجنة مكافحة الإرهاب للفترة المنتهية في 31 كانون الأول/ديسمبر 2010، ويقرر كذلك إجراء استعراض مؤقت بحلول 30 حزيران/يونيه 2009، والنظر الشامل في عمل المديرية التنفيذية قبل انتهاء ولايتها؛",0
"363","يجب على جميع الأطراف المعنية أن تضمن أن تكون كوسوفو مكانًا يسمح فيه التسامح العرقي والتعددية الثقافية بالتعايش السلمي بين الطوائف.",0
"364","ونلاحظ أن منظمات المجتمع المدني قد أعربت عن قلقها الشديد في هذا الصدد.",1
"365","على الرغم من كل ما سبق ذكره، ما زلنا نعتقد أنه لا يوجد حل عسكري، بل على العكس، نحن واثقون من أنه سيؤدي إلى نتائج عكسية.",1
"366","القرار رقم 444-08 الصادر في 10 أيلول/سبتمبر 2008",0
"367","24. سيجري تشغيل حساب اللجنة وفقا للنظام المالي والقواعد المالية للأمم المتحدة.",0
"368","وقد يؤدي هذا المأزق إلى زيادة التوترات السياسية وتقويض أجواء الثقة المتزايدة التي سادت عقب الانتخابات وتنصيب الرئيس مارتيلي.",1
"369","ويعيد المجلس بانتظام تأكيد أو تذكير أو تكرار مطالبته الدول بإنفاذ حظر الأسلحة القائمة، حيث لا يزال تنفيذها يشكل تحديات كبيرة.",1
"370","(ط) المساهمة في حماية المدنيين المعرضين للخطر، ولا سيما اللاجئين والمشردين;",0
"371","وعلاوة على ذلك، هناك مخاوف من أن يؤدي الاتجار النشط بالأسلحة مقابل المخدرات المنطلق من أفغانستان إلى تمويل الإرهاب في دول آسيا الوسطى المجاورة، من خلال أنشطة ناقلي الأموال النقدية.",1
"372","تعزيز القضايا الجنسانية والتوعية بها على المستويين الوطني والمحلي من خلال شبكة من مراكز التنسيق الجنسانية في المكاتب الإقليمية والقطرية.",0
"373","""ويضع مجلس الأمن في اعتباره الحاجة إلى مواصلة الاستطلاع مع المنظمات والترتيبات الدولية والإقليمية ودون الإقليمية لتبادل الخبرات والدروس المستفادة في المجالات التي يغطيها القرار 1540 (2004)، ومدى توافر البرامج التي يمكن أن تيسر تنفيذ القرار والمجالات التي يمكن أن تقدم فيها المساعدة، بما في ذلك من خلال تعيين جهة اتصال أو منسق لتنفيذ القرار 1540 (2004).",0
"374","34. الحالة في كوت ديفوار (20 كانون الأول/ديسمبر 2002؛ 19 كانون الثاني/يناير 2011).",0
"375","وبمجرد أن يتحقق التاجر من دفع الإتاوة، يصدر المكتب الحكومي للماس شهادة عملية كيمبرلي ويأذن بالتصدير.",0
"376","أحث حماس على الاستجابة بشكل إيجابي لتلك النداءات.",1
"377","يكرر دعوته للسلطات [الوطنية] إلى وضع حد للإفلات من العقاب، بما في ذلك تقديم مرتكبي الانتهاكات الجسيمة لحقوق الإنسان والقانون الإنساني الدولي إلى العدالة دون تأخير، وأن تأخذ في الاعتبار عند اختيار المرشحين للمناصب الرسمية، بما في ذلك المناصب الرئيسية في القوات المسلحة والشرطة الوطنية وغيرها من الأجهزة الأمنية، الأعمال السابقة للمرشحين من حيث احترام القانون الإنساني الدولي وحقوق الإنسان.",1
"378","13. أنشأ اﻷمين العام اللجنتين التنفيذيتين المعنيتين بالسلم واﻷمن وبالشؤون اﻹنسانية لتزويد المديرين التنفيذيين على أعلى المستويات بمنتدى لمناقشة وصياغة استراتيجيات لمنع نشوب النزاعات المسلحة وحاﻻت الطوارئ اﻹنسانية واﻻستجابة لها.",0
"379","تخرج 13 طالبًا في عام 2012، ليصل إجمالي عدد الخريجين منذ عام 1992 إلى 84 طالبًا.",0
"380","ومع ذلك، هناك حاجة إلى اتخاذ تدابير عاجلة لإعادة تنشيط اللواء، وفي الوقت نفسه، ضمان مساهمة أكثر فعالية من الألوية الإطارية سواء فيما يتعلق بعمليات تحييد الجماعات المسلحة أو حماية المدنيين.",0
"381","6. وكان من رأي اللجنة أيضا أنه في الحالات التي يثبت فيها وفاة أحد الأفراد، ويثبت فيها أن الفرد لم يكن يملك أي أصول أو لا يظهر أي مستفيد من الأصول في القائمة، ينبغي للجنة أن تشرع في شطب اسم ذلك الفرد من القائمة (الفقرة 19).",0
"382","148. وفي الفترة من حزيران/يونيه إلى أيلول/سبتمبر 1999، حصل عبدي نور درمان وشركاؤه على ما يقرب من 130 بليون شلن صومالي.",0
"383","56. يقوم فريق السياسات المعني بالاستغلال والاعتداء الجنسيين التابع للبعثة بوضع اللمسات الأخيرة على مدونة سلوك عملية الأمم المتحدة في كوت ديفوار بشأن الاستغلال والاعتداء الجنسيين، ويشارك في الشبكة القطرية المعنية بالاستغلال والاعتداء الجنسيين.",0
"384","بيان من رئيس مجلس الأمن",0
"385","ويعرب المجلس عن قلقه إزاء الدعم الخارجي الذي تتلقاه الجماعات المسلحة التشادية، على نحو ما أفاد به الأمين العام.",1
"386","دورات تدريبية حول قضية الاستغلال والاعتداء الجنسي؛ وضع سياسات وإجراءات بشأن الجوانب التنظيمية لمساعدة الضحايا.",0
"387","سيؤدي افتتاح هذه الفروع إلى تمكين الحكومة من دفع رواتب موظفي الخدمة المدنية في المقاطعات.",0
"388","لا يمكن إنكار أن المخاطر كبيرة بلا شك، حيث أن عدم الالتزام بالموعد النهائي للاستفتاءات المنصوص عليها في اتفاق السلام الشامل قد يكون له عواقب وخيمة.",1
"389","للقرارين 751 (1992) و 1907 (2009)",0
"390","2. مما يؤسف له أنه منذ تقديم تقريري السابق إلى المجلس، لم يحرز سوى تقدم محدود نحو تنفيذ أحكام اتفاق بريتوريا بشأن عملية السلام في كوت ديفوار (S/2005/270، المرفق الأول) المؤرخ 6 نيسان/أبريل 2005، واتسعت الفجوة الكبيرة بين مواقف الأطراف.",1
"391","كما شدد على خطر تصاعد النزاع مع استئناف فترة الهجرة والانتخابات وغياب الحوار.",1
"392","105. الصحفي الإيراني مصطفى أفضل زاده الصحفي الإيراني مصطفى أفضل زاده - بتاريخ 11 كانون الثاني/يناير 2011",0
"393","إننا جميعا نشعر بقلق بالغ إزاء تدهور الوضع الأمني في كوت ديفوار، كما رأى المجلس ربما في البيان الذي أدليت به في وقت سابق اليوم.",1
"394","12. يطالب بأن تتعاون جميع الأطراف تعاونا كاملا مع عمليات بعثة منظمة الأمم المتحدة في جمهورية الكونغو الديمقراطية وأن تكفل أمن موظفي الأمم المتحدة والأفراد المرتبطين بها ووصولهم الفوري ودون عوائق إلى جميع أنحاء إقليم جمهورية الكونغو الديمقراطية في تنفيذ ولايتهم، ويطالب على وجه الخصوص بأن تتيح جميع الأطراف إمكانية الوصول الكامل لمراقبي البعثة العسكريين، بما في ذلك في جميع الموانئ والمطارات والمطارات والقواعد العسكرية والمعابر الحدودية، وأن تتيح لمراقبي حقوق الإنسان التابعين للبعثة إمكانية الوصول إلى مراكز الاحتجاز ومراكز الدمج، ويطلب إلى الأمين العام أن يبلغ دون إبطاء عن أي تقصير في الامتثال لهذه المطالب؛",1
"395","لا يمكنني أن أشدد بما فيه الكفاية على الخطر الذي يشكله نقص المروحيات العسكرية على الفعالية العملياتية للقوة.",1
"396","من ناحية أخرى، تُظهر شركة EECC أن آليات الدفع والإنفاذ الخاصة بتحديد الطرف الثالث للمطالبات الجماعية قد تمثل مشكلة كبيرة.",1
"397","تعيين أخصائي حماية. إعداد كتيب عن اتفاقية حقوق الطفل وتوزيعه. G.2. وضع وتنفيذ استراتيجيات وبرامج بشأن منع العنف القائم على نوع الجنس في النزاعات المسلحة والتصدي له. (برئاسة مكتب تنسيق الشؤون الإنسانية ومنظمة الصحة العالمية)",0
"398","160. منصور فالح ناصر ناصر العجمي",0
"399","وعلى الرغم من أن اللجنة لا تقبل بأن رئيس الوزراء السابق أعطى تعليمات إلى راي لوس في اجتماع 8 مايو/أيار ""بتصفية"" خصومه السياسيين، فإن اللجنة مقتنعة على أساس جميع المعلومات المعروضة عليها بأن هناك شكوكاً معقولة بأن رئيس الوزراء السابق كان على الأقل على علم بتوزيع أسلحة الشرطة الوطنية لتيمور الشرقية على المدنيين.",1
"400","الفقرة 7 من المنطوق - من خلال مزيج من قانون الأمم المتحدة وقانون تنظيم الواردات والصادرات وقانون الشحن التجاري;",0
"401","69. دخلت عملية تقليص حجم بعثة الأمم المتحدة لتحقيق الاستقرار في هايتي عامها الثالث.",0
"402","كانت هناك 13 زنزانة تحتوي كل منها على محتجزين اثنين، بينما كانت سبع زنزانات تحتوي كل منها على محتجز واحد فقط.",1
"403",":: أكثر من 000 3 طن من السلائف الكيميائية السليفة",0
"404","وكررت إدانة الأمين العام لأي استخدام للأسلحة الكيميائية من قبل أي طرف في النزاع السوري ودعوته إلى تقديم مرتكبي أي أعمال من هذا القبيل إلى العدالة.",1
"405","ويساورنا القلق بشكل خاص من انتشار الأسلحة في ليبيا وخارج حدودها خارج نطاق السيطرة نتيجة للصراع.",1
"406","""يكرر مجلس الأمن إدانته الشديدة لتدنيس وإتلاف وتدمير المواقع ذات الأهمية المقدسة والتاريخية والثقافية، لا سيما تلك المصنفة كمواقع تراث عالمي لليونسكو على سبيل المثال لا الحصر، بما في ذلك مدينة تمبكتو.",1
"407","8. يقرر إبقاء المسألة قيد نظره.",0
"408","وتعتقد الحكومة السورية أن قضية ما يسمى باللاجئين السوريين هي إلى حد كبير قضية مفتعلة. وهي تأمل في عودتهم إلى وطنهم وعدم استغلال وجودهم لأغراض سياسية. وقد أدى التحسن الملحوظ في الوضع الأمني إلى عودة مجموعات كبيرة منهم إلى بلدهم واستئناف عملهم الذي منعتهم الجماعات الإرهابية من القيام به.",0
"409","2. الفصل بين فروع الحكومة الثلاثة.",0
"410","افتتحت الجلسة في الساعة 10:05 صباحاً.",0
"411","وأعرب أعضاء المجلس عن قلقهم العميق إزاء التقارير التي تفيد بتجدد القتال والعواقب الإنسانية المترتبة عليه.",1
"412","ويتأثر ما لا يقل عن 90 دولة بالعبوات الناسفة اليدوية الصنع، ويتبادل تنظيم القاعدة والجماعات التابعة له المعلومات والمشورة حول أفضل السبل لصنعها واستخدامها.",0
"413","كما أتيحت القائمة المنقحة على موقع اللجنة على شبكة الإنترنت.",0
"414","وتضمن التقرير وصفًا قاتمًا للوضع في المنطقة الذي يتسم بمزيد من أعمال العنف والإرهاب.",0
"415","وتنص المادة 80 من قانون العقوبات على ما يلي:",0
"416",":: الاتصالات الخلوية التي جرت في منطقة الانفجار",0
"417","51. الحالة في تشاد وجمهورية أفريقيا الوسطى والمنطقة دون الإقليمية (27 آب/أغسطس 2007؛ 20 كانون الأول/ديسمبر 2010).",0
"418","وأخيرًا، هناك حاجة ماسة إلى قيادة أفغانية للتصدي للمخدرات.",1
"419","وتسعى اللجنة جاهدة لضمان أن تكون القائمة الموحدة ديناميكية ومستجيبة للتهديد المتطور الذي يشكله تنظيم القاعدة وحركة طالبان.",0
"420","يدين بأشد العبارات جميع أشكال العنف الجنسي وغيره من أشكال العنف المرتكبة ضد المدنيين في النزاعات المسلحة، ولا سيما النساء والأطفال، ويتعهد بكفالة أن تستخدم جميع عمليات دعم السلام جميع التدابير الممكنة لمنع هذا العنف ومعالجة أثره حيثما وقع.",1
"421","23. يقرر أن تنتهي مطالبة الدول باتخاذ التدابير المبينة في الفقرة 1 من هذا القرار فيما يتعلق بذلك الفرد أو الجماعة أو المؤسسة أو الكيان بعد 60 يوما من انتهاء اللجنة من النظر في تقرير شامل لأمين المظالم، وفقا للمرفق الثاني لهذا القرار، بما في ذلك الفقرة 6 (ح) منه، حيث يوصي أمين المظالم بأن تنظر اللجنة في شطب اسم من القائمة ما لم تقرر اللجنة بتوافق الآراء قبل نهاية فترة الستين يوما تلك أن تظل المطالبة قائمة فيما يتعلق بذلك الفرد أو الجماعة أو المؤسسة أو الكيان; شريطة أن يقوم رئيس اللجنة، في الحالات التي لا يوجد فيها توافق في الآراء، وبناء على طلب أحد أعضاء اللجنة، بعرض مسألة ما إذا كان ينبغي شطب اسم الفرد أو الجماعة أو المؤسسة أو الكيان من القائمة على مجلس الأمن للبت فيها في غضون 60 يوما؛ وشريطة أن يظل شرط اتخاذ الدول للتدابير المبينة في الفقرة 1 من هذا القرار ساريا خلال تلك الفترة فيما يتعلق بذلك الفرد أو الجماعة أو المؤسسة أو الكيان إلى أن يبت مجلس الأمن في المسألة;",0
"422","وكما هو مقرر في السوابق القضائية ذات الصلة، فإن المسؤولية عن جريمة غير الجريمة المتفق عليها في الخطة المشتركة لا تنشأ إلا إذا كان من المتوقع، في ظل ظروف القضية، أن يرتكب هذه الجريمة أحد أعضاء الجماعة أو أعضاء آخرون من الجماعة وأن المتهم قد أخذ هذه المخاطرة عن طيب خاطر.",0
"423","افتتحت الجلسة في الساعة 3:15 عصراً.",0
"424","(أ) مواصلة تذكير الدول الأعضاء بالتزامها بالتسليم أو المحاكمة وفقا للصكوك الدولية المنطبقة في مجال مكافحة الإرهاب التي هي أطراف فيها، وتذكير الدول بالتزامها بضمان عدم اعتبار الادعاءات بوجود دوافع سياسية سببا لرفض طلبات تسليم الإرهابيين المزعومين؛",1
"425","2. تنفيذ القرار 1624 (2005)",0
"426","وفي هذا الصدد، تلقيت رسالة مؤرخة 6 كانون الأول/ديسمبر 2007 من الممثل الدائم للمغرب لدى الأمم المتحدة (S/2007/714) ورسالة أخرى مؤرخة 12 كانون الأول/ديسمبر 2007 من وزير الشؤون الخارجية والتعاون في المغرب (S/2007/731، المرفق)، يدعي كل منهما وقوع انتهاكات لبنود الاتفاقات العسكرية المبرمة في عام 1991.",1
"427","وفي الوقت نفسه، أدانت ألمانيا والاتحاد الأوروبي في الماضي مرارًا وتكرارًا الفظائع الإرهابية التي أسفرت عن مقتل مئات الإسرائيليين.",1
"428","يجب أن توضح السلطات الأفغانية والمجتمع الدولي أن هذا السلوك غير مقبول.",1
"429","كما أن هناك حاجة للحماية بفعالية أكبر من إساءة استخدام المنظمات غير الربحية مع ضمان أن يكون التنظيم متناسبًا مع المخاطر ولا يتم تطبيقه بشكل تعسفي.",0
"430","وقد حثت الحكومة الأفغانية على استجابة أكثر مرونة من اللجنة لمقترحاتها بشأن الشطب من القائمة، خشية أن يؤدي عدم قدرتها على تحقيق الشطب من القائمة إلى حرمانها من نظام المكافأة الأساسي لمقاتلي طالبان الذين يتصالحون، وبالتالي المخاطرة بعودتهم إلى القتال.",1
"431","وهو يمر حاليًا بالعملية التشريعية في البرلمان التشيكي.",0
"432","32. وقد صدر الحكم الابتدائي في قضية نتاووكوليليايو في 3 آب/أغسطس 2010، وصدر خطيا في 6 آب/أغسطس 2010.",0
"433","تختلف التهديدات الإرهابية التي تتعرض لها هذه المنطقة إلى حد ما من حيث المنشأ والطبيعة، ولكن آثارها متشابهة.",1
"434","428. طلبت اللجنة مرارا وتكرارا من الحكومة تقديم معلومات عن الإجراءات القضائية المتخذة لتقديم مرتكبي الجرائم المزعومة المرتكبة في دارفور إلى العدالة.",1
"435","ومع ذلك، فإن طبيعة معظم الجرائم الدولية في حد ذاتها تعني ضمناً، كقاعدة عامة، أنها تُرتكب من قبل مسؤولي الدولة أو بتواطؤ منهم؛ ولذلك من الأفضل في كثير من الأحيان ترك مقاضاة مرتكبيها لآليات أخرى.",1
"436","وقد صادق المغرب على هذه الاتفاقية بموجب الظهير رقم 4-93-38 الصادر في",0
"437","ونشير إلى أنه لا ينبغي التقليل من شأن التحديات المستمرة التي تواجه الشرطة في تيمور - ليشتي.",1
"438","مسؤولية هيئات البنك وإعداد التقارير",0
"439","يجب تكثيف رصد وتحديد انتهاكات حظر الأسلحة وتحديدها، وتطبيق عقوبات محددة الأهداف عند الضرورة، من أجل الحد من الآثار المدمرة المحتملة لهذه الديناميكية في السياق الصومالي.",1
"440","والثاني هو الدعوة مرة أخرى إلى تحرك عاجل وضروري من مجلس الأمن لوقف إراقة الدماء في سوريا.",1
"441","483. وقد رفضت اللجان الكثير من الحالات لسبب أن استجوابها للضحايا كشف أن الجريمة المشتكى منها لا ترقى إلى الاغتصاب، حيث لم يحدث إيلاج، أو أن المشتكيات خلطن بين مصطلح الاضطهاد في اللغة العربية ومصطلح الاغتصاب، وقدمن خطأ شكاوى من أشكال أخرى من الاعتداء أو العنف، مثل الضرب.",1
"442","فيما يتعلق بذلك، انظر الفقرات من 95 إلى 102 أدناه).",0
"443","الحالة في تيمور الشرقية (انظر S/11593/Add.50 و 51؛ و S/11935/Add.15 و 16؛ و S/1999/25/Add.17 و 22 و 25 و 30 و 33-36 و 42 و 50؛ و S/2000/40/Add.4 و 11 و 16 و 20 و 20 و 25 و 25 و 29 و 30 و 34 و 35 و 37 و 38 و 38 و 40 و 46 و 47 و 48؛ و S/2001/15/Add.4 و 5)",0
"444","لم يكن الشباب يعرفون من هو إنزا ولم يرغبوا في الإفصاح عما إذا كانوا قد ساروا أم لا.",0
"445","ومع ذلك، يلاحظ وفدي مع الأسف أن الوضع الأمني لا يزال مصدر قلق.",1
"446","12. صفح أبجد علوش المطيري",0
"447","3. ازدادت التوترات السياسية المحيطة بانتخابات عام 2012 خلال الفترة المشمولة بالتقرير. ففي 9 أيلول/سبتمبر 2011، تعرضت قافلة تقل العميد جوليوس مادا بيو (متقاعد)، المرشح الرئاسي للحزب الشعبي لسيراليون من أجل السلام في سيراليون، لهجوم من قبل أنصار الحزب الشعبي لسيراليون في بو، في المنطقة الجنوبية، مما أسفر عن إصابته بجروح.",0
"448","(د) القيام، بمساهمة من الفريق العامل التابع للجنة المعني بالمساعدة وفريقها العامل المعني بالتعاون مع المنظمات الدولية، بما في ذلك لجنتا مجلس الأمن المنشأتان عملا بالقرارين 1267 (1999) و 1373 (2001)، عند الاقتضاء، بمواصلة تنظيم أنشطة التوعية والمشاركة فيها على الصعد الدولي والإقليمي ودون الإقليمي؛ والاستعداد للتأكيد على برامج المساعدة والمشاركة فيها، وتعزيز تبادل الخبرات والدروس المستفادة والممارسات الفعالة، والاستعداد لتيسير عروض المساعدة أو طلبات المساعدة;",0
"449","وصل وزير الداخلية لوباتو إلى المقر مرتديًا سترة واقية من الرصاص وفي حالة هياج شديد، وهو يصرخ ""اقتلوهم جميعًا"".",1
"450","وإنه لمن دواعي قلقي البالغ أن أبلغ عن تصاعد الأعمال الإجرامية والهجمات ضد موظفي الأمم المتحدة والعاملين في المجال الإنساني.",1
"451","الفقرة 2 (أ): طرد جميع أعضاء الجبهة المتحدة الثورية من ليبريا ...",0
"452","ومع ذلك، فإن أي تغييرات في الاتفاقات يجب أن تكون مقبولة للطرفين وأن تظل متسقة مع المبدأ القائل بضرورة أن تحافظ القوات العسكرية على الوضع الراهن خلال وقف إطلاق النار وأن يُسمح للمراقبين العسكريين التابعين للبعثة بممارسة حرية الحركة الكاملة، وفقاً للمبادئ الأساسية لحفظ السلام.",0
"453","وعلى الرغم من أن الرئيس تصرف في إطار صلاحياته الدستورية، إلا أنني ناقشت معه المخاوف من أن يؤدي العفو الصادر في 25 كانون الأول/ديسمبر 2009 إلى تفاقم التصورات المتعلقة بالإفلات من العقاب.",1
"454","5. وبينما كان الماويون يستعدون لنقل قواتهم إلى معسكرات التجميع، انخرطوا في حملة تجنيد بلغت ذروتها في تشرين الثاني/نوفمبر 2006.",0
"455","إلا أن التقدم المحرز في مجالات أخرى لم يرقَ إلى مستوى التوقعات، ولا تزال هناك العديد من التحديات.",1
"456","وتخصص البلدان الأعضاء في الجماعة الاقتصادية لدول غرب أفريقيا ما بين 20 و60 في المائة في المتوسط من عائدات التصدير لخدمة الدين الخارجي.",0
"457","وعملا بالفقرة 18 من قرار مجلس الأمن 2100 (2013)، قدمت فرنسا أربعة تقارير إلى مجلس الأمن أوجزت فيها ستة أعمال قتالية تم الاضطلاع بها استجابة لـ ""تهديد وشيك وخطير"" وسلطت الضوء على عمل مفرزتي الاتصال والدعم التشغيلي لبعثة الأمم المتحدة المتكاملة المتعددة الأبعاد لتحقيق الاستقرار في مالي، فضلا عن دعم القوات الفرنسية في رعاية الجرحى.",1
"458","271. خلصت اللجنة إلى أنه في حين أن جميع الأطراف المشاركة في الصراع قد ارتكبت جرائم ضد السكان المدنيين، فإن حكومة السودان والجنجويد يتحملان المسؤولية عن الغالبية العظمى من جرائم قتل المدنيين التي ارتكبت خلال الصراع في دارفور.",1
"459","معظم الطرق عبارة عن مسارات رملية أو ترابية تصبح غير سالكة خلال هذه الفترة، مما يؤدي إلى قطع أجزاء كبيرة من الأراضي لفترات طويلة.",0
"460","228. وقبل الشروع في عرض نتائج تقصي الحقائق الذي قامت به اللجنة وكذلك التقييم القانوني لهذه الوقائع، يجدر تقديم بعض الحقائق عن كل من التشريد والتدمير، وذلك لإعطاء صورة واضحة عن حجم ونطاق الحالة.",0
"461","ومن المتوقع نشر وحدة شرطة مشكلة ثامنة من نيجيريا في أكتوبر/تشرين الأول.",0
"462","16. وكان أمام الدول القائمة بالاستعراض بعد ذلك ثلاثة أشهر لتقديم أي معلومات إضافية لتحديد الهوية أو غيرها من المعلومات التي لها تأثير على إدراج الأسماء في القائمة، مثل تحديثات عن الوضع التشغيلي للكيانات المدرجة في القائمة، أو حركة الأفراد المدرجين في القائمة أو سجنهم أو وفاتهم، أو التهم الجديدة المتعلقة بالإرهاب الموجهة إليهم.",0
"463","إننا نحث إسرائيل على اتخاذ المزيد من الإجراءات لإزالة البؤر الاستيطانية وفقًا لخارطة الطريق والتصدي للتهديد المتزايد للتطرف الاستيطاني.",1
"464","وعلاوة على ذلك، حافظت طالبان على قدرتها على استيراد الأسلحة والعتاد والقوة البشرية، ويكمن مفتاح النجاح العسكري في تحييد خطوط إمداداتها وحرمانها من المناطق الآمنة التي يمكن لمقاتليها أن يستجم فيها مقاتلوها بين العمليات وتدريب مجندين جدد.",0
"465","o في 8 نوفمبر/تشرين الثاني 2014، استهدفت طائرات النظام الحربية المناطق المحيطة بمستشفى الشهيد وسيم هاشم في إدلب، مما أدى إلى إلحاق أضرار بالمستشفى.",0
"466","وفي حين قد يعجز قادة تنظيم القاعدة، المقيدون بالإجراءات الدولية، عن ترجمة دعمهم إلى أعمال عنف منسقة تحت سيطرتهم، فإنهم يواصلون جذب الأتباع، وبعضهم مصمم على ارتكاب أعمال إرهابية باسمهم، دون الحاجة إلى اعتبار أعمالهم جزءا من برنامج سياسي أوسع نطاقا.",0
"467","وفي غرب أفريقيا، اضطلع مكتب الأمم المتحدة لغرب أفريقيا بدور بارز في دعم الجهود الرامية إلى تنفيذ خطة العمل الإقليمية للجماعة الاقتصادية لدول غرب أفريقيا للتصدي للمشكلة المتنامية للاتجار غير المشروع بالمخدرات والجريمة المنظمة وإساءة استعمال المخدرات في غرب أفريقيا.",1
"468","مطالبات الرصد والتقييم لجمهورية إيران الإسلامية 56 - 296 20",0
"469","وإذ يساوره بالغ القلق إزاء خطر الإرهاب وخطر قيام الجهات الفاعلة من غير الدول*، مثل تلك المحددة في قائمة الأمم المتحدة التي وضعتها وتحتفظ بها اللجنة المنشأة بموجب قرار مجلس الأمن 1267، وتلك التي ينطبق عليها القرار 1373، بحيازة الأسلحة النووية والكيميائية والبيولوجية ووسائل إيصالها، أو تطويرها أو الاتجار بها أو استخدامها,",1
"470","رد الرئيس البشير دبلوماسيًا على القرار الكيني وهدد بفرض عقوبات اقتصادية وتجارية.",1
"471","14. يقرر إبقاء المسألة قيد نظره.",0
"472","(د) إتاحة الملخصات السردية لأسباب الإدراج في القائمة لجميع القيودات المدرجة في القائمة على الموقع الشبكي للجنة;",0
"473","من الواضح أن جميع مؤسسات القانون والنظام في العراق تواجه تحديات خطيرة.",1
"474","ينص دستور 20 آب/أغسطس 2003 لمنظمة التعاون الاقتصادي لآسيا والمحيط الهادئ في مادته 3 على بعض الأهداف التالية",0
"475","كانت مواصفات الحواسيب منخفضة للغاية (486-DX)، وكان 8 في المائة منها فقط مزوداً بقدرة الوسائط المتعددة (قرص مدمج بذاكرة للقراءة فقط)، مما يجعلها غير فعالة تقريباً في بيئة تعليمية.",0
"476","60. وكما أشرت من قبل (انظر S/2010/85، الفقرة 176)، ينبغي التعامل بحذر مع إعادة تشكيل شرطة البعثة، مع مراعاة عوامل أخرى من بينها الحاجة إلى وجود كاف في جميع المقاطعات والوحدات لتوفير الرصد والمشورة والتدريب والتوجيه والدعم على النحو المطلوب لمواصلة بناء القدرات والتطوير المؤسسي للشرطة الوطنية.",0
"477","وبناءً على ذلك، وصف الأمين العام الأحداث الأخيرة في زيمبابوي بأنها ""ظلم كارثي"".",1
