"","es_en_DEEPL","MatConf"
"370","Acts of torture perpetrated by civilian population",1
"371","States have made considerable progress in establishing anti-money laundering and counter-terrorist financing laws, but there is a need for increased regional cooperation at the operational level.",0
"372","Three days later, the Jaleele bought 25 AK-47 assault rifles, 2 anti-aircraft machine guns, 6 PKM machine guns, 4 RPG-2 rocket launchers and ammunition.",1
"373","First, transnational crime and lax border controls can weaken state authority.",1
"374","15. Takes note of the measures taken by MONUC to address cases of sexual exploitation and abuse, as well as the zero-tolerance policy, requests the Secretary-General to continue to fully investigate allegations of sexual exploitation and violence committed by MONUC civilian and military personnel, and to take the relevant measures set out in his bulletin on special measures for protection from sexual exploitation and sexual abuse (ST/SGB/2003/13);",0
"375","The Philippines expects other States parties to the NPT to do likewise.",0
"376","Deeply concerned by the frequency with which acts of violence are committed in many parts of the world against journalists, media professionals and their associated personnel in armed conflicts, including deliberate attacks in contravention of international humanitarian law,",1
"377","The Team now also recommends that as soon as the Team or the Committee receives a report of the death of a listed individual, the Team should make every effort to establish the facts, in cooperation with the States concerned, and transmit its findings to the Committee as soon as possible.",0
"378","Taking into account the facts ascertained by the Commission, it is clear that the rebels launched attacks against the civilian population, which constitute war crimes.",1
"379","*The memorandum from the General Secretariat,",0
"380","In the absence of such guidelines, including the determination of criteria for the selection of cases to investigate and prosecute, the committees lacked guidance as to appropriate methods for investigating crimes constituting gross violations of human rights.",1
"381","Some members called for the Council to contribute more significantly to efforts to bring the parties back to the negotiating table on the two-state solution and said that Israeli settlements undermined prospects for peace.",0
"382","Emphasizing the obligation imposed on all Member States to fully implement resolution 1373 (2001), especially with regard to the Taliban or Al-Qaida and individuals, groups, undertakings and entities associated with Al-Qaida, Usama bin Laden or the Taliban who have been involved in the financing, planning, facilitating, preparing or committing terrorist acts, recruiting people to commit terrorist acts or otherwise providing support for them, as well as facilitating the implementation of counter-terrorism obligations in accordance with the Council resolutions, planning, planning, facilitating, preparing or committing terrorist acts, recruiting people to commit terrorist acts or otherwise providing support for them, as well as facilitating the implementation of counter-terrorism obligations in accordance with relevant Security Council resolutions,",0
"383","A printed copy of the Decree, as well as of the Extradition Law and the Passport Law, is attached.",0
"384","7. Notes that such means of financing or support include, inter alia, the use of proceeds derived from criminal activities, including the illicit cultivation, production and trafficking of narcotic drugs and their precursors;",1
"385",":: On November 29, 2014, regime helicopters dropped two barrel bombs on a clinic in the village of Kafr Sajna in Idlib, which was partially destroyed.",1
"386","VI. CLAIM OF THE KUWAIT PETROLEUM CORPORATION (CLAIM NO. 4003198) 309 - 352 84",0
"387","102. The Commission concluded that the Government, when faced with the uprising in Darfur by two rebel movements in early 2003, appealed to a number of Arab tribes to assist in the fight.",1
"388","Some of these League recruits from the Maoist army and militia are under 18 years of age.",1
"389","Thus, the conflict does not merely consist of a situation of internal tensions and internal disturbances, riots or sporadic and isolated acts of violence, but rather the requirements of a) the existence of organized armed groups fighting against the central authorities, b) control by the rebels of part of the territory and c) prolonged armed confrontation, provided for in common article 3 of the Geneva Conventions, which confer on this situation the character of an internal armed conflict, are met.",1
"390","The Security Council reaffirms the relevant provisions of the 2005 World Summit Outcome Document on the protection of civilians in armed conflict, in particular paragraphs 138 and 139, regarding the responsibility to protect populations from genocide, war crimes, ethnic cleansing and crimes against humanity.",0
"391","The Commission's forensic experts were able to verify that some of the soldiers were buried in trenches dug around the military camp, and that all civilians were buried in mass graves in the village cemetery.",1
"392","1. By an official who has used his or her official position;",0
"393","14. Report of the Special Rapporteur of the Commission on Human Rights on extrajudicial, summary or arbitrary executions during her mission to the Sudan (E/CN.4/2005/7/Add.2).",1
"394","By signaling that the killing of Yemenis would have no consequences, the agreement enshrining immunity has contributed to prolonging the bloodshed.",1
"395","Ambassador Jean-Marc de la Sabliere (France)",0
"396","Arms trafficking also fostered a market for the protection of armed groups and smugglers who controlled the illicit trafficking routes.",1
"397","(j) Unlawful detention, abusive treatment in Eritrean prisons, and inhumane treatment and poor quality of food and accommodation in detention camps;",1
"398","At this time, the list of individuals established by the Committee pursuant to resolution 1483 (2003) contains 89 names; the list of entities established by the Committee pursuant to the same resolution contains 208 names.",0
"399","The Team has also sought to raise awareness of the Al-Qaida sanctions within the commercial airline industry by working closely with the International Civil Aviation Organization (ICAO), the International Air Transport Association (IATA) and private industry.",1
"400","On March 25, in the area known as PK 18, in Abobo, between 9:30 a.m. and 10:00 a.m., two policemen were brutally murdered.",1
"401","The Commission recommends further investigation to establish whether the following men of Commander Reinado were present at Fatu Ahi: MoisÃ©s Ramos, PlÃ¡cido Ribeiro GonÃ§alves, Deolindo Barros, AntÃ³nio Savio, Filomeno Soares Menezes, Francisco de Augusto, Gilson JosÃ© AntÃ³nio da Silva, Joaninho Maria Guterres, Joaquim Barreto, JosÃ© Bomes, Natalino Borges Pereira, AndrÃ© da Costa Pinto Martinho Almeida, Albilio da Costa de Jesus, Francisco Ximenes Alves, Filsberto Garcia, Dario da Silva Leong, Nelson Galucho and Nixon Galucho.",0
"402","Across the border in the Syrian Arab Republic, Jabhat al-Nusra, an AQI-affiliated entity, has seen its influence and number of fighters increase due to its involvement in the increasingly brutal civil war taking place in the country.",1
"403","As can be seen in the appendix to this letter, regime forces have been particularly vicious in the city of Ar-Raqqa, where, under cover of U.S. airstrikes against ISIL, they have massacred innocent civilians on an unprecedented scale.",1
"404","In the opinion of the Secretary General, the aforementioned credentials are in order.",0
"405","I hope to be able to count on the understanding and support that usually characterizes you.",0
"406","While the operational impact of Al-Qaida's top brass has diminished since the death of Osama bin Laden and several other key leaders, Al-Qaida's networks continue to evolve and have become a more complex phenomenon with the involvement of a wide variety of active supporters and fighters around the world.",1
"407","c) Mechanisms, regulations and procedures",0
"408","To be held on Tuesday, June 17, 2014, at 10.09 a.m.",0
"409","2. Entry and exit of the country (paragraph 10)",0
"410","A 10-year-old boy was one of 14 people killed as a result of escalating violence in the Kapilvastu district community in September 2007.",1
"411",":: On November 2, 2014, Syrian regime fighter jets attacked Um Twyena, killing five people.",1
"412","It appears that excessive reliance was placed on the military and police experience of certain individuals.",0
"413",":: Act No. 4 of 1978 on the Penal Code of Hungary",0
"414","They then attacked the police station, killing two officers and taking weapons and ammunition.",1
"415","The potential increase during 2013 in the availability of MANPADS by Al-Qaida-affiliated entities in Africa, and as a result of the conflict in the Syrian Arab Republic, could pose a threat in the future.",1
"416","Net increase/(decrease) in cash and time deposits",0
"417","After the attack, the entire population of the area went to Kailek.",1
"418","On August 25, a statement attributable to General Laurent Nkunda, one of the main culprits of the crisis in Bukavu in May 2004, was published in Goma, in which he threatened to overthrow the Transitional Government.",0
"419","The system of settling political differences and protecting interests through the use of arms is still in place, maintained by the acquisition of arms, from outside Somalia, which is currently occurring and rapidly increasing, in violation of the embargo.",1
"420","However, the effectiveness of controls could be greatly improved by increasing police patrols and acquiring detection equipment, especially given the vulnerability of the subregion's borders.",1
"421","Although the States of the subregion have the necessary legislation and institutions in place to suppress illicit trafficking in persons, arms and explosives, there are shortcomings in the practical implementation of measures to monitor and prevent illicit movement across borders.",1
"422","Listed groups also need to use force to support their objectives; however, in the areas where these groups are most active, there appears to be no shortage of weapons and explosives.",1
"423","After examining and analyzing all the facts, we came to the conclusion that it was most likely a surface explosion.",1
"424","Since November 2004, the Government of CÃ´te d'Ivoire has sought to repair, maintain and reconstitute the FACI, as a political statement that air power provides the Government with a military advantage not enjoyed by the FN.",1
"425","Some of the detainees suffered from serious health problems and had not had access to adequate medical treatment and diet.",1
"426","He further said that the IDP camps were used to launch attacks against the government.",1
"427","Report of the Secretary-General on the situation in the Central African Republic (S/2014/857).",0
"428","Pursuant to paragraph 27 of resolution 2160 (2014), individuals and entities, whose name is on the List, or a third party on their behalf, may submit exemption requests through the focal point mechanism established in resolution 1730 (2006).",0
"429","In discussing the development challenges facing Afghanistan, recent events highlight a bleak picture of the security situation.",0
"430","As a result, the detainees live in almost complete darkness for most of the day and night, and for periods of up to several months.",1
"431","It is generally agreed that the intensification of attacks coincides with the intensification of the internal armed conflict between the Government and the two rebel movements, i.e. SLM/A and JEM.",1
"432","Livestock, hides, incense and agricultural products are exported and mainly basic foodstuffs, consumer goods and relief materials are imported.",0
"433","The international community must be willing to assist in the establishment of agreements for greater decentralization.",0
"434","In conclusion, I wish to thank my Special Representative, Ameerah Haq, for her leadership, and all the staff of UNMIT and the United Nations country team for their commitment to supporting the people of Timor-Leste in advancing the cause of peace, stability and development.",0
"435","45. The situation in Chad, the Central African Republic and the subregion (27 August 2007; 20 December 2010).",0
"436","a) Real estate: US$ 3,034,379.",0
"437","However, increasing the inclusiveness of the peace process vis-Ã -vis the warring parties remains a strong element for the sustainability of the conflict resolution.",0
"438","The guards who guarded the population used whips as a means of control and humiliation.",1
"439","No information on his whereabouts is currently available.",0
"440","On the same day, the G7 expressed its intention to organize a march on March 25, 2004 for the full and unconditional implementation of the Linas-Marcoussis Agreement.",1
"441",":: On November 15, 2014, regime helicopters dropped a barrel bomb on the Omar ibn al-Khattab Mosque in Aleppo, causing significant damage.",1
"442","At the end of the reporting period, UNMIK Police consisted of approximately 4,400 officers from 53 countries, representing more than 90 percent of the total authorized strength.",1
"443","Many of the reports refer to abductions of women.",1
"444","The Ministry did not provide any further explanation about the situation of these companies.",0
"445","34. The situation in Sierra Leone (27 November 1995; 21 December 2007).",0
"446","For example, Burkina Faso attaches importance to combating violent extremism and is fighting attempts to recruit terrorists.",1
"447","Prior to the fifth extraordinary meeting, the Committee will hold thematic discussions on enhancing efforts to limit the mobility of terrorists, with the participation of experts from all relevant technical international organizations.",0
"448","The Mission continued to carry out awareness-raising activities within the framework of the ""UN Cares"" strategy.",0
"449","(a) Decides to authorize the [peacekeeping mission] to take all necessary measures, in the areas of deployment of its forces and to the extent that it deems it has the capability to do so, in order to: ....",1
"450","The permanent members of the Interministerial Council are as follows:",0
"451","The military component continues to serve under extremely difficult conditions in the north.",1
"452","Stressing that one of the main obstacles to lasting peace in the Kivus is the presence and activities of illegal armed groups on Congolese territory, including the Forces DÃ©mocratiques de LibÃ©ration du Rwanda (FDLR), as noted in its resolution 1804 (2008), and that this presence is one of the main causes of conflict in the region,",1
"453","1. Emergence of the term Janjaweed",0
"454","There can be no doubt that we have underestimated the humanitarian challenges in Afghanistan, and Mr. John Holmes will address the subject in more detail.",0
"455","Since they were acquired in early January 2005, up to the time of the explosion, these cards had only served to establish communications with each other.",1
"456","The Security Council also reiterates its grave concern about the consequences of the instability in northern Mali for the Sahel region and beyond, and stresses the need to react swiftly to this crisis, using a strategic and comprehensive approach, in order to ensure Mali's territorial integrity and restore its stability and prevent instability from spreading to other Sahel States.",0
"457","There were about two or three white or green planes, flying over the village at very low altitude. A white plane was attacking.",1
"458","Forest products other than wood: 20,500 23 million",0
"459","Ethiopia's repeated failure to comply with the Algiers Agreements",0
"460","The practice may be considered to amount to enforced disappearances and thus a breach of the obligations of armed groups under customary international humanitarian law.",1
"461","The civil registry is fully integrated into municipal structures while the Public Services Department continued to provide policy guidance, technical support and oversight of functions.",0
"462","In October 2002, the President of the Republic ordered the cessation of the destruction of the neighborhoods.",1
"463","Some individuals had been detained for more than 11 months without being charged, without access to a lawyer, or without being able to communicate with their family.",1
"464","B. Dispersal of militia groups in Ituri",1
"465","b) Address the shortcomings in the criminalization of terrorist financing and include it as a predicate offense for money laundering, as well as those relating to the freezing of terrorist assets, in particular by providing for sufficient safeguards and including humanitarian exemptions in freezing procedures;",0
"466","Human rights violations continued to be reported, many of them associated with untrained elements integrated into the FARDC from the CongrÃ¨s national pour la dÃ©fense du peuple (CNDP) and armed groups.",1
"467","The execrable terrorist plot was completed on the morning of March 18 with another bombing in Aleppo. The takfiri terrorists, and those who back and support them and openly supply them with money and weapons, continue to carry out terrorist operations as part of the conspiracy directed against the Syrian Arab Republic, its people and its institutions.",1
"468","It was not fully parked in line considering the way the force of the explosion affected a red Ford vehicle, which was probably parked directly in front of the Mitsubishi.",1
"469","She and Mr. Abu Adass' father, Tayssir, had been illegally detained for approximately 10 days.",1
"470","Currently, close to 3 million people suffer from severe or moderate food insecurity.",0
"471","According to Afghan officials, the 2010 death toll from insurgency activities was 50 percent higher than the previous year's total and the number of civilians injured increased by one-third.",1
"472","- On December 12, 2014, 200 troops of regime forces surrounded Fayd neighborhood located in Jabla town and prohibited all entrances and exits.",1
"473","Last year, no less than 94% of the Syrian regime's 982 alleged counterterrorism operations were directed against moderate opposition forces.",1
"474","Although hostilities had ceased, tensions persisted, and further clashes could not be ruled out.",1
"475","If it is decided to prosecute for unlawful possession all persons who received weapons, the Commission has reports identifying those persons.",0
"476","The Group adjusted the replacement cost estimated by the CIP by applying a depreciation percentage in accordance with the normal rates applied by the industry to these assets.",0
"477","9. Expressed their sincere appreciation to the Islamic Republic of Iran for the excellent organization and generous hospitality that ensured the success of their first conference.",0
"478","The Group of Experts traveled extensively in CÃ´te d'Ivoire, the sub-region and elsewhere to assess compliance with the embargo and to identify complementary measures that could be taken to enhance its effectiveness.",0
"479","Although in almost none of the incidents were government forces directly involved in the destruction, their complicity in the attacks during which these acts of destruction were carried out and their presence at the scene are sufficient to hold them jointly responsible.",1
"480","Witnesses could not clearly establish who had fired on the demonstrators: the parallel forces, the police or the gendarmerie.",1
"481","By mid-1975 the relationship between these two parties had deteriorated. On August 11, 1975 the UDT carried out a pre-emptive armed attack against FRETILIN. The counterattack was carried out on August 20, 1975, the date commemorating the founding of the Armed Forces for the National Liberation of East Timor (FALINTIL).",1
"482","It has also been reported that they use other types of weapons, such as swords, although less frequently.",1
"483","See also, for example, S/RES/2104 (2013), para. 14; S/RES/2093 (2013), para. 1; S/RES/2086 (2013), para. 8; S/RES/2073 (2012), para. 1; S/RES/2000 (2011), para. 7; S/RES/1999 (2011), para. 3; S/RES/1933 (2010), para. 16; S/RES/1894 (2009), paras. 12 and 14; S/RES/1778 (2007), para. 6; S/RES/1772 (2007), para. 9(d); S/RES/1769 (2007), para. 15; S/RES/1756 (2007), para. 2; S/RES/1701 (2006), para. 12; S/RES/1674 (2006), para. 16;",0
"484","Most of these crimes were committed individually in the context of the prevailing security chaos.",1
"485","During this period there have been considerable changes both in terms of the threat posed by Al-Qaida, the Taliban and their associated entities and the sanctions regime put in place by the Security Council to deal with them.",0
"486","To address this situation, it is important that crimes are punished more vigorously, since when perpetrators are at large, there is a feeling of impunity.",1
"487","To be held on Tuesday, June 12, 2012, at 10:23 a.m.",0
"488","Officials from organizations and States belonging to these other zones have assured the Team that their systems do not currently affect the ability of member States to prevent the entry of listed individuals, even if they are already inside the zone.",0
"489","Regarding rebel killings of detained soldiers, the Commission received allegations, especially from the Government, of rebel executions of detained soldiers.",1
"490","Although the ASEAN Convention on Combating Terrorism has not yet entered into force, the ASEAN Mutual Legal Assistance Treaty has been ratified by nine states and is in force.",0
"491","The transfer of zones subject to territorial adjustment will take place in six phases.",0
"492","As on previous occasions, the Special Advisor warned of actions by ""disruptive elements"" that were undermining Yemen's transition and threatening its peace, security and stability and noted that the country was at a critical juncture. He also described the advance of the Houthi militia, which had overrun Sana'a and occupied a number of public buildings; reported that Al-Qaida attacks in the Arabian Peninsula had increased, some related to the overall political and security situation; and expressed concern about the situation in the south of the country.",1
"493","On April 7, 2014, two experts from the United Nations Office on Drugs and Crime (UNODC), Mr. ClÃ©ment Gorrissen and Mr. Simon Davis, lost their lives in a vicious attack at Gaalkacyo airport in Puntland, Somalia, while on a mission related to tracking illicit financial flows derived from piracy.",1
"494","Accuracy' includes nonlinearity, hysteresis and repeatability at room temperature.",0
"495","He was subsequently killed in Syria.",1
"496","In general, the petitioners wore F-FDTL uniforms and were unarmed.",0
"497","With the climate of terror created by the death squads, political representatives fear that their activists will be kidnapped and detained.",1
"498","Article 75 of the Statute provides that the Court may directly issue a decision against the convicted person indicating the appropriate reparation to be granted to victims, including restitution, compensation and rehabilitation.",1
"499","Three States have enacted legal provisions to authorize extradition, mutual legal assistance and exchange of information and have concluded relevant bilateral treaties or other agreements with other States.",0
"500","Palestinians feel the struggle as a daily battle of resistance for their identity and against the erosion of the likelihood of a future as a people.",0
"501","To be held on Thursday, June 14, 2007, at 12:15 p.m.",0
"502","According to the evidence, armed men under the command of Abilio Mesquita initiated the attack on Brigadier General Ruak's residence on May 24, as indicated in paragraphs 69 and 70.",1
"503","I have also taken note of the recent increase in the presence and involvement of the Lebanese armed forces in areas where Palestinian armed groups are present.",1
"504","They expressed concern about the security situation and stressed that unless it was addressed quickly and effectively, normalization could stall and the authorities' efforts to stabilize the state would be undermined.",0
"505","The Council authorized the deployment of the United Nations Operation in Burundi (ONUB) with up to 5,650 military personnel, including 200 observers and 125 staff officers, and up to 120 civilian police, and appropriate civilian personnel. ONUB, to be deployed from 1 June 2004 for an initial period of six months, would initially consist of the forces of the African Mission in Burundi.",1
"506","As we saw in Mali, this can lead to the State being vulnerable to the emergence of civil conflict.",1
"507","Its findings have serious implications for the accountability of government officials, and the Council will need to carefully consider its recommendations in determining what measures will be taken to put a definitive end to abuse and impunity in Darfur.",0
"508","Regime forces were responsible for 363 of those deaths, including 82 children and 48 women; 17 people were killed by ISIL.",1
"509","The most critical areas are in the states of Jonglei, Upper Nile Units and Northern Bahr el-Ghazal and flooding is now spreading to Warrab, Western Bahr el-Ghazal, Lagos and Central, Eastern and Western Equatoria.",0
"510","E. Arbitrary Detention, Torture, Executions and Prison Camps",1
"511","Homemade firearms. ""Molotov cocktails. Improvised rockets manufactured in metal workshops.",1
"512","Official sources have reported that at least three listed Al-Qaida-linked individuals have been killed.",1
"513","There were also reports of further desertions of former integrated CNDP elements, as well as refusals of integrated armed group elements to accept redeployment.",1
"514","In its resolution 1267 (1999), the Security Council imposed limited air and financial embargoes to force the Taliban to stop providing safe haven and training for terrorists, including Osama bin Laden.",1
"515","Another election-related challenge is the significant number of potential voters who cannot afford the administrative costs involved in obtaining a national ID card.",0
"516","Terrorists and their accomplices cannot be allowed to take advantage of existing legal loopholes to evade responsibility for their actions.",0
"517","Report of the Secretary-General on Darfur (S/2006/591 and Add.1).",0
"518","If Afghanistan becomes less attractive in terms of the number of targets for militant groups, they may redirect their efforts to their own home countries or to other countries.",1
"519","In 1993, that vision was blurry, to say the least. At that time it was impossible to define the ultimate objectives that would come close to addressing the concerns of both peoples.",0
"520","East Africa has been a victim of terrorism in the past and the threat of terrorism in the region is high due to persistent political instability.",1
"521","Chairman of the Executive Council of the Community of Sahelo-Saharan States",0
"522","A framework for dealing with the threat posed by foreign terrorist fighters",0
"523","This amendment, which is in line with Article 5 of the Council of Europe Convention on the Prevention of Terrorism, would carry a penalty of 30 years imprisonment for the perpetrators.",1
"524","Alert data can only be stored for a limited period of time.",0
"525","Terms of reference for the follow-up to the removal of a name from the List",0
"526","One State noted that, while its constitution guaranteed the right to freedom of expression, that right could be subject to reasonable restrictions, including those applicable to speech that constituted incitement.",1
"527","Lieutenant General Ahmed reminded the Council that Force Commanders currently commanded more than 90,000 soldiers out of a total of 105,000 uniformed personnel, and that this number was likely to increase in the immediate future.",1
"528","The structure and organization of Syrian and Lebanese intelligence services in Lebanon at the time of the explosion, including information transmission protocols, reveal a highly extended presence in daily life in Lebanon.",1
"529","The academy will be an important institution for the implementation of the new curriculum and for supporting the implementation of the roadmap for the reconstruction of the civilian police force.",0
"530","Then they set fire to the buildings that were left standing.",1
"531","The current strength of the center is 544 members of the Forces Nouvelles and the national defense and security forces, out of a total authorized strength of 568, including mixed police units.",1
"532","The Group was pleased to note that some countries have suspended or blocked the export of military goods and services to CÃ´te d'Ivoire.",1
"533","Porous borders continue to hinder effective control, and progress needs to be made in developing regional approaches and best practices (e.g., community policing) to address these problems.",0
"534","S/RES/2095 (2013), preambular para. 7.",0
"535","However, these sites will continue to require protection. While KFOR's willingness to provide protection to religious sites is essential, a military-based solution cannot be reached.",1
"536","Many of the killings did not occur on the street, but in the homes of would-be protesters and even innocent civilians targeted by security forces.",1
"537","As noted above, Sudan's judicial system has not been able to ensure accountability for crimes committed in Darfur, nor are the authorities willing to do so.",1
"538","Increased costs: rerouting costs (Asseman Air flights)",0
"539","MINUSMA also identified 32 survivors of conflict-related sexual violence in the Tombuktu region and referred them to non-governmental organizations willing to assist them in filing legal claims.",1
"540","It is unclear who was responsible for this attack.",1
"541","The Special Representative said that the recent conquests of ISIL-held territory showed that the strategy, with international military support, was moving forward.",1
"542","Repeated attacks on foreign diplomats in Benghazi and Tripoli attest to this presence.",1
"543","The Commission also notes that the restrictions imposed in the camps on internally displaced persons, particularly women, who were terrorized by the Janjaweed militias with rape, murder or threats of attempts on their lives and physical integrity, amounted to deprivation of physical liberty, in violation of international law.",1
"544","C. Legal obstacles to the sanctions 50. The Team is aware of 15 lawsuits filed around the world challenging the implementation by Member States of some aspects of the United Nations sanctions against Al-Qaida and the Taliban.",1
"545","c) An operator of a gambling house, casino or lottery; and",0
"546","Despite these challenges, we cannot fail to recognize that approximately 50% of the Afghan population lives in areas where responsibility for security has been transferred to Afghan security forces.",0
"547","However, despite increased attention to this issue and positive developments, numerous obstacles remain on the ground in implementing mandates, particularly with respect to the continuing lack of clarity surrounding the concept and implementation of protection of civilians, internal and external coordination mechanisms, early warning and rapid response systems, support to host government security forces, and troop capacity and resourcing.",0
"548","(i) Murders committed by government and militia forces or by both.",1
"549","Subsequently, prosecutors in the Netherlands sought to ban and dissolve the organization and turn over to the state any credit balance in the organization's bank account, but the court ruled that the government had failed to prove that Al-Haramain's branch in the Netherlands, separate and distinct from the international organization, had supported terrorism. Prosecutors in the Netherlands announced that they intended to appeal the court's ruling, and to obtain more information about Al-Haramain and Al-Aquil from the United States.",0
"550","In summary, rape is a physical invasion of a sexual nature perpetrated without the consent of the victim, i.e., by force or coercion, such as that caused by fear of violence, intimidation, detention or taking advantage of coercive circumstances.",1
"551","The Geneva Conventions strictly prohibit torture in both internal and international armed conflicts.",1
"552","The political responsibility of the people who organized the march, despite the ban and the tense climate created by the delimitation of a ""red zone"", the mobilization and use of the army and the statements made by the highest authority of the State, should also be highlighted.",1
"553","For example, the UN Fact-Finding Mission on the Gaza Conflict was the only one to use public hearings as part of its investigative methodology to ensure an inclusive process, and to give voice to victims who had not been heard and to defend their rights to truth and justice.",0
"554","The Security Council recalls resolutions 1267 (1999) and 1989 (2011), 1373 (2001), 1540 (2004) and 1624 (2005), as well as other applicable international counter-terrorism instruments, stresses the need for their full implementation, renews its call upon States to consider becoming parties as soon as possible to all relevant international conventions and protocols, and to comply fully with their obligations under those to which they are parties, and notes the recommendation of the Ad Hoc Committee established by General Assembly resolution 51/210 that more time is needed to achieve substantive progress on the outstanding issues, and decides to recommend that the Sixth Committee, at the sixty-ninth session of the General Assembly, establish a working group with a view to finalizing the process on the draft comprehensive convention against international terrorism.",0
"555","Very often the civilian population finds itself caught in circumstances of dire need when a peacekeeping operation has not been established. Such situations may require the urgent attention of the Council.",1
"556","According to the Syrian Network for Human Rights, the Syrian regime killed six media activists in November, one of them as a result of torture in a Syrian regime detention center, and wounded five others.",1
"557","In Indonesia, Jemaah Islamiyah appears to have moved away from the use of large vehicle-borne improvised devices composed of commercial or improvised explosives (potassium chlorate, sulfur and aluminum powder combined with an initiating charge, e.g. TNT), as used in the first Bali bombing in October 2002, and now prefers a more selective method, with smaller bombs carried by individuals to the target area, as in the second Bali bombing in October 2005.",1
"558","One of the PNTL agents was killed by a soldier about 30 minutes later.",1
"559","During this period, the team conducted investigations in specific pre-agreed locations, such as IDP camps and destroyed villages, and maintained contacts with SLA and government officials.",0
"560","Organized crime and corruption have been characterized as the greatest threats to Kosovo's stability and the sustainability of its institutions.",1
"561","In total, through interviews with 116 eyewitnesses and 12 indirect witnesses, the investigation team gathered information on attacks against 51 villages and 11 cases of rape.",1
"562","The increasing convergence between terrorist financing methods, especially at the local level, and other criminal activities makes it even more difficult to distinguish the former from the latter.",1
"563","The Assistant Secretary-General also briefed the Council on the humanitarian situation in the areas controlled by armed groups, which remained precarious, especially in the Luhansk region.",1
"564","52. The State has also used deliberate starvation as a means of control and punishment in detention centers.",1
"565","(b) Communications equipment: US$29,925,915.",0
"566","Countering terrorist rhetoric and violent extremism",0
"567","In Libya, the collapse of state control following the fall of the Qaddafi regime in 2011, coupled with ineffective border controls and the stockpile of weapons, led to the development of a significant illicit arms market in the country, which fueled the existing conflict both within the country and throughout the Sahel region.",1
"568","Using the Internet for terrorist purposes to provide explosives training",1
"569","Several incidents recorded during the reporting period indicate friction between the CIS peacekeeping forces and the Georgian side, including the detention of trucks belonging to the CIS peacekeeping forces (see para. 17), the temporary detention of a CIS peacekeeping force soldier, the installation of electricity meters at CIS peacekeeping force checkpoints and a demonstration protesting against the presence of CIS peacekeeping forces in Georgia.",1
"570","Permanent Mission of Somalia to the United Nations",0
"571","Deploring the fact that the Taliban continues to provide a safe haven for Usama bin Laden and to allow him and his associates to run a network of terrorist training camps in Taliban-controlled territory and to use Afghanistan as a base for sponsoring international terrorist operations,",1
"572","The Security Council stresses the importance of assisting Member States in promoting the full and equal participation of women in electoral processes and post-conflict constitutional reforms.",0
"573","On November 18, a similar operation in Pristina resulted in the arrest of six people.",1
"574","There are unsubstantiated indications that money transporters move funds obtained from ransom payments and drug trafficking from one country to another.",1
"575","It is clear from Article 33 that a law enforcement officer may, under the protection of the law, torture a suspect, even to the point of death, if he does so in the performance of his duties.",1
"576","Seven have established jurisdiction over the relevant offences in their domestic legislation, five have adopted some measures to that end, and for nine States there is insufficient information on the matter.",0
"577","Drafted in the form of regulations, the text complies with the provisions of the International Convention on the Physical Protection of Nuclear Material.",0
"578","There are no conditions for hawala.",0
"579","The soldiers, who were armed with M16 rifles and grenade launchers, came under heavy automatic weapons fire from the east, which they responded to with equally heavy fire, including the firing of several grenades, and received reinforcements from the F-FDTL during the day.",1
"580","In this regard, Prime Minister Soro's request that UNOCI publish regular public reports on the media in CÃ´te d'Ivoire would help to control dangerous trends in the media, which could incite violence around the electoral process.",0
"581","Its terrorist practices cover a wide range of activities: bombings, including suicide attacks; hostage-taking resulting in deaths; manufacture of explosives; terrorist intelligence operations; terrorist training; forgery of documents; and provision of various types of financial or material support, including funding and management of a Web site used to post Al-Qaida-related statements and images.",1
"582","These violations, such as deliberate attacks against the civilian population, indiscriminate attacks against the civilian population and civilian objects or attacks on villages where rebels were hiding or sheltering, which caused disproportionate harm to the civilian population, or mass executions, as well as forcible removal of civilians from their homes, were widespread and systematic and constituted crimes against humanity.",1
"583","According to these reports, the United Nations arms embargo continues to be violated and the flow of arms into the country has intensified.",1
"584","Financial intelligence unit: establishment and start-up",0
"585","Despite this decision, destruction continues to occur.",1
"586","MONUC could play a role in revitalizing the country's economy by helping to reopen the river system.",0
"587","Dual-use commercial systems: they are manufactured for civilian purposes but can also be used in terrorist attacks.",1
"588","On May 14, the Parliament adjourned its first legislative session of 2012.",0
"589","A common conclusion is that, in its anti-subversive operations, the Government has committed acts against the civilian population, directly or using armed groups, that constitute serious transgressions of human rights and humanitarian law.",1
"590","In other words, the victims see the attackers as people who belong to a different and hostile group.",1
"591","The Commission ascertained the existence of two mass graves in the village; one was said to contain the bodies of two men and seven others were buried in the other; all the victims had died during the attack.",1
"592","During the conflict, the Maoist militia performed mobilization and propaganda functions, served as an irregular army and applied various means of ""law enforcement"" in areas under CPN-M control. When the Maoist militia disbanded, many of the members reportedly joined the Young Communist League of the CPN-M, an organization reestablished in December 2006.",1
"593","by the Secretary General of the POLISARIO Front",0
"594","Work has also continued on the development of an interim legal framework, which would define considerable autonomy and provide the basis for elections at the central level.",0
"595","Finally, much of the information regarding the fate of Mr. Abu Adass points to Syrian officials and Syria, as well as certain Lebanese officials. While it is true that little of this information has been independently corroborated, it is important that there is no information pointing to other entities as participants in his disappearance or that he was indeed a suicide bomber.",1
"596","Second, there has been large-scale destruction of villages in the three Darfur states.",1
