"","ar_en_DEEPL","MatConf"
"404","(d) Special alloys (e.g. chromium and nickel).",0
"405","(b) Social unrest linked to issues of protracted exclusion contributed to a recurring pattern of protests and the emergence of political and armed groups in the southern Terai plains that created new risks for children, including their displacement, killing and recruitment.",1
"406","âThe Security Council condemns violations of international human rights and humanitarian law committed by members of the FARDC, including the mass rapes committed in Minova on November 24, 2012, and calls on the Government of the Democratic Republic of the Congo to swiftly arrest, bring to justice and hold accountable those responsible for these violations, regardless of military rank.",1
"407","The women and young girls were separated from the men, held in an area around the mosque, and then taken by the detainees to be raped.",1
"408","97. It has been noted that, in some cases, national security and law enforcement forces may have conducted counter-terrorism investigations and measures in isolation from human rights considerations, as compared with cases of ordinary criminal policing, owing to the urgency and specificity of terrorist threats, which creates significant gaps.",1
"409","According to Jordanian official sources, al-Qaeda made the vests in Iraq using explosives and grenades taken from former Iraqi army stockpiles and smuggled into Jordan.",1
"410","People forcibly repatriated from China are commonly subjected to torture, arbitrary detention, summary executions, forced abortions and other forms of sexual violence.",1
"411","115. Two unarmed eastern officers from the Rapid Response Unit were attacked by members of the demonstrating crowd in Gleno on 8 May, as described in paragraphs 61 to 63 above.",1
"412","It should be noted, however, that the helicopters, as well as other units such as the navy, were reportedly widely deployed, while the army was officially supposed to remain a âthird lineâ that played a mainly defensive role, after the police and gendarmerie.",1
"413","In its resolution 2122 (2013), the Council expressed its intention to give increased attention to issues related to women and peace and security in all relevant thematic areas of work on its agenda, including, in particular, the protection of civilians in armed conflict, post-conflict peacebuilding, the establishment and strengthening of the rule of law in the maintenance of international peace and security, peace and security in Africa, threats to international peace and security caused by terrorist acts, and the maintenance of international peace and security.",0
"414","To be held on Friday, June 13, 2003, at 10.30 a.m.",0
"415","Some of these articles have been translated into Swedish, Polish, Russian, German and Lithuanian.",0
"416","In many countries, counterterrorism efforts cannot be prioritized due to gaps in institutional capacity and limited resources.",0
"417","(c) The list of individuals on the Consolidated List who are reportedly deceased and entities reported or confirmed to have ceased to exist, together with the documentation requested in paragraph 21 (c).",0
"418","While none of the villagers reported rape to the UNAMID investigation team, members of the Sudanese Armed Forces and Military Intelligence were in fact present in the village while UNAMID was conducting the investigation.",0
"419","In most current conflicts, small arms and light weapons are the primary weapons used.",1
"420","1. The offender shall be punished by three to ten years' imprisonment or confiscation of property.",1
"421","13. The progress made in the past 10 years had resulted in the weakening of some of the terrorist networks that had plagued the international community since September 2001.",1
"422","During the week of June 19-26, 10 people were killed and nine others injured in the Bay region in fighting between Digil-Mirifle clans in the area, including the Lisan, Loy, and Yantar clans.",1
"423","Emphasizes the need for a comprehensive [national] security sector reform strategy that focuses on professionalizing security sector institutions, including oversight bodies, and helps to ensure coherence and efficiency and avoid duplication of functions or gaps, while encouraging the Government [of the country] to engage in a new strategic partnership with [the Mission] on security sector reform to prioritize each component of the security sector and possible new approaches for [the Mission] to support the [national] authorities on security sector reform to build the capacity of military, police, justice and other security institutions to ensure the consolidation of [national] State authority, and requests",0
"424",":: August 22, 2005: August 22, 2005, three people were injured in an explosion in a garage near the Promenade Hotel in Zalka, north of Beirut.",1
"425","Presidency President: Deputy Luc-Apollinaire Dondon Konamabai",0
"426","At the request of the Alliance des patriotes pour un Congo libre et souverain (APCLS), MONUC supported its efforts to integrate into the armed forces.",0
"427","At around 5 p.m., a speeding vehicle passed by. Mr. Kiyak and his men opened fire on it, wounding a priest who was driving it.",1
"428","Foreign interests are the main driver of the commercial-scale fishing industry.",0
"429","Suicide bombings have become commonplace.",1
"430","Specific operations are carried out to collect weapons and ammunition voluntarily surrendered under the terms of the amnesty, or, if necessary, to collect weapons and ammunition in dedicated operations.",0
"431","Moreover, given the high rates of intermarriage, it is difficult to distinguish them in terms of their external physical features from the members of the tribes they are allegedly attacking.",1
"432","Acting under Chapter VII of the Charter of the United Nations.",0
"433","8. While Al-Qaida as an organization has not evolved, and its key leaders have been unable to rally their followers behind key operational issues or direct them towards specific action, Al-Qaida as a movement continues to flourish and draws its strength from a message of public resistance to real or perceived injustice.",1
"434","Cross-border trade in minerals and diamonds has been at the center of the dynamics of regional conflicts in both West Africa and the Great Lakes region for many years.",1
"435","Political prison camps witness unspeakable atrocities similar to the horrors of the concentration camps set up by totalitarian states during the 20th century.",1
"436","Council members expressed concern at the increase in acts of piracy and armed robbery at sea and reports of hostage-taking in the Gulf of Guinea, and the detrimental effects of such activity on security, trade and economic activities in the subregion.",1
"437","One of the soldiers grabbed the child and threw him to the side of the road.",1
"438","Elsewhere, deaths occur in violent circumstances and the authorities are unable or unwilling to issue an official document to prove the death.",1
"439","Although I have not yet received a response from the remaining 36 member states, it is unlikely, in my estimation, that they will make pledges to send enough troops to allow the deployment of a multinational force.",1
"440","He also stated that the Verification Mechanism canceled several missions due to resistance from South Sudanese forces.",1
"441","236. The obligations imposed on States to criminalize the financing of terrorism are contained in resolution 1373 (2001) and the 1999 International Convention for the Suppression of the Financing of Terrorism.",0
"442","The commission also received credible reports of the killing of another policeman by the Hashd in the same area.",1
"443","It seems likely that real change will come from popular protests, not from covertly planned violence.",1
"444","Meeting with the United Nations country team, non-governmental organizations, the Economic Commission for Africa and the Head of the United Nations Office (Addis Ababa)",0
"445","The Internet has helped al-Qaeda make a greater impact on the public than the relatively few operations it has been able to carry out, thereby thwarting some aspects of the intended impact of the embargo.",1
"446","Cross-border charcoal trafficking has supported al-Shabaab, forming the backbone of its raids in Kenya.",1
"447","By providing additional space for victims of terrorism to contribute to the discussion, more effective help can be provided in combating incitement.",0
"448","Therefore, the door to join our financial system is currently closed.",0
"449","Although the Commission is convinced, based on the evidence of independent witnesses, that the defense forces opened fire, each side believed at the time that it had been attacked by the other.",1
"450","102. The Commission was informed that when the rebellion, initiated by two rebel movements, broke out in Darfur in early 2003, the Government asked a number of Arab tribes to help it fight.",1
"451","The Court of First Instance distinguished between previous decisions upholding 1267 sanctions by stating that Resolution 1373 (2001) does not specify the persons whose assets must be frozen, making the decision to impose sanctions on specific targets and the process adopted to reach that decision a matter of Member State discretion and therefore subject to further scrutiny.",1
"452","Five indictments have been issued, while others are in the judicial process.",0
"453","34. On 8 February, 418 petitioners organized a rally in front of the presidential palace.",1
"454","The method of attack (placing a toxic bacterial agent in letters sent via the Federal Postal Service) was largely effective in terms of publicity, but a large-scale attack targeting as many victims as possible (e.g. spreading anthrax via aerosols) requires a much higher degree of technology.",1
"455","4. The recent high-level exchange of visits between Iraq and Kuwait has contributed to the creation of an atmosphere conducive to the Coordinator's contacts with representatives of Iraq and Kuwait, as well as with other members of the Tripartite Commission and its Technical Subcommittee, which remains the main body on the issue of persons unaccounted for in the 1990-1991 Gulf War.",0
"456","In many cases, warriors attacking âAfricanâ villages tend to use pejorative epithets such as âslaves,â âblacks,â Nubians, or Zorgas, which may suggest a perception of the victims as members of a distinct group.",1
"457","I urge all Somali leaders to take the necessary steps to resolve their differences.",0
"458","UNRWA also delivered 3,000 polio vaccines for use inside Yarmouk.",0
"459","The Committee is of the view that this procedure will reduce the likelihood that third parties, including non-bank financial institutions, non-financial businesses and professionals, will inadvertently act contrary to the terms of the assets freeze.",0
"460","56. The police and security forces of the Democratic People's Republic of Korea systematically use violence and punishments, a gross violation of human rights, to create a climate of fear that suppresses any opposition to the current regime and its ideology.",1
"461",":: Collecting and analyzing phone lists: Collecting and analyzing phone call lists",0
"462","Marinas are limited, and arrangements are currently being made to remove a shipwreck along the quay.",0
"463","The Janjaweed detained the women for three months and some became pregnant as a result of rape during their detention.",1
"464","This is an important aspect as it significantly increases the level of frustration among the target population, including supporters or perceived supporters of opposition parties and local groups, and their hatred of the police and security forces.",0
"465","3. Recalls that criminal acts, including those committed against civilians with the intent to cause death or serious bodily injury, or to take hostages, for the purpose of instilling a state of terror in the general public, a group of persons or particular persons, to intimidate a population or to compel a Government or an international organization to do or not to do something, which constitute offences within the scope of the international conventions and protocols relating to terrorism and as defined therein, cannot under any circumstances be justified by any considerations of a political, philosophical, ideological, racial, ethnic or religious nature international conventions and protocols relating to terrorism, as defined therein, which under no circumstances can be justified by any considerations of a political, philosophical, ideological, racial, ethnic, religious or any other such nature, and calls upon all States to prevent such acts and, if not prevented, to ensure that they are punishable by penalties consistent with their grave nature.",1
"466","However, the Group of Experts produced a strong and credible report, and for the first time an international body has recognized the extent of the human rights violations committed in the final days of Sri Lanka's brutal conflict, in which at least 10,000 civilians were killed.",1
"467","In many cases, women and men have been abducted or disappeared, with many unaccounted for.",1
"468","89. Although States in the subregion have the necessary legislation and institutions in place to combat the smuggling of persons, arms and explosives, what is lacking is the practical implementation of measures to monitor and prevent illegal cross-border movements.",1
"469","(iii) Killing detained enemy soldiers",1
"470","Security Council resolution 2113 (2013), 14th preambular paragraph",0
"471","There are reports that women and girls continue to be subjected to sexual violence during attacks on their villages, including a report of a recent attack on Hamada on January 13, 2005, during which women were raped.",1
"472","The concepts of planning, ordering, instigating, aiding and abetting, and pushing for a crime are discussed below.",1
"473","8. More than six years after the adoption of resolution 1624 (2005), serious risks and threats of incitement to commit terrorist acts continue to exist in most parts of the world. However, there are variations in the level of these risks and threats, including among States from the same region or subregion.",1
"474","The Commission considers that the crimes of sexual violence committed in Darfur could amount to rape as a crime against humanity or sexual slavery as a crime against humanity.",1
"475","28. Declares its intention to closely monitor any situations involving the proliferation of nuclear weapons, their means of delivery or related materials, including to or by non-State actors as defined in resolution 1540 (2004), and to take such measures as may be necessary, as appropriate, to ensure the maintenance of international peace and security.",1
"476","In June 2009, the Financial Action Task Force on Money Laundering (FATF) International Cooperation Review Group reported that six countries in the sub-region have AML/CFT gaps.",0
"477","The September 2013 attack on the Westgate Mall in Nairobi, Kenya, demonstrates the capabilities of al-Shabaab, even after its decline in Somalia.",1
"478","(v) State Security Service",0
"479","Large sums are now less likely to be available, although their availability is not a decisive factor in the success of attacks.",1
"480","The remaining 83 percent used public or private transportation.",0
"481","Report of the Secretary-General on the United Nations operation in Cyprus (S/2011/332)",0
"482","While there are reports of armed groups along the border between Western Bahr el Ghazal State and South Darfur, UNMISS was unable to assess these areas due to the lack of security guarantees from the SPLA.",1
"483","The QRU officers from the east were forced to take refuge in the district administration building. The crowd then surrounded the building. Armed with knives, sticks, machetes and stones, the crowd began chanting and threatening the RRU officers with death.",1
"484","Article 299-1 - Organization of Prohibited Public Assemblies",0
"485","In order to combat this situation, it is important that perpetrators are prosecuted more vigorously. When perpetrators remain free, there is a sense of impunity.",1
"486","169 - The explosion that killed Mr. Hariri and 22 others occurred above ground.",1
"487","In one incident, early one morning in August 2003, hundreds of Arab Janjaweed launched an attack on Korcha, the village of Turgo. They wore green military uniforms and rode horses and camels. They surrounded the village and started shooting men and boys.",1
"488","Paragraph 11 of resolution 1803 (2008) does not apply, as Liechtenstein does not operate any airports or seaports.",0
"489","That the perpetrators knew that their acts of violence were part of a systematic attack on civilians can be inferred from, inter alia, that they knew that they would indeed go unpunished.",1
"490","7. Requests the Executive Representative of the Secretary-General to facilitate and encourage dialogue among national and international stakeholders, particularly in the context of the upcoming elections, while continuing to support their efforts to maintain peace and stability.",0
"491","After doing all the analysis and looking at all the facts we gathered, we came to the conclusion that the explosion most likely occurred above the surface of the earth.",1
"492","The situation in Somalia (March 17, 1992; December 3, 2009)",0
"493","Indeed, a UN police officer reported machine guns on the roof of the building occupied by the former UN peacekeeping force on the afternoon of May 24.",1
"494","Recommended corrections concerning category ""C"" claims",0
"495","(m) W.J. White Ltd (UK): None.",0
"496","In April 2004, a group of 40 internally displaced women reportedly went to collect firewood outside Mukjar, West Darfur, and were attacked by six armed Janjaweed.",1
"497","To be held on Monday, October 27, 2003, at 11.10 a.m.",0
"498","15. Al-Qaida in Iraq (QE.J.115.04) recently changed its name to the Islamic State in Iraq and the Levant, in order to legitimize its operations in the Syrian Arab Republic and break away from the Al-Qaida name.",0
"499","The DPRK Armed Forces personnel and people will smash the reckless human rights weapon of the hostile forces with unprecedentedly strong counteractions and vigorously defend the socialist system and their lives and souls.",1
"500","On May 3, at the invitation of the President of the Economic and Social Council, the President of the Security Council attended the high-level meeting of the Economic and Social Council to assess the work of its ad hoc advisory groups on countries emerging from conflict (Burundi, Guinea-Bissau).",0
"501","(f) To deter any attempt to use force to threaten the Goma and Nairobi processes by any armed group, foreign or Congolese, in particular in the eastern part of the Democratic Republic of the Congo, including through the use of cordon and search tactics and all necessary operations to prevent attacks on civilians and to disrupt the military capacity of illegal armed groups that continue to use violence in that area.",1
"502","Similarly, the Commission found sufficient evidence that rape and sexual violence continue to be systematically perpetrated against women during their displacement, perpetuating a sense of insecurity among them and a fear of leaving IDP sites.",1
"503","To be held in private on Friday, July 23, 2004, at 11.50 a.m.",0
"504","34. The presence of Palestinian armed groups outside the camps continues to challenge Lebanon's ability to exercise full sovereignty over its territory.",1
"505","(b) If the hostage is a person under 18 years of age.",1
"506","In the early morning hours of July 11, unidentified gunmen broke into the home of Mr. Abdul Qader Yahya, a longtime activist and senior member of the Center for Research and Dialogue, and assassinated him.",1
"507","The failure of the police force leadership to punish the attacks on May 23 and 24 involving some police officers was due to a breakdown in the chain of command, ongoing partisan discord, and limited accountability in the past.",0
"508","(b) Phase 2: 3,205 personnel of all categories and 90 United Nations military observers.",0
"509","We seek to draw the attention of the international community to the shocking fact that, by withdrawing from the above-mentioned resolution, the Russian Federation considers itself no longer bound by the obligation to prevent the sale and supply to the Abkhaz side of all types of arms, defence equipment, spare parts, ammunition, armoured vehicles and equipment (para. 3); as well as to prevent the use or association of its citizens with any armed group in the zone of conflict (para. 5a).",1
"510","This was the case of Jamal Suleiman Muhammad Shaib in the village of Haluf, which involved the killing of 24 people, some of them women and children, the looting of property and the burning of the village.",1
"511","They do not necessarily differentiate between taking action against those on the list and taking action against all those they consider to be terrorists in general.",1
"512","78. Most States in the subregion have been subjected to terrorist attacks either on their own territory or against their nationals in other parts of the world.",1
"513","II: Enabling the family to fulfill its basic functions:",0
"514","The regime must now heed these calls and act on them.",0
"515","At Abidjan airport in August 2005, the Group saw three new Mitsubishi L-200 4x4 vehicles with FANCI license plates driving near the military base and carrying personnel and equipment.",1
"516","Although local cells are known to engage in limited criminal activities, such as credit card fraud and drug distribution, and the United Nations Office on Drugs and Crime (UNODC) has indicated that mobile groups on the borders between Afghanistan, Pakistan, the Islamic Republic of Iran and Uzbekistan collect transit fees from drug transporters, thereby benefiting the Taliban, there is no consistent evidence to date that senior terrorists are involved in drug trafficking or organized crime.",1
"517","424. The trend of the Janjaweed's superiority over the police began even before the current crisis, and this can be deduced from the information provided by the government itself.",1
"518","On 23 August, in a briefing by the Department of Political Affairs, the Under-Secretary-General for Political Affairs said that staff of the Office for the Coordination of Humanitarian Affairs were conducting an assessment mission in the Syrian Arab Republic and referred to the Secretary-General's statement that President Assad had not ended the use of violence against civilians despite his pledge to do so.",1
"519","But there are others who are not wanted by any law enforcement agency, cannot easily obtain forged travel documents of sufficient quality to pass scrutiny, and in any case consider that the limited personal details on the list make it reasonably certain that they can pass through border posts using their original travel documents unnoticed.",1
"520","But the task is not impossible to accomplish if we set realistic, principled goals and move toward them with deliberate steps, and if we have the support of others and are not alone when we take those steps.",0
"521","13. The final group consists of new recruits who have been radicalized either by world events or by extremists in their own communities who have been misled by Al-Qaeda's message, terrorist network websites and Internet chat rooms.",1
"522","In March 2004, in the village of Dobo in North Darfur: âThey set everything on fire and stole our belongings.",1
"523","Council members also called on all States in the region to make all possible efforts to improve the situation, in particular by taking action to prevent individuals and armed groups from using their territories to prepare or commit attacks on neighboring countries.",0
"524","95. The situation in Myanmar (September 15, 2006; March 18, 2008).",0
"525","Both the Resolution and the Convention provide that for an act to constitute a terrorist financing offense, the funds intended to be used to finance terrorism need not be derived from criminal activity, and the terrorist act intended to be financed with such funds need not have already been carried out or even attempted.",1
"526","A rise in tension has been observed among the local population in response to illegal tax collection and extortion by Abkhaz de facto officials.",1
"527","Describing the unfortunate incident as malicious and unacceptable, the president emphasized that it is a potential outbreak of violence in the upcoming 2012 elections.",0
"528","The measures the government has taken so far to address the crisis are grossly inadequate and largely ineffective, which has contributed to a climate of total impunity for human rights violations in Darfur.",1
"529","The Prosecutor expressed concern about unresolved issues regarding individuals detained in Libya and the mass displacement of Tawerghans.",0
"530","Also in the Bakool region in central Somalia, on June 10 and 11, clashes between militiamen from the Hadamo and Ogaden clans in the Bardi region killed at least four people and injured 10. On June 15, 16 people were killed and 20 injured in fighting between militiamen over land and grazing rights in the same area.",1
"531","452. In Article 31 of the National Security Law, an order was issued by the Director-General that a security officer can arrest, search, detain and interrogate a person. He has three days in which to provide the detainee with the reasons for his arrest and detention.",1
"532","6. تيترانيتروبنـزوتريازولبنـزوتريـــــازول (TACOT) (CAS 25243-36-1).",0
"533","120. There are still activities on Mina Al-Hosn Street, prior to the explosion, that require further investigation and could clarify details from the planning stage and lead to the perpetrators.",1
"534","A digital photograph of the person's face: A digital photograph of the person's face.",0
"535","The flow of arms from Ethiopia to the warlords and then to BAM helps explain another source of small arms and ammunition in BAM.",1
"536","13. This situation has complicated efforts towards peace and reconciliation.",1
"537","Irregular movement of weapons among security forces",1
"538",":: Convention on the Physical Protection of Nuclear Material: Convention on the Physical Protection of Nuclear Material (2003), February 24, 2003",0
"539","Both of these approaches are indispensable in meeting the challenge of terrorism.",0
"540","General Gueye, the former head of the ruling junta, and seven of his closest associates were executed.",1
"541","The successful prosecution of suspected pirates and the imprisonment of those convicted sends a strong message to perpetrators and their supporters that they cannot go unpunished.",1
"542","30. The Mission's community policing initiative has strengthened ties with the local community.",0
"543","The court also ruled that given the importance of combating international terrorism, the precautionary and temporary freezing of funds, while allowing exceptions to cover essential expenses, does not arbitrarily, inappropriately or disproportionately interfere with the right to property.",1
"544","First, it is important to take into account two equally legitimate desires: On the one hand, there is the demand of minorities to live in security, to have the same opportunities for economic development, to have the same access to social services and education, and to exercise their right to return; on the other hand, there is the desire of the majority population to exercise their right to self-determination.",0
"545","Several peace operations have recently incorporated cross-border crime analysis into their mission planning and joint mission analysis structures - notably the UN Multidimensional Integrated Stabilization Mission in Mali (MINUSMA).",1
"546","Similarly, there has never been any evidence that the government has arrested the perpetrators of attacks against civilians, as stated in the joint statement and resolution 1556 (2004).",1
"547","- Affirming its previous resolutions in this regard, the most recent of which was resolution 388 (Riyadh, March 29, 2007) of the 19th ordinary session of the Riyadh Summit.",0
"548","(d) Political and military leaders operating in the Democratic Republic of the Congo who recruit or use children in armed conflict in violation of applicable international law.",1
"549","Threats to international peace and security caused by terrorist acts",1
"550","1. Today, IAEA and UNMOVIC inspection teams conducted unannounced inspections of 12 sites inside and outside Baghdad and one site in Basrah governorate.",0
"551","The Atomic Energy Organization of Iran has developed regulations on physical protection of facilities and materials, based on IAEA Information Circular INFCIRC/225",0
"552","However, most states have yet to incorporate into their domestic laws the offenses set forth in the international counterterrorism instruments.",1
"553","The latest available information indicates that 35 IDPs were killed, 10 were injured, and 4,000 IDPs and villagers were forced to flee.",1
"554","These shocks have two serious consequences.",0
"555","The men in the vehicles and the soldiers on the street opened fire at the police vehicles, wounding a soldier in the police force in the leg.",1
"556","The team first estimated the profits the company would have made in a no-invasion scenario.",0
"557","âWeapons of Mass Destruction and Non-Proliferation in the framework of best business practices,â followed by a training activity",1
"558","Thus, similar to the previous category of crimes, any crime committed by militias triggers not only the criminal liability of the perpetrator but also the liability of the governing authorities of these militias in Sudan if the latter ordered, planned, or failed to prevent or suppress the crimes (the concept of superior responsibility).",1
"559","On March 15, 2005, clandestine unloadings at the fruit loading terminal of ships registered in Greece and Panama were carried out without declaration to customs and police authorities.",1
"560","The current performance of the Police Service, PNTL and F-FDTL, in particular, is hampered by the perceived lack of legitimacy resulting from the manner in which they were created.",1
"561","520. One should not exclude the possibility that in some cases there may be individual persons, including public officials, who may have genocidal intent, in other words, attacking victims with the specific intent to exterminate, in part, a group perceived as a hostile ethnic group.",1
"562","An average of 70 percent of all enrolled patients received a full course of treatment.",0
"563","The remains of the victims were taken to the Hilversum military base, where identification operations are underway.",0
"564","In addition, the recruitment of 19 civilian experts for positions within the Mission's police component to further strengthen the focus on skills building and institutional development is well advanced.",0
"565","It is expected to start supplying electricity in December 2015.",0
"566","The Commission also recommends that of the persons who received F-FDTL weapons on 24 and 25 May, only those who subsequently used these weapons in criminal activities should be prosecuted.",1
"567","Fighting crime, particularly organized crime and corruption, has proven to be a daunting task for the Kosovo Police Service (KPS) and the judiciary.",1
"568","To be held on Tuesday, May 22, 2007, at 10 a.m.",0
"569","Instead, states should establish a clear, complete, and consistent legal framework that identifies terrorist acts as serious criminal offenses, criminalizes such acts according to their seriousness, and assists courts in bringing terrorists to justice.",0
"570","Category 0 - Nuclear materials, facilities and equipment",0
"571","The term âJanjaweed,â in particular, was widely used by victims of the attacks to describe their attackers.",1
"572","This does not give the council the opportunity to seriously pursue alternatives within the available timeframe.",0
"573","It states that these children were orphaned as a result of the conflict and are being cared for by the SLA.",1
"574","Include gender concerns in needs assessment and resource allocation in post-conflict reconstruction.",0
"575","195. The next series of video footage shows the UAV operating in Darfur on August 27 and 28, 2008.",0
"576","Since the beginning of the year, UNHCR has reached 434,645 people in 91 besieged and hard-to-reach areas.",0
"577","1 x 600,000 CHF = 600,000 CHF",0
"578","Identifying potential perpetrators of international crimes",1
"579","""Report of the Secretary-General on the United Nations Integrated Mission in Timor-Leste (S/2008/26)"".",0
"580","Second, the lack of information causes frustration and exasperation among those responsible for verifying the list on which effective implementation most relies, increasing the risk that listed names will go undetected and measures may be applied to unintended targets.",1
"581","Reuters news agency, journalist Mariam Qaraouni -- January 19, 2012",0
"582","The Brazilian government is closely following the Haitian government's efforts to undertake institutional reforms.",0
"583","On November 5, 2014, regime warplanes carried out five airstrikes targeting Kansafra town in Idlib countryside.",1
"584",":: Using the presence of a civilian or other protected individual Using the presence of a civilian or other protected individual to render certain points, areas or military forces immune from military operations.",1
"585","Implementation of the Joint Statement of April 2, 2009",0
"586","10. Further requests the working group established in accordance with paragraph 9 to consider the possibility of establishing an international fund to compensate victims of terrorist acts and their families, which could be financed through voluntary contributions and may consist in part of assets seized from terrorist organizations, their members and sponsors, and to submit its recommendations thereon to the Council.",0
"587","This is because the Security Council's sanctions regime, which remains the only truly global mechanism for global action against the twin threats posed by Al-Qaida and the Taliban, continues to suffer from two major weaknesses: The limitations of the Consolidated List and the lack of participation by Member States.",1
"588","The use of lethal violence in such situations must respect the principles of distinction and proportionality, and violations must be held accountable.",1
"589","14. Invites the Secretary-General to bring to the attention of the Council situations where refugees and internally displaced persons are increasingly vulnerable to harassment or where their camps are increasingly exposed to infiltration by armed elements and where such situations may constitute a threat to international peace and security and, in this regard, expresses its readiness to consider such situations and to take appropriate steps, as necessary, to help create a secure environment for civilians endangered by conflict, including by providing support to concerned States in this regard, and recalls in this regard its resolution 1208 (1999) of 19 November 1998.",1
"590","Theo Van Boven, former Special Rapporteur of the Subcommission on Prevention of Discrimination and Protection of Minorities, in one of his observations referred to this provision as âmore elaborate and specific, with respect to the right of victims to obtain reparation, than any previous international human rights conventionâ.",0
"591","The High Representative/Special Representative has made it clear that in view of the failure of the Republika Srpska authorities, particularly its Ministry of Interior, to arrest persons accused of war crimes, and the failure of Bosnia and Herzegovina to join the North Atlantic Treaty Organization (NATO) Peace Partnership, the Commission will be tasked with making recommendations for a single, effective police structure for the whole of Bosnia and Herzegovina.",0
"592","50. The Team has learned that 15 lawsuits have been filed around the world against the implementation by Member States of some aspects of the United Nations sanctions against Al-Qaida and the Taliban.",1
"593","The first half of January 2014 was relatively calm and then the security situation, particularly in Bangui, deteriorated in the second half of January 2014.",0
"594","29. All reporting States believe that they have effective protections in place against listed individuals or entities possessing weapons, but only 38 Member States reported that they had made changes to their existing laws and regulations to incorporate arms embargo measures; 106 States did not refer to the Consolidated List when describing their regulatory processes.",0
"595","79. Available evidence shows that the vast majority of the bodies still in the morgue awaiting autopsy have gunshot wounds.",1
"596","A total of 393 people were killed in these massacres, including 93 children and 48 women, or 36 percent of all victims, indicating a deliberate policy of targeting women and children.",1
"597","79. The mission asked about reports of a mass grave in BouakÃ© containing the remains of dozens of executed members of the gendarmerie.",1
"598","There are laws regulating the activities of charitable and non-profit organizations, but not all countries have reviewed their legal frameworks to prevent the NPO sector from being used to finance terrorism.",1
"599","Annex IV - Annex to the Committee's guidelines",0
"600","In that resolution, the Council requested the Secretary-General to establish within the Secretariat (Security Council Subsidiary Organs Branch) an administrative focal point to receive requests from listed individuals and entities.",0
"601","It demands that rebel armed groups cease violence immediately, and calls on all parties to return to dialogue within the framework of the Sirte Agreement of October 25, 2007.",1
"602","(a) If his act results in serious bodily harm.",1
"603","Water pumps and wells were destroyed, food preparation containers were smashed, and trees and crops were burned and cut down both in villages and in the valleys, a major source of water for the rural population.",1
"604","He replied that the war had set aside the basic requirements of the rule of law and that one of the issues they faced in particular was the absence of judges in the face of advancing armies.",1
"605","This was confirmed at the plenary session of the Committee of Experts on the Evaluation of Anti-Money Laundering in Strasbourg on December 16, 2001.",0
"606","24. Urges the International Working Group, which will receive periodic reports from the Mediation Group and the Sanctions Committee established by resolution 1572 (2004) of 15 November 2004, to assess, monitor and closely follow progress on the issues mentioned in paragraphs 14 to 18 above.",0
"607","As stated in the relevant case law, âthe issue of liability for the commission of a crime other than the crime agreed upon in the joint plan arises, according to the circumstances of the case, only if (a) it was foreseeable that such a crime would be committed by a member of the group, and (b) the accused voluntarily took such a riskâ.",1
"608","The Committee removed five names from the list in January 2010 and another five in July 2010, two of which were deceased individuals and the rest were individuals considered to have reconciled with the Afghan government.",0
"609","2. Decides to terminate immediately the embargo on the sale or supply to Sierra Leone of petroleum and petroleum products referred to in paragraph 6 of resolution 1132 (1997).",0
"610","(k) In the light of past expenditures by the leadership, military and security services, reprioritize and allocate available resources, where necessary, to ensure freedom from hunger and other basic minimum standards for citizens, including those in the armed forces.",0
"611","The Malaysian judge died.",0
"612","2. Identity papers and travel documents",0
"613","It is reasonable to assume that the police presence was more for political reasons than for protection.",1
"614","The conflict is also a media war (fabrication and disinformation).",1
"615","Two states missed the deadline set by the International Civil Aviation Organization (ICAO) for the introduction of machine-readable travel documents.",0
"616","It is essential to investigate the whereabouts of the missing persons and hold those responsible accountable.",0
"617","(c) Encourage States to increase the exchange of information among regional border control authorities and to strengthen border security at points of entry to prevent the illegal cross-border movement of people, goods and weapons/explosives.",0
"618","104. However, organizing the commonly available materials that a trained terrorist can use to make an explosive device is a more difficult task.",1
"619","(a) The crime scene was in a state of chaos not only during the first few hours after the explosion, when the main focus was on putting out the fire, rescuing the injured and searching for the missing, but also, unfortunately, during a much longer period, unnecessarily.",1
"620","25. Calls upon all States to manage responsibly the use of highly enriched uranium for civilian purposes and to minimize its use to the extent technically and economically feasible, including through the conversion of nuclear research reactors and radioisotope production processes to low-enriched uranium fuels and targets.",0
"621","450. There are a number of serious flaws that prevent Sudan's judicial system from working quickly and properly to address abuses.",1
"622","(d) To declare and implement an immediate moratorium on the imposition and application of death sentences, followed without undue delay by the abolition of the death penalty in law and in practice.",0
"623","20. Sub-clause 43.3 states:",0
"624","134. The Team has discussed areas of cooperation with the OSCE Counter-Terrorism Action Unit, the CIS Regional Office for Central Asia and the Regional Anti-Terrorist Structure of the Shanghai Cooperation Organization, and has initiated contacts with other regional organizations such as the Organization of American States, which has established the Inter-American Committee against Terrorism, and the African Union, which has established a counter-terrorism centre in Algeria.",0
"625","Similarly, pursuant to Order No. 206/1735 of February 18, 2005, the Unit Command handed us a written authorization from that authority, No. 36/2005 of February 18, 2005, ordering us to keep the cars of the Hariri convoy inside the barracks, to cover them with tents and to place them under guard.",1
