"","ar_en_DEEPL","VerCoop"
"653","1. Capable of achieving rates of 400 degrees/s or more, or 30 degrees/s or less; and",0
"654","The Government of Sudan provided the Committee with a document listing attacks on humanitarian convoys.",0
"655","43. Non-proliferation (March 29, 2006; September 7, 2011).",0
"656","2. During the reporting period, there continued to be a persistent disagreement between the parties on how to achieve a mutually acceptable solution to enable the people of Western Sahara to exercise their right to self-determination.",0
"657","Council members welcomed the training programmes organized by the Representative of the Secretary-General and BONUCA to familiarize the Central African Republic police and armed forces with ways to promote respect for human rights and international humanitarian law.",1
"658","Reduce the amount to avoid multiple awards. h",0
"659","(i) With respect to travel restrictions, when the Committee determines that such travel is justified by a humanitarian need, including the performance of religious obligations, or when the Committee concludes that an exception could otherwise further the purposes of this resolution.",0
"660","The Commission received credible information that several individuals were relocated by persons working in military intelligence or security.",1
"661","The Panel is following up with Liberia's Ambassador to the United Nations.",0
"662","1. Yoon Chung Nam",0
"663","The Group also held discussions with the Group of Experts established to support the Committee established pursuant to resolution 1540 (2004) to ensure appropriate cooperation between the Group's work in the area of arms embargoes and the work of the 1540 experts in the area of non-proliferation of weapons of mass destruction to non-State actors.",1
"664","154. Khaled Ahmed Mubarak Al-Sharhan",0
"665","Reiterating the obligation of Member States to prevent and suppress the financing of terrorist acts, and criminalizing the wilful provision or collection of funds by their nationals or in their territory, by any means whatsoever, directly or indirectly, with the intention that the funds should be used, or in the knowledge that they are to be used, to carry out terrorist acts.",1
"666","Urging [the affected State] to undertake, in coordination with the international community, a comprehensive reform of the police, judiciary and prisons, protect and promote human rights and fundamental freedoms, and end impunity.",1
"667","However, there are two levels of courts: District Courts (in Dili, Baucau, Suai, and Oecussi), and the Court of Appeals (which, pending the establishment of the Supreme Court, also has jurisdiction to exercise the functions of the Supreme Court).",0
"668","The authorities agreed that ethnic Albanians have been victims of social and institutional discrimination and recognized that confidence-building measures, such as integrating ethnic Albanians into the local police force and increasing representation in political institutions, would go a long way towards easing tensions and stabilizing the region over the longer term.",1
"669","13. Encourages the International Criminal Police Organization (INTERPOL) to intensify its efforts regarding the threat posed by foreign terrorist fighters and to recommend or provide additional resources to support and encourage national, regional and international measures to monitor and prevent the transit of foreign terrorist fighters, such as expanding the use of INTERPOL Special Notices to include foreign terrorist fighters.",1
"670","Some are suspected of committing different crimes at the same time.",0
"671","At the conclusion of this fourth round of talks, the parties reiterated their commitment to continue negotiations in Manhasset at a date to be determined by mutual agreement.",1
"672","8. Review pursuant to paragraph 6 (i) of the Committee's guidelines.",0
"673","80. In its tenth report, the Team recommended that the Committee should in future request from the country of residence, when contacted in the context of the review, all available information on the whereabouts, circumstances and activities of the party concerned, together with a note on any additional measures taken to prevent its support for terrorism, for the purposes of increasing the accuracy and impact of the List (S/2009/502, para. 24).",1
"674","To be held on Tuesday, February 15, 2005, at 1.05 p.m.",0
"675","Specific operations are carried out to collect weapons and ammunition voluntarily surrendered under the terms of the amnesty, or, if necessary, to collect weapons and ammunition in dedicated operations.",0
"676","âWeapons of Mass Destruction and Non-Proliferation in the framework of best business practices,â followed by a training activity",0
"677","Residents of these neighborhoods have been subjected to violence and beatings at the hands of security forces.",0
"678","While CTITF is believed to have an important role to play, it should be recognized that the Council's counter-terrorism committees have intensified their work on this issue and increased their effectiveness through reporting systems, assessment missions and facilitation of technical assistance.",1
"679","Steps need to be taken to adequately suppress the financing of terrorism.",0
"680","Requests [the Mission] to strengthen its conflict management capacity by finalizing as soon as possible its integrated strategy to support local tribal conflict resolution mechanisms in order to maximize the protection of civilians; welcomes the development of a comprehensive protection of civilians strategy and encourages [the Mission] to continue and complete its work on the strategy in a timely manner; and again requests [the Mission], consistent with its current mandate and capabilities, to effectively patrol high-risk areas of local conflict.",1
"681","Abbas and Prime Minister Siniora also discussed establishing a Lebanese-Palestinian dialogue on socio-economic welfare, security, and representation of Palestinian refugees in Lebanon.",1
"682","These standards may relate to (a) private sector awareness and outreach; (b) supervision of charities; (c) enforcement procedures to ensure that charities comply with AML/CFT requirements; and (d) international engagement.",1
"683","âIn the context of the expiration of MINURCAT's mandate on December 31, 2010, the Security Council commends MINURCAT's contribution to the security provided, without prejudice to the primary responsibility of the Government of Chad, to refugees, internally displaced persons and humanitarian workers in eastern Chad, and its efforts to enhance the capacity of Chad's DÃ©tachement intÃ©grÃ© de sÃ©curitÃ© (DIS).",1
"684","The Committee continues to monitor and assess the changing nature of the threat to international peace and security posed by Al-Qaida and its associates and to adapt its operational approach accordingly in order to ensure an effective and efficient response to these threats.",0
"685","At the 5898th meeting of the Security Council, held on May 27, 2008, in connection with the Council's consideration of the item entitled âProtection of civilians in armed conflictâ, the President of the Security Council made the following statement on behalf of the Council:",1
"686","Copies of these laws are contained in Annexes C and D.",0
"687","âThe Security Council, recalling its resolutions 2042 (2012) and 2043 (2012), welcomes the appointment of the Joint Special Representative of the United Nations and the League of Arab States for Syria as an important step forward in the cooperation between the two organizations, and expresses its support for the efforts of the Special Representative to continue the good offices of the Secretary-General in this regard.",1
"688","Revenues are generated from taxes levied on imports, exports, and berthing at the port.",0
"689","From these examples, it can be concluded that there are instances where the Security Council acts in the name of justice when faced with heinous crimes that violate human rights.",0
"690","At the 5059th meeting of the Security Council, held on 19 October 2004, in connection with the Council's consideration of the item entitled âThreats to international peace and security caused by terrorist actsâ, the President of the Security Council made the following statement on behalf of the Council:",1
"691","Bilateral donor assistance will also be required to meaningfully address the security threats posed by drug and arms flows.",1
"692","Therefore, I focused more on opportunities than challenges in my statement.",0
"693","âThe Security Council notes that this year marks the fifteenth anniversary of the Security Council's successive consideration of the protection of civilians in armed conflict as a thematic issue, and recognizes the urgent need for the Security Council and Member States to continue to strengthen the protection of civilians in armed conflict.",1
"694","âThe Security Council calls on the authorities of Burundi and the DRC to cooperate effectively to bring the perpetrators and those responsible for these crimes to justice without delay.",1
"695","(d) Seek support, as appropriate, from United Nations peacekeeping forces and other relevant missions, as well as United Nations country teams, the International Committee of the Red Cross and, where necessary, other members of the International Red Cross and Red Crescent Movement on training and sensitization on international humanitarian, human rights and refugee law.",0
"696","Furthermore, Ms. Bellamy introduced three child delegates participating in the Children's Forum, Wilmot from Liberia, Eliza from Bosnia and Herzegovina, and Jose from East Timor, who spoke about their personal experiences, described the situation of children suffering from armed conflicts and called for an end to wars.",1
"697","Law No. 15-430 (July 12, 1983)",0
"698","In a presidential statement (S/PRST/2004/15) adopted on 14 May, the Council expressed deep concern regarding reports that elements of the Rwandan army had conducted an incursion into the territory of the Democratic Republic of the Congo, reports of increased military activity by FDLR in the eastern part of the Democratic Republic of the Congo and incursions by FDLR into the territory of Rwanda.",0
"699","The Syrian government believes that the issue of so-called displaced Syrians is largely artificial and hopes that they will return to their homeland and that their presence will not be exploited for political purposes. The noticeable improvement in the security situation has led large groups of them to return to their country and resume their jobs that were prevented from them by terrorist groups.",0
"700","1. Convention on Offenses and Certain Other Acts Committed on Board Aircraft, 1993.",0
"701","On August 30, the Council issued a statement to the press on piracy and armed robbery at sea in the Gulf of Guinea.",0
"702","Any deprivation of liberty must be in accordance with the provisions of Article 9: deprivation of liberty must not be arbitrary; it must be in accordance with the law and the procedure established therein; information must be provided about the reasons for the arrest; and there must be access to a court to adjudicate the arrest, as well as to compensation in the event of a violation.",1
"703","Based on the foregoing, the Ministry of Foreign Affairs of Georgia considers that the withdrawal of the Russian Federation from the decision adopted by the Council of Heads of State of the Commonwealth of Independent States on 19 January 1996 represents a serious threat of destabilization, significantly changes the situation surrounding the conflict and undermines the legal framework, which defines the CIS peace formula for the conflict zone.",0
"704","A number of participants referred to the role that the Council could play in this area, which could go beyond the establishment of international reparations programmes to authorizing the use of assets frozen under sanctions regimes for reparations and providing possible support to national reparations programmes.",1
"705","1. On July 26, 2005, the Security Council adopted resolution 1612 (2005) on children and armed conflict.",1
"706","States should ensure that human rights are fully respected in the implementation of counter-terrorism legislation.",1
"707","The Committee will therefore forward those recommendations to the Counter-Terrorism Committee established pursuant to resolution 1373 (2001).",1
"708","During the meeting with the investigative judge, he was asked to help film the transportation of the convoy vehicles on February 14, 2005, but there was no further reference to the removal of the convoy vehicles from the crime scene.",1
"709","âThe Security Council calls on Sudan and Chad to respect and fully implement their mutual commitments, in particular the Doha Agreement of 3 May 2009 and the Dakar Agreement of 13 March 2008, to engage constructively with the Dakar Contact Group and the good offices of Libya and Qatar to normalize their relations, to cooperate to end cross-border activities by armed groups and to strengthen actions to combat illicit arms trafficking in the region, including through effective joint border monitoring.",1
"710","20. Relevant in this regard is the encouragement by the Security Council in its resolution 1963 (2010) for the Executive Directorate to discuss with Member States, with their consent, the possibility of developing, in accordance with their obligations under international law, comprehensive and integrated national counter-terrorism strategies that pay attention to the factors that lead to terrorist activities, as well as the Council's emphasis in the same resolution on the important role that regional and subregional organizations can play in combating terrorism, in particular by enhancing the capacity of Member States to fully implement resolution 1373 (2001) and facilitating the provision of technical assistance.",1
"711","The Council emphasizes the need for enhanced cross-border coordination and information sharing among these missions, as well as among all other actors in the region, to better anticipate LRA movements and imminent threats of attack.",1
"712","179- Emad Abdulwahab Hussein Al-Roumi",0
"713","83. MONUSCO received information from M23 fighters that there were additional graves in the combat zones. There are reportedly five new graves, three in Man and two in DananÃ© (72 km from Man).",1
"714","The Council emphasizes the need for unreserved commitment to the process of integration into the armed forces, in accordance with the spirit of the Inclusive and Comprehensive Agreement.",1
"715","5. Purpose, i.e. the reason for opening the account.",0
"716","Criticism of the Council and Committee's work in this area has the potential to undermine the entire al-Qaeda and Taliban sanctions regime, but it should not undermine the global support the regime has enjoyed so far.",0
"717","32. To date, the Council has not requested the Secretary-General to report on his efforts, as called for in the presidential statements of 2009 and 2010, to mainstream drug trafficking as a factor in conflict prevention strategies, conflict analysis, integrated mission assessment and planning and peacebuilding support.",1
"718","56. Government authorities currently assert that they have not identified the individuals who make up these brigades and attribute these acts to score-settling.",0
"719","The program requires ex-combatants to publicly return, renounce weapons and agree to respect the legitimacy of the government, the rule of law and the community monitoring mechanism, among other measures depending on the individual.",0
"720","This means that the Commission is mandated to establish facts relating to possible violations of international human rights law and international humanitarian law that may have been committed in Darfur.",1
"721",":: :: Play a full role in regional seminars and activities that contribute to raising awareness and promoting the implementation of resolution 1540 (2004) and increase efforts to raise the awareness of parliamentarians and other high-level decision makers",1
"722","It also recommends that the Government of Nepal make a clear commitment to the reintegration of children associated with armed forces and groups, and strengthen the legal protection of children by criminalizing their recruitment and prosecuting child rights violators.",1
"723","Following the adoption of Council Decision 2011/137/CFSP, in particular Article 8(2) thereof, in conjunction with Article 31(2) of the Treaty on European Union, the additional persons and entities listed in the annex to this Decision are listed in Annexes II and IV to Decision 2011/137/CFSP.",0
"724","Attached is the text of the requested article.",0
"725","464. The Committee made recommendations in the areas of security, humanitarian aid, the strengthening of social infrastructure, services and development, the opening of police stations with adequate supplies to respond quickly to crises, and the seizure of weapons in the hands of suspects.",1
"726","Calling upon States to cooperate fully with the Counter-Terrorism Committee established pursuant to resolution 1373 (2001), including the recently established Counter-Terrorism Committee Executive Directorate, the âAl-Qaida and Taliban Sanctions Committeeâ established pursuant to resolution 1267 (1999) and its Analytical Support and Sanctions Monitoring Team, and the Committee established pursuant to resolution 1540 (2004). Al-Qaida and the Talibanâ established pursuant to resolution 1267 (1999) and its Analytical Support and Sanctions Monitoring Team, and the Committee established pursuant to resolution 1540 (2004), and further calling upon these bodies to enhance cooperation among themselves.",1
"727","The mission assessed the institutional, technical, security, legal, legal and political readiness to organize the elections. The mission identified areas where support was needed and called for enhanced participation of women and youth, improved institutional transparency and mechanisms to prevent political and electoral conflicts.",1
"728","The cockpit and tail were visible, but the fuselage and wings were not.",0
"729","The Council expresses deep concern at situations in which armed forces and groups persist in committing violations and abuses against children exposed to and affected by armed conflict and post-conflict situations in disregard of applicable international law and relevant Council resolutions.",0
"730","In addition, 25,984 international and local observers were accredited.",0
"731","The Russian Federation believes that priority should be given to further strengthening the international legal basis for combating terrorism, in particular by universalizing the existing counter-terrorism conventions through accession to them by all States Members of the United Nations.",1
"732","Human rights and protection of civilians",0
"733","The involvement of government forces in some of the attacks is a very negative development.",0
"734","To be held on Wednesday, February 7, 2001, at 9.30 a.m.",0
"735","âThe Security Council welcomes in this regard the actions taken so far by the PSCF signatories and guarantors, including the convening of the first â11+4â meeting of the PSCF Regional Oversight Mechanism in Addis Ababa on May 26, 2013 and the first meetings of the Technical Support Committee in Nairobi on June 24 and July 22, 2013 first meeting of the PSCF Regional Oversight Mechanism in Addis Ababa on May 26, 2013 and the first two meetings of the Technical Support Committee in Nairobi on June 24 and July 22, 2013, which were aimed at making progress in developing benchmarks to assess the implementation of the PSCF by all signatories.",1
"736","Furthermore, during the Group's visit to Sudan, official information was provided regarding the smuggling of weapons through Eritrea by Al-Qaida-linked groups to Al-Qaida operatives in Saudi Arabia.",1
"737","As important as it is to prevent terrorists from carrying out their attacks, it is clear that terrorism cannot be defeated by security measures alone, and many members of the international community expect the Security Council to introduce measures that limit the means by which al-Qaeda spreads its message and encourage programs to undermine it.",0
"738","4 - There has been no such case so far.",0
"739","Its work with regional and subregional organizations should focus on facilitating the interaction of regional and national institutions to address national implementation challenges, such as reconciling priorities, harmonizing approaches, facilitating advisory and drafting services, and matching requests and offers of assistance.",0
"740","A stronger link between security sector reform and the lifting of the arms embargo, where appropriate, may be a successful catalyst for the success of such reform. This is also important in terms of preventing the recurrence of conflict in fragile post-conflict situations.",1
"741","It was recommended that the Committee strengthen and, where appropriate, institutionalize its cooperation with international non-proliferation mechanisms, other United Nations bodies, the Group of Eight, regional and subregional organizations and nuclear-weapon-free zones, which could add value to the implementation of resolution 1540 (2004) by expanding formal and informal working relationships.",0
"742","The trial began on September 18, 2006, and will conclude in early 2008. Nchamihigo",0
"743","The Government of Lebanon also reported that the Lebanese Armed Forces had further increased their presence, set up checkpoints and tightened controls around the locations of Syrian Arab Republic-based Palestinian armed groups south of Beirut and in the Bekaa Valley. On October 7, the Lebanese Armed Forces conducted raids in the Bekaa Valley on positions of Syrian-based Palestinian armed groups, during which weapons were seized.",1
"744","All relevant stakeholders should be encouraged to use this occasion to raise awareness of the resolution and promote its effective and comprehensive implementation in the context of planned or special activities aimed at enhancing implementation.",1
"745","Nominal GDP at market prices",0
"746","During its meetings with President Gbagbo and the Ministers of Defence and Internal Security, the Committee was informed that the decision to mobilize the national armed forces was intended to thwart and prevent the demonstration.",0
"747","The 1267 regime, which reflects the international community's determination to restrict the activities of al-Qaeda, has been instrumental in keeping the focus on the need to prevent the flow of funds to terrorist groups and restrict the movement of their members.",1
"748","The Security Council reiterates its full support for the CEMAC multinational force and calls for the continued restructuring of the Central African Republic's defense and security forces.",1
"749","Inflation in the first quarter of 2007 was only 1.5 percent.",0
"750","More than 1,000 civilians were displaced. The police took no action against the Janjaweed.",0
"751","âThe Security Council notes that widespread human suffering is a consequence and sometimes a contributing factor to instability and further conflict, whether through displacement, violent aggression or other atrocities.",0
"752","(Losses supported by the Receipt of Claims Report - USD 84,946,259",0
"753","To be held on Thursday, June 23, 2011, at 3.15 p.m.",0
"754","Mainly as a result of disparate operational procedures across different entities, obstacles to joint programming remain prominent.",0
"755","However, financial institutions and other implementation bodies do not seem to have taken note of this yet, and the Panel recommends that the Committee and States find ways to draw attention to this issue more broadly.",1
"756","The Council requests UNSMIL to continue to monitor reports of reported extrajudicial violence and to report to the Council.",1
"757","âThe Security Council urges the Governments of the Democratic Republic of the Congo and Rwanda to respond without delay to MONUC's efforts under its current mandate to establish, as soon as possible, a joint mechanism to verify their common security situation, including verification of cross-border movements.",1
"758","Sierra Leone now has 49 daily newspapers and 39 radio stations, 32 of which are privately owned.",0
"759","To be held on Wednesday, May 20, 1998, at 1.15 p.m.",0
"760","Council members noted that all candidates should make every effort to maintain a calm and peaceful environment, exercise restraint, await results to be announced in accordance with national constitutional procedures, and settle their differences peacefully through established legal and mediation mechanisms, including the National Mediation Committee.",1
"761","A fictitious trading company organized the shipment.",0
"762","To be held on Friday, July 22, 2005, at 1.35 p.m.",0
"763","4. The mission will emphasize that lasting peace, security and stability must be achieved for all countries in the region.",1
"764","35. Decides, in order to assist the Committee in fulfilling its mandate, that the Monitoring Team of the 1267 Committee, established pursuant to paragraph 7 of resolution 1526 (2004), shall also provide support to the Committee for a period of 36 months, the mandate of which is set out in Annex A to this resolution, and requests the Secretary-General to make all necessary arrangements to that end.",1
"765","However, it did not operate in some sensitive points along the Blue Line, such as the Ghajar village area.",0
"766","Acting Minister of Interior",0
"767","56. Measures are under way to strengthen the role of the United Nations country team, including the appointment of a new head of the Resident Coordinator's office and the identification of additional staffing requirements.",0
"768",":: Exploring how the peacebuilding goals and specific needs of post-conflict countries can be expressed Exploring how the peacebuilding goals and specific needs of post-conflict countries can be articulated in a post-2015 framework.",1
"769","12. In accordance with its mandate and in close cooperation with the Security Council Committees established pursuant to resolutions 1267 (1999) and 1540 (2004), the Committee will pay particular attention to States for which information on their implementation of resolution 1373 (2001) is not available and will discuss ways to best address this issue.",1
"770","14. Recommended compensation for Grassetto 57",0
"771","Emphasizing the importance of investigating [human rights abuses and violations of international humanitarian law allegedly committed by all parties], including those that occurred during the crisis ..., and reiterating that those responsible for such violations must be held accountable and brought to justice regardless of their political affiliation, while respecting the rights of persons detained ..., urges the Government to increase and accelerate its efforts to combat impunity.",1
"772","The team was unable to estimate the size of the Kabila camp because the Congolese Armed Forces had built a base there, destroying the traces of the former camp.",0
"773","I also selected Mr. Lancaster to serve as coordinator of the Expert Group.",0
"774","(a) Assessing the evolution of risks and threats.",0
"775","Further urges the Secretary-General to seek to increase the role and contribution of women in UN field operations, particularly among military observers, civilian police, human rights and humanitarian personnel.",1
"776","The main elements of the statement made by the ChargÃ© d'affaires a.i. as well as the exchange of views among the members of the Working Group are reflected in the summary contained in the relevant conclusions (S/AC.51/2014/2).",1
"777","The Security Council met at ministerial level on September 22 to consider civilian aspects of conflict management and peacebuilding.",1
"778","Deploring that the Taliban continue to provide safe haven to Usama bin Laden and allow him and others associated with him to operate a network of terrorist training camps in Taliban-controlled territory and to use Afghanistan as a base for sponsoring international terrorist operations.",0
"779","It is also important to recognize that more than half of refugees and IDPs do not live in camps. Consequently, the discussion will also address women's leadership roles in non-camp settings where reaching and serving refugees and IDPs poses additional challenges.",1
"780","Relations between Sierra Leone and Liberia",0
"781","VI: Presidency of the Conference",0
"782","(a) If the act mentioned in paragraph 1 above results in the death of a person or serious bodily harm to more than one person.",0
"783","âThe Security Council recognizes that terrorism cannot be defeated by military force, law enforcement measures and intelligence operations alone, and stresses the need to address the conditions conducive to the spread of terrorism, including but not limited to the need to intensify efforts to successfully prevent and peacefully resolve protracted conflicts, and to promote the rule of law, the protection of human rights and fundamental freedoms, good governance, tolerance and inclusiveness in order to provide a healthy alternative for those who may be vulnerable to recruitment for terrorist purposes and radicalization leading to violence.",1
"784","On this basis, I would like to approve Pakistan's request and intend to establish a three-member commission of inquiry.",1
"785","Resolution 1318 (2000), annex, section VI, first paragraph",0
"786","In the decade since the 2003 attack in Baghdad, the number of aid worker fatalities has tripled, reaching more than 100 deaths per year.",0
"787","(c) Encourage strong internal controls on weapons and explosives.",1
"788","The Council emphasizes the need for individuals who incite or cause the use of violence against civilians in situations of armed conflict, or who otherwise violate international humanitarian and human rights law, to be brought appropriately to justice.",1
"789","The frequency of attacks is increasing, including rocket-propelled grenade attacks, and there are large numbers of potential recruits.",0
"790","In particular, I urge the Abkhaz side to fulfill its previous commitments and allow the opening of a human rights sub-office in Gali, allow local youth to receive education in their native Georgian language and accept the deployment of UNOMIG police officers in the Gali district.",1
"791","Given that, for most purposes, the United Nations needs one common message on counter-terrorism, it is appropriate for the Task Force to take the lead in this regard, but CTED will also need to maintain its independent public character and ensure transparency regarding its actions, as appropriate.",1
"792","While I will continue to reach out to those States that have not yet responded to my appeal for voluntary contributions for a multinational force, and will seek your continued assistance in identifying a State that could act as lead nation, I would like to present to the Council the attached proposals for alternative options (see annex).",1
"793","The circular sets out the rules governing the shipment of magazines for commercial purposes.",0
"794","Some Member States also expressed concern over tensions at the Haram al-Sharif/Temple Mount in Jerusalem in recent weeks, and called on both sides to avoid unilateral steps that undermine prospects for peace.",1
"795","89. Although States in the subregion have the necessary legislation and institutions in place to combat the smuggling of persons, arms and explosives, what is lacking is the practical implementation of measures to monitor and prevent illegal cross-border movements.",0
"796","To be held on Monday, May 23, 2005, at 5.10 p.m.",0
"797","Recalling the adoption of resolution 2122, and reaffirming its intention to intensify its attention to women and peace and security issues in all relevant thematic areas of its agenda, including in the context of threats to international peace and security caused by terrorist acts.",1
"798",":: Coordination with other counter-terrorism-related subsidiary bodies of the Security Council: The Committee will attach great importance to coordination with the experts of other relevant counter-terrorism-related subsidiary bodies of the Security Council with regard to the preparation of visits and the streamlining of reporting procedures.",1
"799","The Council expresses its deep concern that civilians continue to constitute the majority of victims of violence perpetrated by parties to armed conflict, including deliberate targeting, indiscriminate and excessive use of force, use of civilians as human shields, sexual and gender-based violence, as well as all other acts in violation of relevant provisions of applicable international law.",0
"800","International crimes such as crimes against humanity and war crimes committed in Darfur may be as serious and egregious as genocide.",1
"801","The Russian Federation has also adopted legislation to protect the rights of victims of terrorism and has taken measures regarding the conditions of detention of individuals suspected of having committed a terrorist act.",0
"802","Security Council members also tasked the President of the Council to convey to the Permanent Representative of the DRC their concern over the expulsion of the Director of the UN Joint Human Rights Office and to call on the Government of the DRC to continue to work to fight impunity and promote respect for human rights and the rule of law.",1
"803","Some delegations emphasized the importance of the Six-Party Talks in finding a solution to the nuclear issue on the Korean Peninsula, and called for working to create favorable conditions for the resumption of the Six-Party Talks.",1
"804","Threats to international peace and security caused by terrorist acts",0
"805","Requests the Secretary-General to ensure: (a) to continue to monitor and report on the situation of children, within the framework of the reports referred to in paragraph 12 above; (b) to continue dialogue with parties to the conflict with a view to developing time-bound action plans to end the recruitment and use of child soldiers and other violations against children under international humanitarian and human rights law.",1
"806","Reaffirming the need to combat by all means, in accordance with the Charter of the United Nations and international law, threats to international peace and security caused by terrorist acts, emphasizing in this regard the important role of the United Nations in leading and coordinating this fight.",1
"807","In early 2008, the Front began a series of operations centered primarily in the area between Marca, Bali Dugli, and Belet Weyne.",0
"808","âThe Security Council reiterates that ending impunity is essential for national reconciliation in Haiti.",1
"809","Capacity building was one of the main objectives.",0
"810","The Claimant states that it was only able to resume its business operations after June 30, 1991.",0
"811","The situation in Syria is of deep and growing concern to the United Nations.",0
"812","While the bulk of UN international staff are located in the north, approximately 30 percent are based in central and southern Somalia.",0
"813","(a) China National Overseas Engineering Corporation: US$9,573,815.",0
"814","It is recognized that the Committee should take into account all international codes, standards and best practices relevant to the implementation of resolution 1373 (2001), while monitoring its implementation by States.",1
"815","The Permanent Representative of the Democratic Republic of the Congo should be aware of Uganda's action to declare six MRC leaders persona non grata, as contained in Security Council document S/2005/603.",0
"816","We have been in contact with many of their officials at various levels to urge them to take firm and immediate steps to disarm, arrest and hand over these terrorists to MONUC for trial for the crimes against humanity they have committed over the years.",1
"817","He telephoned the acting head of the Beirut Metropolitan Police, Major General Naji Malaeb, and informed him about the phone call from Mr. Nammar and asked him to check with Judge Mezher whether he was aware of this decision.",1
"818","10. On 24 July 2008, the Committee held an exchange of views with Mr. Ahmedou Ould Abdallah, Special Representative of the Secretary-General for Somalia, in connection with the Council's request contained in paragraphs 6 and 7 of resolution 1814 (2008).",1
"819","Even when there is a legal basis for cooperation on counter-terrorism-related matters between states, achieving practical cooperation remains a challenge. The reasons for this are both technical and political in nature.",1
"820","Four countries have sufficient legal provisions to suppress terrorist recruitment.",0
"821","Karenni National Progressive Party/Karenni Army",0
"822","Reaffirming the need for all parties to armed conflict to respect the humanitarian principles of humanity, neutrality, impartiality and independence in order to ensure the provision of humanitarian assistance and to guarantee the safety of civilians receiving such assistance and the security of humanitarian personnel and United Nations and associated personnel.",1
"823","During my meetings with Congolese authorities at the highest level, including President Kabila, I raised issues related to the need for due process before the courts and the passing of death sentences.",1
"824","The establishment of the Joint Mission Analysis Cell has significantly increased the Mission's ability to analyze and share information throughout the Mission. However, the Mission continued to lack access to reliable tactical information.",0
"825",":: Accede to instruments not yet acceded to: Joining instruments that have not yet been joined.",0
"826","In this regard, the Security Council urges the transitional authorities to take swift action to effectively combat impunity and promote justice by ensuring that perpetrators are brought to justice.",1
"827","With regard to the disarmament, demobilization and reintegration of former combatants, the parties agreed that the Chiefs of Staff of FANCI and the Forces nouvelles would meet on 7 July to finalize the timetable for the disarmament, demobilization and reintegration process to commence by the end of July.",0
"828","Long-distance, largely open and inaccessible borders make effective border management extremely difficult and facilitate the activities of transnational criminal and terrorist groups.",0
"829","In addition, on February 14, he was received in Nouakchott by the President of the Republic of Mauritania, Sidi Mohamed Ould Cheikh Abdallahi, and met with the Minister of Foreign Affairs and Cooperation, Mohamed Saleck Ould Mohamed El-Amin, and other senior government officials.",1
"830","While reform of the security forces is a sovereign prerogative of the state, I encourage the government to address the underlying issue of the cohesion of the national army, including by building a professional and adequately equipped and supplied armed forces.",1
"831","The Security Council reaffirms the importance of the principle of non-refoulement and the right of refugees to return voluntarily to [the affected country], and encourages countries neighboring [the affected country] to protect all persons fleeing violence in [the affected country], including [people from a specific area in the region]. Urges all Member States, based on the principles of burden-sharing, to support these countries in assisting refugees and affected communities ...",1
"832","The parties and their youth branches incite children to participate in demonstrations, during which violence can erupt, and the police sometimes respond with excessive use of force.",0
"833","The force observed around 70 small and large tents in the area, housing between 200 and 250 people.",0
"834","Also of concern is the presence of extremist elements and their alleged activities.",0
"835","11. In addition, it should be noted that access to high-tech means of communication, especially the Internet, is limited in some parts of the world, and the means of incitement that may be used there are therefore more traditional.",0
"836","563. The Commission has gathered reliable information that allows the identification of eight senior central government officials and military commanders and six local government officials or members of the armed forces operating in Darfur who are suspected of being responsible for knowingly failing to prevent or repress the commission of crimes, i.e., supervisory responsibility.",0
"837","In that resolution, the Council requested the Secretary-General to establish within the Secretariat (Security Council Subsidiary Organs Branch) an administrative focal point to receive requests from listed individuals and entities.",1
"838","These recommendations will be based on lessons learned from previous engagements in Haiti, including the need for a balanced approach to strengthening police, judicial, and correctional institutions in parallel.",1
"839","Their views have been given due consideration because they are important.",0
"840","1. Convention on the Physical Protection of Nuclear Material, 1979.",0
"841","Father's name: Mahmoud Rayhan Mother's name: Suad Rayhan",0
"842","The success of counter-terrorism measures depends primarily on the effective coordination of the international community's efforts to suppress the various forms of support for terrorism, especially its financing.",1
"843","(c) The Commission shall have the authority to decide where and how to conduct interviews with Syrian officials and persons the Commission deems relevant to the investigation.",1
"844","However, there is still a long way to go to bring about real and sustainable change in terms of outputs and results on the ground.",1
"845","The three missions are also seeking to increase their cooperation with regard to the leasing of a high-capacity passenger aircraft for troop rotations; the establishment of a regional procurement office staffed by personnel from all three missions; and the upgrading of the MONUC facility in Entebbe, Uganda, which already services MONUC, ONUB and UNMIS, to accommodate troops in transit and serve as the main entry point for cargo destined for all three missions.",1
"846","âThe Security Council reaffirms its commitment to the protection of civilians in armed conflict and to the continued full implementation of all its previous resolutions in this regard, including resolutions 1265 (1999), 1296 (2000), 1674 (2006), 1738 (2006) and 1894 (2009), as well as all its resolutions on women and peace and security, children and armed conflict, peacekeeping, and all relevant statements by its President.",1
"847","Council members welcomed the Government's efforts to combat the Lord's Resistance Army, as well as the African Union's Regional Cooperation Initiative for the Elimination of the Lord's Resistance Army and the appointment of an African Union Special Envoy to coordinate the initiative.",1
"848","Countering terrorist rhetoric and violent extremism",1
"849","(c) Encourage the development of procedures to ensure that asylum seekers and refugees do not commit terrorist acts.",1
"850","In another case, the Court again considered the various elements of an attack directed against a civilian population as part of the definition of crimes against humanity.",1
