"","ar_en_DEEPL","MatCoop"
"721","Our proactive policy has the long-term goals of bringing Abkhaz society out of its isolation; introducing it to democratic values and principles that recognize the basic human rights of internally displaced persons and refugees, primarily the right to return to their homes regardless of their ethnicity; and creating an environment based on trust and mutual respect.",1
"722","However, the number of beneficiaries of this facility is unknown.",0
"723","Observers agree that the immediate release of the number did not have a detrimental effect on the overall results.",0
"724","This non-binding instrument reiterates, without creating any new international obligation, the obligation of States to ensure respect for and implementation of international humanitarian and human rights law through national legislation, and focuses on the role of States in providing adequate, effective, prompt and appropriate remedies, including reparations, to victims.",1
"725","Letter to the Government of the Republic of Chad",0
"726","While malnutrition rates are more severe in the north than in other regions, the majority of malnourished children (85 percent) are found in Mali's southern regions where population density is much higher.",0
"727","Some countries also offer many programs on a bilateral basis.",0
"728","The State indicated that it had used the media and targeted programs to promote tolerance and dialogue among all beliefs and ethnic nationalities, and that a number of its constituent states had established interfaith committees or groups composed of various religious leaders to promote understanding and tolerance.",1
"729","For example, in 2009, Bhutan established a special forces unit in the police department to tackle terrorism.",1
"730","Both parties to the Comprehensive Peace Agreement (CPA) have appointed a coordinator for children and armed conflict.",1
"731","This Council should not allow that strategy to be rewarded by addressing the response to terrorism rather than terrorism itself. It must be rejected, not appeased.",0
"732","Most of these countries have weak capacities to freeze funds and assets linked to terrorism, although some countries have made progress in this area.",1
"733","18. The United Nations Global Counter-Terrorism Strategy calls for the promotion of dialogue, tolerance and understanding among civilizations, cultures, peoples and religions and the development of education and public awareness programmes in these fields.",0
"734","During 2012 and 2013, the United States also formally approached several countries in Africa, Asia and the Americas to encourage them to join the Hague Code of Conduct against Ballistic Missile Proliferation.",0
"735","The Lebanese Armed Forces informed the United Nations that the deteriorating security situation in the Syrian Arab Republic had prompted them to take additional border control measures to prevent the transportation of arms and the movement of military personnel into and out of Lebanon.",1
"736","Expresses concern that the illicit transfer, destabilizing accumulation and misuse of small arms and light weapons continue to threaten the safety and security of United Nations peacekeepers and undermine the effective implementation of peacekeeping mandates ...",0
"737","This practice was intended to minimize the potential for loss of weapons as a result of operations conducted by naval task forces.",1
"738","Other than these operational matters, the Ombudsman treats submissions confidentially as a matter of policy.",0
"739","(h) To actively participate in and support all activities in the implementation of the United Nations Global Counter-Terrorism Strategy, including within the Counter-Terrorism Implementation Task Force, established to ensure overall coordination and coherence in the counter-terrorism efforts of the United Nations system, in particular through its relevant working groups.",1
"740","The UN system is implementing joint programming initiatives under the support strategy with good results, although there is a need to strengthen the link between the various programs and the government's stabilization efforts.",1
"741","An eighth formed police unit from Nigeria is expected to be deployed in October.",1
"742","Issued in Kampala on November 22, 2002.",0
"743","9. Operational change. Complex, simultaneous, multi-hit attacks, such as the Arlit and Agadez attacks in Niger on May 23, 2013, indicate that local al-Qaeda affiliates are seeking to follow al-Qaeda's core directive to organize âspectacularâ incidents.",0
"744","Drinking water can be obtained from other sources by recharging freshwater ponds.",0
"745","Furthermore, the Coordinating Action Mechanism decided to initiate the development of international standards for small arms control not unlike those developed for mine action and disarmament, demobilization and reintegration.",1
"746","Council members also recognized the need to establish an integrated United Nations office in the Central African Republic, as emphasized in the conclusions of a delegation of the Peacebuilding Commission following its recent visit to the country.",1
"747","S/RES/1894 (2009), OP5",0
"748","However, we do not believe that sovereignty requires the Security Council to stand idly by when governments massacre their own people, thereby threatening regional peace and security.",0
"749","I now give the floor to Mr. Pascoe.",0
"750","Among other things, the negotiating team developed detailed proposals on decentralization and a plan for the future governance of Mitrovica.",0
"751","According to Article 3 common to the four Geneva Conventions, international humanitarian law also applies in armed conflicts that are not of an international character.",1
"752","In response to this wave of violence, MINUSTAH and the Haitian National Police organized several successful kidnapping rescue operations, and a large number of suspected kidnappers were arrested.",1
"753","317. The Commission did not find any information or evidence that could show that rebel groups were responsible for widespread destruction.",1
"754","2. Build trust and promote stability within the host country by promoting truth and reconciliation through:",1
"755","(b) Continue to keep abreast of the latest techniques in order to be able to prevent the misuse of new payment methods and detect attempts to use such methods to finance terrorism; enact appropriate laws and regulations and strengthen international cooperation in the investigation and prosecution of cases of suspected use of new payment methods to finance terrorism.",1
"756","In accordance with paragraph 32 of this resolution, the Monitoring Team operates under the direction of the Committee established pursuant to resolution 1267 (1999) and has the following responsibilities:",1
"757","Most states in the Western Europe, Eastern Europe, Central Asia, and the Caucasus subregions have enacted comprehensive counterterrorism legislation.",1
"758","3. United States 37 - 47 71",0
"759","One was hovering overhead, while another was bombing the village.",0
"760","The situation in Sierra Leone (see S/1995/40/Add.47; S/1996/15/Add.6, 11 and 48; S/1997/40/Add.21, 27, 31, 40 and 45; S/1998/44/Add.8, 11, 15, 15, 20, 22, 28 and 50; S/1999/25 and Add.1, 9, 18, 22, 32, 41 and 48; and S/2000/40/Add.5, 10, 17, 18, 19, 24, 26, 28, 30 and 32)",0
"761","The EU now calls on the GNU to move at a rapid pace to address other aspects of CPA implementation, including the establishment of the Assessment and Evaluation Committee to monitor progress as a first step.",1
"762","Recognizing the importance of communities, the private sector, civil society and the media in raising awareness of the threats posed by terrorism and the importance of addressing them more effectively.",1
"763","16. The new pattern of joint exploration/exploration missions undertaken under the Technical Subcommittee appears to be a promising approach to accelerating practical progress on the ground.",1
"764","33624",0
"765","âThe Security Council calls on the authorities of Burundi and the DRC to cooperate effectively to bring the perpetrators and those responsible for these crimes to justice without delay.",0
"766","Universal jurisdiction applies to these crimes, which can be brought before any national or international court, in the absence of prosecution by the Algerian justice system.",1
"767","Currently, fewer than 100,000 Liberians are registered in the public and private sectors.",0
"768","19. The establishment of the group on resolution 1624 (2005) and the human rights aspects of counter-terrorism will: First, it will enable the Executive Directorate to contribute to the Committee's consideration of how it can assist Member States in addressing issues such as incitement to terrorism and intercultural dialogue raised by resolution 1624 (2005).",0
"769","In 2009, Mauritius introduced a new border control system in which travelers' data is recorded upon arrival or departure in a database at the international airport.",1
"770","c. Three passport-size photographs.",0
"771","12. Invites the Committee, working in cooperation with the Committee established pursuant to resolution 1373 (âthe Counter-Terrorism Committeeâ), to inform the Council of further action States may take to implement the measures outlined in paragraph 1 above.",0
"772","The mechanism, funded by the United Kingdom, through its three working groups on maritime strategy, legal framework and fisheries, provides support to anti-piracy focal points in the federal government and in each region.",1
"773","11. Regular exercises were conducted on the basis of the annual plan. First aid training was conducted on 11 August by French firefighters from the Multinational Brigade (North-East) in Mitrovica. On August 30, MNB (East) organized a seminar for recovery zone commanders in Traduts. The purpose was to present the officer development program in detail in order to ensure that the recovery zone commanders understood their responsibilities and to ensure support for the program. 12. The overall situation in Kosovo remains relatively calm but with tensions that will continue for the foreseeable future.",1
"774","To be held on Friday, October 14, 2011, at 10.15 a.m.",0
"775","I am pleased to report that funding for the establishment of a refugee-sponsored law library in Rabouni is now available (see S/2007/619, para. 41).",1
"776","About 230,000 nomads were also registered by dedicated registration teams.",0
"777","2. Southern region: 209 sorties, flown at speeds of 720 to 780 kilometers per hour and at altitudes of 9 to 13 kilometers, as follows:",0
"778","Mary Ellen Gundem, Sisters of St. Joseph",0
"779","Officers and Circle Members",0
"780","Setting a clear direction for the work of the Commission and its Executive Directorate naturally requires specific policy guidance related to all key aspects of the Commission's mandate.",0
"781","Hamoud Nasser Baanoun Al-Enezi",0
"782","His innovation was to shift the target from Muslim countries to the West, especially the United States; by characterizing his terrorism as a struggle between Islam and its enemies, he was able to bring together several diverse and often competing groups under one banner.",0
"783","The remains of thirty-two bodies believed to be Iraqi military personnel were found, some with identification tags. The remains will be handed over to the Iraqi authorities once the necessary procedures have been completed.",1
"784","Facilities and locations within buildings are categorized according to their importance.",0
"785","43. In informal consultations on 2 May, Council members heard a further interim report from the Special Adviser to the Secretary-General on Cyprus, Alvaro de Soto, on the direct talks between the Greek and Turkish Cypriot leaders, which had continued since January pursuant to their agreement of 4 December 2001.",0
"786","The claim has been reclassified to a claim for loss of tangible property, inventory and vehicles.",0
"787","32. The Committee would also welcome any proposals, prepared in cooperation with experts from other subsidiary bodies of the Security Council relevant to counter-terrorism, on streamlining reporting procedures to the three Committees, in accordance with the 2005 World Summit Outcome (see General Assembly resolution 60/1).",0
"788","54. Anecdotal evidence suggests that money from ransom payments and drug trafficking is transported across borders by cash couriers.",0
"789","No one country can fight terrorism alone, and the transnational nature of the terrorist threat necessitates cooperation and coordination with other countries.",0
"790","36. The Council encourages the Burundian authorities to cooperate with the Special Representative of the Secretary-General to establish a mechanism to put an end to impunity and promote reconciliation.",1
"791","148. The implementation of border control measures is essential to the practical application of States' counter-terrorism strategies.",1
"792","33. Date and place of the 22nd ordinary session of the Council of the League of Arab States at summit level",0
"793","2. Analysis and evaluation 86-87 30",0
"794","He called on the Somali leadership to intensify efforts to implement the road map and adhere to the August 2012 deadline for the transition.",1
"795","The September 2013 attack on the Westgate Mall in Nairobi, Kenya, demonstrates the capabilities of al-Shabaab, even after its decline in Somalia.",0
"796","30. In general, the attitude of government authorities towards the Commission has been characterized by a spirit of cooperation.",0
"797","A total of 72% of the planned number of police officers (5% of whom were women) were deployed.",0
"798","The representative of Israel welcomed the adoption of the resolution and emphasized the need for further efforts to fully implement the provisions of resolution 1701 (2006), including with regard to the disarmament and dismantling of Hizbullah and other militias.",0
"799","It is estimated that about 800,000 young people are unemployed, working without pay or under-employed.",0
"800","20. Sub-clause 43.3 states:",0
"801","Al-Haqiqa satellite station, Jordanian journalist Muath al-Batoush -- February 25, 2012",0
"802","In this regard, and pursuant to the PSC statement of 25 November 2014, we request the Commission and the countries of the region to redouble their joint efforts to mobilize international support, including through a UN Security Council resolution supporting the establishment and deployment of the Joint Multinational Task Force, as well as the establishment of a trust fund.",0
"803","Once the Committee approves the revised plan, the priority activity for the Directorate will be to initiate the new structure of groups and units, and to begin work on establishing standards for the full range of the Directorate's work and harmonizing the provisions within this framework.",1
"804","The July disarmament campaign resulted in the killing of four Shilluk youth and the detention of 11, who remain in SPLA custody to date, as well as reports of SPLA looting of homes and livestock.",0
"805","Berkeley, CA, USA",0
"806","âThe Security Council welcomes the African Union's intention to send a reconnaissance mission to prepare for the deployment of military observers to Somalia, and calls on Somali leaders to cooperate with this initiative.",0
"807","Mr. Bralo, indicted for war crimes by the International Criminal Tribunal for the Former Yugoslavia (ICTY), surrendered on November 10 and was transferred to The Hague on November 11, 2004.",1
"808","In response to the completeness of the claim, the Claimant stated that the total of two hundred horses stated on the vaccination certificate did not include horses less than 24 months old, horses that may have been vaccinated one or two months earlier, or horses that were undergoing medical treatment.",0
"809","Particular attention is paid to accommodating and respecting the views and interests of all communities by all local institutions.",0
"810","259. Preventing the cross-border movement of terrorists also requires the use of technology and equipment, such as automatic readers and scanners, at border checkpoints to capture and verify real-time traveler data against national and international notices and criminal databases.",1
"811","For example, Poland and Croatia, with the assistance of the Office for Disarmament Affairs, conducted a peer review to assess their implementation of the resolution. The review was divided into two rounds of discussions and activities organized in Warsaw and Zagreb and attended by Committee experts as observers. The review helped to identify effective practices and facilitated the exchange of experiences.",1
"812","This issue featured prominently in both the general debate of the Special Committee and the deliberations of the Committee's Working Group.",0
"813","While increased international law enforcement, intelligence and diplomatic cooperation and improved border control systems in Member States both contribute to making it more difficult for terrorists to travel, the key to successful implementation of the sanctions regime lies in the granularity of the details included in the Consolidated List.",1
"814","While the nature of the consultations will ultimately be determined by the stakeholders themselves, it is envisioned that they will entail local area and state conferences across Darfur, culminating in a Darfur-wide conference.",1
"815","âThe Security Council recalls the commitment of the Government of Chad, set out in the letter to the President of the Security Council dated September 7, 2010 (S/2010/470), to assume full responsibility for the security and protection of the civilian population in eastern Chad, including refugees, internally displaced persons, returnees and host communities, with a particular focus on women and children, United Nations personnel and assets and humanitarian workers, in accordance with its obligations under international humanitarian, human rights and refugee law.",1
"816","The International Commission will be a team of three eminent personalities with relevant experience who are known for their integrity and impartiality.",1
"817","To implement the plan, the two intend to unify, equip and train the various militias under their control in Far Far (Ethiopia) and Wajid (Bakool region).",1
"818","In addition to guiding the work of human rights reporting mechanisms and serving as a secure repository for information provided by relevant stakeholders, the work of the body should facilitate United Nations efforts to prosecute or otherwise hold accountable those most responsible for crimes against humanity.",1
"819","The Team reports on the progress made by the international community in restricting the movement of terrorists and their supporters, including the recent joint initiative of the International Criminal Police Organization (INTERPOL) and the Security Council that resulted in an international notice, with the identity, description, photograph and fingerprints of the individuals on the Consolidated List.",1
"820","These visits, conducted by CTED on behalf of the Committee, provide an opportunity to discuss, among other things, terrorism-related trends and challenges, States' counter-terrorism efforts, their strengths, weaknesses and technical assistance needs, and good practices in implementing the resolutions.",0
"821","In the absence of any clear evidence, the Panel refers to SAT's statement at paragraph 1090, supra, that the maintenance period ended in April 1988.",0
"822","Building Trust and Stability by Strengthening Truth and Reconciliation Mechanisms",1
"823",":: Expressing their desire to unite their ranks and promote harmony among the communities of the Azawad region, with all its components: Expressing their desire to unite their ranks and promote harmony among the communities in the Azawad region, with all its components.",1
"824","These countries recognize the importance of cooperation, information sharing and coordination between different countries and between the regional and national levels.",1
"825","Financial entities must require identification from all their customers in any transaction (Article 16) and failure to provide identification documents will result in the rejection of the transaction (Article 18).",0
"826","22. Recalls the request in resolution 2187 (2014) for the Analytical Support and Sanctions Monitoring Team, in close cooperation with all relevant counter-terrorism bodies within the United Nations, to report to the Committee pursuant to resolutions 1267 (1999) and 1989 (2011), within 180 days, on the threat posed by foreign terrorist fighters recruited by ISIL, ANF and all groups, undertakings and entities associated with or affiliated with Al-Qaida and reiterates that this report should also focus on trends related to foreign terrorist fighters associated with all terrorist groups on the Al-Qaida Sanctions List and their associates, and include an oral briefing to the Committee and a note by the Committee to the Security Council at the next regular counter-terrorism briefing on groups operating in Africa.",1
"827","âIn this regard, the Security Council welcomes the news on 1 May 2011 that Osama bin Laden will never again be able to commit such terrorist acts, and reaffirms that terrorism cannot and should not be associated with any religion, nationality, civilization or group.",0
"828","Develop multisectoral strategies to address GBV, involving actors from the health, safety/security, law/justice, and mental health sectors; organize local training to strengthen national skills and capacities to address GBV.",1
"829","Problems identified include: Lack of a clear and well-defined sanctions policy, inadequate staff training, failure to establish an effective sanctions compliance culture across organizations, and overall inefficiency of screening technology.",0
"830","(c) Urging them, with the support of the United Nations:",0
"831","When passengers import manufactured/cut diamonds without the necessary documentation such as invoices, the diamonds are seized.",0
"832","These actions are being taken despite the SRSG's clearly negative stance and are in defiance of the UN and the Security Council.",0
"833","Impacts on women and women's contributions",0
"834","As the UN system and its partners move from humanitarian response to recovery and development interventions, a strategy will be developed for the withdrawal of OCHA from CÃ´te d'Ivoire.",1
"835","Sadly, the current Palestinian leadership has proven to be as incapable of being a partner in peace as it is of pursuing reform and democratic governance for its people.",0
"836","The Office for Disarmament Affairs has undertaken outreach efforts to potential donors in support of the regional seminars and workshops organized by the Office.",1
"837","After a few days, local elders convinced her to stop, and she left the compound.",0
"838","It is in their interest to do so.",0
"839","When the attack occurred, the women fled into the valley, where they were surrounded by army men.",1
"840","I urge donors to explore options to support Sudan's post-referendum demobilization, disarmament and reintegration efforts.",0
"841","9. Total income for the period under review amounted to $996,000, while total expenditure amounted to $1,241,000, resulting in a shortfall of income over expenditure of $245,000.",0
"842","The Committee continues to believe that these narrative summaries help to improve the transparency and fairness of the system, particularly as the Committee has sought to improve existing and new narrative summaries, including through the use of information gathered during the comprehensive review.",0
"843","211. All States in the subregion have established functioning financial intelligence units, although some are still working to improve their capabilities.",1
"844","26. Furthermore, the comprehensive review recognized the large number of measures taken by States to implement the obligations arising from resolution 1540 (2004), but identified some areas where States had adopted fewer measures, such as biological weapons, their means of delivery, national control lists, access to relevant equipment and the financing of prohibited or illicit proliferation activities.",1
"845","They urged Member States to contribute to the UN Consolidated Appeal for Somalia, and urged all parties and armed groups in Somalia to ensure full, timely, safe and unhindered humanitarian access.",1
"846","Mutlaq Abdulrahman Mutlaq Alkhalidi",0
"847","140. During some of its visits, particularly to some of the least developed States, the Team found that national agencies working in the field of counter-terrorism are so underfunded, particularly in the area of border security, that even relatively high-ranking officials do not have access to computers and other relevant technology, and others have insufficient or no staff at all to carry out essential tasks.",1
"848","First, the effective implementation of a sanctions regime is directly related to the quality of information available on its objectives.",1
"849","Article 5, paragraph 1 of the statute states:",0
"850","The foundations of this vision are outlined as follows:",0
"851","The review examined 488 names of individuals, groups and entities subject to the Al-Qaida and Taliban sanctions regime in order to update entries or remove them from the List in cases where the Committee determines that they are no longer appropriate to remain on the List.",1
"852","In Eastern and Southern Africa, the organization supports the National Customs Enforcement Network, which enables countries to record and analyze information on suspicious shipments and persons (including counter-terrorism-related aspects).",1
"853","C. Support to people affected by the conflict",1
"854","22. The Commission's investigation team was headed by a senior investigator and included four investigators, two investigators specializing in violence against women, four forensic experts and two military analysts.",1
"855","Takes note of the Department of Peacekeeping Operations' deployment of a fact-finding mission to Chad and the Central African Republic to assess how the United Nations can assist these countries in addressing the current instability.",1
"856","13. Reports of children abducted during recent attacks on the civilian population illustrate the terrible price Darfur's children are paying in this civil war.",0
"857","Dodsal with numbers 13/DM to 16/DM totaling 4,071,825 marks.",0
"858","Since then, there have been two significant new developments: the transfer on 31 October 2009 of the eight detainees convicted by the Court so far to Rwanda, where they will serve their sentences, and the transfer on 16 November 2009 of responsibility for the detention facilities from the Court to the Government of Sierra Leone.",1
"859","The event formed the basis for the development of a regional program focusing on Algeria, Burkina Faso, Algeria, Mali, Mali, Mauritania, Niger and Nigeria, aimed at building the capacity of member states to design, plan, develop and implement rehabilitation and reintegration programs for violent extremists in prisons.",1
"860","The National Health and Agri-Food Quality Service maintains records of qualified laboratories.",0
"861","4. Urges CTED to continue to strengthen its role in facilitating technical assistance in the implementation of resolution 1373 (2001) with a view to increasing the capabilities of Member States to combat terrorism by addressing their needs in this area.",1
"862","Few countries have comprehensively modernized their legal frameworks to include specific laws on terrorist financing.",1
"863","In the former Yugoslavia, Rwanda and Darfur, after taking some futile steps to stop the large-scale killings, the international community was horrified by the scale and nature of the violence.",1
"864","Improved relations between Chad and Sudan, and the vigilance of the joint national and border security forces, were also cited as important contributing factors.",1
"865","Where possible, governments are working with their territories to encourage them to develop appropriate domestic counter-terrorism laws, but in many cases improvements to these frameworks are needed.",1
"866","The relevant bodies of other international legal instruments - including the Council of Europe's Convention on the Prevention of Terrorism - have begun to consider related issues such as incitement, recruitment and training for terrorism.",1
"867","The Counter-Terrorism Committee Executive Directorate, for example, has worked extensively with states to build their border management capacity to control terrorist movements and their criminal justice capacity to address money laundering.",1
"868","Approaches to rehabilitation vary by country, but more attention is being paid to sharing experiences and developing best practices.",1
"869","4. The Financial Intelligence Unit (FIU) became operational in the early 1990s. It was established by legislation enacted to address the growing problem of money-laundering by organized criminal groups, and the legislation was amended in 2002 to address the suppression of terrorist financing. âCash dealersâ are required to disclose the identity of their customers, keep records of customers and customer account activity for at least seven years after account closure, and report to the FIU on large cash transactions (in excess of $7,000), suspicious transactions, and instructions for transferring funds into or out of the country.",1
"870","To be held on Tuesday, June 30, 1998, at 10 a.m.",0
"871","The information received so far tends to confirm the Group's view that providing examples of the financing of terrorist activities may have more disadvantages than simply allowing seasoned bankers to rely on their knowledge and instincts to detect suspicious transactions.",1
"872","(ii) Convention on the Physical Protection of Nuclear Material, 1979.",0
"873","To be held on Friday, December 20, 2002, at 7.40 p.m.",0
"874","The West African Economic and Monetary Union (WAEMU)'s Uniform Law on Combating the Financing of Terrorism provides for the freezing of financial assets belonging to terrorists under administrative procedures.",1
"875","27. Recalls its decision that individuals and entities seeking delisting, without the sponsorship of a Member State, may submit delisting requests to the focal point mechanism established pursuant to resolution 1730 (2006).",0
"876","As you know, on December 12, 2000, I witnessed the signing of the Agreement between the Government of the State of Eritrea and the Government of the Federal Democratic Republic of Ethiopia, which took place in Algiers in an official ceremony hosted by President Abdelaziz Bouteflika.",1
"877","10. Decides that the travel ban imposed by paragraph 1 (b) shall not apply to individuals designated pursuant to paragraph 9 bis above, when the Committee determines, on a case-by-case basis, that such entry or transit is justified, further decides that any such exception approved by the Committee shall be granted only for the period required for any travel to that specific location or locations, and directs the Committee to decide on all such exception requests, as well as requests to modify or renew previously granted exceptions, or a request by a Member State to revoke previously granted exceptions, within ten days of receipt of such requests all such requests for exemptions, as well as requests to modify or renew previously granted exemptions, or a request by a Member State to revoke previously granted exemptions, within ten days of receipt of such requests; and emphasizes that, notwithstanding any exemption to the travel ban, listed individuals remain subject to the other measures set forth in paragraph 1 of this resolution.",1
"878","The Mission's preliminary study of the cost-effectiveness of the road/river option indicates that capital investments in fuel trucks will require another two years before this option becomes more cost-effective than the air refueling option.",0
"879","Work program of the Security Council Committee established pursuant to resolution 1540 (2004) for the period from 1 June 2013 to 31 May 2014",0
"880","Deputy Prosecutor Bensouda's remarks focused on the role and impact of the ICC in promoting the investigation and prosecution of serious crimes of concern to the international community.",1
"881","Ms. Savannah de Tessier, France (small arms and light weapons)",0
"882","In terms of poppy eradication, about 5,100 hectares, or 5 percent of the total crop, have been eradicated.",0
"883","CVE efforts, with a broad âwhole-of-societyâ approach, are vital in reducing recruitment and addressing the needs of returning FTFs (to ensure they are not radicalized to commit acts of violence in their home countries, or in other countries).",1
"884","(b) Enhancing the facilitation of technical assistance aimed at increasing the counter-terrorism capacity of Member States and ensuring that its provisions are adapted to the needs of countries.",1
"885","Children in these areas are now offered the same health and education services as children in other parts of the country.",0
"886","The Ministry of Justice has established a specialized cell on the redeployment of justice and prison authorities with technical assistance from UNOCI to facilitate the redeployment of police, justice and prison authorities.",1
"887","2. The Counter-Terrorism Committee Executive Directorate was established for an initial period expiring on 31 December 2007, to be comprehensively reviewed by the Security Council by 31 December 2005.",1
"888","47. Two of the five States in the subregion have introduced comprehensive legislation covering relevant terrorist offenses, while two others have draft counter-terrorism laws either under consideration or pending adoption.",1
"889","13. The Committee will organize a special meeting open to all members and other relevant stakeholders to commemorate the tenth anniversary of the adoption of resolution 1373 (2001) and the establishment of the Committee, in accordance with resolution 1963 (2010).",0
"890","a. Environmental chambers capable of simulating all of the following flight conditions:",0
"891","Vanuatu is a party to the following seven conventions and protocols relevant to Security Council Resolution 1373 (2001):",0
"892","All countries have taken steps to regulate the production, sale, and transfer of weapons and explosives.",1
"893","To avoid a new wave of violence, both sides and the international community must act immediately.",0
"894","Moreover, the methodological documents do not provide any guidance in this regard.",0
"895","A comprehensive mandatory training programme for all Mission personnel on expected standards of conduct, including the prevention of sexual exploitation and abuse and sexual harassment, was completed in December 2007 under the supervision of the Conduct and Discipline Unit.",1
"896","The Mission continued to provide technical assistance in the review of prisoner files to draw the attention of judicial authorities to cases of prolonged pretrial detention, with a view to reducing prison overcrowding.",1
"897","A number of regions have also concluded specific agreements to control the export, import and transit of these weapons.",1
"898","Investigating and prosecuting cases involving elements related to new payment methods requires a high level of technical skill and swift action on the part of the authorities. It also requires improved forms of international cooperation, especially in the preservation of electronic evidence.",1
"899","To be held on Wednesday, June 9, 2010, at 11.15 a.m.",0
"900","40. Some 8,490 ex-combatants received reintegration support from UNDP and its implementing partners in Northern Sudan.",1
"901","The Team regularly coordinates its travel plans with the Counter-Terrorism Committee Executive Directorate and has organized briefings on its visits to Member States and international organizations for both the Executive Directorate and the experts supporting the 1540 Committee. The Team looks forward to its first joint visit with the Executive Directorate to a Member State in February 2006 and expects that joint visits will become increasingly frequent.",0
"902","39. Victims of trafficking who are subject to deportation orders continue to receive assistance from the shelter program run by the institution-building component.",1
"903","(i) To support, including through its political mediation efforts, the disarmament, demobilization and reintegration or effective integration of [national] armed groups into the army, which will continue to be contingent on adequate prior training and access to equipment.",1
"904","It is part of an oft-repeated chant before this Council that does not get any more true, ignoring both Palestinian responsibilities and Israeli rights, and failing to recognize the extreme difficulties that Israeli forces face in trying to protect their citizens and minimize harm to Palestinian lives while the terrorists they face show no more concern for Palestinian lives than they do for Israeli lives.",0
"905","(c) Encourage the implementation of new initiatives to prevent the financing of terrorism in predominantly cash-based economies.",1
"906","(a) Call on parties to armed conflict to comply with the obligations applicable to them under international humanitarian law, to take all steps required to protect civilians, and to facilitate the rapid and unimpeded passage of relief consignments, equipment and personnel.",0
"907","Payment or relief to others - US$8,655,689",0
"908","Minni Minawi's wing broke away from the government in late 2010.",0
"909","20. During the current mandate period, the Panel has established that arms flows from Yemen to Somalia come not only from criminal groups (to the Bakaara arms market for purchase by the opposition), but also from the Government of Yemen directly to the Transitional Federal Government.",1
"910","Almost half of the applications were from unrepresented individuals and the Ombudsperson is currently taking steps to ensure that no unrepresented applicant is disadvantaged.",1
"911","From Amman, they flew to Moscow on special Aeroflot flights.",0
"912","The evidence shows that these costs were covered in August and September 1990.",0
"913","11. Recalls that accountability for these serious crimes should be ensured by measures at the national level and enhanced international cooperation to support national mechanisms, draws attention to the full range of justice and reconciliation mechanisms to be considered, including national, international and âmixedâ criminal courts and tribunals, the International Criminal Court, and truth and reconciliation commissions, as well as national reparations programs for victims and institutional reforms, and emphasizes the role of the Security Council in ending impunity.",1
"914","âThe Security Council expresses its strong condemnation of this attempt to destabilize Lebanese institutions, in this particular case the Lebanese Armed Forces.",0
"915",":: Bank transfers to suppliers by Kampala in favor of Ituri traders: Bank transfers to suppliers by Kampala in favor of Ituri traders.",0
"916","60. As I have previously indicated (see S/2010/85, para. 176), the reconfiguration of UNMIT police should be approached cautiously, taking into account, among other factors, the need for a sufficient presence in all districts and units to ensure monitoring, advice, training, mentoring and support as required for the continued capacity-building and institutional development of the national police.",1
"917","(e) Additional types of funding mechanisms and additional topics that the 1540 Committee may wish to consider.",0
"918","For example, the sensitive issue of issuing identity documents to the population is a long-term process that will continue even after the elections, as will reintegrating combatants, reforming the security sector, addressing land tenure issues, promoting sound economic governance, protecting human rights, working to heal the wounds caused by the conflict, and addressing the root causes of the crisis.",1
"919","4. The ninth session of the Coordinating Council, originally scheduled for 30 July, has been postponed indefinitely.",0
"920","64. It should be noted that the ability of States in the subregion (particularly the Sahelian States) to prevent terrorists from organizing and moving freely across their territories depends not only on the effectiveness of bilateral and subregional cooperation but also on measures taken to apply international best practices in law enforcement and border control and on how effectively borders, coasts and landlocked areas are protected and monitored.",1
"921","Promote gender issues and awareness at national and local levels through a network of gender focal points in regional and country offices.",1
"922","On July 18, 2011, the Council held a private meeting with countries contributing troops and police to the African Union-United Nations Hybrid Operation in Darfur (UNAMID).",1
"923","Second, the adoption of the Rome Statute did not fundamentally change this: Second, the adoption of the Rome Statute did not fundamentally change this but reinforced it.",0
"924","In March 2004, the Janjaweed and 150 soldiers reportedly abducted and raped 16 young girls in Kutum, North Darfur.",0
"925","Paragraph 8 (e) of resolution 1718 (2006):",0
"926","13. From 13 to 17 September, WFP, in collaboration with UNHCR, conducted a midterm review of its food program in the Tindouf area camps, in which the Government of the United States and the European Commission Humanitarian Aid Office participated as observers.",1
"927","Council members encouraged the Burundian authorities to make further efforts to create the necessary conditions for inclusive elections through constructive political dialogue and open political space, an end to politically motivated violence and the fight against impunity, in accordance with resolution 2137 (2014).",1
"928","Letter dated 14 October 2005 from the Secretary-General and High Representative for the Common Foreign and Security Policy of the European Union addressed to the Secretary-General pursuant to Security Council resolution 1575 (2004), enclosing the third quarterly report on the activities of the European Union military mission in Bosnia and Herzegovina.",1
"929","This brings the total number of judgments issued to 20, involving 26 individuals, which are listed in Annex I.",0
"930","In many countries, counterterrorism efforts cannot be prioritized due to gaps in institutional capacity and limited resources.",0
"931","As the Secretary-General's report (S/2004/634) makes clear, addressing the problem is a difficult challenge.",0
"932","(a) Seek ways to exchange and expedite the exchange of operational information, in particular on the actions or movements of terrorists or terrorist networks; forged or falsified travel documents; trafficking in arms, explosives or sensitive materials; the use of communications technology by terrorist groups; and the threat posed by the possession of weapons of mass destruction by terrorist groups.",1
"933","A closed-circuit television system has also been installed.",0
"934","There are no official figures available for the estimated existing money transfer or value transfer circuits.",0
