"","en","VerCoop"
"1238","We are reasonably confident that these groups will not be able to undermine the electoral process at the national level.",0
"1239","Report of the United Arab Emirates",0
"1240","36. In Gambia, opposition groups protested against State authorities over the lack of accountability for alleged human rights abuses. On 4 November, the former Chief of Defence Staff, General Lang Tamba, and six co-accused individuals filed an appeal in the Supreme Court against their death sentence for conspiracy and treason, which had been handed down by the High Court in July 2010 and upheld by the Appeal Court in October 2012.",0
"1241","The assignment was completed at 1030 hours, and the group arrived at the Canal Hotel at 1105 hours.",0
"1242","The report included a bleak description of the situation in the region, characterized by more acts of violence and terrorism.",0
"1243","o On 9 November 2014, regime helicopters dropped multiple barrel bombs on Dael city, killing 6 people, including 2 children, in addition to damaging residential buildings.",0
"1244","In other words, the National Commission was fully aware of the serious allegations of the crimes committed in Darfur.",0
"1245","In spite of the decision taken in 2006 by the National Dialogue, and confirmed at subsequent meetings of the National Dialogue, no progress was made with regard to dismantling the Damascus-headquartered PFLP-GC and Fatah al-Intifada military bases in the country.",1
"1246","Transmission of case 8 to the Committee",0
"1247","2. A second group, consisting of 15 inspectors, left the Canal Hotel in Baghdad at 0800 hours. At 1030 hours it arrived at the Northern Refineries/Small Refineries Company at Siniyah in Salah al-Din governorate.",0
"1248","""The Security Council stresses the importance of assisting Member States in promoting women's full and equal participation in post-conflict electoral processes and constitutional reform.",1
"1249","Encourages troop and police contributing countries, in consultation with the Secretary-General, to consider steps they could take to heighten awareness and the responsiveness of their personnel participating in UN peacekeeping operations to protect civilians, including women and children, and prevent sexual violence against women and girls in conflict and post-conflict situations, including wherever possible the deployment of a higher percentage of women peacekeepers or police.",1
"1250","This is the essence of the humanitarian traditions of Côte d'Ivoire: a society with a strong democratic spirit and yearning for the rule of law and respect for human rights for all, without discrimination on grounds of nationality or origin.",1
"1251","Calling upon States to cooperate fully with the Counter-Terrorism Committee (CTC) established pursuant to resolution 1373 (2001), including the recently established Counter-Terrorism Committee Executive Directorate (CTED), the ""Al-Qaida/Taliban Sanctions Committee"" established pursuant to resolution 1267 (1999) and its Analytical Support and Sanctions Monitoring Team, and the Committee established pursuant to resolution 1540 (2004), and further calling upon such bodies to enhance cooperation with each other,",1
"1252","The main elements of his statement, as well as the exchange of views among the members of the Working Group, are reflected in the summary contained in the relevant conclusions (S/AC.51/2013/3).",1
"1253","Recalling the responsibilities of States to end impunity and to prosecute those responsible for genocide, crimes against humanity, war crimes and other egregious crimes perpetrated against civilians, and in this regard, noting with concern that only limited numbers of perpetrators of sexual violence have been brought to justice, while recognizing that in conflict and in post conflict situations national justice systems may be significantly weakened.",1
"1254","It was known that Mr. Hawi left his house at almost the same time everyday.",0
"1255","Legal provisions regarding money-laundering issues are contained in articles 12 to 15 of Decree-Law No. 59 of 2003, as follows:",0
"1256","13. The joint communiqué committed the Government to undertake measures to end impunity, investigate reported cases of violations and ensure that all individuals and groups accused of human rights abuse were brought to justice without delay.",1
"1257","30. Encourages States to submit delisting requests for individuals that are officially confirmed to be dead, particularly where no assets are identified, and for entities reported or confirmed to have ceased to exist, while at the same time taking all reasonable measures to ensure that the assets that had belonged to these individuals or entities have not been or will not be transferred or distributed to other individuals, groups, undertakings and entities on the Al-Qaida Sanctions List;",0
"1258","The Government made arrangements to that effect.",0
"1259","Their competencies are now nearly identical to those of permanent judges.",0
"1260","(c) Looting by Eritrean soldiers from private homes, businesses and other entities;",0
"1261","Maternal mortality ratio aggregates for the 29 countries with data, of 31, were calculated using Maternal Mortality Estimation Inter-agency Group estimates (www.maternalmortalitydata.org/) and birth estimates of the Population Division from the World Fertility Data 2012 (www.un.org/esa/ population/publications/WFD2012/MainFrame.html).",0
"1262","In August 2005, the Group, accompanied by UNOCI personnel, visited the Autonomous Port of Abidjan, Grand Lahou, Fresco, Sassandra, Monogaga, Grand Bereby, the Autonomous Port of San Pedro and Tabou. In all these locations the Group examined ports and jetties, and discussed the implementation of the embargo with the relevant authorities and businesses and with UNOCI.",1
"1263","i. Northern Darfur: 68 per cent;",0
"1264","Operations were approved at the level of the Supreme Leader. The vast majority of victims were forcibly disappeared to gain labour and other skills for the State.",0
"1265","27. Concerned by the prevailing situation in the south of Libya, the Heads of State and Government stress the need to resolve the situation in order to maintain stability in the Sahel.",1
"1266","7. Calls upon all States to refrain from conducting a nuclear test explosion and to sign and ratify the Comprehensive Nuclear Test Ban Treaty (CTBT), thereby bringing the treaty into force at an early date;",1
"1267","78. The Sudanese armed force is a conventional armed force with a mandate to protect and to maintain internal security.",1
"1268","The United States urges the United Nations and the HNP to redouble the vetting efforts.",0
"1269","EU also expressed support for my Special Representative's statement of 8 September underlining that there could be no military solution to the problems facing the transitional federal institutions.",1
"1270","The workshop was an important opportunity to explore the means of further facilitating the implementation of the resolution, including with regard to universal reporting and fuller implementation.",1
"1271","The Russian Federation considers it a priority to further strengthen the international legal foundation of counter-terrorism, first and foremost by giving existing counter-terrorism conventions a universal character through the accession of all States Members of the United Nations to them.",1
"1272","Gravely concerned by the threat of terrorism and the risk that non-State actors* such as those identified in the United Nations list established and maintained by the Committee established under Security Council resolution 1267 and those to whom resolution 1373 applies, may acquire, develop, traffic in or use nuclear, chemical and biological weapons and their means of delivery,",0
"1273","At the closed consultations that followed, members of the Council stressed the importance of resuming Israeli-Palestinian negotiations and condemned unilateral actions, in particular the construction of settlements in occupied territories, which undermined the Quartet's efforts towards a negotiable solution of the conflict.",1
"1274","This interpretation is justified by basic principles of international criminal law, which provide that individual criminal responsibility arises when a person materially commits a crime, as well as when he or she engages in other forms or modalities of criminal conduct.",0
"1275","Letter dated 17 May 2004 from the Permanent Representative of Yemen to the United Nations addressed to the President of the Security Council (S/2004/393).",0
"1276","""The Security Council requests the Secretary-General to reinforce cooperation between the United Nations and member States of the Central African Economic and Monetary Community (CEMAC) with a view to facilitating and strengthening initiatives aimed at addressing trans-border insecurity in the subregion and bringing to an end the violations by armed groups of the territorial integrity of the Central African Republic.",0
"1277","The Assistant Secretary-General also provided an update on the vehicles, items and equipment seized by armed opposition groups in the recent incidents with the Force.",0
"1278","The Council invites UN Women to regularly contribute to its work on women and peace and security and notes the valuable role it will play in supporting women's roles in peacebuilding and the prevention of sexual violence in conflict, including through coordination and coherence in policy and programming for women and girls.",1
"1279","Few reporting States have provided information on the measures they have in place to prevent the abuse of charities or other non-profit organisations (NPOs). But 63 require NPOs to obtain a license or to register.",0
"1280","Switzerland has been a member of IAEA since 1957.",0
"1281","The name Salim Alio Ibrow is typed under an illegible signature, as are the words ""the Minister, Ministry of Culture & High Education/Deputy Prime Minister"" in Somalia.",0
"1282","Fourteen cases of the wild poliovirus have been detected in the Paoua subprefecture since the poliomyelitis epidemic broke out at the beginning of the year.",0
"1283","In addition, a mobile team visits the more remote communities, especially the minority communities, who may not have easy access to the resource centres.",1
"1284","In this regard, we request that everything be done to ensure that these meetings are held every two months, as agreed, and that, as much as possible, the heads of the intelligence and security services participate in person in these meetings. We urge all the stakeholders concerned, including the African Centre for the Study and Research on Terrorism, the Sahel Fusion and Liaison Unit and the Committee of Intelligence and Security Services of Africa, in close cooperation with the African Union Commission, to pursue and intensify their efforts to exchange views and mutual assistance, as well as to implement the outstanding aspects of the operational conclusions of the meeting of the heads of the intelligence and security services.",1
"1285","The progressive lifting of the green line continues to be based on a comprehensive threat assessment; consultations with the integrated command centre; and the improvement in the overall security situation, in particular the assessed low probability of military confrontation between the former belligerents.",1
"1286","35. The Executive Directorate proposes three minor adjustments to its organization and operational practice to reflect better its changed priorities and proposed new activities.",1
"1287","Tissue culture in mangroves is at an experimental stage and cannot reasonably be used for reforestation-scale purposes.",0
"1288","They hoped that this would enable decisive progress to be made in the face-to-face negotiations in the period before the June target date for agreement, endorsed again by the Council.",1
"1289","21. The Chair, together with the Chairs of the Security Council Committee established pursuant to resolution 1373 (2001) concerning counter-terrorism and the Security Council Committee established pursuant to resolution 1540 (2004), gave two joint briefings to the Council in 2013.",1
"1290","It also called upon the Government of the Sudan and the rebel groups to work together to reach a political solution at the negotiations held in Abuja under the leadership of the African Union and President Olusegun Obasanjo of Nigeria; requested the Secretary-General to rapidly establish an international commission of inquiry in order to immediately investigate reports of violations of humanitarian law and human rights in Darfur by all parties, as well as to determine whether or not acts of genocide have occurred; and declared that the Council, in the event of the Sudan failing to comply fully with resolutions 1556 (2004) and 1564 (2004) (including as determined by the Council after consultations with the African Union, failure to cooperate fully with the expansion and extension of the African Union monitoring mission), shall consider taking additional measures as contemplated in Article 41 of the Charter of the United Nations.",1
"1291","In the following section, references to ""John Brown"" include references to Davy McKee.",0
"1292","3. The situation in Cyprus (27 December 1963; 13 June 2011).",0
"1293","This invitation as well as the cooperation the Special Rapporteur received during his visit reflects the commitment of the Government of Burkina Faso to ensuring that its efforts to counter terrorism are in line with international human rights laws and standards.",1
"1294","To be held on Wednesday, 14 April 2010, at 10 a.m.",0
"1295","China should raise with the Supreme Leader of the Democratic People's Republic of Korea and other high-level authorities the issues of abductions, the infanticide of children entitled to Chinese nationality, forced abortions imposed on repatriated women and other human rights violations that target persons repatriated from China.",0
"1296","2. The Counter-Terrorism Committee Executive Directorate was established for an initial period ending on 31 December 2007 and is subject to a comprehensive review by the Security Council by 31 December 2005.",0
"1297","Some members called for the Council to make a stronger contribution to efforts to bring the parties back to negotiations towards the two-State solution and said that Israeli settlements undermined the prospects for peace.",1
"1298","I stand ready to work closely with the Security Council, collectively, and with key stakeholders, individually, to bring this dangerous crisis to an end, to conclude the peace process expeditiously, and to re-establish vital humanitarian activities in Eritrea.",1
"1299","Claims have been made by parties for:",0
"1300","With respect to lean gas, KPC employs two categories of prices.",0
"1301","The Government earned over $356,000 in royalties from those rough diamond exports.",0
"1302","The next six months are critical, both for the operations and for the country.",0
"1303","On 25 May, the Chairman of the Committee established pursuant to resolution 1267 (1999) concerning Al-Qaida and the Taliban, Ambassador Heraldo Muñoz of Chile, presented the first 120-day oral report to the Council, as required under paragraph 12 of resolution 1526 (2004), on the work of the Committee and its Analytical Support and Sanctions Monitoring Team.",1
"1304","The workshop convened to discuss the Internet at the International Summit on Democracy, Terrorism and Security, held in Madrid from 8 to 11 March 2005, concluded that the Internet should remain free from any further regulation or interference, allowing open debate to defeat the ideas of extremism.",1
"1305","Chairman: His Excellency Sir Jeremy Greenstock (United Kingdom of Great Britain and Northern Ireland)",0
"1306","The Government of Iraq affirms that it honours its obligations under United Nations Security Council resolutions and follows policies of peaceful coexistence with its neighbours conducive to the security and stability of the region. The Government of Iraq looks forward to recognition by the United Nations Security Council that major positive developments have taken place in Iraq; that the situation in Iraq is fundamentally different from that prevailing at the time of the adoption of United Nations Security Council resolution 661 (1990); and that the time has come for Iraq to regain its legal and international status prevailing prior to the adoption by the Security Council of that resolution and the subsequent sanctions imposed on it under Chapter VII of the Charter of the United Nations.",1
"1307","Cross-Border Road Transport Act, 1998 (Act No. 4 of 1998).",0
"1308","""The Security Council requests the Special Representative of the Secretary-General for Burundi, in close contact with the Special Representative of the Secretary-General for the Democratic Republic of the Congo, to establish the facts and report on them to the Council as quickly as possible.",1
"1309","(h) To develop the Executive Directorate's global role in strategic communications on counter-terrorism, including by briefing the wider membership, engaging with global leaders and opinion-makers and reaching out to the media and other relevant stakeholders.",1
"1310","""The Security Council calls on the international community to provide, where needed, financial and technical support, as well as adequate training, for national implementation of resolution 1325 (2000), and on the United Nations system, civil society and other relevant actors to collaborate and provide assistance in line with national priorities to Member States, particularly those affected by armed conflict, in the rapid development of national action plans, and work closely with national mechanisms responsible for the implementation of the resolution, including, where appropriate, through the United Nations country teams.",1
"1311","The expenses of the projects have been adjusted to take account of the modifications in Annex III as well as further adjustments including:",0
"1312","158. The Team has further promoted the work of the Committee through presentations at the Columbia University Law School, and through discussion with academic institutions in the counter-terrorism field such as the Fourth Freedom Counter-Terrorism Evaluation Project, the Watson Institute at Brown University and other tertiary institutions.",1
"1313","10. Directs CTED to make available information contained in national counterterrorism surveys and assessments, when agreed by concerned Member States, and further directs CTED to make available information on regional counterterrorism capacities, when approved by the CTC, as appropriate;",1
"1314","The Committee strongly recommends that Member States set up such national bodies to coordinate and discuss counter-terrorism issues. III. Non-reporting",1
"1315","They also reiterated their grave concern regarding the problems of terrorism, piracy, hostage-taking and the dire humanitarian situation. In that context, they underscored the need for the expeditious implementation of all relevant Security Council resolutions, including by the transitional federal institutions, as appropriate.",0
"1316","However, concerns persist in relation to the 2.3 million people who remain in crisis.",0
"1317","In addition, the Western Darfur team visited refugee camps in Chad and the Southern Darfur team visited the National Security Detention Centre in Nyala.",1
"1318","(h) To participate actively in and support all relevant activities under the United Nations Global Counter-Terrorism Strategy including within the Counter-Terrorism Implementation Task Force, established to ensure overall coordination and coherence in the counter-terrorism efforts of the United Nations system, in particular through its relevant working groups;",0
"1319","One senior government official involved in the recruitment informed the Commission that tribal leaders were paid in terms of grants and gifts on the basis of their recruitment efforts and how many persons they provided.",0
"1320","32. Encourages Member States, when unfreezing the assets of a deceased individual or an entity that is reported or confirmed to have ceased to exist as a result of a delisting, to recall the obligations set forth in resolution 1373 (2001) and, particularly, to prevent unfrozen assets from being used for terrorist purposes;",1
"1321","The Government of the Republic of Rwanda",0
"1322","The Team believes that a great strength of the Committee is that it works by consensus and that recourse to the voting procedures of the Security Council at the level of the Committee would undermine an important working practice.",1
"1323","The Council stresses that all those responsible for violations of international law, including humanitarian and human rights law, as well as those who ordered those acts, will be held accountable.",0
"1324","Furthermore, the Council invites the Working Group to fully implement its toolkit (S/2006/724), inter alia, by carrying out a country-specific visit within one year, to examine a situation referred to in the annexes of the Secretary-General's report in order to better fulfil its mandate and enhance its capacity to protect children affected by armed conflict.",1
"1325","S/RES/1612 (2005), op. 13",0
"1326",":: Play a full part in regional seminars and events that raise awareness and promote implementation of resolution 1540 (2004) and increase efforts to raise awareness among parliamentarians and other high-level decision makers",1
"1327","The Syrian Network for Human Rights could not fully document these cases, as they are banned and pursued by regime forces and extremist groups.",0
"1328","89. The former Prime Minister stated that during the meeting he took the opportunity to discuss with the Minister of the Interior the need for a group of civilians to support the URP PNTL, but that there was no discussion about the provision of weapons or uniforms to such a group.",1
"1329","15. Pursuant to resolution 2129 (2013), the Committee, assisted by the Executive Directorate, will continue to work closely with Member States, including during country visits, on the development of comprehensive and integrated counter-terrorism strategies and on identifying available practices, elements and good standards.",1
"1330","Acting under Chapter VII of the Charter of the United Nations,",0
"1331","Approximately 1,615 schools in Syria are operating on double shifts.",0
"1332","(c) Further calls upon all parties listed in the annexes to the Secretary-General's report on children and armed conflict to address all other violations and abuses committed against children and undertake specific commitments and measures in this regard;",1
"1333","66. The vast majority of abductions and enforced disappearances are linked to the Korean War and the organized movement of ethnic Koreans from Japan that started in 1959.",0
"1334","For the Sahel region, UNODC developed two practical guides to help criminal justice officials address terrorist activities.",0
"1335","Almost two years after the last briefing on the situation in the Great Lakes region (Lord's Resistance Army-affected areas), the Council held a private meeting on 21 July 2011 to discuss the continuing threat by the Lord's Resistance Army (LRA) to regional security.",0
"1336","Many villages are said to have been attacked more than once, until they were completely destroyed.",0
"1337","22. While joint operations against the Alliance of Patriots for a Free and Sovereign Congo and the Nduma Defence of Congo/Cheka (NDC/Cheka) continue in North Kivu, MONUSCO continues to play a role in the Lord's Resistance Army (LRA)-affected areas in Orientale Province.",0
"1338","183. Information presented in the earlier reports examined by the Commission is mainly based on witness accounts compiled through interviews of internally displaced persons and refugees.",1
"1339","17. For the fulfilment of the fourth task the Commission deemed it necessary to make a preliminary assessment of the degree to which the Sudanese criminal justice system has been able and willing to prosecute and bring to trial alleged authors of international crimes perpetrated in Darfur, and then consider the various existing international mechanisms available.",0
"1340","As the International Tribunal for the Former Yugoslavia Appeals Chamber rightly put it in Krstić (appeal), ""genocide is one of the worst crimes known to humankind, and its gravity is reflected in the stringent requirements of specific intent.",1
"1341","139. The Team has also initiated discussion with the other expert groups on possible new approaches to the reporting requirements placed on States by the three Committees, and on ways to establish more efficient systems of information sharing.",1
"1342","The Special Representative presented an outline of the fighting that had broken out in Bentiu, Unity State, on 26 October.",0
"1343","For this reason, it is important to establish effective, durable and holistic mechanisms for regional collaboration in the areas of law enforcement, border security, mutual legal assistance and extradition.",1
"1344","The forces that make up the MNF will remain committed to acting consistently with their obligations under international law, including the law of armed conflict.",1
"1345","""The Security Council welcomes the establishment of a national oversight mechanism by President Joseph Kabila of the DRC, as requested by the PSC Framework and Resolution 2098 (2013), and calls on the President of the DRC to ensure transparency and inclusiveness in this mechanism.",1
"1346","In addition, the Committee will establish a meeting schedule that strives to meet its objectives efficiently and promptly.",1
"1347","9. Notes the support of the parties to the Peace Agreement for the continuation of the multinational stabilization force, set out in the declaration of the Ministerial meeting of the Peace Implementation Conference in Madrid on 16 December 1998 (S/1999/139, annex);",1
"1348","This support includes fund-raising and the provision of finance; the supply of false, forged or stolen identity and travel documents; and safe houses.",0
"1349","I encourage the Government of Iraq to expeditiously take further practical steps towards fulfilling its obligations under paragraph 14 of Security Council resolution 1284 (1999).",1
"1350","In this regard, an understanding has been reached with the parties on the possibility of reviewing the military agreements in order to better respond to the realities on the ground.",1
"1351","To be held on Wednesday, 7 February 2001, at 9.30 a.m.",0
"1352","609. The Commission's recommendation for a Security Council referral to the International Criminal Court is based on the correct assumption that Sudanese courts are unwilling and unable to prosecute the numerous international crimes perpetrated in Darfur since 2003.",1
"1353","Iranian Offshore Oil Company 253 - 267 63",0
"1354","The United States must abandon the deliberate disregard and neglect that have been its practice for nearly seven years and led to the deterioration of the situation in the region.",0
"1355","""The Security Council expresses its readiness to consider specific recommendations from its Working Group on Children and Armed Conflict on violations and abuses committed against children by parties listed in the annexes of the Secretary-General's reports, whenever they occur, with a view to considering action on them, without prejudging or implying a decision by the Security Council as to whether or not to include a situation in its agenda.",1
"1356",":: The existence and work of ICTY spurred the establishment of national courts in Serbia, Bosnia, and Croatia",1
"1357","Namibia is not in a position to do so.",0
"1358","The Republic of South Sudan is extremely concerned about the deteriorating security situation in the border areas of both the Republic of the Sudan and the Republic of South Sudan.",0
"1359","A key issue that both sides acknowledge concerns the removal of Taliban names from the Consolidated List established pursuant to resolutions 1267 (1999) and 1333 (2000), an issue that is solely within the control of the Committee.",1
"1360","""The Security Council reiterates that an end to impunity is key to national reconciliation in Haiti.",1
"1361","They urged Member States to contribute to the United Nations consolidated appeal for Somalia and all parties and armed groups in Somalia to ensure full, safe and unhindered access for the timely delivery of humanitarian assistance.",0
"1362","Expressing its concern about all human rights violations and abuses, the Council calls upon the Libyan authorities to investigate and bring to justice the perpetrators of all such acts, including those committed against children.",1
"1363","At the 5903rd meeting of the Security Council, held on 2 June 2008, in connection with the Council's consideration of the item entitled ""Threats to international peace and security caused by terrorist acts"", the President of the Security Council made the following statement on behalf of the Council:",1
"1364","(v) Maintain dialogue and information exchange with designated points of contact or coordinators on issues related to their contribution to the implementation of resolution 1540 (2004);",1
"1365","59. Some States of this region implement the European Union 2005 Strategy for Combating Radicalisation and Recruitment to Terrorism, which aims to ""disrupt the activities of the networks and individuals who draw people into terrorism; ensure that voices of mainstream opinion prevail over those of extremism; [and] promote yet more vigorously security, justice, democracy and opportunity for all"".",0
"1366","Calling for a deeper analysis of the goals shared by the human rights, development and security communities, as well as by the United Nations system and Member States, the High Commissioner stressed that human rights violations are often a root cause of armed conflicts, as had been the case in Somalia and Bosnia and Herzegovina.",1
"1367","The politically highly significant outcome of the high-level meeting of the Security Council on combating terrorism held on 20 January 2003 in New York has increased the recognition that the central role in combating this global danger belongs to the United Nations.",1
"1368","a.2. (Renumbering of current GRL entry 7.A.3.b.)",0
"1369","Work began in August and September in 17 out of the 19 planned locations.",0
"1370","There have been a series of isolated incidents ranging from bombings to alleged Al-Qaida-linked training in South Africa.",0
"1371","2. TREATIES AND OTHER INTERNATIONAL ACTION",0
"1372","37. The Committee encourages its Executive Directorate to continue to focus on the implementation of resolution 1624 (2005), including by paying due attention to relevant issues, such as the role of new information and communications technologies, the promotion of dialogue, including at the national level, in order to promote tolerance, diversity and inclusiveness, the creation of strategic partnerships between Governments and non-governmental actors, the identification of roles for the victims of terrorism and the prevention of the subversion of institutions by terrorists and their supporters.",1
"1373","Furthermore, in Nouakchott, on 14 February, he was received by the President of Mauritania, Sidi Mohamed Ould Cheikh Abdellahi, and met with the Minister for Foreign Affairs and Cooperation, Mohamed Saleck Ould Mohamed Lemine, and other senior Government officials.",1
"1374","It further reaffirms its determination to combat threats to international peace and security caused by acts of terrorism by all possible means in accordance with the Charter of the United Nations.",1
"1375","The key steps in any transition include:",0
"1376","Cross-border mineral and diamond trafficking has been at the heart of regionalized conflict dynamics in both West Africa and the Great Lakes region for many years.",0
"1377","Acting under Chapter VII of the Charter of the United Nations,",0
"1378","Call on States and regional and subregional organizations to provide technical assistance for local police, judiciary and penitentiaries (e.g., mentoring, legislative drafting).",0
"1379","12. Expresses its support for the inclusion, where appropriate, in peace agreements and mandates of United Nations peacekeeping missions, of specific and adequate measures for the disarmament, demobilization and reintegration of ex-combatants, with special attention given to the demobilization and reintegration of child soldiers, as well as clear and detailed arrangements for the destruction of surplus arms and ammunition and, in this regard, recalls the statement of its President of 8 July 1999;",1
"1380","Just yesterday the Georgian Prime Minister aired a detailed plan of conflict resolution in another separatist region of Georgia -- Tskhinvali region/former South Ossetia.",1
"1381","(b) Prevent the entry into or the transit through their territories of these individuals, provided that nothing in this paragraph shall oblige any State to deny entry or require the departure from its territories of its own nationals and this paragraph shall not apply where entry or transit is necessary for the fulfilment of a judicial process or the Committee established pursuant to resolution 1267 (1999) (""the Committee"") determines on a case-by-case basis only that entry or transit is justified;",1
"1382","Elsewhere in the region, along the Blue Line, violations had threatened to disrupt a precarious stability.",0
"1383","United Nations human rights mechanisms have expressed concern, for example, over steps taken by some States to curtail, and in some cases criminalize, the activities of certain religious groups or their members.",0
"1384","47. Strongly urges Member States to provide all relevant information to the Ombudsperson, including any relevant confidential information, where appropriate, encourages Member States to provide relevant information in a timely manner, welcomes those national arrangements entered into by Member States with the Office of the Ombudsperson to facilitate the sharing of confidential information, encourages Member States' further cooperation in this regard, including by concluding arrangements with the Office of the Ombudsperson for the sharing of such information, and confirms that the Ombudsperson must comply with any confidentiality restrictions that are placed on such information by Member States providing it;",1
"1385","70. Over the reporting period, the Department of Youth implemented programmes in the area of non-formal education, community service and student exchange and scholarship.",0
"1386","No State can counter terrorism alone, because the transnational nature of the terrorist threat requires cooperation and coordination with other States.",1
"1387","However, the Office believes that we should not wait for the end of the judicial proceedings at the Court for victims of the crimes being prosecuted to receive assistance.",1
"1388","In this regard, and pursuant to the Peace and Security Council communiqué of 25 November 2014, we request the Commission and the countries of the region to redouble their joint efforts to mobilize the necessary international support, including the adoption by the United Nations Security Council of a resolution supporting the establishment and deployment of the joint multinational task force, as well as the establishment of a trust fund.",1
"1389","He has published four books and several articles in international journals and has lectured in many countries.",0
"1390","Countering terrorist narratives and violent extremism",1
"1391","13. Two UPDF officers and four supporting staff who were supposed to be part of the Joint Command Centre (JCC) in Kisangani in keeping with the execution order reported late for reasons beyond their control or that of UPDF.",0
"1392","Strongly condemns the recruitment and use of child soldiers by parties to armed conflict in violation of international obligations applicable to them and all other violations and abuses committed against children in armed conflict.",1
"1393","The Committee has also agreed to replace the current number system, which changes each time an individual or entity is added to the list, with a permanent reference number.",1
"1394","Three States have established a legal framework addressing requirements for maritime security and have partially implemented international mandatory standards for port and ship security in accordance with the ISPS Code.",1
"1395","Reaffirming the need to combat by all means, in accordance with the Charter of the United Nations and international law, threats to international peace and security caused by terrorist acts, stressing in this regard the important role the United Nations plays in leading and coordinating this effort,",1
"1396","(d) To make accessible on the Committee website narrative summaries of reasons for listing for all entries on the List;",0
"1397","The Group also visited the police checkpoint of Niangoloko and inspected the ""movement register"", but noticed no irregularities; there had been some confiscation of artisanal shotguns and pistols.",1
"1398","UPDF repulsed them and went ahead to capture the whole of Bunia town.",0
"1399","Article 3 common to the Geneva Conventions and Additional Protocol II sets out the prerequisite of a non-international armed conflict.",0
"1400","216. Although States of the subregion have taken steps to reduce their vulnerability to terrorist mobility and arming, the risk remains that terrorist operatives and supporters may enter the territories of those States illegally and may be able to procure the materials necessary for a terrorist attack by means of a criminal network.",0
"1401","Law No. 42 of 31 December 1975",0
"1402","This participant added that the role of the political coordinators had changed dramatically in the last 10 years, becoming a more formalized and institutionalized part of each delegation.",1
"1403","12. In close cooperation with the Committee established pursuant to resolutions 1267 (1999) and 1540 (2004) and in accordance with its mandate, the Committee will pay special attention to States for which information on implementation of resolution 1373 (2001) is lacking and discuss how best to address the issue.",1
"1404","""The Security Council acknowledges the important work of the United Nations entities and other multilateral organizations in supporting efforts to prevent and suppress the financing of terrorism and terrorist organisations, in particular the Financial Action Task Force, the Eastern and Southern Africa Anti-Money Laundering Group (ESAAMLG), the Inter Governmental Action Group against Money Laundering in West Africa (GIABA), and the Middle East and North Africa Financial Action Task Force in promoting capacity and cooperation (MENAFATF).",1
"1405","1. Strongly condemns the coup d'état which took place in Bangui, Central African Republican, on Saturday, 15 March 2003.",0
"1406","All States have taken some steps to regulate the production, sale and transfer of arms and explosives.",0
"1407","""Adequate and flexible means for transitional peace support and crisis management activities, such as protection of civilians, including United Nations and humanitarian personnel, disarmament, demobilization and reintegration of former combatants, the end of impunity, public institution-building and transitional justice, as well as the promotion and protection of human rights and the integration of a gender perspective are essential to ensure lasting peace after a conflict.",0
"1408","""The Security Council highlights the relevance of Financial Action Task Force (FATF) recommendations in support of implementing resolutions 2170 (2014) and 2178 (2014), including its recommendation to States to implement cash declaration/disclosure systems for both incoming and outgoing transportation of currency, and other measures to address the threat that some foreign terrorist fighters and facilitators are acting as cash couriers for terrorist organizations.",1
"1409","No prominent Al-Qaida leader has completed any formal religious training, nor have the majority of its supporters.",0
"1410","The UNMIK-issued licences fulfil all European standards and can be used throughout Europe.",0
"1411","Beyond the immediate scope of the sanctions measures, delegations were particularly interested in sharing their experience of bringing terrorists back into society.",1
"1412","Since for most purposes the United Nations needs to convey one common message on counter-terrorism, it is appropriate for the Task Force to take the lead in this respect, although the Executive Directorate will also need to maintain its independent public profile and ensure transparency as to its own procedures, as appropriate.",1
"1413","While some are slow to respond to the Committee, an increasing number are keen to engage in its work, whether by submitting names or by promoting ideas for new areas where sanctions or other Security Council action could help stem the flow of recruits and reduce the likelihood of further attacks from Al-Qaida and Taliban-related terrorists.",0
"1414","The Authority reaffirmed its unwavering commitment to the values of solidarity and the sacred principles of democracy, peace and good governance for a stable and highly integrated region.",1
"1415","(n) To consult with Member States' intelligence and security services, including through regional forums, in order to facilitate the sharing of information and to strengthen enforcement of the measures;",1
"1416","4. While both the Comprehensive Peace Agreement and the Agreement for Monitoring the Management of Arms and Armies contained provisions for disbanding the militia linked to the Maoist army, neither presented detailed plans in this regard.",0
"1417","Consequently, the harvests in Western and Southern Darfur are expected to have been better in 2008 than in 2007.",0
"1418","119. Substantial resources have been invested worldwide in initiatives aimed at enhancing dialogue and understanding among civilizations and at countering incitement motivated by extremism and intolerance.",0
"1419","To be disaggregated by different types of services",0
"1420","8. A painting of a rural Dutch scene from the classical period.",0
"1421","The three countries noted their efforts to strengthen various anti-terrorism laws to bring them into line with United Nations resolutions, but a lack of capacity hinders effective implementation.",1
"1422","Noting with concern the continued threat posed to international peace and security by Al-Qaida and other individuals, groups, undertakings and entities associated with it, reaffirming its resolve to address all aspects of that threat, and considering the 1267 Committee's deliberations on the recommendation of the 1267 Monitoring Team in its Eleventh Report to the 1267 Committee that Member States treat listed Taliban and listed individuals and entities of Al-Qaida and its affiliates differently,",1
"1423","A team of 15 inspectors left the Canal Hotel in Baghdad at 8 a.m. and arrived at Qadisiyah University in Diwaniyah (Qadisiyah governorate).",0
