"","ar","VerConf"
"458","(أ) كفالة حماية المدنيين، بمن فيهم العاملون في مجال تقديم المساعدة الإنسانية، الذين يحدق بهم خطر التعرض للعنف الجسدي؛",0
"459","24 - وحتى هذا التاريخ، زوّدت إيران الوكالة باستبيان معلومات تصميمية أولي وبثلاثة استبيانات معلومات تصميمية منقحة:",0
"460","وفي ما وراء منطقة مسؤولية بعثة الأمم المتحدة في شرق تشاد، تثير مستجدات أخرى القلق أيضا.",1
"461","وهذه الخطة تحدد معالم ست مهام أساسية لمكتبي:",0
"462","141- فيصل غالي عشوي الظفيري",0
"463","فبناء على أسباب موضوعية، تدفع السلطات القضائية الوطنية بإحدى الحجتين التاليتين أو كلتيهما لدحض مطالبات التعويض: أولا، إن الحق في جبر الضرر على النحو الوارد في القانون الإنساني الدولي، ليس حقا نافذا من تلقاء نفسه، ووحدها دولة موطن الضحية تملك هذا الحق مباشرة()؛ وثانيا، هناك اتفاق سلام يمنع المطالبات الفردية.",1
"464","المقرر عقدها يوم الجمعة 30 حزيران/يونيه 2006، الساعة 25/15",0
"465","في 12 تشرين الثاني/نوفمبر، اتخذ المجلس بالإجماع القرار 2184 (2014)، الذي جدد به المجلس الإذن للدول والمنظمات الإقليمية بمكافحة القرصنة والسطو المسلح في البحر قبالة سواحل الصومال لمدة 12 شهرا إضافية. وأكد القرار الحاجة إلى تحرك شامل للتصدّي للقرصنة، بما في ذلك معالجة الأسباب الكامنة وراء هذه الظاهرة؛ ودعا إلى الإفراج الفوري وغير المشروط عن جميع الرهائن الذين يحتجزهم القراصنة الصوماليون؛ وحث جميع الدول على كفالة أن تراعى في أنشطة مكافحة القرصنة الحاجة إلى حماية النساء والفتيات، وخصوصا من الاستغلال.",0
"466","وقد جلبت هذه الصادرات إلى خزانة ليبريا ما قدره 793.33 369 دولارا (المرفق 4).",0
"467","392 - واستنادا إلى المعلومات المتاحة للجنة، يبدو أن النهب الذي قام به الجنجويد أساسا في سياق الهجمات على القرى، تم على نطاق واسع وبتغاض من حكومة السودان من خلال نشر ثقافة الإفلات من العقاب والدعم المباشر للجنجويد.",0
"468",":: المادة 85 من القانون الخامس لعام 2006 المتعلق بمعلومات الشركات العامة وإجراءات التسجيل بالمحاكم والحل الاختياري؛",0
"469","وقال نائب وزير خارجية أفغانستان إن العام كان حافلا بالإنجازات التي تشكل معالم مهمة، ولكن الإنجازات لم تأت بدون ثمن. وشدد على أن الإرهاب لا يزال يمثل تهديدا قويا.",1
"470","173- ومع ذلك تلاحظ اللجنة قصورا في النهج الذي اتبعه المكتب وفي تأهبه لهذا التدخل.",1
"471","وهناك 70 عضوا رئيسيا من أعضاء ""المؤتمر الشعبي"" لا يزالون محتجزين دون أن توجه إليهم تهم ودون تقديمهم للمحاكمة، وهرب عدد منهم للعيش في المنفى خارج السودان.",0
"472","1 - يقــرر أن على جميع الدول:",0
"473","وقد تم التنديد بهذا الحادث السياسي بشكل قوي عبر بيان صحفي صدر عن مكتب الرئيس إرنست باي كروما، وكذلك من قبل العديد من البيانات الصحفية الصادرة عن جماعات المصلحة السياسية، بما فيها حزبا المؤتمر الشعبي العام، والحركة الشعبية من أجل التغيير الديمقراطي، واللجنة المستقلة لوسائط الإعلام، ولجنة تسجيل الأحزاب السياسية، وحملة الحكم الرشيد.",1
"474","وإذ يدين أعمال الاختطاف وأخذ الرهائن بغرض جمع الأموال أو الحصول على تنازلات سياسية، وإذ يعرب عن الحاجة للتصدي لهذا الأمر،",1
"475","ويشعر الفلسطينيون أن الكفاح معركة مقاومة يخوضونها كل يوم من أجل هويتهم ومن أجل منع تلاشي احتمال أن يكون لهم مستقبل بوصفهم شعبا.",0
"476","إن قرار طرد العاملين في المجال الإنساني وإسكات الآخرين بالتهديد بالطرد، أو محاولات تقييد حرية حركة العملية المختلطة للاتحاد الأفريقي والأمم المتحدة في دارفور تأتي في إطار هذه السياسة المتمثلة في الحد من قدرة المجتمع الدولي على الرصد.",1
"477","1 - التأكيد على كافة قراراته السابقة التي اتخذها بشأن احتلال إيران للجزر العربية الثلاث التابعة لدولة الإمارات العربية المتحدة في الخليج العربي.",0
"478","ومن أجل تحقيق سلام إقليمي دائم يتعين التعامل مع جميع القوات الهدامة بشكل شامل ونزع سلاحها بالقوة.",0
"479","4 - يلاحظ مع القلق الصلة الوثيقة بين الإرهاب الدولي والجريمة المنظمة عبر الوطنية والاتجار غير المشروع بالمخدرات وغسل الأموال والاتجار غير القانوني بالأسلحة والنقل غير القانوني للمواد النووية والكيميائية والبيولوجية وغيرها من المواد التي يمكن أن تترتب عليها آثار مميتة، ويؤكد في هذا الصدد ضرورة تعزيز تنسيق الجهود على كل من الصعيد الوطني ودون الإقليمي والدولي تدعيما للاستجابة العالمية في مواجهة التحدي والتهديد الخطيرين للأمن الدولي؛",1
"480","ووجهت بعض التهديدات إلى موظفي البرنامج.",1
"481","ومما يُذكر أن بعض القضايا البارزة الملامح التي تتعلق بالجريمة المنظمة، بما في ذلك الاتجار بالأشخاص والمخدرات قام المجتمع الدولي بالتحقيق فيها وأُحضر الجناة للمثول أمام العدالة.",0
"482","فهذه الصدمات تنطوي على عاقبتين خطيرتين.",0
"483","علما بأن عدم قيام قيادة قوات الشرطة بالمعاقبة على الهجمات التي وقعت يومي 23 و 24 أيار/مايو الضالع فيها بعض ضباط من قوات الشرطة، يرجع إلى انهيار التسلسل القيادي، والشقاق الحزبي القائم وإلى محدودية المساءلة في السابق.",1
"484","فهو يوضح المسائل التي تقتضي الاهتمام ويخلص - بتشجيع من المرأة الصومالية - إلى أنه ينبغي للمجتمع الدولي أن يثير مسائل المساواة بين الجنسين، بما في ذلك مع الزعماء الصوماليين.",1
"485","سابعا - ملخص التوصيات 339 83",0
"486","55 - ونظرا للقضايا الحرجة التي ينبغي معالجتها على النحو الوارد في برنامج عمل الحكومة يجب أن تبدأ الأعمال التحضيرية لتلك الانتخابات في وقت مبكر.",0
"487","271 - وقد وجدت اللجنة أنه بينما ارتكبت جميع الأطراف المشاركة في الصراع جرائم بحق السكان المدنيين، تتحمل حكومة السودان والجنجويد مسؤولية الغالبية الساحقة مما ارتكب من عمليات قتل المدنيين المتعمدة() خلال الصراع في دار فور.",1
"488","ونعتقد أنه بوسعنا بالفعل استخلاص بعض النتائج.",0
"489","المقرر عقدها يوم الأربعاء، 11 حزيران/يونيه 2008، الساعة 00/10",0
"490","وأقول اليوم أيضا ما قلته في 31 كانون الثاني/يناير. (انظر الجلسة S/PV.6710). من غير المقبول أن يمنع المجلس من تحمل مسؤولياته.",1
"491","39 - ومن الأولويات المنصوص عليها في مذكرة البنك الدولي لاستئناف الأنشطة القطرية في الصومال، إيجاد بيئة تمكينية لقطاع الماشية واللحوم.",0
"492","وإذ لا يزال يساوره بالغ القلق إزاء التهديد الذي يشكله الإرهاب ومخاطر حيازة جهات من غير الدول، لأسلحة نووية وكيميائية وبيولوجية ووسائل إيصالها، أو استحداثها لها أو الاتجار بها أو استعمالها؛",1
"493","""ويشعر مجلس اﻷمن بقلق شديد إزاء اﻻعتداءات على العاملين في مجال المساعدة اﻹنسانية، وهي اعتداءات تشكل انتهاكا لقواعد القانون الدولي.",1
"494","١٧ - وفقا للخطة السالفة الذكر، تقوم البعثة بتوفير النقل البري والجوي )بالطائرات أو الطائرات العمودية(، في الوقت المناسب، لمواد ومعدات اﻻنتخابات، من بانغي إلى ٦٩ مقاطعة فرعية بجمهورية أفريقيا الوسطى، وعلى سبيل اﻻستثناء، إلى بعض مكاتب اﻻقتراع )من بين اﻟ ٥٠٠ ٢ مكتب الموجودين بالبلد( التي يتعذر الوصول إليها عن طريق البر.",0
"495","الحالة في تيمور الشرقية (انظر S/11593/Add.50 و51؛ وS/11935/Add.15 و16؛ و S/1999/25/Add.17، 22، 25، 30، 33-36، 42، و 50)",0
"496","ولكن، كما قلت في جلسة الثلاثاء المفتوحة، يجب النظر إلى الأحداث في إطارها، ومجلس الأمن لن يفعل شيئا للإسهام في تحقيق تسوية سلمية حينما يدين أعمال أحد الطرفين ويغض الطرف عن أي شيء آخر يحدث في المنطقة.",1
"497","ولقد آن أوان اتخاذ المجتمع الدولي تدابير فعالة لحماية وإنفاذ أكثر الحقوق الأساسية للشعب الفلسطيني، وكسر حلقة العنف المفرغة الناجمة عن احتلال إسرائيل غير القانوني المستمر والمتواصل للأراضي الفلسطينية.",1
"498","(أ) إذا تسبب عمدا، عن طريق الفعل المذكورة في الفقرة 1 أعلاه، في موت شخص أو",0
"499","وقد أودعت أيسلندا وثائق التصديق على الاتفاقيات الدولية التالية أو الانضمام إليها، حسب الاقتضاء:",0
"500","وعلاوة على ذلك، زار الفريق المعني بغرب دارفور مخيمات اللاجئين الموجودة في تشاد، كما زار الفريق المعني بجنوب دارفور المعتقل التابع للأمن الوطني في نيالا.",0
"501","ولئن اعتمدت حتى الآن بعثة الأمم المتحدة لتقديم المساعدة إلى أفغانستان واللجنة الانتخابية المستقلة على المراقبين المدنيين لحل الصراعات، ربما لا تكون هذه الآلية كافية للتصدي لأخطر التهديدات.",1
"502","""ويرى مجلس الأمن أن الجزاءات أداة مهمة من أدوات مكافحة الإرهاب، ويشدد على أهمية التنفيذ الفوري والفعال للقرارات ذات الصلة، ولا سيما قراري مجلس الأمن 1267 (1999) و 1989 (2011) باعتبارهما أداة رئيسية في مكافحة الإرهاب.",1
"503","SRB: اسم المنتج (مثلا سلافكو روديتش - بوغوينو)",0
"504","واقتناعا منه بأنه ليس من المقبول، من حيث المبدأ، أن يفلت أحد في أي مكان من تحمل المسؤولية عن عمل إرهابي لأي سبب كان، بما في ذلك نتيجة قيامه هو بعرقلة التحقيق أو عدم تعاونه الصادق معه،",1
"505","وقد حان الوقت أيضا لأن تتخلى بلغراد عن موقفها السلبي إزاء مشاركة صرب كوسوفو.",0
"506","وبغية مواصلة هذا الكفاح، يتحتم أن يسهم المجتمع الدولي إسهاما أكبر وأن يولي مزيدا من الاهتمام لهذا الجانب الهام في مكافحة الإرهاب.",1
"507","غير أن الدراسة تشير أيضا إلى أن العديد من الدول ما زالت تواجه تحديات خطيرة في مجال الملاحقة القضائية في قضايا الإرهاب، وإنشاء منابر إقليمية فعالة للتعاون الدولي في المسائل الجنائية، والامتثال للالتزام بتجميد أصول الإرهابيين، ومنع تمويل الإرهاب بواسطة أساليب الدفع الجديدة وحملة النقدية واستغلال المنظمات غير الربحية لهذا الغرض، وكفالة امتثال تدابير مكافحة الإرهاب للالتزامات المنصوص عليها في القانون الدولي، بما في ذلك قانون حقوق الإنسان.",0
"508","يدين بشدة قيام الأطراف في النـزاعات المسلحة بتجنيد الأطفال واستخدامهم جنوداً، منتهكة التزاماتها الدولية المنطبقة، وقتل الأطفال وتشويههم واغتصابهم وإخضاعهم للعنف الجنسي، وغالبا ما يكون ذلك ضد الفتيات، واختطافهم وتشريدهم القسري، وحرمانهم من المساعدات الإنسانية، والاعتداء على المدارس والمستشفيات، فضلا عن الاتجار بهم، وإخضاعهم للعمل القسري وجميع أشكال الرق، وغير ذلك من الانتهاكات والإساءات المرتكبة ضد الأطفال المتضررين بالنـزاعات المسلحة.",1
"509","وبنــاء عليــه، اعتبر الأمــين العام الأحــداث الأخيرة في زمبابــوي ""ظلما فاحشا"".",1
"510","غير أنه من المؤسف أن ثمة أيضا العديد من الأمثلة التي تبيّن ما كانت ستسهم به آليات تقصي الحقائق في كشف الحقيقة وضمان المساءلة ومنع حدوث مزيد من الانتهاكات لحقوق الإنسان، لكن المجلس لم يتخذ عندئذ إجراءات فعالة لاعتبارات سياسية.",1
"511","6 - يقرر أن يبقي المسألة قيد نظره.",0
"512","ثالثا - مديرو واتحادات بطاقات السداد أو الائتمان (صناديق المستهلكين التي تتم حيازتها وإدارتها بشكل مشترك من أجل اقتناء السلع الاستهلاكية)؛",0
"513","هــاء - دور المالية والنقل والجمارك",0
"514","ومنهم حوالي 000 7 طفل سوف يتم استيعابهم في برامج تديرها اليونيسيف.",0
"515","154 - ورغم أن اللجنة تلقت معلومات من مصدر يفيد بأن أحد معاوني الحريري الموثوق بهم قد عبث بأجهزة التشويش قبل الانفجار لم تتمكن اللجنة من الإتيان بما يثبت صحة هذه المعلومات.",0
"516","""ويعرب مجلس الأمن مجدداً عن بالغ قلقه إزاء آثار انعدام الاستقرار في شمال مالي على منطقة الساحل وخارجها، ويؤكد الحاجة إلى التصدي بسرعة لهذه الأزمة من خلال نهج استراتيجي شامل بهدف كفالة السلامة الإقليمية لمالي واستعادة الاستقرار فيها ومنع تواصل زعزعة استقرار دول منطقة الساحل.",1
"517","50 - وضعت أربع دول استراتيجيات وأنشأت هياكل مؤسسية لمكافحة الإرهاب. وتعمل أجهزة إنفاذ القانون في هذه الدول على تنسيق بعض أنشطتها في مجال مكافحة الإرهاب.",0
"518","وأشار إلى أن الحالة في القدس الشرقية تؤكد أهمية امتناع الطرفين عن الاستفزازات وأعمال التحريض.",0
"519","ونتطلع إلى تعميق علاقتنا مع الأمم المتحدة في الفترة القادمة.",0
"520","وإذ يقرر أن الحالة في جمهورية الكونغو الديمقراطية لا تزال تشكل تهديدا للسلام والأمن الدوليين في المنطقة،",1
"521","وإذ يعرب عن استيائه من استمرار العراقيل التي فرضتها حكومة السودان على عمل فريق الخبراء خلال فترة ولايته، بما في ذلك القيود المفروضة على حرية تنقل فريق الخبراء والعملية المختلطة للاتحاد الأفريقي والأمم المتحدة في دارفور، والقيود المفروضة على وصول فريق الخبراء إلى مناطق النـزاع المسلح والمناطق التي وردت بشأنها أنباء عن وقوع انتهاكات لحقوق الإنسان والقانون الدولي الإنساني، وإذ يلاحظ في الوقت نفسه تحسّن التفاعل بين حكومة السودان وفريق الخبراء،",1
"522","وقد أعربت عن إدانتي للهجوم الإرهابي الذي وقع على السفارة الهندية في كابل.",1
"523","إن جمهورية جنوب السودان يساورها قلق شديد إزاء الحالة الأمنية المتدهورة في المناطق الحدودية في كل من جمهورية السودان وجمهورية جنوب السودان.",1
"524","""ويعرب مجلس الأمن أيضا عن قلقه إزاء التوترات المتزايدة في منطقة إتوري ويهيب بجميع الأطراف ممارسة ضبط النفس.",1
"525","بل يصرون على معاملة القضية كجريمة ثانوية من جرائم الهجرة.",1
"526","وإنّي أشجع السلطات الكونغولية على محاسبة المسؤولين عن أعمال الاغتصاب الجماعي والنهب التي ارتُكبت في واليكالي في شهري تموز/يوليه وآب/أغسطس 2010.",1
"527","لقد أعرب الأفارقة بكل وضوح عن شواغلهم إزاء الحالة في زمبابوي.",1
"528","غير أن ثمة حاجة إلى خطو مزيد من الخطوات في تجريم تصنيع الأسلحة الصغيرة والأسلحة الخفيفة والمتفجرات وحيازتها والاتجار بها بشكل غير مشروع.",0
"529","وبالمثل، لم تتمكن اللجنة من التحقق من ادعاءات بعض شهود العيان الرئيسيين أنه تم نقل جثث من المشرحة سرا لتقليل العدد الرسمي للقتلى فيما يتصل بالمسيرة.",1
"530","تقرير الأمين العام عن مكتب الأمم المتحدة في بوروندي (S/2013/36).",0
"531","وتنص المادتان 389 و 390 على ما يلي:",0
"532","مرة ثانية، تطالب مصر بوقف فوري للهجمات الإسرائيلية على قطاع غزة.",1
"533","(انظر (S/2000/40/Add.8",0
"534","تتعلق الأولى بمكافحة الإفلات من العقاب.",0
"535","ويطالب المجلس بالوقف الفوري لجميع الهجمات التي يشنها جيش الرب للمقاومة، ويحثه على إطلاق سراح جميع المختطفين، وعلى نزع سلاح محاربيه وتسريحهم.",1
"536","وباعتباري المدعي العام، سأواجه أي طعن قضائي يقدمه الرئيس البشير وغيره من المتهمين في المحكمة.",1
"537","عدم الانتشار (29 آذار/مارس 2006؛ 22 آذار/مارس 2011)",0
"538","واستحدث العديد من الدول تدابير لمكافحة الهجرة غير الشرعية وتهريب الأسلحة والمتفجرات، لكن ثمة حاجة إلى تنفيذ أوسع وأكثر اتساقا في أغلب المناطق.",0
"539","وهذا أمر غير مقبول، ويتناقض حتى مع الحظر المعلن من جانب القوات المناوئة للحكومة لاستخدام الألغام الأرضية.",1
"540","ورفض اعتقال علي كوشيب وأحمد هارون.",1
"541","وفي هذا الخصوص، يدين المجلس، بأقوى العبارات، استمرار التهديدات وأعمال التخويف ضد عناصر البعثة.",1
"542","(ب) والإضرار بالموارد الحرجية أو استنفادها؛",0
"543","وفي عامي 2009 و 2010، ضبطت سلطات الجمارك في غرب أفريقيا (السنغال ومالي ونيجيريا) عدة مرات كميات كبيرة من الأسلحة.",0
"544","17 - وسجِّل مقتل أكثر من 000 8 شخصا في أفغانستان في حوادث للمتمردين ضِلع فيها خلال عام 2007 (A/62/722-S/2008/159، الفقرة 17)، مقارنةً بمقتل 000 6 من جراء جميع أنواع العنف في عام 2006.",0
"545","وفي 26 تموز/يوليه، أصدر المجلس بياناً صحفياً أدان فيه الهجوم الإرهابي على قوة الأمم المتحدة المؤقتة في لبنان، الذي أصيب فيه ستة من حفظة السلام التابعين للأمم المتحدة المنتميين إلى فرنسا. المسائل المواضيعية ومسائل أخرى",1
"546","وأكدت من جديد إدانة الأمين العام لأي عملية استخدام للأسلحة الكيميائية من جانب أي طرف في النـزاع السوري، وكررت دعوته لتسليم مقترفي أي من هذه الأعمال إلى العدالة.",1
"547","وعلاوة على ذلك، تشتكو عدة مؤسسات مالية من أنها لم تعط إلا معلومات قليلة أو لم تعط معلومات على الإطلاق بالنسبة لما ينبغي لها أن تبحث عنه كمؤشرات يمكن أن تشير إلى معاملات مالية تتصل بالإرهاب.",1
"548","ويكافأ المواطنون على الوشاية بغيرهم من المواطنين ممن يشتبه في ارتكابهم هذه ""الجرائم"".",0
"549","ويمكن أن يؤدي توثيق الصلات بين الجماعات المنتسبة لتنظيم القاعدة أو تحسين تنظيمها إلى زيادة الخطر الذي تشكله.",0
"550","وعلى الرغم من أن قوات الدفاع أشارت في عام 2006 إلى أن في حوزتها 200 1 قطعة سلاح من طراز M16، تكشف السجلات عن فقد 45 قطعة سلاح من الطراز نفسه. كما فقدت ثلاث بنادق نصف آلية من طراز FN-FCN و 3 بنادق نصف آلية من طراز SKS وقطعتي سلاح من طراز Uzi، كانت جميعها في عهدة قوات الدفاع وتحت رقابتها.",1
"551","رسالة مؤرخة ٨ شباط/فبراير ١٩٩٩ موجهة من البعثة الدائمة",0
"552","ويسعدني أنه ذكرنا بأن هذه هي الذكرى السنوية الرابعة للقرار 1244 (1999).",0
"553","S/RES/1542 (2004)، الفقرة 7 من المنطوق (ثالثا) (ب)",0
"554","إن احتجاز هذا المستوى من التمويل سيصيب أي حكومة بالشلل، ناهيك عن سلطة تحت الاحتلال، وإذا لم يتم الإفراج على الفور عن هذه الأموال، فإن هذا الإجراء سيهدد مكاسب بناء الدولة التي حققتها السلطة الفلسطينية، بما في ذلك تعزيز الحكم الرشيد الذي يعود بالنفع على الشعب الفلسطيني وتطوير قوات الأمن التي تحافظ على القانون والنظام في الضفة الغربية.",1
"555","وحاولت الهيئة الحصول على توضيح من السفارة الإندونيسية في القاهرة ولكن لم تحصل على أي جواب منها لغاية كتابة هذا التقرير.",0
"556","''ويعرب مجلس الأمن عن عميق قلقه إزاء التهديد المباشر الذي تشكله أنشطة الجماعات المسلحة على سلامة السكان المدنيين وعلى القيام بالعمليات الإنسانية.",1
"557","56 - من المشجع أن التقدم لم يتوقف في مجالات الأربع ذات الأولوية التي كُلفت بها البعثة، وتشمل أوجه التقدم، مبادرات الحوار المتعلقة بالمسائل الوطنية البالغة الأهمية، وإحراز المزيد من التقدم في استئناف الشرطة الوطنية الاضطلاع بالمسؤوليات الأساسية عن حفظ الأمن، وإصدار مجموعة التشريعات المتعلقة بالأمن الوطني، ووضع الخطة الإنمائية الاستراتيجية، والخطة الاستراتيجية لقطاع العدل في تيمور - ليشتي.",1
"558","وتبين إضافة هذه الأسماء أيضا الاهتمام المتواصل الذي توليه اللجنة للتهديد الذي تشكله حركة الطالبان للسلم والأمن الدوليين.",1
"559","فالبيانات على شاكلة ""إن الشعب الفلسطيني لا يحب أبناءه"" أو ""إن الشعب الفلسطيني يرسل أبناءه إلى الموت بسبب كراهيته لإسرائيل"" هي بيانات تنضح بالعنصرية وتعكس نوع التوجه الذي ينبغي رفضه جملة وتفصيلا - وأنا أحاول ذلك الآن.",1
"560","وكما شدد على ذلك البيان الختامي لمؤتمر لندن، يمكن لمحاكم صومالية متخصصة أن تفي بهذه الاحتياجات.",0
"561","وأعضاء الآلية هم: السفير خوان لارين (شيلي)، رئيسا، والسيدة كريستين غوردون (المملكة المتحدة لبريطانيا العظمى وأيرلندا الشمالية)، والسيد ويلسون كالومبا (زامبيا)، والسيد إسماعيل ســك (السنغال).",0
"562","3 - الحالة في قبرص (27 كانون الأول/ديسمبر 1963؛ 13 حزيران/ يونيه 2011).",0
"563","فقادة مؤسسات الحكم الذاتي المؤقتة يتهربون عادة من مسؤولياتهم التي أنيطت بهم بموجب القرار 1244 (1999) والإطار الدستوري.",1
"564","63 - أجرت دائرة الأمم المتحدة للإجراءات المتعلقة بالألغام وشركاؤها مسحا شمل 404 كيلومترات من الطرق، بما في ذلك الطريق الرئيسي بين بور وملكال.",0
"565","46 - قامت غالبية دول أوروبا الشرقية بتجريم التحريض على ارتكاب الأعمال الإرهابية.",0
"566","وأثناء تلك الفترة، طرأ تغير كبير على التهديد الذي يمثله تنظيم القاعدة وحركة الطالبان ومن يرتبط بهما وعلى نظام الجزاءات آنف الذكر.",1
"567","وإننا نطلب إلى جميع الجماعات المسلحة الموقعة على اتفاق واغادوغو أن تنأى بنفسها عن الجماعات الإرهابية.",1
"568","وتحث الولايات المتحدة السلطات في هايتي على الوفاء بتعهدها بملء جميع الشواغر الستة في المحكمة العليا بحلول 3 تشرين الأول/أكتوبر 2011.",1
"569","اللجنة الشعبية العامة للمواصﻻت والنقل:",0
"570","وبينما تضاءل التهديد الذي يشكله تنظيم القاعدة بوصفه منظمة إرهابية عالمية، فإن خطر العناصر المنتسبة والأفكار المعدية للقاعدة لا يزال قائما.",1
"571","غير أنه من الطبيعي أن تعيد هذه المسألة إلى الأذهان ذكريات هامة ومألوفة.",0
"572","""تقرير الأمين العام عن بعثة الأمم المتحدة المتكاملة في تيمور - ليشتي (S/2008/501)"".",0
"573","ويشير تقرير فرقة العمل المعنية بالإجراءات المالية عن أنماط غسل الأموال وتمويل الإرهاب من خلال القطاع العقاري لعام 2008 إلى احتمال وجود خطط لتمويل الإرهاب ذات صلة بالقطاع العقاري.",1
"574","وقد اتبع هذا النهج أيضا فيما يتعلق بالجلسة التحضيرية في قضية تشارلز تيلور في لاهاي.",0
"575","10 - يدعو جميع الدول، كوسيلة أخرى للتصدي لذلك الخطر، إلى اتخاذ إجراءات تعاونية وفقا لسلطاتها القانونية وتشريعاتها الوطنية وبما يتسق مع القانون الدولي، لمنع الاتجار غير المشروع بالأسلحة النووية أو الكيميائية أو البيولوجية ووسائل إيصالها وما يتصل بها من مواد؛",1
"576","إن أفراد القوات المسلحة لجمهورية كوريا الشعبية الديمقراطية وشعبها سيحطمون سلاح حقوق الإنسان الطائش الذي استلته القوى المعادية بأعمال مضادة لم يسبق لشدتها مثيل وسيدافعون بقوة عن النظام الاشتراكي وعن حياتهم وأرواحهم.",0
"577","""ويشدّد مجلس الأمن على أهمية دور المنظمات والترتيبات الإقليمية وعلى أهمية التعاون معها، وفقا للفصل الثامن من ميثاق الأمم المتحدة، فيما يتعلق بمنع نشوب النزاعات وتسويتها وحفظ السلام وبناء السلام، بما في ذلك الحفاظ على النظام الدستوري وتعزيز حقوق الإنسان والديمقراطية وسيادة القانون ومكافحة الإفلات من العقاب.",0
"578","وأخيرا، ينبغي أن نحذر من أن استخدام محنة الشعوب العربية لتحقيق مصالح ذاتية وإحداث تغيير في نظام الحكم ليس في مصلحة السلام والأمن الدوليين للمجتمع الدولي، بما في ذلك مجلس الأمن.",1
"579","وفي المجموع، كانت هناك من أصل 51 حالة 43 حالة قدمها أفراد، وحالتان قدمهما فرد بالاشتراك مع كيان واحد أو أكثر من كيان، وست حالات قدمتها كيانات منفردة. وفي 25 حالة من الحالات الـ 51، كان هناك محام ينوب عن مقدم الطلب.",0
"580","البعثة الدائمة لليابان لدى الأمم المتحدة",0
"581","107 - وفي 24 تموز/يوليه 2005، انتُهك هذا الاتفاق بسبب قيام القوات الجوية لكوت ديفوار بإعداد طائرتها طراز Mi-24P لعمليات عسكرية رداً على هجوم مزعوم على أنياما.",1
"582","٢٠ - جميع عناصر بعثة اﻷمم المتحدة لﻹدارة المؤقتة في كوسوفو مزودة اﻵن بمﻻك أفضل من الموظفين.",0
"583","22 - وبعد رصد تحركات المشردين داخليا باتجاه كوسوفو والتحدث إلى المنحدرين من أصل ألباني المقيمين جنوبي صربيا بالذات، أفادت مفوضية الأمم المتحدة لشؤون اللاجئين أن هؤلاء المشردين فروا خوفا من الوقوع تحت وابل النيران، ونتيجة للقلق العام في حشد قوات الشرطة والقوات العسكرية في وادي بريسيفو.",1
"584","وفي الآونة الأخيرة، هناك دلائل على أن الصيد غير المشروع للأحياء البرية عبر الحدود قد يكون عاملا من العوامل المؤثرة في ديناميات النزاع في أفريقيا الوسطى، وهناك أدلة على أن النزاع في مالي نتج جزئيا عن الاتجار بالأسلحة عبر الحدود الناجم عن النزاع في ليبيا.",0
"585","علما بأن القانون الجنائي وقانون الإجراءات الجنائية في السودان لا يتضمنان نصوصا موضوعية وإجرائية يمكن تطبيقها على الوضع الخاص بالجرائم المرتكبة أثناء الصراع المسلح.",1
"586","إذ يعرب عن قلقه من استمرار ورود أنباء، بما في ذلك تلك الواردة في [تقرير الأمين العام ذي الصلة]، عن الإساءات المرتكبة في مجال حقوق الإنسان وانتهاكات الدولي الإنساني، بما في ذلك ما يرتكب منها في حق النساء والأطفال، فضلا عن التقارير الواردة عن ازدياد حوادث العنف الجنسي لا سيما التي يرتكبها رجال مسلحون، وإذ يشدد على أهمية التحقيق في هذه الانتهاكات والإساءات المزعوم ارتكابها من قبل جميع الأطراف، بغض النظر عن مركزها أو انتمائها السياسي [...]، وإذ يجدد التأكيد على وجوب مساءلة المسؤولين عن تلك الانتهاكات وكفالة تقديمهم إلى العدالة بصرف النظر عن انتماءاتهم السياسية، مع احترام حقوق الأشخاص المحتجزين، وإذ [...] يحثّ الحكومة على زيادة وتسريع جهودها الرامية إلى مكافحة الإفلات من العقاب،",1
"587","وهذه الإجراءات يتم اتخاذها على الرغم من الموقف السلبي الواضح الذي اتخذه الممثل الخاص للأمين العام وتعتبر تحديا للأمم المتحدة ومجلس الأمن.",1
"588","وقد وصف سيري الفجوة الفاصلة بين التقدم المحرز في بناء الدولة الفلسطينية والجمود المستمر الراسخ على المسار السياسي بأنها موجعة للقلب.",1
"589","وقد أوضحت هذا الأمر حوادث عدم الانضباط التي وقعت مؤخرا في مفرزة الأمن المتكاملة، لا سيما الادعاء بأن قائدا من قادة مفرزة الأمن المتكاملة قتل مدنيا في فرشانة في 22 آذار/ مارس.",1
"590","وقد عرضت الحكومة توفير الأراضي والمرافق مثل الكهرباء والمياه ونظام الصرف الصحي مجانا للمنظمة.",0
"591","واستخدم ما يزيد على ٠٠٠ ٧٢٠ مسافر منذ بداية عام ١٩٩٨ خطوط الحافﻻت التي ترعاها المفوضية والتي تربط بين الكيانين.",0
"592","92 - ونظرا لما تتسم به العملية الدستورية من أهمية لمستقبل ليبيا، فقد حظيت حقا باهتمام الليبيين والمجتمع الدولي على حد سواء.",0
"593","وفي 18 تشرين الثاني/نوفمبر 2014، ألقت الطائرات العمودية التابعة للنظامبرميلين متفجرين على مدينة معر شمارين فقتلتستة مدنيين من بينهم أربعة أطفال وامرأتان.",0
