"","ar_en_GOOGLE","MatConf"
"859","Acting in accordance with Chapter VII of the Charter of the United Nations,",0
"860","Even if the civilians attacked possess weapons, this does not necessarily indicate that they are insurgents and therefore legitimate targets of attacks, or that they are actively participating in the hostilities.",1
"861","Acting in accordance with Chapter VII of the Charter of the United Nations,",0
"862","In this regard, the Committee also stressed the importance of provisions requiring detainees to be held in places known to the public and requiring the names of detainees and places of detention to be duly registered.",1
"863","On November 12, another suicide bombing occurred at a school in Kontagora, Niger State, wounding dozens of people. On November 25, two girls carried out a suicide bombing that killed more than 45 people in a Maiduguri market. On 27 November, a bomb exploded in the Maraba-Mubi area of Adamawa State, killing at least 40 people. The Kano Central Mosque was attacked on November 28, killing at least 120 people and wounding more than 270 others.",1
"864","In order for a person to be named as accused of committing crimes, the international crimes for which he or she may be responsible must be identified.",1
"865","Two vehicles were burned. The ground floor offices were looted.",1
"866","He stated that the leadership of the Congolese Union for Democracy has tightened control over the city again and is in the process of arresting its opponents.",1
"867","Report of the Secretary-General on the situation in Somalia (S/2004/115) and (Corr.1",0
"868","It is noted, in this regard, that the Security Council could mandate multidimensional peacekeeping missions, inter alia, to: (d) ensure rapid response in mine action as well as provide advisory services and provide training that meets the needs of national authorities, based on Requested, in order to enable them to reduce risks, assist victims, clear mines, and manage and dispose of stockpiles;",0
"869","Decree No. 365/69 (31 July 1969)",0
"870","In both Bunia and Aru, the team noted that officials inspected arriving and departing aircraft, but only in a formal manner.",0
"871","However, it should be noted that the helicopters, as well as other units such as the navy, were reportedly widely distributed, while the army was officially supposed to remain a âthird lineâ that played a mainly defensive role, after the police and gendarmerie. .",1
"872","âThe Security Council renews its call on the Government of the Central African Republic to revive efforts to reform security sector institutions, which constitute an essential element of the peacebuilding process in the Central African Republic, to address the rampant phenomenon of impunity, to strengthen the rule of law and to increase respect for human rights.",0
"873","563 - The Commission has collected reliable information allowing the identification of eight senior central government officials and military commanders and six local government officials or members of the armed forces operating in Darfur who are suspected of being responsible for their knowing failure to prevent or suppress the commission of crimes, i.e. they are being held accountable. Responsibility of superiors.",1
"874","The mission took about three and a quarter hours.",0
"875","I would like to remind speakers to limit their statements to no more than four minutes so that the Council can complete its work quickly.",0
"876","But there are others who are not wanted by any law enforcement agency, cannot easily obtain forged travel documents of a quality that would enable them to pass scrutiny, and in any case consider that the limited personal details recorded about them on the list make it possible for them to pass through border posts using their original travel documents without That someone will notice them is reasonably certain.",1
"877","Noting that it was not clear how many lives had been lost in the fighting that lasted for several days, she said that the Intergovernmental Authority on Development (IGAD) ceasefire monitors had placed the blame for the start of the conflict on the opposition.",1
"878","33. Of the 203 persons associated with Al-Qaida on the consolidated list at the end of January 2006, at least 111 had been arrested, convicted or charged with criminal offences, most of them for serious and/or violent crimes ranging from murder to participation in acts of terrorism. Terrorist attacks, such as the 1998 embassy bombing in East Africa, the September 11, 2001 attacks in the United States, and the 2002 bombings in Bali.",1
"879","These conventions absolutely prohibit torture, in both internal and international armed conflicts.",1
"880","The women and young girls were isolated from the men and detained in an area around the mosque, after which the detainees took them away to rape them.",1
"881","69. These new ârecruitsâ became what the civilian population and others referred to as âJanjaweed,â a traditional Darfuri term meaning an armed outlaw bandit riding a horse or camel.",1
"882","The Security Council expresses particular concern about the withdrawal of [the neighboring State] from recognition of refugee status for a large number of refugees, and the subsequent cessation of assistance to them... Decisions by the [affected State] in this regard may mean the involuntary return of tens of thousands of people to An area that is neither safe nor prepared to receive them.",0
"883","âThe Security Council recalls its resolutions regarding Osama bin Laden, and its condemnation of the Al-Qaeda network and other associated terrorist organizations, for the multiple criminal terrorist acts they committed aimed at killing many innocent civilians and destroying property.",1
"884","C. Class D-7 Claims Case (Real Property Loss) 42-43 15",0
"885","This situation is exacerbated by high unemployment and deteriorating health conditions, especially with the increasing spread of HIV/AIDS, typhoid, malaria and tuberculosis, as well as high rates of maternal, infant and child mortality.",0
"886","The tendency to restrict their movement cannot and will not represent a final solution to the problem.",1
"887","The Security Council calls on parties to armed conflict to comply with their obligations under international humanitarian law to respect and protect humanitarian personnel and relief shipments and to take all steps required to facilitate the safe, prompt and unimpeded passage of relief shipments, equipment and personnel.",1
"888","On November 8, 2014, regime forces targeted the city of Sheikh Miskin, killing five people, including two children and two women.",1
"889","There may have been fewer major operations than Al-Qaeda leaders would like, but terrorists suspected of links to Al-Qaeda have been arrested or killed in more than 40 countries around the world since the Panel submitted its last report in November 2006 ( S/2007/132) suggests a great deal of planning for terrorist operations.",1
"890","The mission ended at 10.30 and the group arrived at the Canal Hotel at 11.05.",0
"891","Scheduled for Wednesday, 24 March 2004, at 10.20 p.m",0
"892","While examining the list, the team is examining the implementation of the three sanctions measures: the asset freeze, the travel ban, and the arms embargo.",1
"893","Combating violent extremism and incitement to commit terrorist acts",1
"894","He warned that the failure of the Democratic Forces for the Liberation of Rwanda to show any concrete commitment by 2 January 2014 would force the Armed Forces of the Democratic Republic of the Congo, with the support of MONUC, to begin military operations to neutralize that group.",1
"895",":: Publishing the final voter list and preparing the new electoral map",0
"896","19 - Strongly condemns all acts of sexual and other forms of violence against civilians in armed conflict, in particular against women and children, and pledges to ensure that all peace support operations apply all possible measures to prevent such acts of violence and address their impact wherever they occur;",0
"897","22. Although joint operations against the Alliance of Patriots for a Free and Sovereign Congo and the Ndoma Defense of the Congo continue in North Kivu, MONUSCO continues to play a role in the LRA-affected areas of Orientale Province.",1
"898","Scheduled for Wednesday, 6 November 2002, at 3 p.m",0
"899","It was not easy to work in that environment, but the force has developed and modified its operations to meet the challenges posed by the environment of internal conflict and clashes, which have increased in severity and intensity recently.",1
"900","The number of staff of the component will be increased accordingly.",0
"901","Civilians often find themselves in dire circumstances in places where a peacekeeping operation has not been established. These situations may require the Council&#39;s urgent attention.",1
"902","20 - Encourages Member States to urgently exchange information with other Member States, in particular countries of origin, final destination and transit, when they discover the travel of individuals included on the Al-Qaida Sanctions List;",0
"903","Each discharged combatant will receive a subsistence allowance of approximately US$940, of which 25 per cent will be paid upon discharge; 25 percent 45 days later; The rest after 90 days.",0
"904","Most of these countries have weak capabilities in freezing funds and assets linked to terrorism, despite the progress made by some countries in this field.",0
"905","Indeed, the 1540 Committee appears well placed to enhance cooperation between these entities and explore funding opportunities.",0
"906","âThe Security Council encourages the continued participation of relevant regional and subregional organizations in resolving disputes peacefully, as appropriate, including through conflict prevention, confidence-building measures and mediation efforts, and stresses the importance of harnessing in this regard the existing and potential capacities of regional and subregional organizations.",0
"907","German ARD TV Jörg Armbruster - December 15, 2011",0
"908","Scheduled for Friday, 17 December 2010, at 3 p.m",0
"909","126 - The Committee wishes to emphasize that if it is proven that the Government has used militias as a âwar tacticâ, even in cases where the Janjawid have acted and there is no evidence of the Government supporting the action, government officials may be held criminally liable for the joint criminal act of committing Indiscriminate attacks on civilians and killing of civilians.",1
"910","Czech Television: Jan Mulacek, Martin Bojn - January 12, 2012",0
"911","She also referred to important precedents established by the Council, especially the establishment of the investigation committees for Bosnia and Herzegovina, Rwanda, and Darfur, which paved the way for the establishment of the International Tribunal for the Former Yugoslavia and the International Criminal Tribunal for Rwanda, and for the Council to refer the situation in Darfur to the International Criminal Court.",0
"912","There are different possibilities, including a suicide bombing or a radio bombing using frequencies different from those of jamming devices, or using the frequencies of jamming devices, or a radio bombing using the jamming devices themselves, or a wireless bombing using one of Thurayaâs phones connected to artificial satellites, and Thuraya is the only telephone company operating in Lebanese territories that have connections to satellites, or wire detonation using a TNT cable, or wire detonation using another type of composite cable such as a telephone wire as a connecting wire.",1
"913","The team also sensitized the commercial aviation sector to Al-Qaeda sanctions by working closely with the International Civil Aviation Organization, the International Air Transport Association and the private sector.",1
"914","59. As part of the Mission&#39;s ongoing efforts to increase local capacity-building and in order to ensure cost savings, the Mission proposed converting eight international posts and four United Nations Volunteer posts to national posts in the 2008-2009 fiscal year. A recommendation was also made to establish an archives unit, consisting of an international staff member and a national General Service staff member.",0
"915","Note verbale dated 26 March 1998",0
"916","184 - The majority of reports note a pattern of indiscriminate attacks against civilians in villages and communities in all three Darfur states starting in early 2003.",1
"917","Notes that the vast majority of internally displaced persons and other vulnerable groups in situations of armed conflict are civilians, and as such are entitled to the protection afforded to civilians under existing international humanitarian law.",1
"918","59. The Group of Experts has traveled extensively in CÃ´te d&#39;Ivoire, the subregion and elsewhere in its efforts to assess compliance with the embargo and to identify additional measures that could be taken to improve its effectiveness.",0
"919","Foreigners with special residency are:",0
"920","The ranks of the petitioners and their sympathizers were significantly strengthened from the second day of the demonstration onwards with the arrival of third parties, in particular members of the group known as Colemao 2000.",0
"921","This approach follows the pledge made by the Ministers of Asia-Pacific Economic Cooperation in November 2005 to conduct an assessment of the vulnerability of airports to attack by these systems before the end of 2006.",0
"922","Restrictions were also placed on freedom of movement.",1
"923","A number of incidents during the reporting period indicate friction between the CIS peacekeeping force and the Georgian side, including the detention of UNFICYP trucks (see paragraph 17), the temporary detention of one of its soldiers, the installation of electrical appliances at its checkpoints, and a demonstration in protest against The presence of force in Georgia.",1
"924","During the period from 1 to 10 October 2014, 20 cases of ceasefire violations were reported along the Line of Control and 22 cases of violations along the established border line, resulting in 12 civilian casualties, 52 civilians injured and 9 individuals injured. Military personnel on the Pakistani side.",1
"925","The statement stated that the initiative is based on the efforts of the international community aimed at preventing the spread of weapons of mass destruction, their delivery systems, or related materials, and complements existing treaties and systems.",0
"926","The Committee recognizes that the failure to submit reports may be an indication of a general âlack of enthusiasm for reportingâ due to the large number of reports that Member States must submit to the Committee, the Counter-Terrorism Committee, the Committee established pursuant to resolution 1540 (2004) and other United Nations bodies.",0
"927","It appears that donations still constitute a source of income, albeit a limited source compared to other sources of revenue.",0
"928","Rather, the number of politically motivated public executions appears to have increased until the end of 2013.",1
"929","He was motivated by the need to ensure that the Council&#39;s actions against Al-Qaida and the Taliban remained relevant to the threats and that the objectives of the sanctions were well-defined enough for Member States to take action against them.",1
"930","192 - There is convincing evidence, according to allegations and press reports, that certain areas have been targeted because of their proximity to or being the site of rebel activity, and even more importantly because of the ethnic composition of the population residing in those areas.",0
"931","(f) Take immediate measures to prevent agents of the Democratic People&#39;s Republic of Korea from kidnapping more people from Chinese territory; Prosecute the perpetrators, punish them with appropriate punishment, and request the extradition of those who ordered this to be tried in accordance with the law.",1
"932","Despite the difficulties we face when reading the report before us, it identifies the challenges facing us.",0
"933","The soldiers were about to finish raping the five women when the second group of women who had gone to El Fasher to sell firewood arrived at the same place.",1
"934","It is worth noting that a very large shipment of weapons arrived on the market from Yemen through arms trafficking networks about one week before the outbreak of the Second Battle of Baidoa, on May 22, 2005.",1
"935","Security Council Resolution 1973 (2011), preambular paragraph 14",0
"936","On November 23, 2014, the regimeâs warplanes fired two missiles at the Harweel Mosque in the Al-Ardi neighborhood in the city of Deir ez-Zor, causing damage to the mosque and nearby homes.",1
"937","341 - Other sources reported that women and girls were kidnapped, imprisoned for several days, and repeatedly raped by Janjaweed and soldiers in the villages that were attacked, in camps, and in hideouts. Furthermore, torture was reportedly used to prevent women from escaping.",1
"938","Some States, for example, have either extended the periods of permissible detention before investigation or trial or imposed restrictions on access to a lawyer.",1
"939","The employment rate of minority individuals in the public sector reached 55 percent of the minimum required to be achieved.",0
"940","Given that some tribes do not have traditional land allocated to them, and with the growing conflict over natural resources, there has been a systematic attempt to evict tribes viewed as ânon-rescueâ from their lands.",1
"941","Chronic malnutrition in refugee camps represents a major health problem, and UNHCR and WFP intend to take corrective measures, including providing supplementary food to vulnerable groups.",0
"942","For example, the nuclear industry responded to increased scrutiny and concerns about terrorist access to weapons of mass destruction after the attacks of September 11, 2001 and proactively addressed non-proliferation concerns.",1
"943","However, States should similarly criminalize acts committed against any other State.",1
"944","Citizens are rewarded for informing other citizens who are suspected of committing these âcrimes.â",1
"945","We do not disagree on goals and objectives.",0
"946","On November 5, 2014, regime forces targeted Hazrma Primary School in the Damascus countryside, wounding a child.",1
"947","The United Nations Interim Administration Mission in Kosovo had authorized exports to Tribeca/Northern Branch based on legislation issued under Resolution 1244 (1999).",0
"948","The actual participation of veterans in future celebrations has also been prohibited and the rulebook for future celebrations is being rewritten.",1
"949","(v) Undertaking any other responsibility determined by the Committee.",0
"950",":: European Council Regulation No. 539/2001 of 15 March 2001()",0
"951","Fundamentalist extremism may continue to exist in its manifestations in regions in the East.",1
"952","Implementing the Office&#39;s policy to achieve gender balance through a monitoring system to ensure that the goal of full balance is equal.",0
"953","The survivors fled the village with their skins, and their dead were not buried.",1
"954","6. I noted in paragraph 19 of my report of 30 August 2004 (S/2004/703) that âthe process of disarmament of PDF personnel has begun, with the second Joint Verification Mission attending a ceremony for the disarmament of approximately 300 soldiers in West Darfur.â &quot;.",1
"955","As for the Cayman Islands, Bermuda, and Gibraltar, they are establishing their own legislation corresponding to the 2000 and 2001 laws.",0
"956","The resolution reiterates the importance of fulfilling those obligations and stresses that neither party should undertake any activity that conflicts with those obligations under the roadmap or prejudges final status negotiations.",0
"957","Minister of Regions and Local Administration",0
"958","âThe Security Council notes that a number of obstacles undermine efforts to secure access for humanitarian and United Nations agencies to people in need, including attacks directed against humanitarian personnel, the authoritiesâ refusal to allow passage and a failure to work in an organized manner with non-State actors.â .",1
"959","These countries also face major challenges due to cross-border refugee flows.",1
"960","(b) Publication of the list of persons eligible to vote.",0
"961","In two of them, the motives could not be proven, while in the third they were considered criminal in nature.",1
"962","This was the case for Germany, Portugal, Belgium, Turkey, Tunisia, Sweden, Switzerland, France, Canada, Liechtenstein, Saudi Arabia, the United Kingdom, Norway, Austria, the Netherlands, the United States, Japan and Yemen.",0
"963","On November 8, 2014, regime warplanes targeted the areas surrounding the Martyr Wassim Husseinou Hospital in Idlib, causing significant damage to it.",1
"964","228 - Before proceeding to present the results of the Commissionâs fact-finding, as well as the legal assessment of these two facts, it is worth presenting some facts about both displacement and destruction, with the aim of giving a clear picture of the scale and scope of the situation.",1
"965","Passenger movement from Somalia to Wilson Airport is very limited.",0
"966","He expressed concern about the increasing demolition of buildings in Palestine, the danger inherent in the forcible transfer of the Umm al-Khair Bedouin community, and the continued Israeli settlement activity, which he said constitutes a violation of international law.",1
"967","28/90/468 - November 1990",0
"968","The September 2013 attack on the Westgate mall in Nairobi, Kenya, demonstrates the capabilities of Al-Shabaab, even after its decline in Somalia.",1
"969","([57]) See the following website: http://www.raxanreeb.com/2013/10/xildhbaan-daahir-amiin-jeesow-oo-sharci-daro-ku-tilmaamay-xariga-maxamed/.",0
"970","In order for countries to be able to provide adequate patrols to guard long coastlines, they must cooperate by exchanging information and monitoring data between the coast guard, naval forces, and customs administrations.",0
"971","173. The Group was satisfied to note that a number of countries had suspended or halted the export of military goods and services to CÃ´te d&#39;Ivoire.",1
"972","Since the 1990s, its agents have kidnapped a number of people from Chinese territory, including citizens of China and the Republic of Korea, and at least one former Japanese citizen.",1
"973","90. Also on 8 May, Interior Minister Lobato instructed Border Control Unit Commander Antonio da Cruz to bring 15 HK33 semi-automatic rifles to his residence. These rifles were among 180 firearms of the same model that were legally distributed to the border control unit.",1
"974","Although each refugee or internally displaced person&#39;s situation is unique, displacement and statelessness exacerbate gender inequalities and intensify the discrimination and hardship faced by women and girls.",1
"975","President Lahoud and Brigadier General Ghazala were informed about the explosion at the time it occurred [witness statement].",1
"976","It is also surprising that no members of the parallel forces were arrested or prosecuted for these crimes.",0
"977","94 - Since the presence of militias and parallel forces has been confirmed, it is the duty of the President of the Republic and the Government of National Reconciliation to take all necessary steps to put an end to their activities.",1
"978","295- The main loading and transportation facilities of the National Iranian Tanker Company (NITC) were located on Kharg Island.",0
"979","These hostages include sailors from Asia, Africa, the Middle East, and Europe, as well as tourists from Western Europe.",0
"980","505- Is the crime of genocide more serious than other international crimes? There is widespread agreement that genocide is the most serious international crime.",1
"981","2- Costs of stopping the project 904-114 901",0
"982","(from 1 June to 27 November 2000)",0
"983","It should also be noted that this Russian decision coincides with the separatists carrying out provocative actions and mobilizing intense military reinforcements.",1
"984","Drinking water can be obtained from other sources by refilling fresh water points.",0
"985","It is important to point out that some of these armed groups may obtain their weapons from within the Democratic Republic of the Congo itself, as the Secretary-General indicated in his nineteenth report on the United Nations Mission in the Democratic Republic of the Congo (S/2005/603) submitted to the Security Council.",1
"986","This group looted homes in the village and was said to have kidnapped about 44 villagers and fatally wounded two of them with gunshots.",1
"987","(Q.Q.: 493 IQD (21) - 3/30/2009)",0
"988","Noting with deep concern the escalation of violence and the increase in inter-communal fighting, as well as the continuing manifestations of sexual and gender-based violence and impunity, and reiterating its grave concern at the attacks directed against humanitarian personnel, peacekeepers, and the security of civilians, and calling on all parties in Darfur to stop Immediately launch its aggressive actions and stop continuing its violent attacks, which are deteriorating the situation with regard to humanitarian aid and obstructing its access to needy segments of the population,",1
"989","48. According to accounts received from the G7 march organizers, demonstrators who wanted to participate in the march were told to regroup in the large public areas within their communes on their way to the Abidjan plateau, the âred zoneâ.",1
"990","26. In December, the emergence of new rebel groups in the west of the country led to a renewed population exodus towards the borders of Liberia and Guinea.",1
"991","103 - At the time of writing this report, the ship âSemloâ and its crew are still in captivity. The perpetrators of the kidnapping requested a ransom of $500,000.",1
"992","Scheduled to be held on Wednesday, October 16, 2013, at 10:00",0
"993","From the above, it is clear that 317 remains were brought from Iraqi territory, and 232 remains of Kuwaiti prisoners were identified from Iraqi territory (noting that the remaining four prisoners who were identified were from the Subhan cemetery in Kuwait), and 43 remains were returned with their genetic characteristics to the Iraqi authorities. A total of 35 remains were merged, and 7 remains were consumed (as shown in attached table No. 7). Therefore, the competent authorities in the State of Kuwait do not have any remains of the remains that were brought from Iraqi territory remaining at all. Please feel free to view and be informed.",1
"994","As the United Nations system and its partners move from the humanitarian response phase to the phase of recovery and development interventions, a strategy for the withdrawal of the Office for the Coordination of Humanitarian Affairs from CÃ´te d&#39;Ivoire will be developed.",0
"995",":: The fate of Farhan Ahmed Al-Issa is not yet known, who is still considered missing.",0
"996","However, in Port-au-Prince, a marked increase in violence and criminality, including kidnappings, created a general feeling of great concern during May and June.",1
"997","This is another case of a planned and organized joint attack by government forces and the Janjaweed, during which mass killings and summary executions were committed.",1
"998","The effects of shells fired from helicopters were easily distinguishable.",1
"999","The project was left unfinished.",0
"1000","For example, in 2009, Tunisia amended Law No. 2003-75 to criminalize incitement to commit terrorist acts, thus separating âincitement to hatredâ and âreligious fanaticismâ from terrorist crimes.",0
"1001","(3) A securities market participating institution as defined in the Securities Exchange Act (RT I 1993, 35, 543:1995, 22, 1996:328, 26, 528:1997, 34, 535:1988; 61,979) .",0
"1002","All provinces and the autonomous city of Buenos Aires have become parties to Law No. 24059.",0
"1003","During the meetings held by the Committee with President Gbagbo and the Ministers of Defense and Internal Security, the Committee was informed that the intention of the decision to mobilize the national armed forces was to thwart the demonstration and prevent it from taking place.",1
"1004","10. The situation in Georgia (8 October 1992; 15 June 2009).",0
"1005","These costs are summarized in Table 23 below.",0
"1006","In the opinion of the Secretary-General, the credentials submitted are in full compliance with the applicable procedures.",0
"1007","12 - In short, it can be said that the militias have continued and intensified their attacks on civilians recently, but not on the widespread and systematic scale witnessed in the months preceding the joint statement.",1
"1008","59. Briefing by Mr. Carl Bildt, Special Envoy of the Secretary-General for the Balkans (see S/2000/40/Add.8 and 24).",0
"1009","These instruments cover all items included in the Nuclear Exporting Countries List of Substances as well as the List of Substances Subject to the Missile Technology Control Regime.",0
"1010","However, women and children were also among the victims of killings in many attacks.",1
"1011","The Force also identified some military assets that were underutilized and could be repatriated without harming the Mission&#39;s ability to conduct operations.",1
"1012","B - The second, at 1148 hours, was a violation of a Turkish air formation consisting of two F-4 aircraft from the Kani Rash area.",0
"1013","Existing assistance (bilateral/several/several)",0
"1014","Attempts to launder money or finance terrorist acts using the new payment methods have already been detected. However, countries face difficulties in developing legislation and regulatory systems that suit these rapidly developing payment methods.",1
"1015","In July 2005, 93 per cent of detainees were in pre-trial detention centers and the figure may now be higher.",1
"1016","Interactions with civil society showed that the mission&#39;s mandate and capacity are not clearly understood by the population. There was a widespread perception among local residents that the Intervention Brigade was the only one that could take strong measures to protect civilians, which was not true.",1
"1017","The dead were buried in eight mass graves in the village market area.",1
"1018","Evaluation items include jewelry, antiquities, antiques, paintings, carpets, and purebred horses (racing horses and breed improvement horses).",0
"1019","In total, 72 per cent of the planned number of police personnel (5 per cent of them women) were deployed.",1
"1020","It is clear that this ruling does not apply to this case because the crimes occurred in Sudan and it is claimed that those who committed them were nationals of Sudan ().",1
"1021","The Security Council expresses its condolences to the families of peacekeepers killed in battle while protecting people in the eastern Democratic Republic of the Congo.",1
"1022","19 - From an analysis of the statements made by Al-Qaeda leaders, it becomes clear that their immediate goal is to terrorize the West to expel it from the Middle East and other Muslim countries, and to convince Muslims that their world is under attack.",1
"1023","76 - All parties to the conflict (the Sudanese Government, the Sudan Liberation Army, and the Justice and Equality Movement) have recognized that this conflict is an internal armed conflict.",1
"1024","Anti-terrorism legislation was also adopted, giving judicial and public prosecutorial authorities sufficient legal powers to prosecute terrorists.",0
"1025","For banking institutions, this obligation is also imposed by Decree No. 1 of the Czech National Bank of 8 September 2003.",0
"1026","248. Many ground and air attacks on villages resulted in the indiscriminate killing of civilians.",1
"1027","At the same time, the issue of ensuring that counter-terrorism measures comply with human rights obligations remains a major topic of discussion in this subregion.",0
"1028","Salah Suleiman Ayyash, a 33-year-old driver in the Al-Ahya Medical System in the Damascus countryside, was shot dead by government forces while trying to enter Zabdin on November 27, 2014.",1
"1029","International and regional cooperation in preventing illicit trade in small arms and light weapons requires all Member States, in particular States of the region, acting at the national level or through regional organizations or arrangements, to ensure strict implementation of the arms embargo imposed under relevant resolution], to inspect within its territory, including at ports and airports, and on the high seas, ships and aircraft heading to or coming from [the State concerned], if the State concerned has information that provides a reasonable basis for believing that the cargo contains prohibited items. supply, sale, transfer or export pursuant to [paragraph of the relevant resolution]â¦, including the provision of armed mercenary personnel, and requests all States whose flags such ships and aircraft fly to cooperate with such inspections and authorizes Member States to take all measures proportionate to the specific circumstances for carrying out such inspections",1
"1030",":: Holding legal persons and legal entities responsible for crimes related to the financing of terrorism;",1
"1031","Expressing its concern at the continuing reports, including those contained in [the relevant report of the Secretary-General], of human rights abuses and international humanitarian violations, including against women and children, as well as reports of Increasing incidents of sexual violence, especially committed by armed men, stressing the importance of investigating these violations and abuses allegedly committed by all parties, regardless of their status or political affiliation [â¦], and reaffirming the necessity of holding those responsible for such violations accountable and to ensure that they are brought to justice regardless of their political affiliations, while respecting the rights of persons in detention, and [...] urging the Government to increase and accelerate its efforts to combat impunity,",0
"1032","Another witness reported that Faisal Al-Rashid insisted one day after the assassination that the case had been solved and that the perpetrator of the crime was Mr. Abu Adass as a suicide bomber and that Mr. Abu Adassâs body was still at the crime scene.",1
"1033","The detainee has the right to appeal this decision before a judge. However, there are no guarantees that you will be able to obtain assistance from a lawyer immediately.",0
"1034","485 - It is disappointing that the committees limited themselves to the crime of rape, and did not address cases in which other forms of sexual assault occurred, including attempted rape.",1
"1035","The involvement of Boko Haram and Ansaru in the kidnapping of a French priest in Cameroon in November 2013 indicates the ability of these two groups to operate outside Nigerian borders.",1
"1036","Points out that [the opposition side] bears a special responsibility in protecting the returnees and facilitating the return of the rest of the displaced population, and requests that further measures be taken by [United Nations bodies], to create conditions conducive to the return of refugees and internally displaced persons..., develop their skills and increase their self-reliance , with full respect for their inalienable right to return to their homes in safety and dignity.",0
"1037","Given that terrorism remains a serious and global threat, France, during its presidency of the Security Council last January, took the initiative to organize a ministerial-level meeting on the fight against terrorism.",0
"1038","89 - The security forces are national regular forces, whose mission is to take care of Sudanâs internal and external security, monitor the facts related to that, analyze its implications and dangers, and recommend measures to prevent them ().",1
"1039","Hence, the countries of that region face a grave transnational terrorist threat that requires concerted and coordinated regional efforts to address.",1
"1040","Many were killed and more than 100 people were injured.",1
"1041","Meanwhile, the transitional government of the Democratic Republic of the Congo is still considering issuing international arrest warrants against leaders of armed groups in Ituri.",1
"1042","Acting in accordance with the provisions of Chapter VII of the Charter of the United Nations,",0
"1043","Other listed groups, such as Lashkar-e-Tayyiba (QE.L.118.05), train and recruit themselves in Taliban-controlled areas of Pakistan.",1
"1044","Finding a starting point for discussions about the upcoming challenges that Middle Eastern societies find themselves facing and extrapolating the promising opportunities emerging from these challenges can be a daunting task.",0
"1045","Proliferation Risk: Corporate Governance and Internal Compliance Management",0
"1046","From 25 November to 10 December, my Special Representative joined participants in my annual âUnited to End Violence against Womenâ campaign, with a special focus on countries in conflict.",0
"1047","Research shows that when external interventions in local conflicts do not lead to quick military victory, they are likely to make internal conflicts last longer.",1
"1048","The Group of 77 and China would like to reiterate its position on this issue.",0
"1049","17-A Equipment, systems and components 17-A-1 Devices designed to reduce observable characteristics such as radar reflectivity, ultraviolet/infrared signature and acoustic signature (i.e. stealth technology), for the purposes of applications usable in systems specified in 1-A or 19- A, or the subsystems specified in section 2-A, 19-A-1, 19-A-2 or 20-A. 17-B Test and production equipment",0
"1050","He felt that these items were either of high value or of an unusual nature (“evaluation items”).",0
"1051","The car was not in a completely straight parking position, as evidenced by the force of the explosion that affected the red Ford, which was most likely waiting directly in front of the Mitsubishi.",1
"1052","The Committee is also considering the possibility of collective reporting at the regional level and has requested the Monitoring Team to further study this option.",0
"1053","All of these Janjaweed individuals identified by the Commission as perpetrators are suspected of launching indiscriminate attacks on civilians, which constitute a war crime.",1
"1054","The last complete list of items (S/2009/10/Add.18) was issued on 11 May 2009.",0
"1055","(b) Free access to all places and facilities relevant to the work of the Committee;",0
"1056","Prime Minister Siniora informed me, in particular, that the provision included in the resolution relating to the disarmament and disbandment of militias is the subject of an internal dialogue that he has recently begun and is keen on ensuring its success.",0
"1057","Fuel stocks, which decreased during the rainy season due to the inability to deliver any supplies by land, are currently being replenished.",0
"1058","In 2009, Tunisia, followed by Libya in 2010, expanded the scope of obligations in the field of combating money laundering and combating the financing of terrorism by including certain commercial institutions and non-financial professional communities within the framework of the obligation to pay due diligence to verify the identity of customers, maintain records, and report suspicious transactions.",0
"1059","In other words, the surviving residents of attacks on villages were not simply killed in an effort to eradicate the group; Rather, they were forced to leave their homes and live together in areas chosen by the government.",1
"1060","The Mission&#39;s police strength began to be gradually reduced in April and was reduced in May, to a total of 22 officers.",0
"1061","Combating crime, especially organized crime and corruption, has proven to be a daunting task for the Kosovo Police Service and the judiciary.",1
"1062","In his report, the Secretary-General notes some improvement measures in all of these areas except for the central issue of local government reform, in particular, decentralization, where progress is lacking.",0
"1063","But despite this increased presence, the hazelnut harvest season led to a sudden spike in criminal activity, including three shootings, one of which was fatal, four kidnappings and forty armed robberies.",1
"1064","During this period, the Commission&#39;s support base was strengthened and new software was installed, making the database more effective.",0
"1065","â(a) To investigate the facts and circumstances relating to the events of 28 and 29 April and 23, 24 and 25 May and other relevant events or matters that contributed to the outbreak of the crisis, including matters relating to the performance of the security sector;",0
"1066","45 - The situation in Chad, the Central African Republic and the subregion (27 August 2007; 20 December 2010).",0
"1067","The scarcity of resources is evident in a number of cases.",0
"1068","At the beginning of the conflict, most of the fighting appeared to take place in North Darfur and North-West Darfur, and gradually moved southward into South Darfur state, in the last months of 2004.",1
"1069","17. The weekly quadripartite meetings have allowed the two sides, along with the Mission and the CIS peacekeeping force, to regularly discuss matters related to security in the conflict area.",0
"1070","13 - The last group consists of new recruits who have been radicalized either by global events or who have fallen under the influence of extremists in their local communities who have been misled by the message of Al-Qaeda, the websites of terrorist networks and what is happening in chat rooms on the Internet.",1
"1071","C. Disbanding and disarming Lebanese and non-Lebanese militias",1
"1072","UNDP and its implementing partners have made arrangements to provide reintegration services to an additional 7,219 ex-combatants upon their demobilization.",0
"1073","Exclusion pursuant to the “arising before” condition.",0
"1074","4 - The accused, when deciding any charge against him pursuant to this Statute, has the right to have the following guarantees available to him, on the basis of full equality, as a minimum:",0
