"","es_en_GOOGLE","MatConf"
"290","A sense of ownership of what the Committee does will be key to the success of its efforts.",0
"291","Central Asian States face a serious transnational terrorist threat that requires concerted and coordinated solutions at the regional level.",1
"292","When a ransom is paid, the insurance sector, private companies and risk consultancies may be involved in the form of providing the funds or facilitating payments. The kidnapping and ransom insurance market, which totaled $250 million in 2006, doubled in size in 2011.",0
"293","Given that SA-7s were used to attack Israeli airliners in Kenya in November 2002, this information is cause for concern.",1
"294","17. The situation in the occupied Arab territories.",0
"295","Not all States have a specific counter-terrorism strategy, but all have established policies and practices in this area and created a national center or agency, managed on a basis established by law, to be responsible for counter-terrorism measures.",0
"296","Under such circumstances, UNOTIL cannot be held responsible for having shot at the PNTL officers.",1
"297","A. Current needs Since the imposition of Security Council measures against CÃ´te d&#39;Ivoire, the Government has limited the acquisition of weapons and ammunition. This is due to an intensive pre-embargo procurement program and the limited use of weapons and ammunition during the brief period of intense armed conflict in 2004.",1
"298","The MPCI fighters informed the Mission that there were other mass graves in the combat zones, a total of five new graves, three of them in Man and two in DananÃ© (72 kilometers from Man).",0
"299","Since the end of the last term in mid-March 2005, relations between the Transitional Federal Government and the opposition have seriously worsened, greatly increasing the likelihood of a major military confrontation between the two.",1
"300","Another State held an international seminar in 2009 on enhancing cooperation and dialogue between government agencies, the media and civil society in the fight against terrorism.",0
"301","However, my delegation deplores the fact that security conditions remain worrying.",0
"302","The execrable terrorist plan was completed on the morning of March 18 with another bomb attack carried out in Aleppo. Takfiri terrorists, and those who back them, support them and openly supply them with money and weapons, continue to carry out terrorist operations as part of the conspiracy directed against the Syrian Arab Republic, its people and its institutions.",1
"303","Azerbaijan is deeply concerned about the continued illegal settlement activities in the occupied Palestinian territories.",0
"304","The first was a white van carrying three uniformed men armed with M16 rifles. The second was a red truck carrying between 15 and 20 armed men, some of them in uniform and others dressed in civilian clothes.",1
"305","The dead were buried in eight collective graves in the market area of the village.",1
"306","Significant funds will be made available to support reconstruction and rehabilitation.",0
"307","The measures taken so far by the Government to address the crisis have been both completely insufficient and ineffective, contributing to the climate of almost total impunity for human rights violations in Darfur.",1
"308","Report of the Secretary-General on the United Nations Mission in the Central African Republic and Chad (S/2009/535)&quot;.",0
"309","While it may be impractical to authorize all contingents to carry out specific offensive operations to neutralize armed groups, urgent measures are required for framework brigades to contribute more actively to armed group neutralization and protection activities. of civilians.",1
"310","Brazil is also convinced that to achieve a stable Somalia, it is necessary to adopt a comprehensive strategy that combines security and development.",0
"311","Many now think that what Al-Qaida claims is a religious duty or Jihad is nothing more than criminal violence, often directed against other Muslims. For them, the fact that there are Al-Qaida fighters who consider themselves authorized to declare that other Muslims are apostates (takfirism) is not only a sign of arrogance but also a serious offense.",1
"312","F. Control of intangible technology transfer",0
"313","It has gained prominence thanks to the populist preacher Anwar al-Aulaqi (QI.A.283.10) who, unlike senior leaders, has been able to establish contact with youth groups and recruit numerous followers.",0
"314","3. Country to which the product will be exported and port or customs of exit.",0
"315",":: Office for the Coordination of Humanitarian Affairs, &quot;To stay and deliver: good practice for humanitarians in complex security environments&quot; (2011). This report describes the increasingly difficult operational environment for humanitarian workers, makes recommendations on policy responses and refers to relevant legal documents.",0
"316","g) Persons or entities that support illegal armed groups in the eastern part of the Democratic Republic of the Congo through the illicit trade of natural resources;",1
"317","[Requests the Secretary-General to also include in the annexes to his reports on children and armed conflict those parties to an armed conflict who, in contravention of applicable international law, habitually practice acts causing the death and maiming of children, as well as acts of rape and other acts of sexual violence against children in situations of armed conflict, taking into account all other violations and abuses against children, and notes that the provisions of this paragraph shall apply to situations that meet the conditions set out in paragraph 16 of its resolution 1379 (2001).",1
"318","He confirmed that a Russian helicopter had been shot down and that a United Nations board of inquiry, which had been in the country the previous week, would present a report in early November.",1
"319","According to witnesses, the attackers were dressed in the khaki uniforms of Government soldiers and were carrying Kalashnikov and G-3 assault rifles and grenade launchers.",1
"320","On November 9, 2005, suicide bombers attacked three hotels in Amman, leaving 60 dead and at least 115 injured.",1
"321","The men held in Kailek were called and shot dead in front of everyone or, in other cases, taken to another location and shot.",1
"322","The Charter contemplates regional autonomy, based on the 18 regions that existed at the end of the Siad Barre regime.",0
"323","Council members expressed concern at reports that the Congolese armed forces were carrying out an offensive in Ãquateur province, called for an immediate end to the fighting and called on all parties to exercise restraint.",1
"324","In paragraphs 1, 2 and 7 of resolution 1844 (2008), it imposed specific measures (travel ban, asset freeze and selective arms embargo) against persons and entities designated by the Committee.",1
"325",":: The application of appropriate disciplinary measures of a military nature and the defense of the principle of command responsibility.",1
"326","By stating that the slaughter of Yemenis would be without consequences, the agreement enshrining immunity has contributed to prolonging the bloodshed.",1
"327","Mr. Musayev (Azerbaijan): First of all, I apologize for asking to speak once again. We believe that it would be inappropriate and counterproductive to silently ignore the comments made by the representative of Armenia and his attempt to confuse the Council.",0
"328","b) Social unrest linked to long-standing problems of exclusion has contributed to constant protests and the emergence of political and armed groups in the southern Terai plains, which have created new risks of displacement, death and recruitment for children ;",1
"329","The Abkhazian regime has spared no effort to legalize the imposition of demographic change as a result of ethnic cleansing and has created unsustainable living conditions for Georgian citizens who have returned to the Gali district.",1
"330","28. Declares its determination to closely monitor any situation relating to the proliferation of nuclear weapons, their delivery systems or related material, both to and from non-State actors, as defined in resolution 1540 (2004), and, as appropriate , to adopt the necessary measures to ensure the maintenance of international peace and security;",1
"331","a) Mamadou CissÃ© (supporter of the Alliance of Republicans Party) and Tarine, sergeant of the Navy, since September 20;",1
"332","&quot;Report of the Secretary-General on the United Nations Integrated Mission in Timor-Leste (S/2008/501)&quot;.",0
"333","According to witness reports, in January 2004 rebels attacked and looted a police station and state offices in Yassin, southern Darfur.",1
"334","The document clearly sets out some of the difficulties facing the Government. It is noted that, finding itself in a situation of self-defense, the national army has done nothing more than respond to the attacks in order to liberate the territory of CÃ´te d&#39;Ivoire and safeguard the security of people and property.",1
"335","He has described the situation at the crime scene as chaotic.",1
"336","Deploring the fact that the Taliban continues to provide a safe haven for Usama bin Laden and allows him and his associates to run a network of terrorist training camps in Taliban-controlled territory and use Afghanistan as a base to sponsor international terrorist operations,",1
"337","The Commission received evidence showing that camp leaders had kidnapped civilians and held them in the camp, where they were subjected to torture and forced to work.",1
"338","Which will be held on Saturday, May 15, 1999, at 02:10 a.m.",0
"339","Taking into account the limits of the functions entrusted to it, the Commission has not been able to determine with certainty the number of civilian victims in Darfur.",1
"340","Sifa, peasant, from the town of Bulinzi",0
"341","Coordination between the Mission and the United Nations country team",0
"342","The Mission visited some of these areas and was shocked at the sight of demolished houses, burned cars and people left destitute.",1
"343","Furthermore, United Nations sanctions programs do not require that the targeted individuals or entities have been convicted by a court of law.",1
"344",":: July 12, 2005: Defense Minister Elias Murr is injured and two other people are killed in a car bomb attack in Beirut.",1
"345","WHICH INDICATES THE MATTERS THAT ARE SUBJECTED TO",0
"346","S/RES/1861 (2009), para. 1",0
"347","Ambassador Adam Thomson (United Kingdom of Great Britain and Northern Ireland)",0
"348","q) The prohibition of mistreatment of enemy combatants who have been knocked out of combat and the application of humane treatment of captured enemy combatants;",1
"349","Transmission of case 11 to the Committee",0
"350","On February 1, 1999, the new Prime Minister received the support of the nation&#39;s deputies.",0
"351","There is documented evidence that corroborates this.",0
"352","Suicide attacks have also become frequent.",1
"353","Aware of the importance and urgency of such a wide-ranging issue as the fight against terrorism and in order to provide additional relevant information to the Committee, the Government of the Czech Republic has attached a separate annex to its &quot;Fifth Report&quot; the &quot;Law No. . 61 (Recop.1996) relating to some measures against the laundering of the proceeds of crime and by which the legislation referring to related activities is modified and completed.",0
"354","Both the resolution and the Convention establish that, for the crime of financing terrorism to exist, it is not necessary that the funds intended to finance the terrorist act be the product of a crime and neither that it has been carried out, nor even in a tentative degree.",1
"355","On 8 May, participants in a demonstration in Gleno attacked two unarmed Eastern Region UIR officers, as described in paragraphs 61 to 63.",1
"356","4. Calls upon States to act vigorously and decisively to disrupt the flows of funds and other financial assets and economic resources to individuals and entities associated with the Al-Qaida organization, Osama bin Laden or the Taliban, taking into account, where applicable, international codes and standards to combat the financing of terrorism, including those aimed at preventing improper use of non-profit organizations and unofficial or alternative remittance systems;",0
"357","Real changes are more likely to come from popular protests rather than covert acts of violence.",1
"358","The Compensation Commission took steps to reduce personnel costs in preparation for its upcoming closure, as reflected in table II.6.",0
"359","Aside from the asphalt plant, the employee did not mention any other specific items.",0
"360","6. Confirms that the provisions of paragraph 1 a) above apply to economic resources of all types, including, but not limited to, those used to provide Internet services or related services, used to support the Taliban listed herein List and other persons, groups, companies and entities associated with them, as well as other persons, groups, companies and entities associated with the Taliban that constitute a threat to the peace, stability and security of Afghanistan and other persons, groups, companies or entities associated with them;",1
"361","A migrant population of young combatants (regional combatants), who see war primarily as an economic opportunity, constantly crosses these borders.",1
"362","S/RES/1882 (2009), para. 6",0
"363","Almost half of them are still missing and many are feared murdered.",1
"364","International law also prohibits indiscriminate attacks against the civilian population, that is, any attack against areas or places where both civilians and combatants may be present and that is not directed against a specific military objective or in which methods or means are used. combat weapons that cannot be directed against a specific military objective.",1
"365","This would truly demonstrate that the United Nations efforts to combat terrorism are global in nature and that Member States are united.",0
"366","Urges Member States to ensure increased representation of women at all levels of decision-making in national, regional and international conflict prevention, management and resolution institutions and mechanisms.",0
"367","There was agreement that MONUC should be strengthened as soon as possible, to the strength established in its mandate, so that it could effectively carry out the tasks assigned to it.",1
"368","F-FDTL soldier Francisco Amaral appeared at the intersection of the Ministry of Justice. His uniform was partially soaked in blood.",1
"369","and its two Optional Protocols of 2000",0
"370","The vast majority of land border police posts lack the instruments and equipment to carry out their work, and national border control agencies do not cooperate sufficiently with each other or with their counterparts in neighboring States.",0
"371","This traditional discrimination of the songbun system has recently been complicated by the increasing marketization of the Democratic People&#39;s Republic of Korea and the influence of money, particularly foreign currency, on the ability of citizens to have greater access to their economic rights. , social and cultural.",1
"372","Their intent and ability to plan attacks was evident in Algeria and Niger in 2013.",1
"373","Although Al-Qaida has not developed as an organization and its senior leaders have failed to focus its followers on key operational issues or move them to take concrete action, as a movement Al-Qaida has continued to grow, inspired by an overarching message. of resistance to real or imagined injustices.",1
"374","3. Killings of detained enemy combatants",1
"375","In some cases, women were raped in public and were sometimes insulted and called &quot;slaves&quot; or torabora.",1
"376","OAS and the Government of Mexico",0
"377","As the Commission&#39;s work progressed, more witnesses came forward to testify.",0
"378","In 1974 a younger, more educated group emerged, gradually reaching the highest positions in all spheres of the organization.",0
"379","The Committee will continue to take a more strategic and transparent approach to its work and will seek to increase awareness of its work throughout the United Nations system and among individuals and entities fighting terrorism.",0
"380","Taking into account the facts verified by the Commission, it is clear that the rebels launched attacks against the civilian population, which constitute war crimes.",1
"381","OSCE observers had witnessed fighting continuing in many locations in the Donetsk and Luhansk regions, with artillery fire and mortar fire often devastating residential areas and causing civilian casualties.",1
"382","During these arrests, victims were frequently ill-treated, their belongings stolen, their homes vandalized and, in some cases, summarily executed.",1
"383","The Analytical Support and Sanctions Monitoring Team established pursuant to Security Council resolution 1526 (2004), whose mandate was extended by Security Council resolution 1904 (2009) on Al-Qaida and the Taliban and associated persons and entities, has the honor to transmit to you its 11th report, in compliance with resolution 1904 (2009).",0
"384","Since the existence of militias and so-called parallel forces has been determined, the President of the Republic and the Government of National Reconciliation have the obligation to take all necessary measures to put an end to their activities.",1
"385","However, it has sufficient information to affirm that acts of violence against the life and integrity of detainees were committed in the incidents it investigated.",1
"386","161. Additionally, there may be financial losses resulting from the use of proceeds to finance non-property losses, such as tax revenue.",0
"387","The Security Council further condemns terrorism in all its forms and manifestations, however it is committed and by whomever it is committed.",0
"388","According to official Jordanian sources, the explosive vests were manufactured by Al-Qaida in Iraq, using explosives and grenades from former Iraqi army warehouses and clandestinely transported to Jordan.",1
"389","Although they report incidents to the police and other government officials, little or no action is taken to arrest those who perpetrate such acts.",1
"390","By mid-1975 the relationship between those two parties had deteriorated. On August 11, 1975, the UDT carried out a preventive armed attack against FRETILIN. The counterattack was carried out on August 20, 1975, the date on which the founding of the Armed Forces of National Liberation of East Timor (FALINTIL) is commemorated.",1
"391","One PNTL agent was killed and two others were injured.",1
"392","Terrorists in this region are believed to rely primarily on conventional weapons.",1
"393","The Security Council underlines the importance of the parties to the Comprehensive Peace Agreement making rapid progress with respect to the Abyei referendum, the outstanding issues of the Comprehensive Peace Agreement, and the resolution of critical issues arising with post-referendum, in a peaceful and mutually beneficial manner, including issues of borders, security, citizenship, debts, assets, currency and natural resources.",0
"394","The Executive Directorate proposes three small adjustments to its organization and operational practices to better reflect the change in priorities and the new proposed activities.",0
"395","In the coming months, Afghanistan will face decisive challenges.",0
"396","This situation hampered efforts towards peace and reconciliation.",1
"397","Several witnesses stated that abusive and insulting language was used toward detainees, who were often described as &quot;slaves.&quot;",1
"398","The first programmatic component is the establishment of units to combat transnational crime in CÃ´te d&#39;Ivoire, Guinea, Guinea-Bissau, Liberia and Sierra Leone.",0
"399","Once again we are forced to state that the violence unleashed in the Gali district is the logical result of the increase in flagrant violations of the rights of the peaceful population carried out by the Abkhazian regime, a situation that encourages the smuggling of weapons and drugs.",1
"400","In North Africa and the Sahel and Sahara region, the effects of armed groups with extremist ideologies such as Al-Qaida in the Islamic Maghreb have increased.",1
"401","The National Commission obtained evidence that the armed forces had bombed areas where some members of the opposition had taken refuge, resulting in the deaths of some civilians.",1
"402","5. Notes that such means of financing or support include, among others, the use of proceeds obtained from criminal activities, including the illicit cultivation, production and trafficking of narcotic drugs and their precursors;",1
"403","It should be noted that neither movement made its arguments from a tribal point of view, but rather spoke on behalf of all Darfurians, and directed its attacks primarily against government establishments.",1
"404","In eastern Democratic Republic of the Congo, threats to the safety of personnel caused by armed clashes and violent civil unrest, often exacerbated by political tensions, also continue to be a cause for concern.",1
"405","The Center also emphasizes the prohibition and blocking of Internet sites containing extremist material and regulation in this area.",1
"406","It was proposed to modify article 135 of the Criminal Code &quot;Aggravating circumstances&quot; with the following additions:",0
"407","The guards who monitored the population used whips as a means of control and humiliation.",1
"408","The victim stated that she knew 19 of the women who were raped but that there were many more. I thought there were about 50 in total.",1
"409","Acting under Chapter VII of the Charter of the United Nations,",0
"410","The flight was canceled and a crisis was averted only after the commander of the Licorne Force, General Irastorza, telephoned the FANCI Chief of Staff, General Mangou, to tell him that said flight would be considered a hostile act.",0
"411","The payments to Bechtel related to reimbursable expenses charged by Bechtel for its work and ordinary expenses.",0
"412","Decides hereby, having received the request made by [affected State], to establish an international tribunal for the exclusive purpose of prosecuting those responsible for genocide and other serious violations of international humanitarian law committed in the territory of [affected State] and citizens of [affected State] responsible for genocide and other violations of that nature committed in the territory of neighboring States between [dates].",1
"413","The Security Council is particularly concerned about attacks targeting humanitarian personnel, in violation of the norms of international law.",0
"414","The Committee assured that in Baram the rebels had killed some soldiers and 13 civilians inside the local hospital.",1
"415","The Council of the League, meeting at ministerial level,",0
"416","It is necessary to have such a mechanism to fully clarify the fate of missing persons.",0
"417","The situation in the Middle East",0
"418","Iran – Damage to grazing land (paragraphs 71 to 78) 78",0
"419","Later I found out that they had killed my father and my younger brother. Four other people had also died.",1
"420","The session opens at 10:15 a.m.",0
"421","They then attacked the police station, killing two officers and taking weapons and ammunition.",1
"422","In that attack, 17 police officers, all of them from African tribes, were also killed.",1
"423","The process of drafting a constitution for Somalia has gained momentum.",0
"424","But women and children had also been victims of massacres during many attacks.",1
"425","- On November 27, 2014, Syrian regime forces killed Salah Iyash (Abu Mohammad), an ambulance driver, in Zebdin, eastern Ghouta, while he was on his way to assist the wounded.",1
"426","This use of homemade explosives demonstrates how Al-Qaida-related terrorists adapt their methods in countries where the arms embargo is effectively enforced.",1
"427","The next six months are decisive for operations and for the country.",0
"428","During these visits, the Team met with both national bodies responsible for monitoring the sanctions regime and those dealing with issues relating to the Taliban and Al-Qaida threat on the ground.",0
"429","d) Prevent those who finance, plan, facilitate or commit acts of terrorism from using their territory for these purposes, against other States or their citizens;",1
"430",":: Tunisia ratified the International Convention on Container Safety under Law No. 53 of 2004, dated July 12, 2004.",0
"431","The reason was the tense political atmosphere at that particular time: there was great distrust of Lebanon&#39;s judiciary and criticism of the way the investigation was being carried out.",1
"432","The Committee, with input from the Executive Directorate and in close cooperation, as appropriate, with the Counter-Terrorism Implementation Task Force support office and relevant entities, as well as other bilateral and regional assistance providers , will continue to assess technical assistance needs with a view to exploring ways to facilitate the provision of assistance to relevant Member States.",0
"433","The fact of stating that there is evidence, without further clarification, constitutes a &quot;police&quot; method, inappropriate for a United Nations agency.",0
"434","These States are aware of the importance of cooperation, information exchange and coordination between the various agencies, as well as between the regional and national levels.",0
"435","While the Team and many States consider the term &quot;weapons and related materials of all types&quot; (resolution 1735 (2006), para. 1 (c)) to apply equally to military, civilian and improvised explosives, some have pointed out that it would be impossible to prohibit the supply of explosives intended for civilian uses or materials used in the manufacture of homemade bombs.",1
"436","It will also carry out an audit of the internal arrears accumulated between 2000 and 2006 and the payments of some of these arrears between 2006 and 2007.",0
"437","There are several factors that do not help them in this regard but, if they manage to overcome them, the terrorist threat will worsen even more.",1
"438","Looting by rebels during attacks on villages was also reported in very few cases, particularly in Western Darfur.",1
"439","With the payment of each ransom, new kidnappings are encouraged, creating a vicious circle that encourages them and favors the financing of Al-Qaida and its affiliated entities.",1
"440","This has increased the scope for using arms embargoes as part of an effective post-conflict peacebuilding strategy.",1
"441","Group II: Group II, consisting of five inspectors, left the Canal Hotel in Baghdad at 8:25 a.m. and reported to the Ar-Raya Public Company, a Military Industries Agency company located in the Tayi area, 20 kilometers away. north of Baghdad.",0
"442","The Security Council reaffirms the importance of the principle of non-refoulement and the right of refugees to voluntarily return to Syria, and encourages Syria&#39;s neighboring countries to protect all people fleeing violence in Syria, including the Palestinians.",0
"443","He has refused to arrest Ali Kushayb and Ahmad Harun.",0
"444","Propaganda, rocket attacks, improvised explosive devices, and occasionally suicide attacks will continue to be the main weapons used by opposing military forces.",1
"445","He also investigated road transport from those countries to northern Côte d&#39;Ivoire.",0
"446","Another witness stated that, the day after the murder, Faysal Al-Rasheed had insisted that the case had been solved and that it was committed by Mr. Abu Adass, as a suicide bomber, and that Mr. Abu Adass&#39;s body was still lying was at the scene of the crime.",1
"447","We wish to draw the attention of the international community to the alarming fact that by withdrawing from the aforementioned decision, the Russian Federation no longer considers itself subject to the obligation to prevent the sale and supply to the Abkhazian side of all types of weapons, defense equipment and spare parts, ammunition, armored vehicles and other equipment (para. 3), as well as to prevent the hiring of its own citizens or their recruitment into any armed group in the conflict zone (para. 5 a)).",1
"448","Furthermore, mobile armed groups that engage in banditry tend to be more brutal in their methods, as they have less incentive to establish popular support at the local level.",1
"449",":: Mutual Assistance in Criminal Matters Act, 1991",0
"450","The mission observed a huge difference between the capital, Port-au-Prince, and the other regions.",0
"451","Instead, it was a political conflict.",0
"452","Gunshots were heard throughout the night, particularly in western Dili, where F-FDTL had established positions in Rai Kotu, Taci Tolu and Beduku. Rumors that F-FDTL had killed 60 people gained momentum on April 29 and spread rapidly thereafter, to the point that the license plate number of the F-FDTL truck that had allegedly been killed was mentioned. used to transport the bodies, in boxes or in a container, from Taci Tolu to the Viqueque District on May 1, 2006.",1
"453","Regulating commonly used materials that a trained terrorist can use to construct an explosive device is a more difficult task.",1
"454","These assets, amounting to $2,319,386, bring the total frozen assets in the 32 States that have reported taking action to nearly $91 million (at June 2005 exchange rates), excluding frozen assets in five States that did not specify the amounts.",1
"455","This matter is now one of the priority items on the agenda of the Committee established pursuant to resolution 1267.",0
"456","Clan elders, as well as Kenyan authorities, intervened in mid-August to help resolve the dispute.",0
"457","Such persons may be responsible, under the conspiracy doctrine, for committing war crimes, murder of civilians, destruction of civilian objects and looting during attacks.",1
"458","The Democratic People&#39;s Republic of Korea also uses propaganda to incite nationalist hatred towards the official enemies of the state, namely Japan, the United States of America and the Republic of Korea, and their citizens.",1
"459","Another option would be for states whose navies carry out patrols to transfer suspects to the port of Dar es Salaam, from where they would be transported by land to Arusha, which takes about eight hours, or by air, which would involve different cost considerations.",0
"460","The case just described has attracted attention, but the Group has noted several unreported examples of importation of vehicles for military use.",1
"461","In each situation, fundamental rights related to property and movement are restricted and there is a possibility that this is due to the improper continuation of Security Council sanctions.",1
"462","Relations between Sierra Leone and neighboring countries",0
"463","In addition to Bangladesh, the Kingdom of Bhutan, the Republic of India, the Republic of Maldives, the Kingdom of Nepal, the Islamic Republic of Pakistan and the Democratic Socialist Republic of Sri Lanka are parties to the Convention.",0
"464","During the reporting period, the security situation in the north-east of the Central African Republic continued to be affected by inter-ethnic conflicts, banditry and cross-border criminal activities. These remained the main threats to security and stability in the Vakaga and Haute-Kotto regions.",1
"465","Parties and their youth wings induce children to participate in demonstrations that can turn violent, and the police sometimes respond with excessive force.",1
"466","These are events linked to the ruthless attacks of Boko Haram, but there are also worrying reports of human rights violations committed by the security forces.",1
"467","a) The elimination of in situ bioremediation and long-term inspection;",0
"468","Bin Laden needs to offer a counterweight to Zarqawi&#39;s actions and demonstrate that he can continue to operate in all parts of the world by mounting spectacular attacks in other places, in order to resume the strategic project he had adopted before losing his base in Afghanistan in 2001.",1
"469","Although hostilities had ceased, tensions persisted, and new clashes could not be ruled out.",1
"470","At this point in the discussion of the issues, it was not possible to obtain figures in this regard.",0
"471","One delegation expressed concern that despite the Council&#39;s designation, Ocean Maritime Management vessels were continuing their operations, including calling at foreign ports, and proposed that the Committee remind Member States of their obligation to enforce measures resulting from the designation, in particular by seizing the entity&#39;s vessels and freezing its assets.",0
"472","Encourages [the mission], in accordance with its mandate and without exceeding the authorized strength of civilian police, to continue its efforts to assist the parties to [the peace agreement] to promote the rule of law, restructure police and prisons throughout [the affected country], particularly in the south of the country due to the poor development of police services, and provide assistance in the training of civil police and prison officers.",0
"473","LETTER DATED DECEMBER 9, 1999 ADDRESSED TO THE SECRETARY GENERAL",0
"474",":: Financial reform of the General Secretariat and rationalization of expenses",0
"475","Recognizes the detrimental effects that the proliferation of weapons, particularly small arms, has on the security of civilians by exacerbating armed conflicts, encourages [the Mission] to continue to assist the Government of [the affected area] in relation with the process of disarmament of civilians, in particular by strengthening the capacity of local authorities to prevent conflicts between communities and monitoring initiatives for mandatory disarmament of civilians in order to avoid disarmament operations that could aggravate insecurity in [the affected zone].",0
"476","An analysis of the statements of Al-Qaida leaders shows that their immediate objectives are, through resort to terrorism, to get Western countries to withdraw from the Middle East and other Islamic states and to convince Muslims that they want to attack. to their civilization.",1
"477","Wellcome Trust Dual-Use Bioethics Group at the University of Bradford (United Kingdom), together with the National Academy of Sciences of the United States September 2-4",0
"478","During the conflict, Government soldiers committed a massacre in Monoko-Zohi and Government forces were recently reported to have buried bodies in mass graves in Man and DananÃ©.",1
"479","The Finnish contingent (46) arrived in Kabul on February 11 and 12, 2002 and has been fully operational since February 16, 2002.",0
"480","Which will be held on Thursday, January 18, 2011, at 10:00 a.m.",0
"481","Molybdenum, iodine and xenon radioisotope production facility (MIX facility)",0
"482","64. Since 1950, as a matter of State policy, the Democratic People&#39;s Republic of Korea has been systematically engaging in large-scale kidnapping, denial of repatriation and subsequent enforced disappearance of people from other countries.",1
"483","In the opinion of my delegation, to prevent new outbreaks of violence and instability in the northern region of Kosovo, it remains essential that the reconciliation process is accompanied by policies aimed at guaranteeing the socio-economic stability of the communities in a non-discriminatory manner.",0
"484","I urge donors to explore the possibilities of supporting Sudan&#39;s disarmament, demobilization and reintegration efforts after the referendums.",0
"485","This Agreement has been made in two original copies, in the Serbian and Croatian languages, both being equally authentic.",0
"486","The arguments of the representative of Armenia are especially surprising because he has presented them before the Security Council, which, in 1993, approved four resolutions in which it condemned the use of force against Azerbaijan and the occupation of its territories and demanded its immediate withdrawal, full and unconditional withdrawal of the Armenian occupation forces from all occupied territories of Azerbaijan (resolutions 822 (1993), 853 (1993), 874 (1993) and 884 (1993)).",0
"487","Mr. Saddik had been informed that TNT and some special explosives had been used to direct suspicion towards extremist Islamic groups, as such explosives had only been used in operations carried out in Iraq.",1
"488","UNICEF has also supported the rehabilitation of 28 health structures and is planning to upgrade another 113 health centers throughout the country.",0
"489","12. Reiterates its appreciation to the African Union partners already supporting MISCA, notably the United States of America, France and the European Union (EU), notes with appreciation the technical support provided by the United Nations in accordance with the paragraph 37 of Security Council resolution 2127 (2013) of 5 December 2013, as well as the contributions made by Canada and Luxembourg to the trust fund established by the Secretary-General of the United Nations pursuant to paragraph 43 of the mentioned resolution, and the pledges made by Japan and the United Kingdom of Great Britain and Northern Ireland.",0
"490","The weapons, which were in bags (30 or 40), were left in the care of the weapons custodian on board the US ship and then handed over to the Yemeni authorities.",1
"491","For example, in October and December 2003, JEM attacked Kulbus in Western Darfur, as described above in the document, and looted market shops.",1
"492","Annex to the guidelines of the Committee",0
"493","In 2009, Mauritius introduced a new border control system that records passenger data in a database upon entry or exit from the international airport.",0
"494","233. The Commission recommends that prosecutors have sufficient numbers of specially assigned police and investigation personnel, administrative, translation and investigation personnel, and that they have the necessary logistical support.",0
"495","Cross-border charcoal trafficking has provided a livelihood for Al-Shabaab and allowed it to support its incursions into Kenya.",1
"496","Information is regularly disseminated through brochures, publications and Government websites.",0
"497","To suspect certain people as perpetrators, it is necessary to determine the international crimes for which they could be held responsible.",1
"498","The last complete list (S/2009/10/Add.39) was published on 5 October 2009.",0
"499","The decision to keep secret the names of those suspected of having responsibility for the commission of international crimes in Darfur has three basic reasons. First of all, making known the names of these people would be contrary to the basic principles of respect for due process.",0
"500","b) A press conference held by the Chair of the Committee on 29 September 2009 on the comprehensive review that was to take place shortly thereafter;",0
"501","In The Gambia, opposition groups spoke out against state authorities over a lack of accountability for alleged human rights violations. On 4 November, former Chief of Defense Staff General Lang Tamba and six other defendants appealed to the Supreme Court against the death penalty for conspiracy and treason handed down by the High Court in July 2010 and confirmed by the Court of Appeals in October 2012.",1
"502","f) United Arab Emirates 43 - 44 14",0
"503","Detainees therefore live in almost complete darkness for most of the day and night, and for periods of up to several months.",1
"504","Recognizing the important role that regional and subregional mechanisms play in preventing and responding to potential situations that may lead to genocide, war crimes and crimes against humanity, especially observing the provisions of article 4 h) of the Constitutive Act of the African Union,",0
"505","In other words, victims see attackers as people who belong to a different, hostile group.",1
"506","Date of birth: January 1, 1953",0
"507","Members of the Council have before them document S/2005/745, which contains the text of a letter dated 7 December 2005 addressed to the President of the Security Council from the Chairman of the Security Council Committee established pursuant to the resolution 1521 (2003) relating to Liberia by which the report of the Group of Experts on Liberia is submitted.",0
"508","Furthermore, neither the characteristics nor the flight maneuvers of the planes before the attacks can in any way be interpreted as warning signs, as they were clearly part of the attacks.",1
"509","The OAE states that one of the engineers was reassigned to the project on February 1, 1992, and the other on May 16, 1992.",0
"510","In addition, there are death squads and militias made up of autonomous elements that spread terror and carry out executions and kidnappings of people.",1
"511","It is clear that terrorists will use the most reliable and effective weapons they can obtain.",1
"512","One State reported that it had established a center for interfaith dialogue and had organized and hosted numerous related events.",0
"513","In JelisiÄ, the Appeals Chamber observed that &quot;as regards proof of concrete intention, it is possible to infer it, in the absence of concrete direct evidence, from various facts and circumstances, such as the general context, the perpetration of other systematically negligent acts directed against the same group, the magnitude of the atrocities committed, the systematic victimization of certain people due to their membership in a certain group, or the repetition of destructive and discriminatory acts.",1
"514","Recruiting a second time is in itself a serious violation, but it also deeply undermines the ability of the programs to function and the confidence of children that in the rehabilitation process they will be safe from harassment.",1
"515","MPCI fighters have established themselves in several public places.",1
"516","In September there were violations on both sides, attacks and counterattacks, acts of revenge and reprisals.",1
"517","Other measures contributing to the polarization of the two groups include the 1987-1989 conflict over access to grasslands and water sources between nomadic Arabs and the sedentary Fur.",1
"518","e) Persons operating in the Democratic Republic of the Congo who commit serious violations of international law against children or women in situations of armed conflict, such as murder and mutilation, acts of sexual violence, kidnappings and forced displacement;",1
