"","ar_en_TRANSFORMERS","VerConf"
"357","Some two years after the last briefing on the situation in the Great Lakes region (areas affected by the activities of the Lord &apos; s Resistance Army), the Council held a private meeting on 21 July 2011 to discuss the continuing threat posed by that army to regional security.",1
"358","The dissident group of parliamentarians rejected the Garowe process and put forward a proposal for the date of the presidential election from July to 30 April this year.",1
"359","Mr. Lloyd George Williams (Saint Kitts and Nevis)",0
"360","""The Security Council stresses that Member States in the post-conflict phase should address in their national strategies, in consultation with, inter alia, civil society and its women's organizations, the specific needs and priorities of women and girls in order to improve their economic and social conditions and their participation in income-generating activities and their access to education and basic services.",0
"361","""The Security Council reiterates its equally strong condemnation of all violations of applicable international law with regard to the recruitment, use, re-recruitment, killing, maiming and rape of children by parties to armed conflict, as well as all other acts of sexual violence, abductions and attacks against schools or hospitals and the denial of humanitarian access by those parties.",1
"362","We urge Israel to take further action to remove settlement outposts in accordance with the road map and to address the growing threat posed by settler extremism.",1
"363","The team asked the person who was on the site a number of questions about the return of the site, how the water was being filtered and the use of chlorine in sterilization.",0
"364","My delegation strongly condemns those acts of violence and extends its condolences to the family of the deceased pediatrician.",1
"365","10. Calls upon all States, as a further means of countering that threat, to take cooperative action in accordance with their national legal authorities and legislation and consistent with international law, to prevent illicit trafficking in nuclear, chemical or biological weapons, their means of delivery and related materials;",1
"366","27. The popularity of F-FDTL has declined significantly, particularly by the veterans &apos; organizations that came into existence in 2001.",1
"367","I have also selected Mr. Vines as Chairman of the Group of Experts.",0
"368","(d) In subparagraphs (a), (b) and (c)",0
"369","Uganda &apos; s only concern and unequivocal demand remains that LRA terrorists be immediately disarmed, arrested and brought to justice.",1
"370","The reasons cited for the lack of action in those cases were the failure of the victims to present the Commission, the absence of witnesses and the failure of the victims to request a medical examination or to submit a special report of an examination previously carried out by a competent authority.",0
"371","While Pristina and Belgrade strongly condemned the incident and demanded the arrest of the perpetrators, each side claimed that the other was responsible for provoking the incident.",1
"372","Stronger groups may refocus their efforts on their own or other countries, if Afghanistan becomes less attractive in terms of their objectives.",0
"373","Other daily newspapers, such as Fratirneti Matan and Notre Voix, close to the FPI party, publish the language of a national discourse inciting the all-out war.",0
"374","In order to facilitate the Council &apos; s deliberations on the establishment, change or termination of peacekeeping operations, due consideration, as appropriate, of issues relating to the protection of civilians, the members of the Council proposed that a note containing a list of issues of importance be drafted, in close cooperation with the Council.",0
"375","Al-Qaida terrorism currently consists of three distinct but interrelated groups: one, composed of the old leadership, whose names are well known; the second, of combatants trained in and graduated from the camps in Afghanistan as experienced terrorists; and the third, of a growing new generation of supporters who may never have left their countries of residence but who have embraced the essential elements of the Al-Qaida message.",0
"376","They are under real pressure from the international community and any contact between them and a second party endangering their security.",1
"377","Statement by the President of the Security Council",0
"378","Eritrea &apos; s decision to restrict all types of UNMEE helicopter flights within Eritrean airspace, as confirmed in these briefings, seriously impedes UNMEE &apos; s ability to implement its monitoring mandate, as called for by the parties to the Agreement on Cessation of Hostilities of 18 June 2000 and authorized by the Security Council in its resolutions 1312 (2000) and 1320 (2000).",1
"379","Let us speak frankly: these reports from the press, human rights groups and civilians on the ground raise serious concerns about the nature and scope of the conflict.",1
"380","18. The situation in the occupied Arab territories.",0
"381","""The Security Council recognizes the important achievements made in the fight against terrorism, also recognizes the continuing general gaps in the fight against this scourge, urges all Member States and the United Nations system to address them, and stresses the need to ensure that the fight against terrorism remains a priority on the international agenda.",0
"382","Humanitarian aid workers were often harassed and assaulted during banditry incidents.",0
"383","Affirms its complete readiness to impose measures directed against persons...",1
"384","That is unacceptable and must be fully condemned, especially by the Security Council, using the means at its disposal.",1
"385","It is my understanding that the Security Council is ready to proceed to the vote on the draft resolution before it.",0
"386","It is not unlikely that criminal activities will be linked to one another, thereby fuelling terrorism in Africa and criminal acts that are taking place in other regions of the world.",1
"387","Mr. Yuvan booked the rooms under the name ""Lon Star Airlines.""",0
"388","The employment of members of minorities in the public sector was 55 per cent of the minimum required.",0
"389","During these arrests, the victims were often subjected to terrible ill-treatment, theft of their property and looting of their homes, and in some cases were executed without trial.",0
"390","However, I remain concerned about the continued restrictions on the freedom of movement of United Nations military observers seeking to visit the contingents, premises and bunkers of the parties for verification purposes.",1
"391","Disarmament, demobilization, resettlement or repatriation, as appropriate, and permanent reintegration of [national] and foreign armed groups in order to achieve long-term stability in [the affected country], as well as the important contribution of international partners in this area.",0
"392","States have made significant progress in establishing anti-money-laundering/counter-financing of terrorism regimes, but more regional cooperation is needed in practice.",0
"393","""The Security Council reiterates its readiness to impose sanctions, in accordance with its relevant resolutions, on individuals and entities providing shelter, financing, facilities, support, organization or training to groups or individuals or inciting them to commit acts of violence or terrorist acts against other States or their citizens in Somalia or in the region, as well as on other regional networks and on groups, undertakings, entities and individuals who have not severed all links with Al-Qaida and associated groups, including Al-Qaida in the Islamic Maghreb, the Movement for Unity and Jihad in West Africa and the Ansar Dine Movement, in accordance with resolution 2083 (2012).",1
"394","The Council should call for an immediate cessation of all military operations in Gaza and the withdrawal of the Israeli occupying forces from the area.",1
"395","Another person (also on the list) was acquitted of all charges.",0
"396","The Security Council adopted its resolution 2042 (2012) on 14 April 2012, which took note of the Syrian Government &apos; s commitment to the plan of the United Nations Special Envoy, Mr. Annan, and stressed the need for its prompt, comprehensive and immediate implementation in all its components. It also called on all parties in Syria, including the opposition, to immediately cease armed violence in all its forms. It also expressed the intention to immediately establish, after consultation between the Secretary-General and the Syrian Government, a United Nations observer mission in Syria to monitor the cessation of armed violence in all its forms by all parties.",1
"397","The multi-ethnic nature of Kosovo and Metohija, which is described in the report, has been ignored, and the judicial system that has been established in Kosovo and Metohija is most evident from this disregard (para. 57).",1
"398","The Prosecutor expressed her concern about the unresolved issues regarding individuals detained in Libya and the mass displacement of Tawerghians.",1
"399","The two Governments are key partners of the Commission in its efforts to make the system more effective and risk-focused, and have presented many useful proposals and provided the Panel with detailed information on the latest developments.",0
"400","Expenditures incurred during the 12-month period ended 31 December 2006 (in thousands of United States dollars) were as follows:",0
"401","11. The criterion for listing is ""to join the Taliban in threatening peace, stability and security in Afghanistan,"" as set out in paragraphs 2 and 3 of resolution 2160 (2014).",1
"402","The officers were provided with the details of the registration of the aircraft and confirmed that they would investigate the matter and return answers to the Panel.",0
"403","The evidence before the Committee demonstrates the involvement of Member of Parliament Leandro Yitzhak to some extent in the incident, as a result of which an officer of the national police force was killed and two FDN soldiers were injured.",0
"404","We are deeply concerned that the ad hoc process developed for this purpose has failed.",1
"405","paras. 28-31, 57; paras. 45-49, 53-55; paras. 45-48",0
"406","The general terms of reference are set out in the annex entitled ""The summary of general terms of reference"" (""the summary"").",0
"407","(h) To participate actively in and support all activities undertaken within the framework of the implementation of the United Nations Global Counter-Terrorism Strategy, including within the Counter-Terrorism Implementation Task Force, which was established to ensure overall coordination and coherence in the counter-terrorism efforts of the United Nations system, in particular through its relevant working groups;",0
"408","We regard Armenia &apos; s position as an open and direct challenge to the conflict settlement process and a serious threat to international and regional peace and security.",1
"409","19. Condemns in the strongest terms all acts of sexual and other forms of violence against civilians in armed conflict, in particular against women and children, and undertakes to ensure that all peace support operations apply all possible measures to prevent such acts of violence and to address their impact wherever they occur;",1
"410","""The Security Council reiterates its strong condemnation of all violations of applicable international law committed against women and girls in armed conflict and post-conflict situations, including sexual and gender-based violence, killing and maiming, and urges all parties to cease these acts fully and with immediate effect.",1
"411","In the medium term, the focus will be on monitoring mining areas, eliminating the threat posed by Ituri armed groups and restricting the presence of FDLR in certain areas in view of the disarmament, demobilization, repatriation, reintegration and rehabilitation process.",1
"412","19. The situation in the Central African Republic (6 August 1997; 28 June 2010).",0
"413","(j) Providing sustained donor support to DIS;",0
"414","The movement of passengers from Somalia to Wilson Airport is very limited.",0
"415","It is therefore largely concerned with aspects with social contexts that may lead to the spread of terrorism.",1
"416","International partners and human rights defenders unanimously condemned the Government &apos; s decision to expel the Director of the United Nations Joint Human Rights Office following the publication of the Human Rights Report on alleged violations committed by the police during Operation Likovi.",1
"417","Like the other speakers who spoke before us, and in line with the statement made by High Representative Ashton, we condemn the work that led to the death of Mr. Dzikovic and the wounding of several others during the protests in northern Mitrovica on 2 July.",1
"418","I also refer to Chad and Guinea as early warning, where the deterioration of humanitarian conditions may have an impact on stability in the region.",1
"419","(Summit resolution 418, 20th ordinary session, 30 March 2008)",0
"420","The second reason is once again to call upon the Security Council to take urgent and necessary action to stop the bloodshed in Syria.",1
"421","It is therefore important for States not to lose sight of this element of the embargo, and the Committee may wish to remind them of this when the opportunity arises and encourage them to submit the names of those providing technical advice, assistance or training related to military activities in violation of the prohibitions measures for inclusion in the List.",1
"422","5. My recent visit to the Sahel confirmed my belief in the importance of considering issues of peace and security, development and human rights in an interrelated manner.",0
"423","On 29 April, one of the two SAF Mi-24 helicopters in the area fell 15 to 20 kilometres from the village of Umm Rai.",0
"424","The Mechanism shall have two branches, one for the International Criminal Tribunal for the Former Yugoslavia and the other for the International Criminal Tribunal for Rwanda, respectively.",0
"425","Although the pilot phase focuses on a limited set of situations, its success is crucial to the broader durable solutions agenda.",0
"426","""The Security Council, however, strongly condemns the continued recruitment and use of children in armed conflict in violation of applicable international law, the killing and maiming of children, rape and other forms of sexual violence, abduction, denial of access to humanitarian assistance to children and attacks on schools and hospitals by parties to armed conflict.",1
"427","However, the Land Production Division did not respond to these requests.",0
"428","34. The Government of Nepal has made some progress towards fulfilling its commitments under the Comprehensive Peace Agreement to ensure the rehabilitation of children formerly associated with armed forces and groups.",0
"429","4. Syria affirms its unequivocal rejection of any attempt to link a particular religion with terrorism and affirms that terrorism has no faith, culture or religion in conformity with international conventions and the legitimacy of human rights and the principles and purposes of the Charter.",0
"430","We condemn all ethnically motivated acts and crimes committed in Kosovo.",1
"431","CÃ´te d &apos; Ivoire &apos; s diamond exports may infiltrate the Kimberley Process import chain, posing a threat to the Kimberley Process Certification Scheme.",1
"432","The Group considers that Al-Qaida continues to be a threat to Al-Qaida, as a group of affiliated elements with Al-Qaida have developed weak links, and individuals and independent extremist cells guided by Al-Qaida ideology have emerged.",1
"433","Unfortunately, such warnings have not been followed.",1
"434","In its resolution 2122 (2013), the Council expressed concern at the increasing vulnerability of women in armed conflict and post-conflict situations, in particular with regard to forced displacement as a result of unequal citizenship rights, gender-biased application of asylum laws and obstacles often encountered in recording their data and obtaining identity documents.",1
"435","2. The situation in Chad, the Central African Republic and the subregion",0
"436","At the same time, other key elements of this institution-building process are strengthening the rule of law by increasing the effectiveness, integrity and overall functioning of the judiciary, strengthening law enforcement institutions to reduce organized crime and ethnic violence and bringing all criminals to justice.",1
"437","(b) A multi-departmental review process;",0
"438","Condemning also in the strongest terms incitement to terrorist acts and deploring attempts to justify or glorify (the creation of excuses) terrorist acts that may incite further such acts,",1
"439","Original: English General Assembly",0
"440","Azerbaijan is deeply concerned about the continuation of illegal settlement activities in the Occupied Palestinian Territory.",1
"441","The Commission has also established that the Government armed forces, the State Security Service and military intelligence are responsible for the unlawful detention and detention of civilians.",1
"442","""The Council expresses deep concern at reports of an unusual and sudden influx of thousands of Misseriya to Abyei town and surrounding areas, which could bring about significant changes in the ethnic fabric of the region.",1
"443","95. The Group of Experts had access to records from El Fasher, Nyala and El Geneina airports in Darfur and Khartoum International Airport, covering various periods within the Group &apos; s mandate.",0
"444","Moreover, the gap between President Gbagbo &apos; s position and his ruling party, on the one hand, and those of opposition forces, on the other, remains acute.",1
"445","This key remaining provision of the resolution has not yet been implemented, which amounts to a reaffirmation of the decision of all Lebanese to abide by it in the 1989 Taif Agreement following the civil war.",1
"446","Northern Darfur: 68 per cent;",0
"447","""The Security Council recalls all its resolutions and statements on the fight against terrorism, reiterates its strong condemnation of terrorism in all its forms and manifestations, committed by whomever, wherever and for whatever purposes, and expresses its determination to use all means to combat terrorism in all its forms and manifestations, in accordance with the Charter of the United Nations and international law, including international human rights, refugee rights and humanitarian law, as appropriate.",1
"448","18. Gulbuddin Hekmatyar (QI.H.88.03) is essentially a threat to peace and security in Afghanistan.",1
"449","To be held on Wednesday, 26 October 2011, at 10 a.m.",0
"450","To be held on Wednesday, 20 July 2011, at 10 a.m.",0
"451","The adoption of a presidential statement calling, inter alia, for a reaffirmation of international solidarity in the fight against terrorism and urging Member States to show greater vigour in their efforts to combat terrorism.",0
"452","He was not satisfied with his remarks on the crime scene, but hoped that the situation would improve the following day, since responsibilities had been distributed at the earlier meeting.",1
"453","This amount includes (a) USD 5,118 (ITL 5,933,824) for office costs, (b) USD 10,328 (ITL 11,973,737) for loss of maintenance of equipment, (c) USD 11,757 (ITL 13,629,252), for customs charges and (d) USD 15,565 (ITL 18,043,960) for security deposits.",0
"454","I must, with great concern, inform you of the escalation of criminal acts and attacks against United Nations and humanitarian personnel.",1
"455","Rigorous radicalization may continue to exist in areas in the east.",0
"456","We are also concerned about the re-emergence of cholera, although the mortality rate appears to be declining slowly.",1
"457","There is no infrastructure or equipment to inspect the goods.",0
"458","5. Majbal Nuri Zaheer - he has an identity card",0
"459","They looked forward to welcoming East Timor to the United Nations.",0
"460","Claimants holding Syrian travel documents",0
"461","Calling upon all States to work together urgently to prevent and eliminate terrorist acts, including through increased cooperation and full implementation of the relevant international conventions on terrorism,",0
"462","Last Sunday, on the occasion of the 21st anniversary of Hamas, Hamas leader Haniyah refused to remain in office until the internal division was resolved.",1
"463","However, some States &apos; definitions of terrorism seemed too vague or broad, and should be harmonized with international norms.",1
"464","However, it is unacceptable that Israel invokes its legitimate security concerns as justification for imposing measures that affect an entire people in an indiscriminate manner and in violation of international humanitarian law.",1
"465","In that regard, we would like to go further since then to say that we believe that the only way to improve security and stability in Somalia is to enable the Somali security forces to subdue the most notorious rebels and to enable the Government to expand its areas of authority as far as possible if peace negotiations fail.",1
"466","The Committee is therefore of the view that such acts may constitute crimes against humanity.",1
"467","Convinced that it is not acceptable, in principle, for anyone anywhere to escape responsibility for a terrorist act for any reason whatsoever, including as a result of obstructing the investigation or failing to cooperate sincerely with it,",1
"468","The rationale for the Panel &apos; s decision is explained in paragraphs 63-65 below.",0
"469",":: Conditions for entry and stay of aliens",0
"470","3. In essence, terrorism opposes the fundamental values of humanity enshrined in the Charter of the United Nations and fundamental human rights documents.",1
"471","The Armenian side &apos; s arguments are particularly surprising in that it mentioned in the Security Council, which in 1993 adopted a series of four resolutions condemning the use of force against Azerbaijan and the occupation of its territory, and calling on the Armenian occupying forces to withdraw immediately, completely and unconditionally from all occupied territories in Azerbaijan (resolutions 822 (1993), 853 (1993), 874 (1993) and 884 (1993)).",1
"472","Over the past month, the number of conflict-affected personnel in the Darfur crisis has continued to rise with the registration of an additional 62,000 internally displaced persons.",1
"473","Others referred to the risks of increased migratory flows, extremist movements and the activation of international terrorist networks in the heart of Europe, although they confirmed that no direct threats to their territory had been detected.",1
"474","The Council of the League of Arab States at ministerial level,",0
"475","Just last month, in a statement dated 27 May 2011, Secretary-General Ban Ki-moon expressed his belief that ""assistance and goods destined for Gaza should be transported through legitimate crossings and existing channels,"" and explained that these fleets ""can be a source of violent conflict.""",0
"476","Journal Jorna: journalist Fausto Beloslavo -- 28 December 2011",0
"477","The rest used public or private transport.",0
"478",") The State party became the one hundred eighty-sixth on 12 February 2009,",0
"479","Determining that the situation in Somalia continues to constitute a threat to international peace and security in the region,",1
"480","In the context of those conditions of massive disparities and political, economic and social marginalization, a process has emerged that seeks to change the prevailing system, seek to bring about economic and political changes and create alternatives that allow participation and open new spaces and means of expression, including in short demands on fundamental rights.",1
"481","In the Baghdad area, there were a limited number of documents and a few computers in selected government facilities such as the Presidential Office.",0
"482","Following the above, on 15 May 2012, the President of the Republic issued Executive Decree PCM 014-2012 in the Council of Ministers, article 1 of which states that the official map issued by the Republic of Honduras, together with the limits specified in the system of territorial administration, shows that the municipalities located on the land border with the Republic of El Salvador, including: Ocotepeque, Sinwaba and Mercedes in the department of Ocotepeque; Kololaca, GuaretÃ¡, San Juan GuaretÃ¡, Piadolid, Labertod, Mapulaca, PeriÃ±a and Piraira in the department of Lemeira; San Antonio, Santa Lucia, Magdalena and Colomuncagua in the department of Intebuka; Santa Elena, Yarola, Morcala, Cabanias, Santa Ana Ana, Obatoro, Mercedes Oriental and San Antonio Norte, in the department of La Paz; Karidad, Aracena, Guascoran and Alianza in the province of Bali.",0
"483","18. The situation in the Central African Republic (6 August 1997; 6 June 2012).",0
"484","""The Security Council expresses its deep concern that the continuing instability and worsening security vacuum in the Central African Republic continue to have a negative impact on operations against the Lord's Resistance Army and contribute to the strengthening of the status of that army in the country.",1
"485","171. The fruit plant at the port of Abidjan is clearly a strategic site for unloading shipments of military goods and equipment and requires further monitoring by UNOCI.",1
"486","None of the States of the region has reviewed the activities of the non-profit business sector or assessed the risks of its use in the financing of terrorism.",1
"487","""The Security Council unequivocally condemns the terrorist attacks that took place in Marab, Republic of Yemen, on 2 July 2007, and expresses its deepest sympathy and condolences to the victims of these attacks and their families and to my people, the Governments of the Republic of Yemen and the Kingdom of Spain.",1
"488","However, we are concerned that acts of violence can cause a part of the population to remain away from polling sites in the south and elsewhere.",1
"489","However, the available information does not provide a clear picture of the status of implementation of aviation, maritime or cargo security measures, border controls or implementation programmes undertaken to ensure that small arms do not fall into the hands of unauthorized persons.",1
"490","In this context, the European Union reminds Israel of its obligation to ensure full and safe access for humanitarian organizations, including the United Nations Relief and Works Agency for Palestine Refugees in the Near East.",1
"491","He also stressed the risk of conflict escalating with the resumption of the migration season, elections and the lack of dialogue.",1
"492","Following the consultations, the President of the Council made a statement to the press, in which the members of the Council called on the Ivorian authorities and all parties concerned to put an end to the obstacles to the freedom of movement of the impartial forces and urged all parties to exercise responsibility and restraint so that the next electoral campaign could be conducted in a secure and planned atmosphere.",0
"493","The changing environment in Afghanistan raises questions about the Central Asian groups currently operating there, such as Ansarullah (not listed), the Tajik ethnic dissident of the Islamic Movement of Uzbekistan (QE.I.10.01).",1
"494","""The Security Council expresses its deep concern at the consequences of the refugee crisis caused by the conflict in Syria, which threatens stability in the entire region.",1
"495","Since 13 July 2010, Iran has been feeding low enriched uranium hexafluoride into the two cascades connected to each other (Classes 1 and 6).",0
"496","However, the number of beneficiaries of this facility is unknown.",0
"497","IV. Joint Border Verification and Monitoring Mechanism",0
"498","Their sacrifice will not be futile.",0
"499","Notes that a series of measures by the international community is needed to share the burden on African refugee-hosting States and to support their efforts to ensure the security and civilian and humanitarian character of refugee camps and settlements, including in the areas of law enforcement, disarmament of armed elements, reduction of the flow of arms to refugee camps and settlements, and the separation of refugees from other persons who do not meet international protection requirements granted to refugees or who otherwise do not require international protection and the demobilization and reintegration of former combatants.",0
"500","20. Since my report (see S/2007/619, para. 25), the Royal Moroccan Army has continued to report a large number of alleged violations of military agreement No. 1 by the Frente POLISARIO concerning the presence of persons and vehicles in the buffer strip.",1
"501","The continuing plight and suffering of the Palestinian people continue to be a tragic reflection of the consequences of the refusal to implement Security Council resolutions and the failure of the Security Council to enforce its resolutions.",1
"502","20. Condemns equally strongly all acts of sexual exploitation and abuse of and trafficking in women and children by military, police and civilian personnel involved in United Nations operations, welcomes the efforts of United Nations agencies and peacekeeping operations to implement a zero-tolerance policy in this regard, and requests the Secretary-General and personnel-contributing countries to continue to take all appropriate action to address attacks by such personnel, including through the full implementation without delay of the measures adopted in the relevant General Assembly resolutions based on the recommendations contained in the report of the Special Committee on Peacekeeping Operations, A/59/19/Rev.1;",1
"503","107. On 24 July 2005, this agreement was violated because FACI had prepared its Mi-24P for military operations in response to an alleged attack on Anyama.",1
"504","The 12 December Agreement also provides for the release and repatriation of prisoners of war without delay, as well as all other persons detained in connection with the armed conflict.",0
"505","However, it is also clear that the F-FDTL leadership has taken limited steps to verify the threat posed by that attack or to use non-military methods to put an end to the perceived danger; on 25 May, the F-FDTL senior command did not attempt to contact those responsible for the operational command of the national police forces, or to engage the Prime Minister or the President of the Republic in resolving this issue.",1
"506","I regret this disappointing conclusion, which stands in stark contrast to the strong political will and commitment of Member States to provide military capabilities in the fight against piracy.",1
"507","Press release of the Tripartite Commission: Baden Conference",0
"508","Expenditure for cancellation of Release III - USD 195,672 (35)",0
"509","17. The situation in the Great Lakes region (1 November 1996; 9 November 2009).",0
"510","Most Governments also seem to be strongly committed to ensuring that law enforcement agencies respect human rights, although serious concerns have been raised in some cases about violations by security forces.",1
"511","Members of the Council expressed their deep concern at reports of renewed fighting and its humanitarian consequences.",1
"512","""The Security Council condemns the deaths of innocent civilians and human rights violations in the eastern Democratic Republic of the Congo and calls for a full investigation into these incidents.",1
"513","The number of people placed in centres for treatment or for additional food is slowly decreasing, although malnutrition rates remain high in some locations.",0
"514","271. The Commission found that while all parties involved in the conflict committed crimes against the civilian population, the Government of the Sudan and the Janjaweed bear responsibility for the vast majority of the deliberate killings of civilians committed during the conflict in Darfur.",1
"515","21. Items and equipment for skiing, golf, diving and aquaculture",0
"516","This movement, which began with less than 100 civilians, has increased dramatically until it covered the entire country and gained the support of the people.",0
"517","The United Nations 10-year capacity-building plan was the right approach in this context.",0
"518","With regard to further cooperation, it was suggested that the impact of the INTERPOL network should be increased through, for example, regional mechanisms for the exchange of information with law enforcement officials, as well as enhanced guidance on implementation.",0
"519","Four States have adequately criminalized the financing of terrorism, while three have never done so.",1
"520","III. Implementation of the mandate of the Office",0
"521","In short, the tasks identified by ECOWAS for itself include:",0
"522","Stressing that sanctions under the Charter of the United Nations constitute an important instrument in the maintenance and restoration of international peace and security, and stressing in this regard the need for strict implementation of the measures contained in paragraph 1 of this resolution as an important tool in the fight against terrorist activities,",1
"523","The officers replied that 'it' was all anyway, and they started to sabotage the house.",0
"524","Jordanian journalist Ma &apos; ad Al-Butush -- 25 February 2012",0
"525","The report mentions a number of incidents, particularly in the security sector, which are of serious concern.",1
"526","The French authorities are deeply concerned about the continued deterioration of the situation in the northern Gaza Strip during the past week.",1
"527","Preventing illegal border crossing is vital in addressing terrorism, drug trafficking and commercial smuggling.",1
"528","As long as States do not impose a travel ban on listed individuals, they will consider that circumventing the travel ban carries little risk.",0
"529","(a) Refrain from providing any form of support, explicit or secure, to entities or persons involved in terrorist acts, including by putting an end to the recruitment of members of terrorist groups and preventing the supply of weapons to terrorists;",1
"530","To be held on Tuesday, 14 October, at 10 a.m.",0
"531","It also refers to the growing problem in Afghanistan, the Afghanistan-Pakistan border area and the continuing threat in North Africa, without any decline in activity elsewhere.",1
"532","Clearly, the Executive Directorate should continue its efforts to achieve those goals.",0
"533","To be held on Monday, 22 December 2008, at 11.53 a.m.",0
"534","Convention on Early Notification of a Nuclear Accident.",0
"535","Report of the Secretary-General on the situation in Somalia",0
"536","The Council underlines its readiness to take action against any party that seeks to undermine the peace process by any means, in particular by failing to observe this cessation of hostilities or obstructing talks, peacekeeping operations or the provision of humanitarian assistance.",1
"537","Demands that all armed groups, in particular elements of [the specific armed group], prevent the recruitment and use of children, further demands that all parties provide protection to children who have been released or otherwise separated from armed forces and armed groups and consider them victims, and stresses the need to pay particular attention to the protection, release and reintegration of all children associated with armed groups;",1
"538","Noting with concern the continuing threat to international peace and security posed by Al-Qaida, Usama bin Laden and the Taliban and other individuals, groups, undertakings and entities associated with them, and reaffirming its determination to address all aspects of that threat,",1
"539","C. Launching of the Arusha branch",0
"540","However, in some areas, sectarian tensions remained high, fuelling many attacks.",0
"541","We are concerned, however, by recent developments, with further tensions between community members and ISAF forces.",1
"542","However, the Operation has also demonstrated the magnitude of the challenges that Liberia &apos; s security sector continues to face, particularly with regard to logistics, communications and the mobility of the police and the Immigration Service.",1
"543","The Central Organ firmly supports the efforts of the countries of the region to address the situation in Anjouan.",0
"544","(b) The Organization &apos; s accounts are maintained on a fund accounting basis.",0
"545","These include avoiding the use of language suggesting acceptance of al-Qa'idah claims on religious grounds; the Panel continues to consider that the use of religious expressions by non-Muslim commentators and politicians when describing al-Qa'idah, however appropriate, familiar or in good faith, makes it more difficult to refute its message and isolate it from the target audience.",1
"546","Rather, they insist on treating the case as a secondary immigration offence.",1
"547","I urge Lebanese leaders to resume and accelerate their discussions on the development of a national defence strategy and to make concrete progress in that regard; the final outcome of this process must be that there will be no weapons without the consent of the Government of Lebanon and no authority other than that of the Government of Lebanon.",1
"548","Regulation on the Transport of Dangerous Substances by Road, 2001",0
"549","The United Nations counter-terrorism bodies should therefore address those shortcomings more seriously and with dedication.",1
"550","A transformation of the Mission &apos; s force alone will not lead to the changes needed to implement its mandate more effectively; this must include a change in the behaviour of some troop-contributing countries.",1
"551","FARDC has also successfully removed FDLR from some mining areas in Walikale, Lubero and Shabunda.",0
"552","On the basis of the foregoing, the Ministry of Foreign Affairs of Georgia considers that the withdrawal of the Russian Federation from the decision of the Council of Heads of State of the Commonwealth of Independent States of 19 January 1996 poses a serious threat to instability, significantly changes the situation surrounding the conflict and undermines the legal framework, which defines the peace formula established by the Commonwealth for the conflict zone.",1
"553","The Uganda People &apos; s Defence Force (UPDF) repelled them and advanced to seize the entire city of Bunia.",0
"554","We should not underestimate the threat posed by the destabilizing activities of Al-Qaida and the Taliban in Afghanistan.",1
"555","Kenya, Mozambique, Seychelles and the United Republic of Tanzania have been or are being provided with coastal maritime surveillance and communication systems to provide a ""common image"" of the maritime area.",0
"556","""The Council notes with concern the challenges in the area of social and economic development, as there is a marked deterioration in the living standards of the vast majority of Haitians.",1
"557","Although these contacts were constructive, direct negotiations without preconditions, in which the parties are expected to submit proposals for land and security within 90 days, have not yet taken place.",1
"558","It will seek to be technical and operational through the integration of specific expertise.",0
"559","The network has not been able to fully document these cases because they are prohibited and prosecuted by regime forces and extremist groups.",0
"560","He called for special attention to be paid to the large number of elections to be held in the region until 2013, which, although a welcome development, had the potential to create tensions leading to renewed violence and instability.",0
"561","According to the latest available information, 35 internally displaced persons were killed in this incident and 10 were injured, and 4,000 internally displaced persons and villagers were forced to flee.",0
"562","Although the overall security situation has also remained calm and peaceful since Timor-Leste formally assumed full responsibility for security on 20 May, smuggling, trafficking and illegal border crossing should be seen as a cause for concern, as well as tensions related to the demonstrations that took place in Dili last July.",1
"563","""The Security Council expresses its sincere appreciation to the President and the Prosecutor of the Special Court for Sierra Leone for their briefing to the Security Council on 9 October 2008.",0
"564","In addition, Israeli air violations of the Blue Line, in direct violation of resolution 1701 (2006), continued on a regular basis.",1
"565","The village attacked some 3,000 Janjaweed on the appearance of horses, some of whom were in vehicles.",0
"566","Report of the Secretary-General on the situation in Somalia (S/2004/115 and Corr.1)",0
"567","This system will help to remove confusion that is sometimes produced (because of the similarity of names) when States refer to Al-Qaida entries on the list on the basis of their number at that time, since this figure is allocated on the basis of the alphabetical order of the list and can change with each addition or deletion.",0
"568","We also fenced 25 kilometres of borders and placed flashlights and video cameras at border crossings.",0
"569","22. While joint operations against both the Alliance des patriotes pour la Congo libre et sÃ©ministe and the NDC continue to take place in North Kivu, MONUC continues to play a role in LRA-affected areas in Orientale Province.",0
"570","""The Security Council reiterates its concern at the increasing link, in many cases, between terrorism, transnational organized crime, illicit drugs, money-laundering and illicit arms trafficking, stresses the need to strengthen coordination of efforts at the national, subregional, regional and international levels in order to strengthen a global response to the serious challenge and threat to international peace and security, and encourages the United Nations Office on Drugs and Crime to continue its work in this regard in cooperation with other relevant United Nations entities.",1
"571","Condemns in the strongest terms all acts of sexual and other forms of violence against civilians in armed conflict, in particular against women and children, and undertakes to ensure that all peace support operations apply all possible measures to prevent such acts of violence and to address their impact wherever they occur.",1
"572","Azerbaijan &apos; s refusal to engage in direct negotiations with the elected representatives of Nagorny Karabakh is one of the main obstacles to resolving the conflict referred to by the representative of Azerbaijan.",1
"573","3. Decides to remain seized of the matter.",0
"574","Mr. Yousef Fahd Ahmed Al-Sirhan, Jordan (Maritime)",0
