"","en_es_DEEP","VerConf"
"361","Aunque la Comisión no acepta que en la reunión del 8 de mayo el ex Primer Ministro dio instrucciones a Rai Los para ""eliminar"" a sus oponentes políticos, sobre la base de toda la información de que dispone, la Comisión está convencida de que existe una sospecha razonable que el ex Primer Ministro al menos tenía conocimiento de la distribución de armas de la PNTL a civiles.",1
"362","El asedio debe levantarse inmediatamente para permitir que la población civil de Gaza tenga acceso al agua, al empleo, al comercio, al tratamiento médico y a la educación, esencialmente, acceso a sus necesidades básicas.",1
"363","III. MARCO JURÍDICO 15-41 7",0
"364","Sin embargo, hay dos niveles de tribunales: los tribunales de distrito (en Dili, Baucau, Suai y Oecussi) y el Tribunal de Apelaciones (que tiene el mandato de ejercer también las funciones del Tribunal Supremo en espera de su establecimiento).",0
"365","""El Consejo de Seguridad subraya que la RCD-Goma deberá rendir cuentas de cualquier ejecución extrajudicial, incluso entre miembros de la sociedad civil o detenidos en los centros de detención de la RCD en Kisangani.",1
"366","Es significativo que algunos Estados hayan comenzado recientemente a revisar o hayan puesto fin a los estados de emergencia.",0
"367","Reforma del sector de seguridad Reitera la importancia de aumentar, en un marco integral, la funcionalidad, el profesionalismo y la rendición de cuentas del sector de seguridad [del país afectado] a través de procedimientos apropiados de investigación, capacitación, tutoría, equipamiento y esfuerzos de empoderamiento, tanto para mujeres como para hombres, a fin de acelerar el progreso hacia el objetivo de que las fuerzas de seguridad [del país afectado] sean autosuficientes y étnicamente equilibradas proporcionando seguridad y garantizando el estado de derecho en todo el país.",0
"368","Si bien nos complace observar que se han registrado unos 10 millones de votantes afganos, nos sigue preocupando que no se haya registrado un registro suficiente en las zonas sur y sudeste del Afganistán, principalmente por motivos de seguridad.",1
"369","Se toma nota de la preocupación por la aplicación del comunicado conjunto de 2 de abril de 2009, al que se alude en el informe.",1
"370","Nos preocupa la falta de libertades políticas allí.",1
"371","Las nuevas regulaciones que se están redactando de acuerdo con la Posición Común prohibirán la adquisición de la República Islámica del Irán de los artículos y tecnologías enumerados en su anexo I (que incluirá los artículos y tecnologías mencionados en este párrafo de la resolución), incluso originarios de la República Islámica del Irán.",0
"372","Por nuestra parte, vinculamos la cuestión de la legitimidad directamente con la celebración de las elecciones, cuyos preparativos están en marcha en el Órgano Conjunto de Gestión Electoral.",1
"373","Como deja claro el informe del Secretario General (S/2004/634), abordar el problema es un desafío enorme.",1
"374","Informe del Secretario General sobre Darfur (S/2006/591 y Add.1).",0
"375","""El Consejo de Seguridad observa con preocupación que el terrorismo sigue planteando una grave amenaza a la paz y la seguridad internacionales, el disfrute de los derechos humanos y el desarrollo social y económico de los Estados, y socava la estabilidad y la prosperidad mundiales; que esta amenaza se ha vuelto más difusa, con un aumento, en diversas regiones del mundo, de los actos terroristas, incluidos los motivados por la intolerancia y el extremismo, y reafirma su determinación de combatirlos por todos los medios, de conformidad con la Carta de las Naciones Unidas y el derecho internacional, incluidos los derechos humanos internacionales aplicables, derecho humanitario y de refugiados, amenazas a la paz y la seguridad internacionales causadas por actos terroristas.",1
"376","Acojo con satisfacción los esfuerzos de los Estados para garantizar que los sospechosos reciban un juicio justo y que sus condiciones de encarcelamiento sean humanas y seguras, de conformidad con las normas internacionales de derechos humanos.",0
"377","Uganda cree que poner fin a la impunidad es el único elemento disuasorio creíble contra los crímenes que preocupan más gravemente a la comunidad internacional.",1
"378","D. Costos de preparación de reclamaciones 119 - 120 42",0
"379","El Fiscal expresó su preocupación por las cuestiones no resueltas relativas a las personas detenidas en Libia y el desplazamiento masivo de los tawerghanos.",1
"380","En conclusión, los desafíos que enfrenta el Afganistán son enormes, pero estamos logrando avances.",1
"381","Hidrazina (CAS 302-01-2) con una concentración superior al 70%;",0
"382","S/RES/1896 (2009), op. 12",0
"383","""El Consejo de Seguridad reitera su disposición a imponer sanciones a personas y entidades que alberguen, financien, faciliten, apoyen, organicen, entrenen o inciten a personas o grupos a perpetrar actos de violencia o actos terroristas contra otros Estados o sus ciudadanos en Somalia o su región de conformidad con sus resoluciones pertinentes, y otras redes regionales, así como personas, grupos, empresas y entidades que no cortan todos los vínculos con Al Qaida y grupos asociados, incluida Al Qaida en el Magreb Islámico (AQMI), el ""Mouvement pour l 'Unicité et le Jihad en Afrique de l'Ouest' (MUJAO) y Ansar Eddine, de conformidad con la resolución 2083 (2012).",1
"384","Además, la FPNUL mantiene más de 60 posiciones y varios puestos de control y puestos de observación temporales, incluso en aldeas y zonas pobladas.",0
"385","Prevenir y poner fin al reclutamiento de niños soldados en violación del derecho internacional.",0
"386","El estancamiento corre el riesgo de aumentar las tensiones políticas y socavar el ambiente de mayor confianza que prevaleció tras las elecciones y la toma de posesión del Presidente Martelly.",1
"387","12. Recuerda su decisión contenida en la resolución 2161 (2014) de que todos los Estados velarán por que no se pongan a disposición, directa o indirectamente, fondos, activos financieros o recursos económicos en beneficio del EIIL, el FAN o cualesquiera otras personas, grupos, empresas y entidades. asociados con Al-Qaida, por sus nacionales o por personas dentro de su territorio, y reafirma su decisión contenida en la resolución 1373 (2001) de que todos los Estados prohibirán a sus nacionales o a cualesquiera personas y entidades dentro de sus territorios realizar cualquier ingreso de fondos, activos financieros o actividades económicas recursos o servicios financieros u otros servicios relacionados disponibles, directa o indirectamente, en beneficio de personas que cometen o intentan cometer o facilitan o participan en la comisión de actos terroristas, o en beneficio de entidades propiedad o controladas, directa o indirectamente, por dichas personas y de personas y entidades que actúen en nombre de dichas personas o bajo su dirección;",1
"388","Condenando la incidencia de los secuestros y la toma de rehenes con el objetivo de recaudar fondos u obtener concesiones políticas, y expresando la necesidad de que se aborde esta cuestión,",1
"389","Además, aunque la situación general de seguridad se ha mantenido tranquila y pacífica desde que Timor-Leste asumió formalmente la plena responsabilidad de la seguridad el 20 de mayo, el contrabando, el comercio ilegal y el cruce de fronteras deben percibirse como motivo de preocupación, al igual que las tensiones relacionadas con las manifestaciones en Dili el pasado mes de julio.",1
"390","Como se recordará, el Gobierno de Eritrea instó al Consejo de Seguridad, mediante su carta de 28 de febrero de 2012 (S/2012/126), a asumir sus responsabilidades y adoptar medidas apropiadas contra los innumerables e ilegales actos de agresión y ocupación.",1
"391","Aunque no abrazan formalmente a Al-Shabaab como parte de Al-Qaida, Usama bin Laden y Aiman ​​al-Zawahiri (QI.A.6.01) han expresado gran interés en los acontecimientos en Somalia, lo que la convierte en uno de los puntos de reunión de los reclutas de todo el mundo. mundo para reunirse para entrenamiento y adoctrinamiento paramilitar.",1
"392","22. La situación en Guinea-Bissau (6 de noviembre de 1998; 5 de marzo de 2010).",0
"393","El Consejo debe pedir el cese inmediato de todas las operaciones militares en Gaza y la retirada de las fuerzas de ocupación israelíes de esa zona.",1
"394","Cada panel especializado estará compuesto por dos (2) jueces internacionales y un juez kosovar.",0
"395","¿Se rige, en algún aspecto, por la legislación? En caso afirmativo, describa la legislación.",0
"396","Los miembros expresaron preocupación por la situación de seguridad y subrayaron que, a menos que se abordara rápida y eficazmente, la normalización podría estancarse, socavando los esfuerzos de las autoridades por estabilizar el Estado.",1
"397","En el período comprendido entre el 16 de octubre de 2012 y el 26 de abril de 2013, la Fiscalía utilizó 101 horas de las 200 que tenía asignadas.",0
"398","20. La situación entre Eritrea y Etiopía (26 de junio de 1998; 30 de julio de 2008).",0
"399","Tomamos nota de las preocupaciones de seguridad que, según Israel, lo obligan a continuar esos sobrevuelos, específicamente las acusaciones de violaciones del embargo de armas establecido de conformidad con la resolución 1701 (2006).",1
"400","El Consejo expresa su profunda preocupación porque los civiles siguen representando la mayoría de las víctimas de actos de violencia cometidos por partes en conflictos armados, incluso como resultado de ataques deliberados, uso indiscriminado y excesivo de la fuerza, uso de civiles como escudos humanos y de violencia sexual y de género, así como todos los demás actos que violen el derecho internacional aplicable.",1
"401","27. Las F-FDTL sufrieron una amplia reacción pública, en particular de las organizaciones de veteranos que surgieron en 2001.",1
"402","Sr. Presidente: Nos decepcionó que, a pesar de sus esfuerzos y los de muchos otros, el Consejo no pudiera condenar ese atroz ataque terrorista.",1
"403","Las tensiones a lo largo de la frontera también pueden convertirse en violencia grave durante el período de migración, particularmente en la zona de Abyei, de la que ninguna de las partes se ha retirado por completo.",0
"404","También se expresó grave preocupación por las declaraciones y consignas amenazantes contra las Naciones Unidas y el personal internacional durante las recientes manifestaciones en Abidján.",1
"405","Esto incluye evitar el uso de términos que parezcan aceptar las afirmaciones de justificación religiosa de Al-Qaida; El Equipo sigue argumentando que el uso por parte de comentaristas y políticos no musulmanes de términos religiosos al describir a Al-Qaida, por convenientes, comunes o bien intencionados que sean, hace que sea más difícil socavar su mensaje y aislarla de su comunidad objetivo.",1
"406","Sin embargo, estos problemas generalmente se rectificaron tras la intervención de equipos de seguimiento de los medios.",0
"407","15. Toma nota de las medidas adoptadas por la MONUC para abordar los casos de explotación y abuso sexuales y de la política de tolerancia cero, solicita al Secretario General que siga investigando exhaustivamente las denuncias de explotación y violencia sexuales por parte del personal civil y militar de la MONUC. , adoptar las medidas apropiadas establecidas en el boletín del Secretario General sobre medidas especiales para la protección contra la explotación y el abuso sexuales (ST/SGB/2003/13);",0
"408","""El Consejo de Seguridad expresa su preocupación por el hecho de que aviones u otros medios de transporte que partan de territorio controlado por el EIIL y el FAN puedan utilizarse para transferir oro u otros artículos valiosos y recursos económicos para su venta en los mercados internacionales, o para transferir armas y material para uso del EIIL y ANF, y observa que las personas o entidades que participan en tales actividades pueden ser elegibles para ser incluidas en la lista del Comité 1267/1989, expresa su preocupación por los informes de que elementos de importancia arqueológica, histórica, cultural y religiosa están siendo retirados ilegalmente del territorio controlado por ISIL; y ANF que puedan estar generando ingresos para esos grupos, y pide a los Estados miembros que adopten medidas apropiadas para impedir dicho comercio ilegal y, en este sentido, recuerda a todos los Estados que están obligados a garantizar que no se reciban fondos, activos financieros o recursos económicos; puestos a disposición, directa o indirectamente, en beneficio del EIIL, el FAN y todas las demás personas, grupos, empresas y entidades asociados con Al-Qaida; y espera con interés que el Comité Al-Qaida examine detenidamente las recomendaciones pertinentes relativas a nuevas medidas para desbaratar esas actividades que figuran en el informe del Equipo de Apoyo Analítico y Vigilancia de Sanciones de Al-Qaida presentado de conformidad con la resolución 2170, con miras a seguir desbaratando las actividades de esos grupos.",1
"409","15. Artículos electrónicos de alta gama para uso doméstico;",0
"410","Condenamos todos los actos y crímenes por motivos étnicos en Kosovo.",1
"411","63. Siguen existiendo importantes preocupaciones respecto de las restricciones a la libertad de expresión.",0
"412","Reitera su llamamiento a las autoridades [nacionales] para que pongan fin a la impunidad, incluso llevando ante la justicia sin demora a los autores de graves violaciones de los derechos humanos y del derecho internacional humanitario, y que tengan en cuenta a la hora de seleccionar candidatos para cargos oficiales, incluidos puestos clave en las fuerzas armadas, la policía nacional y otros servicios de seguridad, las acciones pasadas de los candidatos en términos de respeto al derecho internacional humanitario y los derechos humanos.",1
"413","La interdicción del movimiento transfronterizo ilegal es vital para la lucha contra el terrorismo, el tráfico de drogas y el contrabando comercial.",1
"414",":: Excmo. Sr. Zahabi Ould Sidi Mohamed, Ministro de Reconciliación Nacional de la República de Malí",0
"415","69. El Sr. Soro dijo a la misión que les sorprendía que la comunidad internacional no hubiera previsto el inminente conflicto en Côte d'Ivoire, que había sido evidente desde la muerte del Presidente Félix Houphouët-Boigny.",1
"416","109. Para concluir, quisiera felicitar al Presidente del Gobierno de Transición de Burundi, Domitien Ndayizeye, y a su predecesor, Pierre Buyoya, por el valor que han demostrado al dirigir el proceso de transición.",0
"417","Eliminación del tratamiento HTTD del material excavado;",0
"418","Casi dos años después de la última sesión informativa sobre la situación en la región de los Grandes Lagos (zonas afectadas por el Ejército de Resistencia del Señor), el Consejo celebró una reunión privada el 21 de julio de 2011 para examinar la continua amenaza del Ejército de Resistencia del Señor (LRA) a la seguridad regional. .",1
"419","15. Las milicias progubernamentales han desempeñado un papel importante en los esfuerzos de seguridad del gobierno en Côte d'Ivoire, especialmente en el oeste del país.",0
"420","Lo que todo el mundo debe hacer es rechazar las voces extremistas que encuentran consuelo en las viejas costumbres y que creen que es imposible para serbios y albaneses normalizar sus relaciones alcanzando un compromiso histórico.",1
"421","Que se celebrará el viernes 11 de noviembre de 2011, a las 10.30 horas",0
"422","Convencido de que es inaceptable en principio que alguien en cualquier lugar pueda eludir la responsabilidad por un acto de terrorismo por cualquier motivo, incluso por su propia obstrucción de la investigación o su falta de cooperación de buena fe,",1
"423","Sobre la base de la ventaja comparativa, las tareas programáticas y operativas serían realizadas principalmente por organismos de las Naciones Unidas, en estrecha colaboración con la misión.",0
"424","Instamos a Israel a que cumpla con sus obligaciones con respecto al pueblo de los territorios ocupados.",1
"425","Me preocupa especialmente la inestabilidad que podría surgir si la situación política y socioeconómica continúa deteriorándose.",1
"426","Apoyemos todos la misión de Kofi Annan y el plan de la Liga Árabe.",0
"427","Kinshasa y otras zonas de Occidente experimentaron niveles de amenaza relativamente bajos, aunque las tasas de criminalidad siguen siendo motivo de preocupación.",1
"428","Lo que suceda con estos combatientes dependerá de lo que experimenten mientras estén en la República Árabe Siria, pero los conflictos pasados ​​que involucraron a voluntarios extranjeros con afiliados de Al-Qaida han demostrado tener un efecto duradero en el panorama de amenazas locales e internacionales.",1
"429","Este desagradable incidente político fue duramente condenado en un comunicado de prensa emitido inmediatamente después del incidente por la Oficina del Presidente Ernest Bai Koroma, y ​​en muchos comunicados de prensa posteriores de otros grupos de interés político, incluidos los partidos APC y PMDC, la Comisión de Medios Independientes, la Comisión de Registro de Partidos Políticos (PPRC) y la Campaña por la Buena Gobernanza.",1
"430","Es igualmente importante que no se pierda el impulso detrás de la expansión de la ISAF y que la ISAF avance ahora hacia el oeste del país.",0
"431","El presupuesto para 2007 asciende a 36.003.900 dólares EE.UU., para 2008 a 33.014.900 dólares EE.UU. y para 2009 a 20.033.300 dólares EE.UU.",0
"432","Pide una acción internacional eficaz para prevenir el flujo ilegal de armas pequeñas hacia zonas de conflicto.",0
"433","b) La toma de testimonios y la producción de pruebas;",0
"434","Un Estado citó el ejemplo de personas a las que se había negado la entrada durante el último decenio debido a sospechas de su participación en actividades terroristas internacionales.",1
"435","Por lo tanto, pasará algún tiempo antes de que pueda existir un servicio de salud timorense completo.",0
"436","Esta interpretación se justifica en principios básicos del derecho penal internacional, que establecen que la responsabilidad penal individual surge cuando una persona comete materialmente un delito, así como cuando incurre en otras formas o modalidades de conducta delictiva.",0
"437","Pero a pesar de esos avances, todavía hay que superar los desafíos a la autoridad del Gobierno y a su control efectivo sobre su territorio nacional.",1
"438","113. Ante el clima de terror creado por los escuadrones de la muerte, los representantes políticos temen secuestros y detenciones de sus militantes.",0
"439","14 Fuerzas Terrestres (artillería) – 117.587.631 dólares",0
"440","Cinco Estados aún no son parte en el Protocolo sobre armas de fuego, pero casi todos han introducido legislación de la OEA que tipifica como delito la fabricación, posesión y tráfico ilícitos de armas pequeñas y ligeras, municiones y explosivos.",1
"441","El único interés y la exigencia inequívoca de Uganda ha sido que los terroristas del LRA sean rápidamente desarmados, arrestados y llevados ante la justicia.",1
"442","Insisten en tratar el caso como un delito migratorio menor.",1
"443","Se han renovado cuatro escuelas de enfermería, dos en Erbil y una en cada una de las otras dos gobernaciones del norte.",0
"444","""El Consejo de Seguridad insta a los Estados del Sahel y del Magreb a mejorar la cooperación y la coordinación interregionales a fin de desarrollar estrategias inclusivas y eficaces para combatir de manera amplia e integrada las actividades de los grupos terroristas, en particular Al-Qaida en el Magreb Islámico (AQMI), "" Mouvement pour l'Unicité et le Jihad en Afrique de l'Ouest"" (MUJAO) y Ansar Eddine, e impedir la expansión de esos grupos, así como reprimir la proliferación de todas las armas y luchar contra la delincuencia organizada transnacional, incluido el tráfico de drogas y , toma nota a este respecto de los resultados de la Conferencia organizada por la CTED y la CTITF en Rabat sobre la cooperación en materia de control de fronteras en el Sahel y el Magreb, así como de los resultados de la reunión ministerial sobre el refuerzo de la cooperación en materia de seguridad y la puesta en funcionamiento de la Arquitectura Africana de Paz y Seguridad en la región sahelosahariana celebrada en Nouakchott.",0
"445","La Comisión observa con preocupación las irregularidades en las existencias de armas de las F-FDTL que se remontan a varios años.",1
"446","Una propuesta que aún no ha sido suficientemente explorada por el Comité es la provisión de datos biométricos sobre las personas incluidas en la lista.",0
"447","El ejercicio transcurrió bien, sin incidentes de seguridad importantes ni desafíos logísticos prohibitivos.",0
"448","38. Dada la urgencia de la situación actual, los esfuerzos de la comunidad internacional deben ser inmediatos, coordinados y decididos.",1
"449","El Consejo de Seguridad recuerda su exigencia de que todas las partes en un conflicto armado cumplan plenamente con las obligaciones que les corresponden en virtud del derecho internacional relacionadas con la protección de los civiles en los conflictos armados, incluidos periodistas, profesionales de los medios de comunicación y personal asociado.",1
"450","Decide por la presente, habiendo recibido la solicitud de [el Estado afectado], establecer un tribunal internacional con el único propósito de procesar a los responsables de genocidio y otras violaciones graves del derecho internacional humanitario cometidos en el territorio [del Estado afectado] y a los ciudadanos [ del Estado afectado] responsable del genocidio y otras violaciones similares cometidas en el territorio de Estados vecinos entre [fechas]...",0
"451","96. La Comisión observó que la Ley de las Fuerzas de Seguridad Nacional, modificada en 2001, otorga a las fuerzas de seguridad poderes de amplio alcance, incluida la facultad de detener sin cargos ni acceso a un juez por hasta nueve meses.",1
"452","Esto es inaceptable y contradice incluso la prohibición de las minas terrestres declarada públicamente por las fuerzas antigubernamentales.",1
"453","El Grupo de Supervisión cree firmemente que los ingresos así obtenidos son utilizados por los responsables para ayudar a mantener sus milicias y comprar armas.",0
"454","c) Valores residuales 289 - 292 72",0
"455","El Sr. Beyani también pidió al Consejo que no pierda de vista el importante papel que las mujeres desplazadas internas pueden desempeñar en la negociación de la paz, la garantía de sus derechos humanos y la consecución del desarrollo en situaciones posteriores a los conflictos.",0
"456","Sin embargo, el régimen sigue sufriendo reveses en los tribunales, aunque antes de que el Comité pudiera demostrar la eficacia del proceso del Defensor del Pueblo.",1
"457","Al explicar que el proceso de transición llevó tiempo, subrayó la necesidad de una acción política compartida contra los grupos armados de oposición que amenazan un proceso pacífico.",0
"458","67. Renuevo mi llamamiento para la liberación inmediata e incondicional de todos los marinos inocentes mantenidos como rehenes en Somalia para que puedan reunirse con sus familias.",1
"459","Espacio Económico Europeo (EEE) y nacionales suizos y sus dependientes",0
"460","2. La situación en el Chad, la República Centroafricana y la subregión",0
"461","La situación actual ya no es sostenible.",0
"462","Exhorta a todos los Estados a que adopten medidas urgentes para aplicar plenamente la resolución 1373 (2001) y a que se ayuden mutuamente para lograrlo, y subraya la obligación de los Estados de negar apoyo financiero y de cualquier otro tipo de apoyo y refugio a los terroristas y a quienes apoyan el terrorismo ,",1
"463","Ellos emprenden todas estas acciones, y luego piden protección y garantías y las utilizan como cortina de humo para continuar con sus extorsiones y obtener más concesiones de nuestra parte.",1
"464","Sin embargo, no sabía cuántos habían sido liberados y cuántos seguían detenidos.",0
"465","Entre las carreteras cerradas se encontraba la vital carretera comercial Abu Surug-Geneina y la carretera a Um Kher.",0
"466","""El Consejo de Seguridad, recordando sus resoluciones 2042 (2012) y 2043 (2012), acoge con satisfacción el nombramiento del Representante Especial Conjunto para Siria de las Naciones Unidas y la Liga de los Estados Árabes como un importante paso adelante en la cooperación entre ambas organizaciones y expresa su apoyo a sus esfuerzos por continuar los buenos oficios del Secretario General a este respecto.",0
"467","La situación a lo largo de la frontera del Líbano con Siria también sigue siendo motivo de preocupación.",1
"468","Esto se produjo como consecuencia de la prioridad de proceder con la reforma policial estructural, otorgada a Bosnia y Herzegovina por la Comisión Europea, después de que Bosnia y Herzegovina no lograra llegar a un acuerdo sobre su adhesión a la Unión Europea.",1
"469","14. Observa el vínculo cada vez mayor entre el terrorismo y las tecnologías de la información y las comunicaciones, en particular Internet, y el uso de esas tecnologías para cometer actos terroristas y para facilitar esos actos mediante su uso para incitar, reclutar, financiar o planificar actos terroristas, y encarga a la CTED que siga ocupándose de esta cuestión, en consulta con los Estados miembros, las organizaciones internacionales, regionales y subregionales, el sector privado y la sociedad civil, y que asesore al Comité sobre otros enfoques;",0
"470","Los gastos durante el período de 12 meses finalizado el 31 de diciembre de 2006 fueron (en miles de dólares de los Estados Unidos).",0
"471","Durante ese período, tanto la amenaza de Al-Qaida, los talibanes y sus asociados como el régimen de sanciones del Consejo de Seguridad dirigido contra ellos han cambiado considerablemente.",1
"472","Azerbaiyán está profundamente preocupado por las continuas actividades ilegales de asentamiento en los territorios palestinos ocupados.",1
"473","La Misión adquirió equipo especializado (ambulancias blindadas, vehículos protegidos contra minas y botiquines médicos), capacitó a 3.063 efectivos en prevención y mitigación con respecto a dispositivos explosivos improvisados ​​y a 1.481 efectivos en primeros auxilios, introdujo actividades de tutoría para las dos compañías de eliminación de artefactos explosivos de la Misión con exposición previa limitada a entornos asimétricos y desarrolló su capacidad de explotación (actualmente hay tres equipos de identificación de armas en funcionamiento).",0
"474","El Consejo exige el fin inmediato de todos los ataques del LRA e insta al LRA a liberar a todos los secuestrados, desarmarlos y desmovilizarlos.",1
"475","""El Consejo de Seguridad reitera que la creciente amenaza que plantean los combatientes terroristas extranjeros es parte de las nuevas cuestiones, tendencias y acontecimientos relacionados con las resoluciones 1373 (2001) y 1624 (2005), y alienta al Comité contra el Terrorismo a celebrar reuniones especiales en 2015. con la participación de los Estados Miembros y las organizaciones internacionales y regionales pertinentes para debatir formas de detener el flujo de combatientes terroristas extranjeros e impedir que los terroristas exploten Internet y los medios sociales para reclutar e incitar a actos terroristas, respetando al mismo tiempo los derechos humanos y las libertades fundamentales, y en cumplimiento de otras obligaciones derivadas del derecho internacional y, a este respecto, señala la importancia de que el Comité celebre reuniones en las regiones afectadas sobre cuestiones relacionadas con el mandato del Comité;",1
"476","38. En su resolución 1559 (2004), el Consejo de Seguridad pidió la disolución y el desarme de todas las milicias libanesas y no libanesas.",1
"477","i. Darfur septentrional: 68 por ciento;",0
"478","Pero ahora, lo que Afganistán ha logrado se está viendo gravemente corroído por serios desafíos a la seguridad y la estabilidad del país.",1
"479","El sistema de las Naciones Unidas está implementando iniciativas de programación conjunta en el marco de la estrategia de apoyo con buenos resultados, aunque es necesario fortalecer el vínculo entre los diferentes programas y los esfuerzos del Gobierno en materia de estabilización.",0
"480","Además, los documentos metodológicos no proporcionaban ninguna orientación al respecto.",0
"481","Otras tareas de la Defensoría del Pueblo",0
"482","emitido el 16 de febrero de 1999 en Asmara",0
"483","4. Exhorta a los grupos armados de oposición sirios y a los elementos pertinentes a que respeten las disposiciones pertinentes del Entendimiento Preliminar;",0
"484","Sin embargo, en mi opinión, la respuesta a esto no es que se deba gastar menos en tribunales híbridos, sino que se debe prestar más atención y financiar más a los sistemas de justicia nacionales posteriores a conflictos en su conjunto.",1
"485","Al presentar el informe, el Subsecretario General destacó el riesgo de que, a pesar de la calma reinante en la zona, la situación de seguridad se deteriore, en particular como resultado de la inclusión de Abyei por las autoridades sudanesas como distrito electoral para las elecciones presidenciales. de 2015.",1
"486","Durante el año pasado, como resultado de la intensificación de las operaciones militares contra los grupos armados, la MONUSCO aumentó su apoyo logístico a las tropas de las FARDC en un 226 por ciento.",0
"487","El equipo tiene su sede en Bagdad y está formado por seis miembros más un director de oficina.",0
"488","Que se celebrará el miércoles 19 de enero de 2011, a las 10.30 horas",0
"489","a) Seguir recordando a los Estados Miembros su obligación de extraditar o enjuiciar de conformidad con los instrumentos internacionales de lucha contra el terrorismo aplicables en los que son partes y recordarles su obligación de velar por que las alegaciones de motivación política no se consideren motivo de rechazar solicitudes de extradición de presuntos terroristas;",1
"490","La Comisión también ha establecido que las fuerzas armadas del Gobierno, el aparato de seguridad del Estado y la inteligencia militar son responsables del confinamiento y detención ilegales de civiles.",1
"491","La Red Siria por los Derechos Humanos no pudo recopilar información sobre las muertes en zonas aisladas por el régimen.",1
"492","Condenamos el terrorismo en todas sus formas y manifestaciones, ya que violan el derecho más fundamental del ser humano: el derecho a la vida.",1
"493","*MEDIDAS PARA MEJORAR LOS MARCOS JURÍDICOS INTERNACIONALES",0
"494","Si bien la mayoría de las partes interesadas de Costa de Marfil, incluidos el Presidente Gbagbo y el Primer Ministro Soro, proporcionaron comentarios positivos sobre las operaciones de los tribunales móviles, el partido de oposición Rassemblement des républicains se quejó de que muchos marfileños no habían podido acceder a los tribunales móviles, en particular en el oeste, debido a la presencia de milicias, incluso si estaban inactivas.",1
"495","Permítame solicitarle su amable ayuda para hacer distribuir la presente carta como documento del Consejo de Seguridad.",0
"496","Caso 5, Tarek Ben Al-Bechir Ben Amara Al-Charaabi (Estado: excluido de la lista)",0
"497","S/AC.29/2003/1/Add.1",0
"498","Aunque el Gobierno logró algunos avances según el plan de acción, a saber, el despliegue de fuerzas policiales, no cumplió su compromiso de permanecer fuera de las zonas bajo control de los movimientos armados.",0
"499","No ha habido ningún movimiento en la asignación de puestos a nivel regional.",0
"500","Describió como dramática la brecha entre los progresos realizados en la construcción del Estado palestino y el estancamiento persistente y profundo en la vía política.",1
"501","Desde hace más de un milenio, las sociedades de Asia occidental y África del Norte han desempeñado un papel importante en la historia mundial.",0
"502","Observando con preocupación la continua amenaza que plantean a la paz y la seguridad internacionales Al-Qaida, Usama bin Laden y los talibanes, y otras personas, grupos, empresas y entidades asociados con ellos, y reafirmando su determinación de abordar todos los aspectos de esa amenaza,",1
"503","""El Consejo de Seguridad expresa su grave preocupación por el creciente atrincheramiento en el Sahel de elementos terroristas, incluidos Al Qaida en el Magreb Islámico (AQMI), grupos afiliados y otros grupos extremistas, y sus consecuencias para los países de la región y más allá.",1
"504","Preocupada porque los combatientes terroristas extranjeros aumentan la intensidad, la duración y la intratabilidad de los conflictos y también pueden representar una grave amenaza para sus Estados de origen, los Estados por los que transitan y los Estados a los que viajan, así como para los Estados vecinos de zonas de conflicto armado en qué combatientes terroristas extranjeros están activos y que se ven afectados por graves cargas de seguridad, y observando que la amenaza de los combatientes terroristas extranjeros puede afectar a todas las regiones y Estados Miembros, incluso aquellos lejos de zonas de conflicto, y expresando grave preocupación por el hecho de que los combatientes terroristas extranjeros estén utilizando sus ideología extremista para promover el terrorismo,",1
"505","Los líderes y partidarios del gobierno, por su parte, acusaron al MPCI y otros ""movimientos rebeldes"" de utilizar fuerzas extranjeras y cometer atrocidades, en particular el asesinato de decenas de miembros de la gendarmería en Bouaké.",1
"506","La situación en Sierra Leona (véanse S/1995/40/Add.47; S/1996/15/Add.6, 11 y 48; S/1997/40/Add.21, 27, 31, 40 y 45; S /1998/44/Add.8, 11, 15, 20, 22, 28 y 50; S/1999/25 y Add.1, 9, 18, 22, 32, 41 y 48; Add.5, 10, 17, 18, 19, 24, 26, 28, 30, 32, 35, 37 y 43)",0
"507","El Equipo cree que lo ideal sería que los fondos congelados se mantuvieran de forma centralizada, en forma de bajo riesgo y que generen intereses, como bonos gubernamentales, o en bancos centrales, para minimizar el riesgo de pérdida y garantizar un control adecuado.",0
"508","Aunque no ha surgido ningún caso real desde el último informe del Equipo, persiste la preocupación de que los grupos e individuos incluidos en la lista sigan teniendo la ambición de organizar un ataque de ese tipo, además de varios informes de que todavía existe un suministro ilícito de materiales radiológicos, incluso en zonas donde Al-Qaida y los talibanes están activos.",1
"509","Alemania, Kazajstán y Emiratos Árabes Unidos",0
"510","También seguía profundamente preocupado por las acciones unilaterales, las restricciones y las provocaciones en los Lugares Santos de Jerusalén.",1
"511","En ese sentido, deseamos ir más allá y decir que creemos que la única manera de mejorar la seguridad y la estabilidad en Somalia es empoderar a las fuerzas de seguridad somalíes para someter a los insurgentes más virulentos y permitir que el Gobierno extienda sus áreas de autoridad lo más lejos posible. posible si fracasan las negociaciones de paz.",1
"512","26. Carta de fecha 19 de octubre de 1999 dirigida al Secretario General (S/1999/1074)",0
