"","es","VerConf"
"228","Condenamos enérgicamente los ataques criminales que el grupo terrorista Boko Haram sigue perpetrando en el norte de Nigeria y en los países vecinos.",1
"229","La Misión preguntó si en Bouaké había una fosa común con los restos mortales de docenas de gendarmes ejecutados.",0
"230","Tan solo el mes pasado, en una declaración formulada el 27 de mayo de 2011, el Secretario General Ban Ki-moon expresó su opinión de que la asistencia y los bienes que tengan por destino Gaza deben enviarse por rutas legítimas y mediante los canales establecidos y dejó en claro que las flotillas conllevan el potencial de generar una escalada y desencadenar un conflicto violento.",0
"231","Mi Gobierno considera que no sólo son contrarias al derecho internacional, sino que además menoscaban el concepto del Estado de derecho, elemento fundamental en la lucha contra el terrorismo.",1
"232","En el caso de Darfur, esta intención de persecución y discriminación puede encontrarse, en muchas ocasiones, en algunas milicias árabes, así como en el Gobierno central: los ataques sistemáticos contra aldeas habitadas por civiles (o mayoritariamente por civiles) pertenecientes a algunas tribus ""africanas"" (fur, masalit y zaghawa), la destrucción y el incendio sistemáticos de esas aldeas y el desplazamiento forzoso de civiles de ellas indican una intención manifiesta de persecución.",0
"233","Instamos a Israel a que ponga fin a sus incursiones militares en Gaza.",1
"234","Hay nuevos sistemas de seguridad fronteriza, como la inspección reforzada de mercancías y la introducción en la mayoría de Estados de documentos de viaje de lectura mecánica, como pidió la Organización de Aviación Civil Internacional (OACI), que han complicado sustancialmente las actividades transnacionales de los terroristas.",0
"235",":: Reunión y análisis de las llamadas telefónicas",0
"236","No obstante, sigue siendo motivo de profunda preocupación que las partes, tanto los movimientos como las milicias, continúen utilizando niños como combatientes.",1
"237","No adoptar medida alguna respecto de un grupo tan peligroso con el pretexto desafortunado de que no plantea amenazas del Gobierno es renunciar a la responsabilidad esencial de todo Estado, es decir, garantizar la seguridad de sus ciudadanos.",1
"238","Por una parte, había quienes consideraban natural que un país estableciera requisitos para la ciudadanía o nacionalidad, en tanto que otros denunciaron la explotación de este concepto como uno de los orígenes de la crisis de Côte d'Ivoire.",1
"239","Actuando en virtud del Capítulo VII de la Carta de las Naciones Unidas,",0
"240","Además, como se indica más adelante, la destrucción parece haber ido acompañada sistemáticamente del saqueo de efectos personales de valor, dinero en efectivo y, sobre todo, de ganado.",0
"241","Si bien Al-Qaida, los talibanes y sus asociados pueden no tener estructuras y sistemas avanzados que aseguren el control operacional de sus seguidores, sí cuentan con una capacidad militar eficaz, como lo demuestra, por ejemplo, la insurgencia en el Afganistán. A nivel táctico y operacional, Al-Qaida, los talibanes y sus asociados han utilizado equipo tanto militar como civil, como radios de corto alcance y teléfonos móviles y satelitales.",1
"242","Si bien el mando de las FFDTL ha hecho hincapié en la importancia de la cadena jerárquica de mando para estudiar las quejas, al parecer no ha habido un procedimiento establecido y detallado que regulase el modo de atender y examinar oficialmente dichas quejas.",1
"243","El hecho de que ambas partes, la República del Sudán y la República de Sudán del Sur, empleen retórica con intensidad, es motivo de preocupación.",1
"244","9. Tratado sobre los principios que deben regir las actividades de los Estados en la exploración y utilización del espacio ultraterrestre, incluso la Luna y otros cuerpos celestes (Tratado sobre el espacio ultraterrestre);",0
"245","Como se puede observar, no es necesario que haya intención dolosa para iniciar un proceso con arreglo a esta Ley.",0
"246","El Consejo reitera su más enérgica condena de dichas prácticas, insta a todas las partes en los conflictos armados a que velen por la protección plena y efectiva de la mujer, e insiste en la necesidad de poner fin a la impunidad de los responsables de la violencia por razones de género.",1
"247","Que se celebrará el viernes 22 de octubre de 2004, a las 10.15 horas",0
"248","El Gobierno prestaría un gran servicio a la administración de justicia si procediera a derogar el decreto que creó estos tribunales.",1
"249","El padre declaró que durante el intento de huida se encontraron con seis hombres árabes que violaron a su hija de 25 años de edad delante de él, su esposa y sus hijos menores.",0
"250","Los dos aviones Let 410, matriculados en Swazilandia como 3D-ERS y 3D-ETY, llegaron a Beni procedentes de Jartum el 7 y el 8 de mayo de 2004, respectivamente.",0
"251","9. La Fundación Al-Haramain (Estados Unidos de América), entidad incluida en la Lista, (QE.A.117.04) ha entablado una nueva demanda contra el Gobierno ante el Tribunal Federal de Distrito de Oregón, además de otra iniciada anteriormente que sigue pendiente en los Estados Unidos. Al-Haramain afirma que la decisión de los Estados Unidos de imponer sanciones en su contra fue arbitraria, no estaba respaldada por pruebas sustanciales y violaba su derecho a las garantías procesales (ya que no explicaba la base fáctica de la acción del Gobierno y utilizaba pruebas confidenciales no presentadas a la organización), su derecho a no ser objeto de registros e incautaciones indebidos (basados en la congelación de sus activos) y sus derechos a la libertad de expresión, asociación y religión. Al-Haramain también alega que la negativa del Gobierno a permitirle utilizar activos bloqueados para pagar a sus abogados constituía una violación de su derecho a las garantías procesales.",1
"252","En términos generales, la política de atacar, dar muerte o desplazar por la fuerza a miembros de algunas tribus no entraña necesariamente la intención concreta de aniquilar en todo o parte a un grupo por motivos raciales, étnicos, nacionales o religiosos.",1
"253","Notamos con preocupación que el ámbito de la seguridad sigue siendo problemático.",1
"254","Presuntamente, su propósito era que las fuerzas del MLC/CCD-N fueran de aldea en aldea destruyendo todo lo que cayera en sus manos.",0
"255",":: Gestión del riesgo de proliferación a través de la gobernanza empresarial y la gestión interna del cumplimiento",0
"256",":: ¿Cómo se puede lograr la máxima eficacia en la cooperación con las organizaciones regionales en la Comisión de Consolidación de la Paz, especialmente para conseguir una transición armoniosa de la gestión de los conflictos a la estabilización en las situaciones postbélicas y la consolidación de la paz, donde la participación regional es más necesario?",0
"257","Las disposiciones de la Ley se aplican también a los extranjeros.",0
"258","Se ha incrementado el número de agresiones contra las fuerzas de seguridad nacionales e internacionales, funcionarios de las instituciones públicas y personal humanitario. Ha aumentado el número de ataques contra colegios electorales y de amenazas contra los equipos de empadronamiento.",1
"259","2. La situación en el Oriente Medio",0
"260","El Equipo tiene conocimiento de 15 demandas judiciales entabladas en cinco Estados Miembros, así como ante el Tribunal de Justicia de las Comunidades Europeas, en las que se impugna la aplicación de algún aspecto de las sanciones por parte de los Estados Miembros.",0
"261","7. La situación en Liberia (22 de enero de 1991; 16 de marzo de 2011).",0
"262","Si bien la capacitación básica de la Unidad de Reserva de Policía concluyó el 23 de agosto, se calcula que harán falta al menos otros tres meses más de capacitación y supervisión intensivas mientras preste servicios.",0
"263","El Consejo de Seguridad pone de relieve que todos los civiles afectados por los conflictos armados, incluso los que sufren pérdidas como resultado de actos legítimos con arreglo al derecho internacional, merecen asistencia y reconocimiento con respecto a la dignidad que les es inherente como seres humanos.",1
"264","Que se celebrará el miércoles 11 de agosto de 2004, a las 10.00 horas",0
"265","El Consejo de Seguridad reitera su exigencia a todas las partes en un conflicto armado de que pongan fin de manera inmediata y completa todas las formas de violencia contra mujeres y niñas, incluidos los actos de violencia sexual.",1
"266","Es inaceptable que se realicen intentos por desestabilizar la situación interna en el Líbano mediante la perpetración de asesinatos políticos.",1
"267","Los miembros del Consejo, en sus observaciones, expresaron su grave preocupación por los acontecimientos recientes, destacaron la necesidad de establecer mecanismos de seguridad fronterizos, y pidieron a las dos partes que adoptaran medidas tendientes a normalizar sus relaciones.",1
"268","El Consejo de Seguridad acoge con beneplácito la resolución 64/289 de la Asamblea General, en que se estableció la Entidad de las Naciones Unidas para la Igualdad entre los Géneros y el Empoderamiento de la Mujer (ONUMujeres), que comenzará a funcionar plenamente en enero de 2011.",0
"269","Los miembros del Consejo pidieron una solución pacífica del conflicto en la región y condenaron el apoyo a grupos armados y grupos terroristas.",1
"270","Al mismo tiempo, es imperativo que todas las partes somalíes, en especial las instituciones federales de transición, honren sus promesas para resolver los enormes desafíos políticos, económicos y de seguridad que tienen ante sí.",1
"271","Lo que ocurra con esos combatientes dependerá de las situaciones que enfrenten mientras estén en Siria, pero la experiencia de conflictos anteriores en que voluntarios extranjeros han colaborado con entidades afiliadas a Al-Qaida demuestra que el efecto en el panorama de las amenazas locales e internacionales es duradero.",1
"272","Que se celebrará el lunes 11 de septiembre de 2006, a las 11.00 horas",0
"273","b) Alentar a los Estados a impartir a los funcionarios competentes la capacitación necesaria para aplicar el marco jurídico contra el terrorismo, por ejemplo, en aspectos tales como la investigación, la acusación, la imposición de la pena y la extradición.",0
"274","El proceso de revisión ha dado por resultado la confirmación de la permanencia en la Lista de toda persona que, aunque no figure en la Lista solo por esta razón, sea conocida fundamentalmente por desempeñar un papel en la justificación ideológica de la violencia relacionada con Al-Qaida ante los nuevos reclutas o ante una audiencia más amplia. Esto ocurre a pesar de que las sanciones tienen de por sí una escasa repercusión en el instrumento principal de esas personas, a saber; la capacidad para comunicarse y para persuadir utilizando la Internet.",1
"275","Sin embargo, los atropellos de los derechos de los niños, incluida la violencia sexual, siguen siendo motivo de preocupación en todo el país.",0
"276","No cabe duda de que el Comité debe tener presentes todas las prácticas recomendadas, códigos y normas internacionales que resulten pertinentes en la aplicación de la resolución 1373 (2001), al tiempo que vigila la aplicación de la misma por parte de los Estados.",0
"277","El Consejo de Seguridad subraya la importancia de que las partes en el Acuerdo General de Paz realicen rápidos avances con respecto al referendo de Abyei, a las cuestiones pendientes del Acuerdo General de Paz, y a la solución de las cuestiones de importancia crítica que se presenten con posterioridad al referendo, en forma pacífica y mutuamente beneficiosa, incluidas las cuestiones sobre fronteras, seguridad, ciudadanía, deudas, activos, moneda y recursos naturales.",0
"278","La Iglesia Católica y las organizaciones de la sociedad civil expresaron su preocupación por el hecho de que esas conmutaciones de penas pudieran contribuir a fomentar una percepción de impunidad, si bien el Presidente explicó que las conmutaciones se habían decidido en consulta con el Gobierno, miembros del Parlamento y familias de las víctimas y los autores de los delitos, entre otros, y de conformidad con la Constitución y las leyes aplicables.",1
"279","Ante esta clara situación de amenaza a la paz y la seguridad internacionales, esperamos que el Consejo de Seguridad actúe sin los dobles raseros que lo caracterizan en este tema y adopte, de forma urgente y decidida, el proyecto de resolución presentado por Argelia en nombre de los países que integran el Grupo de Estados Árabes.",1
"280","Todos los visados son expedidos en Vanuatu por el Departamento de Inmigración.",0
"281","Que se celebrará el jueves 16 de junio de 2005, a las 15.00 horas",0
"282","Kinshasa y otras zonas del oeste del país experimentaron un grado de peligro relativamente bajo, pero las tasas de delincuencia siguen siendo motivo de preocupación.",1
"283","En ese sentido creemos que las medidas destructivas, cuya finalidad es obtener beneficios políticos unilaterales deberían ser condenadas categóricamente.",1
"284","Condeno en los términos más enérgicos los repudiables ataques contra las personas que ayudan al pueblo somalí a luchar contra la delincuencia organizada que obstaculiza el desarrollo de su país.",1
"285","La falta general de transparencia para el público socava la equidad y la credibilidad del proceso en su conjunto.",1
"286","Asimismo, reiteró la condena del Secretario General de todo uso de armas químicas por cualquiera de las partes en el conflicto sirio y su llamamiento a que los responsables de su utilización fueran llevados ante la justicia.",1
"287","Lamento este resultado decepcionante, que contrasta tan marcadamente con la excepcional voluntad política y la disposición a hacer contribuciones militares que los Estados Miembros han manifestado en la lucha contra la piratería.",1
"288","Estas acciones se han emprendido a pesar de la posición claramente en contra de ellas adoptada por el Representante Especial del Secretario General y en desafío a las disposiciones de las Naciones Unidas y del Consejo de Seguridad.",1
"289","Se trata de un dato importante, ya que hizo que aumentara considerablemente el nivel de frustración y odio de la población afectada, incluidos los partidarios o los presuntos partidarios de los partidos de la oposición y los grupos comunitarios, hacia la policía y las fuerzas de seguridad.",1
"290","9. Decide seguir ocupándose de la cuestión.",0
"291","Condena en los términos más enérgicos toda violencia sexual y otro tipo de violencia contra los civiles en los conflictos armados, en particular contra mujeres y niños, y se compromete a asegurar que en todas las operaciones de apoyo a la paz se apliquen todas las medidas posibles para evitar ese tipo de violencia y para abordar sus efectos cuando se produzca.",1
"292","La situación en el Oriente Medio",0
"293","Reconoce que, pese a los progresos logrados en relación con la igualdad entre los géneros, es preciso intensificar las medidas, incluso sobre objetivos cuantificables y orientados hacia la acción, destinadas a garantizar los derechos de las mujeres y las niñas, y a asegurar que todas las mujeres y niñas del [país afectado] estén protegidas contra la violencia y los abusos, disfruten de la protección de la ley en condiciones de igualdad y de igual acceso a la justicia, condena enérgicamente la discriminación y la violencia contra las mujeres y las niñas, en particular la violencia que tiene como fin impedir que las niñas asistan a la escuela, destaca la importancia de que se apliquen sus resoluciones 1325 (2000), 1820 (2008), 1888 (2009), 1889 (2009) y 1960 (2010), y de que se asegure que las mujeres que huyen de la violencia en el hogar puedan encontrar refugio seguro, y hace notar los compromisos de integración contenidos en esas resoluciones;",0
"294","Insto a Hamas a que responda de manera positiva a esas exhortaciones.",1
"295","La conjunción de las capacidades de varios organismos no parece ser una opción deseada.",0
"296","Por consiguiente, es importante que los Estados no pierdan de vista este aspecto del embargo, y quizás el Comité quiera recordarles de ello oportunamente, alentándolos a que presenten los nombres de quienes proporcionan ""asesoramiento técnico, asistencia o adiestramiento relacionados con actividades militares"" (resolución 1617 (2005), apartado c) del párrafo 1) en contravención de las medidas, para que se los incluya en la lista.",1
"297","Habida cuenta de la hostilidad que durante mucho tiempo han manifestado esos grupos contra las Naciones Unidas, parece que sigue habiendo un riesgo para el personal de las misiones.",1
"298",":: Informe presentado al Comité establecido en virtud de la resolución 1267 (1999) de 24 de junio de 2002 (S/AC.37/2002/67);",0
"299","El Consejo condena todas las demás violaciones del derecho internacional, incluido el derecho internacional humanitario, las normas de derechos humanos y el derecho de los refugiados, cometidas contra los niños en situaciones de conflicto armado.",1
"300","Asimismo, el Subsecretario General consideraba que las declaraciones inflamatorias de grupos armados que amenazaban con sabotear los comicios en zonas del este de Ucrania y celebrar sus propias elecciones el 2 de noviembre, en violación de la Constitución y del derecho nacional, debían ser objeto de condena por parte de todos.",1
"301","En Zoran Kupreškić and others, la Sala de Primera Instancia del Tribunal Internacional para la ex Yugoslavia definió la persecución como la negación manifiesta o flagrante, por razones discriminatorias, de un derecho fundamental consagrado por el derecho internacional consuetudinario o el derecho de los tratados, que alcanza el mismo grado de gravedad que los demás actos prohibidos por el artículo 5.",1
"302","Consideramos que la postura de Armenia constituye un claro desafío al proceso de solución del conflicto y una grave amenaza para la paz y la seguridad regionales e internacionales.",1
"303","Se entregaron alimentos y artículos no alimentarios a 2.000 personas y medicamentos para 22.600 personas.",0
"304","Ningún Estado ha examinado su sector de organizaciones sin fines de lucro ni ha llevado a cabo una evaluación del riesgo de que se utilice para financiar actividades terroristas.",1
"305","En su último informe sobre la protección de los civiles en los conflictos armados (S/2012/376), el Secretario General indicó que el estado de la protección de los civiles seguía siendo pésimo y que existía una clara necesidad de que los compromisos normativos se tradujeran en mejoras concretas para la protección de los civiles sobre el terreno.",1
"306","El General de División Camerón Ross continuó al mando de la Fuerza.",0
"307","f) Instrumentos musicales: 854.380 dólares de los EE.UU.",0
"308","También falló que, en vista de la importancia de la lucha contra el terrorismo internacional, el congelamiento de fondos como medida precautoria y temporal que contemplaba la posibilidad de excepciones para sufragar gastos básicos no constituía una intromisión arbitraria, indebida o desproporcionada en el derecho a la propiedad.",0
"309","298. La PIC no facilitó proyecciones sobre el volumen de producción de agua destilada.",0
"310","6. Confirma además que las disposiciones del párrafo 1 a) serán aplicables también al pago de rescates a personas, grupos, empresas o entidades que figuren en la Lista;",0
"311","Retener ese nivel de financiación inutilizaría a cualquier gobierno, y, con mayor razón, a una autoridad en territorio ocupado. Si los fondos no se desbloquean de inmediato, se pondrán en peligro los logros de la consolidación del Estado, incluida una mayor buena gobernanza que beneficiaría al pueblo palestino y el desarrollo de las fuerzas de seguridad que defienden el orden público en la Ribera Occidental.",1
"312","Se les proporcionaron los datos de matriculación y afirmaron que lo investigarían y darían al Grupo una respuesta.",0
"313","El Consejo de Seguridad condena enérgicamente que se siga usando el territorio afgano, especialmente las zonas controladas por los talibanes, para albergar y adiestrar terroristas y planificar actos terroristas, y reafirma su convicción de que la represión del terrorismo internacional es esencial para el mantenimiento de la paz y la seguridad internacionales. Insiste en que los talibanes dejen de proporcionar refugio y adiestramiento a terroristas internacionales y a sus organizaciones, adopten medidas eficaces para que el territorio bajo su control no se albergue instalaciones y campamentos de terroristas, ni sirva para preparar u organizar actos terroristas contra otros Estados o sus ciudadanos, y cooperen en los esfuerzos encaminados a someter a la justicia a las personas acusadas de actos terroristas.",1
"314","78. Las fuerzas armadas del Sudán son unas fuerzas armadas convencionales encargadas de proteger y mantener la seguridad interna.",0
"315",":: 14 de febrero de 2005: Rafik Hariri y otras 22 personas mueren en una explosión masiva en una zona costanera del centro de Beirut.",0
"316","El Consejo de Seguridad, acogiendo con beneplácito los progresos alcanzados por los Gobiernos del Iraq y Kuwait con miras a resolver las cuestiones pendientes entre ambos países, y alentándolos a seguir cooperando entre sí, exhorta al Iraq a cumplir rápidamente las obligaciones restantes que le corresponden con arreglo a las resoluciones pertinentes aprobadas por el Consejo de Seguridad en virtud del Capítulo VII de la Carta con respecto a la situación entre el Iraq y Kuwait.",0
"317","Los miembros también expresaron su determinación a seguir colaborando con el Gobierno para consolidar los adelantos logrados y asegurar un entorno estable para la gobernanza democrática, el crecimiento económico y la asistencia humanitaria. Asia",0
"318","En el vídeo se intercala un nuevo mensaje con secuencias en las que aparece Mustafa Abu Al Yaced, también denominado Jeque Saeed, el jefe de Al-Qaida en el Afganistán, con dirigentes talibanes; extractos de los mensajes de Bin Laden; noticias de televisión; actuaciones de importantes Jefes de Estado y de Gobierno, muchos de ellos de países árabes; funcionarios de la Agencia Central de Inteligencia (CIA); funcionarios de la Organización del Tratado del Atlántico del Norte (OTAN); expertos en lucha contra el terrorismo; religiosos musulmanes; académicos; periodistas; abogados y partidarios occidentales de Al-Qaida.",1
"319","En consecuencia, se ha limitado a reunir información fiable acerca de las personas de quienes podría sospecharse que son responsables por crímenes cometidos en Darfur.",0
"320","Condenamos el terrorismo en todas sus formas y manifestaciones, porque vulnera el derecho más fundamental de los seres humanos: el derecho a la vida.",1
"321","Desde que terminó el último mandato a mediados de marzo de 2005, las relaciones entre el Gobierno Federal de Transición y la oposición han empeorado gravemente, lo que ha incrementado en gran medida la probabilidad de que se produzca una confrontación militar importante entre ambos.",0
"322","12. Recuerda la decisión que adoptó en la resolución 2161 (2014) de que todos los Estados deberán cerciorarse de que sus nacionales o las personas que se encuentren en su territorio no pongan ningún fondo, activo financiero o recurso económico, directa o indirectamente, a disposición del EIIL, el FAN o cualesquiera personas, grupos, empresas y entidades asociados con Al-Qaida, y reafirma la decisión que adoptó en la resolución 1373 (2001) de que todos los Estados deberán prohibir a sus nacionales y a cualesquiera personas o entidades que se encuentren en su territorio que pongan fondos, activos financieros o recursos económicos, o servicios financieros o servicios conexos de otra índole, directa o indirectamente a disposición de las personas que cometan o intenten cometer actos de terrorismo o faciliten su comisión o participen en ella, o a disposición de las entidades que sean de propiedad o estén bajo el control directo o indirecto de esas personas, y de las personas y entidades que actúen en nombre o a instancias de esas personas;",1
"323","En junio de 2009 el Grupo de examen de la cooperación internacional del Grupo de acción financiera sobre el blanqueo de capitales, señaló que seis Estados de la subregión tenían deficiencias en materia de blanqueo de dinero y financiación del terrorismo.",1
"324","En este contexto, reafirma que la causa primordial de la crisis en Angola es la negativa de la UNITA a cumplir las disposiciones básicas del Protocolo de Lusaka y reitera su exigencia de que la UNITA acate sus obligaciones de desmilitarizarse y permita la extensión de la administración del Estado a los territorios que controla.",1
"325","73. Cinco reclamantes pidieron que se les reembolsaran las indemnizaciones que pagaron a sus empleados no kuwaitíes por rescisión de sus contratos de empleo.",0
"326","Por lo que respecta a las F-FDTL, un decreto ley dispone la estructura militar, pero las leyes que rigen la disciplina y la carrera militares son las leyes aprobadas por la UNTAET.",0
"327","Nos preocupa mucho la negativa obstinada de los dirigentes de grupos como el Movimiento por la Justicia y la Igualdad y el Movimiento de Liberación del Sudán a participar en las conversaciones.",1
"328","51. La situación en el Chad, la República Centroafricana y la subregión (27 de agosto de 2007; 20 de diciembre de 2010).",0
"329","Esta es una cuestión delicada, pues ha existido falta de confianza entre algunos agentes de policía de diferentes lugares.",1
"330","1. Condena inequívocamente todos los actos, métodos y prácticas terroristas por considerarlos criminales e injustificables, independientemente de su motivación y dondequiera y por quienquiera que sean cometidos, en todas sus formas y manifestaciones, en particular los que puedan representar una amenaza para la paz y la seguridad internacionales;",1
"331","Es indispensable hallar medios innovadores para impedir que los terroristas en los países con economías basadas en las operaciones en efectivo adquieran fondos, ya sea en dinero contante, o mediante el contrabando de mercancías o la manipulación ilícita de las transacciones comerciales.",1
"332","En el párrafo 67 de su opinión el Abogado General expone cinco razones por las que el control minucioso no es aplicable en este contexto: a) el carácter preventivo de las sanciones contra Al-Qaida; b) el contexto internacional del acto impugnado; c) la necesidad de alcanzar un equilibrio entre las exigencias de la lucha contra el terrorismo y las de la protección de los derechos fundamentales; d) el carácter político de las evaluaciones del Comité 1267; y e) las mejoras de los procedimientos de supresión de la Lista por el Comité 1267 en los últimos años, particularmente desde la decisión de 2008 del Tribunal de Justicia de la Unión Europea en la causa Kadi.",1
"333","De conformidad con el apartado c) del párrafo 1 del documento EC-M-33/DEC.1, la República Árabe Siria debía concluir la eliminación de todo el material y el equipo relacionados con las armas químicas durante el primer semestre de 2014.",0
"334","En cuanto al Art. 185 bis del Código Penal, efectivamente se aplica a los fondos sólo con relación a su origen.",0
"335","Que se celebrará el miércoles 21 de diciembre de 2011, a las 10.11 horas",0
"336","En la declaración personal del reclamante se describe en detalle sólo una alfombra con dibujo figurativo hecha por encargo.",0
"337","9. En su resolución 22/13, el Consejo de Derechos Humanos instó al Gobierno de la República Popular Democrática de Corea a que cooperara plenamente con el Relator Especial y con la comisión de investigación y a que permitiera a los miembros de la comisión el acceso sin restricciones al país y les facilitara toda información que necesitaran para cumplir su mandato.",1
"338","Recordando la declaración de su Presidencia (S/PRST/2011/9) de 2 de mayo de 2011, en que se observa que Osama bin Laden nunca podrá volver a perpetrar actos de terrorismo,",1
"339","El 27 de diciembre de 2007, partidarios del sargento Ibrahim Coulibaly, también conocido como IB, un ex integrante de las Forces Nouvelles, fueron acusados de atacar a miembros de las Forces Nouvelles en Bouaké. Se produjeron varias muertes como consecuencia del ataque, y varias personas fueron detenidas.",0
"340","Antes que alentar los progresos, las expectativas poco realistas podrían reforzar el sentido de estancamiento en la sociedad.",0
"341","A pesar de esos esfuerzos, todavía preocupa la cuestión de la seguridad en Mogadishu, debido a la presencia de las milicias de varias facciones, así como de milicias independientes o asociadas con hombres de negocios y los tribunales de la sharia.",0
"342","Cuba comparece una vez más ante el Consejo de Seguridad para denunciar y condenar de la manera más enérgica la complicidad y absoluta responsabilidad del Gobierno de los Estados Unidos con la liberación de este individuo.",1
"343","Los desequilibrios regionales en los índices totales de empadronamiento de votantes deben ser una advertencia seria al respecto.",1
"344","Los puestos habían sido totalmente destruidos y el ganado había sido robado.",0
"345","El Consejo de Seguridad reconoce y continúa alentando los esfuerzos de la Liga de los Estados Árabes de contribuir al afán colectivo por resolver los conflictos del Oriente Medio de forma pacífica y promover reacciones internacionales a las transformaciones que experimenta la región, reafirmando al mismo tiempo su firme compromiso con la soberanía, la independencia, la unidad y la integridad territorial de los países de la región y con los propósitos y principios de la Carta.",0
"346","Esta idea podría radicalizar aún más a algunos elementos nacionalistas albaneses de Kosovo y aumentar los riesgos para las minorías de Kosovo.",1
"347","Su innovación fue trasladar los objetivos de los países musulmanes a Occidente, en particular los Estados Unidos de América y, definiendo su terrorismo como una lucha entre el Islam y sus enemigos, pudo reunir bajo una sola bandera a varios grupos dispares que a menudo competían entre sí.",1
"348","Según fuentes oficiales jordanas, los chalecos explosivos fueron fabricados por Al-Qaida en el Iraq, utilizando explosivos y granadas procedentes de antiguos almacenes del ejército iraquí y transportados clandestinamente a Jordania.",0
"349","Los Estados Miembros han señalado que los sitios que promueven el terrorismo en un país invariablemente están localizados en otro.",1
"350","Recordando su resolución 2133 (2014) y la publicación por el Foro Mundial contra el Terrorismo del ""Memorando de Argel sobre las Buenas Prácticas en la Prevención de los Secuestros Perpetrados por Terroristas a Cambio de Rescate y la Denegación de sus Beneficios"", condenando enérgicamente los actos de secuestro y toma de rehenes cometidos por grupos terroristas independientemente de su fin, incluido el de recaudar fondos u obtener concesiones políticas, expresando su determinación de prevenir los actos de secuestro y toma de rehenes cometidos por grupos terroristas y de asegurar la liberación de los rehenes en condiciones de seguridad y sin que se paguen rescates ni se hagan concesiones políticas, de conformidad con el derecho internacional aplicable, exhortando a todos los Estados Miembros a que impidan que los terroristas se beneficien directa o indirectamente del pago de rescates o de concesiones políticas y a que aseguren la liberación de los rehenes en condiciones de seguridad, y reafirmando la necesidad de que todos los Estados Miembros cooperen estrechamente en los casos de secuestro y toma de rehenes perpetrados por grupos terroristas,",1
"351","Vigila también la integridad del sistema financiero y de sus administradores.",0
"352","El proceso de reducción de la MINUSTAH se halla ahora en su tercer año.",0
"353","Esto se produjo a consecuencia de la prioridad que la Comisión Europea dio a la continuación de la reforma estructural de la policía de Bosnia y Herzegovina, al no alcanzarse un acuerdo de adhesión de Bosnia y Herzegovina a la Unión Europea.",1
"354","Se ha visto a niños vistiendo uniformes y portando armas dentro de los campamentos rebeldes y en sus alrededores.",0
"355","c) Actualizar periódicamente la Lista a que se hace referencia en el párrafo 1;",0
"356","En la declaración están esbozadas cuestiones de interés y hacia su final está recogida la exhortación urgente de las mujeres somalíes a la comunidad internacional para que plantee las cuestiones de género, incluso a los líderes somalíes.",1
"357","La comunidad internacional sigue comprometida con la lucha contra el terrorismo en todas sus formas y manifestaciones, pero debe redoblar sus esfuerzos para lograr la plena aplicación de las resoluciones pertinentes y los instrumentos internacionales de lucha contra el terrorismo.",0
"358","Misión Permanente de Qatar ante las Naciones Unidas",0
"359","2. Decide seguir ocupándose de la cuestión.",0
"360","En consecuencia, el Secretario General ha denominado los acontecimientos recientes en Zimbabwe como una ""injusticia catastrófica"".",1
"361","Observando con preocupación el carácter cambiante de la amenaza que representan Al-Qaida, Osama bin Laden y los talibanes, y otras personas, grupos, empresas y entidades asociados con ellos, en particular los modos en que se promueven las ideologías terroristas,",1
"362","La República Popular Democrática de Corea rechaza categóricamente la resolución relativa a los derechos humanos dirigida contra ella, urdida a partir de confabulaciones, infundios e información errónea, e impuesta por los Estados Unidos y otros países hostiles de manera despótica y arbitraria.",1
"363","El terrorismo es un factor determinante en un número cada vez mayor de situaciones de conflicto, especialmente en la región del Sahel y en el Magreb.",1
"364","Seguimos preocupados por el hecho de que, pese a todos los intentos por restablecer la paz y la seguridad, los esfuerzos destinados a estabilizar la región oriental de la República Democrática del Congo se han visto afectados recientemente por importantes reveses.",1
"365","Todos estamos profundamente preocupados por el deterioro de la situación de seguridad en Côte d'Ivoire, como tal vez se ha percatado el Consejo en mi declaración de esta mañana.",1
"366","Se correrá el riesgo de que la tensión se centre en el estatuto en detrimento de las normas.",1
"367","Del mismo modo, la reducida presencia del Alto Comisionado en los campamentos y entre los refugiados constituye otro impedimento establecido por el país de acogida para que esta institución no pueda cumplir su mandato.",1
"368","Es importante otorgar a las mujeres, que son las primeras víctimas de la violencia en todas sus manifestaciones, un papel protagónico en el mantenimiento de la paz y la consolidación de la paz, y es aun más importante y urgente hacerlo en el proceso de la prevención de conflictos.",1
"369","El Consejo de Seguridad recuerda todas sus resoluciones y declaraciones sobre la lucha contra el terrorismo, reitera su firme condena del terrorismo en todas sus formas y manifestaciones, independientemente de quien y donde lo cometa y sean cuales sean sus propósitos, y expresa su determinación de combatir por todos los medios el terrorismo en todas sus formas y manifestaciones de conformidad con la Carta de las Naciones Unidas y el derecho internacional, incluidas las disposiciones aplicables del derecho internacional humanitario, de los derechos humanos, y de los refugiados.",1
