"","en_es_DEEPL","VerConf"
"360","Un caso reciente notable fue el de Mali, donde el Consejo no actuó ante la petición del Secretario General de crear un grupo de expertos para investigar la identidad y las actividades de los implicados en la delincuencia transnacional y organizada en Mali y la subregión, con la posibilidad de imponer sanciones punitivas y selectivas.",1
"361","Reino Unido de Gran Bretaña e Irlanda del Norte: proyecto de resolución",0
"362","Exige el fin de la violencia por todas las partes, de los ataques a civiles, fuerzas de mantenimiento de la paz y personal humanitario, y de otras violaciones de los derechos humanos y del derecho internacional humanitario...",1
"363","(a) Abstenerse de proporcionar cualquier forma de apoyo, activo o pasivo, a entidades o personas implicadas en actos terroristas, incluso suprimiendo el reclutamiento de miembros de grupos terroristas y eliminando el suministro de armas a terroristas;",1
"364","La cabina y la cola eran claramente visibles, pero no el fuselaje ni las alas.",0
"365","88. A pesar de los informes sobre pasos fronterizos ilícitos, se han producido avances notables en la lucha contra los viajes de los terroristas incluidos en la lista y sus asociados.",0
"366","Nota verbal de 5 de enero de 1998 de la Sección de Intereses de",0
"367","Afirmaciones como ""el pueblo palestino no quiere a sus hijos"" o ""el pueblo palestino envía a sus hijos a morir por su odio a Israel"" son afirmaciones llenas de racismo y que reflejan un tipo de actitud que debería rechazarse de plano, y eso es lo que estoy intentando hacer ahora.",1
"368","44. La Oficina Conjunta de Derechos Humanos de las Naciones Unidas siguió investigando presuntas violaciones de derechos humanos y del derecho internacional humanitario cometidas tanto por grupos armados como por las fuerzas de seguridad nacionales.",0
"369","El párrafo 104 no tiene sentido.",0
"370","Por último, el debido proceso es sólo eso: un proceso.",0
"371","Ha sido un asunto delicado, ya que ha habido falta de confianza entre algunos policías de distintas localidades.",1
"372","51. Derribo de dos aviones civiles el 24 de febrero de 1996 (véanse S/1996/15/Add.8 y 29).",0
"373","En África Occidental, la UNOWA ha desempeñado un papel destacado en el apoyo a los esfuerzos para aplicar el Plan de Acción Regional de la Comunidad Económica de los Estados de África Occidental para hacer frente al creciente problema del tráfico ilícito de drogas, la delincuencia organizada y el uso indebido de drogas en África Occidental.",1
"374","La reunión fue en gran medida una sesión de preguntas y respuestas, en la que la troika respondió a las intervenciones de los miembros del Grupo de Trabajo.",0
"375","Reiteró con firmeza su condena personal del incidente, que, en su opinión, estaba enviando señales muy indeseables y equivocadas de cara a las elecciones de 2012, y que podría anular y desbaratar los logros nacionales conseguidos en términos de renovación de la imagen del país, consolidación de la paz y consolidación de la paz, que con tanto esfuerzo se lograron con la ayuda de nuestros socios en el desarrollo y de la comunidad internacional.",1
"376","Uganda atesora la paz y cree que la actual inestabilidad en la región de los Grandes Lagos es un freno al desarrollo.",0
"377","Sitio web iraní Rajanews, periodista Mostafa Ahmadi -- 28 de febrero de 2012",0
"378","A finales de marzo de 2008, el número de notificaciones especiales emitidas para personas incluidas en la lista ascendía a algo más de 300.",0
"379","De conformidad con el párrafo 18 de la resolución 2100 (2013) del Consejo de Seguridad, Francia presentó cuatro informes al Consejo de Seguridad en los que se exponían seis acciones de combate emprendidas en respuesta a una ""amenaza inminente y grave"" y se destacaba la labor de los destacamentos de enlace y de apoyo operativo a la MINUSMA, así como el apoyo de las fuerzas francesas en la atención a los heridos.",1
"380","En otras palabras, ahora ha surgido en el derecho internacional el derecho de las víctimas de graves abusos contra los derechos humanos (en particular, crímenes de guerra, crímenes contra la humanidad y genocidio) a la reparación (incluida la indemnización) de los daños resultantes de esos abusos.",0
"381","La entidad cotizada Al-Haramain Foundation (Estados Unidos de América) (QE.A.117.04) ha iniciado una nueva acción contra el Gobierno en el tribunal federal de distrito de Oregón, que se suma a otra anterior aún pendiente en Estados Unidos. Al-Haramain alega que la decisión de Estados Unidos de imponerle sanciones fue arbitraria y carente de pruebas sustanciales, y que también violó sus derechos al debido proceso (al no explicar la base fáctica de la actuación del Gobierno y basarse en pruebas clasificadas no facilitadas a la organización), su derecho a no ser objeto de registros e incautaciones irrazonables (basado en la congelación de sus activos) y sus derechos a la libertad de expresión, asociación y libre ejercicio de la religión. Al-Haramain también alega que la negativa del Gobierno a permitirle utilizar los activos bloqueados para pagar a sus abogados violó sus derechos procesales.",1
"382","Lamentablemente, esta postura ha permanecido inalterada, a pesar de los numerosos intentos de compromiso de la Comisión.",1
"383","Equipo de comunicaciones 29.925.915 dólares /",0
"384","Del 3 al 8 de julio, la MINUSTAH organizó una sesión de formación sobre el tema ""Mujeres y liderazgo"" para posibles candidatas a las próximas elecciones. El 25 de agosto, la MINUSTAH, junto con una organización no gubernamental local, lanzó un programa de radio semanal con vistas a sensibilizar tanto a las candidatas como a las votantes.",0
"385","(c) la Comisión estará facultada para determinar el lugar y las modalidades de entrevista de los funcionarios sirios y de las personas que considere pertinentes para la investigación;",0
"386","El Gobierno de Jordania subraya la necesidad de que el Gobierno israelí ponga fin plena e inmediatamente a sus actos de violencia y destrucción en la Franja de Gaza y en todo el territorio palestino ocupado, ponga fin a su política de destrucción deliberada de infraestructuras y viviendas palestinas y cese de inmediato sus actos de ejecución extrajudicial, la imposición de castigos colectivos y sus demás prácticas contra el pueblo palestino.",1
"387","Sin embargo, mi delegación observa con pesar que la situación de la seguridad sigue siendo preocupante.",1
"388","Esto fue posible en gran parte gracias al liderazgo del Primer Ministro Gusmão, así como a la cooperación de todos los partidos políticos con representación parlamentaria, incluida la oposición, que demostraron su voluntad de avanzar en un asunto nacional prioritario.",0
"389","De acuerdo con estos textos, las disposiciones en cuestión difieren de un caso a otro, como se indica a continuación:",0
"390","El coronel Reis y el Sr. Malik tuvieron un acalorado intercambio verbal.",1
"391","No obstante, Afganistán sigue afrontando retos en su empeño por lograr la estabilidad y el desarrollo. Entre ellos destacan la situación de la seguridad, el empeoramiento de la situación humanitaria, los problemas relacionados con el Estado de Derecho y los derechos humanos, y la violencia continuada que ha provocado víctimas civiles, que siguen aumentando.",1
"392","No obstante, me sigue preocupando profundamente que las partes, tanto los movimientos como las milicias, sigan utilizando a niños como combatientes.",1
"393","Advirtió del riesgo de que invitar a un Grupo de Amigos, que incluye a personas que no son miembros del Consejo, a participar en el proceso de toma de decisiones del Consejo pueda causar ineficiencias.",1
"394","En nombre del Comité del Consejo de Seguridad establecido en virtud de la resolución 1373 (2001) relativa a la lucha contra el terrorismo, tengo el honor de presentar al Consejo de Seguridad el informe del Comité para su examen exhaustivo de la labor del Comité y de su Dirección Ejecutiva de 2011 a 2013 (véase el anexo).",0
"395","Para ello, se le otorgaron amplios poderes, incluido el acceso sin restricciones a todos los registros de la propiedad de Bosnia y Herzegovina.",0
"396","428. La Comisión solicitó en repetidas ocasiones al Gobierno que proporcionara información sobre las acciones judiciales emprendidas para llevar ante la justicia a los autores de los presuntos crímenes cometidos en Darfur.",1
"397","D. REQUISITOS PROBATORIOS E. VERIFICACIÓN Y VALORACIÓN",0
"398","200. El Sr. Yeaten está en posesión de cinco pasaportes liberianos (dos diplomáticos y tres ordinarios, dos de los cuales le fueron entregados en blanco).",0
"399","Además, con nombres mal identificados se corre el riesgo de aplicar las sanciones a las personas equivocadas.",1
"400","También se han denunciado incidentes de confinamiento de la población civil, acompañados de ejecuciones arbitrarias, así como muertes de civiles como consecuencia de los ataques aéreos indiscriminados de las fuerzas gubernamentales.",0
"401","Reserva de explotación a 31 de diciembre de 2009",0
"402","Cualesquiera que sean sus capacidades internas, ningún Estado de nuestra región puede hacer frente a los desafíos del terrorismo, la secesión y el desarrollo, ni garantizar la apertura y la democracia.",0
"403","Cuando tuve la oportunidad de dirigirme al Consejo sobre esta cuestión en febrero (véase S/PV.5130), dije que la protección de las comunidades minoritarias, el retorno de los refugiados y desplazados, la libertad de circulación y la descentralización eran ámbitos que requerían especial atención, dada su relación directa con nuestro objetivo común de un Kosovo democrático y multiétnico.",0
"404","II.A1.010 Fibras impregnadas de resina o de brea (preimpregnadas), fibras metálicas o revestidas de carbono (preformas) o ""preformas de fibra de carbono"", según se indica:",0
"405","11. Los criterios de inclusión en la lista del régimen de sanciones contra los talibanes se establecen en los párrafos 2 y 3 de la resolución 2160 (2014) y se refieren a la asociación con los talibanes por constituir una amenaza para la paz, la estabilidad y la seguridad de Afganistán.",1
"406","22. Decide seguir ocupándose del asunto.",0
"407","Dio comisiones rogatorias y estipuló el tipo de medidas que debían llevarse a cabo, especialmente la preservación de la escena del crimen.",0
"408","""El Consejo de Seguridad observa con preocupación el aplazamiento de la primera vuelta de las elecciones presidenciales, prevista para el 29 de noviembre de 2009 en el comunicado de 18 de mayo de 2009 del Marco Consultivo Permanente del Acuerdo Político de Uagadugú, que fue refrendado por todos los principales agentes políticos de Côte d'Ivoire.",1
"409","Significa que los secesionistas siguen despreciando descaradamente el derecho internacional, rechazando los principios universales de la Carta de las Naciones Unidas.",1
"410","Exige además que las partes en el conflicto pongan fin de inmediato a todas las violaciones y abusos contra los niños y pide al Secretario General que garantice: a) la vigilancia y la presentación de informes continuas, incluso como parte de los informes mencionados en el [párrafo pertinente] supra, sobre la situación de los niños, incluso mediante una mayor cooperación con los agentes de protección de la infancia, y b) el diálogo continuo con las partes en el conflicto con miras a la elaboración y aplicación de planes de acción con plazos definidos para poner fin al reclutamiento y la utilización de niños y a otras violaciones del derecho internacional humanitario y de las normas de derechos humanos cometidas contra los niños;",1
"411","Están sometidos a una verdadera presión por parte de la comunidad internacional y cualquier comunicación bidireccional pone en peligro su seguridad.",1
"412","Actuar en virtud del Capítulo VII de la Carta de las Naciones Unidas,",0
"413","Partiendo de lo anterior, el Ministerio de Asuntos Exteriores de Georgia sostiene que la retirada de la Federación Rusa de la decisión de 19 de enero de 1996 del Consejo de Jefes de Estado de la CEI crea una grave amenaza de desestabilización, altera sustancialmente la situación en torno al conflicto y socava el marco jurídico, que determina el formato de paz de la CEI en la zona de conflicto.",1
"414","También nos preocupa la altísima tasa de desempleo y la pobreza generalizada en el país.",1
"415","Como se subrayó en esas sesiones informativas, la decisión de Eritrea de restringir todo tipo de vuelos de helicópteros de la MINUEE dentro del espacio aéreo eritreo inhibe gravemente la capacidad de la Misión para cumplir su mandato de vigilancia, solicitado por las partes en el Acuerdo de Cesación de Hostilidades de 18 de junio de 2000 y autorizado por el Consejo de Seguridad en sus resoluciones 1312 (2000) y 1320 (2000).",1
"416","Hemos pedido al Consejo en varias ocasiones que actúe para obligar a Israel a cesar sus ataques militares, garantizar la protección de la población civil y poner fin a las medidas ilegales y punitivas con las que está provocando deliberadamente una catástrofe humana en la Franja de Gaza.",1
"417","La República de Chipre depositó su instrumento de ratificación ante los Gobiernos de la Federación de Rusia, el Reino Unido y los Estados Unidos de América el 17 de noviembre de 1971, el 17 de noviembre de 1971 y el 30 de diciembre de 1971, respectivamente, la Ley No. 63/1974",0
"418","Pero la tarea es factible siempre que fijemos objetivos realistas pero basados en principios y avancemos hacia ellos con pasos deliberados, y siempre que no estemos solos mientras damos esos pasos.",0
"419","Ambos textos han sido enviados a la Secretaría General de la Presidencia de la República para que los transmita al Congreso de la República para su aprobación, a la espera de la ratificación del Presidente de la República.",0
"420","Hasta la fecha no ha habido mejoras en la reforma administrativa a nivel nacional.",1
"421","Análisis y valoración 249 - 258 52",0
"422","3. Embajador Martin Chungong Ayafor (Camerún).",0
"423","La situación sobre el terreno es preocupante también en términos humanitarios. El Secretario General confirma que Iraq atraviesa una grave crisis y afirma que la situación sigue deteriorándose.",1
"424","Algunos miembros del Consejo señalaron la importancia de la coordinación -entre los comités de sanciones del Consejo, los grupos de expertos y los Estados Miembros, así como entre las entidades de las Naciones Unidas, las misiones sobre el terreno y los mandos de las fuerzas- para lograr la aplicación efectiva de las sanciones del Consejo.",0
"425","Sin embargo, nos preocupan los informes según los cuales se ha intensificado la tensión entre los partidos del gobierno y de la oposición.",1
"426","Seis hombres murieron y fueron enterrados en tumbas individuales.",0
"427","(a) Asignación de personalidades de la UTO a cargos en todos los niveles del poder ejecutivo - finales de septiembre;",0
"428","En los párrafos 1 y 2 de su resolución 2118 (2013), el Consejo de Seguridad determinó que el uso de armas químicas en cualquier lugar constituía una amenaza para la paz y la seguridad internacionales y condenó en los términos más enérgicos todo uso de armas químicas en la República Árabe Siria.",1
"429","Vehículos robados -61.525 -202.000 342-344",0
"430","S/RES/1542 (2004), op.7 (III)(b)",0
"431","A celebrarse el jueves 9 de abril de 2009, a las 10 horas.",0
"432","Los Estados no pertenecientes a la Unión Europea trabajan de forma independiente para desarrollar marcos legislativos antiterroristas e incorporar al derecho interno los delitos tipificados en los instrumentos internacionales de lucha contra el terrorismo.",0
"433","Lo que todo el mundo tiene que hacer es rechazar las voces extremistas que encuentran consuelo en las viejas costumbres y que creen que es imposible que serbios y albaneses normalicen sus relaciones alcanzando un compromiso histórico.",1
"434","Continental Construction Limited: US$16.017.275,91;",0
"435","5. Durante las consultas informales celebradas el 5 de mayo, el Comité se reunió con el recién creado Grupo de Expertos.",0
"436","Una de las cuestiones clave en un país en situación de posconflicto es la reforma del sector de la seguridad.",0
"437","""El Consejo de Seguridad reconoce la constante infrarrepresentación de las mujeres en los procesos formales de paz y está profundamente preocupado por los obstáculos y retos persistentes derivados de situaciones como la violencia contra las mujeres, las economías y estructuras sociales destrozadas, la falta de Estado de Derecho, la pobreza, el acceso limitado a la educación y a otros recursos, y diversas formas de discriminación y estereotipos.",0
"438","Tenemos que reconocer nuestra gran preocupación por la situación actual en Afganistán.",1
"439","Otros 1. Acuerdo sobre un procedimiento único de control de las exportaciones para los Estados miembros de la Comunidad Económica Euroasiática, de 28 de octubre de 2003.",0
"440","16. Durante el período que abarca el informe, en algunas ocasiones, la FPNUL se enfrentó de nuevo a restricciones a su libertad de circulación en su zona de operaciones, que en algunos casos han puesto en peligro la seguridad del personal de mantenimiento de la paz de las Naciones Unidas.",0
"441","Israel también debe abstenerse de realizar acciones unilaterales en Jerusalén que alteren el statu quo o socaven la confianza.",1
"442","La conclusión de que las autoridades gubernamentales no han seguido ni aplicado ninguna política genocida en Darfur, ni directamente ni a través de las milicias bajo su control, no debe interpretarse en modo alguno como un menoscabo de la gravedad de los crímenes perpetrados en esa región.",1
"443","El término Janjaweed, en particular, ha sido ampliamente utilizado por las víctimas de los ataques para describir a sus agresores.",0
"444","A pesar de nuestra valoración de que sigue siendo difícil lograr un alto el fuego completo en estos momentos, sigo siendo de la opinión de que la comunidad internacional debe dejar clara su postura sobre la necesidad de un cese inmediato de las hostilidades y de un esfuerzo mucho mayor y más creíble por parte de Israel para proteger a los civiles y las infraestructuras civiles mientras se desarrollan urgentemente las condiciones para dicho cese.",1
"445","2. En la región meridional se efectuaron 209 salidas a velocidades de 720 a 780 kilómetros por hora y a altitudes de 9.000 a 13.000 metros, como se indica a continuación:",0
"446","Es posible que el arsenal de AQMI incluya ahora sofisticadas armas antiaéreas procedentes de Libia, aunque es poco probable que estén operativas.",1
"447","283. Sobre la base de sus investigaciones y del patrón de ataques aéreos que ha establecido, la Comisión opina que los militares son responsables de un gran número de ataques aéreos indiscriminados que causaron la muerte de numerosos civiles.",0
"448","Además, aumentaron los temores de que se ocuparan propiedades de minorías, con informes de una comunidad croata del municipio de Vitina y de romaníes que vivían en la ciudad de Gnjilane de que albanokosovares habían estado registrando casas vacías y, en algunos casos, intimidando a miembros de la comunidad.",1
"449","A pesar de los informes que indican la existencia de grupos armados a lo largo de la frontera del estado de Bahr El Ghazal Occidental y Darfur Meridional, la UNMIS no pudo realizar una evaluación de estas zonas debido a la falta de garantías de seguridad por parte del SPLA.",0
"450","Trece celdas contenían dos detenidos cada una, mientras que siete celdas sólo tenían un detenido cada una.",1
"451","Sr. Ihsan Mohammed, Ministerio de Transportes",0
"452","La UNAMA ha informado de que se enfrenta a un déficit presupuestario, causado por los fondos prometidos que aún no se han desembolsado.",0
"453","Insto a Hamás a responder positivamente a estas exhortaciones.",1
"454","Uganda no apoya a ninguna milicia congoleña, como alega el Representante Permanente de la República Democrática del Congo.",1
"455","2. 6. Separación de los tres poderes del Estado.",0
"456","36. El Consejo alienta a las autoridades de Burundi a que colaboren con el Representante Especial del Secretario General para establecer un mecanismo que ponga fin a la impunidad y promueva la reconciliación.",0
"457","Se celebrará el martes 12 de junio de 2012, a las 10.23 horas.",0
"458","El Consejo reitera su más enérgica condena de tales prácticas y hace un llamamiento a todas las partes en los conflictos armados para que garanticen la protección plena y efectiva de las mujeres, e insiste en la necesidad de poner fin a la impunidad de los responsables de la violencia de género.",1
"459","Otro Estado señaló que la principal responsabilidad en materia de prevención recaía en el ejército nacional y en su dirección de inteligencia y señaló que la presencia de campos de refugiados en su territorio planteaba un reto particular.",1
"460","Se prevé que el crecimiento se duplique en 2008, debido a la recuperación de los precios del petróleo y de las exportaciones agrícolas.",0
"461","La mayoría de los gobiernos parecen firmemente decididos a garantizar que los organismos encargados de hacer cumplir la ley respetan los derechos humanos, aunque en algunos casos se han manifestado serias preocupaciones por las violaciones cometidas por las fuerzas de seguridad.",1
"462","Condenando también en los términos más enérgicos la incitación a cometer actos terroristas y repudiando los intentos de justificación o glorificación (apología) de actos terroristas que puedan incitar a nuevos actos terroristas,",1
"463","Los africanos han dejado muy clara su preocupación por la situación en Zimbabue.",1
"464","En Egipto, seguimos instando a un traspaso de poderes pacífico y rápido a un gobierno civil.",1
"465","""El Consejo de Seguridad recuerda todas sus resoluciones y declaraciones sobre la lucha contra el terrorismo, reitera su enérgica condena del terrorismo en todas sus formas y manifestaciones, independientemente de quién lo cometa y de dónde y con qué propósitos, y expresa su determinación de combatir por todos los medios el terrorismo en todas sus formas y manifestaciones, de conformidad con la Carta de las Naciones Unidas y el derecho internacional, incluido el derecho internacional aplicable en materia de derechos humanos, refugiados y derecho humanitario"".",1
"466","1. Movimiento Justicia e Igualdad/Dr. Khalil Ibrahim",0
"467","El informe señala una serie de casos, sobre todo en el sector de la seguridad, que son motivo de gran preocupación.",1
"468","o El 8 de noviembre de 2014, aviones de combate del régimen atacaron los alrededores del hospital Shahid Wasim Hasimou de Idlib, causando daños en el hospital.",0
"469","1. Consejo de la Asociación Euroatlántica (CAEA), 1992",0
"470","Pero nos preocupa que la violencia pueda hacer que parte de la población se mantenga alejada de los colegios electorales del sur y de otros lugares.",1
"471","216. A partir de los resultados de las investigaciones de la Comisión y del Líbano realizadas hasta la fecha y sobre la base de las pruebas materiales y documentales recogidas y de las pistas seguidas hasta ahora, existen pruebas convergentes que apuntan a la implicación tanto libanesa como siria en este acto terrorista.",1
"472","Unas fronteras extensas, inaccesibles y en gran medida abiertas dificultan enormemente la gestión eficaz de las fronteras y facilitan las actividades de grupos delictivos transnacionales y grupos terroristas.",1
"473","Dicha cooperación condujo al desarrollo y la aplicación de soluciones prácticas en materia de coordinación naval y operativa y de cuestiones jurídicas y judiciales, medidas de autoprotección para la industria naval, diplomacia pública y desarticulación de empresas piratas ilícitas en tierra.",0
"474","Ven a los serbios de Kosovo como instrumentos de Belgrado y, por lo tanto, como parte de una amenaza que aún se cierne sobre su futuro.",1
"475","Al considerar la evolución del riesgo de incitación, hay que tener en cuenta que las formas y los medios de comunicación han evolucionado sustancialmente desde la adopción de la resolución 1624 (2005).",1
"476","Israel está obligado, en virtud del derecho internacional y como potencia ocupante, a proteger a los civiles palestinos, especialmente a los niños, y a salvaguardar la propiedad civil.",1
"477","Estados Unidos tiene ante sí dos caminos.",0
"478","El Consejo condena todos los ataques de grupos armados locales y extranjeros que amenazan a la población, así como la paz y la estabilidad de la República Centroafricana y de la subregión, incluidos los ataques del 19 de julio y del 24 de noviembre de la Convención de Patriotas por la Justicia y la Paz contra Birao.",1
"479","Aunque existe una preocupación válida por no debilitar las sanciones o parecer ""blandos"" con el terrorismo, la mejora de los procedimientos de supresión de nombres de la lista reforzaría las sanciones al tiempo que añadiría equidad.",0
"480","Panorama de la República Centroafricana",0
"481","Está claro que la cuestión general de la distribución de armas fue planteada por el ministro Ramos-Horta.",1
"482","11. Se propuso un enfoque similar al Consejo de Ministros de la CEDEAO, mediante un informe presentado en su reunión del 22 de diciembre de 2006 en Uagadugú.",0
"483","La respuesta a esto, en mi opinión, no es que se deba gastar menos en tribunales mixtos, sino que se debe prestar más atención y financiación a los sistemas nacionales de justicia post-conflicto en su conjunto.",1
"484","107. El 24 de julio de 2005, este acuerdo se incumplió porque FACI preparó su Mi-24P para operaciones militares en respuesta a un supuesto ataque contra Anyama.",1
"485","Pero ""No. 1"" estaba escrito con algo parecido a un rotulador, no con pintura.",0
"486","77. Los efectos de la sequía en la producción de cereales han sido tan graves en las tres provincias del norte como en el centro y el sur.",0
"487","Se celebrará el sábado 15 de julio de 2006, a las 15.45 horas.",0
"488","3. Invitar a los Estados miembros a considerar la reapertura de sus embajadas en la capital somalí;",0
"489","En primer lugar, aunque Sierra Leona es el miembro más avanzado de la Iniciativa para la Costa Occidental de África, la lentitud de los avances en otros lugares dificulta el intercambio de inteligencia y la alerta temprana.",1
"490","Si los Estados no pueden aplicar las decisiones adoptadas por el Consejo en virtud del Capítulo VII de la Carta de las Naciones Unidas sin contravenir sus propias leyes, la comunidad mundial perderá el poder de adoptar medidas coordinadas contra las amenazas a la paz y la seguridad internacionales.",1
"491","Debemos rechazar cualquier intento de socavar la soberanía y la integridad territorial de Somalia.",1
"492","Ley de 2005 sobre el Blanqueo de Dinero (Sección 11) 9. Ley de Impuestos Centrales de 1944",0
"493","La perspectiva de género debe formar parte de la reforma y la formación de todas las fuerzas de seguridad.",1
"494","10. La situación en Georgia (8 de octubre de 1992; 15 de junio de 2009).",0
"495","La falta de participación en esas instituciones impedirá avanzar en cuestiones concretas de la administración pública y no contribuirá en nada a mejorar la imagen internacional de Kosovo.",1
"496","El Presidente tomó nota de la persistente preocupación de algunos países por el alcance de la zona de alto riesgo.",1
"497","Siete han establecido una jurisdicción adecuada para los delitos pertinentes en su legislación, cinco han tomado algunas medidas al respecto y no hay información suficiente con respecto a nueve Estados.",0
"498","S/RES/1674 (2006), op. 22",0
"499","El Consejo de Seguridad condena todas las violaciones del derecho internacional, incluido el derecho internacional humanitario, el derecho de los derechos humanos y el derecho de los refugiados, cometidas contra civiles en situaciones de conflicto armado.",1
"500","19. Las Oficinas Consulares no disponen de ""bases de datos de referencia"" que incorporen la Lista consolidada.",0
"501","Las garantías se denominan ""garantías de cumplimiento"" en los avisos de débito. IMP inženiring no da ninguna explicación sobre la naturaleza de esta reclamación ni sobre la relación de las garantías con el proyecto del palacio Al-Sijood.",0
"502","Sin embargo, los avances en la armonización y el aumento del apoyo de los socios internacionales a las iniciativas de reforma de las FARDC del Gobierno siguieron siendo limitados.",0
"503","118. El terrorismo es un factor impulsor de un número creciente de situaciones de conflicto, especialmente en la región del Sahel y el Magreb.",1
"504","En la situación actual, extremadamente difícil, hacemos un llamamiento tanto a israelíes como a palestinos para que eviten la escalada del conflicto y empiecen a cumplir sus obligaciones en virtud de la Hoja de Ruta, a fin de reavivar las perspectivas de paz.",1
"505","25. El secuestro de niños con fines militares que caracterizó el período de conflicto ha disminuido significativamente durante el período que abarca el informe.",0
"506","11. Kisangani II se reduce, por tanto, a los intentos de la RPA de tomar Kapalata, el nudo de Lubutu-Bwafwasende y el aeropuerto de Bangoka.",0
"507","""El Consejo de Seguridad advierte solemnemente a los Estados vecinos de la República Democrática del Congo de las consecuencias del apoyo a los grupos rebeldes armados.",1
"508","1.2 por cualquier ciudadano o residente permanente en alta mar a bordo de cualquier buque o aeronave",0
"509","8. También nos preocupa profundamente el agravamiento de la lacra del terrorismo y del extremismo violento en la región sahelo-sahariana, así como los estrechos vínculos que los grupos armados terroristas mantienen con la delincuencia organizada transnacional, en particular con el tráfico de drogas y de seres humanos, el blanqueo de dinero y el tráfico ilícito de armas.",1
"510","Más se puede realizar a través de instituciones educativas así como a través de mecanismos como asociaciones deportivas y juveniles.",0
"511","""El Consejo de Seguridad sigue seriamente preocupado por la situación de seguridad en la República Centroafricana.",1
"512","Las principales facciones palestinas en Líbano expresaron su preocupación por los incidentes y se desvincularon de Fatah al-Islam.",1
"513","Apoyo de las Naciones Unidas en la fase de consolidación",0
"514","Podríamos seguir mencionando la pobreza generalizada, los problemas en la gestión de los recursos naturales, los miles de refugiados y desplazados internos, otros miles de excombatientes a la espera de su reinserción, unos sectores de seguridad débiles y sin reformar, las violaciones masivas de los derechos humanos y muchas otras amenazas que podrían alimentar nuevos conflictos.",1
"515","Dada la larga hostilidad de estos grupos hacia las Naciones Unidas, esto sugiere un riesgo continuo para el personal de la misión.",1
"516","Rendición de cuentas [U]rge al Gobierno del [país afectado] a que garantice la plena aplicación de su ""política de tolerancia cero"" con respecto a la disciplina y las violaciones de los derechos humanos, incluida la violencia sexual y de género, cometidas por elementos de las [fuerzas armadas] e insta además a que se investiguen exhaustivamente todas las denuncias de tales violaciones, con el apoyo de [la misión], y a que todos los responsables comparezcan ante la justicia mediante un proceso sólido e independiente.",1
"517","Esto llevó al Consejo de Seguridad a determinar, en su resolución 1556 (2004), que el conflicto de Sudán constituía una amenaza para la paz y la seguridad internacionales y para la estabilidad de la región, y a pedir al Gobierno, en virtud del capítulo VII de la Carta de las Naciones Unidas, que cumpliera inmediatamente los compromisos contraídos en el comunicado conjunto.",1
"518","En primer lugar, han creado una emergencia humanitaria permanente que amenaza la paz y la estabilidad de Haití.",1
"519","Por lo tanto, es importante que los Estados no pierdan de vista este elemento del embargo. El Comité tal vez desee recordárselo cuando surja la oportunidad, alentándoles a que presenten para su inclusión en la lista los nombres de quienes proporcionen ""asesoramiento técnico, asistencia o capacitación relacionados con actividades militares"" (resolución 1617 (2005), párr. 1 c)) en violación de las medidas. 1 (c)) en violación de las medidas.",1
"520","4. En la Asamblea Nacional, el Partido del Congreso Nacional (PCN) obtuvo 73 de los 86 escaños asignados a Darfur.",0
"521","177. La investigación de la Comisión sobre la pista de Abu Adass se centró en tratar de determinar el paradero del Sr. Abu Adass y evaluar la probabilidad de que el Sr. Abu Adass fuera realmente el terrorista suicida que supuestamente era.",0
"522","Se celebrará el jueves 9 de junio de 2011, a las 10.00 horas.",0
"523","41. No proliferación (29 de marzo de 2006; 12 de junio de 2012).",0
"524","Los retos a los que se enfrenta el país exigen que los líderes haitianos forjen un vínculo común.",1
"525","Entrelaza un nuevo mensaje con imágenes que muestran a Mustafa Abu Al Yazeed, alias Sheikh Saeed, jefe de Al-Qaida en Afganistán, junto con dirigentes talibanes; extractos de mensajes de Bin Laden; noticias de televisión; clips de destacados Jefes de Estado y de Gobierno, entre ellos muchos de países árabes; funcionarios de la Agencia Central de Inteligencia (CIA); funcionarios de la Organización del Tratado del Atlántico Norte (OTAN); expertos antiterroristas; clérigos musulmanes; eruditos; periodistas; abogados y partidarios occidentales de Al-Qaida.",1
"526","2. La situación en Guinea-Bissau",0
"527","Se espera que no se produzcan carencias similares durante las fases finales de la retirada progresiva del programa.",0
"528","6. Subraya que está plenamente dispuesta a imponer medidas selectivas contra las personas que designe el Comité de conformidad con los párrafos 9, 11 y 14 de la resolución 1572 (2004) que se determine que son, entre otras cosas:",1
"529","Las pruebas recogidas por el Grupo durante este mandato no apoyan esta conclusión.",0
"530","4 Bienes materiales del Ejército del Aire (aviones y motores de avión) - 122.018.489 USD",0
"531","El Equipo ha observado que Al-Qaida, los talibanes y sus asociados utilizarán cualquier explosivo disponible, por ejemplo, explosivos de uso militar en zonas de conflicto, o los componentes necesarios para improvisar un artefacto explosivo, como nitrato de amonio, en otros lugares (S/2007/132, párr. 90).",0
"532","62. Los grupos armados en los territorios de Lubero y Beni, en Kivu del Norte, han proliferado en 2012 y 2013.",0
"533","Abarca el período comprendido entre el 1 de febrero de 2010 y el 30 de abril de 2010.",0
"534","a sabiendas o con la intención de que dichos apoyos o recursos se utilicen -",0
