"","es","MatCoop"
"674","La reclamación se refiere a la presunta pérdida de bienes tales como cables eléctricos, aceite y piezas de repuesto que Hitachi utilizó para las obras de instalación en distintos proyectos en Kuwait. MEA era el empleador de todos esos proyectos.",0
"675","2. La situación en Côte d'Ivoire.",0
"676","Se están tomando medidas para fortalecer el papel del Equipo de las Naciones Unidas de apoyo al país, incluida la contratación de un nuevo jefe de la Oficina del Coordinador Residente y la determinación del personal adicional necesario.",1
"677","b) La Asamblea General y el Consejo de Derechos Humanos deberían ampliar los mecanismos de vigilancia e información sobre los derechos humanos en la República Popular Democrática de Corea que son anteriores al establecimiento de la comisión; se incluyen aquí los informes periódicos del Secretario General y del Alto Comisionado de la Naciones Unidas para los Derechos Humanos así como el mandato del Relator Especial sobre la situación de los derechos humanos en la República Popular Democrática de Corea.",1
"678","La ONUCI sigue estrechamente de cerca las incitaciones al odio y la violencia en los medios de difusión, y presenta informes mensuales al respecto al Consejo de Seguridad, y fortalecerá aún más su capacidad de vigilancia y análisis de los medios de difusión en el período previo a las elecciones.",1
"679","Actuando en virtud del Capítulo VII de la Carta de las Naciones Unidas,",0
"680","a) Continuará intensificando su cooperación con las organizaciones internacionales, regionales y subregionales y estableciendo modalidades de operación con cada una de ellas que tengan en cuenta las diferencias que existen entre sus capacidades y mandatos, entre ellas diálogos a nivel de trabajo, exposiciones informativas al Comité y de este, y mejores acuerdos de intercambio de información;",1
"681","La presencia de personas fallecidas en la Lista es un grave obstáculo a su credibilidad, aunque las directrices del Comité estipulan que, para suprimir a una persona fallecida, el Comité necesita un certificado de defunción o un documento oficial análogo, así como una declaración oficial de que no figura en la Lista ningún beneficiario o copropietario legal de cualesquiera activos congelados.",0
"682","Wellcome Trust Dual-Use Bioethics Group de la Universidad de Bradford (Reino Unido), junto con la Academia Nacional de Ciencias de los Estados Unidos 2 a 4 de septiembre",0
"683","Las obligaciones de los Estados en cuanto a la tipificación como delito de la financiación del terrorismo se enuncian en la resolución 1373 (2001) y en el Convenio sobre la financiación del terrorismo.",1
"684","En lugar del famoso logotipo del Mundial de Fútbol de 2014, que se compone de tres manos victoriosas que sostienen el globo formando la prestigiosa copa, la viñeta de la Autoridad Palestina muestra un ""trofeo"" de tres manos que agarran a tres personas cuyos brazos están levantados en actitud de rendirse.",0
"685","El 30 de agosto de 2010, el SPLA estableció una Dependencia de Protección de los Niños en Bilpham, en el estado de Equatoria Central, para prestar apoyo a la aplicación del plan de acción de las Naciones Unidas y el SPLA.",1
"686","Por ejemplo, la Misión de Investigación de las Naciones Unidas sobre el Conflicto de Gaza fue la única que utilizó las audiencias públicas como parte de su metodología de investigación para asegurar un proceso inclusivo, y para dar voz a las víctimas que no habían sido escuchadas y defender sus derechos a la verdad y la justicia.",1
"687","Los dos años de conflicto habían agudizado las diferencias políticas y agravado las ya precarias condiciones socioeconómicas de la mayor parte de la población.",0
"688","Para lograr el retorno sostenible y el establecimiento de comunidades minoritarias viables, será necesario llevar a cabo un proceso de descentralización que mejore la capacidad de las comunidades no albanesas de Kosovo para proteger su identidad y sus medios de vida, les dé confianza en el futuro y los aliente a participar más activamente en las instituciones de gobierno de Kosovo.",1
"689","Desde que inició su misión en octubre de 2006, el Equipo de Tareas Marítimo ha interceptado y reclamado información a más de 21.980 buques en su zona de operaciones.",0
"690","Hasta la fecha, esta estrategia ha dado buenos resultados.",0
"691","En el marco del proyecto para agentes no estatales de la UNIPSIL, la Comisión de Inscripción de Partidos Políticos siguió desempeñando un papel fundamental en la ejecución de programas de desarrollo de la capacidad de los partidos políticos, incluidas sus secciones de mujeres y jóvenes, para mitigar y resolver los conflictos.",1
"692","El Equipo da cuenta de los progresos hechos por la comunidad internacional para limitar la circulación de los terroristas y de quienes los apoyan, incluida la iniciativa conjunta reciente de la Interpol y el Consejo de Seguridad que dio por resultado la publicación de un aviso internacional, con datos de identidad, descripciones, fotografías e impresiones dactilares, de las personas incluidas en la lista consolidada.",1
"693","La Ley No. 535/2004 de prevención y lucha contra el terrorismo fue promulgada por el Presidente de Rumania en virtud del Decreto No. 994/2004, de 24 de noviembre de 2004, y entró en vigor tres días más tarde.",1
"694","El Consejo de Seguridad señala que los equipos multidisciplinarios de evaluación de las Naciones Unidas, con el consentimiento de los Estados anfitriones, podrían ayudar a los Estados y prestarles apoyo en la separación de los combatientes y los civiles.",1
"695","Aunque algunos responden con lentitud al Comité, un número cada vez mayor tiene gran interés en participar en la labor de éste, ya sea aportando nombres o promoviendo ideas de nuevas esferas en las que las sanciones u otras medidas del Consejo de Seguridad puedan ayudar a frenar el reclutamiento y reducir la posibilidad de nuevos ataques de terroristas relacionados con Al-Qaida y los talibanes.",1
"696",":: Respeto del derecho de los refugiados y desplazados internos a regresar en forma voluntaria y en condiciones de seguridad y dignidad a sus lugares de origen.",1
"697","2. Cuestión de India-Pakistán (véase S/7382).",0
"698","A finales de agosto, el ACNUR tenía contabilizado un déficit de 18.000 viviendas.",0
"699","Cada año se exportan unos 2 millones de animales, lo que genera aproximadamente el 40% del PIB.",0
"700","La base de operaciones de Bir Lahlou fue reforzada con observadores militares adicionales de la base de Tifariti y la Misión se mantuvo en estrecho contacto con el Frente Polisario.",1
"701","El Comité desempeña una función crucial en las iniciativas antiterroristas de las Naciones Unidas manteniendo, actualizando y mejorando su Lista consolidada de personas y entidades asociadas con Al-Qaida y los talibanes y dando un seguimiento eficaz a la aplicación por los Estados Miembros de las sanciones contra las personas y entidades que figuran en la Lista.",1
"702","El 25 de julio informé al Consejo de Seguridad de mi decisión de nombrar a Peter van Walsum (Países Bajos) Enviado Personal mío para el Sáhara Occidental, con objeto de que me ayude a evaluar la situación y a explorar con las partes y los Estados vecinos y otros interesados el mejor modo de salir del callejón sin salida político en el que nos encontramos.",1
"703","Actuando en virtud del Capítulo VII de la Carta de las Naciones Unidas,",0
"704","Un cuarto elemento que reviste la misma importancia en este contexto, y que se ha planteado en relación con la retirada de las tropas, el equipo militar y el aparato de inteligencia de Siria, es la necesidad de que el Líbano y la República Árabe Siria lleguen a un acuerdo sobre las fronteras internacionales que separan a los dos países y su delimitación sobre el terreno.",1
"705","La Organización Internacional para las Migraciones (OIM) siguió apoyando el desarrollo del servicio de migración de la policía nacional mediante un amplio programa de creación de capacidad, prestando apoyo jurídico para revisar la legislación sobre inmigración y concesión de asilo, y asistiendo en la implantación de un sistema de información sobre la gestión de la frontera.",1
"706","5 x 2 000 francos = 10 000 francos CFA",0
"707","En el marco de la revisión, se revisaron 488 nombres de personas, grupos y entidades sujetos al régimen de sanciones impuesto a Al-Qaida y los talibanes a fin de actualizar sus entradas o excluirlas de la Lista cuando el Comité decidió que su presencia no era ya pertinente.",1
"708",":: Continúen elaborando iniciativas para prohibir y prevenir la incitación, determinar las mejores prácticas e intercambiar información, teniendo en cuenta la necesidad de garantizar que todas las medidas pertinentes se ajusten a sus obligaciones jurídicas internacionales, incluidas las obligaciones en materia de derechos humanos.",1
"709","En total, 12 Estados han adoptado disposiciones para reglamentar la producción, la venta y la transferencia de armas y explosivos, aunque sólo dos han aplicado plenamente esas medidas.",1
"710","En ocho Estados se han implantado medidas para impedir el traslado ilegal transfronterizo de personas, y nueve Estados vigilan y controlan efectivamente la importación y exportación de armas y explosivos.",1
"711","Informe del Sr. Carl Bildt, Enviado Especial del Secretario General para los Balcanes (véase S/2000/40/Add.8)",0
"712","Para conseguir una repatriación sostenible y comunidades minoritarias viables, se necesitará un proceso más amplio de descentralización.",1
"713","El Juez Mezher aceptó la propuesta en las condiciones siguientes. Que los vehículos se filmaran en el lugar del suceso, que fueran marcados y numerados; también debían ser filmados durante el transporte y una vez más a su llegada al cuartel de Helou, donde debían ser cubiertos y custodiados las 24 horas del día para evitar que se destruyeran pruebas.",0
"714","Prosiguió la cooperación estrecha entre la UNOMIG y las fuerzas de mantenimiento de la paz de la CEI mediante visitas de enlace periódicas, las reuniones cuatripartitas semanales, los intercambios de información y las patrullas conjuntas.",1
"715","Por lo menos tres de los 142 talibanes que figuran en la lista han sido detenidos, pero las acusaciones concretas de que han sido objeto todavía no se conocen claramente.",1
"716","2. Decide que la Dirección Ejecutiva seguirá actuando como misión política especial, con la orientación normativa del Comité contra el Terrorismo, durante el período que terminará el 31 de diciembre de 2010, y decide también hacer un examen provisional de la labor de la Dirección Ejecutiva antes del 30 de junio de 2009 y examinarla a fondo antes de que concluya su mandato;",1
"717","Por otra parte, durante el período de la UNTAET se crearon muchas de las instituciones estatales modernas, entre ellas, el Parlamento Nacional, el Consejo de Ministros, las estructuras de los gobiernos locales, el servicio de policía y la fuerza de defensa.",1
"718","Alienta en particular a los Estados a reforzar la seguridad física y la gestión de los arsenales, destruir las armas pequeñas y armas ligeras excedentes y obsoletas, marcar todas las armas pequeñas y armas ligeras en el momento de su fabricación y su importación, reforzar el control de las exportaciones y de las fronteras y vigilar las actividades de intermediación.",0
"719","El mecanismo está integrado por: el Sr. embajador Juan Larrain (Chile), en calidad de Presidente, la Sra. Christine Gordon (Reino Unido de Gran Bretaña e Irlanda del Norte), el Sr. Wilson Kalumba (Zambia) y el Sr. Ismaila Seck (Senegal).",0
"720","Avances logrados en la eliminación del programa de armas químicas sirias",1
"721","Este sector precisa de especial protección en materia de financiación del terrorismo, dado que la utilización indebida de las organizaciones sin fines de lucro puede perjudicar de forma duradera a las propias organizaciones y poner freno a las donaciones caritativas en general.",1
"722",":: Efectuará nuevas verificaciones en ámbitos en que el examen inicial de los informes haya revelado lagunas en la información o la aplicación en relación con todos los aspectos de la resolución que abarquen todas las medidas requeridas, para cada tipo de arma o sus respectivos sistemas vectores y los materiales conexos, incluida la modificación de las matrices en caso de que sea de utilidad",1
"723","Actualmente, el Gobierno procura asegurar que el sector de los diamantes cumpla las normas del sistema de certificación del Proceso de Kimberley.",0
"724","Esos proyectos ayudan también a rehabilitar bienes comunitarios como caminos, mercados, escuelas, pozos, instalaciones de captación de agua y canales de riego.",0
"725","Se ha creado un equipo de asesores más amplio de la Misión de Policía de la Unión Europea que prestará apoyo y asesoramiento técnico en cuestiones policiales.",1
"726","El Consejo de Seguridad recuerda su resolución 2048 (2012) y, a ese respecto, reitera que está dispuesto a examinar la posibilidad de adoptar otras medidas, incluidas, si las considera necesarias, sanciones selectivas contra las personas que menoscaben los esfuerzos por restablecer el orden constitucional.",0
"727","La primera cuestión es la situación de los estupefacientes en el Afganistán, un desafío grave y creciente no solo para el Afganistán sino también para el resto del mundo.",0
"728","Esas deliberaciones se continuarán en la Conferencia de Examen de 2006.",0
"729","Cabe destacar que otros representantes superiores libaneses, como el ex Primer Ministro Najib Miqati, han afirmado que ""no debe haber armas dentro o fuera de los campamentos"".",0
"730",":: 9 de septiembre de 2004: el Primer Ministro Rafik Hariri indica a los periodistas que se propone renunciar.",0
"731","Creación de un sistema normalizado de gestión y seguimiento de los casos de violencia por motivos de género; confección de una lista de verificación para altos directivos; presentación de informes sobre los cinco compromisos contraídos por el Alto Comisionado con respecto a las refugiadas.",1
"732","Pese a la persistente campaña de promoción que han llevado a cabo las Naciones Unidas, en los centros de detención de Bamako sigue habiendo nueve menores presuntamente asociados con grupos armados, contraviniendo el protocolo sobre la liberación, reunificación y reintegración de los niños asociados con fuerzas o grupos armados en Malí, firmado el 1 de julio de 2013 por el Gobierno.",0
"733","La aprobación de la ley electoral por el Parlamento permitiría a la Comisión Electoral Independiente establecer el calendario electoral y continuar con la organización de las elecciones.",1
"734","Por otra parte, se propuso también el intercambio de información en materia de cooperación interinstitucional, aplicación de medidas coercitivas, planificación voluntaria de la aplicación y datos cronológicos, entre otras opciones, a fin de que el Comité tenga un mejor conocimiento de las medidas de aplicación adoptadas a nivel nacional de conformidad con lo dispuesto en la resolución 1540 (2004).",0
"735","Su disciplina y su comportamiento han sido excelentes, lo que honra a ellos mismos y a las Naciones Unidas.",0
"736","Cinco Estados han adoptado medidas parciales para impedir que se recurra indebidamente al procedimiento de asilo, y dos han implantado plenamente los controles necesarios.",1
"737","Entre 2008 y 2010, se detectaron varios aviones privados que volaban de la República Bolivariana de Venezuela a África occidental, entre ellos aparatos bimotores de turbohélice y aviones a reacción.",0
"738","En los debates con la Comisión acerca de la metodología de los comités sobre violaciones, se hizo mucho hincapié en la gran publicidad que se había dado al mandato de éstos.",0
"739","Para lograr la viabilidad y sostenibilidad financiera de la policía local, la Misión de Policía de la Unión Europea ha fomentado la capacidad local en materia de escalas de sueldos, planificación presupuestaria de las dependencias orgánicas, revisión de los gastos de mantenimiento de locales, racionalización del uso del equipo policial, control de inventarios y nóminas y ejecución y gestión generales de los presupuestos.",1
"740","En lo referente a los acuerdos militares Nos. 2 y 3, las partes han seguido ofreciendo un alto grado de cooperación con la MINURSO en lo relativo al marcado y la eliminación de minas y artefactos explosivos sin detonar.",1
"741","El programa de fortalecimiento de la paz del Gobierno del Afganistán (véase párr. 16 supra) permitiría a los antiguos insurgentes reincorporarse a la sociedad afgana.",1
"742","El nuevo reglamento, en proceso de redacción, de acuerdo con dicha Posición Común prohibirá la adquisición de los productos y tecnologías incluidos en su anexo I, en el que se incluirán los productos y tecnologías citados en este apartado, desde el Irán, tanto si dichos productos o tecnología son originarios del Irán o no.",0
"743","Las novedades más pertinentes para el mandato de vigilancia de la UNMOVIC fueron los biosensores y los métodos espectrales, como la espectrometría de masa y la espectrometría Raman, en combinación con varios métodos cromatográficos e inmunológicos.",0
"744","Teniendo en cuenta que los contrabandistas obtienen beneficios por encima del 100%, estas redes de contrabando tienen un gran interés en prolongar el conflicto.",0
"745","Todos los Estados tienen una política de lucha contra el terrorismo y la gran mayoría son conscientes de la existencia de Al-Qaida y los talibanes, aunque muchos quizá no centren su interés en la lista consolidada.",1
"746","El Gobierno declaró repetidamente que los comandantes militares habían recibido instrucciones de no bombardear.",1
"747","El Chad y Guinea se mencionaron asimismo en el contexto de la alerta temprana, en el que el deterioro de las situaciones humanitarias tenía repercusiones potenciales en la estabilidad de la región.",0
"748",":: Prestación de asistencia técnica en la preparación y aplicación de leyes encaminadas a luchar contra la difusión de mensajes que propugnen el odio.",1
"749","Si esta persona es declarada culpable, tienen la obligación de castigarla y ofrecer un recurso efectivo y reparaciones a las víctimas.",1
"750","b) Impedir la entrada en su territorio o el tránsito por él de esas personas, entendiéndose que nada de lo dispuesto en este párrafo obligará a un Estado a negar la entrada en su territorio o exigir la salida de él a sus propios nacionales y que este párrafo no será aplicable cuando la entrada o el tránsito sean necesarios para una diligencia judicial o cuando el Comité determine, para cada caso en particular, que la entrada o el tránsito tienen justificación, incluidos los casos en que esto se relacione directamente con el apoyo a las iniciativas del Afganistán para promover la reconciliación;",0
"751","El Consejo de Seguridad reconoce la necesidad de un seguimiento y una presentación de informes sistemáticos sobre los avances realizados en la protección de los civiles en los conflictos armados.",0
"752","En la Declaración, los Estados signatarios se habían comprometido a poner fin al reclutamiento y utilización de niños por parte de las fuerzas armadas y los grupos armados.",1
"753","2.8 b) El artículo 180 estipula lo siguiente:",0
"754","Extendida en la ciudad de Coronado a las 14.00 horas del 6 de julio de 2005.",0
"755","Del 24 al 28 de octubre de 2011, la División de Asesoramiento Civil y Militar de la KFOR y la Fuerza de Seguridad de Kosovo completaron conjuntamente la etapa de armonización de su cuarta evaluación conjunta.",1
"756","Celebro los progresos que se han hecho en la limpieza de minas y restos explosivos de guerra en el Sáhara Occidental.",1
"757","Asimismo, presento a la consideración del Consejo de Seguridad que autorice al Secretario General brindar la asistencia que se considere necesaria a la Comisión Trilateral que han conformado los Gobiernos hermanos de Honduras, El Salvador y Nicaragua para retomar la negociación y puesta en marcha del régimen de cosoberanía en el Golfo de Fonseca, a fin de lograr el desarrollo integral, social, económico y ecológico del Golfo.",0
"758","Las dos partes en el Acuerdo General de Paz nombraron agentes de coordinación para la cuestión de los niños y el conflicto armado.",1
"759","En su resolución 1521 (2003), el Consejo de Seguridad también estableció un comité para supervisar la aplicación de las medidas. También se creó un grupo de expertos para que proporcionara información al Comité sobre la aplicación de las medidas impuestas y los progresos realizados en relación con el cumplimiento de las condiciones para el levantamiento de las sanciones.",1
"760","En mayo y junio, no había existencias de vacunas contra la tuberculosis ni de jeringas, con lo que disminuyó considerablemente el número de beneficiarios del programa de inmunización.",0
"761","Por último, los participantes en el grupo destacaron la necesidad de estar abiertos al establecimiento de mecanismos innovadores y de trabajar para crear sistemas amplios y que se refuercen mutuamente con el fin de crear vínculos entre la Corte Penal Internacional, los posibles tribunales híbridos futuros y los organismos nacionales, así como entre los juicios penales y los programas de reparación.",0
"762","Cuando las milicias atacan conjuntamente con las fuerzas armadas, se puede afirmar que actúan bajo el control efectivo del Gobierno, lo cual se corresponde con la noción de control enunciada en 1999 en la causa Tadić Appeal (párrs. 98 a 145).",0
"763","Aunque el Acuerdo General de Paz y el Acuerdo sobre la supervisión de la gestión de las armas y los ejércitos contenían disposiciones para la disolución de la milicia vinculada al ejército maoísta, ninguno de ellos proponía planes detallados al respecto.",1
"764","Los puestos de control estaban en los distritos de Bakahaara, Madina y Sinai de la ciudad.",0
"765","de la oficina central",0
"766","En el párrafo 8 de la misma resolución, el Consejo encomendó al Comité que designara a las personas y entidades: a) que participaran en actos que amenazaran la paz, la seguridad o la estabilidad de Somalia; b) que hubieran actuado en violación del embargo de armas general y completo; y c) que obstruyeran la prestación de asistencia humanitaria a Somalia o el acceso a esa asistencia.",0
"767","La Misión de Determinación de los Hechos que investiga las denuncias de empleo de sustancias químicas tóxicas como armas en la República Árabe Siria prosigue su trabajo.",1
"768","Actualmente, las misiones de Guyana en el extranjero disponen de un mecanismo de archivo manual de la lista consolidada, que las oficinas consulares utilizan como referencia.",0
"769","El 26 de julio el Consejo emitió un comunicado de prensa en el que condenaba el ataque terrorista contra la Fuerza Provisional de las Naciones Unidas en el Líbano (FPNUL) en que habían resultado heridos seis miembros franceses del personal de mantenimiento de la paz de las Naciones Unidas. Cuestiones temáticas y de otro tipo",0
"770","El Comité contra el Terrorismo, establecido en virtud de la resolución 1373 (2001) del Consejo, había venido desempeñando una función clave a ese respecto.",0
"771","Los Estados deben velar por que sus leyes y directrices sean lo suficientemente flexibles y sólidas como para poder hacer frente a cualquier nueva amenaza y mantener su función preventiva.",1
"772","1.1 Sírvase indicar si se ha promulgado el nuevo Código Penal, especialmente las disposiciones que tipifican el reclutamiento de personas para la comisión de actos de terrorismo.",1
"773","Ésta es la primera vez que el presupuesto ha superado los 1.000 millones de euros.",0
"774","Pide al Secretario General y a los organismos pertinentes de las Naciones Unidas, entre otras cosas, que en consulta con las mujeres y las organizaciones dirigidas por mujeres, y según resulte apropiado, elaboren mecanismos eficaces para proteger de la violencia, en particular de la violencia sexual, a las mujeres y las niñas en los campamentos de refugiados y desplazados internos administrados por las Naciones Unidas, así como en todos los procesos de desarme, desmovilización y reintegración y en los esfuerzos de reforma de la justicia y del sector de seguridad que reciben asistencia de las Naciones Unidas.",0
"775","19. Solicita al Grupo de Expertos que siga coordinando sus actividades, según proceda, con las operaciones de la Operación Híbrida de la Unión Africana y las Naciones Unidas en Darfur (UNAMID) y con las gestiones internacionales para promover un proceso político en Darfur, y que, en sus informes provisional y final, evalúe los avances realizados para reducir las violaciones por todas las partes de las medidas impuestas por los párrafos 7 y 8 de la resolución 1556 (2004), el párrafo 7 de la resolución 1591 (2005) y el párrafo 10 de la resolución 1945 (2010), y los progresos hacia la eliminación de los impedimentos que entorpecen el proceso político, las amenazas para la estabilidad de Darfur y la región, las violaciones del derecho internacional humanitario o las violaciones o abusos contra los derechos humanos, incluidos los ataques a la población civil, la violencia sexual y por motivos de género y las violaciones y abusos graves contra los niños, y otras violaciones de las resoluciones mencionadas, y que proporcione al Comité información sobre las personas y entidades que cumplen los criterios de inclusión en la lista que figuran en el párrafo 3 c) de la resolución 1591 (2005);",1
"776","Se conceden exenciones a los suministros de armas y material mortífero conexo a las fuerzas de seguridad de Côte d'Ivoire destinados únicamente a apoyar el proceso de reforma del sector de la seguridad de Côte d'Ivoire o a su uso en el marco de ese proceso, previa notificación al Comité.",1
"777","La intención del Presidente Bashir en la promesa que hizo el 19 de junio de 2004 de desarmar a los Janjaweed era que ésta fuera aplicable sólo a los bandoleros, no a las Fuerzas Populares de Defensa, la policía popular u otros miembros tribales armados por el Estado para combatir a los rebeldes.",1
"778","La estrategia hace hincapié en el valor que el Comité y su Dirección Ejecutiva agregan a la lucha mundial de las Naciones Unidas contra el terrorismo, y permite informar a distintos sectores del público destinatario acerca de las iniciativas del Comité y las actividades de la Dirección Ejecutiva en todo el mundo.",1
"779","Varios instrumentos internacionales de derechos humanos prohíben el uso de la tortura.",1
"780","En 2009, la Federación de Rusia endureció las sanciones penales por asistir o participar en actividades terroristas (incluido el reclutamiento) y se presentó un proyecto de ley para endurecer la responsabilidad penal por delitos relacionados con el terrorismo.",1
"781","En mayo de 2000, Turabi encabezó una ruptura con el partido Congreso Nacional, que era el partido de gobierno, y estableció un nuevo partido denominado Congreso Popular.",1
"782","La orden prohíbe asimismo la venta o suministro por personas de los Estados Unidos o procedentes de los Estados Unidos, o que utilicen buques o aviones registrados en los Estados Unidos de: i) cualquier clase de equipo utilizado en minería; ii) vehículos o buques motorizados, o sus partes; iii) servicios de extracción de minerales o servicios de transporte subterráneos o por vía acuática, cualquiera que sea el origen, destinados al territorio de Angola, a menos que sea mediante un punto de entrada especificado.",0
"783","Sin embargo, nos preocupan los informes en que se indica que se han intensificado las tensiones entre el partido de Gobierno y los partidos de la oposición.",0
"784","El Ministerio de Justicia ha establecido, con asistencia técnica proporcionada por la ONUCI, una célula especializada de redespliegue de personal de la justicia y los servicios penitenciarios, para facilitar el proceso de redespliegue en los servicios policial, de justicia y penitenciario.",1
"785","El técnico hizo notar que el disco duro externo de la Oficina sólo está conectado al sistema de tarjetas de identidad suministrado por DeBeers y no se está utilizando como reserva de todo el sistema.",0
"786","Atendiendo a la petición que le formuló, la MONUSCO también prestó apoyo a las gestiones de la Alliance des patriotes pour un Congo libre et souverain para integrarse en las FARDC.",1
"787","D. Pagos efectuados o reparación prestada a terceros",0
"788","No se ha formado una administración y la ciudad y el resto de las regiones de Bay y Bakool no tienen ninguna forma de gobierno.",0
"789","A pesar de que el ex-Presidente Compaoré se dirigió al país por la radio ese mismo día, para anunciar la retirada del proyecto de ley y declarar el estado de emergencia, las protestas violentas se intensificaron en Uagadugú y se extendieron más allá de la capital.",0
"790","Equivalente en dólares: 455.090.972 rials iraníes/1.375",0
"791",":: El 7 de noviembre de 2014, las fuerzas del régimen bombardearon los alrededores de la mezquita de Tayba al-Qadim en Damasco Rural, e hirieron a 14 civiles a la salida de las oraciones del viernes.",0
"792","Los dos centros en funcionamiento que han dispensado atención médica a 171 pacientes internados y a 1.634 pacientes externos, prestan actualmente servicios de fisioterapia a 726 pacientes.",0
"793","El Equipo señaló en su segundo informe (S/2005/83, párr. 135) que la Unión Europea, la más desarrollada de estas zonas, garantiza a sus ciudadanos la libertad de circulación dentro del territorio de sus 25 Estados miembros, mientras que con el Acuerdo de Schengen se eliminaron los controles fronterizos entre muchos de los Estados europeos, al tiempo que se reforzaban los controles ejercidos en las fronteras externas del espacio de Schengen y se aumentaba la cooperación judicial y policial dentro del sistema de Schengen.",1
"794","- La Tercera Cumbre América del Sur - Países Árabes tendrá lugar en Lima en 2011.",0
"795","11. Recuerda que debe asegurarse la rendición de cuentas por esos graves crímenes adoptando medidas a nivel nacional y mejorando la cooperación internacional en apoyo de los mecanismos nacionales, señala que ha de considerarse toda una gama de mecanismos de justicia y reconciliación, incluidos los tribunales penales nacionales, internacionales y ""mixtos"", y las comisiones de la verdad y la reconciliación, así como los programas nacionales de reparación para las víctimas y las reformas institucionales, y subraya el papel que le corresponde para poner fin a la impunidad;",1
"796","El Equipo continuó participando de forma activa en la elaboración de medidas para luchar contra la financiación del terrorismo, tomando parte en reuniones plenarias del GAFI y en reuniones de sus órganos regionales.",1
"797","Para poder disponer de dichas armas, el Comandante da Cruz había desarmado a miembros de la UPF de los distritos orientales.",1
"798","Cuatro Estados han promulgado medidas jurídicas adecuadas para tipificar como delito el proporcionar cobijo, mientras que cuatro lo han hecho parcialmente y dos no han facilitado información al respecto.",1
"799","253.514,95 en el Delta Banka AD, Belgrado",0
"800","c) Ayudar a los Estados a crear capacidad, en colaboración con el Grupo de Lucha contra el Blanqueo de Dinero en África Oriental y Meridional, para constituir o reforzar las unidades de inteligencia financiera de la subregión y desarrollar las capacidades legislativas y operacionales de los Estados para congelar fondos sin demora.",1
"801","En zonas de crisis y zonas que salen de un conflicto, la solución del problema de la circulación excesiva de armas pequeñas tiene que concentrarse -- aparte de las medidas básicas de reducción y control -- en el establecimiento de medios de subsistencia alternativos sostenibles, teniendo en cuenta factores de género y edad.",1
"802","En ella se definieron distintas medidas que debían adoptar y aplicar los Estados Miembros y se estableció el Comité contra el Terrorismo para que verificara su aplicación.",1
"803",":: El 2 de noviembre de 2014, unos aviones de combate del régimen sirio atacaron Um Twyena y provocaron la muerte de cinco personas.",0
"804","Los Estados de la subregión han ido bastante más allá de los enfoques orientados meramente a la aplicación de las leyes y han asumido el desafío que plantean los grupos terroristas.",1
"805","14. Todas las víctimas, incluidas las víctimas de expulsiones y de la demolición de viviendas, deberían recibir un resarcimiento completo y adecuado.",1
"806","También en este caso, como en el precedente, todo crimen cometido por dichas milicias entrañaría no solamente la responsabilidad penal de sus autores materiales, sino también la responsabilidad de las autoridades superiores del Sudán si dichas autoridades ordenaron o planearon esos crímenes o no hicieron nada para impedirlos o reprimirlos (responsabilidad de los superiores).",0
"807","Se están preparando normas y procedimientos comunes en las seis esferas clave siguientes: el código de conducta; materiales y estrategias de capacitación; normalización de los procedimientos para la transmisión de denuncias dentro de un organismo; información de la comunidad; normalización de los procedimientos de los organismos de ejecución asociados de las Naciones Unidas y la MONUC de conformidad con el boletín del Secretario General (ST/SGB/2003/13) sobre medidas especiales de protección contra la explotación y los abusos sexuales; y la transmisión de denuncias recibidas por un organismo sobre un incidente en el que hubiera implicado un funcionario de otro organismo.",1
"808","12/403/90 - septiembre de 1990",0
"809","a) Participar más activamente en las organizaciones internacionales y regionales (como la Organización del Tratado de Seguridad Colectiva, la Organización para la Seguridad y la Cooperación en Europa, el Organismo Regional de Lucha contra el Terrorismo de la Organización de Cooperación de Shanghai y la Escuela Superior del Personal de Gestión Fronteriza de la Organización para la Seguridad y la Cooperación en Europa en Dushanbe (Tayikistán)), para centrarse en actividades dirigidas a superar las deficiencias y mejorar la aplicación de la resolución 1373 (2001);",1
"810","ABC News, canal estadounidense; Ayman Mohyeldin, periodista estadounidense, 17 de enero de 2012",0
"811","Suprímase: ""6. Decreto No. 117 del Presidente de Ucrania, de 13 de febrero de 1998"";",0
"812","Tomando nota de la solicitud del Gobierno del Afganistán de que el Consejo de Seguridad preste apoyo a la reconciliación nacional, por ejemplo, suprimiendo de las listas de sanciones de las Naciones Unidas los nombres de quienes cumplan las medidas de reconciliación y, por tanto, hayan dejado de participar en actividades que supongan una amenaza para la paz, la estabilidad y la seguridad del Afganistán o de apoyarlas,",1
"813","Como lo indicó acertadamente la Sala de Apelaciones del Tribunal para la ex Yugoslavia en Kristić (Apelación), ""el genocidio es uno de los peores crímenes que conoce la humanidad y su gravedad queda de manifiesto en los estrictos requisitos de intención concreta.",0
"814","Tras la finalización de la misión sobre el terreno, el ACNUDH estableció en Conakry una presencia de protección de tres meses de duración para proporcionar apoyo y asesoramiento a quienes enfrentaban amenazas a su seguridad y evitar represalias contra ellos.",1
"815","El Grupo de Trabajo 3, presidido por la República de Corea, respaldó los esfuerzos de los Estados, el sector del transporte marítimo y los grupos sindicales para proteger a los buques contra la piratería frente a las costas de Somalia.",1
