"","en_ar_DEEPL","MatConf"
"171","وتفيد التقارير بأن الجماعة لديها صلات قوية مع تنظيم القاعدة في شبه الجزيرة العربية، وقد وفرت التدريب في الصومال لإرهابيين أفراد من نيجيريا والبلدان القريبة من حدودها.",1
"172","وكما سبقت مناقشته أعلاه، جمعت اللجنة مواد جوهرية وموثوقة تميل إلى إظهار حدوث عمليات قتل منهجي للمدنيين المنتمين إلى قبائل معينة، والتسبب على نطاق واسع في إلحاق أضرار جسدية أو عقلية خطيرة بأفراد من السكان المنتمين إلى قبائل معينة، وفرض ظروف معيشية على نطاق واسع ومتعمد على تلك القبائل تؤدي إلى تدميرها المادي كلياً أو جزئياً (على سبيل المثال، عن طريق التدمير المنهجي لقراها ومحاصيلها، وطردها من منازلها ونهب مواشيها).",1
"173","ولذلك، عند النظر في المسؤولية عن انتهاكات حقوق الإنسان التي ارتكبت خلال أحداث 25 و26 آذار/مارس، يجب أن نضع في الاعتبار أيضاً تداعيات المرسوم الرئاسي الصادر في 22 آذار/مارس والتعليمات التي صدرت إلى قادة القوات المسلحة الوطنية خلال اجتماع 24 آذار/مارس.",1
"174","وقد أدى ذلك إلى نزوح أكثر من 1,000 مدني. ولم تتخذ الشرطة أي إجراء ضد الجنجويد.",1
"175","ونود أن نؤكد أن هايتي، من جانبها، تقف على أهبة الاستعداد للقيام بذلك.",0
"176","وفي هذا الصدد، نطلب من مفوضية الاتحاد الأفريقي، بالتعاون الوثيق مع الجماعة الاقتصادية لدول غرب أفريقيا وبدعم من الشركاء الدوليين، بما في ذلك الأمم المتحدة والاتحاد الأوروبي وأصحاب المصلحة الدوليين الآخرين المعنيين، اتخاذ جميع التدابير اللازمة، بما في ذلك عقد اجتماع في مالي، في موعد أقصاه شباط/فبراير 2015، لوزراء الدفاع والأمن ورؤساء الأركان ورؤساء أجهزة الاستخبارات والأمن في بلدان المنطقة، لإجراء الدراسات اللازمة لإنشاء هذه الآليات.",0
"177","المقرر عقدها يوم الخميس، 16 حزيران/يونيه 2005، الساعة 3 بعد الظهر",0
"178","يُظهر الهجوم الذي وقع في سبتمبر 2013 على مركز ويست جيت للتسوق في نيروبي قدرات حركة الشباب حتى بعد أن خسرت الأرض في الصومال.",1
"179","يتم فرض التجويع وغيره من ظروف الاحتجاز اللاإنسانية على المشتبه بهم عمداً لزيادة الضغط عليهم للاعتراف وتجريم أشخاص آخرين.",1
"180","وبغض النظر عن الدافع، فلو كانت نية المهاجمين القضاء على المجموعة لما أبقوا على أحد الإخوة.",1
"181","""ويلاحظ مجلس الأمن الأثر الضار لانتشار الأسلحة، ولا سيما الأسلحة الصغيرة، على أمن المدنيين، بمن فيهم اللاجئون وغيرهم من السكان المستضعفين.",1
"182","يتم إجراء جرد للسجلات مرة واحدة في السنة.",0
"183","صاغت المنظمة العربية للطاقة الذرية اللوائح التنظيمية بشأن الحماية المادية للمنشآت والمواد، والتي تستند إلى الوكالة الدولية للطاقة الذرية، INFCIRC/225",0
"184","وتكون الأطراف مسؤولة أيضاً عن جميع النفقات الأخرى لضباط الاتصال الميداني التابعين لها.",0
"185","94. بما أنه قد تم التأكد من وجود الميليشيات وما يسمى بالقوات الموازية، فإن رئيس الجمهورية وحكومة المصالحة الوطنية ملزمان باتخاذ جميع الخطوات الﻻزمة لوضع حد ﻷنشطتها.",1
"186","48. ولكي يكون ذلك فعالا، من الضروري أن يتم تجميد جميع الأصول المستهدفة لفرد أو كيان مدرج في القائمة بمجرد الإدراج في القائمة.",1
"187","تم تسمية أعضاء الجماعات المتمردة للاشتباه في مشاركتهم في مشروع إجرامي مشترك لارتكاب جرائم دولية، واحتمال مسؤوليتهم عن عدم منع أو قمع ارتكاب جرائم ارتكبها المتمردون عن علم.",1
"188","11. وشدد الطرفان على أهمية إدارة هذه المرحلة الجديدة بالتعاون مع الشركاء الإقليميين والدوليين الذين دعوا إلى دعم جهودهم التي ستتم في إطار التقيد الصارم بالأهداف التي حددها المجتمع الدولي للحفاظ على السلامة الإقليمية لمالي وسيادته وتعزيز وحدته الوطنية.",0
"189","ارتُكبت جرائم اغتصاب وجرائم عنف جنسي ولكنها لم تكن واسعة النطاق أو منهجية بما يكفي لترقى إلى مستوى جريمة ضد الإنسانية.",1
"190","خلفية: يصادف عام 2014 الذكرى السنوية الخامسة عشرة لانخراط مجلس الأمن في حماية المدنيين في النزاعات المسلحة.",0
"191","إذ يشير إلى قراراته بشأن تجنيد الأطفال واستخدامهم والنزاعات المسلحة,",1
"192","وتتضمن الاحتمالات المختلفة: تفجير انتحاري، أو تفجير لاسلكي باستخدام ترددات مختلفة عن ترددات أجهزة التشويش أو باستخدام ترددات أجهزة التشويش، أو تفجير لاسلكي باستخدام أجهزة التشويش نفسها، أو تفجير لاسلكي باستخدام هاتف يعمل بالأقمار الصناعية من شركة الثريا، وهي شركة الهاتف الوحيدة العاملة على الأراضي اللبنانية التي لديها وصلات بالأقمار الصناعية، أو تفجير سلكي باستخدام كابل TNT أو تفجير سلكي باستخدام نوع آخر من الكابلات المركبة مثل خط الهاتف كسلك توصيل.",1
"193","ناميبيا ليست في وضع يسمح لها بذلك.",0
"194","تعمل ثلاثة مكاتب إقليمية في نيالا والجنينة والفاشر في نيالا والجنينة والفاشر، ومن المتوقع افتتاح مكتب رابع في زالنجي في أوائل يونيو.",0
"195","وقد تم التوصل إلى هذه القيمة عن طريق تعديل المخزون النهائي في 30 حزيران/يونيه 1990 بإضافة مبلغ 528 ديناراً كويتياً إلى المخزون وإزالته منه خلال شهر تموز/يوليه 1990.",0
"196","وينبغي للصين أن تثير مع القائد الأعلى لجمهورية كوريا الشعبية الديمقراطية وغيره من السلطات رفيعة المستوى قضايا الاختطاف، ووأد الأطفال الذين يحق لهم الحصول على الجنسية الصينية، وعمليات الإجهاض القسري المفروضة على النساء العائدات إلى الوطن وغيرها من انتهاكات حقوق الإنسان التي تستهدف الأشخاص الذين أعيدوا من الصين.",1
"197","حوالي 50 في المائة من هذه الرحلات الجوية هي رحلات جوية لشركات طيران دولية منتظمة عادية مثل طيران الإمارات والخطوط الجوية الكينية وغيرها، في حين أن ال 50 في المائة الأخرى هي رحلات جوية ذات وجهات أو منشأ في الصومال.",0
"198","وقد اكتسبت هذه الحركة التي بدأت بأقل من 100 مدني زخمًا كبيرًا حتى اجتاحت البلاد بأكملها في نهاية المطاف وحظيت بدعم الشعب.",0
"199","لم تتمكن الشبكة السورية لحقوق الإنسان من توثيق هذه الحالات بشكل كامل، لأنها محظورة وملاحقة من قبل قوات النظام والجماعات المتطرفة.",1
"200","ويدعو الاتحاد الأوروبي الآن حكومة الوحدة الوطنية إلى المضي قدما بسرعة في الجوانب الأخرى من تنفيذ اتفاق السلام الشامل، بما في ذلك كخطوة أولى إنشاء مفوضية التقدير والتقييم لرصد التقدم المحرز في هذا الشأن.",0
"201","كما عملت الخلية أيضاً على تعزيز القدرات الملاحية ومهارات رسم الخرائط للموظفين المدنيين والمراقبين العسكريين على حد سواء، وتواصل تعزيز استخدام تكنولوجيا نظم المعلومات الجغرافية كأداة لصنع القرار.",0
"202","وكان الهدف الثالث هو إعادة تأهيل مركز الشرطة في جنوب غالكايو، الذي يعمل كمركز لتحقيقات مكافحة القرصنة في غالمودوغ.",0
"203","ومن وجهة نظره، ""القرية هي منطقة صغيرة، ليس من السهل تقسيمها إلى أقسام، وبالتالي تصبح القرية بأكملها هدفًا عسكريًا"".",1
"204","بالإضافة إلى ذلك، تقوم فرق الموت والميليشيات المكونة من عناصر مستقلة ببث الرعب وتنفيذ عمليات الإعدام والاختطاف.",1
"205","وقد تولى وزير الأمن الآن رئاسة الاجتماع الاستشاري الوزاري المعني بشؤون الشرطة (الذي أنشأته في الأصل قوة الشرطة الدولية)، والذي يقوم من خلاله بتنسيق الجوانب السياسية لجميع أجهزة الشرطة على مستوى الدولة والإشراف عليها. وفي الأشهر الستة الماضية تمت صياغة واعتماد سلسلة من القوانين الجديدة الهامة، ولا سيما القانون الذي ينشئ وينظم دائرة جديدة للهجرة، وقانون محدث ينظم عمل دائرة حدود الدولة، وقانون بشأن مسؤولي الشرطة.",0
"206","5. 6 تشرين الأول/أكتوبر 2012 (يايلاداغي/هاتاي): في الساعة 30/14 سقطت قذيفة هاون داخل منطقة مسؤولية مخفر بلنغوز الحدودي العسكري.",1
"207","وفي إندونيسيا، يبدو أن الجماعة الإسلامية في إندونيسيا قد ابتعدت عن الأجهزة المتفجرة المرتجلة الكبيرة المحمولة على مركبات والمكونة من متفجرات تجارية أو بدائية الصنع (كلورات البوتاسيوم والكبريت ومسحوق الألومنيوم مع مادة أولية مثل مادة الـ TNT) كما استخدمت في تفجير بالي الأول في أكتوبر 2002، إلى نهج أكثر استهدافاً حيث يحمل الأفراد قنابل أصغر حجماً إلى المنطقة المستهدفة، كما رأينا في هجمات بالي الثانية في أكتوبر 2005.",1
"208","(د) إتاحة الملخصات السردية لأسباب الإدراج في القائمة لجميع القيودات المدرجة في القائمة على الموقع الشبكي للجنة;",0
"209","206. إن دول المنطقة دون الإقليمية على وعي تام بالتهديد الذي يمثله تمويل الإرهاب وهي متيقظة للمخاطر المرتبطة به.",1
"210","1. الممتلكات العقارية 85-106 29",0
"211","في هذا الملخص، يود الفريق أن يسجل:",0
"212","6. وفي 2 و 21 حزيران/يونيه، و 25 أيلول/سبتمبر 2005، على التوالي، استُهدفت عدة شخصيات لبنانية بارزة بسيارات مفخخة في بيروت، مما أسفر عن مقتل سمير قصير وجورج حاوي وإصابة مي شدياق بجروح خطيرة. ونُفذت محاولة اغتيال أخرى ضد وزير الدفاع اللبناني، إلياس المر، في 12 تموز/يوليه 2005، أسفرت عن مقتل شخص واحد وإصابة عدد من الأشخاص، بمن فيهم الوزير.",1
"213","ونظر المجلس، في جلسته 6881، المعقودة في 7 كانون الأول/ديسمبر 2012، في البند المعنون ""إحاطات إعلامية يقدمها رؤساء الهيئات الفرعية التابعة لمجلس الأمن"".",0
"214","عدم الانتشار (29 آذار/مارس 2006؛ 10 كانون الأول/ديسمبر 2008).",0
"215","احتجاز ألكسيس سيندوهيجي في جمهورية تنزانيا المتحدة",0
"216","وأخيرا، فإن الكثير من المعلومات المصدرية ذات الصلة بمصير السيد أبو عدس تشير إلى الجمهورية العربية السورية والمسؤولين السوريين، فضلا عن بعض المسؤولين اللبنانيين. وفي حين أنه صحيح أن القليل من هذه المعلومات المصدرية لم يتم تأكيدها بشكل مستقل، إلا أنه من المهم أنه لا توجد معلومات تشير إلى أي جهة أخرى متورطة في اختفائه أو أنه كان انتحارياً.",1
"217",":: :: تطوير دور اللجنة التنظيمية، بما في ذلك من خلال التفاعلات الدورية مع التشكيلات القطرية المحددة، بهدف: (1) تحديد التحديات المشتركة وتيسير التعلم المتبادل بين مختلف التشكيلات؛ و (2) إشراك الأعضاء في مناقشة السياسات التي يمكن أن تولد على أفضل وجه اهتماما والتزاما أعمق بين الأعضاء على نطاق أوسع.",0
"218","إن الأجندات المتنافسة بين الجهات الفاعلة الدولية، وخلق مبادرات موازية وتقديم الدعم من الدول الإقليمية للحركات غير الموقعة على الاتفاقية، مما يقوض محاولات إقناع الحركات بالانضمام إلى عملية السلام، يمكن أن يعيق التقدم.",1
"219","56. تستخدم الشرطة وقوات الأمن في جمهورية كوريا الشعبية الديمقراطية بشكل منهجي العنف والعقوبات التي ترقى إلى مستوى الانتهاكات الجسيمة لحقوق الإنسان من أجل خلق مناخ من الخوف يحول دون أي تحدٍ لنظام الحكم الحالي وللأيديولوجية التي يقوم عليها.",1
"220","الأول هو كيف يمكن للجنة أن تكفل على أفضل وجه أن تعزز تدابير الجزاءات السلام والاستقرار في أفغانستان، والثاني يتعلق باستمرار الطعون القضائية في تنفيذ الدول الأعضاء للتدابير.",1
"221","كما عزز الاتجار بالأسلحة سوقًا للحماية بين الجماعات المسلحة والمهربين الذين يحمون طرق التجارة غير المشروعة.",1
"222","تشير الدلائل الأولية إلى أن الانفجار وقع في موكب رئيس الوزراء الحريري ولكن النتيجة غير معروفة بعد.",1
"223","وتشارك فصائل مختلفة من جانتانتانتريك تيراي موكتي مورتشا ونمور مادهيسي موكتي وغيرها من الجماعات المسلحة في عمليات الخطف والقتل والابتزاز والترهيب.",1
"224","ثم مر الملتمسون عبر الطريق الذي تم إخلاؤه بمرافقة مركبتين من سيارات وحدة الاستجابة السريعة. وبالقرب من منطقة السوق تعرض الملتمسون لإطلاق النار. وقد جاء إطلاق النار من كل من ضباط وحدة الاستجابة السريعة الذين كانوا يستقلون مركبات المرافقة وأفراد من الحشد. قُتل أحد المدنيين جراء إطلاق النار من مسافة بعيدة. وأصيب ثمانية مدنيين بجروح من أسلحة نارية. وأصيب ضابطا شرطة ومدنيان بجروح خطيرة أخرى.",1
"225","وطلب رئيس الوزراء لاتورتو من المجلس الانتخابي المؤقت مراجعة هذا الجدول الزمني، بدعم من بعثة الأمم المتحدة لتحقيق الاستقرار في هايتي، مع مراعاة احترام الشرط الدستوري لأداء الرئيس اليمين الدستورية في 7 شباط/فبراير 2006، وإجراء تغييرات إذا لزم الأمر.",0
"226","""ويدين مجلس الأمن بشدة استمرار أعمال العنف وانتهاكات حقوق الإنسان التي ترتكبها جميع الجماعات المسلحة، بما في ذلك عمليات الإعدام بإجراءات موجزة والعنف الجنسي والعنف القائم على نوع الجنس وتجنيد الأطفال واستخدامهم على نطاق واسع، ويطالب جميع الجماعات المسلحة بأن توقف فورا جميع أشكال العنف والأنشطة المزعزعة للاستقرار وأن يقوم أفرادها على الفور وبشكل دائم بتسريح أعضائها وإلقاء أسلحتهم وتسريح الأطفال من صفوفها، ويؤكد مجددا أن المسؤولين عن انتهاكات حقوق الإنسان وانتهاكات القانون الإنساني الدولي سيخضعون للمساءلة وينبغي ألا يكونوا مؤهلين للاندماج في القوات المسلحة لجمهورية الكونغو الديمقراطية أو غيرها من عناصر قوات الأمن التابعة للدولة.",0
"227","التهديدات التي يتعرض لها السلم والأمن الدوليين بسبب الأعمال الإرهابية",1
"228","30. وقد أعادت القوات المسلحة السودانية نشر جميع قواتها من جنوب السودان، في حين لا تزال نسبة إعادة نشر قوات الجيش الشعبي لتحرير السودان التي تم رصدها والتحقق منها 34.8 في المائة من القوام المعلن البالغ 168 59 فردا.",1
"229","وبما أن تنظيم القاعدة والمرتبطين به سيستخدمون أي نوع متاح من المتفجرات لشن هجمات، يوصي الفريق بأن تشجع اللجنة الدول الأعضاء على تطبيق مصطلح ""الأسلحة والأعتدة ذات الصلة بجميع أنواعها"" في إطار حظر الأسلحة المفروض على تنظيم القاعدة على جميع أنواع المتفجرات، سواء كانت متفجرات عسكرية أو مدنية أو متفجرات مرتجلة، وكذلك على المواد الخام والمكونات التي يمكن استخدامها في تصنيع الأجهزة المتفجرة المرتجلة أو الأسلحة غير التقليدية، بما في ذلك على سبيل المثال لا الحصر المكونات الكيميائية وأسلاك التفجير والأسمدة والسموم.",1
"230","3. قتل جنود العدو المحتجزين",1
"231","نحن نقدم التدريب الأساسي (على سبيل المثال، على استخدام الأسلحة، والانضباط، ...) والذي يمكن أن يستغرق أسبوعين أو نحو ذلك، اعتمادًا على الفرد.",1
"232","""ويشير مجلس الأمن إلى أن مذكرات التوقيف الصادرة عن المحكمة الجنائية الدولية بحق جوزيف كوني وأوكوت أوديامبو ودومينيك أونغوين بتهم من بينها ارتكاب جرائم حرب وجرائم ضد الإنسانية، بما في ذلك القتل والاغتصاب وتجنيد الأطفال عن طريق الاختطاف، لم تنفذ بعد، ويدعو جميع الدول إلى التعاون مع السلطات الأوغندية والمحكمة الجنائية الدولية من أجل تنفيذ تلك المذكرات وتقديم المسؤولين عن الفظائع إلى العدالة.",1
"233","وقد أعرب الأفارقة بوضوح شديد عن قلقهم بشأن الوضع في زيمبابوي.",0
"234","حظر الاعتداء على الحياة والأشخاص، ولا سيما القتل والتشويه والمعاملة القاسية والتعذيب؛ والاختفاء القسري؛ والاعتداء على الكرامة الشخصية؛ والاغتصاب، والاسترقاق الجنسي، والإكراه على البغاء، والحمل القسري، والتعقيم القسري، وأي شكل آخر من أشكال العنف الجنسي.",1
"235","ومع ذلك، قاطع أعضاء البرلمان من الحزب الشعبي لسيراليون والحزب الديمقراطي التقدمي في سيراليون افتتاح البرلمان احتجاجاً على جملة أمور منها حظر المواكب والتجمعات السياسية الذي فرضته الشرطة في أعقاب أعمال العنف السياسي التي وقعت في 9 سبتمبر في بو.",1
"236","وأسفرت حملة نزع السلاح في يوليو عن مقتل 4 من شباب الشلك واعتقال 11 شابًا من الشلك لا يزالون محتجزين لدى الجيش الشعبي لتحرير السودان حتى الآن، بالإضافة إلى تقارير عن نهب الجيش الشعبي لتحرير السودان للمنازل والماشية.",1
"237","6. يشجع على تحقيق المزيد من الكفاءة والوفورات شريطة ألا تؤثر على القدرة التشغيلية للقوة;",0
"238","تُخاض معظم النزاعات الحالية بالأسلحة الصغيرة والأسلحة الخفيفة بشكل رئيسي.",1
"239","وفيما يلي توزيعها: (1) النفقات الجارية، 20,351 مليون فرنك إفريقي؛ (2) النفقات الرأسمالية، 921 مليون فرنك إفريقي؛ (3) مدفوعات الديون، 11,266 مليون فرنك إفريقي؛ (4) المتأخرات، 24,375 مليون فرنك إفريقي؛ و(5) عمليات الخزانة، 436 مليون فرنك إفريقي.",0
"240","ولا يزال من غير المعروف من يقف وراء الهجوم.",1
"241","ولدى إندوهادي ""ممثل خاص"" يتولى عمليات مزارع المخدرات نيابة عنه ويستخدم الميليشيا التابعة له لحراسة مزارع المخدرات الخاصة به.",1
"242","وقد قُتل ما مجموعه 393 شخصاً في تلك المجازر، من بينهم 93 طفلاً و48 امرأة، أي ما مجموعه 36% من الضحايا، مما يشير إلى سياسة متعمدة لاستهداف النساء والأطفال.",1
"243","يبدو من الواضح أن الإرهابيين المدرجين في القائمة لا يزالون قادرين على جمع وتلقي الأموال من المتعاطفين خارج دائرتهم المباشرة.",1
"244",":: :: إجراء مزيد من الفحص في المجالات التي كشف فيها الفحص الأولي للتقارير عن وجود ثغرات في المعلومات أو التنفيذ فيما يتعلق بجميع جوانب القرار التي تشمل جميع التدابير المطلوبة، لكل نوع من أنواع الأسلحة، أو وسائل إيصالها، والمواد المتعلقة بها، بما في ذلك تعديل المصفوفات حيثما كان ذلك مفيداً",0
"245","وبينما استمر الضغط على قيادة التنظيمين، فإن الوضع في العراق ومناطق الصراع الأخرى أبقى الإرهاب في صدارة الاهتمام العالمي، ولم يكن هناك نقص في المجندين الجدد.",1
"246","12. يطلب على وجه الخصوص أن تتبادل البعثة المعلومات مع فريق الخبراء، ولا سيما بشأن الدعم الذي تتلقاه الجماعات المسلحة، وبشأن تجنيد الأطفال واستخدامهم واستهداف النساء والأطفال في حالات الصراعات المسلحة;",1
"247","من المستحيل وصف جميع حوادث القتل التي وثقتها اللجنة في هذا التقرير.",1
"248","40. يرحب بتقديم إحاطات دورية من حكومة أفغانستان بشأن محتوى القائمة، وكذلك بشأن أثر الجزاءات المحددة الهدف على ردع التهديدات التي يتعرض لها السلام والاستقرار والأمن في أفغانستان، ودعم المصالحة التي يقودها الأفغان;",0
"249","ثانياً، حدث تدمير واسع النطاق للقرى في جميع أنحاء ولايات دارفور الثلاث.",1
"250","وينقسم الملخص إلى قسمين رئيسيين. يسلط القسم الأول الضوء على القضايا المثارة والاقتراحات المقدمة بشأن توجهات سياسة لجنة بناء السلام والمسائل المؤسسية.",0
"251","أكدت شركة ناشيونال أن صاحب العمل قد صادق على دفع مبلغ 36,977 دولارًا أمريكيًا.",0
"252","يشرفني أن أبلغكم بأنني تلقيت من حكومة باكستان طلباً بتشكيل لجنة دولية فيما يتعلق باغتيال رئيسة وزراء باكستان السابقة، المحترمة بينظير بوتو، في 27 كانون الأول/ديسمبر 2007.",0
"253","تم تحديد موعد المحاكمة القادمة في 7 حزيران/يونيو 2007.",0
"254","هذه الجماعات المسلحة متورطة في أنشطة إجرامية، بما في ذلك الاستغلال غير المشروع للموارد الطبيعية، والاتجار بالأسلحة والذخيرة، والتهريب وفرض الضرائب غير المشروعة.",1
"255","وعلاوة على ذلك، فإن التعيين القسري في مكان الإقامة والعمل الذي تحدده الدولة مدفوع بشكل كبير بالتمييز على أساس الأغنية.",1
"256","فقد أدت سنتان من الصراع إلى زيادة حدة الخلافات السياسية وتعميق الظروف الاجتماعية والاقتصادية القاسية أصلاً للغالبية العظمى من السكان.",1
"257","تخلى السيد مونتيرو عن منصبه الشهر الماضي.",0
"258","ومع ذلك، فإننا نشعر بالقلق إزاء التقارير التي تفيد باشتداد التوتر بين الأحزاب الحاكمة وأحزاب المعارضة.",0
"259","85. وتضم القوات المسلحة أيضا وحدة عملياتية تسمى استخبارات الحدود، يتمثل دورها الأساسي في جمع المعلومات.",1
"260","قاعدة الأمم المتحدة للوجستيات في برينديزي - قاعدة الأمم المتحدة للوجستيات في برينديزي -",0
"261","وسيواصل العنصر العسكري في عملية الأمم المتحدة في كوت ديفوار تنفيذ مفهومه الجديد للعمليات، والعمل مع قوة ليكورن لمساعدة الأطراف في تنفيذ مقترحات الميسر لإعادة إدماج أفراد القوات الجديدة في الشرطة الوطنية والجيش، وإعداد خطط طوارئ لتدخلات محتملة لتحقيق الاستقرار لمنع أعمال العنف التي تهدف إلى تعطيل عملية السلام.",1
"262","إذ يتصرف بموجب الفصل السابع من ميثاق الأمم المتحدة,",0
"263","17. سيواصل مكتب الإدارة والإعلام تحديث موقع اللجنة على شبكة الإنترنت والعمل على ترجمة التصميم الجديد والتغييرات في محتوى الموقع إلى اللغات الرسمية الخمس الأخرى للأمم المتحدة.",0
"264","وتشير التقارير إلى أن الخاطفين يعرّضون أسراهم بشكل متزايد للتعذيب والاغتصاب وأشكال أخرى من سوء المعاملة.",1
"265","معظم الدول لديها قدرة ضئيلة على تجميد الأموال والأصول المرتبطة بالإرهاب دون تأخير.",1
"266","فقد قامت بعض الدول، على سبيل المثال، إما بتمديد الفترات المسموح بها للاحتجاز رهن التحقيق أو الاحتجاز قبل المحاكمة أو فرضت قيوداً على إمكانية الاستعانة بمحامٍ.",1
"267",":: :: قدمت اليونيسف خدمات الدعم النفسي والاجتماعي الأساسية لـ 12,385 طفلاً من خلال شركائها في محافظات حماة والقنيطرة وحلب وطرطوس وحمص واللاذقية ودمشق. وشمل ذلك تقديم الدعم إلى 1,437 طفلاً في الوعر، وهي منطقة يصعب الوصول إليها في محافظة حمص، وذلك من خلال منظمة غير حكومية محلية شريكة جديدة.",0
"268","وواصلت اللجنة أيضا تشجيع فريق الرصد على مواصلة تعزيز دوره في تعزيز قدرة الدول الأعضاء على التنفيذ الكامل لنظام الجزاءات التي فرضها مجلس الأمن على تنظيم القاعدة وما يرتبط به من أفراد وكيانات. وشجعت اللجنة في هذا الصدد التعاون بين فريق الرصد والمديرية التنفيذية للجنة المنشأة عملا بالقرار 1373 (2001) بشأن مكافحة الإرهاب، التي تعمل كجهة تكاملية في النظام لمبادرات بناء القدرات في إطار جزاءات المجلس.",0
"269","هناك معلومات تفيد بأنهم كانوا على علم ببعض الجرائم التي ارتكبها هؤلاء العسكريون أو، على أقل تقدير، كان ينبغي أن يكونوا على علم بما كان يحدث ولكنهم فشلوا في اتخاذ أي إجراء لوقف ارتكاب الفظائع، وذلك نظراً لسيطرتهم الفعلية الشاملة على الأفراد العسكريين الذين يقاتلون في صفوف الجماعات المتمردة.",1
"270","وقد صدرت آخر قائمة كاملة بالبنود (S/2008/10/Add.22) في 12 حزيران/يونيه 2008.",0
"271","13. تغيرت الأنماط العالمية لتوريد الأسلحة الصغيرة والأسلحة الخفيفة تغيرا عميقا على مدى العقود القليلة الماضية.",1
"272","110. ويبلغ عدد القوائم المرجعية التي وردت في الوقت الحاضر 58 قائمة، مما يترك 134 دولة لم تقدم تقاريرها بعد، بعد مرور عامين على الموعد النهائي المحدد في 10 آذار/مارس 2006.",0
"273","هذا التعديل، الذي يتماشى مع المادة 5 من اتفاقية مجلس أوروبا بشأن منع الإرهاب، من شأنه أن يفرض عقوبة السجن لمدة 30 عامًا على الجناة.",1
"274","يجب أن يظل هذا القيد ساريًا طالما أن المشاركة في أي سفر من هذا القبيل تؤدي إلى الالتزام بتقديم تقرير عن المسائل الموضوعية.",1
"275","في وادي حجام سرقوا أسلحة من الشرطة.",1
"276","وأشارت حركة العدل والمساواة إلى أن عدم تعرض أي امرأة عربية للاغتصاب وعدم تدمير أي قرية عربية هو دليل على أن الحكومة كانت تستهدف القبائل الأفريقية على وجه التحديد.",1
"277","دعونا جميعاً ندعم مهمة كوفي عنان وخطة جامعة الدول العربية.",0
"278","وخلال الاجتماعات التي عقدتها اللجنة مع الرئيس غباغبو ومع وزيري الدفاع والأمن الداخلي، أُبلغت اللجنة أن قرار تعبئة القوات المسلحة الوطنية كان يهدف إلى إخماد المظاهرة ومنعها من الحدوث.",1
"279","وإذ يلاحظ بقلق عميق تزايد أعمال العنف، وتصاعد الاقتتال بين القبائل، فضلا عن استمرار العنف الجنسي والعنف القائم على نوع الجنس والإفلات من العقاب، وإذ يكرر الإعراب عن قلقه العميق إزاء الهجمات على العاملين في المجال الإنساني وحفظة السلام، وأمن المدنيين، وإذ يدعو جميع الأطراف في دارفور إلى وقف الأعمال الهجومية فورا والامتناع عن شن المزيد من الهجمات العنيفة التي تتسبب في سوء حالة المساعدات الإنسانية وتقييد وصول المساعدات الإنسانية إلى السكان المحتاجين,",1
"280","فهم يعانون من ضغوطات ضد عناصر مهمة من هذه الهوية، مثل لغتهم وثقافتهم وتراثهم الديني، فضلاً عن بقائهم الاقتصادي.",1
"281","يعني جميع مراحل الإنتاج مثل:",0
"282","o في 27 تشرين الثاني/نوفمبر 2014، استهدفت طائرات النظام الحربية مدرسة دار السلام في مدينة الرقة، مما أدى إلى تدمير أحد مباني المدرسة بشكل جزئي.",1
"283","(ج) تشجيع الدول على زيادة تبادل المعلومات فيما بين سلطات مراقبة الحدود الإقليمية وتعزيز أمن الحدود في نقاط الدخول من أجل منع الحركة غير المشروعة للأشخاص والبضائع والأسلحة/المتفجرات عبر الحدود.",0
"284","وقد لوحظ أيضًا استخدام أسلحة أخرى، مثل السيوف، وإن كان ذلك بوتيرة أقل.",1
"285","فقد تم تدمير مضخات المياه والآبار، وتحطمت أدوات تجهيز الأغذية، وتم حرق وقطع الأشجار والمحاصيل سواء في القرى أو في الوديان التي تعتبر مصدراً رئيسياً للمياه لسكان الريف.",1
"286","وتصفها القوات الجوية والفضائية رسمياً بأنها طائرات ""استطلاع""، على الرغم من أن المجموعة لاحظت أن إحدى الطائرات أضيفت لها نقاط مقواة تحت جناحيها، والتي تم تكييفها لمحاولة حمل ذخائر من مواصفات غير مواصفات حلف شمال الأطلسي للعمل العسكري.",1
"287","لم تشر دول المنطقة دون الإقليمية إلى الإجراءات أو الآليات المستخدمة لمنع وقمع حركة الإرهابيين عبر الحدود.",1
"288","12. ونظراً لانعدام الثقة العميق الذي ساد بين اللبنانيين تجاه سلطاتهم الأمنية والقضائية، فقد أصبحت اللجنة مصدر أمل وتوقع كبيرين للتغيير، كما أصبحت ""واجهة"" بين الشعب اللبناني وسلطاته.",0
"289","C. حلّ الميليشيات اللبنانية وغير اللبنانية ونزع سلاحها",1
"290","4. يمكن تركيب منظومات أسلحة مرتجلة من مكونات مختلفة لارتكاب أعمال إرهابية.",1
"291","لم ترسخ جميع الدول مبدأ التسليم أو المحاكمة في القانون المحلي وفقاً لأحكام الصكوك الدولية لمكافحة الإرهاب.",0
"292","الفقرتان الفرعيتان 3 (ب) و 3 (ج)",0
"293","وذكّر الفريق أحمد المجلس بأن قادة القوات يقودون أكثر من 90,000 جندي من أصل 105,000 جندي من أصل 105,000 جندي نظامي وأن هذا العدد مرشح للزيادة في الفترة المقبلة.",1
