"","ar","MatConf"
"848","التقدم المحرز في إزالة برنامج الأسلحة الكيميائية السوري",0
"849","وقد تبين أن محاربة الجريمة، وبوجه خاص الجريمة المنظمة والفساد، مهمة شاقة على دائرة شرطة كوسوفو والجهاز القضائي.",1
"850","19 - هيكسا أزا إيسو ورتـزاتين (رمز تحديد السلعة: CA 135285-90-4) (CL-20 أو HNIW)؛ و CL-20 chlarates؛",0
"851","(ب) إذا كانت الرهينة شخصا دون الثامنة عشرة من العمر؛",1
"852","باء - المرافق والشؤون اللوجستية والدعم 56 - بدأت البعثة عملية الانتقال المخطط لها من مرافق تديرها القوات المتعددة الجنسيات إلى مرافق تديرها هي.",0
"853","وينص اتفاق 12 كانون الأول/ديسمبر أيضا على إطلاق سراح أسرى الحرب وإعادتهم إلى وطنهم دون إبطاء، بالإضافة إلى جميع الأشخاص الآخرين المحتجزين بسبب الصراع المسلح.",0
"854","(ط) المبلغ المحرز من بيع معدات ومواد متنوعة",0
"855","ومن الشائع أن يتعرض الأشخاص الذين يعادون قسراً إلى الوطن من الصين للتعذيب، والاحتجاز التعسفي، والإعدام بإجراءات موجزة، والإجهاض القسري وغيره من أشكال العنف الجنسي.",1
"856","وثمة اتفاق عام على أن التصعيد يتزامن مع تكثيف حدة الصراع المسلح الداخلي بين الحكومة وحركتي التمرد: حركة تحرير السودان/جيش تحرير السودان، وحركة العدل والمساواة.",1
"857","وقدمت مفوضية الأمم المتحدة لشؤون اللاجئين واليونيسيف ولجنة الصليب الأحمر الدولية الرعاية للأطفال بصفة مؤقتة، ونظمت عمليات لجمع شمل جميع الأطفال الـ 103 بأسرهم.",0
"858","ويطلب المجلس إلى الأمين العام مواصلة تقديم ونشر توجيهات بشأن التصدي للعنف الجنسي من أجل إدراجها ضمن التدريب الذي يخضع له الأفراد العسكريون وأفراد الشرطة قبل نشرهم وضمن التدريب التوجيهي الذي يتلقونه، ومساعدة البعثات في وضع إجراءات خاصة بكل حالة للتصدي للعنف الجنسي على الصعيد الميداني وكفالة توفير الدعم التقني للبلدان المساهمة بقوات وبأفراد شرطة من أجل جعل التوجيهات المتعلقة بالتصدي للعنف الجنسي جزءا من التدريب الذي يخضع له أفراد الجيش والشرطة قبل نشرهم ومن التدريب التوجيهي الذي يتلقونه.",0
"859","الحالة في الصومال (17 آذار/مارس 1992؛ 14 تشرين الأول/أكتوبر 2014)",0
"860","افتتحت الجلسة الساعة 20/13",0
"861","67- واستعملت جمهورية كوريا الشعبية الديمقراطية قواتها البرية والبحرية والمخابراتية لتنفيذ عمليات الاختطاف والاعتقال.",1
"862","كما يحض مجلس الأمن سلطات أفريقيا الوسطى على أن تواصل بحسم مكافحة انتهاكات حقوق الإنسان.",0
"863","وشكلت قوات الماي - الماي السابقة المتمركزة خارج أوفيرا بقيادة الكولونيل ناكاباكا تحالفا ظرفيا مع الحلفين القديمين، وهما قوات تحرير رواندا وقوات التحرير الوطنية.",0
"864","إلا أن نظام الجزاءات لا يستهدف بشكل صريح هذا الجانب البالغ الأهمية من القدرات العسكرية، وإن كان مشمولا على نطاق واسع بالأنظمة القائمة المتعلقة بتصدير الأسلحة والرقابة عليها التي تعتمدها الدول الأعضاء والمؤسسات المتعددة الأطراف.",1
"865","كما أثيرت مسائل فيما يتعلق بتحديد أدوار ومسؤوليات قوة الشرطة الوطنية لتيمور - ليشتي والقوات المسلحة للتحرير الوطني في تيمور - ليشتي",0
"866","التعميم رقم 002/04-87 (7 نيسان/أبريل 1987)",0
"867","وفي استعراض إضافي لما تكنه حماس من عداء، فقد احتفلت بالذكرى السنوية السابعة والعشرين لتأسيسها بعروض عسكرية شارك فيها 000 2 من مقاتليها المسلحين والصواريخ المحمولة فوق مركبات عبر شوارع غزة.",1
"868","زاي - جهود التوعية التي يبذلها فريق الرصد المعني بالصومال",0
"869","ويقوم المجلس بانتظام بإعادة تأكيد مطالبته الدول بتنفيذ الحظر الساري على الأسلحة، والتذكير بها وتكرار ذلك حيث إن تنفيذ الحظر لا يزال يطرح تحديات كبيرة.",0
"870","""3 يطلب من جميع الدول:",0
"871","رسالة مؤرخة ٨ شباط/فبراير ١٩٩٩ موجهة من البعثة الدائمة",0
"872","28 - مشروع الأحزمة الخضراء في أقاليم الوطن العربي",0
"873","المرفق الأول 1 - أمير مؤيد علي (ضالع في إدارة تجميع وهندسة أجهزة الطرد المركزي)",0
"874","كما أن عدد مشاهدي ومستمعي وقائع المحاكمات عن طريق موقعنا على الإنترنت مذهل.",0
"875","وخلال شهر أيلول/سبتمبر، حدثت خروقات على كلا الجانبين، وهجمات وهجمات مضادة، وعمليات ثأر وانتقام.",1
"876","29 - وهناك أيضا تطورات إيجابية هامة، فعندما انتهى الصراع المسلح في سنة 1999، كان هناك افتقار كامل تقريبا إلى الهياكل الاقتصادية والتشريعات.",1
"877","وكان من شأن إصدار هذه التأشيرات أن يؤدي إلى حد كبير إلى توفير الوقت الذي أنفق على انتظار إصدار تأشيرات الدخول لمدة شهر واحد، وهو ما كان يحصل عليه الفريق في أديس أبابا في كل مرة تنتهي صلاحية تأشيراته.",0
"878","ومما يثير القلق بوجه خاص نمط سوء السلوك الخطير المدعى لضباط الشرطة الوطنية الهايتية، بما في ذلك ما يدعى من تورطهم في إعدام ما لا يقل عن تسعة أفراد بإجراءات موجزة في 20 آب/أغسطس أثناء مباراة في كرة القدم بمنطقة مارتيسانت في بور - أو - برانس.",1
"879","ومن المتوقع أن يصدر الحكم الابتدائي في تموز/يوليه 2016، مثلما كان متوقعا.",0
"880","واحتفاظ حزب الله بقدرات عسكرية كبيرة ومتطورة خارجة عن سيطرة حكومة لبنان يخلق بالعفل جوا من التهديد ويمثل تحديا رئيسيا لسلامة المدنيين اللبنانيين، ولانفراد الحكومة بحق الاستخدام الشرعي للقوة.",1
"881","""ويعرب مجلس الأمن عن بالغ قلقه إزاء تزايد تخندق العناصر الإرهابية في منطقة الساحل، بما في ذلك تنظيم القاعدة في بلاد المغرب الإسلامي، والجماعات المرتبطة به، وغيرها من الجماعات المتطرفة، وآثار ذلك في بلدان المنطقة وخارجها.",0
"882","104 - غير أن تنظيم المواد المتوافرة عادة والتي يمكن لأي إرهابي مدرَّب استخدامها في تصنيع جهاز متفجر مهمةٌ أصعب.",1
"883","المقرر عقدها يوم الجمعة، 17 حزيران/يونيه 2005، الساعة 20/10 صباحا",0
"884","64 - وسألت البعثة الأفراد العسكريين الحكوميين عن التقارير التي تفيد بأن هناك سبعين شخصا معظمهم من المسلمين قد قتلوا على أيدي الجنود الحكوميين بعد أن استردوا المدينة، فأنكروا ذلك بغضب.",1
"885","وكثير من أعمال القتل لم تقع في الشوارع، بل داخل منازل من كانوا سيشاركون في المظاهرة أو حتى المدنيين الأبرياء الذين استهدفتهم قوات الأمن.",1
"886","ففي بداية الصراع جرى معظم القتال على ما يبدو في شمال دارفور وشمال غرب دارفور، وتحرك تدريجيا في اتجاه الجنوب في ولاية جنوب دارفور، في الشهور الأخيرة من عام 2004.",1
"887","ولم تتلـق البعثة معلومات دقيقة عن عدد الأشخاص الذين احتجزتهم قوات الأمن.",1
"888","استئجار خدمات أخصائي في الحماية؛ وضع وتوزيع كتيّب عن اتفاقية حقوق الطفل. زاي - 2 وضع وتنفيذ استراتيجيات وبرامج لمنع العنف الجنساني والتصدي له، في الصراعات المسلحة. فرقة العمل التابعة للجنة الدائمة المشتركة بين الوكالات المعنية بنوع الجنس والمساعدة الإنسانية (يرأسها مكتب تنسيق الشؤون الإنسانية ومنظمة الصحة العالمية)",0
"889","(أ) الطلب إلى الأمين العام أن يسعى إلى إدراج الأحكام الأساسية الواردة في اتفاقية سلامة موظفي الأمم المتحدة والأفراد المرتبطين بها، وإلى قيام البلدان المضيفة بإدراج تلك الأحكام ومنها الأحكام المتعلقة بمنع شن الهجمات ضد الأفراد العاملين في عمليات حفظ السلام، باعتبار تلك الهجمات جرائم يعاقب عليها القانون ومحاكمة مرتكبيها وتسليمهم، في ما يبرم مستقبلا، وعند الضرورة في ما هو قائم، من اتفاقات مركز القوات ومركز البعثات واتفاقات البلد المضيف التي تتفاوض بشأنها الأمم المتحدة مع تلك البلدان، مع مراعاة أهمية إبرام تلك الاتفاقات في الوقت المناسب؛",0
"890","وأعربت دولة أو دولتان عن قلقها بأنها إذا قامت بتجميد أصول منظمة لا تستهدف الربح مدرجة على القائمة، فلن تتمكن من تمويل مشاريع تقع داخل إطار سيطرتها، مثل ملاجئ الأيتام، أو المستشفيات، أو مراكز إيواء اللاجئين.",1
"891","وما برحت جثث خمسة أشخاص يُعتقد أنهم من مؤيدي السيد كوليبالي، وتوجد بها آثار جروح من طلقات الرصاص والتعذيب، محجوزة في مشرحة بواكي منذ أواخر كانون الأول/ديسمبر، انتظارا لنتائج التحقيقات الجنائية.",1
"892","''ويسلم مجلس الأمن بأن الإرهاب لن يُهزم بالقوة العسكرية وتدابير إنفاذ القانون والعمليات الاستخباراتية وحدها، ويشدد على الحاجة إلى معالجة الظروف المؤدية إلى انتشار الإرهاب، على النحو المبين في الركيزة الأولى من استراتيجية الأمم المتحدة العالمية لمكافحة الإرهاب (A/RES/60/288)، ويكرر تأكيد الحاجة إلى معالجة العوامل التي تساعد على التجنيد والتطرف المفضي إلى الإرهاب، ويسلم فضلا عن ذلك بضرورة اتباع نهج شامل للتغلب على الإرهاب يشتمل على إجراءات وطنية وإقليمية ودون إقليمية ومتعددة الأطراف.",1
"893","فالهجمات في أفغانستان تُظهر بشكل متزايد تأثير أساليب تنظيم القاعدة في العراق، حيث تُستخدم التفجيرات الانتحارية ويصبح قطع الرؤوس تدبيرا شائعا يعرض دليله في التلفزيون().",1
"894","22 - وقد تم تسجيل الدفعة الأولى من أفراد الميليشيا، وقوامها 000 2 فردا، في غيغلو في حزيران/يونيو 2006 حيث تم في وقت لاحق نزع سلاح 981 منهم مع دفع بدل شبكة الأمان النقدية لهم.",0
"895","فقد وردت تقارير تفيد بأن أفراد قوات الجنجويد وقوات الحكومة كانوا خلال الهجمات يُقبلون بصورة متواترة على الاغتصاب وإحراق النساء وضربهن وتجريدهن من الثياب، وعلى الإيذاء بالقول والإذلال في حق المدنيين.",1
"896","وفي تلك المعركة، نقل الجنود الذين أصيبوا إلى برم لتلقي الرعاية الطبية.",1
"897","وخـلال عام 2003 جرى تعميم القائمة في 8 نيسان/أبريل ((SCA/2/13 (13)، و 29 آب/أغسطـــس ((SCA/2/13 (26)، و30 تشريـن الأول/أكتوبر ((SCA/2/13 (35)، وستُعمم مــرة أخرى في 31 كانون الأول/ديسمبر.",0
"898","ولئن اعتمدت حتى الآن بعثة الأمم المتحدة لتقديم المساعدة إلى أفغانستان واللجنة الانتخابية المستقلة على المراقبين المدنيين لحل الصراعات، ربما لا تكون هذه الآلية كافية للتصدي لأخطر التهديدات.",0
"899","والواقع أن كثيرا من القوانين السارية في السودان اليوم تتعارض مع معايير حقوق الإنسان الأساسية.",1
"900","وأبلغ الرئيس المجلس بأنه أثناء مشاورات اللجنة، قدم فريق الرصد إحاطة عن استنتاجاته فيما يتعلق باسترداد الأصول الصومالية في الخارج، وناقش مسألة حظر القوات البحرية الدولية للفحم والأسلحة في أعالي البحار وداخل المياه الإقليمية للصومال.",0
"901","S/AC.26/2000/R.40",0
"902","وقد سنّ معظم دول مناطق أوروبا الغربية وأوروبا الشرقية وآسيا الوسطى والقوقاز دون الإقليمية تشريعات شاملة لمكافحة الإرهاب.",0
"903","تقرير الأمين العام عن بعثة الأمم المتحدة المتكاملة في تيمور - ليشتي (S/2007/50)",0
"904",":: وإنشاء برنامج استثمارات ذات أولوية للفترة 2015-2017 تبلغ قيمته 208 7 بلايين فرنك من فرنكات الجماعة المالية الأفريقية (حوالي 15 بليون دولار).",0
"905","وشكلت النساء والأطفال 22 في المائة من الخسائر في الأرواح.",1
"906","وقد وقعت أعمال اغتصاب وجرائم أخرى من جرائم العنف الجنسي، ولكنها لم تكن واسعة الانتشار ولم تحدث بانتظام بما يصل إلى اعتبارها جريمة ضد الإنسانية.",1
"907","139 - وفي حين أن هذا النهج المؤلف من شقين - الذي يستخدم القيود المطبقة في أنحاء منطقة اتفاق شنغن لإبعاد الأشخاص المدرجين على القائمة والذين لا ينتمون إلى دول منطقة شنغن - يحافظ على القيود الوطنية للحد من تنقل الأجانب المدرجين على القائمة داخل المنطقة - فإنه يمكن أن يستخدم كمثال تحتذيه الدول الأخرى في المناطق القائمة أو التي يجري إنشاؤها والتي تعمل على أساس حرية التنقل والإعفاء من التأشيرات.",0
"908",":: تعميق الدراسة في المجالات التي كشفت فيها الدراسة الأولية للتقارير عن نواقص في المعلومات أو في التنفيذ المتعلق بجميع جوانب القرار، بما يشمل كافة التدابير المطلوبة لكل نوع من الأسلحة، أو وسائل إيصالها، وما يتصل بها من مواد؛ بما في ذلك تعديل المصفوفات أينما كان ذلك مجدياً",0
"909","هذا على الرغم من الإدانة المتكررة لتلك الأعمال اللاإنسانية من جانب قرارات مجلس الأمن 1820 (2008)، 1888 (2009) و 1960 (2010)، والتي أصبحت مصدر الأمل لملايين الضحايا من النساء والفتيات في جميع أنحاء العالم.",0
"910","- إسداء المشورة إلى الحكومة ...، حسب الاقتضاء، بشأن إصلاح قطاع الأمن وتنظيم الجيش الوطني المستقبلي، بما في ذلك المشورة بشأن إنشاء آلية فعالة للفرز، وفقا للمعايير الدولية،",0
"911","وقد كان هذا ثالث صاروخ يطلق من غزة منذ الصيف الماضي.",1
"912","٢٧ - وفي 2 تشرين الثاني/نوفمبر، أبلغ 16 من بين 20 شخصا اعتقلوا خلال عملية نفذتها قوات الدفاع والأمن المالية في بولكيسي (إقليم موبتي)، وهي منطقة يسيطر عليها المجلس الأعلى لوحدة أزواد، البعثة المتكاملة بتعرضهم للضرب المبرح أثناء التحقيق.",1
"913","علما بأن التقارير المتعلقة بالاعتداءات التي تعرضت لها النساء، قد شملت الاغتصاب، وإن لم تقتصر عليه.",1
"914","وتمس الدعاوى منظمات قائمة، بصفة جزئية على الأقل، في الولايات المتحدة (ويرأس إحداها مواطن مولود في الصومال يحمل جنسية الولايات المتحدة، يدعى غاراد نور) وكان من بينها جمعيتان خيريتان هما مؤسسة الإحسان الدولية ومؤسسة الإغاثة العالمية (وقد أدرجتا في عام 2002 مع مكاتب أجنبية مختلفة).",0
"915","إن خبرة السفير إدي السابقة لدى الأمم المتحدة ومعرفته المعمقة في منطقة البلقان تجعلانه الشخص المثالي للقيام بهذا المسعى.",0
"916","14 - وستعزز المديرية التنفيذية التزامها مع المنظمات الدولية والإقليمية ودون الإقليمية في كل أرجاء العالم من أجل مساعدتها في وضع و/أو تنفيذ خطط عمل ملائمة في سياق مكافحة الإرهاب وإشراكها بشكل مباشر أكثر في تلبية احتياجات بناء القدرات للدول التي حددتها اللجنة وذلك عن طريق تقييمات التنفيذ الأولية والزيارات القُطرية.",0
"917","12 - سفاح أبجاد علوش المطيري",0
"918","وقالوا إنه، بعد القتال، كانت هناك جثث كثيرة لجنود حكوميين ولجنود الحركة دفنوا معا في مقبرة مشتركة.",1
"919","وفي عام 2003، نظمت النيابة العامة الدورتين الدراسيتين التاليتين في بوينس آيرس:",0
"920","وكان الجنود على وشك الانتهاء من اغتصاب النساء الخمس عندما وصلت إلى نفس المكان المجموعة الثانية من النساء التي ذهبت إلى الفاشر لبيع الحطب.",1
"921","6 - وفي 2 و 21 حزيران/يونيه، و 25 أيلول/سبتمبر 2005، على التوالي، جرى استهداف عدد من الشخصيات اللبنانية البارزة بالسيارات المفخخة في بيروت، مما أدى إلى مقتل سمير قصير، وجورج حاوي، وإلى إصابة ميّ شدياق بإصابات بالغة. ووقعت محاولة اغتيال أخرى استهدفت حياة وزير الدفاع في لبنان، إلياس المر، في 12 تموز/يوليه 2005، وأسفرت عن وفاة شخص واحد وإصابة العديدين، من بينهم الوزير نفسه.",1
"922","ومن المشاكل التي ظلت قائمة خلال الفترة المشمولة بالتقرير الطرق الجانبية غير القانونية المقامة على الخط الحدودي الإداري وأنشطة التهريب.",1
"923","وعمت الفوضى الحياة الاقتصادية والاجتماعية للبلاد. وغدت كوت ديفوار تعيش على وتيرة بطيئة.",0
"924","""ويحيط مجلس الأمن علما بالبيان الصادر عن مؤتمر قمة الاتحاد الأفريقي في سرت الذي طلب إلى المجلس فرض جزاءات على كل جهة، بما فيها إريتريا، تقدم الدعم إلى الجماعات المسلحة المتورطة في تقويض السلام والمصالحة في الصومال والاستقرار الإقليمي.",1
"925","وشملت الوفيات ما يلي: أربعة مدرِّسين، وطبيب، وممرضة، وثلاثة طلاب جامعين، ومهندس، ورياضي، ومحام، وناشط إعلامي، وامرأة، وشخصان من أُسرة واحدة.",1
"926","ويسعى هذا الجزء من الفقرة أيضا إلى أن يحل محل تعريف كلمة ""ممتلكات"".",0
"927","19 - وتبدو العلاقة بين تنظيم القاعدة وحركة الطالبان علاقة وثيقة. فقد أشار الظواهري في رسالته المصورة المؤرخة 19 أيلول/سبتمبر 2007 مرة أخرى إلى الملا عمر (TI.O.4.01) بلقب ""أمير المؤمنين"". وفيما لا تزال حركة الطالبان تستطيع تجنيد عدد أكبر من الجنود، إلا أنها تفتقر للقادة المتمرسين من أجل تعويض القادة الذين قتلوا بأعداد كثيرة، ولذلك تتوجه إلى تنظيم القاعدة ليس من أجل التدريب فقط بل أيضا من أجل سد الثغرات.",1
"928","28 - يعلن عن اعتزامه القيام عن كثب بمراقبة أي حالات تنطوي على انتشار الأسلحة النووية ووسائل إيصالها أو المواد المتصلة بها، بما في ذلك إلى جهات أخرى من غير الدول على النحو المحدد في القرار 1540 (2004)، أو من قبل هذه الجهات، واتخاذ ما قد يلزم من تدابير، حسب الاقتضاء، لضمان صون السلام والأمن الدوليين؛",1
"929","وقد احتُجزت مع والد السيد أبو عدس، تيسير، بشكل مخالف للقانون طوال 10 أيام تقريبا.",1
"930","فعلى سبيل المثال، يتعلق عدد كبير من هذه الانتهاكات بالموت والتعذيب والإصابة بأضرار شخصية، والألم النفسي والكرب، وأخذ الرهائن، والخسارة والضرر في الممتلكات العقارية والشخصية.",1
"931",":: احترام حق اللاجئين والمشردين في العودة الطوعية إلى ديارهم بأمان وكرامة.",0
"932","إضافة إلى ذلك شرعا في معالجة قيام الشرطة الجورجية، في الفترة من 12 إلى 31 آب/ أغسطس، باحتجاز شاحنات من قوة حفظ السلام التابعة لرابطة الدول المستقلة كانت تنقل بضائع من الجانب الأبخازي لخط وقف إطلاق النار.",1
"933","إحالة القضية الرابعة إلى اللجنة",0
"934","وكما كان متوقعا، أدى مجيء الصيف إلى زيادة مستوى نشاط القوى المسلحة المعارضة.",1
"935","فهناك زخم كبير على جميع مستويات الحكومة لمعالجة بعض أعقد القضايا الاجتماعية والاقتصادية للبلد: البطالة، والبنية التحتية المتهالكة، والفساد، والفقر، والتكاليف الباهظة للإدارة.",0
"936","وإعادة التجنيد هي في حد ذاتها من الانتهاكات الجسيمة، إلا أنها تؤدي أيضا إلى تقويض بالغ لقدرة البرامج على العمل، وتنال من قدرة الأطفال على الشعور بالثقة في عملية تأهيلهم دون التعرض للمضايقة.",1
"937","وقالت إن لا أحد يعرف من هاجم الهليكوبتر إذ إن الحادث وقع بالقرب من بنتيو، حيث الأطراف المسلحة قريبة جدا من بعضها البعض.",1
"938","79 - تملك أربع دول أنظمة قانونية فعالة لكفالة المساعدة القانونية المتبادلة وتسليم المجرمين، ولكن ليس لدى أي دولة ما يكفي من الآليات لتبادل المعلومات مع شركائها الدوليين على نحو سريع وفعال.",0
"939","ويتولى ذلك الشخص إعلام مكتب منع عمليات غسل الأموال.",0
"940","السيد إحسان محمد، وزارة النقل",0
"941","""ويسلّم مجلس الأمن بأهمية دور المساعي الحميدة للأمين العام، ويشجع الأمين العام على مواصلة استخدام الوساطة حيثما أمكن للمساعدة في فض النزاعات سلميا، والعمل عن كثب مع المنظمات الإقليمية ودون الإقليمية المعنية والتنسيق معها في هذا الصدد، حسب الاقتضاء.",0
"942","٢ - الاعتداءات الإثيوبية في بادمي",0
"943","وبلغ متوسط نسبة المشاركة إلى مجموع الناخبين المسجلين في جميع أنحاء البلد نحو 37 في المائة، وإن اقترن ذلك بوجود تفاوتات بين الأقاليم.",0
"944","وقدم أيضا معلومات عن الحالة الإنسانية في المناطق التي تسيطر عليها الجماعات المسلحة والتي لا يزال يسودها عدم الاستقرار، ولا سيما في إقليم لوهانسك.",1
"945","وردت الشرطة على النيران قبل أن تعود مسرعة إلى مقر الشرطة.",1
"946","ويمكن معالجة أي من المسائل المفتوحة أو التي لم تحل بعد أو المسائل الناشئة المتعلقة باستعراض الولايات، في إطار المجلس من جديد من خلال آلية ملائمة.",0
"947","وإضافة إلى ذلك، أفادت لجنة الصليب الأحمر الدولية بوجود 476 3 حالة معلقة تخص مفقودين في كوسوفو، حوالي 600 منهم من أصل صربي ومن الروما.",1
"948","وبما أن الميليشيات التابعة لهاتين الجماعتين تحافظ على صلات وثيقة في المنطقة، فأنا أتوقع من حكومة الجمهورية العربية السورية أن تشارك على نحو بنّاء في هذه العملية.",0
"949","213 - ولعبد العال أيضا علاقة ملحوظة بمخزن سلاح كبير اكتشف في جنوب بيروت في تموز/يوليه 2005. ودهمت قوى الأمن الداخلي مخزن السلاح هذا في 26 تموز/يوليه 2005 وأوقفت خمسة أشخاص على علاقة قوية بميليشيا المرابطون السابقة.",1
"950","٦٥ - وتعتبر محاكمة الأفراد المشتبه في ضلوعهم في القرصنة ومعاقبة القراصنة المدانين وفقا لقرارات مجلس الأمن ذات الصلة أمرا لا غنى عنه من أجل ردع الأشخاص الذين يفكرون في ارتكاب أعمال القرصنة في المستقبل، فهي تبرهن أنه لا يمكنهم الإفلات من العقاب على ما يقومون به من أعمال.",0
"951","وجلب الجنجويد أيضا إلى هذا المعسكر عددا آخر من النساء من القرى المحيطة بالطويلة إثر اختطافهن عقب الهجمات التي تعرضت لها قراهن.",1
"952","14 - يقرر إبقاء المسألة قيد نظره.",0
"953","فهي تُستخدم على نطاق واسع في النزاعات بين الدول وهي الأسلحة المفضلة في الحروب الأهلية وأعمال الإرهاب والجريمة المنظمة وحرب العصابات().",1
"954","ويعرب مجلس الأمن عن تعازيه لأسر جنود حفظ السلام الذين قتلوا في المعارك بينما كانوا يقومون بحماية الناس في شرق جمهورية الكونغو الديمقراطية.",1
"955","وإذ يتصرف بموجب الفصل السابع من ميثاق الأمم المتحدة،",0
"956","وأصبح حوالي 000 20 شخص بدون مأوى في أبيدجان بسبب تدمير مدن الصفيح عمدا.",1
"957","وحسبما سبق مناقشته، جمعت اللجنة مادة كبيرة وموثوقا بها تنحو إلى إظهار وقوع عمليات قتل منهجي على نطاق كبير لمدنيين ينتمون إلى قبائل محددة، مسببة أذى جسديا وعقليا خطيرا لأفراد من السكان ينتمون إلى قبائل معينة، ومسددة ضربات شديدة ومتعمدة للظروف المعيشية لهذه القبائل ومتسببة بذلك في تدميرها المادي كليا أو جزئيا (على سبيل المثال، عن طريق القيام بشكل منهجي بتدمير قراهم ومحاصيلهم وطردهم من بيوتهم وسلب ماشيتهم).",1
"958","وبعد نصف ساعة، وصلت ثلاث سيارات جيب أخرى من تشاد تساندها مروحية عسكرية وحدثت مواجهة مرة ثانية مع الوحدة العسكرية السودانية مما أدى إلى إصابة جندي وبعض المدنيين.",1
"959","69 - وأصبح هؤلاء ""المجندون"" الجدد ممن يشير إليهم السكان المدنيون وغيرهم بـ ""الجنجويد"" وهو مصطلح دارفوري تقليدي يعني قاطع طريق مسلحا وخارجا على القانون يمتطي حصانا أو جملا.",1
"960","152 - كانت القضية المذكورة أعلاه ملفتة للنظر، ولكن الفريق لاحظ نماذج أخرى غير مبلغ عنها لاستيراد مركبات من هذا القبيل للاستخدام العسكري.",1
"961","ويدعو مجلس الأمن الأطراف في النزاع المسلح إلى الامتثال للالتزامات المنطبقة عليها بموجب القانون الإنساني الدولي باحترام وحماية العاملين في مجال المساعدة الإنسانية وشحنات الإغاثة واتخاذ جميع الخطوات المطلوبة لتيسير مرور شحنات ومعدات وموظفي الإغاثة بطريقة آمنة وبسرعة ودون عوائق.",1
"962","''ويعرب مجلس الأمن عن قلقه البالغ من أن حقول النفط والبنيات الأساسية المتصلة بها الواقعة تحت سيطرة تنظيم الدولة الإسلامية في العراق والشام وجبهة النصرة وربما سائر ما يرتبط بتنظيم القاعدة من الأفراد والجماعات والمؤسسات والكيانات، تدر نسبة كبيرة من إيرادات الجماعات، وهو ما يعطي دعما لجهود التجنيد التي تضطلع بها ويعزز قدرتها العملياتية على تنظيم هجمات إرهابية وتنفيذها.",1
"963",":: إبراز الممارسات السليمة في التصدي للمخاطر المحددة وفي تلبية احتياجات اللاجئين والمشردين داخليا وعديمي الجنسية من النساء والفتيات، وفي الاستجابة لقدراتهن وأولوياتهن لدى فرارهن وأثناء تشردهن ولدى عودتهن، بما فيها الاحتياجات الخاصة للفئات المختلفة من النساء والفتيات اللائي يتعرضن لأشكال متعددة ومتداخلة من التمييز، بالتشاور مع منظمات المجتمع المدني المحلية والنساء والفتيات أنفسهن",0
"964","391 - ومما لا شك فيه أن نهب القرى والاستيلاء على الماشية والمحاصيل وأمتعة الأسر المعيشية وسوى ذلك من الممتلكات الشخصية للسكان على أيدي القوات الحكومية أو المليشيات الخاضعة لسيطرتها يمثل جريمة حرب.",1
"965","ووفقا لما ورد في تقرير للجنة مخصصة أُنشئت لتقييم الخسائر والأضرار التي وقعت خلال الانتفاضة الشعبية، قُتل في الاحتجاجات نحو 29 شخصا وجرُح 625 شخصا.",1
"966","وما من شك أن بنية وتطوير الإدارة العامة في تيمور - ليشتي ما زالا يشكلان تحديا هاما ويجب أخذه في الحسبان.",0
"967","ومن المهم أيضا التسليم بأن أكثر من نصف اللاجئين والمشردين داخليا لا يعيشون في المخيمات. وبالتالي، فإن المناقشة ستتطرق أيضا إلى الأدوار القيادية للمرأة في الأماكن الواقعة خارج المخيمات حيث تترتب على الوصول إلى اللاجئين والمشردين داخليا وتوفير الخدمات لهم تحديات إضافية.",0
"968","3 - داوود آغا - جاني، رئيس مصنع تخصيب الوقود التجريبي (ناتانز)",0
"969","وقد حدد هوية هؤلاء الأفراد شهود عيان شاهدوهم وهم يشاركون في هجوم على قرية، ارتكبت خلاله في الغالب أعمال حرق ونهب وقتل وأحيانا اغتصاب.",1
"970","٦٨ - وقد كان قتل خبيرين من اللجنة المعنية بالمخدرات والجريمة في 7 نيسان/ أبريل 2014، أثناء قيامهما ببعثة لمكافحة القرصنة في الصومال، تذكيرا رصينا بالمخاطر التي تواجه الأمم المتحدة في عملها على تحسين حياة الآخرين.",1
"971","وقد عُدّل هذا النظام في القرارين 1333 (2002) و 1390 (2002)، فبات يفرض ثلاثة تدابير (تجميد الأصول، وحظر السفر، وحظر توريد الأسلحة) تستهدف جهات محددة من الأفراد والكيانات المرتبطين بحركة طالبان وتنظيم القاعدة.",1
"972","(أ) أعمال العنف التي وقعت عند القصر الحكومي حوالي منتصف يوم 28 نيسان/أبريل، وأسفرت عن سقوط قتيلين، وما لا يقل عن أربع إصابات من أسلحة نارية، وإصابتين خطيرتين أخريين؛",1
"973","ولكن هناك آخرين غير مطلوبين من أي وكالة لإنفاذ القانون، ولا يستطيعون الحصول بسهولة على وثائق سفر مزورة بجودة تُمَكَّنهم من تجاوز الفحص الدقيق، ويَعتبرون على أي حال أن التفاصيل الشخصية المحدودة المسجلة عنهم في القائمة تجعل تَمَكُّنهم من المرور عبر المراكز الحدودية مستخدمين وثائق سفرهم الأصلية دون أن يلاحظهم أحد أمرا مؤكدا بدرجة معقولة.",1
