"","en_es_TRANSFORMERS","VerConf"
"407","La perspectiva de género debe formar parte de la reforma y la capacitación de todas las fuerzas de seguridad.",1
"408","La Segunda Cumbre de Jefes de Estado y de Gobierno sobre la Región de los Grandes Lagos fue un acontecimiento histórico tanto para la región como para la comunidad internacional.",0
"409","Este último elemento ha suscitado cierta preocupación entre los expertos en derechos humanos, incluido el anterior Relator Especial sobre la promoción y protección de los derechos humanos y las libertades fundamentales en la lucha contra el terrorismo, por considerar que podría ser excesivo pedir a los Estados que penalicen la promoción indirecta.",1
"410","A juicio de la delegación del Togo, todas esas cuestiones requieren una acción rápida para impedir que la región del Sahel se hunda en una inseguridad total, que sería muy perjudicial para su desarrollo.",1
"411","Condenamos los repetidos ataques terroristas con cohetes contra objetivos civiles israelíes.",1
"412","Además, la brecha entre las posiciones del Presidente Gbagbo y su partido gobernante, por un lado, y las de las fuerzas de la oposición, por el otro, sigue siendo amplia.",1
"413","El papel de las Naciones Unidas será fundamental para el éxito de esos esfuerzos.",0
"414","Por lo tanto, nos decepcionó que en el informe del Secretario General (S/2011/540) se recomendara sólo una reducción parcial de las fuerzas de emergencia.",1
"415","Como se subrayó en esas exposiciones informativas, la decisión de Eritrea de restringir todos los tipos de vuelos de helicópteros de la MINUEE dentro del espacio aéreo eritreo limita gravemente la capacidad de la Misión para cumplir su mandato de vigilancia, como lo solicitaron las partes en el Acuerdo de Cesación de Hostilidades de 18 de junio de 2000, y lo autorizó el Consejo de Seguridad en sus resoluciones 1312 (2000) y 1320 (2000).",1
"416","El Fiscal expresó su preocupación por las cuestiones pendientes relativas a las personas detenidas en Libia y el desplazamiento en masa de Tawerghans.",1
"417","Condenando la incidencia de los secuestros y la toma de rehenes con el fin de recaudar fondos o obtener concesiones políticas, y expresando la necesidad de que se aborde esta cuestión,",1
"418","3) El delincuente será castigado con una pena de prisión de diez a quince años, acompañada de la confiscación de bienes que el tribunal considere conveniente, o con una pena excepcional;",1
"419","Apoyo de las Naciones Unidas en la etapa de consolidación",0
"420","Pero ahora, lo que ha logrado el Afganistán se ve gravemente corroído por los graves desafíos a la seguridad y la estabilidad del país.",1
"421","En particular, quisiéramos expresar nuestra profunda preocupación por el estancamiento del desarrollo socioeconómico y la seguridad alimentaria de Haití.",1
"422","Además, las violaciones aéreas israelíes de la Línea Azul han continuado con regularidad, en violación directa de la resolución 1701 (2006).",1
"423","12. Recuerda la decisión que adoptó en su resolución 2161 (2014) de que todos los Estados se aseguren de que sus nacionales o las personas que se encuentren en su territorio no pongan fondos, activos financieros o recursos económicos a disposición, directa o indirectamente, del EIIL, el FAN o cualesquiera otras personas, grupos, empresas y entidades asociados con Al-Qaida, y reafirma la decisión que adoptó en su resolución 1373 (2001) de que todos los Estados prohíban a sus nacionales o a cualesquiera personas y entidades que se encuentren en su territorio poner a disposición, directa o indirectamente, fondos, activos financieros o recursos económicos o servicios financieros u otros servicios conexos, en beneficio de las personas que cometan o intenten cometer o faciliten actos de terrorismo o participen en ellos, o en beneficio de las entidades de propiedad o bajo su control, directa o indirectamente, de esas personas y de las personas y entidades que actúen en nombre de esas personas o bajo su dirección;",1
"424","Me llamó y me dijo: ""Siempre dices que estás con Siria.",0
"425","Todas las delegaciones convinieron en que la principal amenaza en la región procedía de Jemaah Islamiyah (QE.J.92.02), el Grupo Abu Sayyaf (QE.A.1.01) y una nueva llegada, el Movimiento Rajah Solaiman (no incluido en la lista), que trabaja en estrecha colaboración con el Grupo Abu Sayyaf*.",1
"426","Lamentablemente, también hay numerosos ejemplos en los que los mecanismos de determinación de los hechos habrían podido contribuir a establecer la verdad, asegurar la rendición de cuentas y prevenir nuevas violaciones de los derechos humanos, pero en los que el Consejo no había adoptado medidas eficaces debido a consideraciones políticas.",1
"427","Los servicios de policía y de seguridad deberían estar autorizados a utilizar técnicas especiales de investigación, teniendo debidamente en cuenta los derechos humanos, durante las investigaciones relacionadas con el terrorismo y en la reunión de pruebas para casos de lucha contra el terrorismo.",0
"428","A fin de lograr una mayor coherencia y conformidad del juicio en todos los documentos preparados para el Comité, se establecerán mecanismos de grupos múltiples que se centrarán en las diferentes esferas técnicas a que se refieren las resoluciones 1373 (2001) y 1624 (2005), y se establecerá una dependencia de control de calidad para examinar todos los documentos antes de su publicación.",0
"429","Habiendo determinado que la situación en la región sigue constituyendo una amenaza para la paz y la seguridad internacionales,",1
"430","11. Cabe añadir que, en algunas partes del mundo, el acceso a las comunicaciones de alta tecnología -- especialmente la Internet -- es limitado y que, por lo tanto, los medios de incitación que podrían utilizarse en esas partes del mundo son más tradicionales.",0
"431","Entretanto, el Gobierno de Transición de la República Democrática del Congo sigue considerando la posibilidad de emitir órdenes de detención internacionales para los dirigentes de los grupos armados de Ituri.",0
"432","Instamos a todas las partes a que actúen con moderación y eviten actos de provocación o pronunciamientos que puedan desencadenar más violencia.",1
"433","Condena enérgicamente el reclutamiento y la utilización de niños soldados por las partes en los conflictos armados en violación de las obligaciones internacionales que les son aplicables, el asesinato y la mutilación de niños, la violación y otros actos de violencia sexual cometidos principalmente contra niñas, el secuestro y el desplazamiento forzoso, la denegación del acceso humanitario a los niños, los ataques contra escuelas y hospitales, así como la trata, el trabajo forzoso y todas las formas de esclavitud y todas las demás violaciones y abusos cometidos contra niños afectados por conflictos armados.",1
"434","En las consultas privadas que siguieron, los miembros del Consejo expresaron su apoyo a la UNSMIL y tomaron nota de los esfuerzos de estabilización del Gobierno provisional.",0
"435","Bosnia y Herzegovina expresa su preocupación por el actual estancamiento político en el establecimiento de un nuevo Gobierno y la definición de un claro proceso de reforma constitucional.",1
"436","Los pagos a Bechtel se relacionaban con los gastos reembolsables cobrados por Bechtel por su mano de obra y sus costos normales.",0
"437","El 10 de mayo, el Representante Especial del Secretario General para Timor-Leste, Sr. Kamalesh Sharma, informó al Consejo en una sesión pública.",0
"438","Que se celebrará el martes 14 de octubre de 2014, a las 10.00 horas",0
"439","Secuencia de pedido y cantidad debida Pagos por orden de referencias bancarias Método de envío y fecha",0
"440","5. La situación en Timor-Leste (15 de diciembre de 1975; 23 de febrero de 2012).",0
"441","El Consejo de Seguridad reitera su exigencia a todas las partes en los conflictos armados de que pongan fin inmediata y completamente a todas las formas de violencia contra las mujeres y las niñas, incluidos los actos de violencia sexual.",1
"442","56. La policía y las fuerzas de seguridad de la República Popular Democrática de Corea recurren sistemáticamente a la violencia y a castigos que equivalen a graves violaciones de los derechos humanos a fin de crear un clima de temor que impida cualquier desafío al actual sistema de gobierno y a la ideología que lo sustenta.",0
"443","Dirección: Campamento de refugiados de Jabalya cerca de la escuela Al-Fakhoura",0
"444","Las notificaciones se redactaron de conformidad con el párrafo 24 del Decimoctavo Informe ""E4"".",0
"445","Al mismo tiempo, a pesar de las promesas hechas por el proceso de transición democrática, no hay que olvidar que es una etapa extremadamente responsable en la historia del Oriente Medio que exige la máxima vigilancia y laboriosa labor para descartar los errores de cálculo y la imprevisibilidad en cuanto al futuro de la región.",1
"446","Los días 3 y 7 de octubre, el Consejo emitió comunicados de prensa en los que condenaba los recientes ataques contra la MINUSMA (SC/11587 y SC/11591).",1
"447","La situación a lo largo de la frontera del Líbano con Siria también sigue siendo preocupante.",1
"448","Es interesante observar que algunos de estos grupos armados pueden estar obteniendo sus armas dentro de la propia República Democrática del Congo, como señaló el Secretario General en su decimonoveno informe sobre la MONUC (S/2005/603) al Consejo de Seguridad.",0
"449","Condené esas restricciones a la libertad de circulación del personal de mantenimiento de la paz de las Naciones Unidas.",1
"450","5. Organización administrativa y financiera del proyecto: proyecto de estatuto de la organización árabe para un sistema de satélites de vigilancia terrestre;",0
"451","Por razones de fondo, las jurisdicciones nacionales se han opuesto a los reclamantes en uno o más de los siguientes argumentos: en primer lugar, el derecho a la reparación, tal como se establece en el derecho internacional humanitario, no es de ejecución directa, sólo los Estados de origen de las víctimas tienen derecho directo a este derecho; en segundo lugar, existe un acuerdo de paz que excluye las reclamaciones individuales.",1
"452","Sobre la base de lo anterior, el Ministerio de Relaciones Exteriores de Georgia sostiene que la retirada de la Federación de Rusia de la decisión de 19 de enero de 1996 del Consejo de Jefes de Estado de la CEI crea una grave amenaza de desestabilización, altera sustancialmente la situación en torno al conflicto y socava el marco jurídico, que determina el formato de paz de la CEI en la zona de conflicto.",1
"453","A este respecto, la Dirección organizó, en cooperación con el Centro Internacional de Lucha contra el Terrorismo y con el apoyo de los Países Bajos, su segundo seminario sobre la aplicación de la resolución 1624 (2005) en julio de 2012 en Rabat.",0
"454","El Consejo de Seguridad sigue gravemente preocupado por la amenaza que representan la piratería y el robo a mano armada en el mar para la navegación internacional, la seguridad de las rutas marítimas comerciales y la seguridad y el desarrollo económico de los Estados de las regiones de que se trate, así como para la seguridad y el bienestar de la gente de mar y otras personas, incluso mediante su toma como rehenes, y por el aumento de la violencia empleada por los piratas y las personas implicadas en la piratería y el robo a mano armada en el mar. El Consejo de Seguridad condena en los términos más enérgicos la toma de rehenes y el uso de la violencia contra los rehenes, y exhorta a los Estados a que cooperen también, según proceda, para garantizar la pronta liberación de los rehenes, incluso mediante el intercambio de información e inteligencia.",1
"455","Ante todo, las preocupaciones en el frente de la seguridad siguen siendo primordiales.",1
"456","Los intentos actuales del Consejo de Seguridad de culpar a Eritrea son injustificados, tanto desde el punto de vista jurídico como político.",1
"457","a) El mapa de las Naciones Unidas para la República del Sudán, marzo de 2012;",0
"458","Nacido el 13 de julio de 1942 en Pau, Francia",0
"459","El Consejo de Seguridad debe reconocer que la lucha contra el extremismo violento es un elemento esencial de la respuesta de la comunidad internacional a esta amenaza.",1
"460","Es evidente que la Comisión tal vez no esté en condiciones de cumplir esas tareas si no ha establecido previamente: a) si las violaciones equivalen a crímenes internacionales y, en caso afirmativo, b) en qué categorías de crímenes caen (crímenes de guerra, crímenes de lesa humanidad, genocidio u otros crímenes).",1
"461","El Consejo debe pedir la cesación inmediata de todas las operaciones militares en Gaza y la retirada de las fuerzas de ocupación israelíes de esa zona.",1
"462","La amenaza a la seguridad y la estabilidad del Afganistán que plantean los terroristas, los delincuentes y los que participan en el tráfico ilícito de drogas es real y debe abordarse continuamente.",1
"463","b) Piezas de repuesto y materiales 371",0
"464","Me preocupa que el voto parlamentario y el estancamiento puedan perturbar los meticulosos logros que han logrado las partes interesadas somalíes y sus asociados.",1
"465","Si los Estados no pueden aplicar las decisiones adoptadas por el Consejo en virtud del Capítulo VII de la Carta de las Naciones Unidas sin contravenir sus propias leyes, la comunidad mundial perderá el poder de adoptar medidas coordinadas contra las amenazas a la paz y la seguridad internacionales.",1
"466","Fomento de la capacidad de los Estados para prevenir la proliferación y responder a los ataques con armas de destrucción en masa",0
"467","Abdelrahman Mouhamad Zafir al Dabidi al Jahani está asociado con Al-Qaida o cualquier célula, afiliado, grupo escindido o derivado de él para ""participar en la financiación, planificación, facilitación, preparación o comisión de actos o actividades por, junto con, bajo el nombre de, en nombre, o en apoyo de"" y ""reclutamiento para"" Jabhet al-Nusra, un alias del Frente Al-Nusrah para el Pueblo del Levante (QE.A.137.14).",1
"468","Sin embargo, la respuesta a esto en mi opinión no es que se deba gastar menos en tribunales híbridos, sino que se debe prestar más atención y financiación a los sistemas nacionales de justicia después de los conflictos en su conjunto.",1
"469","Establecimiento y utilización de mecanismos eficaces para investigar y enjuiciar las violaciones graves del derecho humanitario y penal, a nivel local o internacional (desde el comienzo de la operación).",0
"470","Nos preocupa el aumento de la insurgencia en algunas partes del Afganistán.",1
"471",":: El UNICEF prestó servicios psicosociales esenciales a 12.385 niños por conducto de sus asociados en las provincias de Hama, Quneitra, Alepo, Tartous, Homs, Ladhiqiyah y Damasco, que incluyeron apoyo a 1.437 niños en Al Waer, una zona de difícil acceso en la provincia de Homs, por conducto de una nueva ONG local asociada.",0
"472","Por lo tanto, se ocupa en gran medida de aspectos de los contextos sociales que pueden propiciar la propagación del terrorismo.",1
"473","Por consiguiente, las directrices se han remitido a la OIT para que las examine y adopte posibles medidas al respecto.",0
"474","Al entretener iniciativas que recompensen efectivamente esa estrategia, el Consejo sólo envalentonará a los extremistas y socavará la letra y el espíritu de la hoja de ruta.",1
"475","7 11/390/90 - agosto de 1990",0
"476","El Grupo presenta a continuación tres estudios de casos -- sobre la energía aérea, los vehículos de uso militar y los mercenarios y los mecánicos -- para que el Comité examine y adopte una decisión oportuna sobre si violan el embargo.",0
"477","46. El Comité contra el Terrorismo y su Dirección Ejecutiva deberían: a) colaborar más activamente con las organizaciones regionales pertinentes (la Unión Africana, la Comunidad del África Oriental, la Organización de Cooperación de Jefes de Policía de África Oriental, el Grupo de África Oriental y Meridional contra el blanqueo de dinero y el Programa de fomento de la capacidad contra el terrorismo de la IGAD y centrarse en actividades encaminadas a superar las deficiencias y mejorar la aplicación de la resolución;",0
"478","No obstante, el régimen sigue sufriendo reveses en los tribunales, aunque antes de que el Comité pueda demostrar la eficacia del proceso del Ombudsman.",1
"479","El Consejo de Seguridad condena inequívocamente el ataque terrorista que tuvo lugar en Marib (República del Yemen) el 2 de julio de 2007 y expresa su más sentido pésame y sus condolencias a las víctimas de esos ataques y a sus familias, así como a los pueblos y Gobiernos de la República del Yemen y del Reino de España.",1
"480","Transmisión del caso 11 al Comité",0
"481","Su innovación era mover el objetivo de los países musulmanes hacia Occidente, en particular los Estados Unidos de América; y al caracterizar su terrorismo como una lucha entre el Islam y sus enemigos, pudo reunir a varios grupos diversos y a menudo competidores bajo una sola bandera.",1
"482","Estos grupos, concebidos como mecanismo interno para mejorar los conocimientos especializados y la coherencia y contribuir a las principales actividades de trabajo de la Dirección Ejecutiva, se establecerán inicialmente en las siguientes esferas funcionales:",0
"483","V. Aplicación del enfoque gradual en tres fases",0
"484","1. Condena enérgicamente el golpe de Estado que tuvo lugar en Bangui, República Centroafricana, el sábado 15 de marzo de 2003.",0
"485","562. Hay otra razón más concreta por la que los dirigentes políticos y militares del Ejército de Liberación del Sudán y el Movimiento por la Justicia y la Igualdad no pueden negarse a aceptar la rendición de cuentas por cualquier delito cometido por sus tropas sobre el terreno si esos dirigentes se abstuvieron de prevenir o reprimir esos delitos.",1
"486","El segundo punto que quisiera subrayar hoy es nuestra constante preocupación por el bienestar del pueblo inocente de Gaza y en las ciudades y pueblos del sur de Israel.",1
"487","Al igual que otros oradores que tenemos ante nosotros, y en consonancia con la declaración formulada por el Alto Representante Ashton, condenamos el acto que llevó a la muerte del Sr. Dzeković y las heridas sufridas por varios otros durante las protestas en Mitrovica del Norte el 2 de julio.",1
"488","Apéndice, párrafo 3, apartados b) y c)",0
"489","Desde el comienzo del estancamiento político tras las elecciones del 29 de marzo, el Secretario General ha expresado su preocupación por el proceso y la violencia por motivos políticos.",1
"490","27. El 2 de noviembre, 16 de las 20 personas detenidas durante una operación de las MDSF en Boulkessi (región de Mopti), zona controlada por el HCUA, informaron a la MINUSMA de que habían recibido fuertes palizas durante los interrogatorios.",0
"491","30. El 18 de marzo, los comandantes de la Guardia Presidencial y del Grupo de Seguridad Presidencial dirigieron una carta al Ministro de Seguridad Interna y decretaron que las zonas alrededor del palacio presidencial se considerarían una ""zona roja"" en la que cualquier persona capturada sería vista como un combatiente enemigo y tratada como tal, es decir, con un disparo, sin previo aviso.",1
"492","Inmediatamente después de la explosión, los órganos de seguridad, militares y de defensa civil, así como la Cruz Roja, se apresuraron a ir al lugar del crimen para desempeñar sus funciones.",0
"493","En la estrategia de conclusión adjunta figuran otras proyecciones.",0
"494","Una vez que el comerciante verifica el pago de la regalías, la Oficina Gubernamental del Diamante expide un certificado del Proceso de Kimberley y autoriza la exportación.",0
"495","Reitero mi llamamiento para que se libere de inmediato e incondicionalmente a todos los marinos inocentes secuestrados en Somalia a fin de que puedan reunirse con sus familias.",1
"496","Por lo tanto, no se trata de un empleo a largo plazo.",0
"497","Es defensora de la Corte Suprema de Pakistán y ha sido defensora de los derechos humanos durante muchos años, trabajando en particular en favor de los derechos de las mujeres, las minorías y los niños.",0
"498","Sí, el NBMS incluye a las personas que figuran en la lista de la resolución 1267.",0
"499","Mientras los Estados no impongan ninguna obligación a las personas incluidas en la Lista de acatar la prohibición de viajar, tal vez vean poco riesgo en tratar de evitarla.",0
"500","La mayoría de los Estados tienen capacidad limitada para congelar fondos y activos sin demora, y ningún Estado aplica medidas adecuadas para proteger a las organizaciones sin fines de lucro de la financiación del terrorismo.",1
"501",":: Donación de equipo por valor de 40.000 euros",0
"502","36. Alienta a todos los Estados Miembros, en particular a los Estados proponentes y a los Estados de residencia o nacionalidad, a que presenten al Comité información adicional de identificación y de otra índole, junto con documentación justificativa, sobre las personas, grupos, empresas y entidades incluidos en la Lista, incluida información actualizada sobre la situación operacional de las entidades, grupos y empresas incluidos en la Lista, el movimiento, el encarcelamiento o la muerte de las personas incluidas en la Lista y otros acontecimientos importantes, a medida que se disponga de esa información;",0
"503","Se está desarrollando una comprensión genuina de los desafíos que enfrenta cada país.",1
"504","El papel de las organizaciones regionales es particularmente importante desde este punto de vista.",0
"505","La República de Sudán del Sur está sumamente preocupada por el deterioro de la situación de seguridad en las zonas fronterizas tanto de la República del Sudán como de la República de Sudán del Sur.",1
"506","Los gastos durante el período de 12 meses terminado el 31 de diciembre de 2006 fueron (en miles de dólares de los Estados Unidos).",0
"507","El Consejo de Seguridad reafirma la importancia del principio de no devolución, el derecho de los refugiados a regresar voluntariamente a [el país afectado] y alienta a los países vecinos [el país afectado] a que protejan a todas las personas que huyen de la violencia en [el país afectado], incluidas [las personas de una zona determinada de la región], e insta a todos los Estados Miembros a que, sobre la base de los principios de reparto de la carga, presten apoyo a esos países en la prestación de asistencia a los refugiados y las comunidades afectadas...",0
"508","El Comité seguirá centrándose en la promoción de la aplicación por los Estados de la resolución 1373 (2001) y en la adopción de medidas prácticas destinadas a mejorar la capacidad de los Estados en la lucha contra el terrorismo.",0
"509","Nubul y Zahra han estado sitiados desde abril de 2013.",0
"510","a) El jefe de la subdivisión de la Oficina de Asuntos de Desarme realiza un examen sustantivo del proyecto para determinar la coherencia;",0
"511","Estas declaraciones ofensivas, descortés, inaceptables y amenazadoras del Presidente ugandés constituyen una violación flagrante de la Carta de las Naciones Unidas y, en particular, del párrafo 4 del Artículo 2, en el que se establece claramente que ""todos los Miembros, en sus relaciones internacionales, se abstendrán de recurrir a la amenaza o al uso de la fuerza contra la integridad territorial o la independencia política de cualquier Estado, o de cualquier otra manera incompatible con los propósitos de las Naciones Unidas"".",1
"512","Los programas de medios de vida alternativos dirigidos a las comunidades, el acceso a los mercados, la construcción de carreteras y la infraestructura marítima que promueven la pesca y el comercio mediante la asistencia para el desarrollo harán más sostenibles los logros obtenidos mediante la lucha contra la piratería.",0
"513","Condenamos en particular todo intento de obligar a la UNMIK a participar en cualquier tipo de gobierno conjunto, así como toda injerencia en los poderes reservados del Representante Especial.",1
"514","Destacando que la elaboración y el mantenimiento de sistemas de justicia penal justos y eficaces deben ser una base fundamental de toda estrategia de lucha contra el terrorismo y la delincuencia organizada transnacional,",1
"515","Destaca que todos los responsables de violaciones y abusos de los derechos humanos deben rendir cuentas de sus actos y subraya la necesidad de que se realice una investigación amplia, independiente e imparcial, compatible con las normas internacionales, de los presuntos abusos y violaciones de los derechos humanos, a fin de prevenir la impunidad y asegurar la plena rendición de cuentas;",1
"516","No se conoce la identidad del autor o autores;",0
"517","Indíquese si el alcance de la oferta incluye o no cualquier elemento incluido en la Lista de Examen de Mercancías (GRL).",0
"518","Habiendo determinado que la situación en Somalia sigue constituyendo una amenaza para la paz y la seguridad internacionales en la región,",1
"519","El Comité de Derechos Humanos ha enunciado claramente este derecho en su Observación general No 27. En varias ocasiones el Comité de Derechos Económicos, Sociales y Culturales ha declarado que los desalojos forzosos son prima facie incompatibles con los requisitos del Pacto Internacional de Derechos Económicos, Sociales y Culturales.",1
"520","32. En el párrafo 67 de su opinión, el Abogado General expone cinco razones por las que no debería aplicarse una revisión de búsqueda en este contexto: a) el carácter preventivo de las sanciones contra Al-Qaida; b) el contexto internacional del acto impugnado; c) la necesidad de equilibrar las exigencias de la lucha contra el terrorismo y las de la protección de los derechos fundamentales; d) el carácter político de las evaluaciones realizadas por el Comité establecido en virtud de la resolución 1267 (1999); y e) la mejora de los procedimientos de supresión de nombres de la Lista en el Comité establecido en virtud de la resolución 1267 (1999) en los últimos años, en particular desde la decisión Kadi de 2008 del Tribunal de Justicia.",1
"521","Es parte de un mantra que se repite constantemente ante este Consejo que ya no es cierto por su repetición, que ignora tanto las responsabilidades palestinas como los derechos israelíes, y que no reconoce las terribles dificultades que enfrentan las fuerzas israelíes para tratar de proteger a sus ciudadanos y reducir al mínimo los daños a la vida palestina cuando los terroristas a los que se enfrentan muestran tan poca preocupación por la vida palestina como lo hacen por la vida israelí.",1
"522","Al considerar la evolución del riesgo de incitación, hay que tener presente que las formas y los medios de comunicación han evolucionado sustancialmente desde la aprobación de la resolución 1624 (2005).",1
"523","b) La Asamblea General y el Consejo de Derechos Humanos deberían prorrogar los mecanismos de vigilancia de los derechos humanos y presentación de informes sobre la República Popular Democrática de Corea que precedieron al establecimiento de la comisión, incluidos los informes periódicos del Secretario General y de la Alta Comisionada de las Naciones Unidas para los Derechos Humanos, así como el mandato del Relator Especial sobre la situación de los derechos humanos en la República Popular Democrática de Corea.",0
"524","Los miembros expresaron su preocupación por la situación de seguridad y subrayaron que, a menos que se abordara con rapidez y eficacia, la normalización podría quedar estancada, socavando los esfuerzos de las autoridades por estabilizar el Estado.",1
"525","Es evidente que, cuando la MINURCAT comience su retirada de Birao el 21 de octubre de 2010, es posible que las fuerzas nacionales de la República Centroafricana no estén inmediatamente en condiciones de desplegar y mantener tropas adicionales.",1
"526","En 2010, la Federación de Rusia promulgó una legislación amplia para reforzar los controles de la importación, exportación y circulación de armas y explosivos, asignando a la Fiscalía General la responsabilidad general de la supervisión, investigación y aplicación de esas medidas 194. Todos los Estados de la subregión expiden documentos de viaje legibles por máquina.",0
"527","Las disposiciones de amnistía excluyen la impunidad de la violencia de género.",0
"528","Cuatro Estados cuentan con leyes amplias de lucha contra el terrorismo.",0
"529","Sierra Leona cuenta actualmente con 49 periódicos diarios y 39 emisoras de radio, 32 de las cuales son de propiedad privada.",0
"530","El Consejo de Seguridad espera con interés recibir más detalles sobre las propuestas del Representante Especial del Secretario General.",0
"531","El Consejo de Seguridad prorrogó la suspensión parcial del embargo de armas para el desarrollo de las fuerzas de seguridad del Gobierno Federal de Somalia en dos ocasiones: en la resolución 2142 (2014), por un período de seis meses, y en la resolución 2182 (2014), hasta el 30 de octubre de 2015.",0
"532","La ratificación del Tratado sobre el Mar de Timor ha dado lugar a esperanzas de ingresos considerables por concepto de gas y petróleo en un futuro próximo.",0
"533","II. Apartados c) y d) del párrafo 1",0
"534","Mi delegación condena firmemente esa violencia y hace llegar sus condolencias a las familias del pediatra fallecido.",1
"535","""El Consejo de Seguridad ha examinado la cuestión de la protección de los civiles en los conflictos armados.",0
"536","A medida que nos disponemos a debatir los problemas de desarrollo que enfrenta el Afganistán, el reciente incidente pone de relieve el sombrío panorama relacionado con la situación de seguridad.",1
"537","Tengo el honor de transmitir adjunto el informe del Comité del Consejo de Seguridad establecido en virtud de la resolución 1970 (2011) relativa a Libia, en el que figura una relación de las actividades del Comité entre el 1 de enero y el 31 de diciembre de 2014.",0
"538","61. El grado de presencia y funcionamiento de las instituciones del Estado, la policía y el ejército nacional en esas zonas varía considerablemente.",0
"539","Organismos encargados de hacer cumplir la ley: establecimiento de dependencias de lucha contra el terrorismo",0
"540","Lo que suceda con estos combatientes dependerá de lo que experimenten durante su estancia en la República Árabe Siria, pero los conflictos pasados en los que participaron voluntarios extranjeros con afiliados a Al-Qaida han demostrado tener un efecto duradero en el panorama de la amenaza local e internacional.",1
"541","La Iglesia católica y las organizaciones de la sociedad civil expresaron su preocupación por el hecho de que las conmutaciones pudieran contribuir a la percepción de impunidad, aunque el Presidente explicó que las conmutaciones se habían concedido en consulta, entre otros, con el Gobierno, los miembros del Parlamento y los familiares de las víctimas y los autores, y de conformidad con la Constitución y las leyes aplicables.",1
"542","Teherán vía Mitiga (Jamahiriya Árabe Libia)",0
"543","El grupo, integrado por 10 inspectores, salió del Hotel Canal a las 8.40 horas y llegó a las 9.40 horas a la Facultad de Medicina Veterinaria de la Universidad de Bagdad, en Abu Ghraib, a unos 15 kilómetros al oeste de Bagdad.",0
"544","a) Colaborar más activamente con las organizaciones internacionales y regionales que participan en la región (entre ellas la Organización del Tratado de Seguridad Colectiva, la Organización para la Seguridad y la Cooperación en Europa (OSCE), la Estructura Regional Antiterrorista de la Organización de Cooperación de Shanghai y la Escuela Superior de Personal de Gestión Fronteriza de la OSCE en Dushanbé (Tayikistán)) a fin de centrar la atención en las actividades encaminadas a superar las deficiencias y mejorar la aplicación de la resolución 1373 (2001);",0
"545","Los partidos y sus alas juveniles incitan a los niños a participar en manifestaciones en las que existe el riesgo de violencia, y la policía a veces responde con fuerza excesiva.",0
"546","También nos preocupa profundamente el empeoramiento del flagelo del terrorismo y el extremismo violento en la región sahelosahariana, así como los estrechos vínculos que mantienen los grupos armados terroristas con la delincuencia organizada transnacional, en particular el tráfico de drogas y personas, el blanqueo de dinero y el tráfico ilícito de armas.",1
"547","Dinamarca ha proporcionado un avión especial para uso de la UNAMI, y los servicios comenzaron el 28 de enero de 2007.",0
"548","77. Todas las pruebas disponibles indican que los disparos iniciales de la mañana del 25 de marzo que dieron lugar a la explosión fueron el resultado de una acción coordinada de las fuerzas de seguridad que causó la muerte de más de 100 civiles.",0
"549","6. Subraya que está plenamente dispuesto a imponer medidas selectivas contra las personas designadas por el Comité de conformidad con los párrafos 9, 11 y 14 de la resolución 1572 (2004), que, entre otras cosas:",1
"550","Este enlace de datos proporcionará las comunicaciones esenciales entre los departamentos regionales, las divisiones y la Sede.",0
"551","Además, los nombres mal identificados ponen en peligro la aplicación de las sanciones a las personas equivocadas.",1
"552","Las operaciones periódicas conjuntas de dominación de la zona y de acordonamiento y registro han dado lugar a la detención de algunos elementos de las milicias y a la incautación de armas y municiones ilegales, así como a la limitación del margen de maniobra operacional de los grupos de milicias.",0
"553","Su evaluación se publica en informes bimensuales, práctica que ha contribuido a crear conciencia sobre los problemas de derechos humanos.",0
"554","El Gobierno se enfrenta actualmente a varios meses de atrasos salariales.",0
"555","Los principales elementos de su declaración, así como el intercambio de opiniones entre los miembros del Grupo de Trabajo, se reflejan en el resumen que figura en las conclusiones pertinentes (S/AC.51/2013/3).",0
"556","El programa nacional de reinserción y rehabilitación comunitaria, que se prevé absorberá a 6.000 excombatientes, ha facilitado el registro y la elaboración de perfiles del personal de las Forces nouvelles.",0
"557","El próximo pago está programado para el 26 de enero de 2012.",0
"558","Para el año escolar 2006/07, el Ministerio de Educación estimó que se matricularían 1.660.000 alumnos.",0
"559","Por ejemplo, un camión lleno de cigarrillos producirá más de 1,2 millones de dólares en ganancias si se han evitado los impuestos federales y estatales.",0
"560","Esto incluye la responsabilidad de la circulación de personas y carga que llegan internacionalmente a los Estados Unidos y salen internacionalmente de ellos.",0
"561","28. La Representante Especial Adjunta del Secretario General señaló que, desde el estallido del conflicto en diciembre de 2013, se habían recibido informes por conducto del mecanismo de supervisión y presentación de informes en los que se indicaba que ambas partes en el conflicto eran responsables de violaciones y abusos contra los niños, incluidos asesinatos y mutilaciones, reclutamiento y utilización y violencia sexual.",0
"562","Esto sigue siendo motivo de constante preocupación para nosotros.",1
"563","""Información sobre el cumplimiento por las partes en conflictos armados al poner fin al reclutamiento o la utilización de niños en conflictos armados en violación del derecho internacional aplicable y otras violaciones cometidas contra niños afectados por conflictos armados;",0
"564","La BTWCIA recibió la sanción real en 2004.",0
