en_ar_TRANSFORMERS	QuadClass
وإذا لم تف البعثات بمسؤولياتها عن حماية المدنيين، فإنها تقوض المهام الأخرى التي قد تكون أوكلت إليها، ناهيك عن الخسائر في الأرواح والمعاناة الناجمة عن ذلك.	3
التشديد على أهمية وضع حد للإفلات من العقاب على انتهاكات القانون الإنساني الدولي والقانون الدولي لحقوق الإنسان المنطبقة كجزء من نهج شامل للسعي إلى تحقيق السلام المستدام والعدالة والحقيقة والمصالحة الوطنية.	3
وأعرب عن عميق امتناني لممثلي الخاص بالنيابة، ديفيد غريسلي، ولنائب ممثلي الخاص، أرنالد أكودجينو، وكذلك لجميع موظفي الأمم المتحدة المدنيين والأفراد النظاميين في مالي، على عملهم الدؤوب المتواصل في ظل ظروف بالغة الصعوبة لاستعادة السلام والاستقرار الدائمين في البلد.	4
ويُطلب إلى المديرية التنفيذية، على وجه الخصوص، أن تشجع الدول على وضع استراتيجيات للتصدي للتحريض على الأعمال الإرهابية بدافع التطرف والتعصب.	4
وإذ يشدد على أن الجزاءات أداة هامة بموجب ميثاق الأمم المتحدة في صون السلام والأمن الدوليين وإعادتهما إلى نصابه، وإذ يؤكد في هذا الصدد ضرورة التنفيذ الصارم للتدابير الواردة في الفقرة 1 من هذا القرار بوصفها أداة هامة في مكافحة النشاط الإرهابي،	3
وتنص الفقرة 2 من المادة 21 من مرفق قرار مجلس الأمن 1757 (2007) على أنه إذا لم تكتمل أنشطة المحكمة الخاصة بحلول نهاية ولايتها الحالية، "يمدد الاتفاق لفترة (فترات) أخرى يحددها الأمين العام بالتشاور مع حكومة [لبنان] ومجلس الأمن".	4
وسيؤكد من جديد سياسة عدم التسامح مطلقا، وضرورة أن تتخذ الدول المساهمة بقوات التدابير التأديبية والقضائية اللازمة، وضرورة الاهتمام الكامل بالضحايا.	4
ويعتمد نجاح تدابير مكافحة الإرهاب إلى حد كبير على التنسيق الفعال لجهود المجتمع الدولي لقمع مختلف أشكال دعم الإرهاب، ولا سيما تمويله.	4
”ويدعو مجلس الأمن الأمين العام إلى أن يواصل الرجوع إلى المعلومات والتحليلات ذات الصلة حيثما يرى أن هذه المعلومات أو التحليلات يمكن أن تسهم في تحسين عمله بشأن حماية المدنيين في الصراعات المسلحة، وأن يواصل تضمين تقاريره الخطية إلى المجلس عن المسائل المعروضة عليه، حسب الاقتضاء، ملاحظات تتصل بحماية المدنيين في الصراعات المسلحة.	4
وضع خطة عمل جنسانية على مستوى الإدارات لإدماج المنظورات الجنسانية في أنشطتها المتعلقة بمنع نشوب النزاعات وصنع السلام وبناء السلام.	4
144 - وفي حين تدرك اللجنة أن رئيس قوات الدفاع يواجه نزهة جماعية للأفراد وضرورة الحفاظ على انضباط القوة، فإنها تلاحظ وجود تباينات كبيرة بين الإجراء الذي اتخذه والإجراءات التي يقتضيها القانون، وأعلن رئيس قوات الدفاع في 16 آذار/مارس أن الملتمسين سيعتبرون مدنيين اعتبارا من 1 آذار/مارس، وأن المشورة القانونية قد طلبتها قوات الدفاع من المستشار القانوني لمجلس الوزراء المعين دوليا، ولم يكن هناك مستشار قانوني داخل القوات المسلحة أو الوزارة.	3
(ب) تنفيذ جميع المسائل المعلقة المشار إليها في الفقرة 12 أعلاه، مع الإشارة في هذا الصدد إلى أن التنفيذ المتزامن لعملية تحديد الهوية وتجميع القوات، على النحو المنصوص عليه في البرنامج الوطني لنزع السلاح والتسريح وإعادة الإدماج والتأهيل الموقع في ياموسوكرو في 14 أيار/مايو 2005، من شأنه أن يعجل بتهيئة الظروف لإجراء انتخابات حرة ونزيهة ومفتوحة وشفافة؛	3
وكان لجميع هذه التطورات أثر ضار على التقدم المحرز والنتائج المحققة فيما يتعلق بالسلام والأمن والمصالحة والاستقرار عموما.	1
وتؤيد اللجنة أيضا التوصية بتوجيه طلبات الحصول على المعلومات بمزيد من الدقة إلى الدول التي يعمل فيها أو يسعى فيها فرد أو كيان مدرج في القائمة إلى العمل، دون فرض عبء إبلاغ ثقيل للغاية على تلك الدول.	4
”ويقر مجلس الأمن بأهمية دور المرأة في منع نشوب النزاعات وحلها وفي بناء السلام، ويشدد على الدور الرئيسي للحكومات الوطنية المتضررة من النزاعات المسلحة، في تعزيز مشاركة المرأة في منع نشوب النزاعات وحلها وفي بناء السلام في إطار جدول أعمال المرأة والسلام والأمن، بما في ذلك عن طريق التشاور مع المنظمات النسائية ذات الصلة منذ المراحل الأولى للتخطيط وتحديد الأولويات.	4
والواقع أن استخدام حاملي النقدية معترف به باعتباره إحدى الأساليب الرئيسية المستخدمة لنقل الأموال غير المشروعة وغسل الأموال وتمويل الإرهاب.	1
إنشاء لجنة لتقصي الحقائق والمصالحة في كوت ديفوار، بدعم من الأمم المتحدة، مع مراعاة الدروس المستفادة وأفضل الممارسات التي ظهرت في هذا المجال في السنوات القليلة الماضية؛	4
بعثات حفظ السلام التابعة للولايات والبعثات الأخرى ذات الصلة التي يأذن بها مجلس الأمن للتشجيع على إنشاء آليات لرصد وسائط الإعلام لضمان الرصد والإبلاغ والتوثيق الفعالين لأي حوادث وأصول ومحتويات تحرض على ”وسائط الإعلام التي تحرض على الكراهية“.	4
ودعا أحد المتكلمين إلى التدقيق عن كثب في عمل الخبراء الذين يساعدون لجان الجزاءات بالتوجه إلى الميدان لدراسة الحالات على أرض الواقع.	4
ويجب على المجتمع الدولي أن يتحمل المسؤولية عن حماية المدنيين في دارفور ووضع حد للإفلات من العقاب السائد حاليا هناك.	4
”ويلاحظ مجلس الأمن مع القلق أن التهديدات المذكورة أعلاه قد تهدد أمن البلدان المدرجة في جدول أعماله، بما في ذلك الدول الخارجة من صراعات، ويشجع تنسيق إجراءات الأمم المتحدة فضلا عن الإجراءات التي تتخذها الدول الأعضاء لمكافحة هذه التهديدات.	4
وقد أرسل العقيد ليري عدائيين لإبلاغ الأمر إلى الجنود الذين لم يكونوا ضمن نطاق الأذنين.	1
ولاحظ الفريق أن تنظيم القاعدة وحركة الطالبان ومن يرتبط بهما سيستخدمون أي متفجرات متاحة، مثل المتفجرات العسكرية في مناطق النزاع، أو المكونات اللازمة لارتجال جهاز متفجر، مثل نترات الأمونيوم، في أماكن أخرى (S/2007/132، الفقرة 90).	1
في 10 تشرين الثاني/نوفمبر، استمع المجلس في مشاورات مغلقة إلى إحاطة قدمها نائب الممثل الدائم للكسمبرغ لدى الأمم المتحدة، أوليفييه مايس، باسم رئيس لجنة مجلس الأمن المنشأة عملا بالقرار 1718 (2006) بشأن جمهورية كوريا الشعبية الديمقراطية، عن أعمال اللجنة في الفترة من 5 آب/أغسطس إلى 9 تشرين الثاني/نوفمبر، وقُدمت الإحاطة وفقا للفقرة 12 (ز) من القرار 1718 (2006).	4
ومع ذلك، يبدو أن لجنة الأمم المتحدة للتعويضات مثال استثنائي يمكن فيه لجميع أعضاء المجلس أن يتوصلوا إلى اتفاق، بل وربما الأهم من ذلك، إنشاء آلية لضمان الأموال اللازمة لدفع التعويضات نتيجة لقدرة الأمم المتحدة على مراقبة صادرات العراق من النفط.	2
يحث الموقعين على [اتفاق السلام] على العمل من أجل إيجاد حل مستدام للعودة الطوعية للمشردين وإعادة توطينهم وإعادة إدماجهم وأمنهم، بما في ذلك عن طريق معالجة مسائل حيازة الأراضي، بدعم من منظومة الأمم المتحدة، والوفاء في هذا الصدد بالتزاماتهم وفقا للاتفاق السياسي... والتزاماتهم بموجب القانون الدولي.	4
وبعد أن أجرينا جميع التحليلات والمناقشات للحقائق التي جمعناها، توصلنا إلى نتيجة مفادها أنه كان على الأرجح انفجارا فوق سطح الأرض.	1
5 - يقرر أن تقوم الدول الأعضاء، بما يتسق مع القانون الدولي لحقوق الإنسان وقانون اللاجئين الدولي والقانون الإنساني الدولي، بمنع وقمع تجنيد أو تنظيم أو نقل أو تجهيز أفراد يسافرون إلى دولة غير دول إقامتهم أو جنسيتهم لغرض ارتكاب أعمال إرهابية أو التخطيط لها أو الإعداد لها أو المشاركة فيها أو توفير التدريب الإرهابي أو تلقيه وتمويل سفرهم وأنشطتهم؛	4
وفي آب/أغسطس 2005، قام الفريق، برفقة أفراد من عملية الأمم المتحدة في كوت ديفوار، بزيارة ميناء أبيدجان، وغراند لاهو المستقل ذاتيا، وفريسكو، وسساندرا، ومنوغوغا، وغراند بيريبي، وميناء سان بيدرو المتمتع بالحكم الذاتي، وتابو المتمتع بالحكم الذاتي، وفي جميع هذه المواقع، قام الفريق بفحص الموانئ والهاويات، وناقش تنفيذ الحظر مع السلطات والمؤسسات التجارية المعنية ومع عملية الأمم المتحدة في كوت ديفوار.	4
وفي هذا الصدد، نطلب إلى مفوضية الاتحاد الأفريقي أن تتخذ، بالتعاون الوثيق مع الجماعة الاقتصادية لدول غرب أفريقيا وبدعم من الشركاء الدوليين، بما في ذلك الأمم المتحدة والاتحاد الأوروبي وسائر أصحاب المصلحة الدوليين المعنيين، جميع التدابير اللازمة، بما في ذلك عقد اجتماع في مالي، في شباط/فبراير 2015 على الأكثر، لوزراء الدفاع والأمن ورؤساء الأركان ورؤساء دوائر الاستخبارات والأمن في بلدان المنطقة، لإجراء الدراسات اللازمة لإنشاء هذه الآليات.	4
وبعد ذلك، اقتحم الجنود المنازل واعتقلوا الشباب واقتادوهم إلى حافلات عسكرية.	1
وإذ يهيب بالدول أن تعمل معا على وجه السرعة من أجل منع أعمال الإرهاب النووي وقمعها، بوسائل منها زيادة التعاون والتنفيذ الكامل للاتفاقيات الدولية ذات الصلة، ومن خلال اتخاذ تدابير مناسبة لتعزيز الإطار القانوني القائم بهدف كفالة مساءلة مرتكبي جرائم الإرهاب النووي مساءلة فعالة،	4
وشدد المجلس أيضا على الحاجة الملحة لأن تتقيد جميع الأطراف بوقف إطلاق النار وأن تتخذ تدابير فورية لإنهاء العنف، ودعا حكومة السودان إلى احترام التزاماتها بكفالة تحييد ونزع سلاح ميليشيات الجنجويد.	4
ويثني مجلس الأمن في هذا الصدد على الدعم الذي تقدمه البلدان المجاورة للاجئين من جمهورية الكونغو الديمقراطية.	4
(أ) إذا تسبب الفعل المبين في الفقرة 1 أعلاه في إلحاق ضرر بدني جسيم بشخصين على الأقل أو في وفاة شخصين على الأقل، أو	1
وقد أدخلت الإمارات العربية المتحدة والأردن عددا من التحسينات الهامة على سياسات أمن الطيران وبرامجه وتنفيذ الضوابط الأمنية على مستوى المطارات.	2
“ويجدد مجلس الأمن دعوته الدول إلى أن تصبح أطرافا في أقرب وقت ممكن في جميع الاتفاقيات والبروتوكولات الدولية ذات الصلة بالإرهاب وأن تنفذ الاتفاقيات والبروتوكولات التي هي أطراف فيها.	4
" ويؤيد مجلس الأمن بقوة الجهود الرامية إلى تعزيز الحوار الوطني والمصالحة والمشاركة السياسية الواسعة النطاق لضمان الوحدة والسلام والأمن والاستقرار في العراق.	4
229 - وتوصي اللجنة بإنشاء آليات قوية ومستقلة لمراقبة الشرطة والجيش.	4
وفي 31 كانون الثاني/يناير 2005، أُطلقت النار مرة أخرى على دورية تابعة لبعثة الاتحاد الأفريقي في السودان للتحقيق في انتهاكات وقف إطلاق النار في منطقة شنقل طوباي بالقرب من حفر يبدو أنها تؤكد ادعاءات بالقصف.	1
وهذا التفسير تبرره المبادئ الأساسية للقانون الجنائي الدولي، التي تنص على أن المسؤولية الجنائية الفردية تنشأ عندما يرتكب شخص ما جريمة بصورة مادية، وكذلك عندما ينخرط في أشكال أو طرائق أخرى من السلوك الإجرامي.	1
واقترح المشاركون زيادة الربط الشبكي أو الربط الشبكي للشبكات القائمة وشددوا على أهمية عقد اجتماعات وجهاً لوجه وتبادل الأقران، وأوصى المشاركون بالنظر في "عملية فيسبادن" في هذا الصدد.	4
ولدى سبع دول بعض التدابير لرصد وتنظيم ومراقبة إنتاج الأسلحة والمتفجرات وبيعها ونقلها.	2
28 - وفي 28 تشرين الأول/أكتوبر، اجتمعت اللجنة مع مارتن شاينين، المقرر الخاص المعني بتعزيز وحماية حقوق الإنسان والحريات الأساسية في سياق مكافحة الإرهاب، وأطلع السيد شاين اللجنة على مقترحاته الرامية إلى تحسين نظام الجزاءات، وأعقب ذلك تبادل بنّاء للآراء بشأن المسائل المتصلة بنزاهة ووضوح إجراءات اللجنة، ولا سيما فيما يتعلق بإدراج الأسماء في القائمة ورفعها منها.	4
زاي-5 وضع وتقديم برامج لدعم الضحايا تراعي الفوارق بين الجنسين، بما في ذلك برامج المساعدة القانونية وحماية الشهود.	2
أولا، يرتبط التنفيذ الفعال لنظام الجزاءات ارتباطا مباشرا بنوعية المعلومات المتاحة عن أهدافه.	2
في جلسة مجلس الأمن 5052، المعقودة في 6 تشرين الأول/أكتوبر 2004، فيما يتصل بنظر المجلس في البندين المعنونين "العدالة وسيادة القانون: دور الأمم المتحدة"، و "التوفيق الوطني بعد انتهاء الصراع: دور الأمم المتحدة"، أدلى رئيس مجلس الأمن بالبيان التالي باسم المجلس:	4
إذ يعيد تأكيد قراريه 1265 (1999) و 1296 (2000) بشأن حماية المدنيين في الصراعات المسلحة، ومختلف قراراته بشأن الأطفال والنزاع المسلح وبشأن المرأة والسلام والأمن، وكذلك قراره 1631 (2005) بشأن التعاون بين الأمم المتحدة والمنظمات الإقليمية في صون السلام والأمن الدوليين، وإذ يعيد كذلك تأكيد تصميمه على كفالة احترام هذين القرارين ومتابعتهما،	2
2 - بناء الثقة وتعزيز الاستقرار داخل الدولة المضيفة عن طريق تعزيز الحقيقة والمصالحة من خلال ما يلي:	2
وفي 45 بلدا في أفريقيا جنوب الصحراء الكبرى، وضعت اليونسكو خريطة شاملة للسياسات والموارد الحالية لتقديم صورة عن كيفية تعزيز ثقافة السلام.	2
10 - يقرر ألا ينطبق حظر السفر المفروض بموجب الفقرة 1 (ب) على الأفراد المحددين عملا بالفقرة 9 أعلاه، حيث تقرر اللجنة، على أساس كل حالة على حدة فقط، أن هذا الدخول أو المرور العابر له ما يبرره، ويقرر كذلك ألا يمنح أي إعفاء من هذا القبيل توافق عليه اللجنة إلا للفترة المطلوبة لأي سفر إلى الموقع المحدد أو المواقع المحددة، ويوعز إلى اللجنة بأن تبت في جميع طلبات الاستثناء هذه، وكذلك في طلبات تعديل أو تجديد الإعفاءات الممنوحة سابقا، أو بناء على طلب من أي دولة عضو لإلغاء الإعفاءات الممنوحة سابقا، في غضون عشرة أيام من استلامها؛ ويؤكد أن الأفراد المدرجين في القائمة يظلون، على الرغم من أي استثناء من حظر السفر، خاضعين للتدابير الأخرى المبينة في الفقرة 1 من هذا القرار؛	2
دراسة حالة إفرادية: الهجوم على مدرسة في الطويلة، شمال دارفور	1
(د) مواصلة الحوار وتبادل المعلومات مع جهات الاتصال أو المنسقين المعينين بشأن المسائل المتصلة بإسهاماتهم في تنفيذ القرار 1540 (2004)؛	4
وتشمل الاتجاهات الأخرى تزايد استخدام الهوية المزورة للحصول على وثائق سفر مشروعة وآمنة، وزيادة استخدام الإنترنت وغيرها من تكنولوجيات الاتصالات (سواء للتحريض على الأعمال الإرهابية أو لاجتذاب مجندين جدد)، والظاهرة الناشئة المتمثلة في عمل الإرهابيين بمفردهم أو في زنزانات صغيرة.	1
دخلت شاحنة ميتسوبيشي ستر (Mitsubhishi Cantter) التي كانت تستخدم كحاملة قنابل لبنان من الجمهورية العربية السورية عبر حدود البقاع و"ممر حار" عسكري في الساعة 20/13 من يوم 21 كانون الثاني/يناير 2005 بقيادة عقيد سوري من الفرقة العسكرية العاشرة.	1
ويحدث مزيد من العنف في سوق كومورو، حيث قتل مدني واحد، وأصيب ثمانية أشخاص بإصابات بالأسلحة النارية، وأصيب أربعة أشخاص بإصابات خطيرة أخرى.	1
43 - ولا تزال مصادر التمويل الأخرى هامة، بما في ذلك عائدات الأنشطة الإجرامية المنظمة عبر الوطنية مثل التهريب والاتجار بالبشر.	1
وفي الختام، حددت المفوضة السامية ثلاث خطوات بوصفها "الطريق إلى الأمام" لتعزيز علاقة العمل بين مجلس الأمن وهيئات حقوق الإنسان التابعة للأمم المتحدة.	4
ولم تشر دول المنطقة دون الإقليمية إلى الإجراءات أو الآليات المستخدمة لمنع وقمع حركة الإرهابيين عبر الحدود.	1
وما زال يتعين معرفة ما إذا كانت تستطيع أن ترتبط بالمتطرفين في نيجيريا في تحالف فعال.	1
وبينما كانت السيارات تغادر مكان الحادث، سقط اثنان من ضباط وحدة الاستجابة السريعة الذين تم نزع سلاحهم أو سحبا من إحدى المركبات، وطعنهما أفراد من الحشد.	1
185- وثمة استنتاج مشترك هو أن الحكومة، في ردها على التمرد، قد ارتكبت أعمالاً ضد السكان المدنيين، مباشرة أو عن طريق جماعات مسلحة بديلة، تشكل انتهاكات جسيمة لحقوق الإنسان والقانون الإنساني.	1
وتسعى اللجنة إلى كفالة أن تكون القائمة الموحدة دينامية ومتجاوبة مع التهديد المتطور الذي يشكله تنظيم القاعدة وحركة الطالبان.	4
”ويشير مجلس الأمن إلى التزام حكومة تشاد، الوارد في الرسالة الموجهة إلى رئيس مجلس الأمن المؤرخة 7 أيلول/سبتمبر 2010 (S/2010/470)، بتولي المسؤولية الكاملة عن أمن وحماية السكان المدنيين في شرق تشاد، بمن فيهم اللاجئون والمشردون داخليا والعائدون والمجتمعات المضيفة، مع التركيز بوجه خاص على النساء والأطفال وموظفي الأمم المتحدة وموظفي المساعدة الإنسانية وأصولها، وفقا لالتزاماتها بموجب القانون الإنساني الدولي وقانون حقوق الإنسان وقانون اللاجئين.	2
(ب) معالجة أوجه القصور في تجريم تمويل الإرهاب وتجميد أصول الإرهابيين، وتعزيز رصد القطاع غير الربحي والنظم البديلة لتحويل الأموال؛	2
يشدد على أهمية وصول موظفي المساعدة الإنسانية بأمان ودون عوائق إلى المدنيين في الصراعات المسلحة، ويهيب بالأطراف المعنية، بما في ذلك الدول المجاورة، أن تتعاون تعاونا كاملا مع منسق الأمم المتحدة للشؤون الإنسانية ووكالات الأمم المتحدة في توفير هذا الوصول، ويدعو الدول والأمين العام إلى أن يقدما إليه معلومات عن منعهم المتعمد من الوصول في انتهاك للقانون الدولي، حيث يمكن أن يشكل هذا الحرمان تهديدا للسلام والأمن الدوليين، ويعرب في هذا الصدد عن استعداده للنظر في هذه المعلومات، وأن يتخذ الخطوات المناسبة عند الضرورة.	4
ومنذ كانون الثاني/يناير، وثقت البعثة أكثر من 100 حادثة أبلغ عنها استهدفت أعضاء المعارضة السياسية ومؤيديها والصحفيين والمدافعين عن حقوق الإنسان.	1
520- وينبغي ألا يستبعد المرء إمكانية أن يقوم أفراد بمفردهم، بمن فيهم مسؤولون حكوميون، في بعض الحالات، بنية إبادة جماعية أو، بعبارة أخرى، مهاجمة الضحايا بنية محددة تتمثل في القضاء جزئياً على جماعة يُنظر إليها على أنها جماعة إثنية معادية.	1
ونتيجة لذلك، ستخضع المعاملات المشبوهة بتمويل الأعمال الإرهابية لنفس نظام الإبلاغ والإيقاف الذي تخضع له المعاملات المشبوهة المتعلقة بغسل الأموال.	2
231 - وبالإضافة إلى ذلك، أفادت مفوضية الأمم المتحدة لشؤون اللاجئين، حتى 15 تشرين الثاني/نوفمبر 2004، أن 051 203 شخصا من منطقة دارفور يعيشون في 11 مخيما ومواقع أخرى كلاجئين في شرق تشاد، على طول الحدود مع السودان.	1
36 - يشجع جميع الدول الأعضاء، ولا سيما الدول التي تقترح الإدراج في القائمة ودول الإقامة أو الجنسية، على أن تقدم إلى اللجنة معلومات إضافية عن هوية الأفراد والجماعات والمؤسسات والكيانات المدرجة أسماؤهم في القائمة ومعلومات أخرى مشفوعة بالوثائق الداعمة لها، بما في ذلك آخر المستجدات المتعلقة بالمركز التشغيلي للكيانات والجماعات والمؤسسات المدرجة أسماؤها في القائمة، وحركة الأفراد المدرجة أسماؤهم في القائمة أو سجنهم أو وفاتهم، وغير ذلك من الأحداث الهامة، متى توافرت تلك المعلومات؛	4
وتحذر دول المنطقة دون الإقليمية من أوجه ضعفها إزاء الاتجار بالأسلحة، وقد وضعت أطرا تشريعية لتجريم الاتجار غير المشروع بالأسلحة والمتفجرات ولمراقبة إنتاجها وبيعها ونقلها.	2
ومما يشجعنا أن حكومة جمهورية الكونغو الديمقراطية قد اتخذت خطوات للعمل ضد إرهابيي جيش الرب للمقاومة الذين دخلوا بلدهم من السودان.	2
319 - ومن الواضح أن التدمير الشامل الذي قامت به القوات الحكومية والجنجويد للقرى لم يكن مبررا بالضرورة العسكرية.	1
وأمر الرئيس غوسماو مقدمي الالتماس بالعودة إلى مركز التدريب التابع للقوات المسلحة التيمورية في ميتينارو والمشاركة في لجنة تحقيق تنظر في الادعاءات المثارة في الالتماس.	3
وفي 11 تشرين الثاني/نوفمبر 2014، نصبت قوات النظام كميناً لقرية لحونة، فقتلت 13 شخصاً.	1
بيد أنه يرى - ووافق متكلم آخر على ذلك - أن مبادرات المجلس ينبغي أن تتجاوز اتساق هيئاته الفرعية وأن تهدف إلى تحقيق الاتساق على نطاق المنظومة داخل الأمم المتحدة عندما تكون مسائل هامة، مثل مكافحة الإرهاب، على المحك.	4
وإذ يؤكد من جديد أن الإرهاب بجميع أشكاله ومظاهره يشكل واحدا من أخطر الأخطار التي تهدد السلام والأمن، وأن أي أعمال إرهابية هي أعمال إجرامية لا يمكن تبريرها بصرف النظر عن دوافعها ووقت ارتكابها ومرتكبيها، وإذ يكرر إدانته القاطعة لتنظيم القاعدة وغيره من الأفراد والجماعات والمؤسسات والكيانات المرتبطة به على الأعمال الإرهابية الإجرامية الجارية والمتعددة الرامية إلى التسبب في وفاة المدنيين الأبرياء وغيرهم من الضحايا وتدمير الممتلكات وتقويض الاستقرار إلى حد كبير،	3
وحدثت أيضاً 3 إصابات لنشطاء وسائط الإعلام في تشرين الثاني/نوفمبر، وجميعها من جانب قوات النظام.	1
106 - وفي 21 شباط/فبراير 2005، وافقت عملية الأمم المتحدة في كوت ديفوار على السماح للقوات المسلحة لكوت ديفوار بإجراء اختبارين أرضيين للمحركات والنظم لمدة ساعة واحدة في آخر يوم أربعاء من كل شهر لطائرتها من طراز Mi-24P (TU-VHO)، شريطة أن تكون غير مسلحة، خارج حظيرتها في قاعدة أبيدجان الجوية وتحت مراقبة عملية الأمم المتحدة في كوت ديفوار.	4
ونتيجة للغاز المسيل للدموع والصراخ وإطلاق النار من جانب قوات الأمن، أصبح الحشد مذعورا وغير منظم.	1
21 - وكانت هناك أيضا تقارير مستمرة تفيد بأن طائرات الهليكوبتر الإيفوارية متمركزة في غينيا وأن غينيا قد أعارت إحدى الطائرات العمودية التي دمرتها القوات الفرنسية في تشرين الثاني/نوفمبر 2004.	2
وينص القانون الموحد للاتحاد الاقتصادي والنقدي لغرب أفريقيا/مكافحة تمويل الإرهاب على التجميد الإداري لأصول الإرهابيين.	2
وبالمثل، حددت ضحية هجوم هوية الرجل بأنه قائد الجنجويد الذي شن هجمات قتل فيها مدنيون.	1
وفي بعض الحالات، انطوت الاستجابة الوطنية لاحتواء الفيروس على الاستخدام المفرط للقوة أو الحجر الصحي للمجتمعات المحلية التي هي دون المعايير المعترف بها لكرامة الإنسان.	1
وقد وضع برنامج الأمم المتحدة الإنمائي وشركاؤه المنفذون ترتيبات لتوفير خدمات إعادة الإدماج لعدد إضافي من المقاتلين السابقين يبلغ 219 7 مقاتلا، بمجرد تسريحهم.	2
17 - وفي 7 كانون الثاني/يناير 2003، أصدرت محكمة الأمر العسكري أحكاما بالإعدام على 30 شخصا من أصل 150 شخصا اتهموا في البداية بالتواطؤ و/أو المشاركة في اغتيال الرئيس الراحل لوران ديزيريه كابيلا.	1
وقد بدأ ذلك بإنشاء المجلس للمحاكم المخصصة ليوغوسلافيا السابقة في عام 1993 ثم بعد ذلك بسنة لرواندا.	2
وقد أرسى الزعيمان الأسس لحوار مستمر بين لبنان والفلسطينيين، وهو ما يُظهر في رأيي خطوة هامة نحو التغلب نهائيا على ماض صعب وصوب إعادة تأكيد سيادة لبنان واستقلاله السياسي.	4
”ويلاحظ مجلس الأمن مع القلق أن الإرهاب لا يزال يشكل تهديدا خطيرا للسلام والأمن الدوليين، وللتمتع بحقوق الإنسان، وللتنمية الاجتماعية والاقتصادية للدول، ويقوض الاستقرار والرخاء العالميين، وأن هذا الخطر قد أصبح أكثر انتشارا، مع تزايد الأعمال الإرهابية في مختلف مناطق العالم، بما فيها الأعمال الإرهابية التي ترتكب بدافع من التعصب والتطرف، ويؤكد من جديد تصميمه على أن يكافح بجميع الوسائل، وفقا لميثاق الأمم المتحدة والقانون الدولي، بما في ذلك القانون الدولي المنطبق لحقوق الإنسان واللاجئين والقانون الإنساني الدولي، الأخطار التي تهدد السلام والأمن الدوليين من جراء الأعمال الإرهابية.	3
13 - ولئن كان من المعروف أن معظم دول المنطقة دون الإقليمية قد أنشأت وحدات لإنفاذ قوانين مكافحة الإرهاب، فإن ثلاث دول فقط هي التي أنشأت هياكل مؤسسية كافية والتنسيق بين الوكالات اللازم لمعالجة مسائل مكافحة الإرهاب.	2
وبالإضافة إلى ذلك، تناولوا احتجاز الشرطة الجورجية في 12 و 31 آب/أغسطس لشاحنات من قوة حفظ السلام التابعة لرابطة الدول المستقلة تنقل بضائع من الجانب الأبخازي لخط وقف إطلاق النار.	1
وكثيراً ما شُرِّد المدنيون قسراً نتيجة للهجوم.	1
ويوفر قرب الحدود الباكستانية هذه القوات من القوى العاملة والمواد والملاذ.	1
وتفيد التقارير بأن الجماعة تربطها صلات قوية بتنظيم القاعدة في شبه الجزيرة العربية، وقد وفرت التدريب في الصومال لفرادى الإرهابيين من نيجيريا وبلدان أقرب إلى حدودها.	1
تزويد الموظفين بأدوات عملية تنفيذية لإدماج الشواغل الجنسانية بشكل منهجي في أعمال إصلاح قطاع الأمن؛ وتنفيذ التوصيات المنبثقة عن المنتدى الأفريقي للشؤون الجنسانية والحوكمة لعام 2005 من أجل تحقيق هدف الاتحاد الأفريقي المتمثل في مشاركة 30 في المائة من النساء في الجمعيات الوطنية.	2
(أ) التماس سبل تكثيف وتعجيل تبادل المعلومات العملية، ولا سيما فيما يتعلق بأعمال أو تحركات الإرهابيين أو الشبكات الإرهابية؛ ووثائق السفر المزورة أو المزيفة؛ والاتجار بالأسلحة أو المتفجرات أو المواد الحساسة؛ واستخدام الجماعات الإرهابية لتكنولوجيات الاتصالات؛ والخطر الذي تشكله حيازة الجماعات الإرهابية لأسلحة الدمار الشامل؛	2
وقد وصف العديد من ضحايا الهجمات في نفس المنطقة، الذين حددوا مهاجميهم على أنهم الجنجويد، لمهاجمي اللجنة الذين يرتدون نفس الزي الرسمي، ويستخدمون نفس النشر أثناء الهجوم ويستخدمون نفس الأسلحة التي تستخدمها قوات الدفاع الشعبي المحلية.	1
(ز) لا يمكن اعتبار رئيس قوات الدفاع مسؤولا جنائيا عن إطلاق جنود القوات المسلحة التيمورية النار على ضباط من الشرطة الوطنية بعد وقف إطلاق النار في 25 أيار/مايو؛	1
ويكرر مجلس الأمن مطالبته القوات المسلحة بأن تخضع نفسها بالكامل للسيطرة المدنية.	3
21 - قدم الرئيس، إلى جانب رئيسي لجنة مجلس الأمن المنشأة عملا بالقرار 1373 (2001) بشأن مكافحة الإرهاب ولجنة مجلس الأمن المنشأة عملا بالقرار 1540 (2004)، إحاطتين مشتركتين إلى المجلس في عام 2013.	4
وأعرب عن أمله في أن تؤدي مناقشة المجلس إلى زيادة الوعي بالاحتياجات المقبلة، والمساعدة على توليد مستويات كافية من الدعم السياسي والمالي والبشري واللوجستي، ومن ثم تعزيز الهدف المشترك المتمثل في استخدام أداة حفظ السلام في تعزيز السلم والأمن الدوليين.	4
ويجمع البرنامج معلومات على الصعيد الوطني عن جميع الأشخاص الذين تم اعتقالهم أو الاشتباه في تورطهم في عمليات احتيال في المصارف أو بطاقات الائتمان المنخفضة المستوى، أو في جرائم وثائق السفر.	2
