en_es_GOOGLE	QuadClass
42. El Presidente del Comité del Consejo de Seguridad establecido en virtud de la resolución 1540 (2004), junto con el Presidente del Comité del Consejo de Seguridad establecido en virtud de la resolución 1373 (2001), participaron en la 12ª Reunión de Jefes de Servicios Especiales. Organismos de seguridad y organismos encargados de hacer cumplir la ley sobre lucha contra el terrorismo, organizado por el Servicio Federal de Seguridad de la Federación de Rusia.	4
Pero las actividades provocadoras de Eritrea no se han limitado a emitir declaraciones de guerra.	1
Hasta la fecha, la información recibida tiende a confirmar su opinión de que proporcionar ejemplos de financiación del terrorismo puede tener más desventajas que permitir que banqueros experimentados confíen en sus conocimientos y su instinto para detectar lo que parece extraño.	2
Los miembros de la comisión llegaron a la conclusión de que había motivos razonables para establecer que se habían cometido y se estaban cometiendo crímenes de lesa humanidad en la República Popular Democrática de Corea como cuestión de política de Estado.	1
:: Mejorar la cooperación para llevar a los terroristas ante la justicia, incluida la cooperación en la prevención, investigación y enjuiciamiento de terroristas y delitos	2
Las violaciones incluyen actividades como la mejora de estructuras físicas en las áreas restringidas definidas por el acuerdo y la imposición de restricciones a los movimientos de los observadores militares de las Naciones Unidas.	1
El alcance de la contaminación por municiones en racimo es cada vez más evidente a medida que avanza el trabajo de Landmine Action.	2
El Gobierno del Líbano también me ha informado de que las Fuerzas Armadas Libanesas habían aumentado aún más su presencia, levantado nuevos puestos de control y reforzado los controles alrededor de las posiciones de los grupos armados palestinos con sede en la República Árabe Siria, al sur de Beirut y en el valle de Beqaa. El 7 de octubre, el ejército libanés llevó a cabo redadas contra puestos ocupados por grupos armados palestinos con sede en Siria en el valle de Beqaa, durante las cuales se incautaron armas.	4
Observando con preocupación la continua amenaza que plantean a la paz y la seguridad internacionales Al-Qaida, Usama bin Laden y los talibanes, y otras personas, grupos, empresas y entidades asociados con ellos, y reafirmando su determinación de abordar todos los aspectos de esa amenaza,	3
Mejorar la protección de los civiles en los conflictos armados es el núcleo de la labor del Consejo de Seguridad de las Naciones Unidas para el mantenimiento de la paz y la seguridad.	4
Los intentos de desestabilizar la situación interna en el Líbano mediante asesinatos políticos son inaceptables.	3
b) La Asamblea General y el Consejo de Derechos Humanos deberían ampliar los mecanismos de vigilancia y presentación de informes sobre derechos humanos específicos de cada país en la República Popular Democrática de Corea que son anteriores al establecimiento de la comisión; entre ellos se incluyen los informes periódicos del Secretario General y del Alto Comisionado de las Naciones Unidas para los Derechos Humanos, así como el mandato del Relator Especial sobre la situación de los derechos humanos en la República Popular Democrática de Corea.	2
Muchos líderes internacionales, incluidos jefes de Estado, representantes de las Naciones Unidas y la mayoría de los miembros del Consejo de Seguridad, se han pronunciado claramente en contra de este tipo de flotillas a Gaza durante el año pasado, enfatizando la necesidad de que los suministros humanitarios se transfieran a la zona únicamente. a través de canales establecidos.	4
Este enfoque sigue el compromiso asumido por los Ministros de Cooperación Económica Asia-Pacífico (APEC) en noviembre de 2005 de realizar, antes de finales de 2006, una evaluación de la vulnerabilidad de los aeropuertos a los ataques de sistemas portátiles de defensa aérea.	2
Las fuerzas del régimen mataron a 231 personas, los extremistas mataron a 3 y los grupos armados mataron a 2.	1
Es crucial recalcar nuevamente en este punto que, al considerar si el asesinato de civiles constituye un crimen de guerra o un crimen contra la humanidad, la presencia de personas no civiles no priva a una población de su carácter civil.	4
Aunque en la mayoría de los incidentes las fuerzas gubernamentales pueden no haber participado en la destrucción, su complicidad en los ataques durante los cuales se llevó a cabo la destrucción y su presencia en el lugar de la destrucción son suficientes para hacerlas corresponsables de la destrucción.	1
64. Es necesario revisar las condiciones y modalidades para el regreso ordenado de los numerosos refugiados burundeses y congoleños que se encuentran en la República Unida de Tanzanía a sus países de origen a fin de poder acelerar las corrientes de retorno observadas en los últimos meses.	2
65. El enjuiciamiento de personas sospechosas de piratería y el castigo de los piratas condenados de conformidad con las resoluciones pertinentes del Consejo de Seguridad es un elemento disuasorio esencial para los posibles piratas, lo que demuestra que no pueden actuar con impunidad.	3
Exhorto a las autoridades libanesas a que hagan todo lo posible para arrestar a los responsables de este intento de asesinato y llevarlos ante la justicia.	4
&quot;El Consejo de Seguridad expresa su profunda preocupación por las consecuencias de la crisis de refugiados provocada por el conflicto en Siria, que tiene un impacto desestabilizador en toda la región.	3
Desarrollar un conjunto de políticas, directrices y procedimientos para la planificación, implementación y seguimiento de programas de DDR, conocidos como Estándares Integrados de DDR, e integrar perspectivas de género.	2
El Ministro del Interior ordenó al comandante da Cruz que entregara 10 fusiles, 6.000 cartuchos y 10 cargadores a Rai Los en Liquiça.	2
Exhortar a las partes pertinentes a desarrollar e implementar planes de acción concretos con plazos determinados para detener el reclutamiento y la utilización de niños, en estrecha colaboración con las misiones de mantenimiento de la paz de las Naciones Unidas, los equipos de las Naciones Unidas en los países y el Representante Especial del Secretario General sobre los niños y los conflictos armados.	2
Reafirma que todas las partes en el conflicto están obligadas a cumplir las obligaciones que les impone el derecho internacional humanitario y, en particular, los Convenios de Ginebra del 12 de agosto de 1949, y que las personas que cometan u ordenen la comisión de violaciones graves de los Convenios son individualmente responsables respecto de tales incumplimientos.	4
Generar confianza y mejorar la estabilidad mediante la promoción de mecanismos de verdad y reconciliación.	2
544. La Comisión ha identificado a 14 Janjaweed sospechosos de haber cometido un crimen internacional bajo el concepto de empresa criminal conjunta.	1
59. En un esfuerzo por ayudar a las instituciones financieras y otros a comprender la variedad de métodos utilizados por las personas y entidades incluidas en la lista para recaudar y mover dinero, el Equipo, como parte del Equipo de Tareas sobre la Ejecución de la Lucha contra el Terrorismo, ha encargado un estudio sobre las actividades terroristas Indicadores de financiación basados en las actividades de personas acusadas y condenadas por actos terroristas.	2
El Consejo emitió un comunicado de prensa el 26 de julio condenando el ataque terrorista contra la Fuerza Provisional de las Naciones Unidas en el Líbano (FPNUL), en el que resultaron heridos seis cascos azules de las Naciones Unidas procedentes de Francia. Cuestiones temáticas y de otro tipo	3
Los ancianos del clan y las autoridades de Kenia intervinieron a mediados de agosto para ayudar a resolver la disputa.	2
Said Arif está asociado con Al-Qaida o cualquier célula, afiliado, grupo escindido o derivado del mismo por &quot;participar en la financiación, planificación, facilitación, preparación o perpetración de actos o actividades por, junto con, en nombre de, en en nombre o en apoyo de&quot; y &quot;reclutar para&quot; Jabhet al-Nusra, también conocido como el Frente Al-Nusrah para el Pueblo del Levante (QE.A.137.14).	1
El Consejo de Seguridad, en su resolución 1977 (2011), alienta explícitamente al Comité establecido en virtud de la resolución 1540 (2004) a aprovechar, entre otras fuentes, los conocimientos especializados pertinentes del sector privado.	4
Sin embargo, estos problemas generalmente se rectificaron tras la intervención de equipos de seguimiento de los medios.	2
- El 12 de diciembre de 2014, 200 fuerzas del régimen rodearon el barrio de Fayd en la ciudad de Jabla. A nadie se le permitió entrar ni salir del vecindario.	1
El Equipo observa que el Consejo de Seguridad, en el párrafo 5 de la resolución 1526 (2004), instó a todos los Estados a establecer requisitos y procedimientos internos de presentación de informes sobre el movimiento transfronterizo de divisas sobre la base de umbrales aplicables.	2
o El 5 de noviembre de 2014, aviones de combate del régimen llevaron a cabo cinco ataques aéreos contra Kansfra, en Idlib.	1
5. Reafirma también su condena en los términos más enérgicos de todos los actos de violencia o abusos cometidos contra civiles en situaciones de conflicto armado en violación de las obligaciones internacionales aplicables con respecto, en particular, a (i) la tortura y otros tratos prohibidos, (ii) las violaciones de género. violencia basada en la violencia sexual, (iii) violencia contra los niños, (iv) el reclutamiento y uso de niños soldados, (v) la trata de personas, (vi) el desplazamiento forzado y (vii) la denegación intencional de asistencia humanitaria, y exige que todas las partes pongan fin a tales prácticas;	3
Con excepción de un Estado, que ha proporcionado muy poca información pertinente, todos los Estados del Asia oriental son miembros de varias organizaciones o mecanismos regionales de cooperación internacional en la lucha contra el terrorismo y han tratado de fortalecer esas relaciones.	2
100. Se creó un programa de votantes con necesidades especiales para que categorías especiales de votantes, incluidos los confinados en sus hogares por miedo, los hospitalizados, los discapacitados mentales, los ancianos y los reclusos, se inscribieran y votaran simultáneamente.	2
5. Así como Al-Qaida seguirá siendo una amenaza residual durante algún tiempo en el Afganistán, también seguirá teniendo algún impacto en el resto del mundo.	1
La Comisión recibió pruebas creíbles del uso de helicópteros Mi-8, helicópteros Mi-24 y aviones Antonov durante ataques aéreos contra aldeas.	1
&quot;El Consejo de Seguridad destaca la importancia del compromiso de Etiopía y Eritrea de sentar las bases de una paz sostenible en la región y, consciente de las responsabilidades de las Naciones Unidas en virtud de los Acuerdos de Argel, sigue decidido a alentar y ayudar a ambos países a lograr este objetivo.	2
Creación urgente de una estación de radio de las Naciones Unidas y mejora de las actividades de información, medios de comunicación, educación y capacitación de las Naciones Unidas en Côte d&#39;Ivoire, especialmente sobre cuestiones relacionadas con los derechos humanos, a fin de fomentar un clima de respeto mutuo y tolerancia entre todas las comunidades grupos en el país;	2
154. Aunque la Comisión recibió información de una fuente de que un socio de confianza del Sr. Hariri había manipulado los dispositivos de interferencia antes de la explosión, la Comisión no ha podido corroborar esta información.	2
o El 16 de noviembre de 2014, aviones de combate del régimen atacaron la ciudad de Maarat Misreen con un misil, matando a cinco personas, entre ellas un niño y una mujer, además de destruir edificios residenciales.	1
El 3 de mayo, por invitación del Presidente del Consejo Económico y Social, el Presidente del Consejo asistió a la reunión de alto nivel del Consejo Económico y Social para evaluar la labor de sus grupos asesores especiales sobre países que salen de un conflicto ( Burundi y Guinea-Bissau).	4
Durante el ataque de los Janjaweed a la aldea de Mengarassa, en Darfur occidental, en noviembre de 2003, 20 niñas fueron secuestradas y llevadas al campamento de Ammar.	1
Los miembros del Consejo también afirmaron la importancia de un compromiso significativo de las partes con la IGAD en sus esfuerzos de mediación y el respeto del acuerdo de cese de hostilidades en aras de un pronto retorno de la paz y la estabilidad a Sudán del Sur.	2
La destrucción tuvo como objetivo las zonas habitadas por las tribus africanas, en particular los fur, los zaghawa y los masalit.	1
El Tribunal Especial de Sierra Leona, el primer tribunal de crímenes de guerra desde Nuremberg con sede en el país donde ocurrieron las atrocidades, estaba decidido a hacer de la divulgación pública y la publicidad de la justicia una prioridad.	2
Algunos miembros pidieron que el Consejo hiciera una mayor contribución a los esfuerzos para que las partes volvieran a negociar una solución biestatal y dijeron que los asentamientos israelíes socavaban las perspectivas de paz.	4
Por lo tanto, instó al Consejo a pasar de un enfoque &quot;impulsado por la demanda&quot; a un esfuerzo &quot;más activo&quot; para despertar el interés de los no miembros con respecto a su trabajo.	4
El informe aprobado por el Comité Especial el 10 de marzo de 2000 (A/54/839) contiene una serie de recomendaciones relacionadas con aspectos del informe del Secretario General sobre la protección de los civiles en los conflictos armados (S/1999/957). y puede proporcionar la siguiente orientación.	4
Así, la mayoría de las violaciones de derechos humanos ocurridas en estos dos días pueden caracterizarse como una masacre en la que unidades de las fuerzas de seguridad y las fuerzas paralelas actuando en coordinación o connivencia cometieron repetidamente ejecuciones sumarias, torturas, desapariciones y detenciones arbitrarias. con ellos.	1
Además, muchas víctimas informaron a la Comisión de que tenían poca confianza en la imparcialidad del sistema de justicia sudanés y en su capacidad para llevar ante la justicia a los autores de los graves crímenes cometidos en Darfur.	3
29. Como parte de los esfuerzos de la División por contratar expertos bien calificados para formar parte de los grupos, equipos y paneles de vigilancia de las sanciones, y como se hace anualmente, en diciembre se envió una nota verbal a todos los Estados Miembros para solicitar la designación de candidatos calificados para pertenencia a la lista de expertos de la División.	2
En algunos casos en los que el Comité encontró que la información disponible no era suficiente para tomar una decisión sobre si una inclusión en la lista seguía siendo apropiada, pidió al Equipo que buscara más información. Esto era especialmente cierto en los casos en los que se creía que una persona estaba muerta pero para la cual no existía un certificado de defunción o documentación oficial equivalente.	4
En las consultas privadas que siguieron, los miembros del Consejo destacaron la importancia de reanudar las negociaciones entre israelíes y palestinos y condenaron las acciones unilaterales, en particular la construcción de asentamientos en territorios ocupados, que socavaron los esfuerzos del Cuarteto por lograr una solución negociable del conflicto.	4
Durante años han proseguido en Burundi, incluso con las Naciones Unidas, debates y negociaciones para garantizar la rendición de cuentas por crímenes tipificados en el derecho internacional.	4
a) Alentar a los Estados a fortalecer las capacidades de sus regímenes de lucha contra el blanqueo de dinero y la financiación del terrorismo, con especial atención a la regulación de sistemas alternativos de remesas y organizaciones benéficas;	4
&quot;El Consejo de Seguridad reconoce la importancia de ayudar a prevenir conflictos futuros abordando sus causas profundas de manera legítima y justa.	4
f) Disuadir cualquier intento de uso de la fuerza para amenazar los procesos de Goma y Nairobi por parte de cualquier grupo armado, extranjero o congoleño, en particular en la parte oriental de la República Democrática del Congo, incluso utilizando tácticas de acordonamiento y búsqueda y adoptando todas las medidas necesarias las operaciones necesarias para prevenir ataques contra civiles y perturbar la capacidad militar de los grupos armados ilegales que continúan utilizando la violencia en esa zona;	1
El infractor será castigado con pena privativa de libertad de ocho a quince años acompañada de la confiscación de bienes que el tribunal estime conveniente, o con una pena excepcional, si con el acto descrito en el apartado 1 causa lesiones corporales graves.	1
Las dos partes acordaron continuar su diálogo con miras a fortalecer sus relaciones bilaterales de tal manera que lleguen a establecer representaciones diplomáticas mutuas.	4
Otra área en la que la Dirección Ejecutiva ve margen para seguir trabajando es una mayor integración de los enfoques de derechos humanos en los programas de lucha contra el terrorismo.	2
Exhortar a las partes en un conflicto armado a que cumplan estrictamente el derecho internacional humanitario, el derecho de los derechos humanos y el derecho de los refugiados aplicables, incluso en lo que respecta a:	4
Le agradece haber dado cobijo a varios centenares de miles de refugiados en los últimos años.	2
El Comité del Consejo de Seguridad establecido en virtud de la resolución 1267 (1999) relativa a Al-Qaida y los talibanes (en adelante &quot;el Comité&quot;) ha hecho mucho para brindar a los Estados Miembros oportunidades de expresar sus opiniones, ya sea directamente o a través del Equipo.	4
2. Reafirma la necesidad de que se respeten plenamente los acuerdos militares alcanzados con la Misión de las Naciones Unidas para el Referéndum del Sáhara Occidental (MINURSO) en relación con el alto el fuego y pide a las partes que respeten plenamente esos acuerdos;	2
La República Popular Democrática de Corea rechaza categóricamente la resolución de derechos humanos contra la RPDC, fabricada sobre la base de complots, mentiras y desinformación y forzada por los Estados Unidos y otros países hostiles de manera prepotente y arbitraria.	3
347. Las conclusiones de la Comisión confirmaron que se siguen perpetrando violaciones y violencia sexual contra mujeres y niñas durante la huida y en las zonas de desplazamiento.	1
10. En estrecha cooperación con los Comités del Consejo de Seguridad establecidos en virtud de las resoluciones 1267 (1999) y 1540 (2004) y de conformidad con su mandato, el Comité prestará especial atención a los Estados respecto de los cuales se dispone de información sobre la aplicación de la resolución 1373 (2001). faltan y discutir la mejor manera de abordar el problema.	2
El régimen abjasio no ha escatimado esfuerzos destinados a legalizar la situación demográfica modificada por la fuerza como consecuencia de la limpieza étnica y a crear condiciones de vida insoportables para los georgianos que regresan al distrito de Gali.	1
107. Una segunda categoría incluye las milicias organizadas en estructuras paramilitares y en paralelo a las fuerzas regulares, incluidos los grupos conocidos como &quot;la fuerza de ataque&quot;, los muyahidines o los fursan (los jinetes).	1
29. El Comité alienta a la Dirección Ejecutiva a continuar su análisis de cuestiones regionales y temáticas, incluso con el fin de informar al Comité y a los miembros en general, teniendo en cuenta la evolución de la situación mundial y centrándose en temas clave como el uso y abuso de nuevas tecnologías de la información y las comunicaciones, la protección de los derechos de las víctimas del terrorismo, los desafíos emergentes en el procesamiento del terrorismo, el desarrollo de alianzas estratégicas con actores no gubernamentales relevantes (incluidos grupos de mujeres y jóvenes, líderes religiosos, los medios de comunicación y el sector privado) , protección de la infraestructura turística, secuestros para pedir rescate, lucha contra el extremismo violento y los delitos que financian el terrorismo.	4
[R]eitera su llamamiento a las partes en el conflicto armado [enumeradas en el informe correspondiente del Secretario General] que aún no lo hayan hecho a que preparen y apliquen, sin más demora, planes de acción concretos con plazos determinados para detener el reclutamiento y la utilización de niños en violación del derecho internacional aplicable, y abordar todas las violaciones y abusos contra los niños en estrecha cooperación con el [Representante Especial del Secretario General sobre los niños y los conflictos armados], así como con UNICEF y los equipos de trabajo nacionales de las Naciones Unidas sobre seguimiento y presentación de informes. .	2
36. El Consejo alienta a las autoridades de Burundi a trabajar con el Representante Especial del Secretario General para establecer un mecanismo que ponga fin a la impunidad y promueva la reconciliación.	2
13. El último grupo está formado por nuevos reclutas que se han radicalizado o se están radicalizando por los acontecimientos mundiales o por extremistas de sus comunidades que ya han sido seducidos por el mensaje de Al-Qaida, o incluso por sitios web terroristas y en salas de chat en la red. Internet.	1
84. Cuatro Estados han firmado la Carta de Intención para aplicar el Marco de Normas SAFE para garantizar la seguridad de la carga contra la explotación con fines terroristas, y tres han alcanzado una etapa avanzada de aplicación.	2
Tomando nota de la liberación por el Frente POLISARIO el 18 de agosto de 2005 de los 404 prisioneros de guerra marroquíes restantes, de conformidad con el derecho internacional humanitario, y pidiendo a las partes que sigan cooperando con el Comité Internacional de la Cruz Roja para resolver la suerte de las personas que están desaparecido desde el comienzo del conflicto,	2
11. Alienta los esfuerzos para garantizar el desarrollo de usos pacíficos de la energía nuclear por parte de los países que buscan mantener o desarrollar sus capacidades en este campo en un marco que reduzca el riesgo de proliferación y se adhiera a los más altos estándares internacionales de salvaguardias y seguridad;	4
Si bien la presión sobre los dirigentes de ambos grupos ha continuado, la situación en Irak y otras zonas de conflicto ha mantenido al terrorismo en el primer plano de la atención mundial y no ha habido escasez de nuevos reclutas.	1
f) En el cumplimiento de su mandato, el Comité estará asistido por la Dirección Ejecutiva del Comité contra el Terrorismo, bajo la orientación política del pleno.	2
139. Uno de esos grupos es el Movimiento Nacional para la Reforma y el Desarrollo (NMRD). El 6 de junio, el NMRD publicó un manifiesto en el que afirmaba que no era parte en el acuerdo de alto el fuego concertado entre el Gobierno, el SLM/A y el JEM en abril, y que iba a luchar contra el Gobierno.	3
4. Para seguir fortaleciendo el seguimiento de la aplicación de las resoluciones 1373 (2001) y 1624 (2005) por los Estados Miembros, la Dirección Ejecutiva seguirá haciendo balance de sus esfuerzos de aplicación, utilizando los instrumentos de evaluación revisados del Comité (el resumen de evaluación de la implementación y estudio detallado de la implementación); identificar los desafíos y necesidades de todos los Estados miembros y regiones; y facilitar la prestación de asistencia técnica específica a ese respecto.	2
En los Emiratos Árabes Unidos, la unidad central de inteligencia aduanera introduce información/inteligencia en los perfiles de riesgo instalados en el sistema electrónico de despacho de aduanas.	2
El 18 de noviembre, el Consejo celebró una sesión informativa y consultas sobre los informes del Secretario General sobre las actividades de la Misión de Asistencia de las Naciones Unidas para el Iraq (UNAMI) (S/2014//774) y la búsqueda de kuwaitíes y terceros desaparecidos. nacionales del país y bienes kuwaitíes desaparecidos, incluidos los archivos nacionales (S/2014/776).	4
Establecer mecanismos de rendición de cuentas judiciales y no judiciales en países que salen de conflictos, incluidos, según corresponda, los delitos contra las mujeres; apoyar el establecimiento de un panel de jueces o comisionados con equilibrio de género en los tribunales o comisiones de investigación.	2
Dicha estrategia se centra en cómo pueden dirigirse las defensas del Estado contra el terrorismo para proteger las infraestructuras críticas y a los ciudadanos, y cómo respondería el Estado a un ataque terrorista con miras a mitigar los efectos de tal incidente, ayudar a las víctimas y restablecer el orden público. .	1
Por invitación del Presidente del Consejo Económico y Social, el Presidente del Consejo asistió a una reunión sobre los grupos asesores especiales sobre países africanos que salen de conflictos (Burundi y Guinea-Bissau).	4
Al mismo tiempo, el Presidente Pillay afirma que los jueces opinan que sería apropiado conferir al Tribunal, junto con uno de esos mecanismos, un poder limitado para ordenar el pago de una indemnización con cargo a un fondo fiduciario a las víctimas que aparecen como testigos en los juicios ante él.	2
80. En su décimo informe, el Equipo recomendó que, a fin de aumentar la precisión de la Lista y sus efectos, al ponerse en contacto con el Estado de residencia en el contexto del examen, el Comité debería solicitar toda la información sobre el paradero del partido, sus circunstancias y actividades, junto con una nota de cualquier medida adicional adoptada para impedir su apoyo al terrorismo (S/2009/502, párr. 24).	4
Además, cuatro Estados han promulgado leyes que tipifican como delito el otorgamiento de refugio seguro a terroristas y a quienes los apoyan por parte de individuos u organizaciones.	2
39. Las víctimas de la trata sujetas a órdenes de deportación siguieron recibiendo asistencia a través del programa de refugio del pilar de desarrollo institucional.	2
No quedó satisfecho con sus observaciones en la escena del crimen, pero esperaba que todo fuera mejor al día siguiente, ya que las responsabilidades se habían distribuido en la reunión anterior.	3
Estos están relacionados con los bárbaros ataques de Boko Haram, pero también hay preocupantes acusaciones de violaciones de derechos humanos por parte de las fuerzas de seguridad.	1
A la luz de lo que antecede, la Comisión Nacional visitó varias zonas de los estados de Darfur donde, según algunas denuncias, se practicaban desplazamientos forzados o depuración étnica.	4
En la República Árabe Siria, el posible nexo entre un gran número de combatientes extranjeros afiliados a Al-Qaida y Jabhat-al-Nusrah que crean asociaciones basadas en un lenguaje común podría dar lugar al surgimiento de nuevas redes panárabes y paneuropeas de extremistas.	1
▪ Solicitar a la misión que apoye al gobierno anfitrión para abordar explícitamente la violencia sexual, en los procesos de desarme, desmovilización y reintegración, procesos de reforma del sector de la seguridad e iniciativas de reforma del sector de la justicia, y en el desarrollo e implementación de planes de acción concretos y con plazos determinados para combatir los conflictos relacionados. violencia sexual.	4
Se recomienda que el Comité mejore y, según proceda, institucionalice su cooperación con los mecanismos internacionales de no proliferación, otros órganos de las Naciones Unidas, el Grupo de los Ocho, organizaciones regionales y subregionales y zonas libres de armas nucleares, cuando corresponda, que podrían aportar valor añadido a la aplicación de la resolución 1540 (2004) ampliando las relaciones de trabajo formales e informales con ellos.	2
La estrategia se centra en el valor que el Comité y su Dirección Ejecutiva añaden a la lucha mundial de las Naciones Unidas contra el terrorismo, informando a una variedad de destinatarios sobre las iniciativas del Comité y las actividades de la Dirección Ejecutiva en todo el mundo.	2
21. Dadas las preocupaciones antes mencionadas y la continua existencia y actividades de milicias en el Líbano, mejorar la gestión y el control de las fronteras terrestres del Líbano es fundamental para impedir el flujo ilegal de armas a grupos armados.	2
:: Proporcionar, previa solicitud, información a los Estados Miembros y las organizaciones internacionales para ayudarlos a hacer ofertas más efectivas o, cuando corresponda, solicitudes de asistencia, respectivamente, para cumplir las obligaciones dimanantes de las resoluciones 1540 (2004), 1673 (2006) y 1810 (2008). ), utilizando la matriz como herramienta de referencia para facilitar la asistencia técnica	2
&quot;El Consejo de Seguridad sigue gravemente preocupado por las actividades de organizaciones terroristas en la región del Sahel, incluidas Al-Qaida en el Magreb Islámico y el Movimiento por la Unidad y la Jihad en África occidental, y reitera su enérgica condena de los recientes ataques terroristas perpetrados en la región.	3
Reafirma su condena inequívoca de todos los actos, métodos y prácticas de terrorismo como criminales e injustificables, cualquiera que sea su motivación, en todas sus formas y manifestaciones, dondequiera y por quienquiera que los cometan,	3
:: 22 de agosto de 2005, tres personas resultan heridas en una explosión en un garaje cerca del hotel Promenade en la zona de Al-Zalqa, al norte de Beirut.	1
En la misma resolución, el Consejo también introdujo determinadas exenciones a las medidas específicas. El 5 de diciembre de 2011, el Consejo de Seguridad adoptó la resolución 2023 (2011), por la que ampliaba las medidas restrictivas relativas a Eritrea en los ámbitos de los &quot;impuestos a la diáspora&quot;, el sector minero de Eritrea y los servicios financieros.	2
2. Lamentablemente, desde mi presentación anterior al Consejo, ha habido sólo avances limitados en la aplicación de las disposiciones del Acuerdo de Pretoria sobre el proceso de paz en Côte d&#39;Ivoire (S/2005/270, anexo I) de 6 de abril de 2005. y la importante brecha entre las posiciones de los partidos se ha ampliado.	3
62. Un Estado señaló que la mejor manera de lograr este objetivo era inculcar un sentido de deber cívico y el reconocimiento de que el público debe informar sus preocupaciones a las autoridades encargadas de hacer cumplir la ley.	2
Se han suministrado, o se están suministrando, sistemas de comunicaciones y vigilancia marítima costera a Kenya, Mozambique, Seychelles y la República Unida de Tanzanía para proporcionar una imagen compartida del ámbito marítimo.	2
Ningún testigo presencial informó que se hubieran lanzado panfletos, o que se hubieran dado advertencias por radio o a través de los jefes tribales, o que aviones hubieran sobrevolado las aldeas para advertir a los civiles de un ataque inminente.	3
Ese plazo no se cumplió. El Presidente Gbagbo firmó un decreto el 20 de febrero de 2008 formalizando el establecimiento de un grupo de trabajo para desarrollar el marco.	2
La población víctima era vigilada por guardias que utilizaban los látigos que portaban para controlarlos y humillarlos.	1
También pidió el fin inmediato de toda violencia e instó a todas las partes a actuar con la máxima moderación y abstenerse de tomar represalias, incluidos ataques contra instituciones del Estado.	4
Al-Qaida y sus afiliados utilizan tanto componentes militares cuando pueden asegurarlos como componentes civiles para construir artefactos explosivos improvisados.	1
Teniendo en cuenta el regreso de los grupos terroristas, consideró que la MINUSMA debe contar con todo el equipamiento necesario para cumplir su mandato y proteger a la población de la región norte.	4
a) El jefe de la subdivisión de la Oficina de Asuntos de Desarme realice un examen sustantivo del proyecto para determinar su coherencia;	2
Sin embargo, sin un alto grado de transparencia –lo que socavaría una de sus principales ventajas– es poco probable que un mecanismo así satisfaga los llamados a una revisión judicial efectiva e independiente.	3
Un alto funcionario gubernamental, a nivel provincial, describió cómo el reclutamiento inicial de combatientes por parte del Gobierno también recurrió a forajidos árabes y, como se ha descrito en otros informes, al reclutamiento de delincuentes convictos.	1
Expresaron preocupación por el uso generalizado de Internet por Al-Qaida y sus asociados, por la irresponsabilidad de algunos medios de comunicación en su cobertura de cuestiones delicadas y por el uso terrorista de teléfonos satelitales.	1
El Consejo de Seguridad también acoge con satisfacción las recientes mejoras introducidas en los procedimientos del Comité establecido en virtud de las resoluciones 1267 (1999) y 1989 (2011), en particular en lo que respecta a la eficaz y valiosa labor de la Oficina del Ombudsman establecida en virtud de la resolución 1904 (2009). .	4
Si el infractor ha destruido, dañado, transferido, inutilizado o utilizado, en particular agotado o gastado, cualquier bien que podría estar sujeto a decomiso según la Sección 70, párrafos 1 y 2, o si el infractor ha impedido de otro modo la confiscación de dichos bienes. bienes, el tribunal podrá ordenar el decomiso de los fondos hasta la cantidad correspondiente al valor de dichos bienes; El tribunal puede estimar el valor de los bienes que podrían estar sujetos a decomiso.	3
El ataque que el régimen etíope lanzó hoy constituye una respuesta maliciosa a las súplicas de Eritrea.	1
Para identificar a los perpetradores, la Comisión decidió que debe haber un conjunto confiable de material consistente con otras circunstancias verificadas, que tienda a demostrar que se puede sospechar razonablemente que una persona está involucrada en la comisión de un delito.	2
La transformación de la Fuerza MONUSCO por sí sola no dará como resultado los cambios necesarios para implementar de manera más efectiva el mandato de la Misión. Debe implicar un cambio en el comportamiento de ciertos países que aportan tropas.	3
Por ejemplo, en 2009, Bután estableció una unidad de fuerzas especiales de élite en su departamento de policía para combatir el terrorismo.	2
El Grupo de las Naciones Unidas para el Desarrollo colabora con los Comités Ejecutivos en apoyo del objetivo más amplio de la consolidación de la paz y desarrolla políticas, directrices y procedimientos para mejorar el trabajo de la red de equipos de las Naciones Unidas en los países.	2
Ambas partes en el Acuerdo General de Paz designaron puntos focales para los niños y los conflictos armados.	2
&quot;El Consejo de Seguridad, recordando sus resoluciones 2042 (2012) y 2043 (2012), acoge con satisfacción el nombramiento del Representante Especial Conjunto para Siria de las Naciones Unidas y la Liga de los Estados Árabes como un importante paso adelante en la cooperación entre ambas organizaciones y expresa su apoyo a sus esfuerzos por continuar los buenos oficios del Secretario General a este respecto.	4
Sin embargo, cabe destacar la calidad del apoyo prestado por las fuerzas francesas a la MINUSMA en varios ámbitos:	2
El jeque Yusuf Indohaadde trasladó a miembros de la milicia del aeródromo de Baledogle a posiciones al noreste de Jowhar.	1
Mauricio introdujo un nuevo sistema de control fronterizo en 2009, en el que los datos de los pasajeros se registran en una base de datos inmediatamente después de su llegada o salida del aeropuerto internacional.	2
