en_es_DEEPL	QuadClass
Las fuerzas de la oposición -de Mohamed Ibrahim Habsade- tomaron el control de Baidoa alrededor del 26 o 27 de marzo al derrotar a las milicias del presidente Yusuf y del jeque Madobe.	1
62. En cuanto a las tareas relacionadas con la matriz, el acuerdo del Comité sobre un nuevo formato supuso un importante paso adelante.	4
21. La estrategia revisada prevé tanto la preparación de propuestas de asistencia técnica más específicas, detalladas y sofisticadas, como un compromiso más activo de la Dirección Ejecutiva con los principales donantes, con el fin de lograr una mejor comprensión de sus prioridades y capacidades.	2
A partir de entonces, esos oficiales permanecieron bajo su mando y fueron armados con armas Steyr.	1
Dijo que el EIIL y todas las demás partes en el conflicto estaban matando e hiriendo a personas y destruyendo aldeas, pueblos y ciudades con impunidad.	1
La Oficina de Asuntos de Desarme se esforzó por sensibilizar a los donantes potenciales en apoyo de los seminarios y talleres regionales organizados por la Oficina.	2
(d) Emitir la declaración de riesgo excepcional a efectos del artículo 1 (c) (ii) de la Convención sobre la Seguridad del Personal de las Naciones Unidas y el Personal Asociado, en las situaciones en que, a su juicio, las circunstancias justifiquen dicha declaración, e invitar al Secretario General a que asesore al Consejo de Seguridad cuando, a su juicio, las circunstancias justifiquen dicha declaración;	4
1. Decide que todos los Estados deben abstenerse de prestar cualquier tipo de apoyo a los agentes no estatales que intenten desarrollar, adquirir, fabricar, poseer, transportar, transferir o emplear armas nucleares, químicas o biológicas y sus sistemas vectores;	2
No todos los Estados cuentan con una estrategia antiterrorista autónoma, pero todos han desarrollado una serie de políticas y prácticas antiterroristas y han creado una agencia o centro nacional, con un mandato legislativo que le sirva de guía en su labor, para gestionar las medidas antiterroristas.	2
El Consejo de Seguridad reafirma el principio de no devolución de los refugiados, previsto en los instrumentos pertinentes del derecho internacional, acoge con beneplácito los recientes esfuerzos de los países vecinos [del Estado afectado] por apoyar la repatriación voluntaria de los refugiados en condiciones de seguridad y dignidad, e insta a esos Estados de acogida a que sigan proporcionando protección internacional a [los] refugiados que la necesiten. Anima a la comunidad internacional a prestar la asistencia necesaria a este respecto.	4
19. Al final del periodo que abarca el informe, tres personas figuraban en la lista de sanciones del Comité del Consejo de Seguridad establecido en virtud de la resolución 2140 (2014), tras haber sido designadas el 7 de noviembre.	1
También detuvieron a 15 pilotos y técnicos de la FACI, todos ellos procedentes de la Federación Rusa, Ucrania y Bielorrusia.	1
A 31 de agosto, más de 29.000 refugiados habían regresado a sus países de origen, entre ellos 11.724 asistidos por el Alto Comisionado de las Naciones Unidas para los Refugiados, y se calcula que 18.000 habían regresado espontáneamente a Liberia.	2
Se trata de un avance esencial, en la medida en que la responsabilidad de la aplicación se delega en el nivel en el que se prestan los servicios policiales, lo que a su vez maximiza el principio de apropiación local.	2
Acogiendo con satisfacción la inclusión de mujeres en las misiones de mantenimiento de la paz en funciones civiles, militares y policiales, y reconociendo que las mujeres y los niños afectados por conflictos armados pueden sentirse más seguros trabajando con las mujeres de las misiones de mantenimiento de la paz y denunciando los abusos, y que la presencia de mujeres en las fuerzas de mantenimiento de la paz puede animar a las mujeres locales a participar en las fuerzas armadas y de seguridad nacionales, contribuyendo así a construir un sector de la seguridad accesible y receptivo para todos, especialmente para las mujeres.	2
Observa que la acumulación excesiva y el efecto desestabilizador de las armas pequeñas y ligeras suponen un impedimento considerable para la prestación de asistencia humanitaria y pueden exacerbar y prolongar los conflictos, poner en peligro a los civiles y socavar la seguridad y la confianza necesarias para el retorno a la paz y la estabilidad ...	3
De conformidad con el párrafo 39 de la presente resolución, el Equipo de Vigilancia actuará bajo la dirección del Comité establecido en virtud de la resolución 1267 (1999) y tendrá las siguientes responsabilidades:	2
22. En su 44ª sesión oficial, celebrada el 1 de mayo de 2014, el Grupo de Trabajo examinó el informe del Secretario General sobre los niños y el conflicto armado en Malí (S/2014/267), que abarcaba el período comprendido entre enero de 2012 y diciembre de 2013.	4
El documento, redactado por el Grupo de Trabajo sobre Retornos con la aportación del ACNUR, se presentó a los principales Estados de asilo. En el documento, la UNMIK pedía una moratoria de las repatriaciones forzosas e inducidas durante los meses de invierno.	2
115. El embargo actual podría tener más efecto sobre los talibanes si tuviera esto en cuenta y si se impidiera a todos los agentes no estatales de Afganistán comprar armas, con las excepciones necesarias para fines humanitarios y de otro tipo, según autorice el Gobierno de Afganistán o el Consejo de Seguridad.	1
En una nota, Theo Van Boven, antiguo Relator Especial de la Subcomisión de Prevención de Discriminaciones y Protección a las Minorías, se refirió a esta disposición como más elaborada y específica sobre el derecho de las víctimas a obtener reparación que cualquier otro tratado internacional de derechos humanos anterior.	2
La Comisión considera que los delitos de violencia sexual cometidos en Darfur pueden constituir violación como crimen de lesa humanidad, o esclavitud sexual como crimen de lesa humanidad.	1
Entre ellos había un muchacho de 15 años que había sido detenido en Nyala, Darfur septentrional, en noviembre de 2004, cuando regresaba a casa del trabajo.	1
Esta discriminación tradicional del sistema songbun se complicó recientemente por la creciente mercantilización de la República Popular Democrática de Corea y por la influencia del dinero, incluidas las divisas, en la capacidad de las personas para tener un mayor acceso a sus derechos económicos, sociales y culturales.	1
A este respecto, en una carta de fecha 1 de agosto de 2008 dirigida al Presidente del Consejo de Seguridad, el Comité transmitió sus recomendaciones al Consejo de Seguridad sobre la imposición de medidas selectivas contra las personas y entidades designadas por el Comité.	2
[Subraya la responsabilidad de todas las partes y grupos armados en [el país afectado] de tomar las medidas adecuadas para proteger a la población civil en el país, de conformidad con el derecho internacional humanitario, los derechos humanos y el derecho de los refugiados, en particular evitando todo uso indiscriminado o excesivo de la fuerza en zonas pobladas.	3
La investigación y el enjuiciamiento de casos relacionados con nuevos métodos de pago requieren un alto nivel de competencia técnica y una actuación rápida por parte de las autoridades. También requieren formas reforzadas de cooperación internacional, especialmente en la conservación de pruebas electrónicas.	2
Preocupado por el interminable abandono y el desamparo generalizado de las poblaciones de las regiones del norte de Malí, denominadas por algunos el Azawad (término reconocido por los anteriores acuerdos de paz), a falta de una solución definitiva del conflicto cuyos devastadores efectos siguen padeciendo;	3
A este respecto, la Dirección Ejecutiva seguirá cotejando las necesidades prioritarias identificadas con los programas de los donantes y proveedores actuales y potenciales, con el fin de mejorar la capacidad de los Estados miembros para luchar contra el terrorismo y reforzar el diálogo entre la comunidad de donantes y los Estados receptores.	4
Los miembros del Consejo subrayaron además que el pueblo y el Gobierno de Haití tienen la responsabilidad última de la reconciliación nacional, el mantenimiento de un entorno seguro y estable, la administración de justicia y la reconstrucción de su país.	4
El Consejo expresa su preocupación por el apoyo exterior que reciben los grupos armados chadianos, según ha informado el Secretario General.	3
Las autoridades competentes han solicitado que la fecha límite del 31 de octubre de 2005 para la solicitud formal de modificaciones por parte del Gobierno de Iraq se traslade al 31 de diciembre de 2005, con el fin de tener plenamente en cuenta los problemas de comunicación entre las autoridades competentes y los proveedores para la ampliación de la fecha de envío y la validez de las cartas de crédito.	4
Los Estados miembros han señalado que los sitios que promueven el terrorismo en un país se encuentran casi invariablemente en otro.	3
Juntos, avanzaremos hacia el día en que las fuerzas iraquíes asuman la plena responsabilidad del mantenimiento de la seguridad y la estabilidad en Irak.	2
429. El Gobierno también citó su reconocimiento de tres casos de bombardeos erróneos. Declaró que indemnizó a las víctimas de Habila, Umm Gozin y Tulo.	1
Imponer medidas selectivas y graduadas en respuesta a la difusión por los medios de comunicación de mensajes que inciten al genocidio, crímenes contra la humanidad, crímenes de guerra u otras violaciones graves de la legislación sobre derechos humanos.	1
Los días 3 y 7 de octubre, el Consejo emitió sendos comunicados de prensa en los que condenaba los recientes ataques contra la MINUSMA (SC/11587 y SC/11591).	3
Condené tales restricciones a la libertad de movimiento de las fuerzas de paz de las Naciones Unidas.	3
También aprovecho esta oportunidad para subrayar mi preocupación por los retos que se plantean en el contexto de las elecciones federales y a la gobernación que se celebrarán en Nigeria en febrero de 2015, y los graves riesgos de violencia que podrían producirse, ya sea por los ataques de Boko Haram o por la impugnación de los resultados electorales.	3
o El 30 de noviembre de 2014, aviones de combate del régimen atacaron el mercado de Tayma, en Hasakeh, hiriendo a 2 personas y destruyendo 7 tiendas. Centros médicos	1
Pide al Secretario General que elabore directrices y estrategias eficaces para mejorar la capacidad de las operaciones pertinentes de mantenimiento de la paz de las Naciones Unidas, en consonancia con sus mandatos, para proteger a los civiles, incluidas las mujeres y las niñas, de todas las formas de violencia sexual, y que incluya sistemáticamente en sus informes escritos al Consejo sobre situaciones de conflicto sus observaciones relativas a la protección de las mujeres y las niñas y recomendaciones al respecto.	2
Subrayando que el terrorismo sólo puede ser derrotado mediante un enfoque sostenido y global que implique la participación y colaboración activas de todos los Estados y organizaciones internacionales y regionales para impedir, perjudicar, aislar e incapacitar la amenaza terrorista,	2
Confiaban en que esto permitiría avanzar decisivamente en las negociaciones cara a cara en el periodo previo a la fecha límite de junio para el acuerdo, refrendada de nuevo por el Consejo.	4
47. Según los relatos recibidos de testigos presenciales, y tal como se indica en las declaraciones públicas del Director General de la Policía, las fuerzas de seguridad ya se encontraban desplegadas a primera hora de la mañana del 25 de marzo en varias zonas clave de Abiyán, a saber, Abobo, Adjamé, Yopougon, Anyama y Kumassi.	1
Ambas resoluciones hacen hincapié en la responsabilidad de los Estados de investigar y procesar a los sospechosos de genocidio, crímenes de lesa humanidad y crímenes de guerra u otras violaciones graves del derecho internacional de los derechos humanos.	2
Uno de los soldados cogió al niño y lo tiró a un lado de la carretera.	1
Acogiendo con beneplácito el establecimiento de la Oficina del Ombudsman en virtud de la resolución 1904 (2009) y la ampliación del mandato del Ombudsman en las resoluciones 1989 (2011) y 2083 (2012), observando la importante contribución de la Oficina del Ombudsman a la hora de proporcionar una mayor imparcialidad y transparencia, y recordando el firme compromiso del Consejo de Seguridad de velar por que la Oficina del Ombudsman pueda seguir desempeñando su función con eficacia, de conformidad con su mandato,	4
:: Informes del Secretario General: sobre la seguridad del personal humanitario y la protección del personal de las Naciones Unidas (A/68/489), sobre la protección de los civiles en los conflictos armados (por ejemplo, S/2013/689) e informes pertinentes sobre los mandatos del Consejo de Seguridad (por ejemplo, el informe del Secretario General sobre Somalia (S/2014/140)).	4
44. Durante el período que abarca el informe, la situación de seguridad en el nordeste de la República Centroafricana siguió viéndose afectada por los conflictos interétnicos, el bandidaje y la delincuencia transfronteriza. Éstas siguieron siendo las principales amenazas para la seguridad y la estabilidad en las regiones de Vakaga y Haute-Kotto.	1
- Permitir el regreso a Kosovo y Metohija de varios militares y policías yugoslavos y serbios (para. 4, párrs. 6 y 10 del anexo 2, y párr. 4 del Acuerdo Técnico Militar).	2
23. Desde su llegada a Nairobi el 27 de mayo de 2005, mi Representante Especial ha insistido ante los dirigentes de la subregión y de otros países en la necesidad de adoptar un enfoque coordinado respecto de los dirigentes somalíes y de instarles a que entablen un diálogo y se abstengan de emprender acciones militares para resolver las diferencias existentes en el seno de las instituciones federales de transición. El 10 de junio se reunió en Kampala con el Presidente de Uganda, Yoweri Museveni, y el 29 de junio mantuvo conversaciones con el Presidente de Yibuti, Ismail Omar Guelleh, y con el Secretario Ejecutivo de la IGAD en Yibuti.	4
72. Pide al Comité que informe oralmente al Consejo, por conducto de su Presidencia, al menos una vez al año, sobre el estado de la labor general del Comité y del Equipo de Vigilancia y, según proceda, en conjunción con los informes de los Presidentes del Comité contra el Terrorismo y del Comité establecido en virtud de la resolución 1540 (2004), expresa su intención de celebrar consultas oficiosas al menos una vez al año sobre la labor del Comité, basándose en los informes de la Presidencia al Consejo, y pide además a la Presidencia que organice reuniones informativas periódicas para todos los Estados Miembros interesados;	4
12. Exige que todas las partes cooperen plenamente con las operaciones de la MONUC y que garanticen la seguridad y el acceso inmediato y sin trabas del personal de las Naciones Unidas y el personal asociado en el desempeño de su mandato, en todo el territorio de la República Democrática del Congo; exige, en particular, que todas las partes faciliten pleno acceso a los observadores militares de la MONUC, incluso en todos los puertos, aeropuertos, aeródromos, bases militares y pasos fronterizos, y, además, que se conceda a los observadores de derechos humanos de la MONUC acceso a los centros de detención y a los centros de reclusión, y pide al Secretario General que informe sin demora de cualquier incumplimiento de estas exigencias;	3
"El Consejo de Seguridad reitera también su llamamiento a todas las partes enumeradas en los anexos del informe del Secretario General sobre los niños y los conflictos armados para que se ocupen de todas las demás violaciones y abusos cometidos contra los niños y asuman compromisos y medidas específicas al respecto.	1
"El Consejo de Seguridad subraya que no se tolerará ningún intento de perturbar el proceso de paz y transición en la República Democrática del Congo, ni siquiera mediante el apoyo a grupos armados.	3
Exclusión de la lista 25. Encarga al Comité que suprima rápidamente, caso por caso, a las personas y entidades que ya no cumplan los criterios para la inclusión en la lista expuestos en el párrafo 2 supra, y pide que el Comité preste la debida atención a las solicitudes de supresión de personas que se hayan reconciliado, de conformidad con el Comunicado de la Conferencia de Kabul de 20 de julio de 2010 sobre el diálogo para todos aquellos que renuncien a la violencia, no tengan vínculos con organizaciones terroristas internacionales, incluida Al-Qaida, respeten la Constitución, incluidas sus disposiciones en materia de derechos humanos, en particular los derechos de la mujer, y estén dispuestas a unirse a la construcción de un Afganistán pacífico, y según se expone con más detalle en los principios y resultados de las Conclusiones de la Conferencia de Bonn de 5 de diciembre de 2011, respaldadas por el Gobierno de Afganistán y la comunidad internacional;	2
82. Aunque puede que Al-Qaeda, los talibanes y sus asociados no mantengan estructuras y sistemas sofisticados que proporcionen un control operativo de sus seguidores, tienen no obstante una capacidad militar operativa, como indica, por ejemplo, la insurgencia en Afganistán. En los niveles táctico y operativo, Al Qaeda, los talibanes y sus asociados han utilizado equipos militares y civiles, como radios de corto alcance y teléfonos móviles y por satélite.	3
Insta a los Estados y a todas las demás partes en un conflicto armado a que hagan todo lo posible por impedir las violaciones del derecho internacional humanitario contra la población civil, incluidos los periodistas, los profesionales de los medios de comunicación y el personal asociado.	3
Al menos 90 países están afectados por artefactos explosivos improvisados, y Al Qaeda y sus afiliados intercambian información y asesoramiento sobre la mejor forma de construirlos y utilizarlos.	1
Durante el período que abarca el informe, se registraron 1 tiroteo, 14 robos, 3 secuestros y 1 manifestación. El 9 de julio, un vehículo de la UNOMIG resultó dañado por una piedra lanzada por un residente local en la ciudad de Zugdidi.	1
"El Consejo de Seguridad recuerda que la justicia y el Estado de Derecho en el plano internacional revisten una importancia fundamental para promover y mantener la paz, la estabilidad y el desarrollo en el mundo.	4
En tercer lugar, los talibanes han sufrido la muerte o detención de muchos líderes de nivel medio y algunos de alto rango, y aunque hay muchos que pueden ocupar su lugar, los nuevos comandantes son más jóvenes y tienen menos vínculos con la Shura de Quetta, que por tanto tiene menos control sobre sus acciones y una labor más difícil a la hora de afirmar su autoridad sobre el movimiento en su conjunto.	1
118. El terrorismo es un factor impulsor de un número creciente de situaciones de conflicto, especialmente en la región del Sahel y el Magreb.	3
Los tres países son conscientes del régimen de sanciones y están tomando medidas para mejorar su aplicación, pero aún no se han dado cuenta plenamente de cómo puede ayudar el régimen a su respuesta nacional y regional a la amenaza.	2
El resultado políticamente muy significativo de la reunión de alto nivel del Consejo de Seguridad sobre la lucha contra el terrorismo, celebrada el 20 de enero de 2003 en Nueva York, ha incrementado el reconocimiento de que el papel central en la lucha contra este peligro mundial corresponde a las Naciones Unidas.	4
(b) Tipificar como delito la provisión o recaudación deliberadas, por cualquier medio, directa o indirectamente, de fondos por parte de sus nacionales o en sus territorios con la intención de que dichos fondos se utilicen, o a sabiendas de que se van a utilizar, para llevar a cabo actos terroristas;	3
Durante los últimos tres meses, la Unidad Conjunta de Investigación Especial de la MINUSTAH ha investigado al menos cuatro casos de presuntas ejecuciones sumarias.	2
El Consejo exige el cese inmediato de todos los ataques del ERS e insta al ERS a que libere a todos los secuestrados, se desarme y se desmovilice.	3
v. Con el fin de asistir al Gobierno en la aplicación de su programa y de consolidar y reforzar los mecanismos de seguimiento existentes, se creará un Grupo de Trabajo Internacional (GTI) a nivel ministerial, que se reunirá una vez al mes en Côte d'Ivoire para evaluar, supervisar y hacer el seguimiento del proceso de paz, incluida la hoja de ruta acordada en Pretoria y cualquier otro acuerdo posterior, constatando el grado de cooperación de las partes y demás actores implicados, su respeto de los compromisos contraídos y, en su caso, cualquier actitud susceptible de obstaculizar la conclusión satisfactoria del proceso de paz y reconciliación en Costa de Marfil, y formular las recomendaciones oportunas al Consejo de Paz y Seguridad de la UA y al Consejo de Seguridad de las Naciones Unidas.	2
1. prorrogar hasta el 31 de diciembre de 2009 los arreglos establecidos en el párrafo 20 de la resolución 1483 (2003) para el depósito en el Fondo de Desarrollo para el Iraq del producto de las ventas de exportación de petróleo, productos derivados del petróleo y gas natural y los arreglos a que se hace referencia en el párrafo 12 de la resolución 1483 (2003) y el párrafo 24 de la resolución 1546 (2004) para la supervisión del Fondo de Desarrollo para el Iraq por la Junta Internacional de Asesoramiento y Supervisión y decide además que, con sujeción a la excepción prevista en el párrafo 27 de la resolución 1546 (2004), las disposiciones del párrafo 22 de la resolución 1483 (2003) seguirán aplicándose hasta esa fecha, incluso con respecto a los fondos y activos financieros y recursos económicos descritos en el párrafo 23 de dicha resolución;	2
La mayoría de los gobiernos parecen firmemente decididos a garantizar que los organismos encargados de hacer cumplir la ley respetan los derechos humanos, aunque en algunos casos se han manifestado serias preocupaciones por las violaciones cometidas por las fuerzas de seguridad.	3
50. Cuatro Estados han desarrollado estrategias y creado estructuras institucionales para luchar contra el terrorismo. Las fuerzas del orden de estos Estados coordinan algunas de sus actividades antiterroristas.	2
Además de una esperanza renovada para el pueblo de la República, estos cambios han brindado a la UNMIK una nueva oportunidad para mejorar sus consultas con las autoridades federales y entablar un diálogo constructivo sobre cuestiones de interés mutuo.	4
Rendición de cuentas [U]rge al Gobierno del [país afectado] a que garantice la plena aplicación de su "política de tolerancia cero" con respecto a la disciplina y las violaciones de los derechos humanos, incluida la violencia sexual y de género, cometidas por elementos de las [fuerzas armadas] e insta además a que se investiguen exhaustivamente todas las denuncias de tales violaciones, con el apoyo de [la misión], y a que todos los responsables comparezcan ante la justicia mediante un proceso sólido e independiente.	3
"El Consejo subraya la utilidad de seguir desarrollando asociaciones eficaces entre las Naciones Unidas y las organizaciones regionales y subregionales pertinentes, a fin de posibilitar respuestas tempranas a las controversias y crisis incipientes y reforzar el papel de las Naciones Unidas en la prevención de conflictos.	2
Ámbitos de evaluación 25. Todos los Estados visitados han introducido legislación que otorga a sus autoridades judiciales, fiscales y policiales las competencias necesarias para luchar contra el terrorismo.	2
Instar a los países que aportan contingentes y fuerzas de policía a que adopten las medidas adecuadas para prevenir la EAS por parte de su personal, incluida la formación previa al despliegue y la sensibilización en el teatro de operaciones para promover y garantizar el cumplimiento del Boletín del Secretario General sobre medidas especiales de protección contra la explotación y el abuso sexuales (ST/SGB/2003/13).	4
213. Abdel-Al también tiene conexiones notables con un importante almacén de armas descubierto en el sur de Beirut en julio de 2005. Este almacén de armas fue asaltado por las ISF el 26 de julio de 2005 y se detuvo a cinco personas estrechamente relacionadas con la antigua milicia Mourabitoun.	1
Preocupado por las actividades armadas y el bandidaje en [los países afectados] que amenazan la seguridad de la población civil, la realización de operaciones humanitarias en esas zonas y la estabilidad de esos países, y que dan lugar a graves violaciones de los derechos humanos y del derecho internacional humanitario.	3
13. Los informes sobre niños secuestrados durante los recientes ataques contra la población civil demuestran el horrible precio que están pagando los niños de Darfur en esta guerra civil.	1
[Exhorta a las partes en los conflictos armados a que tomen todas las precauciones posibles para proteger a la población civil, incluidos los niños, de los efectos de las minas terrestres y otros restos explosivos de guerra y, a este respecto, alienta a la comunidad internacional a que apoye los esfuerzos de los países en la remoción de minas terrestres y otros restos explosivos de guerra y a que preste asistencia para el cuidado, la rehabilitación y la reintegración económica y social de las víctimas, incluidas las personas con discapacidad;	2
38. En su resolución 1559 (2004), el Consejo de Seguridad pidió la disolución y el desarme de todas las milicias libanesas y no libanesas.	3
29. Entretanto, los esfuerzos del componente de policía de la ONUCI por asesorar al Gobierno de Reconciliación Nacional sobre la reestructuración de las Fuerzas de Defensa y Seguridad de Côte d'Ivoire y ayudar a restablecer una presencia policial civil en todo el país se han visto obstaculizados por la actitud poco cooperativa de las autoridades locales, la ausencia de un plan global de reforma de las Fuerzas de Defensa y Seguridad de Côte d'Ivoire y la falta de acuerdo entre las partes de Côte d'Ivoire sobre el despliegue de agentes de la policía y la gendarmería de Côte d'Ivoire en el norte.	3
Las medidas para evitar el abuso de los procedimientos de asilo sólo se aplican parcialmente en cinco Estados.	2
"El Consejo de Seguridad hace hincapié en que todos los civiles afectados por conflictos armados, incluidos los que sufren pérdidas como consecuencia de actos lícitos conforme al derecho internacional, merecen asistencia y reconocimiento en el respeto de su dignidad inherente como seres humanos.	3
Como se subrayó en esas sesiones informativas, la decisión de Eritrea de restringir todo tipo de vuelos de helicópteros de la MINUEE dentro del espacio aéreo eritreo inhibe gravemente la capacidad de la Misión para cumplir su mandato de vigilancia, solicitado por las partes en el Acuerdo de Cesación de Hostilidades de 18 de junio de 2000 y autorizado por el Consejo de Seguridad en sus resoluciones 1312 (2000) y 1320 (2000).	3
Ya ha sentado precedentes importantes al solicitar el establecimiento de mecanismos de determinación de los hechos para investigar presuntas violaciones, ofrecer reparaciones a las víctimas y promover la responsabilidad penal individual.	2
(d) Dirigentes políticos y militares que operan en la República Democrática del Congo y reclutan o utilizan a niños en conflictos armados en violación del derecho internacional aplicable;	1
61. Como se pide en el actual programa de trabajo de la Comisión, el esfuerzo para avanzar hacia la presentación universal de informes continuó bilateralmente, con las misiones en Nueva York de los Estados que aún no han presentado informes al Comité, y en el marco de oportunidades regionales y otros eventos.	2
La gran mayoría de los puestos fronterizos de la policía terrestre carecen de las herramientas y el equipamiento necesarios para llevar a cabo sus misiones, y los organismos nacionales de control fronterizo no cooperan suficientemente entre sí ni con sus homólogos de los Estados vecinos.	3
"El Consejo de Seguridad reitera su más enérgica condena de la profanación, los daños y la destrucción de lugares de importancia sagrada, histórica y cultural, especialmente, aunque no exclusivamente, los designados Patrimonio de la Humanidad por la UNESCO, incluida la ciudad de Tombuctú.	3
Las medidas para prevenir y reprimir la circulación de terroristas a través de las fronteras podrían reforzarse en todos los Estados, especialmente en las fronteras meridionales.	2
La Red Siria de Derechos Humanos no pudo recabar información sobre las muertes en las zonas aisladas por el régimen.	3
3. Los avances hacia la neutralización de los grupos armados extranjeros y congoleños en los Kivus siguieron siendo limitados.	2
28. Declara su determinación de vigilar de cerca cualquier situación que implique la proliferación de armas nucleares, sus sistemas vectores o material conexo, incluso hacia o por agentes no estatales, tal como se definen en la resolución 1540 (2004), y, según proceda, adoptar las medidas que sean necesarias para garantizar el mantenimiento de la paz y la seguridad internacionales;	1
Estas cifras no tienen en cuenta la probable participación de grupos o individuos incluidos en la lista en atentados cuya autoría reivindicaron grupos no incluidos en ella, por ejemplo Tehrik-e-Taliban en Pakistán o Al-Shabaab en Somalia.	1
También se ha informado de que 18 mujeres fueron violadas durante el ataque a Adwa, en el sur de Darfur, a principios de diciembre de 2004.	1
Al concluir esta cuarta ronda de conversaciones, las partes reiteraron su compromiso de proseguir las negociaciones en Manhasset en una fecha que se determinará de común acuerdo.	4
Los observadores han informado de que los civiles desplazados que viven bajo control gubernamental en estas zonas siguen siendo virtuales prisioneros, confinados en campos y asentamientos con alimentos, refugio y asistencia humanitaria inadecuados, en constante riesgo de nuevos ataques, violaciones y saqueos de las posesiones que les quedan.	1
Pedimos a todos los grupos armados signatarios del Acuerdo de Uagadugú que se desvinculen de los grupos terroristas.	3
El Consejo de Seguridad insta a todas las partes en los conflictos armados, incluidas las partes no estatales, a que pongan fin a tales prácticas.	3
6. Exige que todos los Estados y partes en conflictos armados apliquen plenamente todas las decisiones pertinentes del Consejo de Seguridad y, a este respecto, cooperen plenamente con las misiones de mantenimiento de la paz y los equipos de las Naciones Unidas en los países en el seguimiento y la aplicación de estas resoluciones;	4
De hecho, el Comité 1540 parece bien posicionado para promover la cooperación entre estas entidades y explorar oportunidades de financiación.	2
(i) Contribuir a la protección de la población civil en peligro, en particular los refugiados y las personas desplazadas;	2
Señaló que 69 trabajadores humanitarios habían sido asesinados desde el inicio del conflicto, y que la violencia sexual se había utilizado como forma de tortura, para herir, degradar e intimidar, y como forma de castigo.	1
412. El secuestro de personas durante los ataques de los Janjaweed y su detención en campamentos operados por los Janjaweed, con el apoyo y la complicidad de las fuerzas armadas del Gobierno, equivalen a violaciones graves de los derechos humanos y a desapariciones forzadas.	1
A pesar de todo lo anterior, seguimos creyendo que no hay solución militar; al contrario, estamos seguros de que es contraproducente.	3
Los militares dispararon morteros contra civiles desarmados.	1
Además, aumentaron los temores de que se ocuparan propiedades de minorías, con informes de una comunidad croata del municipio de Vitina y de romaníes que vivían en la ciudad de Gnjilane de que albanokosovares habían estado registrando casas vacías y, en algunos casos, intimidando a miembros de la comunidad.	3
Algunas de sus recomendaciones a las autoridades sudanesas pueden y deben aplicarse de inmediato, entre ellas la de conceder al Comité Internacional de la Cruz Roja y a los observadores de derechos humanos de las Naciones Unidas acceso pleno y sin trabas a todas las personas detenidas en relación con la situación en Darfur.	2
18. Reitera que las misiones de mantenimiento de la paz y las misiones políticas especiales de las Naciones Unidas pueden, por mandato del Consejo, ayudar a los gobiernos anfitriones que lo soliciten a crear capacidad para cumplir los compromisos contraídos en virtud de los instrumentos mundiales y regionales existentes y hacer frente al tráfico ilícito de armas pequeñas y armas ligeras, entre otras cosas mediante programas de recogida de armas, desarme, desmovilización y reintegración, la mejora de la seguridad física y las prácticas de gestión de arsenales, el mantenimiento de registros y la capacidad de rastreo, el desarrollo de sistemas nacionales de control de las exportaciones y las importaciones, la mejora de la seguridad fronteriza y el fortalecimiento de las instituciones judiciales, la policía y otras capacidades de aplicación de la ley;	2
Por lo tanto, el marco reconoce la importancia de implicar a los movimientos no signatarios en el proceso de paz con vistas a concluir rápidamente una solución negociada y plenamente integradora del conflicto.	2
Reitera la necesidad de convocar lo antes posible una conferencia internacional para aplicar el Comunicado de Ginebra a fin de facilitar un proceso político dirigido por los sirios que conduzca a una transición que acelere el fin del conflicto en Siria.	4
Los combatientes desmovilizados recibirán una prestación de subsistencia de aproximadamente 940 dólares, de los cuales el 25% se pagará en el momento de la desmovilización, el 25% 45 días después y el resto 90 días después.	2
(c) Responsable de los obstáculos a la libertad de circulación de la ONUCI y de las fuerzas francesas que la apoyan;	3
Todos los restos han sido trasladados a la base militar de Hilversum, donde se está llevando a cabo el proceso de identificación.	2
El Consejo de Seguridad acoge con satisfacción la intención del Secretario General de visitar la región del Sahel, a finales de este año, junto con el Presidente del Grupo del Banco Mundial, y espera con interés la presentación de un informe al Consejo de Seguridad tras esta visita.	4
Durante ese periodo, tanto la amenaza de Al Qaeda, los talibanes y sus asociados como el régimen de sanciones del Consejo de Seguridad dirigido contra ellos han cambiado considerablemente.	3
Como se dispone tanto en la resolución 1535 (2004) del Consejo de Seguridad como en el informe del Comité contra el Terrorismo sobre su revitalización (S/2004/124), el Comité espera mantener una relación estrecha y de cooperación con el Director Ejecutivo y su personal con el objetivo de mejorar la capacidad del Comité para supervisar eficazmente la aplicación de la resolución 1373 (2001) por todos los Estados Miembros.	4
Sobre la aplicación de la orden de investigación emitida por el primer juez de instrucción del tribunal militar de Beirut en relación con las investigaciones y todo lo que pueda arrojar luz sobre la investigación de la explosión que causó la muerte del ex Primer Ministro Hariri y otras personas.	2
5. La comunidad internacional logró un éxito considerable en sus esfuerzos por combatir la piratería somalí gracias a la estrecha cooperación entre Estados, regiones, organizaciones, la industria marítima, el sector privado, grupos de reflexión y la sociedad civil.	2
"El Consejo de Seguridad subraya la urgente necesidad de reforzar las instituciones militares y policiales en Libia.	3
Expresar su preocupación por el impacto perjudicial de la proliferación de armas, en particular las armas ligeras, sobre la seguridad de los civiles al alimentar los conflictos armados, y pedir a la misión que vigile la presencia de armas entre la población civil.	3
