en_ar_DEEP	QuadClass
ويدعو المجلس أطراف النزاع المسلح إلى الامتثال للالتزامات المنطبقة عليها بموجب القانون الإنساني الدولي باحترام وحماية العاملين في المجال الإنساني وشحنات الإغاثة واتخاذ جميع الخطوات اللازمة لتسهيل المرور الآمن والسريع ودون عوائق لشحنات ومعدات الإغاثة ومعداتها. شؤون الموظفين.	1
3 - وتحت قيادة ممثلي الخاص، واصلت البعثة جهودها الرامية إلى تعزيز الاستقرار في منطقة الصراع وتعزيز الحوار بين الجانبين الجورجي والأبخازي بشأن المسائل السياسية والأمنية، وعودة المشردين داخليا واللاجئين، والتعاون الاقتصادي. على النحو الذي أقرته الاجتماعات الرفيعة المستوى التي عقدها فريق الأصدقاء في جنيف برئاسة الأمم المتحدة (انظر S/2003/412، الفقرة 3).	2
ودعا القيادة الصومالية إلى تكثيف الجهود لتنفيذ خريطة الطريق والالتزام بالموعد النهائي للانتقال في آب/أغسطس 2012.	2
في 5 تشرين الثاني/نوفمبر، أجرى المجلس مشاورات بشأن الجمهورية العربية السورية، واستمع إلى إحاطة، عبر الفيديو من بيروت، من المستشارة الخاصة للأمين العام، سيغريد كاغ، بشأن تنفيذ القرار 2118 (2013) وإلغاء القرار 2118 (2013) برنامج الأسلحة الكيميائية للجمهورية العربية السورية.	2
(ب) دعوة أطراف النزاع المسلح إلى الامتثال للالتزامات المنطبقة عليها بموجب القانون الإنساني الدولي فيما يتصل باحترام وحماية العاملين في المجال الإنساني والشحنات المستخدمة في عمليات الإغاثة الإنسانية،	2
ثانياً، حتى في إطار البحث عن السلام في خضم الصراع، يجب احترام المعايير الأساسية لحقوق الإنسان والقانون الإنساني.	2
في 20 تموز/يوليه، اجتمع المجلس في مناقشة مفتوحة (الجلسة 4174) للنظر في دوره في منع نشوب الصراعات المسلحة.	2
وإذ يشدد على ضرورة تقديم مرتكبي الجرائم ضد الأطفال في حالات النزاع المسلح إلى العدالة من خلال نظم العدالة الوطنية، وعند الاقتضاء، من خلال آليات العدالة الدولية والمحاكم الجنائية المختلطة من أجل وضع حد للإفلات من العقاب،	1
233. توصي اللجنة بأن يتمكن المدّعون العامون من الوصول إلى أفراد الشرطة والتحقيق المتفانين، وعدد كافٍ من الموظفين الإداريين والترجمة والبحث، فضلاً عن الدعم اللوجستي اللازم.	2
112 - يعد التنسيق بين كيانات الأمم المتحدة في تقديم المساعدة في مجال مكافحة الإرهاب أمرا بالغ الأهمية لتجنب الازدواجية وتعزيز الفعالية في تقديم المساعدة وضمان تخصيص الموارد بشكل أكثر ترشيدا.	2
وشجع أعضاء المجلس السلطات البوروندية على بذل المزيد من الجهود لتهيئة الظروف اللازمة لإجراء انتخابات شاملة من خلال الحوار البناء، وإتاحة المجال السياسي المفتوح، وإنهاء العنف ذي الدوافع السياسية، ومكافحة الإفلات من العقاب، وفقا للقرار 2137 (2014).	2
24 - يحث الفريق العامل الدولي، الذي يتلقى تقارير منتظمة من فريق الوساطة، ولجنة الجزاءات المنشأة بموجب القرار 1572 (2004) المؤرخ 15 تشرين الثاني/نوفمبر 2004، على تقييم ورصد ومتابعة التقدم المحرز فيما يتعلق بالمسائل المذكورة عن كثب. وفي الفقرات من 14 إلى 18 أعلاه؛	2
وكل أعمال التحريض على الكراهية والحرب هذه تثير التوتر داخل المجتمع الإيفواري.	1
163 - ويمكن اعتبار اعتماد النظام الأساسي للمحكمة الجنائية الدولية، الذي أعقبه النظام الأساسي للمحكمة الخاصة لسيراليون، تتويجا لعملية وضع القوانين التي أدت في غضون بضع سنوات إلى بلورة كلا النظامين. مجموعة من القواعد العرفية التي تحكم النزاعات المسلحة الداخلية وتجريم الانتهاكات الجسيمة لهذه القواعد، بمعنى أن المسؤولية الجنائية الفردية قد تنشأ عن الانتهاكات الجسيمة لتلك القواعد.	2
وقد تم إنشاء السجن لتوفير ظروف احتجاز إنسانية وآمنة بما يتماشى مع المعايير الدولية لحقوق الإنسان.	2
ويولى اهتمام خاص لقطاع الأمن. يتم أيضًا فحص تصرفات الحكومة والرئيس ومكتب الأمم المتحدة في تيمور - ليشتي.	2
54 - وتشير الأدلة المتناقلة إلى أن الأموال المتأتية من دفع الفدية والاتجار بالمخدرات يتم نقلها عبر الحدود عن طريق حاملي الأموال النقدية.	1
67 - وفي الختام، أود أن أشكر ممثلتي الخاصة، أميرة حق، على قيادتها، وجميع موظفي البعثة وفريق الأمم المتحدة القطري على جهودهم المتواصلة في دعم شعب تيمور - ليشتي من أجل النهوض بقضايا السلام. السلام والاستقرار والتنمية.	2
وفي نهاية المطاف، وبمجرد أن تعتبر الظروف مناسبة، ينبغي لهذه المؤسسات والشركات أن تتعاون مع الحكومات المعنية لتنسيق الجهود الرامية إلى اعتماد خطة متماسكة لتنمية البلاد، وتوفير سبل العيش للسكان والنهوض بحالة البلد. حقوق الانسان.	4
إن التقارب المتزايد بين أساليب تمويل الإرهاب، وخاصة على المستوى المحلي، والأنشطة الإجرامية الأخرى، زاد من صعوبة التمييز بين إحداهما والأخرى.	1
اتخذت أربع دول تدابير قانونية مناسبة لتجريم توفير الملاذ الآمن؛ أربعة فعلوا ذلك جزئيا؛ واثنين لم يقدموا المعلومات ذات الصلة.	2
إن الميزانية التي اقترحتها لبعثة منظمة الأمم المتحدة في جمهورية الكونغو الديمقراطية للفترة الكاملة الممتدة على مدى اثني عشر شهراً من 1 تموز/يوليه 2005 إلى 30 حزيران/يونيه 2006، بما في ذلك الاحتياجات اللازمة لدعم الانتخابات وأفراد الشرطة المدنية الإضافيين الذين أذن بهم المجلس في قراره 1621 (2005)، قيد الإعداد حالياً، وسوف تقدم إلى الجمعية العامة لمراجعتها واتخاذ الإجراءات اللازمة قريباً.	4
في جلسة مجلس الأمن 5659، المعقودة في 12 نيسان/أبريل 2007، فيما يتصل بنظر المجلس في البند المعنون "التهديدات التي يتعرض لها السلام والأمن الدوليان نتيجة للأعمال الإرهابية"، أدلى رئيس مجلس الأمن بالبيان التالي باسم المجلس:	1
10 - يوجه المديرية التنفيذية للجنة مكافحة الإرهاب إلى إتاحة المعلومات الواردة في الدراسات الاستقصائية والتقييمات الوطنية لمكافحة الإرهاب، عندما توافق عليها الدول الأعضاء المعنية، ويوجه كذلك المديرية التنفيذية للجنة مكافحة الإرهاب إلى إتاحة المعلومات عن القدرات الإقليمية في مجال مكافحة الإرهاب، عندما توافق عليها لجنة مكافحة الإرهاب، حسب الاقتضاء؛	4
12 - وستواصل اللجنة تنظيم اجتماعات ومناسبات خاصة بشأن المواضيع والقضايا ذات الاهتمام المشترك والاهتمام المشترك للدول الأعضاء، بهدف تحقيق أقصى قدر من تأثير القرارات والحفاظ على التزام المجتمع الدولي بمكافحة الإرهاب.	2
وإذ يطالب أطراف النزاع بضبط النفس ووقف الأعمال العسكرية بجميع أنواعها، بما في ذلك القصف الجوي،	3
ويمكن اعتبار هذه الممارسة بمثابة اختفاء قسري، مما يشكل انتهاكًا لالتزامات الجماعات المسلحة بموجب القانون الإنساني الدولي العرفي.	1
وتقوم إريتريا بتنظيم وتدريب ثم إرسال جميع أنواع رجال العصابات والعناصر الإرهابية إلى إثيوبيا لإحداث الفوضى في بلدنا والتسبب في عدم الاستقرار السياسي.	1
وفي أعقاب الانتخابات المرتقبة، سيكون من الضروري إجراء مشاورات مع الحكومة المنتخبة حديثا من أجل تحديد طبيعة ومستوى الدعم الذي ستحتاجه السلطات الإيفوارية من عملية الأمم المتحدة في كوت ديفوار لإجراء الانتخابات التشريعية والمحلية قبل أن تبدأ العملية في الإنهاء التدريجي.	4
وفي الوقت نفسه، يجري حشد الموارد بدعم من عملية الأمم المتحدة في كوت ديفوار واليونيسيف وبرنامج الأغذية العالمي لإعادة تأهيل وإعادة إدماج 511 طفلا جنديا، من بينهم 204 فتيات، تم إطلاق سراحهم وتسليمهم إلى اليونيسيف من قبل قيادة القوات الجديدة.	2
95- وبالنظر إلى النمط المستمر لانتهاكات حقوق الإنسان في كوت ديفوار على مدى السنوات الماضية، قد يرغب المجتمع الدولي أيضاً في النظر في الحاجة إلى إنشاء آلية مستقلة لحقوق الإنسان تابعة للجنة حقوق الإنسان التابعة للأمم المتحدة ( (مقرر خاص أو خبير مستقل مقيم في البلد)، يمكن تكليفه بمهمة تقديم التقارير، إلى الجمعية العامة أيضًا، عن التقدم المحرز في التنفيذ الفعال للمعايير الدولية لحقوق الإنسان، وترجمتها إلى ممارسات على المستوى الوطني، وكذلك في مجال إنهاء الإفلات من العقاب وضمان سيادة القانون في كوت ديفوار.	4
وبحسب أقواله، فإنه كان في مكتبه عندما تم إبلاغه بالانفجار.	1
وتؤكد حكومة العراق أنها تفي بالتزاماتها بموجب قرارات مجلس الأمن التابع للأمم المتحدة وتنتهج سياسات التعايش السلمي مع جيرانها بما يؤدي إلى تعزيز الأمن والاستقرار في المنطقة. وتتطلع حكومة العراق إلى اعتراف مجلس الأمن التابع للأمم المتحدة بأن تطورات إيجابية كبرى قد حدثت في العراق؛ وأن الوضع في العراق يختلف اختلافاً جوهرياً عن الوضع السائد وقت اعتماد قرار مجلس الأمن التابع للأمم المتحدة رقم 661 (1990)؛ وأن الوقت قد حان لكي يستعيد العراق مكانته القانونية والدولية التي كانت سائدة قبل اعتماد مجلس الأمن لذلك القرار والعقوبات اللاحقة التي فرضت عليه بموجب الفصل السابع من ميثاق الأمم المتحدة.	4
'5` تشجيع جميع الدول، بموجب الفقرة 8 من القرار 1977 (2011)، على القيام، على أساس طوعي، بإعداد خطط عمل وطنية للتنفيذ، بمساعدة اللجنة المنشأة عملا بالقرار 1540 (2004)، حسب الاقتضاء، وتحديد أولوياتها وخطط تنفيذ الأحكام الرئيسية للقرار 1540 (2004)، وتقديم تلك الخطط إلى اللجنة؛	2
وأشاروا أيضًا إلى أن زيادة توافر المعلومات حول الآثار الضارة للقرصنة قد أدى إلى تغييرات إيجابية في النقاط الساخنة السابقة للقرصنة.	4
واعتمد المجلس أيضا بيانا رئاسيا (S/PRST/2011/17)، أكد فيه ضرورة تحسين الاتصالات بين المجلس والبلدان المساهمة بقوات عسكرية وأفراد شرطة والأمانة العامة للأمم المتحدة وأصحاب المصلحة الآخرين من أجل تعزيز روح التعاون. الشراكة والتعاون والثقة المتبادلة ولضمان استفادة المجلس من آراء العاملين في الميدان عند اتخاذ قراراته بشأن ولايات حفظ السلام.	2
ولم تتمكن اللجنة من تأكيد ادعاء الحكومة بأن الجنود والمدنيين المصابين قتلوا داخل مبنى المستشفى.	3
إن قرار مجلس الأمن 1373 (2001)، الذي اتخذ في أعقاب الهجمات الشنيعة التي وقعت في الولايات المتحدة في 11 أيلول/سبتمبر 2001، يشكل علامة بارزة في الجهود المبذولة على مستوى الأمم المتحدة.	2
والعنصر الذاتي المطلوب (الوعي بالطبيعة المنهجية للتشريد القسري) سيكون متأصلا في حقيقة أن هذا النزوح يرقى بوضوح إلى سياسة حكومية تنتهجها باستمرار السلطات الحكومية المعنية والجنجويد.	1
87 - وقد أدت هذه السيطرة المرقعة على البيئة البحرية الصومالية إلى خلق أو تعزيز ثلاثة مصادر دخل كبيرة للإدارات المحلية: (أ) تصدير كميات تجارية كبيرة من الفحم من الصومال، من بين سلع أخرى، (ب) الوصول الأجنبي غير المقيد إلى البحرية الصومالية. الموارد ومصائد الأسماك من قبل سفن الصيد الأجنبية و (ج) القرصنة واسعة النطاق. فحم	1
بناء على تعليمات قاضي التحقيق الأول لدى المحكمة العسكرية، وبموافقة المدير العام لقوى الأمن الداخلي، تم نقل سيارات موكب الحريري إلى ثكنة الحلو، بعد تصويرها في مكانها وبالفيديو وتم التسجيل بحضور قائد أمانة بيروت الإقليمية الثانية وآمر فرقة مرور بيروت الثانية وآمر مفرزة البرج وفرقة من المباحث الجنائية، وباستخدام الأضواء التي وفرها الدفاع المدني وذلك بموجب البلاغ رقم ​​144/302 المؤرخ في 14 شباط/فبراير 2005.	2
"ويشير مجلس الأمن إلى قراريه 1265 (1999) المؤرخ 17 أيلول/سبتمبر 1999 و 1296 (2000) المؤرخ 19 نيسان/أبريل 2000 بشأن حماية المدنيين في الصراعات المسلحة، فضلا عن البيانات التي أدلى بها رئيسه في 12 شباط/فبراير 1999 (S/PRST/ 1999/6) المؤرخ 15 آذار/مارس 2002 (S/PRST/2002/6) والمؤرخ 20 كانون الأول/ديسمبر 2002 (S/PRST/2002/41)، ويؤكد من جديد ضرورة الحفاظ على حماية المدنيين في الصراعات المسلحة كبند هام على جدول أعمال المجلس.	4
ودعا أعضاء المجلس إلى تسوية سلمية للصراع في المنطقة وأدانوا دعم الجماعات المسلحة والإرهابية. آسيا	3
375. يحظر عدد من الصكوك الدولية لحقوق الإنسان استخدام التعذيب.	2
19 - وعلاوة على ذلك، كان من الممكن أن تستفيد بعثة تقصي الحقائق ومهمتها المتمثلة في تحديد هوية مرتكبي الجرائم من مساعدة عدد كبير من المحققين والمحامين والمحللين العسكريين وخبراء الطب الشرعي.	2
ويطلب المجلس من بعثة منظمة الأمم المتحدة في جمهورية الكونغو الديمقراطية أن تواصل رصد التقارير المتعلقة بأعمال العنف خارج نطاق القانون وأن تقدم تقريرا إلى المجلس.	4
على سبيل المثال، كان عدد كبير منها يتعلق بالوفاة، والتعذيب، والإصابات الشخصية، والألم والكروب النفسيين، وأخذ الرهائن، وفقدان الممتلكات العقارية والشخصية وإلحاق الضرر بها.	1
وبحلول كانون الأول/ديسمبر، سيتم استبدال مكتب معالجة الاستغلال والانتهاك الجنسيين بوحدة السلوك والانضباط التي تتعامل مع الاستغلال والانتهاك الجنسيين وأشكال سوء السلوك الأخرى.	2
ودخلت المعاهدة التي أنشأت المحكمة، نظام روما الأساسي، حيز التنفيذ في 1 يوليو 2002.	2
وقامت البعثة بتقييم مدى الاستعداد المؤسسي والتقني والأمني ​​والقانوني والسياسي للانتخابات. وحددت مجالات الدعم ودعت إلى تعزيز مشاركة النساء والشباب وتحسين الشفافية المؤسسية وآليات منع الصراعات السياسية والانتخابية.	4
وفي بيان رئاسي (S/PRST/2004/15) اعتمد في 14 أيار/مايو، أعرب المجلس عن قلقه البالغ إزاء التقارير التي تفيد بقيام عناصر من الجيش الرواندي بتوغل في جمهورية الكونغو الديمقراطية، والتقارير التي تفيد بتزايد النشاط العسكري لعناصر من الجيش الرواندي. القوات الديمقراطية لتحرير رواندا في الجزء الشرقي من جمهورية الكونغو الديمقراطية والتوغلات التي تقوم بها داخل أراضي رواندا.	1
سعى المدعون العامون الهولنديون بعد ذلك إلى حظر المؤسسة وحلها والإفراج عن أي رصيد دائن في الحساب المصرفي للمنظمة إلى الدولة، لكن المحكمة قضت بأن الحكومة لم تثبت أن فرع مؤسسة الحرمين في هولندا، منفصل ومنفصل عن المنظمة الدولية، كان يدعم الإرهاب. وقال ممثلو الادعاء الهولنديون إنهم يعتزمون استئناف حكم المحكمة، وكذلك الحصول على مزيد من المعلومات حول مؤسسة الحرمين والعقيل من الولايات المتحدة.	3
ويتعين على الدول التأكد من أن تشريعاتها وتوجيهاتها تتسم بالمرونة والقوة الكافية لتغطية التهديدات الجديدة والحفاظ على وظيفتها الوقائية.	2
o في 29 تشرين الثاني/نوفمبر 2014، أسقطت طائرات الهليكوبتر التابعة للنظام برميلين متفجرين على عيادة في قرية كفرسجنة بإدلب، مما أدى إلى تدميرها جزئيا.	1
ففي إيطاليا، على سبيل المثال، تتألف الوحدة السياسية العسكرية التي أنشأها مكتب رئيس الوزراء من كبار ممثلي جميع الإدارات والوكالات الحكومية المسؤولة عن مكافحة الإرهاب، وتتولى مهام واسعة وشاملة.	2
"ويرحب مجلس الأمن بحقيقة أن التدابير الفعالة لمكافحة القرصنة من خلال زيادة المبادرات الوطنية والثنائية والمتعددة الأطراف فضلاً عن آليات التعاون الإقليمية أدت إلى انخفاض كبير في عدد الهجمات الناجحة المتعلقة بالقرصنة في مناطق مختلفة، ويعترف بالحاجة إلى مواصلة الجهود في إطار هذه التدابير لمكافحة القرصنة لأن هذه المكاسب قابلة للتراجع ما دامت الظروف على الشاطئ مواتية لنشاط القراصنة في البحر.	2
ومن الجدير بالذكر أن الحركتين لم تناقشا قضيتهما من وجهة نظر قبلية، بل تحدثتا نيابة عن جميع سكان دارفور، ووجهتا هجماتهما بشكل رئيسي على المنشآت الحكومية.	1
... مع الإشارة إلى أهمية إجراء مراجعات مستمرة للتكتيكات والإجراءات والمراجعات والتحقيقات اللاحقة بالتعاون مع ... الحكومة في الحالات التي وقعت فيها خسائر في صفوف المدنيين وعندما ... تجد الحكومة أن هذه التحقيقات المشتركة مناسبة، كما وكذلك مواصلة التعاون مع [قوات الأمن الوطني] من أجل زيادة إضفاء الطابع المؤسسي على حماية المدنيين، وخاصة النساء والفتيات،	2
يشرفني أن أحيل طيه تقرير لجنة مجلس الأمن المنشأة عملا بالقرار 1267 (1999) بشأن تنظيم القاعدة وحركة الطالبان وما يرتبط بهما من أفراد وكيانات، والذي يتضمن موقف اللجنة من التوصيات الواردة في التقرير السادس للأمم المتحدة. فريق الدعم التحليلي ورصد الجزاءات (S/2007/132، الضميمة) (انظر المرفق).	2
وأكدت أن طائرة هليكوبتر روسية قد أسقطت وأن مجلس التحقيق التابع للأمم المتحدة، الذي كان موجودا في البلاد الأسبوع الماضي، سيقدم تقريرا في أوائل تشرين الثاني/نوفمبر.	1
وواصلت أيضا مشاركتها في الأفرقة العاملة المعنية بمنع الجريمة وساعدت في تأسيس رابطة الشرطة النسائية في المنطقة. وسلمت البعثة إلى وكالات إنفاذ القانون في زوغديدي معدات تبرعت بها حكومة سويسرا، مع حجز كمية مماثلة من المعدات لوكالات إنفاذ القانون في غالي.	2
ومن أجل الحفاظ على سيادة الدول واستقلالها، والحفاظ على الأمن والسلم والاستقرار الدوليين، فإن سورية تدعو الأمم المتحدة وأجهزتها المعنية بمكافحة الإرهاب وتمويله، بما في ذلك مجلس الأمن ولجنته الفرعية المتخصصة، وكذلك مجلس حقوق الإنسان، إلى حرمان الإرهابيين ومن يدعمهم من أي غطاء لممارساتهم التدميرية.	4
وفي هذا الصدد، تم التوصل إلى تفاهم مع الأطراف حول إمكانية مراجعة الاتفاقيات العسكرية من أجل الاستجابة بشكل أفضل للحقائق على الأرض.	4
:: استخدام الصندوق الاستئماني لأنشطة نزع السلاح على الصعيدين العالمي والإقليمي للمضي قدماً في المشاريع والأنشطة على الفور	2
66 - وفي محاولة لمواجهة تزايد الجرائم المرتكبة في البحر، تعمل المنظمة البحرية لغرب ووسط أفريقيا، بمساعدة المنظمة البحرية الدولية، على تعزيز التعاون بين وكالات إنفاذ القانون من خلال إنشاء شبكة من وحدات خفر السواحل.	2
في بعض الحالات، ورد أن النساء تعرضن للاغتصاب علنًا، وفي بعض الحالات، تعرضت النساء لمزيد من التوبيخ وأطلق عليهن لقب "العبيد" أو تورابورا.	1
وفي مختلف أنحاء كوسوفو، تم نقل المسؤولية عن عملياتها إلى دائرة شرطة كوسوفو، مع قيام الشرطة الدولية بدور المراقبة.	2
وفي الآونة الأخيرة، في يوليو/تموز 2014، شنت بوكو حرام غارة عبر الحدود على الكاميرون، مما أدى إلى اختطاف زوجة نائب رئيس الوزراء، أمادو علي، ومقتل ثلاثة آخرين.	1
25 - تهيب بجميع الدول أن تدير استخدام اليورانيوم العالي التخصيب للأغراض المدنية وأن تخفضه إلى أقصى حد ممكن تقنيا واقتصاديا، بما في ذلك عن طريق العمل على تحويل مفاعلات البحوث وعمليات إنتاج النظائر المشعة إلى استخدام وقود اليورانيوم المنخفض التخصيب والأهداف؛	4
ومع ذلك، اعتمدت دول منطقة البحر الكاريبي المعاهدة الكاريبية بشأن المساعدة القانونية المتبادلة في المسائل الجنائية الخطيرة (بما في ذلك الجرائم المتعلقة بالإرهاب وتمويل الإرهاب وغسل الأموال والاتجار بالمخدرات).	2
ولا يمكن للجنة أن تتفق مع موقف الحكومة بأن الإحصاءات التي تمثل عمل اللجان تشير إلى معدل وقوع جريمة الاغتصاب أقل بكثير مما أفادت به مصادر مثل الأمم المتحدة والاتحاد الأفريقي ومنظمات وطنية ودولية أخرى.	3
ولا تنفذ أي دولة تدابير كافية لحماية المنظمات غير الربحية من تمويل الإرهاب.	3
قام القائد دا كروز بنزع سلاح الأعضاء الشرقيين في UPF لإتاحة هذه الأسلحة.	2
في أكتوبر 1980، قامت القوات المسلحة لكوت ديفوار بوضع ست طائرات هجومية وتدريبية خفيفة من طراز Dassault/Dornier Alpha Jet CI في الخدمة.	1
90 - تؤكد الفقرة 4 من القرار 1624 (2005) أنه "يجب على الدول أن تكفل امتثال أي تدابير تتخذها لتنفيذ الفقرات 1 و 2 و 3 من هذا القرار لجميع التزاماتها بموجب القانون الدولي، ولا سيما القانون الدولي لحقوق الإنسان، وقانون اللاجئين". والقانون الإنساني".	4
ولذلك، أصبح السجل أداة ذات صلة مباشرة بالعمل الذي يقوم به مجلس الأمن والجمعية العامة بشأن الأسلحة الصغيرة والأسلحة الخفيفة.	2
ومع ذلك، فإن أي تغييرات في الاتفاقات يجب أن تكون مقبولة من الطرفين وأن تظل متسقة مع المبدأ القائل بأن القوات العسكرية يجب أن تحافظ على الوضع الراهن أثناء وقف إطلاق النار وأنه ينبغي السماح للمراقبين العسكريين التابعين للبعثة بممارسة حرية الحركة الكاملة، وفقا لعمليات حفظ السلام الأساسية. مبادئ.	4
أسلحة نارية محلية الصنع. قنابل المولوتوف. صواريخ مرتجلة مصنوعة في ورش المعادن.	1
وفي تعليق حظي بتغطية إعلامية واسعة موجه إلى مواطني كلبس، وهي بلدة فشل المتمردون في اجتياحها في ديسمبر/كانون الأول 2003، قال الرئيس: "أولويتنا من الآن فصاعدا هي القضاء على التمرد، وأي عنصر خارج عن القانون هو هدفنا... سنستخدم الجيش والشرطة والمجاهدين والفرسان للتخلص من التمرد». وقال وزير العدل للوفد المخصص للجنة التنمية والتعاون التابعة للبرلمان الأوروبي خلال زيارته في فبراير/شباط 2004 إن "الحكومة أقامت نوعا من العلاقة مع الجنجويد.	1
ويتعرض الأشخاص الذين يُعادون قسراً من الصين عادة إلى التعذيب والاحتجاز التعسفي والإعدام بإجراءات موجزة والإجهاض القسري وغيره من أشكال العنف الجنسي.	1
التعاون في تطوير وتنفيذ سياسة فيروس نقص المناعة البشرية/الإيدز التي تراعي الفوارق بين الجنسين في مجالات مثل التدريب، ومدونات قواعد السلوك، واختبار فيروس نقص المناعة البشرية، والتعاون المدني والعسكري، ومعلومات الموارد ومواد أفضل الممارسات؛ دمج سياسة فيروس نقص المناعة البشرية/الإيدز داخل إدارة عمليات حفظ السلام وتعزيز قدرات عمليات حفظ السلام (بما في ذلك قوات حفظ السلام المستقبلية) لمعالجة فيروس نقص المناعة البشرية/الإيدز.	2
ويدعو الاتحاد الأوروبي الآن حكومة الوحدة الوطنية إلى المضي قدماً بسرعة في الجوانب الأخرى من تنفيذ اتفاق السلام الشامل، بما في ذلك كخطوة أولى إنشاء لجنة التقييم والتقويم لرصد التقدم المحرز في هذه المسألة.	2
إن درجة الضرر الناجم عن الشظايا المعدنية التي أظهرتها لنا الشرطة (والتي قيل إنها جاءت من سيارة ميتسوبيشي كانتر) تتوافق مع الشظايا التي كنا نتوقعها لو كانت مثل هذه السيارة موجودة في وسط الانفجار.	1
ومالي والنيجر عضوان في مركز الاستخبارات المشترك دون الإقليمي المنشأ حديثا في تمنراست بالجزائر.	2
:: دعا بعض أعضاء مجلس الأمن الدول الأعضاء التي لم تصبح بعد أطرافا في الاتفاقيات والبروتوكولات التي تم التفاوض بشأنها تحت رعاية الأمم المتحدة فيما يتعلق بمكافحة الإرهاب إلى أن تفعل ذلك.	4
40 - وواصل مكتب الأمم المتحدة المعني بالمخدرات والجريمة تقديم المساعدة التقنية في مجال مكافحة الإرهاب إلى بلدان شرق أفريقيا. على سبيل المثال، وبالتشاور الوثيق مع السلطات الوطنية في جيبوتي وإثيوبيا وكينيا والصومال، وضعت برامج مساعدة طويلة الأجل خاصة بكل بلد لتعزيز استجاباتها في مجال العدالة الجنائية للإرهاب وفقا لسيادة القانون ومع الاحترام الواجب لحقوق الإنسان. حقوق.	2
ويحث المجتمع الدولي على ضمان التمويل الكافي وفي الوقت المناسب لتلبية الاحتياجات الإنسانية في مختلف الأزمات، وذلك لتوفير المساعدة الإنسانية الكافية للتخفيف من معاناة السكان المدنيين، ولا سيما أولئك الذين يعيشون في المناطق المتضررة من الصراع المسلح أو الخارجة من حالة الصراع.	4
ومع ذلك، يمكن تحسين فعالية الضوابط بشكل كبير من خلال زيادة دوريات الشرطة والحصول على معدات الكشف، لا سيما في ضوء الحدود التي يسهل اختراقها في المنطقة دون الإقليمية.	1
وإذ يؤكد أن القانون الدولي يحظر الهجمات الموجهة عن علم وقصد ضد الأفراد المشاركين في مهمة المساعدة الإنسانية أو حفظ السلام التي يتم تنفيذها وفقاً لميثاق الأمم المتحدة والتي تشكل في حالات النزاعات المسلحة جرائم حرب، وإذ يذكّر بضرورة قيام الدول بإنهاء الإفلات من العقاب على مثل هذه الأعمال الإجرامية.	1
وقد قدمت اللجنة سلسلة من التوصيات لاتخاذ خطوات فورية لوضع حد لانتهاكات حقوق الإنسان ومعالجة الشواغل المتعلقة بحقوق الإنسان التي أثارتها اللجنة، بما في ذلك توصيات محددة موجهة إلى مجلس الأمن، والتي تستحق اهتمام المجلس ونظره.	2
وفي صباح يوم 11 يوليو/تموز، اقتحم مسلحون مجهولون منزل عبد القادر يحيى، وهو ناشط سلام بارز وعضو بارز في مركز البحوث والحوار، وقاموا باغتياله.	1
7 - يعرب عن تصميمه القوي على النظر في إدراج الأفراد والجماعات والمؤسسات والكيانات المرتبطة بتنظيم القاعدة، عملا بالقرار 2161 (2014)، والذين يقومون بتمويلهم أو تسليحهم أو التخطيط لهم أو تجنيدهم، أو دعم أعمالهم أو أنشطتهم بطريقة أخرى، بما في ذلك من خلال تقنيات المعلومات والاتصالات، مثل الإنترنت، أو وسائل التواصل الاجتماعي، أو أي وسيلة أخرى؛	1
وتظهر الهجمات في أفغانستان بشكل متزايد تأثير أساليب تنظيم القاعدة في العراق، حيث أصبحت التفجيرات الانتحارية وقطع الرؤوس أكثر شيوعا، وتظهر الأدلة على شاشات التلفزيون.	1
ويؤكد دور الهيئة العليا لوسائط الإعلام، واللجنة الدولية للشخصيات البارزة، واللجنة الدولية لدعم العملية الانتقالية في تعزيز حسن سير العملية الانتخابية وتهيئة مناخ سياسي هادئ، ويؤكد من جديد دعمه لها.	2
45 - وبالإضافة إلى ذلك، وثقت البعثة مقتل أطفال في سيتي سولاي وغيرها من المناطق الفقيرة أثناء تبادل إطلاق النار بين العصابات والشرطة الوطنية الهايتية، واستمرار استخدام العنف الجنسي ضد الأطفال.	1
13 - يحث الدول الأعضاء على تعزيز الوعي بقائمة الجزاءات المفروضة على تنظيم القاعدة على أوسع نطاق ممكن، بما في ذلك بين الوكالات المحلية المعنية والقطاع الخاص وعامة الجمهور لضمان التنفيذ الفعال للتدابير الواردة في الفقرة 1؛ ويشجع الدول الأعضاء على حث شركاتها وممتلكاتها وغيرها من السجلات العامة والخاصة ذات الصلة على فحص قواعد بياناتها المتاحة بانتظام، بما في ذلك، على سبيل المثال لا الحصر، تلك التي تحتوي على معلومات قانونية و/أو معلومات عن المستفيد الحقيقي، ومقارنتها بقائمة الجزاءات المفروضة على تنظيم القاعدة؛	4
ومن أجل تنفيذ برنامج العمل التاسع بكفاءة أكبر، وتوجيه عمل الخبراء بصورة أكثر وضوحاً وفعالية، ستدير اللجنة نظاماً من مجموعات العمل، مفتوحاً أمام جميع أعضاء اللجنة المنشأة عملاً بالقرار 1540 (2004). وستركز مجموعات العمل على القضايا المهمة والمتكررة.	4
