ar_en_DEEP	QuadClass
âThe Security Council expresses its readiness to consider the specific recommendations made by its Working Group on Children and Armed Conflict relating to violations and abuse committed against children by parties listed in the annexes to the Secretary-Generalâs report, wherever they occur, with a view to taking action thereon, without prejudicing or by implication That the Security Council will take a decision whether or not to include an issue on its agenda.	4
''The Security Council calls on the two parties to refrain from the use of force, settle their differences by peaceful means, normalize their relations, enhance stability between them, and lay the foundations for lasting peace in the region.	4
One of the fundamental issues of which both sides are aware relates to the removal of the names of Taliban members from the consolidated list established pursuant to resolutions 1267 (1999) and 1333 (2000), an issue solely controlled by the Committee.	4
Government forces were reported to have often committed acts of unjustified destruction that went beyond any military necessity.	1
33. Of the 203 persons associated with Al-Qaida on the consolidated list at the end of January 2006, at least 111 had been arrested, convicted or charged with criminal offences, most of them for serious and/or violent crimes ranging from murder to participation in acts of terrorism. Terrorist attacks, such as the 1998 embassy bombing in East Africa, the September 11, 2001 attacks in the United States, and the 2002 bombings in Bali.	1
6. I noted in paragraph 19 of my report of 30 August 2004 (S/2004/703) that âthe process of disarmament of PDF personnel has begun, with the second Joint Verification Mission attending a ceremony for the disarmament of approximately 300 soldiers in West Darfur.â ".	1
But despite this increased presence, the hazelnut harvest season led to a sudden spike in criminal activity, including three shootings, one of which was fatal, four kidnappings and forty armed robberies.	1
19 - Extremist groups also targeted civilian contractors working for MINUSMA. On October 12, armed elements stopped a contract rental truck and destroyed clearly marked goods, leaving its driver unharmed. On 6 November, a civilian contractor's truck collided with an explosive device 40 kilometers south of Almostrat (Gao province), injuring three people. On 8 November, armed elements stopped two civilian trucks rented for MINUSCA, robbed their drivers, and threatened to burn the trucks if the drivers continued to work for MINUSCA.	1
During the meeting with the investigating judge, he was asked to assist in filming the film documenting the transport of the convoy vehicles on 14 February 2005, but there was no further reference to the transport of the convoy vehicles from the crime scene.	4
(g) Persons or entities who support illegal armed groups in the eastern part of the Democratic Republic of the Congo through illicit trade in natural resources;	1
32 - Requests the Secretary-General to include in his reports to the Council on the situation in specific countries more comprehensive and detailed information on the protection of civilians in armed conflict, including on protection-related incidents and actions taken by parties to the conflict to implement their obligations to respect and protect civilian populations, and to It includes information specifically relating to the protection needs of refugees, internally displaced persons, women, children and other vulnerable groups;	2
Develop and implement a gender policy statement, a comprehensive gender policy and a department-wide action plan to mainstream gender into activities, setting out objectives, activities, indicators and time frames for each functional area; and developing training tools and guidelines.	2
57. The reality remains, however, that the financing of terrorist acts does not follow any clear pattern, especially with regard to local cells that raise funds to support their own activities.	1
Expert meeting on the Biological Weapons Convention	1
However, the Office believes that we should not wait for the court to conclude its judicial proceedings before victims of crimes whose perpetrators are on trial can obtain assistance.	4
The Security Council once again expresses its full support for the multinational force of the Central African Economic and Monetary Community and calls for the continued restructuring of the defence and security forces of the Central African Republic.	4
3 - The complexities facing conflict prevention and settlement	1
59 - All countries have policies to combat terrorism, and most of these policies demonstrate their awareness of the existence of Al-Qaeda and the Taliban, although it is possible that the interest of many countries is not primarily focused on the unified list.	2
In May 2000, Turabi led a split from the National Congress that resulted in the creation of a new party called the Popular Congress.	2
160. The Minister of the Interior, as stated in paragraphs 89 to 94 above, armed civilians, some of whom were later alleged to have unlawfully participated in the commission of criminal acts.	1
This may also lead to strengthening regional cooperation in the field of combating terrorism.	4
The amendment to Law No. 61/1996 (Law No. 284/2004 of April 8, 2004, effective from September 1, 2004 - the new law on money laundering) stipulates that the Financial Analysis Unit can exchange information with foreign authorities having the same powers, Within the scope of what is determined by international treaties or on the basis of reciprocity.	4
Thematic meeting held by the Security Council on combating terrorism	4
According to a senior commander of the armed forces, border intelligence soldiers are recruited directly into the army in the same way as regular soldiers.	1
61. Protecting civilians in eastern Chad involves more than ensuring physical security for refugees, displaced persons and humanitarian workers, and providing logistical support and hard-walled structures for the Integrated Security Detachment.	2
Briefly, rape is any physical assault of a sexual nature committed without the victimâs consent, that is, by the use of force or coercion, such as what occurs as a result of fear of violence, coercion, imprisonment, or exploitation of coercive circumstances ().	1
The Committee notes with concern the irregular arms possession procedures that have been in effect among the Timorese National Defense Forces for several years.	3
Mr. Bralo, who was indicted by the International Criminal Tribunal for the former Yugoslavia for war crimes, surrendered himself on 10 November and was transferred to The Hague on 11 November 2004.	2
A total of 179 National Police personnel (including 59 women) and 93 UNMIK police officers (including 12 women) benefited from the training courses.	1
Investigations conducted by the Mission and the Haitian National Police into the kidnapping and subsequent murder indicated that the crime was politically motivated, but they could not conclusively establish responsibility.	1
âThe Security Council notes that the arrest warrants issued by the International Criminal Court for Joseph Kony, Okot Odhiambo and Dominic Ongwen, on charges including, inter alia, war crimes and crimes against humanity, including murder, rape and child recruitment through kidnapping, and calls on all countries to cooperate with the Ugandan authorities and the International Criminal Court to implement these orders and bring those responsible for committing these atrocities to justice.	1
Given the time they had already spent in prison, the two officers were released in the first week of March. On 8 March 2008, Mr. Abdelaziz wrote to me to protest, saying that the early release of the two officers was a âchance of impunityâ offered by the Moroccan authorities in exchange for the actions of the two officers.	1
In most cases, only victims who are represented by lawyers receive a satisfactory amount of compensation.	2
They should include, at a minimum, the mission's senior leadership defining its understanding of the protection of civilians and the detailed roles and responsibilities undertaken within the mission when undertaking these activities, to deal with both persistent low-level threats and potential crises.	2
He also reported that the United Nations Disengagement Observer Force continued to monitor the violent clashes that broke out between the Syrian armed forces and armed opposition elements, as well as air strikes launched by the Syrian armed forces, within the buffer zone and the arms control zone.	1
Prime Minister Siniora informed me, in particular, that the provision contained in the resolution relating to the disarmament and dissolution of militias is the subject of an internal dialogue that he has recently begun and is keen to ensure its success.	4
Meetings will also be organized with the Analytical Support and Sanctions Monitoring Team and experts of the Security Council Committee established pursuant to resolution 1540 (2004) in order to discuss issues of common concern and ensure appropriate coordination in our work.	4
It should be taken into account that the provision of capabilities such as better information, rapid response capabilities and critical enablers, while providing better protection of civilians, often has significant resource and field support implications or may require a broader range of troop- and police-contributing countries .	2
The government has cooperated in programs aimed at training police officers in the field of human rights law, but there are few indications of its success in making them responsible for implementing that law.	2
They were all armed and were all pointing their rifles at us.	1
13 - Emphasizes the need to ensure that all international efforts are mobilized to strengthen the International Support Mission and to mobilize all necessary resources to enable it to carry out its mandate effectively, and to pave the way for the possible deployment of another United Nations peacekeeping operation in a manner consistent with the relevant provisions of resolution 2127 (2013).	4
This system was amended in resolutions 1333 (2000) and 1390 (2002) to impose three targeted measures (assets freeze, travel ban and arms embargo) against individuals and entities linked to the Taliban and Al-Qaeda. There are exceptions available to the asset freeze and travel ban. On 17 June 2011, the Security Council unanimously adopted resolutions 1988 (2011) and 1989 (2011), by which the regime was divided into two parts, creating a committee on Al-Qaida and another committee on the Taliban.	1
60 - In its resolution 1783 (2007), the Security Council requested the Secretary-General to continue to take the necessary measures to ensure full compliance within the Mission with the United Nations zero-tolerance policy on sexual exploitation and abuse.	4
24. Furthermore, the Group proposes that the Committee examine the merits of conditional or temporary delisting, such that the Committee could either allow specific Taliban individuals on the list to be exempted for an extended period, or even suspend sanctions entirely, with certain preconditions, for the duration For which it has received, over a specified period, regular assurances that the inclusion of the names of such persons on the list is no longer appropriate.	4
2 - A diagram showing the Bay of La Union and the Island of Conejo, which is an annex to the GoascorÃ¡n Strip, which was confirmed as being under Honduras' sovereignty by the International Court of Justice's ruling of 11 September 1992, which was again confirmed by the ruling of 18 December 2003, which ruled that the petition for reconsideration submitted by El Salvador regarding the GoascorÃ¡n Strip was inadmissible.	3
Deepening refugee womenâs awareness of their rights and the legal options available to them, and supporting those rights and options.	4
The Security Council expresses its strong condemnation of this attempt to destabilize Lebanese institutions, in this particular case the Lebanese Armed Forces.	3
Safe, voluntary and dignified return and reintegration Calls upon all parties concerned to ensure that in all peace processes, peace agreements, conflict recovery and reconstruction planning processes, the special needs of women and children are taken into account and specific measures to protect civilians are included, including... (iii) Creating conditions Conducive to the voluntary and sustainable return of refugees and internally displaced persons in a manner that ensures their safety and preserves their dignity.	2
There were reports that during attacks, members of the Janjaweed and government forces routinely raped, burned, beat and stripped women, and verbally abused and humiliated civilians.	1
Police and security services should be authorized to use special investigative techniques - taking due account of human rights considerations - in terrorism investigations and in the collection of evidence for counter-terrorism cases.	2
The police force must be trained in a politically neutral environment, and must appear to be so.	1
Member States should also take steps to detect and track the movements of illicit small arms and light weapons in a timely and reliable manner.	2
In accordance with international jurisprudence, one can also, in case of doubt, determine: (a) whether a group of persons is, in fact, seen and treated as belonging to a protected group, and (b) whether this group sees itself as being covered by one Of these groups ().	2
52. Allegations of rape of minors, including very young girls, remain a matter of serious concern. The Mission has regularly participated in the work of regional committees on sexual violence, as a means of strengthening support for child victims of rape.	1
A senior government official who participated in the recruitment process told the Commission that tribal leaders were receiving donations and gifts for their recruitment efforts and according to the number of people they were able to recruit.	1
In many cases, States lack the necessary resources or are not sufficiently active in conducting patrols, inspections and joint operations with neighboring States, as well as in implementing community activities to maintain order at local levels. Applying these measures along open borders, applying innovative models of cooperation and helping to address these concerns will help control the border more effectively.	2
UNIFEM, UNFPA Strengthen strategies in post-conflict countries to address the gender dimensions of the reconstruction process through assessment and transition mechanisms.	4
:: Relations with other bodies of the United Nations, including the Secretary-General and his office, and other subsidiary bodies of the Security Council working in the field of counter-terrorism.	2
268. It is clear from the Commission's conclusions that the rebels are responsible for attacks on civilians that constitute war crimes.	1
As members of the Security Council know, the situation of the United Nations Mission in Ethiopia and Eritrea has witnessed a serious deterioration.	1
505- Is the crime of genocide more serious than other international crimes? There is widespread agreement that genocide is the most serious international crime.	1
For example, the Commission found that women who went to the market or searched for water in Tarni, North Darfur, were abducted, held for two or three days and raped by members of the military forces around March 2003.	1
This initiative, open to all Member States, aims to promote a measurable reduction in armed violence worldwide and achieve a tangible improvement in human security by 2015.	2
465 - In the joint statement issued by the Government and the United Nations during the visit of the Secretary-General on 3 July 2004, on the situation in Darfur, the Government of Sudan committed to taking concrete measures to end impunity for human rights violations in the region.	4
The Maoist militia carried out a range of actions during the conflict, including mobilization, propaganda, acting as an irregular army, and various forms of âlaw enforcementâ in areas under the control of the Communist Party of Nepal (Maoist). When the Maoist militia was disbanded, many of its members reportedly joined the party's Communist Youth League, an organization re-established in December 2006.	1
- Advise the Government..., as appropriate, on security sector reform and the organization of the future national army, including advice on establishing an effective screening mechanism, in accordance with international standards,	4
While free movement zones, such as ECOWAS, pave the way for growth and economic opportunity, listed individuals can move within these spaces with little or no restrictions, due to the lack of regular checkpoints.	2
Some States, for example, have either extended the periods of permissible detention before investigation or trial or imposed restrictions on access to a lawyer.	1
47. The Government has made several efforts to prevent and control diseases and pests.	2
The Committee duly completed its review before the new deadline.	2
At a time when this danger is increasing, the international community must develop a way to confront and keep pace with it.	3
(1) Any person who seizes control of an aircraft with the intention of hijacking it to a foreign country, or uses, without permission, an aircraft entrusted to him, shall be punished with imprisonment for a period of three to ten years or confiscation of his property.	1
:: Prohibition of arbitrary deprivation of liberty; corporal punishment; collective punishment; The issuance and execution of death sentences without prior trial before an ordinary court constituted in accordance with the law guarantees all the legal guarantees that are generally recognized as inadmissible.	1
According to witnesses, the villagers fled the village heading north towards a forest area located 5 kilometers from the village.	1
For banking institutions, this obligation is also imposed by Decree No. 1 of the Czech National Bank of 8 September 2003.	2
110- Some observers remain unconvinced of the importance of this threat, while others criticize the prioritization of chemical, biological, radiological or nuclear terrorism over other aspects of terrorism or other types of threat.	3
The Group also held discussions with the Group of Experts established to support the Committee established pursuant to resolution 1540 (2004) to ensure appropriate cooperation between the Group's work in the area of ââthe arms embargo and the work of resolution 1540 experts in the area of âânon-proliferation of weapons of mass destruction to non-State parties.	4
The latest available information indicates that 35 internally displaced persons were killed in this incident and 10 injured, and that 4,000 internally displaced persons and villagers were forced to flee.	1
81. The Group believes that there are several potentially effective ways, depending on the circumstances, to prevent misuse of the assets of a suspicious (but non-listed) entity, such as removing individuals suspected of committing abuse, or those on the Consolidated List, from Supervisory or influential positions(); Prohibiting the transfer, sale, or other forms of disposal of their interests, and prohibiting entities from making any transfers of assets belonging to these persons, whether in their capacity as owners or managers.	2
33. On 3 September, the Government of India informed the United Nations of its decision not to renew the contract for the deployment of six Mi-17 helicopters for the Mission beyond 31 October.	1
645. The Commission decided to withhold the names of these individuals from the public domain. This decision was based on three main reasons: (a) the importance of the principles of fair trial and respect for the rights of suspects; (b) the fact that the Commission was not granted investigative or indicting powers; and (c) the vital necessity of ensuring that witnesses are protected from possible harassment or intimidation.	4
9 - Requests the Secretary-General to make the necessary arrangements to support the work of the monitoring mechanism at the expense of the Organization and by establishing a United Nations trust fund to be established for this purpose, confirms that this trust fund will be established by the Secretary-General, and encourages States to make voluntary contributions to the fund and contribute to the monitoring mechanism, Through the Secretary-General, personnel, equipment and services, and further requests the Secretary-General to keep the Committee established pursuant to resolution 1267 (1999) informed, on a regular basis, of the financial arrangements supporting these mechanisms;	4
Promote gender issues and awareness at the national and local levels through a network of gender focal points in regional and country offices.	2
6 - Further confirms that the requirements in paragraph 1 (a) above also apply to the payment of ransoms to listed individuals, groups, institutions or entities;	2
However, detection and prevention mechanisms are often not implemented at borders due to insufficient application of risk indicators and targeting criteria; Lack of information exchange and lack of cooperation between officials in customs, law enforcement, immigration and financial intelligence units; The lack of human and material resources dedicated to this purpose.	3
34. Despite continued United Nations advocacy activities, nine children remain in detention in detention centers in Bamako for their alleged association with armed groups in Mali, in violation of the Protocol on the Release, Reunification and Reintegration of Children Associated with Armed Forces and Groups in Mali, which Signed by the government in July 2013.	1
The Council also decided to review, within three and six months, whether field conditions would allow for a reduction in the number of peacekeepers to 6,000 personnel.	2
Biological risk management and Security Council resolution 1540 (2004)	2
It is difficult to determine measures of its success, and the ability of the groups it targets to withstand and recover raises questions about its impact and highlights its weaknesses.	3
Therefore, I urge you to work towards implementing Chapter VII of the United Nations Charter in accordance with the Algiers Agreement, which was blessed with your signature, because Ethiopia has a hard-line position that it has been adhering to for nearly two years now.	4
The Security Council has two main mechanisms for influencing Afghanistan: one in the United Nations Assistance Mission in Afghanistan, charged with promoting national dialogue, and the other in the 1267 Committee, which can largely decide which members of the Taliban could have a role in any future government.	2
Relations between these two parties deteriorated by mid-1975. On August 11, 1975, the Timorese Democratic Union launched a pre-emptive armed attack on the Revolutionary Front for an Independent East Timor. The counter-attack was launched on 20 August 1975. This date is currently celebrated as the founding day of the Armed Forces for the National Liberation of East Timor.	1
We provide basic training (training, for example, in the use of weapons, discipline, etc.), which may take two weeks or so, depending on the individualâs readiness.	1
The victims were buried several days after the attack in the areas surrounding Kalbus.	1
86 - Seven countries have developed strategies to combat terrorism and created the institutions necessary to implement them.	2
7 - KFOR continues operations to prevent ethnic violence and protect heritage sites, and remains vigilant to deter any potential threats against international organizations and military bases.	2
It is impossible in this report to describe all the killing incidents documented by the committee.	1
Cooperation with Malian forces and Operation Barkhane	2
In this context, the Security Council looks forward to the International Summit on the Great Lakes Region, scheduled to be held in Luanda on 31 July, to further review the latest developments in the region, including progress achieved in implementing the peace, security and cooperation framework.	4
Establishment of a gender and development unit at headquarters and a network of gender focal points at country and regional levels.	2
However, after a number of years of war and as a result of strong international pressure, the government and the main rebel movement in the south, the Sudan People's Liberation Movement/Army, entered into peace talks in 2002.	2
The December 12 agreement also provides for the release and repatriation of prisoners of war without delay, as well as all other persons detained as a result of the armed conflict.	2
The project will be implemented by the United Nations Project Service Office and implemented by the municipalities of the Pristina and Ganilani regions.	2
I have the honor to transmit herewith the concept paper relating to the meeting of the Security Council on counter-terrorism on 27 September 2010 (see annex).	4
However, it should be noted that helicopters, along with other units such as the navy, were reportedly widely distributed, while the army was officially supposed to remain the âthird lineâ playing a mainly defensive role, after the police and gendarmerie.	1
Thus, the government moved to the final stage of issuing military guidelines to prevent the use of schools for military purposes. It was in the process of preparing a comprehensive strategy on children and armed conflict for its armed forces.	1
Over time, they will have little influence, but that depends on the success of counter-terrorism and anti-drug efforts in Afghanistan.	1
On 23 August, as part of a briefing by the Department of Political Affairs, the Under-Secretary-General for Political Affairs said that staff of the Office for the Coordination of Humanitarian Affairs were conducting an assessment mission in the Syrian Arab Republic, and referred to the Secretary-Generalâs statement that President al-Assad had not put an end to the use of violence Against civilians despite his pledge to do so.	1
States should ensure that law enforcement agencies manage and implement appropriate counter-terrorism measures and establish dedicated counter-terrorism units in order to utilize the expert capacities within their law enforcement institutions.	4
While some reports indicate that a few incidents of destruction of villages and private property were committed by rebel groups, most reports contain witness statements showing that the majority of villages were destroyed during attacks by the Janjawid, often under the direction of the forces. The armed forces affiliated with the Sudanese government, with its participation and support.	1
The Council urges [the affected State] to continue to provide refuge to all refugees regardless of their origin.	4
As previously discussed, the Commission has collected substantial and reliable material that tends to show widespread systematic killings of civilians belonging to specific tribes, causing serious physical and mental harm to members of the population belonging to certain tribes, and causing severe and deliberate blows to the living conditions of these tribes, thereby causing Their physical destruction, in whole or in part (for example, by systematically destroying their villages and crops, expelling them from their homes, and taking their livestock).	1
During the ensuing closed consultations, Council members stressed the importance of making additional efforts to advance security sector reform and establish democratic and effective national institutions.	4
(a) Requesting the Secretary-General to seek the inclusion of the basic provisions contained in the Convention on the Safety of United Nations and Associated Personnel, and for host countries to include those provisions, including those relating to the prevention of attacks against personnel serving in peacekeeping operations, as crimes punishable by Under the law, and to prosecute and extradite the perpetrators, in future and, if necessary, existing status of forces, status of mission and host country agreements that the United Nations negotiates with those countries, taking into account the importance of concluding those agreements in a timely manner;	2
The Security Council commends the continued efforts of the Contact Group on Piracy off the Coast of Somalia to coordinate international efforts in the various aspects of the fight against piracy.	4
It strongly condemns all acts of sexual and other forms of violence against civilians in armed conflict, in particular against women and children, and pledges to ensure that all peace support operations apply all possible measures to prevent such acts of violence and address their impact wherever they occur.	3
(c) Contact the Government of ... [the affected country], and the Office of the United Nations High Commissioner for Refugees, in support of their efforts to relocate refugee camps close to the border, and provide logistical assistance for that purpose to the Office of the United Nations High Commissioner for Refugees, within the limits of available resources and on Cost recovery basis;	2
Logistical support to the FARDC to carry out joint operations, in accordance with the human rights due diligence policy, was considered essential to carry out effective military operations and maintain the will of the FARDC to fight and cooperate with MONUC.	2
For this reason, it is necessary to establish permanent and comprehensive effective mechanisms for regional cooperation in the areas of law enforcement, border security, mutual legal assistance and extradition.	4
However, the situation on the ground is complex and raises concern, especially for minority communities.	1
Many States do not know exactly what alternative they can provide in place of a death certificate to convince the Committee, and the Group recommends that the Committee provide further guidance on what it requires to consider removing an individual's name from the list as a result of his or her death.	4
On 4 September, the Lord's Resistance Army reportedly launched an attack in the villages of Budo and Nahua in Western Equatoria, killing eight people and kidnapping two children, one of whom later escaped.	1
Accountability, of course, is not limited to ensuring individual criminal responsibility for violations. Rather, it is also related to imposing punishment on anyone who violates the law. administering justice and ensuring reparation; Prevent the recurrence of violations by encouraging changes in laws and policies; Ensuring lasting peace and stability by ensuring, as much as possible, that victims receive redress for the damages they have suffered.	1
78. UNODC and the Organization for Security and Cooperation in Europe jointly organized a regional expert workshop on the implementation of global counter-terrorism legal instruments as a means of enhancing counter-terrorism cooperation in the Mediterranean basin, held in MÃ¡laga, Spain, in September 2013. .	2
âThe Security Council bears in mind the need to continue discussing with international, regional and subregional organizations and arrangements the issue of exchanging experiences and lessons learned in the areas covered by resolution 1540 (2004), and the availability of programs that can facilitate the implementation of the resolution and the areas in which they can provide assistance, by means of Including appointing a focal point or coordinator for the implementation of resolution 1540 (2004).	4
Review and Maintenance of the Consolidated List 25. Recognizes that the ongoing conflict in Afghanistan, and the urgent need felt by the Government of Afghanistan and the international community to find a peaceful political solution to the conflict, requires timely and expeditious amendments to the List, including the addition and deletion of names of individuals and entities, and urges the Committee to decide on Delisting requests in a timely manner, and requests the Committee to review each listing on a regular basis, including, as appropriate, by conducting reviews of individuals considered to have been included in the reconciliation process and individuals whose entries lack identifying elements identity, individuals reported dead, and entities reported or confirmed to no longer exist, requests the Committee to establish guidelines for such reviews, and requests the Monitoring Team to report to the Committee every six months on:	4
The Office will organize a national workshop on international cooperation in criminal matters related to terrorism, transnational organized crime and corruption in Namibia in March 2014.	4
Likewise, the Commission found sufficient evidence that rape and sexual violence continue to be systematically committed against women during their displacement, perpetuating feelings of insecurity among them and fear of leaving internally displaced persons sites.	1
70. Within the framework of the Working Group on Combating the Financing of Terrorism of the Counter-Terrorism Implementation Committee and its global initiative on protecting non-profit organizations from being exploited by terrorism, the Directorate organized a regional workshop for Member States from East Africa, in Nairobi in March. March 2012. The workshop discussed national practices and identified oversight deficiencies in the non-profit sector regarding specific terrorist financing risks.	4
120 - There are still activities that took place on Mina Al-Hosn Street, prior to the explosion, which require further investigation, and which could clarify details from the planning stage, and then lead to the perpetrators.	1
The results of this dialogue will enhance the atmosphere of stability.	4
It also recommends that the Government of Nepal make a clear commitment to the reintegration of children associated with armed forces and groups, and strengthen the legal protection of children by criminalizing their recruitment and prosecuting violators of children's rights.	4
Some Member States reaffirmed the need for stronger coordination among United Nations entities concerned with counter-terrorism.	4
The team emphasized that the immediate task to be performed was to circulate the Doha Document to ensure its acceptance by the population of Darfur as a whole, and to persuade the remaining armed groups to sign it.	4
The Commission notes the emergence of a clear pattern of looting and rape by the Janjawid during the conflict in Darfur, which the individuals identified by the Commission could not have been unaware of.	1
(b) Contribute to the protection of civilians who are at risk of physical violence in areas of its deployment, without prejudice to the responsibility of [the affected State]...	2
Condemning acts of kidnapping and hostage-taking for the purpose of raising funds or obtaining political concessions, and expressing the need to address this matter,	3
Therefore, there is no alternative to centralized command and control of the operations of the armed forces.	1
42. With regard to the international law argument, the Monitoring Group considers that one of the reasons for establishing a review team or other review mechanism is merely to anticipate the law in this area, in order to establish it rather than leaving the matter to national and regional courts or the practices of Member States.	4
19 - From an analysis of the statements made by Al-Qaeda leaders, it becomes clear that their immediate goal is to terrorize the West to expel it from the Middle East and other Muslim countries, and to convince Muslims that their world is under attack.	1
At the end of the fourth round of negotiations in late November, there was no change in the parties' positions on the main issues.	4
Calls upon all parties concerned to ensure that the protection of women and children is addressed in the implementation of the [Political Agreement], as well as during the post-conflict reconstruction and recovery phases, including by continuing to monitor and report on the situation of women and children.	2
The United Kingdom established a Criminal Law Taskforce that trained judges to hear drug cases in Kabul, where 65 cases were brought, resulting in 15 convictions and sentences ranging from 3 to 9 years.	1
While UNAMA and the Independent Electoral Commission have so far relied on civilian observers to resolve conflicts, this mechanism may not be sufficient to address the most serious threats.	3
One of the most notable recent cases is Mali, where the Council did not act upon a request from the Secretary-General to establish a team of experts to investigate the identity and activities of those involved in transnational crime and organized crime in Mali and the subregion, with the possibility of taking targeted punitive measures against them. ).	3
57. Only three years after its establishment, the Integrated Security Detachment Force is still in the formative stage. The detachment has succeeded in proving that it can make a difference in terms of the security of vulnerable populations in the east.	1
38 - The proliferation of weapons outside the authority of the state, coupled with the continued presence of militias possessing large quantities of weapons, constitute a source of great concern to me regarding the stability of Lebanon.	3
11 - Requests the Secretary-General to include in his next report a comprehensive assessment of the Missionâs disarmament, demobilization and reintegration and disarmament, demobilization, reintegration, resettlement and repatriation programmes, and to provide, in close coordination with his Special Envoy to the Great Lakes Region, recommendations on possible adjustments Their introduction is needed to increase their effectiveness, resources and coordination with the military component of the mission;	4
The two vehicles were delivered to Ray Los, along with 31 uniforms of the Timor Leste National Police Reserve Unit, on 23 May. On 24 May, Ray Los and his men, wearing the uniform of the reserve police unit, participated in the attack on patrols of soldiers of the Timorese National Defense Forces.	1
These meetings provide the Committee with valuable information on the implementation of the sanctions regime and on the threat posed by Al-Qaida and its associates, and provide a forum for intelligence and security officials in various countries to engage with each other and with the Group and exchange information.	3
34. On 8 February, 418 petitioners organized a march in front of the presidential palace.	1
He also expressed deep concern at reports that threatening statements and slogans had appeared during recent demonstrations in Abidjan to United Nations and international personnel.	3
The European Union condemns such acts of violence committed by the Maoists, which have caused enormous suffering and hardship to the Nepalese people.	3
Recalling the responsibilities of States to end impunity and prosecute those responsible for genocide, crimes against humanity, war crimes and other heinous crimes against civilians, and noting with concern, in this regard, that only a limited number of perpetrators of acts of sexual violence have been brought to justice At the same time, while recognizing that national justice systems can be significantly weak in conflict and post-conflict situations,	4
This prompted the Security Council to determine, in its resolution 1556 (2004), that the conflict in Sudan constitutes a threat to international peace and security and to the stability of the region, and to request the Government of Sudan, acting under Chapter VII of the Charter of the United Nations, to immediately fulfill all the obligations it has undertaken In the joint statement.	3
Affirming its determination, in accordance with its primary responsibilities and as stipulated in the Charter of the United Nations, to take appropriate and effective measures against any threat to international peace and security caused by the proliferation of nuclear, chemical and biological weapons and their means of delivery,	4
About two kilometers after the checkpoint, approximately 20 soldiers wearing camouflage uniforms approached the group of women in their cars and ordered them to stop, while they fired some gunshots.	1
The Monitoring Group notes, however, that the absence of a stable central government in Somalia and the current high level of risks of large-scale hostilities have seriously hampered any serious capacity-building efforts at the country level and may even be completely stalling for the time being.	3
The mission purchased specialized equipment (armored ambulances, mine-protected vehicles and medical supplies kits); It trained 3,063 military personnel in improvised explosive device prevention and risk mitigation and another 1,481 personnel in first aid, organized orientation activities for the Mission's two explosive ordnance disposal companies, which have limited experience in dealing with asymmetric warfare conditions, and built their capacities Operational (three arms control groups are now able to perform their tasks).	1
Since the categories of international crimes have been included in another part of the report, it is sufficient here to briefly mention the various ways of participating in the commission of international crimes that give rise to individual criminal responsibility.	4
On 24 November, the Council received a 90-day report from the Chair of the Committee established pursuant to resolution 1591 (2005) concerning the Sudan, Ambassador Maria Cristina Perceval (Argentina), who updated the Council on the Committeeâs activities during the reporting period, including It engages with Member States in the region in order to identify information gaps and report on capacity-building needs necessary to strengthen the implementation of sanctions measures.	4
In the majority of countries visited by the Committee, crisis management plans need to be strengthened to ensure the availability of evidence, prevent casualties from any explosions following the main explosion, and ensure appropriate evacuation in the event of a major terrorist attack.	2
We believe that the appointment of a special envoy, whatever the name given to him or the rationale given to him, can only be tantamount to establishing a ânew mechanism.â	4
During the Committee's informal consultations on 22 May, the coordinator of the Monitoring Group made an oral presentation on the current threat posed by Al-Qaida and its associates to international peace and security.	3
Members exchanged general views on a number of issues, namely the situation in the West Bank and Gaza Strip, including the urgent need to rebuild and reform the infrastructure of the Palestinian Authority through strong donor support, the situation across the Blue Line, and various ongoing diplomatic efforts, including Preparing for an international conference on the Middle East.	4
With regard to the Timorese Defense Forces, a decree-law stipulates the structure of the army, but the laws governing military discipline and career path in the army are those of the United Nations Transitional Administration in East Timor.	2
At the same time, the Assistant Secretary-General said that everyone must condemn the inflammatory statements made by armed groups threatening to obstruct voting in the regions of eastern Ukraine and to hold their own elections on 2 November, in violation of the Constitution and national law.	3
24. The Committee will consider information provided by the Executive Directorate regarding its continued attention to resolution 1624 (2005) in the context of its dialogue with Member States; It will work with those Member States, in accordance with their obligations under international law, to develop strategies that include countering incitement to commit terrorist acts motivated by violent extremism and intolerance; and facilitate the provision of technical assistance for the implementation of resolution 1624 (2005).	4
The Analytical Support and Sanctions Monitoring Team established pursuant to Security Council resolution 1526 (2004) and extended by Security Council resolution 1904 (2009) concerning Al-Qaida and the Taliban and associated individuals and entities has the honour to transmit its eleventh report, in accordance with resolution 1904 (2009).	4
The International Cooperation Review Group of the Financial Action Task Force on Money-Laundering reported in June 2009 that six States of the subregion had gaps in the areas of anti-money-laundering and combating the financing of terrorism.	3
13 - The Executive Directorate will continue to strengthen its role in facilitating technical assistance for the implementation of resolution 1373 (2001) in an effort to increase the capabilities of Member States and regions to combat terrorism, by meeting their needs in this field, in close cooperation with the Counter-Terrorism Implementation Task Force Other United Nations bodies and bilateral and multilateral aid donors will continue to adopt a focused and regional approach to this work.	2
