en_ar_DEEPL	QuadClass
42. في شراكة مع المنظمات الوطنية والدولية، أنجزت البعثة المتكاملة 10 مشاريع سريعة الأثر منذ حزيران/يونيه، بما في ذلك إعادة تأهيل وتجهيز مراكز الشرطة والدرك في منطقتي غاو وتمبكتو ودعم الجمعيات النسائية. وفي 13 تشرين الأول/أكتوبر، أطلقت البعثة المتكاملة ومنظمة الأمم المتحدة للتربية والعلم والثقافة (اليونسكو) مشروعاً سريع الأثر لإعادة تأهيل أربع مكتبات خاصة في تمبكتو تحتوي على مخطوطات قديمة.	2
(ج) منع توريد وبيع ونقل الأسلحة وما يتصل بها من أعتدة بجميع أنواعها، بما في ذلك الأسلحة والذخائر، والمركبات والمعدات العسكرية، والمعدات شبه العسكرية، وقطع الغيار اللازمة لما سبق ذكره، والمشورة الفنية أو المساعدة أو التدريب المتصل بالأنشطة العسكرية، إلى هؤلاء الأفراد والجماعات والمؤسسات والكيانات من أراضيها أو من جانب رعاياها خارج أراضيها، أو باستخدام السفن أو الطائرات التي ترفع أعلامها، بشكل مباشر أو غير مباشر، أو باستخدام قطع الغيار اللازمة لما سبق ذكره، أو تقديم المشورة الفنية أو المساعدة أو التدريب المتصل بالأنشطة العسكرية;	2
"ويهيب مجلس الأمن بالأمين العام أن يضاعف جهوده لضمان تعزيز قدرات آلية الرصد والإبلاغ بهدف تنفيذ القرار 1882 (2009) لإتاحة الدعوة الفورية والاستجابة الفعالة لجميع الانتهاكات والاعتداءات المرتكبة ضد الأطفال، وذلك بوسائل منها, من خلال ضمان أن تساعد جميع وكالات الأمم المتحدة ذات الصلة بنشاط في جمع معلومات دقيقة وموضوعية وموثوقة ويمكن التحقق منها عن أعمال الاغتصاب وغيره من أعمال العنف الجنسي المرتكبة ضد الأطفال، وكذلك من خلال ضمان التآزر وتجنب التداخل بين كيانات الأمم المتحدة ذات الصلة، على مستوى المقر وعلى المستوى القطري على النحو المطلوب في القرارين 1882 (2009) و 1888 (2009).	4
فمن جهة، كان هناك من اعتبر أنه من الطبيعي أن يحدد بلد ما شروط المواطنة أو الجنسية، ومن جهة أخرى، كان هناك من استنكر استغلال هذا المفهوم باعتباره أصل الأزمة في كوت ديفوار.	3
إنني أشجع السلطات الكونغولية على محاسبة جميع المسؤولين عن عمليات الاغتصاب والنهب الجماعي في واليكالي في شهري تموز/يوليو وآب/أغسطس 2010.	3
ومع ذلك، لا تزال الدول بحاجة إلى تعزيز برامجها وتعاونها وتنفيذ أحدث الممارسات الدولية الفضلى ومعايير مراقبة الأسلحة.	4
232. ويصل العدد التقديري للسكان المتأثرين بالنزاع في دارفور إلى جانب اللاجئين في تشاد (1.65 مليون نازح داخليا، و 000 627 شخص متأثرين بالنزاع بطريقة أو بأخرى، و 051 203 لاجئ) إلى رقم مذهل يبلغ حوالي 2.5 مليون شخص متأثرين بطريقة أو بأخرى - غالبيتهم العظمى بالنزوح من ديارهم.	1
15. أكمل حلف شمال الأطلسي بنجاح مهمته العسكرية في البوسنة والهرسك في 2 كانون الأول/ديسمبر في احتفال رسمي في معسكر بوتمير في سراييفو.	2
"ويكرر مجلس الأمن دعوته دول المنطقة إلى تعميق تعاونها بهدف وضع حد لأنشطة الجماعات المسلحة غير المشروعة، ويؤكد من جديد أن أي لجوء إلى التهديد باستخدام القوة أو استخدامها ضد السلامة الإقليمية لدولة ما يتعارض مع ميثاق الأمم المتحدة.	4
ويحث مجلس الأمن، في هذا الصدد، السلطات المسؤولة عن الفترة الانتقالية على اتخاذ إجراءات سريعة لمكافحة الإفلات من العقاب بفعالية وتعزيز العدالة من خلال ضمان تقديم الجناة إلى العدالة.	4
وعلاوة على ذلك، فإن التعيين القسري في مكان الإقامة والعمل الذي تحدده الدولة مدفوع بشكل كبير بالتمييز على أساس الأغنية.	1
221. تتعاون دول المنطقة دون الإقليمية تعاونا جيدا مع الشركاء الإقليميين والدوليين للحد من مخاطر الإرهاب ومواطن ضعفها في مواجهة الإرهاب. وهي تتبادل المعلومات الاستخبارية المتعلقة بالتهديدات والتحذيرات، وتتبادل المعلومات العملياتية، وتجري تدريبات مشتركة وتمارين أخرى في سياقات ثنائية ومتعددة الأطراف.	2
وأعربت المفوضة السامية عن قلقها إزاء استمرار الانتهاكات الواسعة النطاق وثقافة الإفلات من العقاب السائدة في جميع أنحاء البلاد، ولا سيما في منطقة الثقة، وتآكل سيادة القانون داخل المناطق التي تسيطر عليها الحكومة والقوات الجديدة.	3
I. شواغل الحماية العامة المتعلقة بالسكان المتضررين من النزاع	3
واتفق أعضاء هذا الوفد مع رئيس الوزراء على "الشروع في تنظيم الوجود الفلسطيني المسلح في المخيمات لضمان الأمن".	4
زعزعت حركة باكاتا كاتانغا الاستقرار في أجزاء كبيرة من المقاطعة منذ عام 2012، عندما بدأ كيونوغو موتانغا جيديون بعد هروبه من السجن، بإجبار السكان المحليين، بمن فيهم الأطفال، على الانضمام إلى صفوفه أو الفرار.	1
وعلاوة على ذلك، تشدد منظمة التعاون الإسلامي على ضرورة أن يضطلع مجلس الأمن بمسؤوليته في صون السلم والأمن الدوليين وأن يعمل على الفور على تنفيذ قراراته ذات الصلة لتعزيز تحقيق تسوية عادلة ودائمة وسلمية لهذا النزاع المأساوي الذي طال أمده، وإعمال حقوق الشعب الفلسطيني غير القابلة للتصرف.	4
وإذا لم تفي البعثات بمسؤولياتها في حماية المدنيين، فإن ذلك يقوض المهام الأخرى التي قد تكون مكلفة بها، ناهيك عن الخسائر في الأرواح والمعاناة التي تترتب على ذلك.	3
التشديد على أهمية إنهاء الإفلات من العقاب على انتهاكات القانون الدولي الإنساني وقانون حقوق الإنسان الساريين، كجزء من نهج شامل للسعي إلى تحقيق السلام المستدام والعدالة والحقيقة والمصالحة الوطنية.	3
وإنني ممتن للغاية لممثلي الخاص بالنيابة، ديفيد غريسلي، ونائب ممثلي الخاص، أرنولد أكودجينو، وكذلك لجميع موظفي الأمم المتحدة المدنيين والنظاميين في مالي، على عملهم الشاق المتواصل في ظروف صعبة للغاية لاستعادة السلام والاستقرار الدائمين في البلاد.	4
ويطلب إلى المديرية التنفيذية، على وجه الخصوص، أن تشجع الدول على وضع استراتيجيات لمكافحة التحريض على الأعمال الإرهابية بدافع التطرف والتعصب.	4
وإذ يشدد على أن الجزاءات أداة هامة بموجب ميثاق الأمم المتحدة في صون السلم والأمن الدوليين واستعادتهما، وإذ يؤكد في هذا الصدد ضرورة التنفيذ الصارم للتدابير الواردة في الفقرة 1 من هذا القرار بوصفها أداة هامة في مكافحة النشاط الإرهابي،	3
وتنص الفقرة 2 من المادة 21 من مرفق قرار مجلس الأمن 1757 (2007) على أنه إذا لم تكتمل أنشطة المحكمة الخاصة بحلول نهاية ولايتها الحالية، "يمدد الاتفاق ...	4
وسيؤكد من جديد على سياسة عدم التسامح المطلق، وضرورة أن تتخذ الدول المساهمة بقوات الإجراءات التأديبية والقضائية اللازمة وضرورة الاهتمام الكامل بالضحايا.	4
ويعتمد نجاح تدابير مكافحة الإرهاب إلى حد كبير على التنسيق الفعال لجهود المجتمع الدولي لقمع مختلف أشكال دعم الإرهاب، وخاصة تمويله.	4
"ويدعو مجلس الأمن الأمين العام إلى أن يواصل إحالة المعلومات والتحليلات ذات الصلة إلى المجلس حيثما رأى أن تلك المعلومات أو التحليلات يمكن أن تسهم في تحسين عمله بشأن حماية المدنيين في النزاعات المسلحة وأن يواصل تضمين تقاريره الخطية المقدمة إلى المجلس عن المسائل المعروضة عليه، حسب الاقتضاء، ملاحظات تتعلق بحماية المدنيين في النزاعات المسلحة.	4
وضع خطة عمل جنسانية للإدارة لإدماج المنظورات الجنسانية في أنشطتها لمنع النزاعات وصنع السلام وبناء السلام.	4
144. ومع اعتراف اللجنة بأن قائد قوات الدفاع كان يواجه إضرابا جماعيا للأفراد وضرورة الحفاظ على انضباط القوة، فإنها تلاحظ وجود تناقضات كبيرة بين الإجراء الذي اتخذه والإجراءات التي يقتضيها القانون. فقد أصدر قائد قوات الدفاع إعلاناً علنياً في 16 مارس/آذار بأن مقدمي الالتماس سيعتبرون مدنيين اعتباراً من 1 مارس/آذار. وكانت قوة الدفاع قد طلبت المشورة القانونية من المستشار القانوني المعين دوليًا لدى مجلس الوزراء. ولم يكن هناك مستشار قانوني داخل القوات المسلحة التيمورية أو الوزارة.	3
(ب) تنفيذ جميع المسائل المعلقة على النحو المشار إليه في الفقرة 12 أعلاه، مع التذكير في هذا الصدد بأن التنفيذ المتزامن لعملية تحديد الهوية وتجميع القوات، على النحو المنصوص عليه في البرنامج الوطني لنزع السلاح والتسريح وإعادة الإدماج والتأهيل الموقع في ياموسوكرو في 14 أيار/مايو 2005، من شأنه أن يعجل بتهيئة الظروف الملائمة لإجراء انتخابات حرة ونزيهة ومفتوحة وشفافة؛	3
كل هذه التطورات كان لها تأثير ضار على التقدم والنتائج المحققة فيما يتعلق بالسلام والأمن والمصالحة والاستقرار بشكل عام.	1
وتؤيد اللجنة أيضا التوصية الداعية إلى توجيه طلبات الحصول على المعلومات بشكل أكثر دقة إلى الدول التي يعمل فيها فرد أو كيان مدرج في القائمة أو يسعى إلى العمل فيها، دون فرض عبء إبلاغ ثقيل للغاية على تلك الدول.	4
"ويسلّم مجلس الأمن بأهمية دور المرأة في منع نشوب النزاعات وتسويتها وفي بناء السلام، ويؤكد على الدور الرئيسي للحكومات الوطنية المتضررة من النزاعات المسلحة في تعزيز مشاركة المرأة في منع نشوب النزاعات وتسويتها وفي بناء السلام في إطار جدول أعمال المرأة والسلام والأمن، بما في ذلك عن طريق التشاور مع المنظمات النسائية المعنية منذ المراحل الأولى للتخطيط وتحديد الأولويات.	4
في الواقع، من المعروف أن استخدام ناقلي الأموال النقدية هو أحد الأساليب الرئيسية المستخدمة لنقل الأموال غير المشروعة وغسل الأموال وتمويل الإرهاب.	1
إنشاء لجنة لتقصي الحقائق والمصالحة في كوت ديفوار، بدعم من الأمم المتحدة، مع مراعاة الدروس المستفادة وأفضل الممارسات التي ظهرت في هذا المجال في السنوات القليلة الماضية;	4
تفويض بعثات حفظ السلام والبعثات الأخرى ذات الصلة التي يأذن بها مجلس الأمن بتعزيز إنشاء آليات لرصد وسائل الإعلام لضمان الرصد الفعال والإبلاغ والتوثيق لأي حوادث ومصادر ومحتويات تحرض على "إعلام الكراهية".	4
ودعا أحد المتحدثين إلى التدقيق عن كثب في عمل الخبراء الذين يساعدون لجان العقوبات من خلال النزول إلى الميدان لفحص الأوضاع على الأرض.	4
يجب على المجتمع الدولي أن يأخذ على عاتقه مسؤولية حماية المدنيين في دارفور وإنهاء حالة الإفلات من العقاب السائدة حالياً هناك.	4
"ويلاحظ مجلس الأمن مع القلق أن التهديدات المذكورة أعلاه قد تهدد أمن البلدان المدرجة في جدول أعماله، بما في ذلك الدول الخارجة من النزاعات، ويشجع على تنسيق إجراءات الأمم المتحدة وكذلك إجراءات الدول الأعضاء في مكافحة هذه التهديدات.	4
أرسل الكولونيل ليري العدائين لإبلاغ الأمر إلى الجنود غير الموجودين على مرمى البصر.	1
وقد لاحظ الفريق أن تنظيم القاعدة وحركة الطالبان والمرتبطين بهما سيستخدمون أي متفجرات متاحة، مثل المتفجرات العسكرية في مناطق النزاع، أو المكونات اللازمة لصنع جهاز متفجر مرتجل، مثل نترات الأمونيوم، في أماكن أخرى (S/2007/132، الفقرة 90).	1
في 10 تشرين الثاني/نوفمبر، استمع المجلس في مشاورات مغلقة إلى إحاطة قدمها نائب الممثل الدائم للكسمبرغ لدى الأمم المتحدة، أوليفييه مايس، نيابة عن رئيس لجنة مجلس الأمن المنشأة عملا بالقرار 1718 (2006)، بشأن جمهورية كوريا الشعبية الديمقراطية، عن أعمال اللجنة للفترة من 5 آب/أغسطس إلى 9 تشرين الثاني/نوفمبر. وقُدمت الإحاطة وفقا للفقرة 12 (ز) من القرار 1718 (2006).	4
ومع ذلك، يبدو أن لجنة الأمم المتحدة للتعويضات مثالاً استثنائياً استطاع فيه جميع أعضاء المجلس التوصل إلى اتفاق، وربما الأهم من ذلك أنه تم إنشاء آلية لضمان توفير الأموال اللازمة لدفع التعويضات نتيجة لقدرة الأمم المتحدة على السيطرة على صادرات العراق النفطية.	2
يحث الأطراف الموقعة على [اتفاق السلام] على العمل من أجل التوصل إلى حل مستدام لعودة النازحين الطوعية وإعادة توطينهم وإعادة إدماجهم وتأمينهم، بما في ذلك معالجة مسائل حيازة الأراضي، بدعم من منظومة الأمم المتحدة، والوفاء في هذا الصدد بالتزاماتها وفقا لـ ... الاتفاق السياسي والتزاماتها بموجب القانون الدولي.	4
بعد أن أجرينا جميع التحليلات والمناقشات للحقائق التي جمعناها، توصلنا إلى استنتاج مفاده أنه على الأرجح كان انفجارًا فوق سطح الأرض.	1
5. يقرر أن تقوم الدول الأعضاء، بما يتسق مع القانون الدولي لحقوق الإنسان والقانون الدولي للاجئين والقانون الإنساني الدولي، بمنع وقمع تجنيد أو تنظيم أو نقل أو تجهيز الأفراد الذين يسافرون إلى دولة غير دول إقامتهم أو جنسيتهم بغرض ارتكاب أعمال إرهابية أو التخطيط أو الإعداد لها أو المشاركة فيها أو توفير أو تلقي التدريب على الأعمال الإرهابية وتمويل سفرهم وأنشطتهم؛	4
وفي آب/أغسطس 2005، قام الفريق، برفقة أفراد من عملية الأمم المتحدة في كوت ديفوار، بزيارة ميناء أبيدجان المستقل ذاتيا، وغراند لاهو، وفريسكو، وساساندرا، ومونوغا، وغراند بيريبي، وميناء سان بيدرو المستقل ذاتيا، وتابو. وتفقد الفريق في جميع هذه المواقع الموانئ والأرصفة، وناقش تنفيذ الحظر مع السلطات والشركات المعنية ومع عملية الأمم المتحدة في كوت ديفوار.	4
وفي هذا الصدد، نطلب من مفوضية الاتحاد الأفريقي، بالتعاون الوثيق مع الجماعة الاقتصادية لدول غرب أفريقيا وبدعم من الشركاء الدوليين، بما في ذلك الأمم المتحدة والاتحاد الأوروبي وأصحاب المصلحة الدوليين الآخرين المعنيين، اتخاذ جميع التدابير اللازمة، بما في ذلك عقد اجتماع في مالي، في موعد أقصاه شباط/فبراير 2015، لوزراء الدفاع والأمن ورؤساء الأركان ورؤساء أجهزة الاستخبارات والأمن في بلدان المنطقة، لإجراء الدراسات اللازمة لإنشاء هذه الآليات.	4
بعد ذلك، داهم الجنود المنازل واعتقلوا الشباب واقتادوهم إلى حافلات عسكرية.	1
دعوة الدول إلى العمل معا على وجه السرعة لمنع وقمع أعمال الإرهاب النووي بما في ذلك من خلال زيادة التعاون والتنفيذ الكامل للاتفاقيات الدولية ذات الصلة، ومن خلال اتخاذ التدابير المناسبة لتعزيز الإطار القانوني القائم بهدف ضمان المساءلة الفعالة لمرتكبي جرائم الإرهاب النووي,	4
كما شدد المجلس على الحاجة الملحة إلى التزام جميع الأطراف بوقف إطلاق النار واتخاذ تدابير فورية لإنهاء العنف، ودعا حكومة السودان إلى احترام التزاماتها لضمان تحييد ميليشيات الجنجويد ونزع سلاحها.	4
ويثني مجلس الأمن في هذا الصدد على الدعم الذي تقدمه البلدان المجاورة للاجئين من جمهورية الكونغو الديمقراطية.	4
أ) إذا تسبب من خلال الفعل الموصوف في الفقرة 1 أعلاه في إلحاق ضرر بدني جسيم بشخصين على الأقل أو في وفاة شخصين، أو	1
أدخلت الإمارات العربية المتحدة والأردن عدداً من التحسينات الهامة على سياسات وبرامج أمن الطيران وتنفيذ الضوابط الأمنية على مستوى المطارات.	2
"ويجدد مجلس الأمن دعوته إلى الدول أن تصبح في أقرب وقت ممكن أطرافا في جميع الاتفاقيات والبروتوكولات الدولية ذات الصلة المتعلقة بالإرهاب وأن تنفذ ما هي طرف فيه منها.	4
"ويدعم مجلس الأمن بقوة الجهود الرامية إلى تعزيز الحوار الوطني والمصالحة والمشاركة السياسية الواسعة لضمان الوحدة والسلام والأمن والاستقرار في العراق.	4
229. توصي اللجنة بإنشاء آليات قوية ومستقلة للرقابة الشرطية والعسكرية.	4
ولم يتم الإبلاغ عن وقوع إصابات، لكن المروحية أصيبت بعدد من الثقوب الناجمة عن طلقات نارية. ومرة أخرى في 31 كانون الثاني/يناير 2005، تعرضت دورية تابعة لبعثة الاتحاد الأفريقي في السودان كانت تحقق في انتهاكات وقف إطلاق النار في منطقة شنقل طوباي لإطلاق النار بالقرب من الحفر التي يبدو أنها تؤكد مزاعم القصف.	1
وتبرر هذا التفسير المبادئ الأساسية للقانون الجنائي الدولي، التي تنص على أن المسؤولية الجنائية الفردية تنشأ عندما يرتكب الشخص جريمة مادية، وكذلك عندما يشارك في أشكال أو طرائق أخرى من السلوك الإجرامي.	1
واقترحوا المزيد من الربط الشبكي أو الربط بين الشبكات القائمة، وشددوا على أهمية الاجتماعات المباشرة وتبادل الأقران. وأوصى المشاركون بالنظر في "عملية فيسبادن" في هذا الصدد.	4
لدى سبع دول بعض التدابير لرصد وتنظيم ومراقبة إنتاج وبيع ونقل الأسلحة والمتفجرات.	2
28. في 28 تشرين الأول/أكتوبر، اجتمعت اللجنة مع مارتن شاينين، المقرر الخاص المعني بتعزيز وحماية حقوق الإنسان والحريات الأساسية في سياق مكافحة الإرهاب. وأطلع السيد شاينين اللجنة على مقترحاته لتحسين نظام الجزاءات، وأعقب ذلك تبادل بناء للآراء بشأن المسائل المتعلقة بعدالة ووضوح إجراءات اللجنة، ولا سيما فيما يتعلق بإدراج الأسماء في القائمة ورفعها منها.	4
زيادة المساءلة عن انتهاكات حقوق الإنسان، بما في ذلك العنف القائم على نوع الجنس؛ تطوير أدوات قانونية تراعي الفوارق بين الجنسين. G.5. وضع وتوفير برامج دعم للضحايا تراعي الفوارق بين الجنسين، بما في ذلك برامج المساعدة القانونية وحماية الشهود.	2
أولاً، يرتبط التنفيذ الفعال لنظام العقوبات ارتباطاً مباشراً بجودة المعلومات المتاحة عن أهدافه.	2
في جلسة مجلس الأمن 5052، المعقودة في 6 تشرين الأول/أكتوبر 2004، فيما يتصل بنظر المجلس في البندين المعنونين "العدالة وسيادة القانون: دور الأمم المتحدة"، و "المصالحة الوطنية بعد انتهاء الصراع: دور الأمم المتحدة"، أدلى رئيس مجلس الأمن بالبيان التالي باسم المجلس:	4
إذ يعيد المجلس تأكيد قراريه 1265 (1999) و 1296 (2000) بشأن حماية المدنيين في النزاعات المسلحة، وقراراته المختلفة بشأن الأطفال والنزاع المسلح وبشأن المرأة والسلام والأمن، وكذلك قراره 1631 (2005) بشأن التعاون بين الأمم المتحدة والمنظمات الإقليمية في صون السلام والأمن الدوليين، وإذ يعيد كذلك تأكيد تصميمه على كفالة احترام هذه القرارات ومتابعتها،	2
2. بناء الثقة وتعزيز الاستقرار داخل الدولة المضيفة عن طريق تعزيز الحقيقة والمصالحة من خلال:	2
في 45 بلداً في أفريقيا جنوب الصحراء الكبرى، وضعت اليونسكو خريطة شاملة للسياسات والموارد الحالية لتقديم وصف لكيفية تعزيز ثقافة السلام في 45 بلداً في أفريقيا جنوب الصحراء الكبرى.	2
10. يقرر ألا يسري حظر السفر المفروض بموجب الفقرة 1 (ب) على الأفراد المحددين عملا بالفقرة 9 أعلاه، حيثما تقرر اللجنة، على أساس كل حالة على حدة فقط، أن دخولهم أو عبورهم مبرر، ويقرر كذلك أن أي إعفاء من هذا القبيل توافق عليه اللجنة لا يمنح إلا للفترة المطلوبة لأي سفر إلى الموقع أو المواقع المحددة، ويوعز إلى اللجنة أن تبت في جميع طلبات الإعفاء هذه، وكذلك في طلبات تعديل أو تجديد الإعفاءات الممنوحة سابقا، أو في أي طلب من أي دولة عضو لإلغاء الإعفاءات الممنوحة سابقا، في غضون عشرة أيام من تلقيها; ويؤكد أنه على الرغم من أي إعفاء من حظر السفر، يظل الأفراد المدرجون في القائمة خاضعين للتدابير الأخرى المبينة في الفقرة 1 من هذا القرار;	2
دراسة حالة: الهجوم على مدرسة في طويلة بشمال دارفور	1
(د) مواصلة الحوار وتبادل المعلومات مع جهات الاتصال أو المنسقين المعينين بشأن المسائل المتعلقة بمساهماتهم في تنفيذ القرار 1540 (2004);	4
وتشمل الاتجاهات الأخرى الاستخدام المتزايد لوثائق الهوية المزورة للحصول على وثائق سفر مشروعة وآمنة، والاستخدام المتزايد للإنترنت وتكنولوجيات الاتصالات الأخرى (سواء للتحريض على الأعمال الإرهابية أو لجذب مجندين جدد)، والظاهرة الناشئة المتمثلة في عمل الإرهابيين بمفردهم أو في خلايا صغيرة.	1
دخلت شاحنة الميتسوبيشي كانتر التي استُخدمت كحاملة قنابل إلى لبنان قادمة من الجمهورية العربية السورية عبر حدود البقاع و "الممر الساخن" العسكري في 21 كانون الثاني/يناير 2005 في الساعة 20/13. وكان يقودها عقيد سوري من الفرقة العاشرة في الجيش السوري.	1
وقوع المزيد من أعمال العنف في سوق كومورو. قُتل مدني واحد، وأصيب ثمانية أشخاص بجروح من أسلحة نارية، وأصيب أربعة أشخاص بجروح خطيرة أخرى.	1
43. ولا تزال مصادر التمويل الأخرى مهمة، بما في ذلك عائدات الأنشطة الإجرامية المنظمة العابرة للحدود الوطنية مثل التهريب والاتجار بالبشر.	1
وفي الختام، حددت المفوضة السامية ثلاث خطوات بوصفها "الطريق إلى الأمام" لتعزيز علاقة العمل بين مجلس الأمن وهيئات الأمم المتحدة لحقوق الإنسان.	4
لم تشر دول المنطقة دون الإقليمية إلى الإجراءات أو الآليات المستخدمة لمنع وقمع حركة الإرهابيين عبر الحدود.	1
ويبقى أن نرى ما إذا كان بإمكانها الارتباط مع المتطرفين في نيجيريا في تحالف فعال.	1
وبينما كانت السيارات تغادر مكان الحادث، سقط اثنان من ضباط وحدة الاستجابة السريعة المجردة من السلاح أو تم سحبهما من إحدى السيارات. وقد تعرض كلاهما للطعن من قبل أفراد من الحشد.	1
185. ومن الاستنتاجات المشتركة أن الحكومة ارتكبت، في تصديها للتمرد، أفعالاً ضد السكان المدنيين، مباشرة أو من خلال جماعات مسلحة بديلة ترقى إلى انتهاكات جسيمة لحقوق الإنسان والقانون الإنساني.	1
وتسعى اللجنة جاهدة لضمان أن تكون القائمة الموحدة ديناميكية ومستجيبة للتهديد المتطور الذي يشكله تنظيم القاعدة وحركة طالبان.	4
