ar_en_TRANSFORMERS	QuadClass
Actions that might diminish confidence in the outcome of the negotiations must cease or be detrimental to them, and must be reversed.	3
The blockade must be lifted immediately to allow the civilian population of Gaza access to water, labour, trade, medical care and education - that is, access to their basic needs.	3
My delegation remains concerned about the continuing deterioration of the security situation in Iraq.	3
We must reject any attempts to undermine the sovereignty and territorial integrity of Somalia.	3
We were prevented from even condemning the violence and supporting a peaceful plan developed by Syria's neighbours.	3
The intensification of the discourse on both sides, the Republic of the Sudan and the Republic of South Sudan, is a matter of grave concern.	3
Once again, Egypt calls for an immediate cessation of Israeli attacks on the Gaza Strip.	3
It clarifies issues that require attention and concludes - with the encouragement of Somali women - that the international community should raise gender equality issues, including with Somali leaders.	3
We are deeply concerned that the ad hoc process developed for this purpose has failed.	3
We have noted with concern the Secretary-General &apos; s assessment that many of the factors that triggered the 2006 crisis remain in society, making it vulnerable to instability.	3
We are all deeply concerned about the deteriorating security situation in Côte d &apos; Ivoire, as the Council may have witnessed in my statement earlier today.	3
It also affirms that Rwanda must use its strong influence to ensure that RCD does not take such action.	3
In accordance with these resolutions, this organ must demand that the United States Government immediately sentence Luis Posada Carriles for terrorist acts or extradite him to the Bolivarian Republic of Venezuela, which has been prosecuted for years by its judicial system.	3
Further efforts must be made by the Government of Haiti and international humanitarian organizations in the area of preventive activities, such as the provision of sanitation and clean water.	3
"The Council expresses deep concern at reports of an unusual and sudden influx of thousands of Misseriya to Abyei town and surrounding areas, which could bring about significant changes in the ethnic fabric of the region.	3
We urge Israel to abide by its obligations with regard to the population in the occupied territories.	3
However, failure to intervene effectively to restore stability in that country is indeed threatening the effectiveness of the international community as well as the enormous resources it costs.	3
Despite all efforts to restore peace and security, we remain concerned about the recent major setbacks in stabilization efforts in the eastern region of the Democratic Republic of the Congo.	3
Furthermore, Chile believes that operative paragraph 2 of the draft resolution contains only a condemnation of suicide attacks against civilians.	3
The Republic of South Sudan is deeply concerned about the deteriorating security situation in the border areas of both the Republic of the Sudan and the Republic of South Sudan.	3
"The Council notes with concern the challenges in the area of social and economic development, as there is a marked deterioration in the living standards of the vast majority of Haitians.	3
This is an international obligation that States must fulfil to ensure justice for the victims of these reprehensible acts.	3
In this regard, although the fight against terrorism is being addressed more seriously by the United Nations in general and the Security Council in particular, there is limited evidence of genuine joint efforts to create a greater international response to terrorism.	3
Our main concern in that regard is the fact that, for the report, none of the eight key standards has yet been fully implemented.	3
"The Security Council notes with deep concern the postponement of the first round of the presidential elections, which were scheduled for 29 November 2009 in accordance with the communiqué issued by the Permanent Consultative Framework of the Ouagadougou Political Agreement on 18 May 2009, which was endorsed by all Ivorian political actors.	3
Monitoring and identification of violations of the arms embargo and, where appropriate, targeted sanctions must be strengthened in order to reduce the potential destructive effects of that process in the Somali context.	3
The protection of civilians is a duty that has long been ignored in Somalia.	3
The dissident group of parliamentarians rejected the Garowe process and put forward a proposal for the date of the presidential election from July to 30 April this year.	3
However, it is unacceptable that Israel invokes its legitimate security concerns as justification for imposing measures that affect an entire people in an indiscriminate manner and in violation of international humanitarian law.	3
However, we are concerned that the main factor in decision-making is being undermined by a lack of political consensus.	3
A gender perspective must be part of the reform and training of all security forces.	3
We are concerned that the security situation remains problematic.	3
We are concerned about the lack of political freedoms there.	3
In this regard, we would like to reiterate what we have said on previous occasions, namely, that the most serious challenge facing this investigation is the continued exploitation by some parties, in our region or beyond, of the investigations to jump to political conclusions that are not relevant to the requirements of the investigation and that are not based on evidence and firm evidence.	3
However, the security situation remains a cause for concern for all, although the number of security-related incidents decreased in December 2011 and January 2012, compared with the previous two months.	3
However, we are concerned about the reports of increased tension between the ruling and opposition parties.	3
But, as I said at the open Tuesday meeting, events must be viewed within its framework, and the Security Council will do nothing to contribute to a peaceful settlement when it condemns the actions of one of the parties and turns a blind eye to anything else that happens in the region.	3
At the same time, Cuba condemns suicide bombings and other acts against Israeli civilians, who are innocent victims of the cycle of violence driven by their Government's policy, and we also reject the use of these sporadic acts to question the legitimate self-defence exercise of the Palestinian people and to justify the widespread or selective activities perpetrated against the Palestinian population.	3
"The Security Council expresses its deep concern at the humanitarian impact of the conflict on the Angolan people.	3
This Council should not be allowed to reward that strategy by addressing the response to terrorism rather than terrorism itself; it must be rejected, not satisfied.	3
In this regard, the Council condemns in the strongest terms the continuing threats and acts of intimidation against MONUC elements.	3
Let me begin by reiterating the European Union &apos; s deep concern over the situation in Somalia and the regional repercussions of its conflict.	3
However, concerns remain with regard to 2.3 million people still living in crisis.	3
We are concerned, however, by recent developments, with further tensions between community members and ISAF forces.	3
However, the situation remains a source of concern, given the long borders between our two countries, which are difficult to control.	3
The main Palestinian factions in Lebanon expressed concern about the incidents and distanced themselves from Fatah al-Islam.	3
The Council should call for an immediate cessation of all military operations in Gaza and the withdrawal of the Israeli occupying forces from the area.	3
By considering initiatives that are practically equivalent to that strategy, the Council will only make terrorists bold and undermine the letter and spirit of the road map.	3
Ali Kushayb and Ahmed Harun were refused arrest.	3
The Palestinians must end the incitement of the public to violence and do their utmost to prevent militants from attacking Israel, thereby provoking an Israeli response.	3
We are confident that these groups will not be able to undermine the electoral process at the national level.	3
I spent four days in Afghanistan at the end of June to assess the humanitarian situation, given growing concerns about the difficult humanitarian situation and the issue of the protection of civilians.	3
The situation on the ground is also of humanitarian concern. The Secretary-General emphasizes that Iraq is going through a major crisis and states that the situation is deteriorating.	3
At the same time, Germany and the European Union have repeatedly condemned the terrorist crimes that resulted in the deaths of hundreds of Israelis in the past.	3
There is no doubt that the structure and development of public administration in Timor-Leste remain an important challenge and must be taken into account.	3
That makes the irresponsible threat speech of the Iranian leadership even more disturbing.	3
Under international law, Israel, as the occupying Power, is obliged to protect Palestinian civilians, especially children, and to preserve civilian property.	3
Improving this situation requires the enforcement of laws - in particular the law on the elimination of violence against women - that criminalize and punish violence and harmful practices against women and girls.	3
Last Sunday, on the occasion of the 21st anniversary of Hamas, Hamas leader Haniyah refused to remain in office until the internal division was resolved.	3
As long as we are discussing the development challenges facing Afghanistan, the recent incident justifies the bleak picture of the security situation.	3
In this context, the European Union reminds Israel of its obligation to ensure full and safe access for humanitarian organizations, including the United Nations Relief and Works Agency for Palestine Refugees in the Near East.	3
We regard Armenia &apos; s position as an open and direct challenge to the conflict settlement process and a serious threat to international and regional peace and security.	3
In the view of the delegation of Togo, all these issues require urgent action to prevent the Sahel from falling into total insecurity, which would be very detrimental to its development.	3
At the same time, other key elements of this institution-building process are strengthening the rule of law by increasing the effectiveness, integrity and overall functioning of the judiciary, strengthening law enforcement institutions to reduce organized crime and ethnic violence and bringing all criminals to justice.	3
This will require a clear and, frankly, a special attitude from the United States of America.	3
At the same time, President Al-Bashir threatens the international community with vengeance and, consequently, with further crimes.	3
In the current situation, which is extremely difficult, we call on Israelis and Palestinians alike to prevent the escalation of the conflict and to begin implementing their obligations under the road map, in order to revive the prospects for peace.	3
Despite those challenges, we cannot fail to acknowledge that nearly 50 per cent of the Afghan people live in areas for which responsibility for security has been transferred to the Afghan security forces.	3
The humanitarian consequences of the continued violence in Iraq are a matter of grave concern to my delegation.	3
The time has come for the international community to take effective measures to protect and enforce the most fundamental rights of the Palestinian people and to break the vicious cycle of violence resulting from Israel &apos; s continued illegal occupation of the Palestinian territories.	3
All of this requires a strong war against the unarmed actors, whose presence poses a threat and an obstacle to the full exercise of sovereignty by the Afghan State.	3
We are disappointed, Mr. President, that despite your efforts and those of many others, the Council has not been able to condemn that brutal terrorist attack.	3
Despite these achievements, however, challenges to the Government &apos; s effective authority and control over its national territory still need to be overcome.	3
It is also indisputable that Armenia, as the occupying Power, bears direct responsibility for those crimes.	3
In that context, we remain concerned about the most vulnerable groups in Timor-Leste: the poor and the displaced.	3
It is part of a song that is constantly being repeated before this Council and that does not increase its validity. It ignores both Palestinian responsibilities and Israeli rights. It does not recognize the excessive difficulties faced by Israeli forces in trying to protect their citizens and minimize the harm done to the lives of Palestinians, while the terrorists they face do not pay more attention to the lives of Palestinians than to the lives of Israelis.	3
We note Israel &apos; s security concerns that it is obliged to continue its aircraft flights, in particular allegations of violations of the arms embargo established pursuant to resolution 1701 (2006).	3
Lack of land and jobs, as well as insecurity, prevent many returnees from stabilizing in their communities of origin.	3
The German Government strongly condemns these acts of violence.	3
Mr. Musayev (Azerbaijan): At the outset, I would like to apologize for once again asking for the floor, for we felt that it would be inappropriate and counterproductive to ignore the comments made by the representative of Armenia and to try to mislead the Security Council from them.	3
The continuing plight and suffering of the Palestinian people continue to be a tragic reflection of the consequences of the refusal to implement Security Council resolutions and the failure of the Security Council to enforce its resolutions.	3
This political incident was strongly denounced through a press release issued by the office of President Ernest Bai Koroma, as well as by numerous press statements issued by political interest groups, including the General People &apos; s Congress, the People &apos; s Movement for Democratic Change, the Independent Media Commission, the Political Parties Registration Commission and the Good Governance Campaign.	3
We can go on to mention widespread poverty, problems in the management of natural resources, thousands of refugees and internally displaced persons, additional thousands of ex-combatants waiting for reintegration, unresolved security sectors, massive violations of human rights and many other threats that are likely to fuel a new conflict.	3
In that regard, we believe that the destructive action aimed at obtaining unilateral political benefits should be unequivocally condemned.	3
While Pristina and Belgrade strongly condemned the incident and demanded the arrest of the perpetrators, each side claimed that the other was responsible for provoking the incident.	3
We would also like to express our concern that the recurrence of such incidents could lead to an unstable situation in the region, which makes it difficult to achieve a peaceful solution to the Kosovo situation, acceptable to both parties.	3
Israel must refrain from unilateral actions in Jerusalem that would alter the status quo or undermine confidence.	3
In conjunction with intolerance and deep roots in the political and social life of the region, organized crime threatens the very foundation of principles and values that we are trying to instil in the new institutions that have been formed there, thus giving away our efforts.	3
As a result, the cut-off limit for security threats has been exceeded for many countries in Africa and beyond, including members of this Council, exposing their weaknesses.	3
The failure of any Member State to comply with its obligations under the Charter should have consequences, and the Sudan should not be excluded.	3
We believe that Somalia faces a challenge similar to that of the Marathon enemy, because the constitution must be finalized by 20 April and its adoption completed on 22 May.	3
The impunity of these high-ranking officers is unacceptable and prevents societies emerging from conflict from recovering in a sustainable manner.	3
The Afghan authorities and the international community must make it clear that such behaviour is unacceptable.	3
Pristina has so far rejected every initiative in that regard.	3
Although the President acted within his constitutional powers, she discussed with him concerns that amnesty decisions of 25 December 2009 might reinforce the impression of impunity.	3
The first, caused in a continuing humanitarian emergency, also threatened peace and stability in Haiti.	3
Greece therefore insists on the need to clarify the sixth preambular paragraph - urging the Council "to make progress towards the resumption of negotiations for a comprehensive settlement" - as it should be reiterated that such negotiations should take place between the two communities.	3
In that regard, we would like to go further since then to say that we believe that the only way to improve security and stability in Somalia is to enable the Somali security forces to subdue the most notorious rebels and to enable the Government to expand its areas of authority as far as possible if peace negotiations fail.	3
In his report, the Secretary-General notes some improvement measures in all those areas, with the exception of the central issue of local governance reform and, in particular, decentralization, where progress is lacking.	3
Some concerns were expressed - shortly before many presidential candidates - about the integrity of registration.	3
In order to continue this struggle, it is imperative that the international community make a greater contribution and pay more attention to this important aspect of the fight against terrorism.	3
My delegation strongly condemns those acts of violence and extends its condolences to the family of the deceased pediatrician.	3
In contrast, the authorities in Belgrade must put an end to their obstructionist attitude, which prevents Kosovo Serbs from participating in Kosovo's public institutions, as the "filled seat policy" poses significant risks to the writing of Kosovo's history without the participation of Kosovo Serbs.	3
We are particularly concerned about the indiscriminate proliferation of weapons in Libya and beyond its borders as a result of the conflict.	3
We urge Israel to take further action to remove settlement outposts in accordance with the road map and to address the growing threat posed by settler extremism.	3
A larger United Nations presence is indeed vital, but in order for the added value of our Organization to be fully effective, sufficient funds must be provided for both staff and security, and Mr. Eide reminded us of this a few moments ago.	3
With regard to the military aspects of security sector reform, the Government indicated that it wished to rely heavily on bilateral aid for army capacity-building.	3
In this regard, we are particularly concerned about the continuing lack of progress in the areas of minority freedom of movement, sustainable returns and the related representation of minorities in government structures and in the public sector as a whole.	3
My Government acknowledges the many expressions of condemnation and anger that have resulted from this terrible incident, and we particularly appreciate the Security Council &apos; s swift reaction to this heinous crime.	3
In fact, given the history of foreign intervention, those directives would not only be in question for different sectors of society but could also exacerbate the problem.	3
Above all, our concerns related to the insistence of the Pristina authorities on implementing the so-called strategy for northern Kosovo in flagrant violation of Security Council resolution 1244 (1999), which remains the main international legal framework for a settlement in Kosovo.	3
In particular, we wish to express our deep concern at the stagnation in Haiti &apos; s socio-economic development and food security.	3
However, we note that without a strong justice and security sector, developing peace and stability can be threatened.	3
The international community has clearly expressed its strong condemnation of those actions, through the General Assembly, the Human Rights Council and a group of friends in Syria, which have a large and wide participation.	3
The threat posed by terrorists, criminals and those involved in the narcotics trade to the security and stability of Afghanistan is a real phenomenon that must be constantly addressed.	3
We condemn all terrorist acts committed in Afghanistan, particularly the most recent one against the Indian Embassy in Kabul, and express our condolences to the Governments and peoples of the affected countries and to the families and relatives of the victims.	3
The timely collection of objective, reliable and accurate information on conflict-related sexual violence is crucial to formulating the Council &apos; s responses, as well as to strengthening action to prevent sexual violence.	3
The genuine establishment of the rule of law in the Democratic Republic of the Congo requires the formation of an army and the establishment of an effective and democratic justice system and police force.	3
The international community, including through the auspices of the United Nations, should use diplomatic influence and provide technical assistance in such areas as political, security and justice sector reforms, the drafting of new constitutions, legal frameworks and electoral institutions and the holding of elections.	3
It calls for adherence to international law and for all parties to implement their commitments and the road map in order to realize the vision of two States living side by side in peace and security.	3
In the context of those conditions of massive disparities and political, economic and social marginalization, a process has emerged that seeks to change the prevailing system, seek to bring about economic and political changes and create alternatives that allow participation and open new spaces and means of expression, including in short demands on fundamental rights.	3
ISAF troops must fully implement their mandate with a view to eliminating the threats emanating from Afghanistan.	3
In the view of my delegation, in order to prevent the outbreak of new violence and to stabilize northern Kosovo, it remains essential that the reconciliation process be accompanied by policies aimed at ensuring the social and economic stability of the communities in a non-discriminatory manner.	3
The withholding of this level of funding will paralyse any Government, let alone an occupying Power. If these funds are not released immediately, this measure will threaten the State-building gains made by the Palestinian Authority, including the promotion of good governance for the benefit of the Palestinian people and the development of security forces that maintain law and order in the West Bank.	3
Mr. Le Long Minh (Viet Nam): Terrorism is a source of concern shared by all States Members of the United Nations and the international community as a whole.	3
However, the grave danger remains that, as a result of that decision - which violates the documents of the Bonn and Berlin Conferences - the country will face an explosive situation fraught with new armed resistance and internal divisions in power structures.	3
They do all of these things, and they then seek protection and security and put it as a mask for blackmail and further concessions.	3
Preventing illegal border crossing is vital in addressing terrorism, drug trafficking and commercial smuggling.	3
Unless the Government addresses these issues, they can pose serious threats to the security and stability of Timor-Leste.	3
In order to avoid a new wave of violence, the parties and the international community must act immediately.	3
We strongly condemn these practices, which constitute a flagrant violation of international conventions and humanitarian laws and norms. We call on the international community, the members of the Quartet and all the actors to intervene immediately and resolutely to compel Israel to put an end to such actions, which pose a serious threat to security and stability in the Middle East region. Violence can only result in violence, which could put the region in a spiral of difficulty.	3
In that regard, we are deeply concerned about the security situation in Afghanistan, which has deteriorated since last year as a result of the repressive activities of the remaining elements of the Taliban and Al-Qaida, inter-warlord disputes and the narcotics trade.	3
Somali leaders must work towards an open political process for those who are willing to renounce violent opposition.	3
The demands of UNMIK and KFOR for information were met with a standard response from the KPC Commander, who said that, under his limited powers, he could not provide additional information.	3
Although these contacts were constructive, direct negotiations without preconditions, in which the parties are expected to submit proposals for land and security within 90 days, have not yet taken place.	3
We urge the Government of Haiti to take firm action to prevent such violence and to ensure that the perpetrators of such acts are brought to justice.	3
The Russian Federation once again calls upon the Israeli and Palestinian sides to exercise restraint and a high spirit of responsibility and to renounce unilateralism.	3
I cannot stress enough the threat posed by the unavailability of military helicopters to the operational effectiveness of the Force.	3
Beyond the MINURCAT area of responsibility, other developments are also of concern.	3
Although the overall security situation has also remained calm and peaceful since Timor-Leste formally assumed full responsibility for security on 20 May, smuggling, trafficking and illegal border crossing should be seen as a cause for concern, as well as tensions related to the demonstrations that took place in Dili last July.	3
The lack of such participation will prevent progress in addressing important issues of public administration and will not make any progress in improving the image of Kosovo in the minds of the international community.	3
Despite our assessment that achieving a complete ceasefire is difficult at this time, I continue to believe that the international community must make its position clear: the need for an immediate cessation of hostilities and more credible efforts by Israel to protect civilians and civilian infrastructure, while urgent efforts are being made to create conditions to halt such attacks.	3
The Court &apos; s Trial Chamber &apos; s decision to issue a warrant for the arrest of a Head of State on 4 March 2009 triggered a major public reaction and set hopes for peace and stability a new setback.	3
We are also concerned about the re-emergence of cholera, although the mortality rate appears to be declining slowly.	3
However, in 2007, following the issuance of the arrest warrants against Aaron and Cocheb, President Al-Bashir publicly refused to execute them, challenging the authority of the Security Council and saying that Aaron had done what he had ordered.	3
In this context, the Council reaffirms that the main cause of the crisis in Angola is UNITA &apos; s refusal to comply with the relevant basic provisions of the Lusaka Protocol, and reiterates its request that UNITA comply with its obligations to disarm and allow the extension of government administration to the territory it controls.	3
In describing that unfortunate incident, the President stressed that it was malicious and unacceptable and involved potential violence in the upcoming 2012 elections.	3
The MDC candidate has little or no access to the media in Zimbabwe; it is forbidden to campaign freely; and campaign buses and cars are reported to have been seized by the State, allegedly for illegal registration.	3
Bosnia and Herzegovina is concerned about the current political stalemate in the formation of a new Government and the definition of a clear constitutional reform process.	3
We should acknowledge our great concern about the situation in Afghanistan.	3
On several occasions, we have appealed to the Council to take action to compel Israel to cease its military attacks, to ensure the protection of the civilian population and to cease all illegal punitive measures through which it causes a humanitarian disaster in the Gaza Strip.	3
Cuba once again comes to the Security Council to condemn and strongly condemn the complicity of the United States Government and its absolute responsibility for the release of this person.	3
Africans have clearly expressed their concerns about the situation in Zimbabwe.	3
The European Union is deeply concerned about the continuing cycle of retaliatory violence in Israel and the occupied territories.	3
President Al-Bashir took diplomatic reprisals against the Kenyan decision and threatened to impose economic and commercial sanctions.	3
In that context, we believe that it is important that the Security Council pay the utmost attention to the threats posed by fundamentalist and extremist religious organizations such as the Liberation Party and urge the Council to impose severe sanctions on terrorist organizations.	3
I must, with great concern, inform you of the escalation of criminal acts and attacks against United Nations and humanitarian personnel.	3
In addition, Israeli air violations of the Blue Line, in direct violation of resolution 1701 (2006), continued on a regular basis.	3
In this regard, we take note of the statements made by Kosovo &apos; s main elected representatives, who immediately condemned that crime and demanded that the perpetrators be brought to justice.	3
The international community must therefore take the necessary action to prevent Israel from continuing its series of condemned destruction in Gaza and to affirm its rejection of all such Israeli practices, which are in violation of international law and international humanitarian law.	3
That has been a source of constant concern to us.	3
However, we also oppose and condemn extrajudicial executions.	3
We condemn all ethnically motivated acts and crimes committed in Kosovo.	3
However, we do not believe that sovereignty makes it imperative for the Security Council to stand still when Governments carry out massacres against their peoples, thereby threatening regional peace and security.	3
As the Prosecutor, I will face any judicial appeal by President Al-Bashir and other accused in court.	3
Azerbaijan &apos; s refusal to engage in direct negotiations with the elected representatives of Nagorny Karabakh is one of the main obstacles to resolving the conflict referred to by the representative of Azerbaijan.	3
The Secretary-General and his Special Coordinator for Lebanon have issued statements strongly condemning the criminal acts of opening Islam as attacks on Lebanon &apos; s stability and sovereignty.	3
The United States urges the United Nations and the Haitian National Police to redouble their efforts in vetting students.	3
When dealing with the situation in Haiti within the framework of the United Nations, almost all attention is always focused on so-called security issues, which in practice reduces the urgent attention required to the country &apos; s serious structural, economic and social problems.	3
With regard to the humanitarian situation, Guatemala is concerned that, according to the Office for the Coordination of Humanitarian Affairs, 20 million people in the Sahel region require humanitarian assistance, particularly in Mauritania, Niger, Burkina Faso and Chad.	3
We are also concerned about the very high rate of unemployment and widespread poverty in the country.	3
However, we are concerned that acts of violence can cause a part of the population to remain away from polling sites in the south and elsewhere.	3
Since the beginning of the political impasse following the elections of 29 March, the Secretary-General has expressed his concern about the process and politically motivated violence.	3
In other areas, however, progress has fallen short of expectations and many challenges remain.	3
My Government believes that such acts are not only contrary to international law, but also undermine the concept of the rule of law, which is the key element in the fight against terrorism.	3
We challenge anyone to say that there is now one battle in any corner of the Sudan.	3
Romania reiterates that any act of terrorism is unacceptable and must be condemned.	3
The French authorities are deeply concerned about the continued deterioration of the situation in the northern Gaza Strip during the past week.	3
That disturbing pattern of activities is a serious concern that threatens to undermine the credibility of United Nations operations.	3
That is why we condemn terrorism.	3
"The Security Council remains deeply concerned about the security situation in the Central African Republic.	3
That is unacceptable and must be fully condemned, especially by the Security Council, using the means at its disposal.	3
The humanitarian situation in Somalia remains a major concern.	3
What everyone has to do is reject hard-line voices that find comfort in the old ways and believe that it is impossible for Serbs and Albanians to normalize their relations by reaching a historic compromise.	3
The situation along the Lebanese border with Syria remains worrying.	3
"The Security Council also expresses its concern at the growing tensions in the Ituri region and calls upon all parties to exercise restraint.	3
Blue Nile State also remains a source of concern to us.	3
The United Nations counter-terrorism bodies should therefore address those shortcomings more seriously and with dedication.	3
Indeed, Azerbaijan itself is in violation of those resolutions, which urge the parties concerned to continue negotiations within the framework of the OSCE Minsk Group, as well as through various contacts among them.	3
She expressed the Council and the Secretary-General &apos; s deep concern at the recent increase in tensions between the North and the South, as well as the continued lack of progress on Abyei and other post-Comprehensive Peace Agreement issues.	3
The Russian delegation notes with deep regret and concern the information on the continuing violence in Darfur.	3
I am deeply concerned about the recent escalation between Gaza and Israel.	3
Clearly, these conditions represent the single biggest obstacle to stability and progress in Afghanistan and, if allowed to continue, threaten to disrupt the progress achieved in nearly three years.	3
Security and stability remain a major challenge.	3
However, the Operation has also demonstrated the magnitude of the challenges that Liberia &apos; s security sector continues to face, particularly with regard to logistics, communications and the mobility of the police and the Immigration Service.	3
Pakistan is deeply concerned by the report &apos; s finding that the humanitarian and economic challenges facing the Sahel have been exacerbated by the consequences of the Libyan crisis.	3
In particular, we condemn any attempt to force UNMIK into any kind of so-called joint rule, as well as any interference with the individual authorities of the Special Representative.	3
We note that civil society organizations have expressed serious concern in this regard.	3
It is clear that all law and order institutions in Iraq face serious challenges.	3
Political pressure on UNMIK has increased significantly with attempts to challenge its role under resolution 1244 (1999) and the Constitutional Framework.	3
There is no doubt today that the real intention was to prevent the public dissemination of the details of his reckless acts of destruction committed under the orders of the United States Central Intelligence.	3
The Government also shares a number of concerns expressed in the report on, inter alia, human rights and the situation of women and children.	3
We have serious concerns about that law, which can have far-reaching consequences.	3
However, we believe that a sudden withdrawal will be counterproductive and will create an unprecedented vacuum, especially in view of the fact that the conditions conducive to hoped-for investment, broad-based investment and sustainable development have not yet been fully established.	3
At the outset, I must express our serious concern about the security situation in that country.	3
I must say that the theme chosen for our debate today is a major challenge, although it is a matter of interest.	3
As the report of the Secretary-General (S/2004/634) makes clear, addressing the problem is a difficult challenge.	3
However, my delegation notes with regret that the security situation continues to give rise to concern.	3
I urge Hamas to respond to those appeals.	3
He reiterated his personal condemnation of the incident, which he described as giving the wrong and undesirable messages before the 2012 elections, and which would undermine and hinder the gains made in reshaping the image of the country and in building and consolidating peace, which had been achieved with strenuous efforts, with the assistance of our development partners and the international community.	3
Sadly, the current Palestinian leadership has proved unable to be a partner in peace as it is unable to pursue the reform and democratic governance of its people.	3
First and foremost, security concerns remain critical.	3
It is clear that the conditions for the implementation of this mechanism are not in place in the case of Darfur.	3
First, while Sierra Leone is the most advanced member of the West African Coast Initiative, the slow pace of progress elsewhere is hampering the exchange of intelligence and early warning.	3
France strongly deplores these attacks and calls on all parties to exercise maximum restraint.	3
The political debate is likely to be protected and consolidated, with numerous electoral-related judicial appeals already filed.	3
The report confirms the disturbing picture of the situation in the Sahel region and the related security, economic and humanitarian concerns.	3
Secondly, Mr. Covic expressed his concern about the quality of democracy in a place where the minority - Kosovo Serbs - risk losing to the mechanical majority vote, and I would like to say that I believe that the most important aspect of democracy that can be expected is one &apos; s participation, exercise of democratic rights and vote.	3
We express our deep concern at the plight of the Palestinians in the Gaza Strip.	3
In Egypt, we have been calling for the peaceful and early transfer of power to a civilian Government.	3
The situation of minorities remains a matter of concern, particularly with regard to freedom of movement and access to justice.	3
Once again, we condemn the killing of civilians on both the Palestinian and Israeli sides.	3
The challenge of establishing local and regional administrations in areas recovered from Al-Shabaab must now be given high priority.	3
We urge the parties to act with restraint and avoid provocative actions or statements that would trigger further violence.	3
The United States urges the Haitian authorities to fulfil their pledge to fill all six vacancies in the Supreme Court by 3 October 2011.	3
We are concerned that the success of the presidential elections may run the risk of being eroded by the lack of progress in the formation of the Government.	3
The challenges facing the country demand that Haitian leaders have a common and unified will.	3
However, the prospect of a complete breakdown of law and order, as well as the collapse of the fragile economy and the disintegration of Palestinian self-government institutions, remains.	3
The negative impact of the Libyan situation, which poses a threat to continued peace and stability in the region, will grow, and China expresses its deep concern in this regard.	3
It remains a matter of great concern to me that the efforts of Liberians to rebuild their judicial system will take time, and therefore the system itself is likely to remain weak and vulnerable in the short term.	3
In 1993, that vision was at best blurry, and at that time it was impossible to determine the ultimate goal that would be close to responding to the concerns of both peoples.	3
We have noted the caution shown by the Secretary-General and the technical assessment mission with regard to security sector reform, in particular with regard to the National Police of Timor-Leste.	3
As I have made clear, I am confident that the Council will not be filled with these false accusations, which are at variance with the right and minimum standards of professionalism.	3
We have taken note of the concern about the implementation of the joint communiqué of 2 April 2009, referred to in the report.	3
This has raised serious tensions with local communities, as well as threats to MONUC by some former CSCE military commanders who are now integrated into the Congolese army.	3
We consider any departure from that principle unacceptable, let alone that the fragile situation in the region may lead to widespread instability.	3
Haiti &apos; s political and civil society leaders continue to rise to national consensus in key areas, such as the national budget, education, recovery and development priorities, elections and constitutional reform.	3
The Jordanian Government stresses the need for the Israeli Government to cease all acts of violence and destruction in the Gaza Strip and throughout the Occupied Palestinian Territory, put an end to the policy of destroying Palestinian infrastructure and homes, cease extrajudicial killings and impose collective sanctions on the Palestinian people and put an end to the violations being committed by Israel against them.	3
However, we remain concerned that there is too much focus on visits to developing countries.	3
As the United Nations Support Mission in Afghanistan (UNAMA), we would be irresponsible if we did not appeal to the international community, the Government of Pakistan, the Government of Afghanistan and its national forces to end that situation, particularly on the southern border.	3
Unfortunately for Hizbullah &apos; s actions, and as I said Israel has the right to defend itself, the use of excessive force must be condemned.	3
The new democratic Government of Pakistan has inherited a terrible legacy of political, economic and security challenges.	3
Further development in this direction could jeopardize efforts to reform and build the country and, in the long run, threaten peace and stability throughout the region.	3
The situation in Syria is a source of deep and growing concern to the United Nations.	3
We are particularly concerned about the lack of middle-level training of civil servants, as well as the significant problems that remain in the judicial sphere.	3
The recent decisions of an Indonesian Court of Appeal to repeal four criminal judgements of the ad hoc Human Rights Court, while falling outside the mandate of the Mission, directly affect the larger issue of accountability for crimes.	3
I am particularly concerned about the instability that could arise if the political and socio-economic situations continue to deteriorate.	3
However, there is a need for the will of the United States to place Middle East peace in its priorities, going beyond the disregard and absence that has lasted for almost seven years and has exacerbated the situation in the region.	3
We are also concerned about the situation of those involved in the reconstruction of the country.	3
We are deeply concerned about the insistence of leaders of groups such as the Justice and Equality Movement and the Sudan Liberation Movement (SLM) on refusing to participate in the talks.	3
The Council condemns all unilateral acts aimed at creating facts on the ground that would prejudice the outcome of the negotiations.	3
The Council stresses that all those responsible for violations of international law, including international humanitarian law and human rights law, as well as those who have been instructed to commit such acts, will be held accountable.	3
Such statements as "the Palestinian people do not love their children" or "the Palestinian people send their children to death because of their hatred of Israel" are racist and reflect the kind of attitude that should be rejected altogether - and I am trying to do so now.	3
To blame each other, to find a scapegoat responsible for failure in Afghanistan and to demand that those who are already doing so work the most unfair and unacceptable practices that will ultimately be a factor of psychological defeat.	3
