"","en_ar_GOOGLE","QuadClass"
"2463","&quot;ويشدد مجلس الأمن على ضرورة تقديم مرتكبي هذا العمل الإرهابي المشين ومنظميه ومموليه ورعاةه إلى العدالة، ويحث جميع الدول، وفقا لالتزاماتها بموجب القانون الدولي والقرار 1373 (2001) وبما يتفق مع القرار 1624 ( 2005)، للتعاون بشكل فعال مع السلطات الجزائرية في هذا الصدد.",4
"2464","18 - قلب الدين حكمتيار (QI.H.88.03) يعتبر في المقام الأول تهديدا للسلام والأمن في أفغانستان.",3
"2465","وبحسب هذه المصادر، فإن عمليات اغتصاب الضحايا الأفراد كانت في كثير من الأحيان متعددة، حيث قام بها أكثر من رجل، وكانت مصحوبة بأشكال أخرى من العنف الشديد، بما في ذلك الضرب والجلد.",1
"2466","260 - ويتطلب منع تنقل الإرهابيين عبر الحدود أيضا استخدام التكنولوجيا والمعدات، مثل أجهزة القراءة والماسحات الضوئية، عند نقاط التفتيش الحدودية لالتقاط بيانات المسافرين في الوقت الحقيقي والتحقق من تلك البيانات مقابل قواعد البيانات الوطنية والدولية الخاصة بالإنذار والجنائية.",2
"2467","259. يتطلب القرار 1373 (2001) من الدول منع تحركات الإرهابيين والجماعات الإرهابية عبر الحدود من خلال فرض ضوابط على إصدار وثائق هوية وسفر آمنة وصالحة.",4
"2468","وإذ يشجب استمرار حركة طالبان في توفير الملاذ الآمن لأسامة بن لادن والسماح له ولآخرين مرتبطين به بإدارة شبكة من معسكرات تدريب الإرهابيين انطلاقا من الأراضي التي تسيطر عليها حركة طالبان واستخدام أفغانستان كقاعدة لرعاية الإرهابيين الدوليين عمليات،",1
"2469","&quot;ويؤكد مجلس الأمن من جديد أن الإرهاب بجميع أشكاله ومظاهره يشكل أحد أخطر التهديدات التي يتعرض لها السلام والأمن الدوليان، وأن أي أعمال إرهابية هي أعمال إجرامية وغير مبررة، بغض النظر عن دوافعها ومكان ارتكابها وزمانها وأيا كان مرتكبها.",4
"2470","&quot;ويطلب مجلس الأمن إلى الأمين العام أن يدعم الجهود الرامية إلى تعبئة الموارد اللازمة لتنفيذ نتائج مؤتمر قمة ياوندي، وتعزيز القدرات الوطنية والإقليمية، بالتشاور الوثيق مع دول خليج غينيا والمنظمات الإقليمية ذات الصلة والجهات الأخرى كيانات الأمم المتحدة.",4
"2471","132 - وبما أن اللجنة والإنتربول يحددان أفضل طريقة للمضي قدما، يأمل الفريق أن توفر قاعدة بيانات الإنتربول معلومات إضافية لتحديد هوية الأشخاص المدرجين في القائمة الموحدة.",2
"2472","وذكرت أقل من نصف الدول الـ 140 التي قدمت تقارير بموجب القرار 1455 (2003) ما هي الخطوات التي اتخذتها لتقييد أو تنظيم حركة السلع الثمينة، والدول التي فعلت ذلك لم تشر إلا إلى الضوابط بموجب التشريعات الجمركية والضريبية.",2
"2473","وفي حين أكد مجلس الأمن أن العقوبات المالية تنطبق أيضا على توفير استضافة الإنترنت والخدمات ذات الصلة، فإن الإرهابيين والجماعات الإرهابية قادرون على استخدام خدمات الإنترنت على نطاق واسع.",1
"2474","ولم تقم أي دولة بمراجعة قطاعها غير الربحي أو إجراء تقييم لمخاطر تمويل الإرهاب.",3
"2475","ويشدد المجلس على ضرورة قيام جميع الأطراف باحترام والحفاظ على الطابع الأمني والمدني لمخيمات اللاجئين والمشردين داخليا.",4
"2476","15 - وقد نشأ تهديد خاص من خلال زيادة استخدام الجماعات الإرهابية والأفراد لتكنولوجيات المعلومات والاتصالات الجديدة للتجنيد والتحريض وجمع الأموال، وغالبا عبر الحدود الدولية.",3
"2477","وفيما يتعلق بنزع سلاح المقاتلين السابقين وتسريحهم وإعادة إدماجهم، اتفقت الأطراف على أن يجتمع رئيسا أركان القوات المسلحة الوطنية الإيفوارية والقوات الجديدة في 7 تموز/يوليه لوضع الصيغة النهائية لجدول زمني لنزع السلاح والتسريح وإعادة الإدماج من المقرر أن يبدأ بحلول نهاية يوليو.",2
"2478","وتوصي اللجنة بشدة بأن تقوم الدول الأعضاء بإنشاء مثل هذه الهيئات الوطنية لتنسيق ومناقشة قضايا مكافحة الإرهاب. ثالثا. عدم الإبلاغ",4
"2479","وينبغي أن يكون الدعم مشروطا بالتقدم الذي تحرزه السلطات الكونغولية نحو إنشاء سلسلة إمداد فعالة داخل القوات المسلحة لجمهورية الكونغو الديمقراطية. وينبغي أن يكون ذلك مصحوبا بجهود لتعزيز مساءلة القوات المسلحة لجمهورية الكونغو الديمقراطية واحترامها لحقوق الإنسان.",4
"2480","وواصل الفريق أيضا القيام بدور نشط في تطوير التدابير الرامية إلى مكافحة تمويل الإرهاب من خلال مشاركته في الاجتماعات العامة لمجموعة العمل المالي واجتماعات الهيئات الإقليمية على غرار مجموعة العمل المالي.",2
"2481","ألقي القبض على زعيم القراصنة الصومالي محمد عبدي حسن، المعروف باسم &quot;أفويني&quot;، في أكتوبر 2013 في بروكسل. وألقي القبض على زعيم قراصنة آخر، وهو محمد جارفانجي، في أغسطس 2014 في مقديشو لحيازته أسلحة غير مشروعة وبتهم أخرى تتعلق بالقرصنة.",1
"2482","285) وجدت اللجنة أيضاً أن المتمردين قتلوا مدنيين، على الرغم من قلة الحوادث وعدد الوفيات.",1
"2483","علاوة على ذلك، تشير التقارير المتسقة إلى أن الأشخاص تم احتجازهم لفترة تتجاوز الحد الزمني القانوني.",1
"2484","44 - وعلاوة على ذلك، تشيد الهيئة بالتقدم الذي أحرزته محادثات الجزائر وتدعو جميع الأطراف، ولا سيما قادة الجماعات المسلحة، إلى المشاركة شخصيا في العملية بهدف التوصل إلى اتفاق في أقرب وقت ممكن على أساس من المشروع المقدم إلى الأطراف من قبل فريق الوساطة، والذي يشكل أرضية صلبة للتفاوض.",4
"2485","تم تنفيذ عمليات النهب بشكل رئيسي ضد القبائل الأفريقية وعادة ما استهدفت الممتلكات الضرورية لبقاء تلك القبائل ومعيشتها.",1
"2486","1. يشجب ويدين بأشد العبارات الأعمال الإرهابية التي يقوم بها تنظيم داعش وأيديولوجيته المتطرفة العنيفة، واستمرار انتهاكاته الجسيمة والمنهجية والواسعة النطاق لحقوق الإنسان وانتهاكات القانون الإنساني الدولي؛",3
"2487","وبالنسبة لمنطقة الساحل، وضع مكتب الأمم المتحدة المعني بالمخدرات والجريمة دليلين عمليين لمساعدة مسؤولي العدالة الجنائية على التصدي للأنشطة الإرهابية.",2
"2488","... مشددًا على أهمية التحقيق في [انتهاكات حقوق الإنسان المزعومة وانتهاكات القانون الإنساني الدولي]، بما في ذلك تلك التي حدثت طوال الأزمة، والتي ارتكبتها جميع الأطراف، بغض النظر عن وضعهم أو انتماءاتهم السياسية، والتأكيد من جديد على أن المسؤولين عن تلك الانتهاكات ويجب محاسبة مثل هذه الانتهاكات وتقديمها إلى العدالة بغض النظر عن انتماءاتهم السياسية، مع احترام حقوق المحتجزين...، وحث الحكومة على زيادة وتسريع جهودها لمكافحة الإفلات من العقاب،",4
"2489","&quot;أسلحة الدمار الشامل وعدم الانتشار كأفضل الممارسات التجارية&quot;، يليه تمرين",1
"2490","دمج التحليل الجنساني في تقييم احتياجات ما بعد الصراع والتدريب ذي الصلة. تجريب عملية تقييم احتياجات ما بعد الصراع التي تراعي الفوارق بين الجنسين.",2
"2491","(د) اعتماد نهج يركز على الضحايا ويرتكز على حقوق الإنسان في التعامل مع الاتجار بالأشخاص، بما في ذلك عن طريق منح الضحايا الحق في البقاء في البلد والحصول على الحماية القانونية والخدمات الأساسية، مثل العلاج الطبي والتعليم وفرص العمل المعادلة لتلك الممنوحة لمواطنيها؛",4
"2492","توفير الأمن الخارجي والداخلي (إجراءات الفحص لفصل العناصر المسلحة عن المدنيين؛ وتدابير التسريح ونزع السلاح؛ والمساعدة التقنية والتدريب من قبل الشرطة المدنية الدولية و/أو المراقبين العسكريين؛ وموقع المعسكرات على مسافة كبيرة من الحدود الدولية ومناطق الخطر؛ والتنسيق الإقليمي والترتيبات دون الإقليمية).",2
"2493","كما تم البدء في التواصل مع المجتمع المدني والشركات الخاصة، مع التركيز على المساعدة التقنية المحتملة ودورها في تنفيذ مكافحة الإرهاب.",4
"2494","13 - أنشأ الأمين العام اللجنة التنفيذية للسلام والأمن والشؤون الإنسانية لتزويد المسؤولين التنفيذيين على أعلى المستويات بمنتدى لمناقشة وصياغة استراتيجيات لمنع نشوب الصراعات المسلحة وحالات الطوارئ الإنسانية والاستجابة لها.",2
"2495","ويرى الفريق أن التهديد الذي يشكله تنظيم القاعدة ما زال يتنوع، مع تطور مجموعة من الجماعات المرتبطة ارتباطا وثيقا وظهور أفراد وخلايا متطرفة مستقلة تعتمد على أيديولوجية تنظيم القاعدة.",3
"2496","والعنصر الرابع الذي يحمل أهمية متساوية في هذا السياق، والذي برز في سياق انسحاب القوات السورية والعتاد العسكري وأجهزة المخابرات، هو ضرورة الاتفاق بين لبنان والجمهورية العربية السورية على الحدود الدولية بينهما. وترسيمها على الأرض.",2
"2497","(أ) الضحايا الذين تعرضوا لإصابات جسدية كبيرة أو تدهور في الصحة البدنية أو العقلية نتيجة لارتكاب جرائم خطيرة؛",1
"2498","ولوحظ أيضًا استخدام أسلحة أخرى، مثل السيوف، وإن كان بشكل أقل تكرارًا.",1
"2499","20 - ورغم أن اللجنة تعتزم تناول مسألة التعاون مع المنظمات الدولية والإقليمية ذات الصلة بتعمق كبير في نيسان/أبريل 2007، فقد أيدت توصية فريق الرصد بدعوة ممثلي تلك المنظمات، على أساس كل حالة على حدة للالتقاء باللجنة لتبادل وجهات النظر بما يعود بالنفع على الطرفين.",4
"2500","وأطلقت الكيانات الثلاثة أيضًا برنامجًا مدته أربع سنوات بشأن التحقيقات والملاحقات القضائية الفعالة لمكافحة الإرهاب مع احترام حقوق الإنسان وسيادة القانون في منطقة المغرب العربي.",2
"2501","وتتجلى هذه التغييرات حاليا بشكل أوضح داخل الجماعات المنتسبة لتنظيم القاعدة في شمال أفريقيا ومنطقة الساحل وبلاد الشام.",0
"2502","إن احترام حقوق الآخر - بما في ذلك المعارضين السياسيين - يجب أن يصبح الاختبار الرئيسي لكل أولئك الذين يطمحون إلى قيادة البلاد نحو الاستقرار والوحدة والازدهار.",4
"2503","وقام الفريق أيضا بإذكاء الوعي بالجزاءات المفروضة على تنظيم القاعدة في قطاع الطيران التجاري من خلال العمل بشكل وثيق مع منظمة الطيران المدني الدولي، والاتحاد الدولي للنقل الجوي، والقطاع الخاص.",1
"2504","ويجب أن يظل هذا القيد ساريًا طالما أن المشاركة في أي سفر من هذا القبيل تؤدي إلى الالتزام بالإبلاغ عن المسائل الموضوعية.",1
"2505","27 - ورغم أن توقعات الاقتصاد الكلي الشاملة لغرب أفريقيا في عام 2014 ظلت إيجابية عموما، فقد كان لتفشي فيروس إيبولا أثر سلبي على الاقتصادات المحلية، والتجارة عبر الحدود، والأنشطة الزراعية، والصناعات الإنتاجية في البلدان المتضررة. كما ارتفعت البطالة في قطاع التعدين والصناعات الاستخراجية. وفي 11 أيلول/سبتمبر، أعلن وزير المالية في ليبريا أن البلد يمر من الناحية الفنية بحالة ركود ويعاني من انخفاض بنسبة 20 في المائة في الإيرادات الحكومية.",0
"2506","علاوة على ذلك، عندما يصبح استخدام العنف المسلح وسيلة متأصلة لحل المظالم والصراعات الفردية والجماعية، تتآكل الآليات القانونية والسلمية لتسوية المنازعات ولا يمكن الحفاظ على سيادة القانون.",1
"2507","ولا يزال يتعين على الدول التي جرمت تمويل الإرهاب جزئيا أن تضمن إدراج جميع عناصر المادة 2 من اتفاقية تمويل الإرهاب.",1
"2508","وفي تلك المناسبة، قدم أيضا معلومات مستكملة عن التهديد الذي يشكله المقاتلون الإرهابيون الأجانب المرتبطون بتنظيم الدولة الإسلامية في العراق والشام وجبهة النصرة، عملا بالفقرة 26 من القرار 2178 (2014).",3
"2509","وإذ يشير إلى الحق في حرية التعبير المنصوص عليه في المادة 19 من الإعلان العالمي لحقوق الإنسان الذي اعتمدته الجمعية العامة في عام 1948 (&quot;الإعلان العالمي&quot;)، وإذ يشير أيضا إلى الحق في حرية التعبير في المادة 19 من العهد الدولي الخاص بحقوق الإنسان، الحقوق المدنية والسياسية التي اعتمدتها الجمعية العامة في عام 1966 (&quot;العهد الدولي الخاص بالحقوق المدنية والسياسية&quot;) وأن أي قيود عليها يجب أن تكون فقط على النحو الذي ينص عليه القانون وتكون ضرورية للأسباب المنصوص عليها في الفقرة 3 من المادة 19 من العهد الدولي الخاص بالحقوق المدنية والسياسية،",4
"2510","o في 23 تشرين الثاني/نوفمبر 2014، أطلقت طائرات النظام الحربية قذيفتين على مسجد هرويل في حي العرادي بدير الزور، مما أدى إلى إلحاق أضرار بالمسجد والمنازل المجاورة.",1
"2511","وفي معظم حالات الهجمات البرية، كان الرجال مستهدفين بشكل مباشر للقتل، وفي بعض الحالات توجد أدلة على جهود يبذلها الجناة لإنقاذ حياة النساء.",1
"2512","كما قامت حركات التمرد بأعمال النهب، واستهدفت بشكل رئيسي مراكز الشرطة للحصول على الأسلحة؛ وفي مناسبات قليلة استهدف المتمردون أيضًا الممتلكات الخاصة.",1
"2513","واتخذت قوة الاتحاد الأوروبي موقفا &quot;بعيدا عن الأنظار ولكن ليس في الأفق&quot;، حيث كانت مستعدة للتدخل إذا تدهور الوضع، وتم وضع خطط طوارئ لنشر قوات الاحتياط، إذا لزم الأمر.",1
"2514","وفي الوقت نفسه، توسعت حركة المقاومة السرية في جميع أنحاء البلاد وأعيد تأسيس حركة شعبية. في 30 أغسطس 1999، صوت 78% من سكان تيمور الشرقية لصالح التحرر من الإدارة الإندونيسية في المشاورة الشعبية التي رعتها الأمم المتحدة.",1
"2515","ويدعو مجلس الأمن الدول الأعضاء إلى التعاون على وجه السرعة لحل كافة القضايا العالقة بهدف اعتماد مشروع الاتفاقية الشاملة بشأن الإرهاب الدولي.",2
"2516","139 - وهذا النهج المكون من جزأين - استخدام القيود على نطاق منطقة شنغن لاستبعاد الأشخاص المدرجين في القائمة من خارج منطقة شنغن، مع الإبقاء على القيود الوطنية للحد من حركة الأجانب المدرجين في القائمة داخل المنطقة - قد يكون بمثابة نموذج للدول الأخرى القائمة أو تطوير مناطق خالية من الحدود أو بدون تأشيرات.",4
"2517","وتنتقل المهارات والأساليب التقنية بشكل متزايد من إحدى الجماعات التابعة لتنظيم القاعدة إلى أخرى، مما يدعم مستوى من الابتكار يزيد من التهديد.",3
"2518","21 - وتتطلع اللجنة كذلك إلى خطة تنفيذ لتحقيق أي من الأهداف المنصوص عليها في خطة عمل ألماتي والتي لم يتم تحقيقها بعد، فضلا عن تنفيذ الالتزامات الواردة بشكل مستمر في الوثائق الختامية المتفق عليها في الاجتماع السابق. ثلاثة اجتماعات خاصة، بما في ذلك التدابير الرامية إلى تحسين تدفق المعلومات مع المنظمات الدولية والإقليمية ودون الإقليمية وفيما بينها.",4
"2519","&quot;ويشيد مجلس الأمن بالجهود التي تبذلها عملية الاتحاد الأوروبي أتلانتا، وعمليات منظمة حلف شمال الأطلسي Allied Protector، و Ocean Shield بقيادة الدول الأعضاء في منظمة حلف شمال الأطلسي، وفرقة العمل المشتركة 151 للقوات البحرية بقيادة باكستان، وجمهورية كوريا، والدانمرك، ونيوزيلندا، وتعرب سنغافورة وتركيا وتايلند والولايات المتحدة، والدول الأخرى، التي تتصرف بصفتها الوطنية وبالتعاون مع السلطات الصومالية ومع بعضها البعض، عن قمع القرصنة وحماية السفن المعرضة للخطر التي تمر عبر المياه قبالة سواحل الصومال، وتقدر الجهود التي تبذلها الدول الأعضاء، بما فيها الاتحاد الروسي، وجمهورية كوريا، والصين، والهند، وماليزيا، واليابان، التي نشرت سفن و/أو طائرات في المنطقة، على النحو المذكور في تقرير الأمين العام (S/2012/783).",4
"2520","16. المنظمات اللاحقة والأصول غير النقدية. ونظرا لتعقد هذه القضايا، تقرر اللجنة مواصلة دراسة هذه المسائل في عام 2008 (الفقرات 82-88).",0
"2521","(ب) عدم فرض تدابير فعالة لمنع اغتصاب النساء والفتيات الإثيوبيات؛",1
"2522","ويقع على عاتق السلطات في جمهورية الكونغو الديمقراطية التزام دولي بالتأكد من عدم استخدام بلادها كقاعدة يأتي منها هؤلاء المتمردون لمهاجمة أوغندا.",1
"2523","وتشمل هذه، على سبيل المثال لا الحصر، الجيش وجهاز الأمن الوطني والمخابرات والمخابرات العسكرية واللجان الأمنية في ولايات دارفور الثلاث.",0
"2524","أن يحيط علماً بالإحاطة التي قدمتها الأمانة فيما يتعلق بمراجعة مكتب خدمات الرقابة الداخلية لمدفوعات التعويضات، والمطالبات الفلسطينية المتأخرة من الفئة دال وأنشطة التصفية، والنص المقترح للباب المتعلق بلجنة التعويضات المقرر إدراجه في التقرير السنوي لعام 2005 تقرير مكتب خدمات الرقابة الداخلية، ومشاركة جهة التنسيق التي عينها ذلك المكتب في العملية التي تجريها الأمانة لتحديد المطالبات المتكررة المحتملة في الفئتين ألف وجيم، وطلب مجلس مراجعي حسابات الأمم المتحدة إبداء التعليقات بشأن مشروع ملاحظاتها فيما يتعلق بزيارتيها إلى الأردن والكويت فيما يتعلق بالمدفوعات، وطلب المجلس تقديم تعليقات ردا على مشروع تقريره عن حالة تنفيذ التوصيات الناشئة عن مراجعته للبيانات المالية للجنة للفترة فترة السنتين 2002-2003، والاتصالات التي أجرتها اللجنة مع لجنة التحقيق المستقلة؛ أن يطلب من الأمانة تقديم تحديثات بشأن هذه القضية في اجتماع غير رسمي مقبل لمجلس الإدارة؛ وإبقاء هذه القضية على جدول أعمال مجلس الإدارة.",2
"2525","وفي الفقرة 3 من ذلك القرار، طلب إلي المجلس أن أعيد، بالتشاور مع اللجنة المنشأة عملا بالقرار 751 (1992) بشأن الصومال، في غضون 30 يوما من تاريخ اتخاذ القرار، ولمدة ستة أشهر، أشار فريق الرصد في الفقرة 3 من القرار 1558 (2004) إلى الاضطلاع بالولاية المنصوص عليها في الفقرات الفرعية 3 (أ) إلى (ط) من القرار 1630 (2005).",4
"2526","وعلى الرغم من أن وضع كل لاجئ ونازح داخلياً فريد من نوعه، إلا أن النزوح وانعدام الجنسية يؤدي إلى تفاقم عدم المساواة القائمة بين الجنسين، مما يؤدي إلى تفاقم التمييز والمصاعب التي تواجهها النساء والفتيات.",1
"2527","مقتل خمسة أشخاص وإصابة 10 أشخاص بجروح خطيرة.",1
"2528","وتزايدت العمليات العسكرية وعمليات الشرطة، إلى جانب التحركات المستهدفة ضد زعماء العصابات، في المناطق المتضررة من عنف العصابات.",1
"2529","والأسوأ من ذلك أن أنشطة هذه الجماعات الإرهابية تشكل تهديدا خطيرا لجهود البعثات الدولية لبناء السلام وحفظ السلام، على سبيل المثال في الصومال ومالي.",3
"2530","وإذ نرحب بنتائج مجلس السلام التشاوري الذي عقد في 6 حزيران/يونيه 2010، والذي شارك فيه 1600 مندوب أفغاني، يمثلون شريحة واسعة من جميع الجماعات العرقية والدينية الأفغانية، والمسؤولين الحكوميين، وعلماء الدين، وزعماء القبائل، والمجتمع المدني، واللاجئين الأفغان المقيمين. وناقشا في إيران وباكستان وضع حد لانعدام الأمن ووضعا خطة للسلام الدائم في البلاد.",4
"2531","ولدى خمس دول تدابير كافية لقمع تجنيد الإرهابيين، في حين لا تملك أربع دول أي تدابير كافية.",2
"2532","دعم إنشاء جمعيات وشبكات الصحفيين والدعوة إلى سلامة الإعلاميات ووسائل الإعلام المستقلة التي تديرها الجمعيات النسائية؛ تعزيز بناء قدرات كليات الصحافة.",4
"2533","28 - وبناء على طلب المجلس، واصل فريق الرصد تنظيم اجتماعات إقليمية مع رؤساء ونواب رؤساء أجهزة الاستخبارات والأمن لمناقشة كيفية تكييف نظام الجزاءات لمواجهة التغيرات في التهديد الذي تشكله الجماعات المرتبطة بتنظيم القاعدة. إرهاب.",4
"2534","وقد بعث النجاح في محاكمة القراصنة المشتبه فيهم وسجن المدانين برسالة قوية إلى الجناة ومؤيديهم مفادها أنه لن يُسمح بالإفلات من العقاب.",1
"2535","ومع ذلك، يمكن تحسين نظام العدالة الجنائية في خمس دول على الأقل من أجل تقديم الإرهابيين إلى العدالة بشكل أكثر فعالية.",3
"2536","وإذ تؤكد من جديد أيضا ضرورة مكافحة الإرهاب بجميع أشكاله ومظاهره بجميع الوسائل، وفقا لميثاق الأمم المتحدة، وإذ تؤكد أيضا أنه يجب على الدول أن تكفل امتثال أي تدابير تتخذها لمكافحة الإرهاب لجميع التزاماتها بموجب القانون الدولي، وينبغي لها أن تعتمد مثل هذه التدابير وفقاً للقانون الدولي، ولا سيما القانون الدولي لحقوق الإنسان، وقانون اللاجئين، والقانون الإنساني،",4
"2537","في الواقع، في القانون الجنائي الدولي، تكتسب فكرة العمل الإجرامي المشترك أهمية أكبر مما هي عليه في معظم النظم القانونية الوطنية، لأن معظم الجرائم الدولية (الجرائم ضد الإنسانية، والإبادة الجماعية ومعظم جرائم الحرب) هي جرائم لا يمكن تحقيق النتيجة الجنائية النهائية لها إلا من خلال تورط العديد من الأشخاص.",1
"2538","601. ولذلك يقترح إنشاء لجنة تعويضات دولية تتألف من 15 عضواً، 10 يعينهم الأمين العام و5 يعينهم هيئة سودانية مستقلة.",4
"2539","يحث جميع المعنيين، على النحو المنصوص عليه في القانون الإنساني الدولي، بما في ذلك اتفاقيات جنيف وقواعد لاهاي، على السماح للعاملين في المجال الإنساني بالوصول الكامل ودون عوائق إلى المدنيين الذين يحتاجون إلى المساعدة في حالات النزاع المسلح، وإتاحة الوصول، بقدر ما قدر الإمكان، جميع التسهيلات اللازمة لعملياتهم، وتعزيز سلامة وأمن وحرية تنقل العاملين في مجال تقديم المساعدة الإنسانية وموظفي الأمم المتحدة والأفراد المرتبطين بها وأصولهم.",2
"2540","ورغم أهمية منع الإرهابيين من تنفيذ هجماتهم، فمن الواضح أنه لا يمكن هزيمة الإرهاب من خلال التدابير الأمنية وحدها، وأن العديد من أعضاء المجتمع الدولي يتطلعون إلى مجلس الأمن لاتخاذ تدابير تحد من الوسائل التي يمكن بها لتنظيم القاعدة أن يستغل هذه التدابير. تنشر رسالتها وكذلك تروج للبرامج التي تهدف إلى تقويضها.",3
"2541","وخلال الهجمات التي شنتها القوات الحكومية والجنجويد في مارس/آذار 2004 على كورما، شمال دارفور، ورد أن أكثر من 20 امرأة وفتاة صغيرة قد تعرضن للاغتصاب.",1
"2542"," احتياجات النساء والفتيات أثناء العودة إلى الوطن وإعادة التوطين وإعادة التأهيل وإعادة الإدماج وإعادة الإعمار في مرحلة ما بعد الصراع.",2
"2543","29 - ركزت شرطة البعثة على الأنشطة الرامية إلى ضمان أن يكون لدى جميع المتدربين في شرطة البعثة ودائرة شرطة كوسوفو معرفة عملية بالمعايير الدولية لحقوق الإنسان المتعلقة بإنفاذ القانون.",2
"2544","&quot;ويعرب مجلس الأمن عن قلقه العميق إزاء التهديد المباشر الذي تشكله أنشطة الجماعات المسلحة على سلامة السكان المدنيين وعلى سير العمليات الإنسانية.",3
"2545","وأثناء اجتماعاتها مع الرئيس غباغبو ووزيري الدفاع والأمن الداخلي، أُبلغت اللجنة بأن قرار تعبئة القوات المسلحة الوطنية كان يهدف إلى إخماد المظاهرة ومنع تنظيمها.",1
"2546","وأشاروا إلى أن الصومال سيظل في حاجة إلى قدر كبير من المساعدة في مجال بناء القدرات لضمان عدم تمكن عصابات القراصنة من العودة إلى مستويات الذروة.",2
"2547","53 - وبدأت الأمم المتحدة التخطيط لعقد اجتماع تقني بشأن تنمية القدرات في جنوب السودان من أجل تنسيق نهجها.",4
"2548","التقرير المتعلق بنتائج استعراض الأسماء المدرجة في القائمة الموحدة المبينة في الفقرة 25 من القرار 1822 (2008)، قيد النظر حاليا من قبل لجنة مجلس الأمن المنشأة عملا بالقرار 1267 (1999) بشأن تنظيم القاعدة وتنظيم القاعدة. حركة طالبان والأفراد والكيانات المرتبطة بها.",4
"2549","وكما هي الحال مع مسألة الروابط بين الاتجار بالمخدرات والإرهاب، فقد أدرجت قضية القرصنة على جدول أعمال المجلس من خلال حالات الصراع القائمة بالفعل، مع برزت الأوضاع الأفريقية - وأبرزها الصومال وخليج غينيا - بشكل بارز.",1
"2550","واعتمدت حكومة جمهورية مقدونيا، في جلستها المعقودة في 19 نيسان/أبريل 2011، قرارا بإنفاذ القيود الواردة في القرار المذكور أعلاه.",1
"2551","22 - ترأس فريق التحقيق التابع للجنة محقق رئيسي وضم أربعة محققين، محققتين متخصصتين في العنف الجنسي، وأربعة خبراء في الطب الشرعي ومحللين عسكريين.",2
"2552","تدريب أفراد حفظ السلام يطلب إلى الأمين العام أن يكفل حصول موظفي الأمم المتحدة المشاركين في أنشطة صنع السلام وحفظ السلام وبناء السلام على التدريب المناسب في مجال القانون الإنساني الدولي وقانون حقوق الإنسان وقانون اللاجئين، بما في ذلك الأحكام المتعلقة بالأطفال ونوع الجنس، ومهارات التفاوض والاتصال. والوعي الثقافي والتنسيق المدني العسكري، وتحث الدول والمنظمات الدولية والإقليمية ذات الصلة على ضمان إدراج التدريب المناسب في برامجها للموظفين المشاركين في أنشطة مماثلة.",2
"2553","وفي ولاية بورنو بشمال نيجيريا، تم الإبلاغ عن 4500 حالة إصابة بالكوليرا و70 حالة وفاة في شهر أكتوبر/تشرين الأول وحده.",0
"2554","مكتب الممثل الخاص للأمين العام المعني بالأطفال والنزاعات المسلحة",0
"2555","لجنة مجلس الأمن المنشأة بموجب",0
"2556","وسيكون هناك خطر يتمثل في تركيز الاهتمام على الوضع على حساب المعايير.",3
"2557","&#39;4` إعداد وتحديث جدول زمني منتظم، وشهري على الأقل، لأحداث التوعية أو الأنشطة المماثلة، يغطي فترات لا تقل عن ستة أشهر في المستقبل، ويتضمن معلومات عن الأنشطة الأخرى التي تقوم بها الدول والمنظمات الدولية والإقليمية ودون الإقليمية ذات الصلة؛ ولجنة مكافحة الإرهاب، واللجنة المنشأة عملا بالقرار 1267 (1999)، وغيرها من هيئات الأمم المتحدة؛",4
"2558","40 - خلال الشهر والنصف الماضيين، بذلت السلطات الهايتية بعض المحاولات الأولية لمعالجة قضايا إقامة العدل والاحتجاز.",3
"2559","3 - وقد أشرت في الفقرة 7 من مرفق رسالتي المؤرخة 8 آب/أغسطس 2005 إلى أن الضمانات النقدية الداعمة لخطابات الاعتماد الـ 249 التي انتهت مدتها بحلول 31 كانون الأول/ديسمبر 2004 ستستمر في الاحتفاظ بها في حساب الأمم المتحدة للعراق حتى 30 تشرين الثاني/نوفمبر 2005. السماح بالدفع للبائعين في حالة استلام مستندات التصديق التي تؤكد شحن البضائع خلال فترة صلاحية خطاب الاعتماد. ومع ذلك، خلال المشاورات الأخيرة مع السلطات المختصة، طلبت حكومة العراق تمديد هذا الموعد النهائي لاستلام وثائق التصديق إلى 31 كانون الأول/ديسمبر 2005 وذلك لإتاحة وقت إضافي لتجهيزها.",4
"2560","ومن الجدير بالذكر أيضًا أن وزير الشؤون الاجتماعية بغرب دارفور وهو أيضًا نائب والي ولاية غرب دارفور، حمل أهالي القرية مسؤولية الدمار الذي أدى إلى نزوحهم الجماعي بحجة أنهم سمحوا لأبنائهم بالانضمام المتمردين واستخدام قراهم لأنشطة المتمردين.",1
"2561","ويؤكد المجلس ضرورة تقديم الأفراد الذين يحرضون على العنف أو يتسببون فيه ضد المدنيين في حالات النزاع المسلح أو الذين ينتهكون القانون الإنساني الدولي والقانون الدولي لحقوق الإنسان إلى العدالة بالطريقة المناسبة.",4
"2562","وكانت هذه المساعدة السريعة لا تقدر بثمن، لأنها سمحت للمحققين بتحليل مكالمات هاتفية محددة للمشتركين بسرعة وتحديد أنماط الاتصال بين مجموعات معينة من المشتركين.",2
